"alg-geom/9611012","Lothar Goettsche","Lothar G\""ottsche and Rahul Pandharipande","The quantum cohomology of blow-ups of P^2 and enumerative geometry","AMS-LaTeX, 26 pages",,,,"alg-geom math.AG",,"  We compute the Gromov-Witten invariants of the projective plane blown up in r
general points. These are determined by associativity from r+1 intial values.
Applications are given to the enumeration of rational plane curves with
prescribed multiplicities at fixed general points. We show that the numbers are
enumerative if at least one of the prescribed multiplicities is 1 or 2. In
particular, all the invariants for r<=8 (the Del Pezzo case) are enumerative.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 15:39:30 GMT""}]","2008-02-03"
"hep-ph/9611293","Kiwoon Choi","Kiwoon Choi, Eung Jin Chun and Hyungdo Kim","Supersymmetry Hierarchy Problems and Anomalous Horizontal U(1) Symmetry","18 pages, Latex","Phys.Lett. B394 (1997) 89-98","10.1016/S0370-2693(96)01674-7",,"hep-ph",,"  It is suggested that various hierarchy problems in supersymmetric standard
model, i.e. the Yukawa hierarchies, the \mu problem, and the suppression of
dangerous baryon and/or lepton number (B/L) violating couplings, are resolved
altogether in the framework of horizontal U(1) symmetry whose spontaneous
breaking results in the appearance of one expansion parameter (the Cabibbo
angle). Within a reasonable range of U(1) charges, there exist a few models
compatible with experiments. The specific sizes of B/L violating couplings of
these models are calculated and several phenomenological consequences are
discussed.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 08:29:07 GMT""}]","2015-06-25"
"hep-ph/9611294","Andrej Arbuzov","E.A. Kuraev (Dubna, JINR)","Radiative Tail in $\pi_{e2}$ Decay and Some Comments on $\mu-e$
  Universality","5 pages, LaTeX, some misprints are corrected, submitted to Pisma Zh.
  Eksp. Teor. Fiz","JETP Lett. 65 (1997) 127-130","10.1134/1.567302","E2-96-93","hep-ph",,"  The result of lowest-order perturbation theory calculations of the photon and
positron spectra in radiative pion(e2) decay are generalized to all orders of
perturbation theory using the structure-function method. An additional source
of radiative corrections to the ratio of the positron and muon channels of pion
decay, due to emission of virtual and real photons and pairs, is considered. It
depends on details of the detection of the final particles and is large enough
to be taken into account in theoretical estimates with a level of accuracy of
0.1%.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 09:01:27 GMT""},{""version"":""v2"",""created"":""Mon, 20 Jan 1997 08:42:34 GMT""}]","2009-10-30"
"hep-ph/9611295","Leonid Satarov","I.N. Mishustin, L.M. Satarov, H. Stoecker and W. Greiner","Particle production by time-dependent meson fields in relativistic
  heavy-ion collisions","9 pages",,,,"hep-ph",,"  Collective bremsstrahlung of vector meson fields caused by mutual
deceleration of the colliding nuclei is considered within the time-dependent
Walecka theory. Excitation functions and rapidity distributions of particles
produced by this mechanism are calculated under some simplifying assumptions
about the space-time variation of the baryon current in a nuclear collision. In
the case of central Au+Au collisions the bremsstrahlung mechanism becomes
comparable with particle production in incoherent hadron--hadron collisions
above the AGS energies.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 09:15:06 GMT""}]","2007-05-23"
"hep-ph/9611296","Institute for Theoretical Physics","Mu-Lin Yan and Dao-Neng Gao(USTC)","Electromagnetic Masses of the Massive Yang-Mills Particles K^*(892)","plain TeX , pages 14 and 1 ps file","Commun.Theor.Phys. 30 (1998) 577-582",,"NSC/USTC-30/96","hep-ph",,"  Electromagnetic mass difference between neutral $K^*$ and charged $K^*$ has
been calculated in the $U(3)_L\times U(3)_R$ chiral fields theory of mesons. It
has been revealed that the non-abelian gauge structure of the massive
Yang-Mills lagrangian obeyed by $K^*$ plus VMD (vector meson dominace) causes
the EM-mass of neutral one larger than charged one. Experiment supports this
effect.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 09:17:39 GMT""}]","2007-05-23"
"hep-ph/9611297","Institute for Theoretical Physics","Dao-Neng Gao, Bing An Li, and Mu-Lin Yan","Electromagnetic mass splittings of $\pi, a_1, K, K_1(1400)$ and
  $K^*(892)$","LateX, 40 pages and five PS files. Final version will appear in Phys.
  Rev. D56","Phys.Rev.D56:4115-4132,1997","10.1103/PhysRevD.56.4115","NSC/USTC-29/96","hep-ph",,"  To one-loop order and $O(\alpha_{em})$, the electromagnetic mass splittings
of $\pi$, $a_1$, $K$, $K_1(1400)$, and $K^*(892)$ are calculated in the
framework of $U(3)_L\times U(3)_R$ chiral field theory. The logarithmic
divergences emerging in the Feynman integrations of the mesonic loops are
factorized by using an intrinsic parameter $g$ of this theory. No other
additional parameters or counterterms are introduced to absorb the mesonic loop
divergences. When $f_\pi$,$m_\rho$ and $m_a$ are taken as inputs, the parameter
$g$ will be determined and all the physical results are finite and fixed.
Dashen's theorem is satisfied in the chiral SU(3) limit of this theory, and a
rather large violation of the theorem is revealed at the order of $m_s$ or
$m_K^2$. Mass ratios of light quarks have been determined. A relation for
electromagnetic corrections to masses of axial-vector mesons is obtained. It
could be regarded as a generalization of Dashen's theorem. Comparing with data,
it is found that the non-electromagnetic mass difference of $K^*$ is in
agreement with the estimation of Schechter, Subbaraman, Weigel.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 09:16:56 GMT""},{""version"":""v2"",""created"":""Mon, 25 Aug 1997 08:12:55 GMT""}]","2008-11-26"
"hep-ph/9611298",,"N.V.Krasnikov and V.V.Popov","PLANCKSUSY - new program for SUSY masses calculations: from Planck scale
  to our reality","11 pages, latex, no figures",,,"Preprint INR 976TH/96","hep-ph",,"  We describe briefly new program for SUSY masses calculations. The main
distinction of our program is that we start to solve the renormalization group
equations for soft SUSY breaking parameters for SU(5) SUSY GUT model from
Planck scale $M_{PL} = 2.4\cdot 10^{18}$ Gev. Our program works also for large
$tan(\beta)$. We find that for $m_0 \leq 0.5 \cdot m_{1/2}$ the effects of the
evolution from Planck scale to GUT scale are very essential. In particular, we
find that neutralino even for small $m_0$ is always LSP. We also introduced in
our program some parameter of non-universality of the gaugino masses at GUT
scale. Playing with the non-universality of the gaugino masses at GUT scale it
is possible to have the situation when leptonic modes are suppressed and the
single SUSY signature is hadronic jets with missing energy.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 10:45:35 GMT""}]","2007-05-23"
"hep-ph/9611299","Andrzej Czarnecki","Andrzej Czarnecki and Bernd Krause","On the Dipole Moments of Fermions at Two Loops","Talk given at Cracow International Symposium on Radiative Corrections
  (CRAD96), 1-5 Aug 1996; 8 pages, latex","Acta Phys.Polon.B28:829-834,1997",,"TTP96-52","hep-ph",,"  Complete two-loop electroweak corrections to leptonic anomalous magnetic
moments have been calculated recently using asymptotic expansions of Feynman
diagrams. Techniques developed in that context can also be applied to the
electric dipole moments (EDM) of fermions. In the Standard Model the EDM was
proved to vanish at two loops. In this talk we discuss a simplification of that
proof.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 12:11:59 GMT""}]","2011-04-15"
"hep-ph/9611300","Alberto Polleri","A. Polleri, R.A. Broglia, P.M. Pizzochero and N.N. Scoccola","Rho meson properties in the Nambu-Jona-Lasinio model","21 pages Latex, 4 figures, to be published in Z. Phys. A","Z.Phys. A357 (1997) 325-331","10.1007/s002180050249","NTGMI-95-4","hep-ph",,"  Some properties of the rho vector meson are calculated within the
Nambu-Jona-Lasinio model, including processes that go beyond the random phase
approximation. To classify the higher order contributions, we adopt $1/N_c$ as
expansion parameter. In particular, we evaluate the leading order contributions
to the $\rho \rightarrow \pi \pi$ decay width, obtaining the value $\Gamma =
118$ MeV, and to the shift of the rho mass which turns out to be lowered by 64
MeV with respect to its RPA value. A set of model parameters is determined
accordingly.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 14:21:27 GMT""}]","2009-10-30"
"hep-th/9611066","Jan De Boer","Jan de Boer (Berkeley) and Kostas Skenderis (Leuven)","Target Space Supersymmetric Sigma Model Calculations","LaTeX, 8 pages; to appear in proceedings of workshop on Gauge Theory,
  Applied Supersymmetry and Gauge Theory, Imperial College, July 5-10 1996",,"10.1142/9781848160927_0013","LBNL-39561, UCB-PTH-96/48, KUL-TF-96/22","hep-th",,"  We briefly review the covariant formulation of the Green-Schwarz superstring
by Berkovits, and describe how a detailed tree-level and one-loop analysis of
this model leads, for the first time, to a derivation of the low-energy
effective action of the heterotic superstring while keeping target-space
supersymmetry manifest. The resulting low-energy theory is old-minimal
supergravity coupled to tensor multiplet. The dilaton is part of the
compensator multiplet.
","[{""version"":""v1"",""created"":""Sun, 10 Nov 1996 19:36:16 GMT""}]","2016-12-21"
"hep-th/9611067","Peter Bouwknegt","Peter Bouwknegt, Jim McCarthy and Peter van Nieuwenhuizen","Fusing the coordinates of quantum superspace","9 pages, TeX with amssym.def, two references added","Phys.Lett.B394:82-86,1997","10.1016/S0370-2693(96)01679-6","ADP-96-35/M46, ITP-SB-96-60","hep-th",,"  We introduce the notion of a fused quantum superplane by allowing for terms
$\theta\theta\sim x$ in the defining relations. We develop the differential
calculus for a large class of fused quantum superplanes related to particular
solutions of the Yang-Baxter equation.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 00:22:48 GMT""},{""version"":""v2"",""created"":""Wed, 12 Mar 1997 02:41:01 GMT""}]","2009-09-11"
"hep-th/9611068","Valeri Dvoeglazov","Valeri V. Dvoeglazov (Universidad Autonoma de Zacatecas)","Questions in the Theory of the (1,0)+(0,1) Quantized Fields","ReVTeX file, 21pp., no figures","Int.J.Theor.Phys.37:1915-1944,1998","10.1023/A:1026665230089","EFUAZ FT-96-31","hep-th",,"  We find a mapping between antisymmetric tensor matter fields and the
Weinberg's 2(2j+1)- component ""bispinor"" fields. Equations which describe the
j=1 antisymmetric tensor field coincide with the Hammer-Tucker equations
entirely and with the Weinberg ones within a subsidiary condition, the
Klein-Gordon equation. The new Lagrangian for the Weinberg theory is proposed
which is scalar and Hermitian. It is built on the basis of the concept of the
`Weinberg doubles'. Origins of a contradiction between the classical theory,
the Weinberg theorem B-A=\lambda for quantum relativistic fields and the
claimed `longitudity' of the antisymmetric tensor field (transformed on the
(1,0)\oplus (0,1) Lorentz group representation) after quantization are
clarified. Analogs of the j=1/2 Feynman-Dyson propagator are presented in the
framework of the j=1 Weinberg theory. It is then shown that under the definite
choice of field functions and initial and boundary conditions the massless j=1
Weinberg-Tucker-Hammer equations contain all information that the Maxwell
equations for electromagnetic field have. Thus, the former appear to be of use
in describing some physical processes for which that could be necessitated or
be convenient.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 05:49:29 GMT""},{""version"":""v2"",""created"":""Tue, 7 Oct 1997 21:04:03 GMT""}]","2014-11-18"
"hep-th/9611069","Bertfried Fauser","Bertfried Fauser","Vertex functions and generalized normal-ordering by triple systems in
  non-linear spinor field models","11 pages, REVTeX, ca. 45kB, no figures","Adv.Appl.Clifford Algebras 10 (2000) 173-192",,"Tue-prep-11-01","hep-th cond-mat",,"  Triple systems are closely related to Yang-Baxter symmetries. Utilizing a
non-parameter-dependent triple product, we derive the BCS interaction. The
enlargement of the notion of symmetry leads in some sense to a regular vertex
function. The connection to the effect of running coupling constants is
outlined, which leads to the recently discussed anisotropic effective local
interactions. Furthermore, a discussion of the physical nature of q-symmetries
is given.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 15:56:21 GMT""}]","2007-05-23"
"hep-th/9611072","Tamiaki Yoneya","Miao LI and Tamiaki Yoneya","D-Particle Dynamics and The Space-Time Uncertainty Relation","12 pages, revtex, no figures, a minor misprint is corrected","Phys.Rev.Lett.78:1219-1222,1997","10.1103/PhysRevLett.78.1219","EFI-96-41, UT-KOMABA/96-22","hep-th",,"  We argue that the space-time uncertainty relation of the form $\Delta X
\Delta T \gtrsim \alpha'$ for the observability of the distances with respect
to time, $\Delta T$, and space, $\Delta X$, is universally valid in string
theory including D-branes. This relation has been previously proposed by one
(T.Y.) of the present authors as a simple qualitative representation of the
perturbative short distance structure of fundamental string theory. We show
that the relation, combined with the usual quantum mechanical uncertainty
principle, explains the key qualitative features of D-particle dynamics.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 08:54:25 GMT""},{""version"":""v2"",""created"":""Tue, 12 Nov 1996 11:55:33 GMT""},{""version"":""v3"",""created"":""Thu, 28 Nov 1996 06:04:38 GMT""},{""version"":""v4"",""created"":""Tue, 17 Dec 1996 08:03:01 GMT""}]","2008-11-26"
"hep-th/9611073","Yukinori Yasui","Yukinori Yasui and Norihito Sasaki","Differential Geometry of the Vortex Filament Equation","20 pages, LaTeX, no figures","J.Geom.Phys. 28 (1998) 195-207","10.1016/S0393-0440(98)00024-2","OCU-164","hep-th",,"  Differential calculus on the space of asymptotically linear curves is
developed. The calculus is applied to the vortex filament equation in its
Hamiltonian description. The recursion operator generating the infinite
sequence of commuting flows is shown to be hereditary. The system is shown to
have a description with a Hamiltonian pair. Master symmetries are found and are
applied to deriving an expression of the constants of motion in involution. The
expression agrees with the inspection of Langer and Perline.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 07:04:57 GMT""}]","2015-06-26"
"hep-th/9611074","Peter West","P.S. Howe, P.C. West","Is N=4 Yang-Mills Theory Soluble?","6p, latex",,,"KCL-TH-96-18","hep-th",,"  The superconformal properties of N=4 Yang-Mills theory are most naturally
studied using the formalism of harmonic superspace. Superconformal invariance
is shown to imply that the Green's functions of analytic operators are
invariant holomorphic sections of a line bundle on a product of certain
harmonic superspaces and it is argued that the theory is soluble for a class of
such operators.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 11:56:03 GMT""}]","2007-05-23"
"hep-th/9611075","Peter West","P.S. Howe, P.C. West","Superconformal Invariants and Extended Supersymmetry","10p, latex","Phys.Lett. B400 (1997) 307-313","10.1016/S0370-2693(97)00340-7","KCL-TH-96-17","hep-th",,"  The superconformal invariants in analytic superspace are found.
Superconformal invariance is shown to imply that the Green's functions of
analytic operators are invariant holomorphic sections of a line bundle on a
product of certain harmonic superspaces. It is argued that the correlation
functions for a class of sufficiently low dimension gauge invariant operators
in N=2 and N=4 supersymmetric Yang-Mills theory can be evaluated up to
constants.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 11:56:09 GMT""}]","2009-10-30"
"hep-th/9611076","Riccardo D'Auria","L. Andrianopoli and R. D'Auria","Supergravities in diverse dimensions and their central extension","10 pages, LaTeX; Talk given at the WorkShop on Gauge Theories,
  Applied Supersymmetry and Quantum Gravity, London, 5-10 July 1996",,"10.1142/9781848160927_0008",,"hep-th",,"  In this lecture moduli dependent charges for p-extended objects are analyzed
for generic N-extended supergravities in dimensions 4 \leq D <10. Differential
relations and sum rules among the charges are derived.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 15:45:44 GMT""}]","2016-12-21"
"hep-th/9611096","Vladimir Dzhunushaliev","V. Dzhunushaliev","Confining properties of the classical SU(3) Yang - Mills theory","REVTEX, 11 pages, 4 EPS figures",,,,"hep-th",,"  The spherically and cylindrically symmetric solutions of the $SU(3)$ Yang -
Mills theory are obtained. The corresponding gauge potential has the confining
properties. It is supposed that: a) the spherically symmetric solution is a
field distribution of the classical ``quark'' and in this sense it is similar
to the Coulomb potential; b) the cylindrically symmetric solution describes a
classical field ``string'' (flux tube) between two ``quarks''. It is noticed
that these solutions are typically for the classical $SU(3)$ Yang - Mills
theory in contradiction to monopole that is an exceptional solution. This
allows to conclude that the confining properties of the classical $SU(3)$ Yang
- Mills theory are general properties of this theory.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 09:46:41 GMT""}]","2007-05-23"
"math/9611212",,"K. K. Nwabueze","Some definition of the Artin exponent of finite groups",,,,"MSRI 1996-077","math.GR",,"  The Artin exponent induced from cyclic subgroups of finite groups was studied
extensively by T.Y. Lam. A Burnside ring theoretic version of Lam's results for
$p$-groups was given by the author in an earlier paper. Here we look at the
Artin exponent induced from the elementary abelian subgroups of finite
$p$-groups using some results of A. Dress.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 00:00:00 GMT""}]","2016-09-06"
"q-alg/9611010","Andrei Bytsko","A. G. Bytsko, V. Schomerus","Vertex Operators - From a Toy Model to Lattice Algebras","49 pages, LaTex. Some corrections made, references added","Commun.Math.Phys. 191 (1998) 87-136","10.1007/s002200050263",,"q-alg hep-th math.QA",,"  Within the framework of the discrete Wess-Zumino-Novikov-Witten theory we
analyze the structure of vertex operators on a lattice. In particular, the
lattice analogues of operator product expansions and braid relations are
discussed. As the main physical application, a rigorous construction for the
discrete counterpart g_n of the group valued field g(x) is provided. We study
several automorphisms of the lattice algebras including discretizations of the
evolution in the WZNW model. Our analysis is based on the theory of modular
Hopf algebras and its formulation in terms of universal elements. Algebras of
vertex operators and their structure constants are obtained for the deformed
universal enveloping algebras U_q(G). Throughout the whole paper, the abelian
WZNW model is used as a simple example to illustrate the steps of our
construction.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 03:22:45 GMT""},{""version"":""v2"",""created"":""Mon, 2 Dec 1996 18:26:53 GMT""},{""version"":""v3"",""created"":""Mon, 9 Dec 1996 15:16:13 GMT""},{""version"":""v4"",""created"":""Fri, 16 May 1997 18:15:13 GMT""}]","2009-10-30"
"quant-ph/9611015","Riccardo Giannitrapani","Riccardo Giannitrapani","Positive-Operator-Valued Time Observable in Quantum Mechanics","13 pages, LaTeX, no figures. Some minor changes, expanded the
  bibliography (now it is bigger than the one in the published version),
  changed the title and the style for publication on the International Journal
  of Theoretical Physics","International Journal of Theoretical Physics 36, 1575 (1997)","10.1007/BF02435757","UTF-390","quant-ph gr-qc",,"  We examine the longstanding problem of introducing a time observable in
Quantum Mechanics; using the formalism of positive-operator-valued measures we
show how to define such an observable in a natural way and we discuss some
consequences.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 08:54:52 GMT""},{""version"":""v2"",""created"":""Fri, 13 Feb 1998 10:08:04 GMT""},{""version"":""v3"",""created"":""Sun, 22 Feb 1998 12:45:32 GMT""}]","2009-10-30"
