"alg-geom/9611018","H. Esnault","H\'el\`ene Esnault","Algebraic Differential Characters","Latex 2e",,,,"alg-geom math.AG",,"  We give a construction of algebraic differential characters, receiving
classes of algebraic bundles with connection, lifitng the Chern-Simons
invariants defined with S. Bloch, the classes in the Chow group and the
analytic secondary invariants if the variety is defined over the field of
complex numbers.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 14:05:02 GMT""}]","2008-02-03"
"hep-ph/9611331","Antonio F. Perez","John F. Donoghue (1) and Antonio F. Perez (1 and 2) ((1) University of
  Massachusetts Amherst, (2) University of Cincinnati)","The Electromagnetic Mass Differences of Pions and Kaons","40 pages, Latex, needs axodraw. and psfig. macros, 4 figures","Phys.Rev.D55:7075-7092,1997","10.1103/PhysRevD.55.7075","UCTP-9-96, UMHEP-428","hep-ph",,"  We use the Cottingham method to calculate the pion and kaon electromagnetic
mass differences with as few model dependent inputs as possible. The
constraints of chiral symmetry at low energy, QCD at high energy and
experimental data in between are used in the dispersion relation. We find
excellent agreement with experiment for the pion mass difference. The kaon mass
difference exhibits a strong violation of the lowest order prediction of
Dashen's theorem, in qualitative agreement with several other recent
calculations.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 23:03:23 GMT""}]","2014-11-17"
"hep-ph/9611332","Doreen Wackeroth","U. Baur (SUNY Buffalo), S. Keller (Fermilab), D. Wackeroth (Fermilab)","Electroweak Radiative Corrections to W Boson Production at the Tevatron","6 pages, 4 figures, to appear in the Proceedings of the 1996 DPF/DPB
  Summer Study on New Directions for High-Energy Physics (Snowmass 96)","ECONFC960625:LTH087,1996",,"Fermilab-Conf-96/424-T, UB-HET-96-04","hep-ph",,"  We present some results of a new calculation of the O(alpha) electroweak
radiative corrections to W boson production at hadron colliders with special
emphasis on the transverse mass distribution.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 22:01:59 GMT""}]","2008-11-26"
"hep-ph/9611333","Sarantsev Andrei","A.V. Anisovich, V.V.Anisovich and A.V.Sarantsev","$0^{++}$-Glueball/$q \bar q$-State Mixing in the Mass Region near 1500
  MeV","LaTex, 12 pages, 2 figures","Phys.Lett.B395:123-127,1997","10.1016/S0370-2693(97)00006-3",,"hep-ph",,"  Basing on the results of the K-matrix fit of $(IJ^{PC}=00^{++})$ wave, we
analyze the analytic structure of the amplitude and $q \bar q$/glueball content
of resonances in the mass region 1200-1900 MeV, where an extra state for $q
\bar q$-systematics exists being a good candidate for the lightest scalar
glueball. Our analysis shows that the pure glueball state dispersed over three
resonances: $f_0(1300)$, $f_0(1500)$ and $f_0(1530^{+90}_{-250})$, while the
glueball admixture in $f_0(1750)$ is small. The broad resonance
$f_0(1530^{+90}_{-250})$ is the descendant of the lightest pure glueball. The
mass of pure glueball is $1630\pm {70\atop 30}$ MeV, in agreement with Lattice
calculation results.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 23:49:31 GMT""}]","2008-11-26"
"hep-ph/9611334",,"U. Baur (SUNY Buffalo) and M. Demarteau (Fermilab)","Precision Electroweak Physics at Future Collider Experiments","17 pages, LaTeX2e, uses snow2e.cls, snowtimes.sty, 20 embedded
  figures, complete postscript file can be obtained from
  http://www.physics.buffalo.edu/~baur/ewk_snow.ps","ECONFC960625:LTH085,1996",,"Fermilab-Conf-96/423, UB-HET-96-06","hep-ph hep-ex",,"  We present an overview of the present status and prospects for progress in
electroweak measurements at future collider experiments leading to precision
tests of the Standard Model of Electroweak Interactions. Special attention is
paid to the measurement of the W mass, the effective weak mixing angle, and the
determination of the top quark mass. Their constraints on the Higgs boson mass
are discussed.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 00:56:39 GMT""},{""version"":""v2"",""created"":""Fri, 15 Nov 1996 01:57:10 GMT""}]","2016-09-06"
"hep-ph/9611335","Gilda Reyes","R. D. Peccei (UCLA)","Aspects of the Electroweak Theory","35 pages, latex file, TASI96",,,"UCLA/96/TEP/35","hep-ph",,"  These notes contain some of the material I presented at TASI 96 on the
comparison of the standard model with precision electroweak data. After a
physical accounting of the dominant electroweak radiative corrections,
including the effects of initial state bremsstrahlung, I examine how data from
LEP and the SLC provides a clear test of the standard model. Apparent
discrepancies in the $R_b$ and $R_c$ ratios, and their physical resolution, are
also examined in some detail.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 01:31:34 GMT""}]","2007-05-23"
"hep-ph/9611336","Frank Cuypers","Frank Cuypers (PSI)","Systematics Effects in $Z'$ Searches at the NLC","5 pages. To appear in the Proceedings of the 1996 DPF/DPB Summer
  Study on New Directions for High-Energy Physics (Snowmass 96)","ECONF C960625:NEW137,1996",,"PSI-PR-96-32","hep-ph",,"  We investigate the incidence of several systematic effects on the $Z'$
discovery limits of the NLC. These include the initial state radiation and the
systematic errors due to the imperfect polarization measurement, the finite
detector angular resolution and the uncertainty on the integrated luminosity.
We focus on three reactions involving leptonic couplings: muon pair production,
Bhabha scattering and M\o ller scattering.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 06:42:29 GMT""}]","2011-04-15"
"hep-ph/9611337",,"L. Houra-Yaou (1), P. Kessler (1), J. Parisi (1), F. Murgia (2) and J.
  Hansson (3) ((1) College de France, Paris, France (2) INFN, Cagliari, Italy,
  (3) Lulea University, Lulea, Sweden)","Production of meson pairs, involving tensor and pseudotensor mesons, in
  photon-photon collisions","31 pages, 6 embedded ps figures, uses macro epsfig.sty. Revised
  version, to be published in Z. Phys. C. Both asymptotic and CZ distr.
  amplitudes are now considered for the pion. Fig.s 2,3 and Tab.s 1,2,3 are
  extended accordingly. A more accurate scale for the running of the strong
  coupling constant has been adopted. Results in Tab.s 1,2,3 are accordingly
  reduced, at most by a factor two. Two references added, conclusions unchanged","Z.Phys. C76 (1997) 537-547",,"LPC 96 53, INFNCA-TH9620","hep-ph",,"  Starting from a bound-state model of weakly bound quarks for ($q \bar{q}$)
mesons, we derive a formalism for computing the production or decay of such
mesons, whatever the value of their internal orbital angular momentum L. That
approach appears as a natural generalization of the Brodsky-Lepage formalism
(valid only for L=0) that has been widely used in recent years for the
computation of exclusive processes in perturbative QCD. We here apply it to the
production, in photon-photon collisions, of: i) tensor-meson pairs; ii)
pseudotensor-meson pairs; iii) hybrid pairs made of a pion and a pseudotensor
meson. The numerical results we obtain allow for some hope of experimentally
identifying such pairs, in the charged channels, at high-energy e^+e^-
colliders of the next generation, provided integrated luminosities as high as
$\approx 10^{40} cm^{-2}$ can be reached.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 10:35:43 GMT""},{""version"":""v2"",""created"":""Wed, 12 Mar 1997 16:00:08 GMT""}]","2008-02-03"
"hep-ph/9611338","Jan Bolz","P. Kroll (University of Wuppertal, Germany)","On hard exclusive reactions in the time-like region","Invited talk presented at the Fourth Biennal Conference on Low-Energy
  Antiproton Physics, LEAP96, Dinkelsb\""{u}hl (August 1996); 8 pages, LaTeX, 4
  PS-figures; uses 'espcrc2.sty' and 'psfig.sty'","Nucl.Phys.Proc.Suppl.56A:33-39,1997","10.1016/S0920-5632(97)00249-1","WU-B 96-38","hep-ph",,"  The proton form factor, two-photon annihilations into $p\bar{p}$ as well as
exclusive charmonium decays are critically examined. It will be argued that the
standard perturbative QCD analysis of these reactions fails, i.e. the need for
additional contributions can convincingly be demonstrated. Possible dynamical
mechanisms such as colour-octet admixtures to the charmonium states or diquarks
inside baryons, will be discussed and compared to the data.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 11:38:12 GMT""}]","2010-11-19"
"hep-th/9611108","Alexander Sorin","V.B. Derjagin, A.N. Leznov and A.S. Sorin","N=2 Superintegrable f-Toda Mapping and Super-NLS Hierarchy in the (1|2)
  Superspace","11 pages, latex, no figures, some misprints corrected","Phys.Atom.Nucl. 61 (1998) 1990-1996; Yad.Fiz. 61 (1998) 2097-2103",,"JINR E2-96-410","hep-th",,"  A new integrable N=2 supersymmetric f-Toda mapping in (1|2) superspace,
acting like the symmetry transformation of N=2 supersymmetric NLS hierarchy, is
proposed. The first two Hamiltonian structures and the recursion operator
connecting all evolution systems and Hamiltonian structures of the N=2
super-NLS hierarchy are constructed in explicit form using only invariance
conditions with respect to the f-Toda mapping. A new representation for its
Hamiltonians is observed.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 20:57:41 GMT""},{""version"":""v2"",""created"":""Tue, 4 Feb 1997 14:30:03 GMT""}]","2008-02-03"
"hep-th/9611111",,"A.A. Tseytlin","On the structure of composite black p-brane configurations and related
  black holes","6 pages, harvmac. Misprints corrected, version to appear in Physics
  Letters","Phys.Lett.B395:24-27,1997","10.1016/S0370-2693(97)00037-3","CERN-TH/96-324, Imperial/TP/96-97/07","hep-th",,"  We comment on the structure of intersecting black p-brane solutions in string
theory explaining how known solutions can be obtained from Schwarzschild
solution simply by sequences of boosts and dualities. This implies, in
particular, that dimensional reduction in all internal world-volume directions
including time leads to a metric (related by analytic continuation to a
cosmological metric) which does not depend on p-brane charges, i.e. is the same
as the metric following by reduction from a higher-dimensional `neutral'
Schwarzschild black hole.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 19:35:40 GMT""},{""version"":""v2"",""created"":""Sun, 24 Nov 1996 16:25:09 GMT""},{""version"":""v3"",""created"":""Tue, 14 Jan 1997 12:05:06 GMT""}]","2009-09-17"
"hep-th/9611113","Camillo Imbimbo","C. Becchi, S. Giusto and C. Imbimbo","Gauge dependence in topological gauge theories","12 pages, TeX , harvmac","Phys.Lett. B393 (1997) 342-348","10.1016/S0370-2693(96)01649-8","GEF-TH/96-20","hep-th",,"  We parametrize the gauge-fixing freedom in choosing the Lagrangian of a
topological gauge theory. We compute the gauge-fixing dependence of correlators
of equivariant operators when the compactified moduli space has a non-empty
boundary and verify that only a subset of these has a gauge independent
meaning. We analyze in detail a simple example of such anomalous topological
theories, 4D topological Yang-Mills on the four-sphere and instanton number
k=1.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 14:17:22 GMT""}]","2009-10-30"
"hep-th/9611114","Daniel Arnaudon","Raymond Stora","Exercises in equivariant cohomology","17 pages, LaTeX, also available at
  http://lapphp0.in2p3.fr/preplapp/psth/ENSLAPP619.ps.gz",,,"ENSLAPP-A-619/96","hep-th",,"  Equivariant cohomology is a mathematical framework particularly well adapted
to a kinematical understanding of topological gauge theories of the
cohomological type. It also sheds some light on gauge fixing, a necessary field
theory operation connected with the non compactness of the gauge group. The
respective roles of fields and observables are emphasized throughout.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 14:46:49 GMT""}]","2007-05-23"
"hep-th/9611115","Daniel Arnaudon","Raymond Stora","De la fixation de jauge consideree comme un des beaux arts et de la
  symetrie de Slavnov qui s'ensuit","6 pages, in French, LaTeX, also available at
  http://lapphp0.in2p3.fr/preplapp/psth/ENSLAPP620.ps.gz",,,"ENSLAPP-A-620/96","hep-th",,"  La fixation de jauge est d\'efinie comme l'op\'eration permettant d'exprimer
une int\'egrale sur un espace d'orbite comme int\'egrale sur le fibr\'e
principal correspondant. Quand la fibre est non compacte cette op\'eration met
en jeu une classe de cohomologie \`a support compact -ou \`a d\'ecroissance
rapide- de celle-ci. La sym\'etrie de Slavnov est l'expression alg\'ebrique de
l'ambiguit\'e de cette construction.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 14:58:27 GMT""}]","2007-05-23"
"hep-th/9611116","Daniel Arnaudon","Raymond Stora","Exercises in equivariant cohomology and topological theories","17 pages, LaTeX with sprocl.sty, also available at
  http://lapphp0.in2p3.fr/preplapp/psth/ENSLAPP604.ps.gz",,,"ENSLAPP-A-604/96","hep-th",,"  Equivariant cohomology is suggested as an alternative algebraic framework for
the definition of topological field theories constructed by E. Witten circa
1988. It also enlightens the classical Faddeev Popov gauge fixing procedure.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 15:50:48 GMT""}]","2007-05-23"
"math/9611216",,"Edson de Faria","Asymptotic rigidity of scaling ratios for critical circle mappings",,,,"Stony Brook IMS 1996/13. Dynamical Systems 11/15/96","math.DS",,"  In this paper we establish $C^2$ a-priori bounds for the scaling ratios of
critical circle mappings in a form that gives also a compactness property for
the renormalization operator.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 00:00:00 GMT""}]","2008-02-03"
"math/9611221","Shelah Office","Saharon Shelah","There may be no nowhere dense ultrafilter",,"Lecture Notes Logic 11 (1998), 305--324",,"Shelah [Sh:594]","math.LO",,"  We show the consistency of ZFC +''there is no NWD-ultrafilter on omega'',
which means: for every non principle ultrafilter D on the set of natural
numbers, there is a function f from the set of natural numbers to the reals,
such that for some nowhere dense set A of reals, the set {n: f(n) in A} is not
in D. This answers a question of van Douwen, which was put in more general
context by Baumgartner
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 00:00:00 GMT""}]","2009-09-25"
"math/9611224","Japheth Wood","Japheth Wood (Vanderbilt University)","Type 4 is not computable",,,,"FI-MT1996-007","math.RA",,"  We extend a recent result of McKenzie, and show that it is an undecidable
problem to determine if 4 appears in the typeset of a finitely generated,
locally finite variety.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 00:00:00 GMT""}]","2009-09-25"
"nucl-th/9611029","Carlos Bertulani","C.A. Bertulani","Nuclear Astrophysics in Storage Rings","14 pages, LaTeX, figures available upon request",,"10.1016/S0375-9474(97)00536-8",,"nucl-th",,"  Nuclear reaction cross sections are usually very small in typical
astrophysical environments. It has been one of the major challenges of
experimental nuclear astrophysics to assess the magnitude of these cross
sections in the laboratory. For a successful experiment high luminosity beams
are needed. Increasing the target width, one also increases the reaction
yields. But, this is of limited use due to multiple scattering in the target.
Storage rings are a very good way to overcome these difficulties. In principle,
they can be tuned to large luminosities, and have the advantage of crossing the
interaction region many times per second (typically one million/s),
compensating low density internal gas targets, or low reaction rates in
beam-beam collisions. Storage rings are also ideal tools for precise
measurements of masses and beta-decay lifetimes of nuclei of relevance for
astrophysics.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 16:09:51 GMT""}]","2009-10-30"
"nucl-th/9611031","Urs Wiedemann","Urs Achim Wiedemann, Ulrich Heinz","Resonance contributions to HBT correlation radii","23 pages, twocolumn RevTeX, 12 eps-figures included, minor changes
  following referee comments","Phys.Rev.C56:3265-3286,1997","10.1103/PhysRevC.56.3265","TPR-96-14","nucl-th hep-ph",,"  We study the effect of resonance decays on intensity interferometry for heavy
ion collisions. Collective expansion of the source leads to a dependence of the
two-particle correlation function on the pair momentum K. This opens the
possibility to reconstruct the dynamics of the source from the K-dependence of
the measured HBT radii. Here we address the question to what extent resonance
decays can fake such a flow signal. Within a simple parametrization for the
emission function we present a comprehensive analysis of the interplay of flow
and resonance decays on the one- and two-particle spectra. We discuss in detail
the non-Gaussian features of the correlation function introduced by long-lived
resonances and the resulting problems in extracting meaningful HBT radii. We
propose to define them in terms of the second order q-moments of the correlator
C(q, K). We show that this yields a more reliable characterisation of the
correlator in terms of its width and the correlation strength `lambda' than
other commonly used fit procedures. The normalized fourth-order q-moments
(kurtosis) provide a quantitative measure for the non-Gaussian features of the
correlator. At least for the class of models studied here, the kurtosis helps
separating effects from expansion flow and resonance decays, and provides the
cleanest signal to distinguish between scenarios with and without transverse
flow.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 11:29:14 GMT""},{""version"":""v2"",""created"":""Mon, 12 Jan 1998 13:22:09 GMT""}]","2008-11-26"
"patt-sol/9611002","Aric Hagberg","Aric Hagberg (http://t7.lanl.gov/People/Aric) and Ehud Meron
  (http://www.bgu.ac.il/BIDR/research/staff/meron.html)","The Dynamics of Curved Fronts: Beyond Geometry","4 pages RevTeX","Physical Review Letters 78, 1166 (1997)","10.1103/PhysRevLett.78.1166",,"patt-sol nlin.PS",,"  We derive a new set of kinematic equations for front motion in
two-dimensional bistable media. The equations generalize the geometric approach
by complementing the equation for the front curvature with an order parameter
equation associated with a nonequilibrium Ising-Bloch bifurcation. The
resulting equations capture the core structure of spiral waves and spontaneous
spiral-wave nucleation.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 21:04:32 GMT""}]","2009-10-30"
"quant-ph/9611026","Mike Ashworth","M. C. Ashworth","Coherent State Approach to Time Reparameterization Invariant Systems",,"Phys.Rev. A57 (1998) 2357-2367","10.1103/PhysRevA.57.2357",,"quant-ph gr-qc",,"  For many years coherent states have been a useful tool for understanding
fundamental questions in quantum mechanics. Recently, there has been work on
developing a consistent way of including constraints into the phase space path
integral that naturally arises in coherent state quantization. This new
approach has many advantages over other approaches, including the lack of any
Gribov problems, the independence of gauge fixing, and the ability to handle
second-class constraints without any ambiguous determinants. In this paper, I
use this new approach to study some examples of time reparameterization
invariant systems, which are of special interest in the field of quantum
gravity.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 20:35:04 GMT""}]","2009-10-30"
