"adap-org/9611003","David A. Head","D. A. Head and G. J. Rodgers","A model of macroevolution with a natural system size","Complete rewrite, small mistake in model corrected",,,,"adap-org cond-mat.stat-mech nlin.AO q-bio",,"  We describe a simple model of evolution which incorporates the branching and
extinction of species lines, and also includes abiotic influences. A first
principles approach is taken in which the probability for speciation and
extinction are defined purely in terms of the fitness landscapes of each
species. Numerical simulations show that the total diversity fluctuates around
a natural system size $N_{\rm nat}$ which only weakly depends upon the number
of connections per species. This is in agreement with known data for real
multispecies communities. The numerical results are confirmed by approximate
mean field analysis.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 15:35:19 GMT""},{""version"":""v2"",""created"":""Tue, 14 Jul 1998 08:53:23 GMT""}]","2008-02-03"
"cond-mat/9611041","Thomas Vilgis","M.P. Solf and T.A. Vilgis","Langevin Dynamics of a Polymer with Internal Distance Constraints","To appear in PRE, Figures on request",,"10.1103/PhysRevE.55.3037",,"cond-mat.soft",,"  We present a novel and rigorous approach to the Langevin dynamics of ideal
polymer chains subject to internal distance constraints. The permanent
constraints are modelled by harmonic potentials in the limit when the strength
of the potential approaches infinity (hard crosslinks). The crosslinks are
assumed to exist between arbitrary pairs of monomers. Formally exact
expressions for the resolvent and spectral density matrix of the system are
derived. To illustrate the method we study the diffusional behavior of monomers
in the vicinity of a single crosslink within the framework of the Rouse model.
The same problem has been studied previously by Warner (J. Phys. C: Solid State
Phys. {\bf 14}, 4985, (1981)) on the basis of Lagrangian multipliers. Here we
derive the full, hence exact, solution to the problem.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 10:01:01 GMT""}]","2009-10-28"
"cond-mat/9611042",,"M.R. Kibler, J. Meyer and M. Daoud","On $qp$-Deformations in Statistical Mechanics of Bosons in D Dimensions","15 pages, Latex File, to be published in Symmetry and Structural
  Properties of Condensed Matter, Eds. T. Lulek, B. Lulek and W. Florek (World
  Scientific, Singapore, 1997)",,,,"cond-mat.stat-mech math.QA physics.atom-ph physics.chem-ph q-alg quant-ph",,"  The Bose distribution for a gas of nonrelativistic free bosons is derived in
the framework of $qp$-deformed second quantization. Some thermodynamical
functions for such a system in D dimensions are derived. Bose-Einstein
condensation is discussed in terms of the parameters q and p as well as a
parameter $\nu_0'$ which characterizes the representation space of the
oscillator algebra.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 11:41:47 GMT""}]","2016-08-31"
"cond-mat/9611043","Norbert Schultka","Norbert Schultka","Finite-size scaling of the helicity modulus of the two-dimensional O(3)
  model","4 pages, 3 Postscript figures, to appear in Phys. Rev. B Jan. 1997 as
  a Brief Report",,"10.1103/PhysRevB.55.41",,"cond-mat.stat-mech hep-lat hep-th",,"  Using Monte Carlo methods, we compute the finite-size scaling function of the
helicity modulus $\Upsilon$ of the two-dimensional O(3) model and compare it to
the low temperature expansion prediction. From this, we estimate the range of
validity for the leading terms of the low temperature expansion of the
finite-size scaling function and for the low temperature expansion of the
correlation length. Our results strongly suggest that a Kosterlitz-Thouless
transition at a temperature $T > 0$ is extremely unlikely in this model.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 12:20:38 GMT""}]","2016-08-31"
"cond-mat/9611045","Marcelo Rozenberg","Marcelo J. Rozenberg","Integer filling metal insulator transitions in the degenerate Hubbard
  model","4 pages + 4 figures (in 5 ps-files), revtex",,"10.1103/PhysRevB.55.R4855",,"cond-mat.str-el",,"  We obtain exact numerical solutions of the degenerate Hubbard model in the
limit of large dimensions (or large lattice connectivity). Successive
Mott-Hubbard metal insulator transitions at integer fillings occur at
intermediate values of the interaction and low enough temperature in the
paramagnetic phase. The results are relevant for transition metal oxides with
partially filled narrow degenerate bands.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 15:52:50 GMT""}]","2009-10-28"
"gr-qc/9611011","Martin Rainer","A. Zhuk","On Relation between String Theory and Multidimensional Cosmology","latex, to appear in Gravitation and Cosmology","Grav.Cosmol. 2 (1996) 319-320",,"OU-DTP/96-01","gr-qc",,"  It is shown that a transition from a multidimensional cosmological model with
one internal space of the dimension d_1 to the effective tree-level bosonic
string corresponds to an infinite number of the internal dimensions: d_1 ->
infinity.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 16:17:37 GMT""}]","2007-05-23"
"gr-qc/9611012","Nicholas G. Phillips","Nicholas G. Phillips, B. L. Hu","Fluctuations of the vacuum energy density of quantum fields in curved
  spacetime via generalized zeta functions","Uses revtex","Phys.Rev. D55 (1997) 6123-6134","10.1103/PhysRevD.55.6123","UMDPP#97-58","gr-qc",,"  For quantum fields on a curved spacetime with an Euclidean section, we derive
a general expression for the stress energy tensor two-point function in terms
of the effective action. The renormalized two-point function is given in terms
of the second variation of the Mellin transform of the trace of the heat kernel
for the quantum fields. For systems for which a spectral decomposition of the
wave opearator is possible, we give an exact expression for this two-point
function. Explicit examples of the variance to the mean ratio $\Delta' =
(<\rho^2>-<\rho>^2)/(<\rho>^2)$ of the vacuum energy density $\rho$ of a
massless scalar field are computed for the spatial topologies of $R^d\times
S^1$ and $S^3$, with results of $\Delta'(R^d\times S^1) =(d+1)(d+2)/2$, and
$\Delta'(S^3) = 111$ respectively. The large variance signifies the importance
of quantum fluctuations and has important implications for the validity of
semiclassical gravity theories at sub-Planckian scales. The method presented
here can facilitate the calculation of stress-energy fluctuations for quantum
fields useful for the analysis of fluctuation effects and critical phenomena in
problems ranging from atom optics and mesoscopic physics to early universe and
black hole physics.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 19:47:39 GMT""}]","2016-08-31"
"gr-qc/9611013","Nami Fux Svaiter","R. De Paola and N.F. Svaiter","Radiative processes for Rindler and accelerating observers and the
  stress-tensor detector","36 pages, Latex",,,,"gr-qc",,"  We consider a monopole detector interacting with a massive scalar field. The
radiative processes are discussed from the accelerated frame point of view.
After this, we obtain the Minkowski vacuum stress tensor measured by the
accelerated observer using a non-gravitational stress tensor detector as
discussed by Ford and Roman (PRD 48, 776 (1993)). Finally, we analyse radiative
processes of the monopole detector travelling in a world line that is inertial
in the infinite past and has a constant proper acceleration in the infinite
future.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 22:20:05 GMT""}]","2007-05-23"
"gr-qc/9611014","Shuhei Mano","Shuhei Mano and Eiichi Takasugi","Analytic Solutions of the Teukolsky Equation and their Properties","28 pages","Prog.Theor.Phys. 97 (1997) 213-232","10.1143/PTP.97.213",,"gr-qc",,"  The analytical solutions reported in our previous paper are given as series
of hypergeometric or Coulomb wave functions. By using them, we can get the
Teukolsky functions analytically in a desired accuracy. For the computation,
the deep understanding of their properties is necessary. We summarize the main
result: The relative normalization between the solutions with a spin weight s
and -s is given analytically by using the Teukolsky-Starobinsky (T-S)
identities. By examining the asymptotic behaviors of our solution and combined
with the T-S identities and the Wronskian, we found nontrivial identities
between the sums of coefficients of the series. These identities will serve to
make various expression in simpler forms and also become a powerful tool to
test the accuracy of the computation. As an application, we investigated the
absorption rate and the evaporation rate of black hole and obtain interesting
analytic results.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 10:05:33 GMT""}]","2009-10-28"
"gr-qc/9611015","Mahmut Hortacsu","M. Hortacsu and N. Ozdemir","An Extension of Multiple Cosmic String Solution: A Proposal","8 pages, latex",,,"MRC-PH.TH-13/96","gr-qc",,"  We extend the work done for cosmic strings and show that for a more general
class of locally flat metrics the one loop calculation do not introduce any new
divergences to the VEV of the energy of a scalar particle. We explicitly
perform the calculation for the configuration where we have one cosmic string
in the presence of a dipole made out of cosmic strings.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 13:49:31 GMT""}]","2007-05-23"
"hep-ex/9611003",,"Reinhard A. Schumacher (Carnegie Mellon University)","Photoproduction evidence for and against hidden-strangeness states near
  2 GeV","9 pages, RevTex, five postscript figures, submitted to PRD","Phys.Rev.C56:2774-2778,1997","10.1103/PhysRevC.56.2774","CMUMEG-96007","hep-ex nucl-ex",,"  Experimental evidence from coherent diffractive proton scattering has been
reported for two narrow baryonic resonances which decay predominantly to
strange particles. These states, with masses close to 2.0 GeV would, if
confirmed, be candidates for hidden strangeness states with unusual internal
structure. In this paper we examine the literature on strangeness
photoproduction, to seek additional evidence for or against these states. We
find that one state is not confirmed, while for the other state there is some
mild supporting evidence favoring its existence. New experiments are called
for, and the expected photoproduction lineshapes are calculated.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 17:23:06 GMT""}]","2008-11-26"
"hep-ex/9611004","Ralph Eichler","S. Aid, et al. (H1 Collaboration)","Scale Influence on the Energy Dependence of Photon-Proton Cross Sections","13 pages, latex, 3 Figures","Phys.Lett.B392:234-242,1997","10.1016/S0370-2693(96)01594-8","DESY 96-224","hep-ex",,"  The scale dependence of the evolution of photoproduction cross sections with
the photon-proton centre of mass energy W is studied using low Q^2 < 0.01 GeV^2
e^+p interactions collected by the H1 experiment at HERA. The value of the
largest transverse momentum of a charged particle in the photon fragmentation
region is used to define the hard scale. The slope of the $W$ dependence of the
cross section is observed to increase steeply with increasing transverse
momentum. The result is compared to measurements of the Q^2 evolution of the W
dependence of the virtual photon-proton cross section. Interpretations in terms
of QCD and in terms of Regge phenomenology are discussed.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 15:05:09 GMT""}]","2008-11-26"
"hep-lat/9611005","Klaus Scharnhorst","K. Scharnhorst (University of Wales Swansea and Humboldt University
  Berlin)","The exact equivalence of the one-flavour lattice Thirring model with
  Wilson fermions to a two-colour loop model","29 pages LaTeX","Nucl.Phys.B503:479-504,1997","10.1016/S0550-3213(97)00423-9","SWAT/96/131, HUB-EP-96/56","hep-lat cond-mat hep-th",,"  Within Euclidean lattice field theory an exact equivalence between the
one-flavour 2D Thirring model with Wilson fermions and Wilson parameter $r = 1$
to a two-colour loop model on the square lattice is established. For
non-interacting fermions this model reduces to an exactly solved loop model
which is known to be a free fermion model. The two-colour loop model equivalent
to the Thirring model can also be understood as a 4-state 49-vertex model.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 13:19:37 GMT""}]","2008-11-26"
"hep-ph/9611232","Michael Spira","W.Beenakker, R.Hoepker, M.Spira","PROSPINO: A Program for the Production of Supersymmetric Particles in
  Next-to-leading Order QCD","12 pages, latex, no figures, Complete postscript file and FORTRAN
  source codes available from http://wwwcn.cern.ch/~mspira/prospino/",,,,"hep-ph",,"  A Fortran-program for the production cross-sections of squarks and gluinos at
hadron colliders is described. It includes full next-to-leading order SUSY-QCD
corrections to all possible final states ($\squark\squarkbar, \gluino\gluino,
\squark\gluino, \squark\squark$). The program allows to calculate total
cross-sections as well as differential distributions in the transverse momentum
p_t and the rapidity y of one of the outgoing particles. In addition cuts in
p_t and y can easily be implemented.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 17:15:17 GMT""}]","2016-09-06"
"hep-ph/9611237","Francesco Vissani","Marco Fabbrichesi and Francesco Vissani","The supersymmetric prediction for the muon transverse polarization in
  the $K^+ \leftarrow \pi^0 \mu^+ \nu_\mu$ decay","latex, 18 pages, 1 latex figure","Phys.Rev.D55:5334-5340,1997","10.1103/PhysRevD.55.5334","IC/96/220, SISSA 140/96/EP","hep-ph",,"  The muon transverse polarization in the $K^+ \leftarrow \pi^0 \mu^+ \nu_\mu$
decay will be measured at the $10^{-4}$ level in forthcoming experiments. We
compare the phenomenological perspectives with the theoretical predictions in
supersymmetric extensions of the standard model. In the minimal extension,
CP-violating phases lead to a non-zero transverse polarization, that however is
too small to account for a positive experimental signal. The problems that one
encounters when departing from minimal assumptions are discussed. An observable
effect is possible if the hypothesis of R-parity conservation is relaxed, but
only at the price of assuming a very special pattern for the R-parity breaking
couplings.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 19:01:56 GMT""}]","2014-11-17"
"hep-ph/9611240","Scott Willenbrock","S. Willenbrock (U. of Illinois)","Top Quark Theory","9 pages, LateX, uses stwol.sty, 3 ps figures included. Plenary talk
  presented at the 28th International Conference on High Energy Physics, July
  25-31, 1996, Warsaw, Poland",,,,"hep-ph",,"  I review recent theoretical work on top-quark physics within the standard
model, beyond the standard model, and at the Planck scale.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 17:00:50 GMT""}]","2007-05-23"
"hep-ph/9611241","Bernd Krause","Andrzej Czarnecki and Bernd Krause","Computing Techniques for Two-Loop Corrections to Anomalous Magnetic
  Moments of Leptons","Updated Higher Order Hadronic Corrections. Talk given at the 5th
  International Workshop ``New Computing Techniques in Physics Research'',
  Lausanne, September 1996. 7 pages, latex","Nucl.Instrum.Meth.A389:314-317,1997","10.1016/S0168-9002(97)00113-7","TTP96-51","hep-ph",,"  Two-loop electroweak corrections to the electron, muon, and tau lepton
anomalous magnetic moments have been computed recently. Effects of hadronic
contributions to the photon propagator in two-loop QED corrections have also
been reanalysed. The common technique used in both calculations was asymptotic
expansion of Feynman diagrams in the ratio of lepton mass to some heavy mass
scale. In this talk we present some details of this method paying particular
attention to the expansion of multi-scale diagrams.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 17:25:30 GMT""},{""version"":""v2"",""created"":""Tue, 12 Nov 1996 15:05:20 GMT""}]","2011-04-15"
"hep-ph/9611242","Elena Boglione","M.R. Pennington","Calculating hadronic properties in strong QCD","6 Latex pages, 5 figures",,,,"hep-ph",,"  This talk, given at the Second Workshop on ELFE Physics, St Malo, France,
September 1996, presents a brief review of the progress that has been made in
calculating the properties of hadrons in strong QCD.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 18:40:38 GMT""}]","2007-05-23"
"hep-ph/9611243","Andrea Romanino","Gautam Bhattacharyya and Andrea Romanino","Naturalness constraints on gauge-mediated supersymmetry breaking models","Latex, 8 pages, 1 eps figure enclosed. Minor changes, version to be
  published","Phys.Rev. D55 (1997) 7015-7019","10.1103/PhysRevD.55.7015","IFUP-TH 67/96","hep-ph",,"  The question of naturalness is addressed in the context of gauge-mediated
supersymmetry breaking models. Requiring that $M_Z$ arises naturally imposes
upper limits on the right-handed selectron mass in these models that are
stronger than in the Minimal Supersymmetric Standard Model and are interesting
from the point of view of searches at the current and future colliders.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 21:24:59 GMT""},{""version"":""v2"",""created"":""Thu, 27 Feb 1997 13:09:41 GMT""}]","2009-10-30"
"hep-ph/9611244","Tim Tait","Tim Tait and C.--P. Yuan","Anomalous t-c-g coupling: The connection between single top production
  and top decay","5 pages. Requires epsf.sty to process .eps formatted figures","Phys.Rev.D55:7300-7301,1997","10.1103/PhysRevD.55.7300","MSUHEP-61105","hep-ph",,"  Continuing earlier work, we examine the constraint on an anomalous t-c-g
coupling from top quark decay. We find that from current CDF measurements of
the branching ratio $t \rightarrow W b$, the minimum scale at which new physics
can strongly modify the t-c-g coupling is \Ltcg $\geq$ about 950 GeV. At the
upgraded Tevatron, single top production can constrain \Ltcg $\geq$ 4.5 TeV.
The connection between t-c production and the decay $t \rightarrow c g$ is
examined, showing how constraints on one lead to a constraint on the other.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 22:11:09 GMT""}]","2008-11-26"
"hep-ph/9611245","Charles A. Nelson","Charles A. Nelson","Tau Decays Beyond the Standard Model","9 pages, latex, no figures Talk at TAU96 workshop",,"10.1016/S0920-5632(97)00224-7","SUNY BING 10/30/96","hep-ph",,"  In a recent paper, 8 semileptonic parameters were defined to specify the most
general Lorentz-invariant spin correlation functions for 2-body tau decays.
These parameters can be used to search for anomalous longitudinal-versus
transverse polarized-partial widths, for non-CKM-type leptonic CP violation,
and for leptonic T violation. They can also be used to bound the effective-mass
scales ``Lambda"" for new physics arising from additional Lorentz structures,
e.g. from lepton compositeness, tau weak magnetism, weak electricity, or
second-class currents. It is emphasized that (i) for these tests ``different
modes have different merits"" and that (ii) the parameters can be measured
either by using spin-correlation techniques without polarized beams, or with
longitudinally polarized beams.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 17:13:35 GMT""}]","2009-10-30"
"hep-ph/9611246","Gordon Ramsey","Gordon P. Ramsey (Loyola U Chicago and ANL)","Polarized Parton Distributions: Theory and Experiments","15 pages, 3 figures, LaTeX. To appear in the proceedings of the
  Circum-Pan-Pacific Workshop on High Energy Spin Physics 96, Kobe, Japan, 2-4
  October, 1996",,,,"hep-ph",,"  I review the constituent contributions to the spin of the proton extracted
from recent data at CERN, SLAC and DESY. The valence, sea quark and antiquark
spin-weighted distributions are determined separately. The data appear to imply
a small to moderate polarized gluon distribution, so that the anomaly term is
not significant in determining these contributions. We have analyzed the
consistency of the results obtained from various sets of data and the Bjorken
Sum Rule. All data are consistent with the sum rule, but they differ in the
contribution of the strange sea to proton spin. This and the remaining
uncertainty in the polarized gluon distribution pose unanswered questions about
hadronic spin. Further experiments are suggested which can extract information
about the polarized gluon and sea to address these questions.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 22:36:46 GMT""}]","2007-05-23"
"hep-ph/9611247","Alakabha Datta","A. Datta and X. Zhang","Non-Universal Correction to $Z \to b {\overline b}$ and Single Top Quark
  Production at Tevatron","8 pages, Latex, 1 figure, BIHEP-TH-96-29","Phys.Rev.D55:2530-2532,1997","10.1103/PhysRevD.55.2530",,"hep-ph",,"  New physics associated with the heavy top quark can affect top quark
production and the partial decay width of $Z \rightarrow b \bar b$. In this
paper, we examine the correlated effects of possible new physics on ${R_b}$
measured at LEP I and the single top quark production rate at Tevatron by using
an effective lagrangian technique. We point out that certain operators in the
effective lagrangian, constrained by the measured value of $R_b$, can lead to
significant and potentially observable effects in single top production.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 02:49:08 GMT""}]","2009-12-30"
"hep-ph/9611248","Passarino Giampiero","Giampiero Passarino (Torino University and INFN Torino)","Standard Higgs Boson Searches at LEP 2","47 pages, 21 Postscript figures","Nucl.Phys. B488 (1997) 3-38","10.1016/S0550-3213(97)00031-X",,"hep-ph",,"  For the first time at LEP most of the events will have four fermions in the
finals state and we have the unique opportunity of testing a complete
calculation with the experimental data, well beyond the usual approximation of
computing production cross section times branching ratios of Higgs into decay
products. Calculation of the total cross sections and of different kinds of
differential distributions at the partonic level are made available to access
the widest information for choosing cuts, for discussing the physics of a
standard Higgs boson with a mass around 90 GeV where the Higgs and the Z signal
become degenerate and for a comprehensive analysis of the various background
components.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 07:04:10 GMT""}]","2009-10-30"
"hep-ph/9611249","Gerhard Schuler","Gerhard A. Schuler (CERN)","GALUGA, a Monte Carlo program for two-photon processes in e+e-
  collisions","Latex, 29 pages, 7 figures, uses 12pt.sty, epsfig.sty, amsbsy.sty",,,"CERN-TH/96-313","hep-ph",,"  A Monte Carlo program is presented for the computation of the most general
cross section for two-photon production in e+e- collisions at fixed two-photon
invariant mass W. Functions implemented for the five gamma* gamma* structure
functions include three models of the total hadronic cross section and the
lepton-pair production cross section. Prospects of a structure-function
determination through a study of the azimuthal dependence between the two
scattering planes are outlined. All dependences on the electron mass and the
photon virtualities Q_i^2 are fully kept. Special emphasis is put on a
numerically stable evaluation of all variables over the full Q_i^2 range from
Q_{i\min}^2 \sim m_e^2 (W/\sqrt{s})^4 \ll m_e^2 up to Q_{i\max}^2 \sim s. A
comparison is made with an existing Monte Carlo program for lepton-pair
production and an equivalent-photon approximation for hadronic cross sections.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 13:18:39 GMT""}]","2016-09-06"
"hep-ph/9611250","Werner Wetzel","Jueping Liu and Werner Wetzel","Gluon-mass effects in quarkonia decays, $e^+e^-$ annihilation and the
  scalar glueball current","14 pages, latex, 5 figures",,,"HD-THEP 96-047","hep-ph",,"  In this paper we continue previous efforts in the literature to determine
phenomenological values for the gluon mass by confronting theoretical results
obtained in a theory of massive gluons with experimental values or results
directly referring to the nontrivial structure of the Yang-Mills vacuum, e.g.
to the presence of the gluon condensate. The decays of heavy quarkonia into 3
gluons and 2 gluons + photon are considered in detail as well as the
correlators of the electromagnetic current and the scalar glueball current.
Based on the analysis for the latter quantities a value for the gluon mass in
the range of 500-600 MeV is estimated from the standard SVZ-value of the gluon
condensate.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 09:42:13 GMT""}]","2007-05-23"
"hep-ph/9611251","Ellwanger","U. Ellwanger, M. Rausch de Traubenberg, C.A. Savoy","Phenomenology of supersymmetric models with a singlet","32 pages, 1 table, 6 figures, LaTeX2e","Nucl.Phys.B492:21-50,1997","10.1016/S0550-3213(97)00128-4","Orsay LPTHE-96-85, Saclay SPhT-T96/050, Strasbourg LPT-96-21","hep-ph",,"  The supersymmetric extension of the standard model with an additional gauge
singlet is analysed in detail in the light of the recent experimental bounds on
supersymmetric particles. The useful part of the parameter space and the
particle spectrum are displayed. We find that once the recent bounds on the
chargino mass are imposed, all other new particles practically satisfy the
present experimental limits. Special attention is given to particles to be
searched for in the future experiments. The singlet fields tend to decouple and
give rise to an effective MSSM, enlarging the validity of many phenomenological
analyses based in the minimal field content. However, in some ranges of the
parameters the singlino is the lightest neutralino, which modifies the
signature for susy particles. Simple analytical approximations are developed
that qualitatively explain the numerical results.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 11:05:22 GMT""}]","2010-05-27"
"hep-ph/9611252","Oleg Selugin","S.V. Goloskokov, S.P. Kuleshov, O.V. Selyugin","Spin asymmetries of the proton-proton elastic scattering at HERA-N","5 pages, 3 figures (files.eps) Talk on Workshop HERA-Dubna ""Spin
  Physics on HERA-N""",,,,"hep-ph",,"  The spin correlation parameters, polarization - $A_{N}$ and double spin
correlation parameters - $A_{NN}$, are calculated in the framework of dynamical
model (GKS) of the hadron-hadron interection in the whole region of small
angles and for energy HERA-N $\sqrt{s}=40 GeV$. It is shown that the
measurements of such spin effects at small trunsfer momenta, in the region of
the dip structure and at $t=-4 GeV^{2}$ have to give significant values of such
spin correlation parameters.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 10:54:52 GMT""}]","2007-05-23"
"hep-ph/9611253","U. Meissner","V. Bernard, N. Kaiser and Ulf-G. Mei{\ss}ner","Aspects of chiral pion-nucleon physics","19 pp, LaTeX, enlarged and revised version, title changed, minor
  corrections in section 4, more detailed discussion in section 5, additional
  results in sec. 6 and the appendix, accepted for publication in Nucl. Phys. A","Nucl.Phys. A615 (1997) 483-500","10.1016/S0375-9474(97)00021-3","KFA-IKP(Th)-1996-14 and LPT-96-22","hep-ph",,"  The next-to-leading order chiral pion-nucleon Lagrangian contains seven
finite low-energy constants. Two can be fixed from the nucleon anomalous
magnetic moments and another one from the quark mass contribution to the
neutron-proton mass splitting. We find a set of nine observables, which to one
loop order do only depend on the remaining four dimension two couplings. These
are then determined from a best fit. We also show that their values can be
understood in terms of resonance exchange related to $\Delta$ excitation as
well as vector and scalar meson exchange. In particular, we discuss the role of
the fictitious scalar-isoscalar meson. We also investigate the chiral expansion
of the two P-wave scattering volumes $P_1^-$ and $P_2^+$ as well as the
isovector S-wave effective range parameter $b^-$. The one-loop calculation is
in good agreement with the data. The difference $P_1^- - P_2^+$ signals chiral
loop effects in the $\pi N$ P-waves. The calculated D- and F-wave threshold
parameters compare well with the empirical values.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 13:27:36 GMT""},{""version"":""v2"",""created"":""Tue, 28 Jan 1997 08:58:45 GMT""}]","2016-09-06"
"hep-ph/9611254","Jonathan R. Ellis","John Ellis","Current Issues in the Phenomenology of Particle Physics","32 pages, LaTeX, 10 figures (included), Invited plenary talk
  presented at the Inaugural Conference of the APCTP, Seoul, June 1996","Int.J.Mod.Phys.A12:5531-5554,1997","10.1142/S0217751X97002905","CERN-TH/96-210","hep-ph",,"  The present status of the Standard Model and its experimental tests are
reviewed, including indications on the likely mass of the Higgs boson. Also
discussed are the motivations for supersymmetry and grand unification, searches
for sparticles at LEP, neutrino oscillations, and the prospects for physics at
the LHC.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 15:23:17 GMT""}]","2009-09-11"
"hep-th/9611027","Marcelo Gomes","M. Gomes, J. M. C. Malbouisson, and A. J. da Silva","Relativistic Corrections to the Aharonov-Bohm Scattering","14 pages, 5 figures, revtex","Phys.Lett. A236 (1997) 373-382","10.1016/S0375-9601(97)00831-1","IFUSP/P-1245","hep-th",,"  We determine the |p|/m expansion of the two body scattering amplitude of the
quantum theory of a Chern-Simons field minimally coupled to a scalar field with
quartic self-interaction. It is shown that the existence of a critical value of
the self-interaction parameter for which the 2-particle amplitude reduces to
the Aharonov-Bohm one is restricted to the leading, nonrelativistic, order. The
subdominant terms correspond to relativistic corrections to the Aharonov-Bohm
scattering.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 18:21:37 GMT""}]","2009-10-30"
"hep-th/9611028","Giovanni Amelino-Camelia","G. Amelino-Camelia, D. Bak, and D. Seminara","String-Inspired Gravity Coupled to Yang-Mills Fields","15 pages, LaTex.","Phys.Rev.D54:6193-6201,1996","10.1103/PhysRevD.54.6193","MIT-CTP-2539 OUTP-96-18-P SNUTP-96-044","hep-th gr-qc",,"  String-inspired 1+1-dimensional gravity is coupled to Yang-Mills fields in
the Cangemi-Jackiw gauge-theoretical formulation, based on the extended
Poincar\'e group. A family of couplings, which involves metrics obtainable from
the physical metric with a conformal rescaling, is considered, and the
resulting family of models is investigated both at the classical and the
quantum level. In particular, also using a series of Kirillov-Kostant phases,
the wave functionals that solve the constraints are identified.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 18:34:47 GMT""}]","2011-09-09"
"hep-th/9611029","George Papadopoulos","G. Papadopoulos","The Universality of M-branes","Many changes have been made in the text and some references have been
  added. 8 pages, Latex, Talk at the Imperial College Workshop 5-10 July",,"10.1142/9781848160927_0025","DAMTP-R/52","hep-th",,"  We review the evidence for the various dualities amongst the five D=10
superstring theories and for the existence of M-theory using the associated
effective supergravity theories. We also summarise the combinatorial technics
developed for constructing BPS solutions in D=11 supergravity theory and
conjecture that all the BPS solutions of D<11 supergravity theories can be
derived from the BPS solutions of D=11 supergravity that preserve 1/2 the
supersymmetry. To demonstrate this, we derive the dyonic p-brane solutions from
eleven dimensions.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 20:02:20 GMT""},{""version"":""v2"",""created"":""Thu, 23 Jan 1997 18:53:12 GMT""}]","2016-12-21"
"hep-th/9611030","Nami Fux Svaiter","A.P.C. Malbouisson, B.F. Svaiter and N.F. Svaiter","Analytic regularization of the Yukawa Model at Finite Temperature","19 pages, Latex","J.Math.Phys. 38 (1997) 2210-2218","10.1063/1.531969",,"hep-th",,"  We analyse the one-loop fermionic contribution for the scalar effective
potential in the temperature dependent Yukawa model. In order to regularize the
model a mix between dimensional and analytic regularization procedures is used.
We find a general expression for the fermionic contribution in arbitrary
spacetime dimension. It is found that in D=3 this contribution is finite.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 22:22:59 GMT""}]","2009-10-30"
"hep-th/9611031","Domingo J. Louis Martinez","Domingo Louis-Martinez (University of British Columbia)","Dirac Quantization of Two-Dimensional Dilaton Gravity Minimally Coupled
  to N Massless Scalar Fields",,"Phys.Rev.D55:7982-7984,1997","10.1103/PhysRevD.55.7982",,"hep-th",,"  It is shown that the Callan-Giddings-Harvey-Strominger theory on the cylinder
can be consistently quantized (using Dirac's approach) without imposing any
constraints on the sign of the gravitational coupling constant or the sign (or
value) of the cosmological constant. The quantum constraints in terms of the
original geometrical variables are also derived.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 22:52:44 GMT""}]","2011-09-09"
