"alg-geom/9611025","Bozidar Ilic","Bo Ilic and J.M. Landsberg","On symmetric degeneracy loci, spaces of symmetric matrices of constant
  rank and dual varieties","AMS-TeX, 15 pages",,,,"alg-geom dg-ga math.AG math.DG",,"  Let X be a nonsingular simply connected projective variety of dimension m, E
a rank n vector bundle on X, and L a line bundle on X. Suppose that $S^2(E^{*})
\otimes L$ is an ample vector bundle and that there is a constant even rank $r
\ge 2$ symmetric bundle map $E \to E^{*} \otimes L$. We prove that $m \le n-r$.
We use this result to solve the constant rank problem for symmetric matrices,
proving that the maximal dimension of a linear subspace of the space of
$m\times m$ symmetric matrices such that each nonzero element has even rank $r
\ge 2$ is $m-r+1$. We explain how this result relates to the study of dual
varieties in projective geometry and give some applications and examples.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 16:56:57 GMT""}]","2008-02-03"
"cond-mat/9611158","Stefan Ulreich","Robert Benoist, Wilhelm Zwerger","Critical Fields of mesoscopic superconductors","5 pages (Revtex and 2 PostScript figures), to apppear in Z. Phys. B",,"10.1007/s002570050391",,"cond-mat.supr-con",,"  Recent measurements have shown oscillations in the upper critical field of
simply connected mesoscopic superconductors. A quantitative theory of these
effects is given here on the basis of a Ginzburg-Landau description. For small
fields, the $H-T$ phase boundary exhibits a cusp where the screening currents
change sign for the first time thus defining a lower critical field $H_{c1}$.
In the limit where many flux quanta are threading the sample, nucleation occurs
at the boundary and the upper critical field becomes identical with the surface
critical field $H_{c3}$.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 09:15:15 GMT""}]","2009-10-28"
"cond-mat/9611159",,"N. S. Branco (Universidade Federal de Santa Catarina, Brazil)","Blume-Emery-Griffiths model on the square lattice with repulsive
  biquadratic coupling","14 pages, plain latex, 5 figures available upon request to
  nsbranco@fsc.ufsc.br",,"10.1016/0378-4371(96)00143-4",,"cond-mat.stat-mech",,"  Using a real-space renormalization group procedure with no adjustable
parameters, we investigate the Blume-Emery-Griffiths model on the square
lattice. The formalism respects sublattice symmetry, allowing the study of both
signs of K, the biquadratic exchange coupling. Our results for K>0 are compared
with other renormalization group calculations and with exact results, in order
to assess the magnitude of the errors introduced by our approximate
calculation. The quantitative agreement is excellent; values for critical
parameters differ, in some cases, by less than 1% from exact ones. For K<0, our
results lead to a rich phase diagram, with antiquadrupolar and ferromagnetic
ordered phases. Contrarily to Monte Carlo simulations, these two phases meet
only at zero temperature. Both antiquadrupolar-disordered and
ferromagnetic-disordered transitions are found to be continuous and no
ferrimagnetic phase is found.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 10:31:00 GMT""}]","2015-06-25"
"cond-mat/9611160","Ceyhun Bulutay","C. Bulutay and M. Tomak (Middle East Technical University, Ankara,
  Turkey)","Dielectric Properties of the Quasi-Two-Dimensional Electron Liquid in
  Heterojunctions","39 pages (in LaTeX), including 8 PostScript figures","Physical Review B54 (1996) 14643-14651","10.1103/PhysRevB.54.14643",,"cond-mat",,"  A quasi-two-dimensional (Q2D) electron liquid (EL) is formed at the interface
of a semiconductor heterojunction. For an accurate characterization of the Q2D
EL, many-body effects need to be taken into account beyond the random phase
approximation. In this theoretical work, the self-consistent static local-field
correction known as STLS is applied for the analysis of the Q2D EL. The
penetration of the charge distribution to the barrier-acting material is taken
into consideration through a variational approach. The Coulomb from factor that
describes the effective 2D interaction is rigorously treated. The longitudinal
dielectric function and the plasmon dispersion of the Q2D EL are presented for
a wide range of electron and ionized acceptor densities choosing GaAs/AlGaAs as
the physical system. Analytical expressions fitted to our results are also
supplied to enable a widespread use of these results.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 13:12:16 GMT""}]","2009-10-28"
"cond-mat/9611161","Taco Portengen","T. Portengen (1), J. R. Chapman (1), V. Nikos Nicopoulos (1), and N.
  F. Johnson (1) ((1) University of Oxford)","Photoluminescence signature of skyrmions at \nu = 1","11 pages, 2 PostScript figures. Replaced with version to appear in
  Physical Review B Rapid Communications. Minor changes, reference added","Phys. Rev. B R7367 (1997)","10.1103/PhysRevB.55.R7367",,"cond-mat.mes-hall",,"  The photoluminescence spectrum of quantized Hall states near filling factor
\nu = 1 is investigated theoretically. For \nu >= 1 the spectrum consists of a
right-circularly polarized (RCP) line and a left-circularly polarized (LCP)
line, whose mean energy: (1) does not depend on the electron g factor for
spin-1/2 quasielectrons, (2) does depend on g for charged spin-texture
excitations (skyrmions). For \nu < 1 the spectrum consists of a LCP line
shifted down in energy from the LCP line at \nu >= 1. The g-factor dependence
of the red shift of the LCP line determines the nature of the negatively
charged excitations.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 13:48:21 GMT""},{""version"":""v2"",""created"":""Tue, 11 Mar 1997 12:15:05 GMT""}]","2009-10-28"
"cond-mat/9611162","Piet Brouwer","P. W. Brouwer and C. W. J. Beenakker","Anomalous temperature dependence of the supercurrent through a chaotic
  Josephson junction","14 pages with 2 figures; the revision corrects the published version
  in Eqs. 8, 15, and 21d (with thanks to Marlies Goorden)","Chaos, Solitons & Fractals 8, 1249 (1997)","10.1016/S0960-0779(97)00018-0",,"cond-mat.mes-hall",,"  We calculate the supercurrent through a Josephson junction consisting of a
phase-coherent metal particle (quantum dot), weakly coupled to two
superconductors. The classical motion in the quantum dot is assumed to be
chaotic on time scales greater than the ergodic time $\tau_{erg}$, which itself
is much smaller than the mean dwell time $\tau_{dwell}$. The excitation
spectrum of the Josephson junction has a gap $E_{gap}$, which can be less than
the gap $\Delta$ in the bulk superconductors. The average supercurrent is
computed in the ergodic regime $\tau_{erg} \ll \hbar/\Delta$, using
random-matrix theory, and in the non-ergodic regime $\tau_{erg} \gg
\hbar/\Delta$, using a semiclassical relation between the supercurrent and
dwell-time distribution. In contrast to conventional Josephson junctions,
raising the temperature above the excitation gap does not necessarily lead to
an exponential suppression of the supercurrent. Instead, we find a temperature
regime between $E_{gap}$ and $\Delta$ where the supercurrent decreases
logarithmically with temperature. This anomalously weak temperature dependence
is caused by long-range correlations in the excitation spectrum, which extend
over an energy range $\hbar/\tau_{erg}$ greater than $E_{gap} \simeq
\hbar/\tau_{dwell}$. A similar logarithmic temperature dependence of the
supercurrent was discovered by Aslamazov, Larkin, and Ovchinnikov, in a
Josephson junction consisting of a disordered metal between two tunnel
barriers.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 15:19:24 GMT""},{""version"":""v2"",""created"":""Wed, 22 Jan 1997 13:16:56 GMT""},{""version"":""v3"",""created"":""Fri, 27 Aug 2004 13:23:52 GMT""}]","2008-02-03"
"cond-mat/9611163","Birgit Wehefritz","Ulrich Bilstein and Birgit Wehefritz","Spectra of non-hermitian quantum spin chains describing boundary induced
  phase transitions","LaTeX, 26 pages, 1 figure, uses ioplppt.sty","J. Phys. A 30 (1997) 4925","10.1088/0305-4470/30/14/008","Bonn-TH-96-18","cond-mat.stat-mech",,"  The spectrum of the non-hermitian asymmetric XXZ-chain with additional
non-diagonal boundary terms is studied. The lowest lying eigenvalues are
determined numerically. For the ferromagnetic and completely asymmetric chain
that corresponds to a reaction-diffusion model with input and outflow of
particles the smallest energy gap which corresponds directly to the inverse of
the temporal correlation length shows the same properties as the spatial
correlation length of the stationary state. For the antiferromagnetic chain
with both boundary terms, we find a conformal invariant spectrum where the
partition function corresponds to the one of a Coulomb gas with only magnetic
charges shifted by a purely imaginary and a lattice-length dependent constant.
Similar results are obtained by studying a toy model that can be diagonalized
analytically in terms of free fermions.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 14:31:35 GMT""}]","2009-10-28"
"cond-mat/9611164","Henry Hall","T.D.C. Bevan, A.J. Manninen, J.B. Cook, J.R. Hook, H.E. Hall, T.
  Vachaspati and G.E. Volovik","Momentum creation by vortices in 3He experiments as a model of
  primordial baryogenesis","20 pages including 3 figures in 8 files; submitted to Nature","Nature 386 (1997), 689","10.1038/386689a0",,"cond-mat hep-th",,"  We show that recent 3He experiments at Manchester demonstrate the creation of
excitation momentum (momentogenesis) by quantized vortices, a process analogous
to baryogenesis within cosmic strings. Since superfluid 3He is the most complex
field theoretic system available in the laboratory, this experiment gives a
firmer foundation to chiral anomaly calculations for baryogenesis on
non-trivial backgrounds of the Higgs field such as cosmic strings.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 15:17:06 GMT""},{""version"":""v2"",""created"":""Fri, 14 Feb 1997 18:11:43 GMT""}]","2009-10-28"
"cond-mat/9611165","Itai Kazumasa","P. Fazekas and K. Itai","Collective Kondo effect in the Anderson-Hubbard lattice","8 pages (latex) To appear in Physica B",,"10.1016/S0921-4526(96)00601-1",,"cond-mat.str-el",,"  The periodic Anderson model is extended by switching on a Hubbard U for the
conduction electrons. We use the Gutzwiller variational method to study the
nearly integral valent limit. The lattice Kondo energy contains the U-dependent
chemical potential of the Hubbard subsystem in the exponent, and the
correlation-induced band narrowing in the prefactor. Both effects tend to
suppress the Kondo scale, which can be understood to result from the blocking
of hybridization. At half-filling, we find a Brinkman-Rice-type transition from
a Kondo insulator to a Mott insulator.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 15:08:37 GMT""}]","2016-08-31"
"gr-qc/9611049","Gentil O. Pires","Carlos Pinheiro, Gentil O. Pires and Fernando A. B. Rabelo de Carvalho","Some Quantum Aspects of D=3 Space-Time Massive Gravity","8 pages, Latex, no figures","Braz.J.Phys. 27 (1997) 14-19",,,"gr-qc hep-th",,"  We discuss some features of Einstein-Proca gravity in D=3 and 4 space-times.
Our study includes a discussion on the tree-level unitarity and on the issue of
light deflection in 3D gravity in the presence of a mass term.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 17:54:55 GMT""}]","2016-08-31"
"gr-qc/9611050","Jong Hyuk Yoon","J.H. Yoon","4-Dimensional Kaluza-Klein Approach to General Relativity in the
  (2,2)-Splitting of Spacetimes","37 pages, RevTex, contains 1 ps file for one figure. Downloading the
  PostScript file is recommended for Web users. No change was made except this
  comment",,,"SNUTP 96-117","gr-qc hep-th",,"  We propose a Kaluza-Klein approach to general relativity of 4-dimensional
spacetimes. This approach is based on the (2,2)-splitting of a generic
4-dimensional spacetime, which is viewed as a local product of a
(1+1)-dimensional base manifold and a 2-dimensional fibre space. In this
Kaluza-Klein formalism we find that general relativity of 4-dimensional
spacetimes can be interpreted in a natural way as a (1+1)-dimensional gauge
theory. In a gauge where the (1+1)-dimensional metric can be written as the
Polyakov metric, the action is describable as a (1+1)-dimensional Yang-Mills
type gauge theory action coupled to a (1+1)-dimensional non-linear sigma field
and a scalar field, subject to the constraint equations associated with the
diffeomorphism invariance of the (1+1)-dimensional base manifold.
Diffeomorphisms along the fibre directions show up as the Yang-Mills type gauge
symmetries, giving rise to the Gauss-law constraints. We also present the
Einstein's equations in the Polyakov gauge and discuss them from the
(1+1)-dimensional gauge theory point of view. Finally we show that this
Kaluza-Klein formalism is closely related to the null hypersurface formalism of
general relativity.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 09:54:54 GMT""},{""version"":""v2"",""created"":""Tue, 3 Dec 1996 12:59:30 GMT""}]","2008-02-03"
"gr-qc/9611051","Thibault Damour","Alain Connes (IHES), Thibault Damour (IHES) and Pierre Fayet (LPTENS)","Aspherical gravitational monopoles","55 pages, Latex , submitted to Nucl.Phys.B","Nucl.Phys. B490 (1997) 391-434","10.1016/S0550-3213(97)00041-2","IHES/P/96/41","gr-qc hep-th",,"  We show how to construct non-spherically-symmetric extended bodies of uniform
density behaving exactly as pointlike masses. These ``gravitational monopoles''
have the following equivalent properties: (i) they generate, outside them, a
spherically-symmetric gravitational potential $M/|x - x_O|$; (ii) their
interaction energy with an external gravitational potential $U(x)$ is $- M
U(x_O)$; and (iii) all their multipole moments (of order $l \geq 1$) with
respect to their center of mass $O$ vanish identically. The method applies for
any number of space dimensions. The free parameters entering the construction
are: (1) an arbitrary surface $\Sigma$ bounding a connected open subset
$\Omega$ of $R^3$; (2) the arbitrary choice of the center of mass $O$ within
$\Omega$; and (3) the total volume of the body. An extension of the method
allows one to construct homogeneous bodies which are gravitationally equivalent
(in the sense of having exactly the same multipole moments) to any given body.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 14:21:09 GMT""}]","2016-08-31"
"gr-qc/9611052","David Garfinkle","David Garfinkle, E.N. Glass and J.P. Krisch","Solution generating with perfect fluids",,"Gen.Rel.Grav. 29 (1997) 467-480","10.1023/A:1018882615955",,"gr-qc",,"  We apply a technique, due to Stephani, for generating solutions of the
Einstein-perfect fluid equations. This technique is similar to the vacuum
solution generating techniques of Ehlers, Harrison, Geroch and others. We start
with a ``seed'' solution of the Einstein-perfect fluid equations with a Killing
vector. The seed solution must either have (i) a spacelike Killing vector and
equation of state P=rho or (ii) a timelike Killing vector and equation of state
rho+3P=0. The new solution generated by this technique then has the same
Killing vector and the same equation of state. We choose several simple seed
solutions with these equations of state and where the Killing vector has no
twist. The new solutions are twisting versions of the seed solutions.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 13:26:15 GMT""}]","2015-06-25"
"hep-lat/9611016","Jonathan Flynn","Jonathan M Flynn","Development in Lattice QCD","12 pages, LaTeX209, uses stwol.sty and psfig.tex (included). Talk
  presented at ICHEP 96, 28th International Conference on High Energy Physics,
  Warsaw, Poland, July 1996",,,"SHEP-96-33","hep-lat hep-ph",,"  After a brief discussion of the promise and limitations of the lattice
technique, I review lattice QCD results for several quantities of
phenomenological interest. These are: matrix elements for heavy-to-light meson
decays, leptonic decay constants f_B and f_D, the parameters B_B and B_K for
neutral B and K meson mixing respectively, the strong coupling constant, light
quark masses and the lightest scalar glueball mass.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 19:09:59 GMT""}]","2007-05-23"
"hep-lat/9611017","Michael Creutz","Michael Creutz","Cellular automata and self-organized criticality","23 pages, 12 figures (most in color); uses sprocl.tex; chapter
  submitted for ""Some new directions in science on computers,"" G. Bhanot, S.
  Chen, and P. Seiden, eds",,,,"hep-lat adap-org nlin.AO",,"  Cellular automata provide a fascinating class of dynamical systems capable of
diverse complex behavior. These include simplified models for many phenomena
seen in nature. Among other things, they provide insight into self-organized
criticality, wherein dissipative systems naturally drive themselves to a
critical state with important phenomena occurring over a wide range of length
and time scales.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 15:41:55 GMT""}]","2008-02-03"
"hep-ph/9611378",,"L. Br\""ucher, J. Franzkowski, A. Frink, D. Kreimer","Introduction to XLOOPS","30 pages, LaTeX, uses epsfig","Nucl.Instrum.Meth.A389:339-342,1997","10.1016/S0168-9002(97)00123-X","MZ-TH/96-39","hep-ph",,"  The program package XLOOPS calculates massive one- and two-loop Feynman
diagrams. It consists of five parts:
  i) a graphical user interface
  ii) routines for generating diagrams from particle input
  iii) procedures for calculating one-loop integrals both analytically and
numerically
  iv) routines for massive two-loop integrals
  v) programs for numerical integration of two-loop diagrams. The package
relies on the application of parallel space techniques. The treatment of tensor
structure and the separation of UV and IR divergences in analytic expressions
is described in this scheme. All analytic calculations are performed with
MAPLE. Two-loop examples taken from Standard Model calculations are presented.
The method has recently been extended to all two-loop vertex topologies,
including the crossed topology, graphs with divergent subloops and IR divergent
diagrams. This will be included in the XLOOPS package in the near future.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 16:38:15 GMT""}]","2011-02-11"
"hep-ph/9611379","Stefan Roesler","S. Roesler (CERN), R. Engel (Univ. of Delaware, BRI), and J. Ranft
  (Univ. of Siegen)","Photoproduction Off Nuclei, Part II: Particle and Jet Production","19 pages, LaTex, 16 figures, final version, to appear in Phys. Rev. D",,,"SI 96-14, US-FT/45-96","hep-ph",,"  High energy multiparticle photoproduction off nuclear targets is studied. The
photon is assumed to interact in direct scattering processes or as a resolved
$q\bar{q}$-state according to the Generalized Vector Dominance Model. In the
description of resolved interactions multiple soft and hard processes in each
$q\bar{q}$--nucleon interaction are taken into consideration. The model,
formulated within the framework of the two-component Dual Parton Model, is
shown to agree with hadron production data from real and weakly virtual
photon-nucleus interactions. Differences between multiparticle production in
photon-nucleus and hadron-nucleus interactions and features of jet production
in photon-nucleus collisions at HERA-energies are discussed.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 16:49:45 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 1997 09:25:09 GMT""}]","2008-02-03"
"hep-ph/9611380","Gabor Cynolter","G. Cynolter and G. Pocsik","Vector Condensate Model of Electroweak Interactions","9p Latex, no figure, the original postscript file is replaced by the
  LaTeX src file","Heavy Ion Phys. 5 (1997) 19-25","10.1007/BF03157991","ITP-Budapest 518","hep-ph",,"  Motivated by the fact that the Higgs is not seen, we have proposed a version
of the standard model where the scalar doublet is replaced by a vector doublet
and its neutral member forms a nonvanishing condensate. Gauge fields are
coupled to the new vector fields B in a gauge invariant way leading to mass
terms for the gauge fields by condensation. B-particles become massive because
of their self interactions. Fermion and gauge field couplings are standard. Low
energy charged current phenomenology fixes the condensate. Fermion masses are
coming from the condensation and B-particle-fermion couplings. The
Kobayashi-Maskawa description is unchanged. The model has a low mementum scale
of about 2 TeV. For instance, from tree-graph unitarity at a scale of 1 TeV the
minimum mass of a charged B-particle is 369 GeV. Such B-particles are shown to
copiously produced at high-energy linear $e^+e^-$ colliders. The model survives
the test of oblique radiative corrections. To each momentum scale there exists
a range of B masses where the S, T parameters are compatible with the
experiment. For instance, at a scale of 1 TeV from the S parameter the minimum
mass of a charged (neutral) B is 200-350 GeV (400-550 GeV).
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 17:39:21 GMT""},{""version"":""v2"",""created"":""Thu, 19 Dec 1996 13:08:30 GMT""}]","2022-02-23"
"hep-ph/9611381","Fred Myhrer","F. Myhrer","What have we learned from antiproton proton scattering?","10 pages, Latex, to be published in Nucl. Phys","Nucl. Phys. B (Proc. Suppl.) 56A, 14 (1997)","10.1016/S0920-5632(97)00246-6",,"hep-ph nucl-th",,"  From recent charge exchange measurements in the extreme forward direction, an
independent and precise determination of the pion nucleon coupling constant is
possible. This determination has reopened the debate on the value of this
fundamental coupling constant of nuclear physics. Precise measurements of
charge exchange observables at forward angles below 900 MeV/c would also give a
better understanding of the long range part of the two-pion exchange potential.
For example, the confirmation of the coherence of the tensor forces from the
pion exchange and the isovector two-pion exchange would be very valuable. With
the present data first attempts at an $\NbarN$ partial wave analysis have been
made where, as in nucleon nucleon scattering, the antinucleon nucleon high J
partial waves are mainly given by one-pion exchange. Finally a recent $\pbarp$
atomic cascade calculation and the fraction of P-state annihilation in gas
targets is commented on.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 23:55:22 GMT""}]","2012-07-19"
"hep-ph/9611382","Pivovarov","A.A. Pivovarov","Theoretical uncertainties for weak decays: higher dimension operators","14 pages, Latex","Nucl.Phys.Proc.Suppl. 59 (1997) 122-129","10.1016/S0920-5632(97)00434-9","KEK-preprint 96-143","hep-ph",,"  A brief review of recent results on computing contributions of higher
dimension operators to weak effective $\Delta S=1,2$ hamiltonians for light
quarks is presented.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 02:30:00 GMT""}]","2009-10-30"
"hep-ph/9611383","Victor Semikoz","V.B. Semikoz","Can we distinguish Majorana and Dirac neutrinos in solar neutrino
  experiments ?","17 pages, LaTex, 3 Postscript figures, the cross-section Eq. (12)
  corrected in accordance with the new reference [24], section 4 and fig.4
  omitted","Nucl.Phys.B498:39-54,1997","10.1016/S0550-3213(97)00289-7","IZMIRAN 1095/95","hep-ph",,"  If neutrino conversions within the Sun result in partial polarization of
initial solar neutrino fluxes then a new opportunity to distinguish Majorana
and Dirac neutrinos by measuring the differential $\nu_ee$-scattering cross
section in solar neutrino detectors arises. The experiment like HELLAZ would be
preferable in testing of recoil electron spectra differences initiated by
Majorana and Dirac neutrinos since low energy recoil electrons ($T\geq 100
keV$) can be detected and electron energy and direction can be determined with
good precision.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 12:07:48 GMT""},{""version"":""v2"",""created"":""Sun, 2 Mar 1997 17:32:27 GMT""},{""version"":""v3"",""created"":""Tue, 8 Apr 1997 18:50:59 GMT""}]","2014-11-17"
"hep-ph/9611384",,"Yu. S. Kalashnikova (ITEP, Moscow)","Hybrid mesons: old prejudices and new spectroscopy","LaTeX2e, 5 pages, no figures, to appear in Proceedings of LEAP'96","Nucl.Phys.Proc.Suppl. 56A (1997) 199-203","10.1016/S0920-5632(97)00275-2",,"hep-ph",,"  The models for hybrid mesons are discussed, in which the gluonic excitations
manifest themselves as the vibrations of the quark- antiquark QCD string. The
predictions for the spectra, decays and mixing with hadronic channels are
presented.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 10:49:43 GMT""}]","2009-10-30"
"hep-ph/9611385","Jiri Chyla","J. Chyla, J. Cvach","Virtual Photon Structure from Jet Production at HERA","Contribution to the Workshop on ""Future Physics at HERA"", eds. G.
  Ingelman, A. De Roeck, R. Klanner,4 pages, 3 figures, epsfig",,,,"hep-ph",,"  The feasibility of measuring parton distribution functions of of virtual
photons via the jet production at HERA is investigated.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 09:48:29 GMT""}]","2007-05-23"
"hep-th/9611154","Slavnov","A.A. Slavnov","Bosonized Formulation of Lattice QCD","6 pages, latex, no figures Talk, presented at XYIII International
  Seminar ""Relativistic nuclear physics and Quantum Chromodynamics"", Dubna,
  September 1996",,,,"hep-th",,"  Problems in lattice gauge models with fermions are discussed. A new bosonic
Hermitean effective action for lattice QCD with dynamical quarks is presented.
In distinction of the previous version, it does not include constraints and is
better suited for Monte-Carlo simulations.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 16:25:55 GMT""}]","2007-05-23"
"hep-th/9611157","Oleg Zaboronsky","Oleg Zaboronsky","Dimensional reduction in supersymmetric field theories","11 pages, Latex ,no figures",,,,"hep-th",,"  A class of quantum field theories invariant with respect to the action of an
odd vector field Q on a source supermanifold $\Sigma$ is considered. We suppose
that Q satisfies the conditions under which an integral of any Q-invariant
function over $\Sigma$ localizes to the zero locus of Q. The Q-invariant sector
of a field theory from the class above is shown then to be equivalent to the
quantum field theory defined on zero locus of the vector field Q.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 17:37:50 GMT""}]","2016-09-06"
"hep-th/9611158","Igor Krichever","I. Krichever","Algebraic-geometrical n-orthogonal curvilinear coordinate systems and
  solutions to the associativity equations","25 pages, Latex",,,,"hep-th",,"  Algebraic-geometrical n-orthogonal curvilinear coordinate systems in a flat
space are constructed. They are expressed in terms of the Riemann theta
function of auxiliary algebraic curves. The exact formulae for the potentials
of algebraic geometrical Egoroff metrics and the partition functions of the
corresponding topological field theories are obtained.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 19:15:06 GMT""}]","2007-05-23"
"hep-th/9611159","Anders Westerberg","Martin Cederwall, Alexander von Gussich, Bengt E.W. Nilsson, Per
  Sundell and Anders Westerberg","The Dirichlet Super-p-Branes in Ten-Dimensional Type IIA and IIB
  Supergravity","24 pages, plain TeX. Replacement corrects text positioning in
  automatically generated postscript file","Nucl.Phys. B490 (1997) 179-201","10.1016/S0550-3213(97)00075-8","Goteborg-ITP-96-14, CTP-TAMU-59/96","hep-th",,"  We give the full supersymmetric and kappa-symmetric actions for the Dirichlet
p-branes, including their coupling to background superfields of ten-dimensional
type IIA and IIB supergravity.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 20:17:45 GMT""},{""version"":""v2"",""created"":""Thu, 21 Nov 1996 13:57:44 GMT""}]","2009-10-30"
"hep-th/9611160","Falk Rohsiepe","Falk Rohsiepe","On Reducible but Indecomposable Representations of the Virasoro Algebra","36 pages, LaTeX2e",,,"BONN-TH-96-17","hep-th",,"  Motivated by the necessity to include so-called logarithmic operators in
conformal field theories (Gurarie, 1993) at values of the central charge
belonging to the logarithmic series c_{1,p}=1-6(p-1)^2/p, reducible but
indecomposable representations of the Virasoro algebra are investigated, where
L_0 possesses a nontrivial Jordan decomposition. After studying `Jordan lowest
weight modules', where L_0 acts as a Jordan block on the lowest weight space
(we focus on the rank two case), we turn to the more general case of extensions
of a lowest weight module by another one, where again L_0 cannot be
diagonalized. The moduli space of such `staggered' modules is determined. Using
the structure of the moduli space, very restrictive conditions on submodules of
`Jordan Verma modules' (the generalization of the usual Verma modules) are
derived. Furthermore, for any given lowest weight of a Jordan Verma module its
`maximal preserving submodule' (the maximal submodule, such that the quotient
module still is a Jordan lowest weight module) is determined. Finally, the
representations of the W-algebra W(2,3^3) at central charge c=-2 are
investigated yielding a rational logarithmic model.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 23:06:09 GMT""}]","2007-05-23"
"hep-th/9611161","Andrei Linde","Renata Kallosh and Andrei Linde","Black Hole Superpartners and Fixed Scalars","6 pages, Latex","Phys.Rev.D56:3509-3514,1997","10.1103/PhysRevD.56.3509","SU-ITP-96-52","hep-th gr-qc",,"  Some bosonic solutions of supergravities admit Killing spinors of unbroken
supersymmetry. The anti-Killing spinors of broken supersymmetry can be used to
generate the superpartners of stringy black holes. This has a consequent
feedback on the metric and the graviphoton. We have found however that the
fixed scalars for the black hole superpartners remain the same as for the
original black holes. Possible phenomenological implications of this result are
discussed.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 00:29:52 GMT""}]","2009-09-29"
"hep-th/9611162","Andrei Linde","Renata Kallosh","Bound States of Branes with Minimal Energy","4 pages, latex. few misprints removed","Phys.Rev.D55:3241-3245,1997","10.1103/PhysRevD.55.3241","SU-ITP-96-53","hep-th gr-qc",,"  It is pointed out that the energy of the bound states of D-branes and strings
is determined by the central charge of the space-time supersymmetry. The
universality which is seen at the black hole horizon appears also on the
D-brane side: the total energy of the bound states of a given number of branes
has a minimum when considered as a function of the independent parameters
(moduli). This provides a new evidence that the near-horizon space-time
geometry of the dilaton black holes can be represented by the bound states of
branes. The axion-dilaton dyonic black holes have the mass formula of the
non-threshold type bound state. Upon uplifting to higher dimensions they may
give information about such states.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 00:35:14 GMT""},{""version"":""v2"",""created"":""Sun, 24 Nov 1996 17:14:54 GMT""}]","2010-01-06"
"hep-th/9611163","Juan Maldacena","Juan M. Maldacena","N=2 Extremal Black Holes and Intersecting Branes","4 pages, no figures. Typos corrected","Phys.Lett. B403 (1997) 20-22","10.1016/S0370-2693(97)00412-7","RU-96-103","hep-th",,"  Using a simple hypothesis about the degrees of freedom of intersecting branes
we find a microscopic counting argument that reproduces the entropy of a class
of BPS black holes of type IIA string theory on general Calabi Yau three folds.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 00:47:11 GMT""},{""version"":""v2"",""created"":""Mon, 10 Mar 1997 16:04:54 GMT""}]","2009-10-30"
"hep-th/9611164","Leonard Susskind","Leonard Susskind","T Duality in M(atrix) Theory and S Duality in Field Theory","5 pages in Phyzxx",,,"SU-ITP-96-55","hep-th",,"  The matrix model formulation of M theory can be generalized to compact
transverse backgrounds such as tori. If the number of compact directions is K
then the matrix model must be generalized to K+1 dimensional super Yang Mills
theory on a compact space. If K is greater than or equal to 3, there are T
dualities which which require highly nontrivial identifications between
different SYM theories. In the simplest case we will see that the requirement
reduces to the well known electric- magnetic duality of N=4 SYM theory in 3+1
dimensions.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 01:15:26 GMT""}]","2007-05-23"
