"alg-geom/9611014","Klaus Altmann","Klaus Altmann and Arne B. Sletsjoe","Andre-Quillen cohomology of monoid algebras","LaTeX 2.09, uses pb-diagram.sty, 8 pages",,,,"alg-geom math.AC math.AG",,"  We compute the Andre-Quillen cohomology of an affine toric variety. The best
results are obtained either in the general case for the first three cohomology
groups, or in the case of isolated singularities for all cohomology groups,
respectively.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 18:13:18 GMT""}]","2008-02-03"
"cond-mat/9611093","Itay Furman","I. Furman and O. Biham (The Hebrew University, Jerusalem, Israel)","Effects of Small Island Mobility on Growth in Molecular Beam Epitaxy","25 pages of text, RevTeX, additional 8 figures in 10 PS files.
  Replaced version include some minor changes, notation, etc. To be published
  in: Phys. Rev B, Vol. 55 (1997)","Phys. Rev. B, vol. 55, 7917 (1997)","10.1103/PhysRevB.55.7917",,"cond-mat.mtrl-sci",,"  The effects of mobility of small islands on island growth in molecular beam
epitaxy are studied. It is shown that small island mobility affects both the
scaling and morphology of islands during growth. Three microscopic models are
considered, in which the critical island sizes are $i^*=1,2$ and 3 (such that
islands of size $s \le i^*$ are mobile while islands of size $s \ge i^{\ast}+1$
are immobile). As i^* increases, islands become more compact, while the
exponent $\gamma$ which relates the island density to deposition rate
increases. The morphological changes are quantified by using fractal analysis.
It is shown that the fractal dimensions are rather insensitive to changes in
i^*. However, the prefactors provide a quantitative measure of the changing
morphologies.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 20:01:44 GMT""},{""version"":""v2"",""created"":""Thu, 20 Feb 1997 19:29:45 GMT""}]","2009-10-28"
"cond-mat/9611094","Frank Hekking","F. W. J. Hekking and L. I. Glazman","Quantum Fluctuations in the Equilibrium State of a Thin Superconducting
  Loop","16 pages RevTex, 2 figures available on request, to appear in Phys.
  Rev. B",,"10.1103/PhysRevB.55.6551",,"cond-mat.mes-hall",,"  We study the oscillatory flux dependence of the supercurrent in a thin
superconducting loop, closed by a Josephson junction. Quantum fluctuations of
the order parameter in the loop affect the shape and renormalize the amplitude
of the supercurrent oscillations. In a short loop, the amplitude of the
sinusoidal flux dependence is suppressed. In a large loop, the supercurrent
shows a saw-tooth dependence on flux in the classical limit. Quantum
fluctuations not only suppress the amplitude of the oscillations, but also
smear the cusps of the saw-tooth dependence. The oscillations approach a
sinusoidal form with increasing fluctuation strength. At any finite length of
the loop, the renormalized current amplitude is finite. This amplitude shows a
power-law dependence on the junction conductance, with an exponent depending on
the low-frequency impedance of the loop.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 18:25:00 GMT""}]","2009-10-28"
"cond-mat/9611095","Itay Furman","O. Biham, I. Furman, M. Karimi, G. Vidali, R. Kennett and H. Zeng","Models for diffusion and island growth in metal monolayers","10 pages of text, RevTeX, additional 3 figures in 9 PS files.
  Revision includes 12 pages of text + 8 figures in 15 PS files. Major changes
  include a large body of new data and a new presentation of the approach. Note
  that abstract was modified","Surface Science, Vol. 400/1-3, pp. 29--43, 1998",,,"cond-mat.mtrl-sci",,"  A model that describes self diffusion, island nucleation and film growth on
FCC(001) metal substrates is presented. The parameters of the model are
optimized to describe Cu diffusion on Cu(001), by comparing activation energy
barriers to a full set of barriers obtained from semi-empirical potentials via
the embedded atom method. It is found that this model (model I), with only
three parameters, provides a very good description of the full landscape of
hopping energy barriers. These energy barriers are grouped in four main peaks.
A reduced model (model II) with only two parameters, is also presented, in
which each peak is collapsed into a single energy value. From the results of
our simulations, we find that this model still maintains the essential features
of diffusion and growth on this model surface. We find that hopping rates along
island edges are much higher than for isolated atoms (giving rise to compact
island shapes) and that vacancy mobility is higher than adatom mobility. We
observe substantial dimer mobility (comparable to the single atom mobility) as
well as some mobility of trimers. Mobility of small islands affects the scaling
of island density $N$ vs. deposition rate $F$, $N ~ F^\gamma$, as well as the
island size distribution. In the asymptotic limit of slow deposition, scaling
arguments and rate equations show that $\gamma = i*/(2 i* + 1)$ where $i*$ is
the size of the largest mobile island. Our Monte Carlo results, obtained for a
range of experimentally relevant conditions, show $\gamma = 0.32$ for the EAM,
0.33 for model I and 0.31 for model II barriers. These results are lower than
the anticipated $\gamma >= 0.4$ due to dimer (and trimer) mobility.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 20:28:27 GMT""},{""version"":""v2"",""created"":""Sun, 15 Feb 1998 10:25:32 GMT""}]","2008-02-03"
"cond-mat/9611097","Adolfo E. Trumper","A. E. Trumper, L. O. Manuel, C. J. Gazza and H. A. Ceccatto (IFIR -
  CONICET, Rosario, Argentina)","Schwinger-boson approach to quantum spin systems: Gaussian fluctuactions
  in the ""natural"" gauge","4 pages, Latex, 3 figures included as eps files,minor corrections","Phys.Rev.Lett.78, 2216 (1997)","10.1103/PhysRevLett.78.2216",,"cond-mat.stat-mech",,"  We compute the Gaussian-fluctuation corrections to the saddle-point
Schwinger-boson results using collective coordinate methods. Concrete
application to investigate the frustrated J1-J2 antiferromagnet on the square
lattice shows that, unlike the saddle-point predictions, there is a quantum
nonmagnetic phase for 0.53 < J2/J1 < 0.64. This result is obtained by
considering the corrections to the spin stiffness on large lattices and
extrapolating to the thermodynamic limit, which avoids the infinite-lattice
infrared divergencies associated to Bose condensation. The very good agreement
of our results with exact numerical values on finite clusters lends support to
the calculational scheme employed.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 18:38:59 GMT""},{""version"":""v2"",""created"":""Mon, 6 Oct 1997 21:31:22 GMT""}]","2009-10-28"
"cond-mat/9611098","Priya Mahadevan","Priya Mahadevan, N. Shanthi and D. D. Sarma","Estimates of electronic interaction parameters for La$M$O$_3$ compounds
  ($M$=Ti-Ni) from ab-initio approaches","18 pages; 1 tex file+9 postscript files (appeared in Phys Rev B Oct
  15,1996)",,"10.1103/PhysRevB.54.11199",,"cond-mat",,"  We have analyzed the ab-initio local density approximation band structure
calculations for the family of perovskite oxides, La$M$O$_3$ with $M$=Ti-Ni
within a parametrized nearest neighbor tight-binding model and extracted
various interaction strengths. We study the systematics in these interaction
parameters across the transition metal series and discuss the relevance of
these in a many-body description of these oxides. The results obtained here
compare well with estimates of these parameters obtained via analysis of
electron spectroscopic results in conjunction with the Anderson impurity model.
The dependence of the hopping interaction strength, t, is found to be
approximately $r^{-3}$.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 19:44:22 GMT""}]","2016-08-31"
"cond-mat/9611099","Dietrich Belitz","D. Belitz, T. R. Kirkpatrick, Thomas Vojta","Nonanalytic behavior of the spin susceptibility in clean Fermi systems","12pp., REVTeX, 5 eps figures, final version as published","Phys. Rev. B vol. 55, pp. 9452-9462 (1997)","10.1103/PhysRevB.55.9452",,"cond-mat.stat-mech cond-mat.str-el",,"  The wavevector and temperature dependent static spin susceptibility,
\chi_s(Q,T), of clean interacting Fermi systems is considered in dimensions
1\leq d \leq 3. We show that at zero temperature \chi_s is a nonanalytic
function of |Q|, with the leading nonanalyticity being |Q|^{d-1} for 1<d<3, and
Q^2\ln|Q| for d=3. For the homogeneous spin susceptibility we find a
nonanalytic temperature dependence T^{d-1} for 1<d<3. We give qualitative
mode-mode coupling arguments to that effect, and corroborate these arguments by
a perturbative calculation to second order in the electron-electron interaction
amplitude. The implications of this, in particular for itinerant
ferromagnetism, are discussed. We also point out the relation between our
findings and established perturbative results for 1-d systems, as well as for
the temperature dependence of \chi_s(Q=0) in d=3.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 19:14:05 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jun 1997 20:20:16 GMT""}]","2009-10-28"
"cond-mat/9611100","Vladimir Dobrosavljevic","V. Dobrosavljevic and G. Kotliar","Mean field theory of the Mott-Anderson transition","4 pages, 2 figures, REVTEX, epsf","Phys. Rev. Lett. 78, 3943 (1997)","10.1103/PhysRevLett.78.3943",,"cond-mat.str-el cond-mat.dis-nn",,"  We present a theory for disordered interacting electrons that can describe
both the Mott and the Anderson transition in the respective limits of zero
disorder and zero interaction. We use it to investigate the T=0 Mott-Anderson
transition at a fixed electron density, as a the disorder strength is
increased. Surprisingly, we find two critical values of disorder W_{nfl} and
W_c. For W > W_{nfl}, the system enters a ``Griffiths'' phase, displaying
metallic non-Fermi liquid behavior. At even stronger disorder, W=W_c > W_{nfl}
the system undergoes a metal insulator transition, characterized by the linear
vanishing of both the typical density of states and the typical quasiparticle
weight.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 20:30:13 GMT""},{""version"":""v2"",""created"":""Thu, 5 Jun 1997 16:36:59 GMT""}]","2009-10-28"
"cond-mat/9611101","Tony Wong","T. Wong, M. J. Collett, S. M. Tan, D. F. Walls, and E. M. Wright","Tests of Bose-broken Symmetry in Atomic Bose-Einstein Condensates","4 pages, 1 PostScript figure, submitted to PRL",,,,"cond-mat.stat-mech quant-ph",,"  We present an elementary model of the collapses and revivals in the
visibility of the interference between two atomic Bose-Einstein condensates. We
obtain different predictions of the revival times whether we conserve or break
atom number conservation from the outset. The validity of Bose-broken symmetry
can be tested by observations of these collapses and revivals.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 10:07:37 GMT""}]","2008-02-03"
"cond-mat/9611102","Shinobu Hikami","S. Hikami and K. Minakuchi","Diagrammatic analysis of the two-state quantum Hall system with chiral
  invariance","14P, Latex",,"10.1103/PhysRevB.55.7155","UT-Komaba-96/20","cond-mat.mes-hall",,"  The quantum Hall system in the lowest Landau level with Zeeman term is
studied by a two-state model, which has a chiral invariance. Using a
diagrammatic analysis, we examine this two-state model with random impurity
scattering, and find the exact value of the conductivity at the Zeeman energy
$E = \Delta$. We further study the conductivity at the another extended state
$E = E_1$ ($ E_1 > \Delta$). We find that the values of the conductivities at
$E = 0$ and $E = E_1$ do not depend upon the value of the Zeeman energy
$\Delta$. We discuss also the case where the Zeeman energy $\Delta$ becomes a
random field.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 01:29:56 GMT""}]","2009-10-28"
"cond-mat/9611103","Priya Mahadevan","D. D. Sarma, N. Shanthi and Priya Mahadevan","Electronic excitation spectra from ab-initio band structure results for
  LaMO_3 (M = Cr-Ni)","16 pages;1 tex file+9 postscript files","Phys Rev B 54, 1622, 1996","10.1103/PhysRevB.54.1622",,"cond-mat.str-el",,"  We present calculated electron excitation spectra for the LaMO_3 series
(M=Cr-Ni) obtained within ab-initio band structure calculations for the real
geometric and magnetic structures. The calculated results show good agreement
with the experimentally obtained spectra. This suggests that the transition
metal-transition metal interactions via the oxygen atom play an important role
in determining the spectroscopic features and indicates a smaller value of U/t
than has been believed so far. The present approach undermines the importance
of multiplet interactions which otherwise play an important role within various
single impurity models.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 04:42:25 GMT""}]","2009-10-28"
"cond-mat/9611104","David Dean","David S. Dean","Langevin Equation for the Density of a System of Interacting Langevin
  Processes","6 pages, latex, no figures",,"10.1088/0305-4470/29/24/001","Roma I 6/96","cond-mat",,"  We present a simple derivation of the stochastic equation obeyed by the
density function for a system of Langevin processes interacting via a pairwise
potential. The resulting equation is considerably different from the
phenomenological equations usually used to describe the dynamics of non
conserved (Model A) and conserved (Model B) particle systems. The major feature
is that the spatial white noise for this system appears not additively but
multiplicatively. This simply expresses the fact that the density cannot
fluctuate in regions devoid of particles. The steady state for the density
function may however still be recovered formally as a functional integral over
the coursed grained free energy of the system as in Models A and B.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 10:47:54 GMT""}]","2009-10-28"
"cond-mat/9611105","Emmanuel Guitter","Mark Bowick, Olivier Golinelli, Emmanuel Guitter and Shintaro Mori","Geometrical Folding Transitions of the Triangular Lattice in the
  Face-Centred Cubic Lattice","25 pages, uses harvmac(b) and epsf, 14+1 figures included","Nucl.Phys. B495 (1997) 583-607","10.1016/S0550-3213(97)00198-3","Saclay preprint t96/124, Syracuse preprint SU-4240-651","cond-mat.stat-mech hep-th",,"  We study the folding of the regular two-dimensional triangular lattice
embedded in the regular three-dimensional Face-Centred Cubic lattice, a
discrete model for the crumpling of membranes. Possible folds are complete
planar folds, folds with the angle of a regular tetrahedron (71 degrees) or
with that of a regular octahedron (109 degrees). We study this model in the
presence of a negative bending rigidity K, which favours the folding process.
We use both a cluster variation method (CVM) approximation and a transfer
matrix approach. The system is shown to undergo two separate geometrical
transitions with increasing |K|: a first discontinuous transition separates a
phase where the triangular lattice is preferentially wrapped around octahedra
from a phase where it is preferentially wrapped around tetrahedra. A second
continuous transition separates this latter phase from a phase of complete
folding of the lattice on top of a single triangle.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 15:42:17 GMT""}]","2008-02-03"
"gr-qc/9611032","Piotr Chrusciel","P.T. Chrusciel and G.J. Galloway","``Nowhere'' differentiable horizons","28 pages, Latex with pstricks and graphicx, 4 ps figures","Commun.Math.Phys. 193 (1998) 449-470","10.1007/s002200050336",,"gr-qc",,"  It is folklore knowledge amongst general relativists that horizons are well
behaved, continuously differentiable hypersurfaces except perhaps on a
negligible subset one needs not to bother with. We show that this is not the
case, by constructing a Cauchy horizon, as well as a black hole event horizon,
which contain no open subset on which they are differentiable.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 17:36:57 GMT""}]","2009-10-28"
"gr-qc/9611033","Joan Centrella","Janet L. Houser and Joan M. Centrella (Drexel University)","Gravitational Radiation from Rotational Instabilities in Compact Stellar
  Cores with Stiff Equations of State","39 pages, uses Latex 2.09. To be published in the Dec. 15, 1996 issue
  of Physical Review D. 21 figures (bitmapped). Originals available in
  compressed Postscript format at ftp://zonker.drexel.edu/papers/bars/","Phys.Rev.D54:7278-7297,1996","10.1103/PhysRevD.54.7278",,"gr-qc astro-ph",,"  We carry out 3-D numerical simulations of the dynamical instability in
rapidly rotating stars initially modeled as polytropes with n = 1.5, 1.0, and
0.5. The calculations are done with a SPH code using Newtonian gravity, and the
gravitational radiation is calculated in the quadrupole limit. All models
develop the global m=2 bar mode, with mass and angular momentum being shed from
the ends of the bar in two trailing spiral arms. The models then undergo
successive episodes of core recontraction and spiral arm ejection, with the
number of these episodes increasing as n decreases: this results in
longer-lived gravitational wave signals for stiffer models. This instability
may operate in a stellar core that has expended its nuclear fuel and is
prevented from further collapse due to centrifugal forces. The actual values of
the gravitational radiation amplitudes and frequencies depend sensitively on
the radius of the star R_{eq} at which the instability develops.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 21:41:19 GMT""}]","2010-11-19"
"gr-qc/9611034","Alejandro Corichi","Alejandro Corichi and Jose A. Zapata (Penn State)","On diffeomorphism invariance for lattice theories","11 Pages, Revtex, 3 figures","Nucl.Phys. B493 (1997) 475-490","10.1016/S0550-3213(97)00141-7","CGPG-96/11-02","gr-qc",,"  We consider the role of the diffeomorphism constraint in the quantization of
lattice formulations of diffeomorphism invariant theories of connections. It
has been argued that in working with abstract lattices, one automatically takes
care of the diffeomorphism constraint in the quantum theory. We use two systems
in order to show that imposing the diffeomorphism constraint is imperative to
obtain a physically acceptable quantum theory. First, we consider $2+1$ gravity
where an exact lattice formulation is available. Next, general theories of
connections for compact gauge groups are treated, where the quantum theories
are known --for both the continuum and the lattice-- and can be compared.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 00:37:57 GMT""}]","2009-10-28"
"gr-qc/9611035","Jose-Luis Rosales","Jose-Luis Rosales","Quantum state correction of relic gravitons from quantum gravity",,"Phys.Rev.D55:4791-4794,1997","10.1103/PhysRevD.55.4791","FR-THEP-NR 96/22","gr-qc",,"  The semiclassical approach to quantum gravity would yield the Schroedinger
formalism for the wave function of metric perturbations or gravitons plus
quantum gravity correcting terms in pure gravity; thus, in the inflationary
scenario, we should expect correcting effects to the relic graviton
(Zel'dovich) spectrum of the order (H/mPl)^2.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 11:08:21 GMT""},{""version"":""v2"",""created"":""Fri, 22 Nov 1996 13:43:53 GMT""}]","2011-09-09"
"gr-qc/9611036",,"David Langlois (DARC, CNRS UPR 176, Observatoire de Paris-Meudon)","CMBR dipole from ultra large scale isocurvature perturbations","4 pages, Latex, macro hpatex.sty, to appear in the Proceedings of the
  ""Journees relativistes 1996"" in Helv. Phys. Acta","Helv.Phys.Acta 69 (1996) 229-232",,,"gr-qc astro-ph",,"  The observed CMBR dipole, generally interpreted as the consequence of the
peculiar motion of the Sun with respect to the reference frame of the CMBR, can
also be explained by the presence of ultra large scale (of the order of
$100H_0^{-1}$) isocurvature perturbations. Moreover, the simplest model of
inflation with several scalar fields, namely that of double inflation, with
appropriate parameters, can produce such perturbations.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 15:03:22 GMT""}]","2007-05-23"
"gr-qc/9611037","Philip Mannheim","Philip D. Mannheim (University of Connecticut)","Classical Underpinnings of Gravitationally Induced Quantum Interference","LaTeX, 8 pages plus two figures in one postscript file",,,"UCONN 96-08, October 1996","gr-qc quant-ph",,"  We show that the gravitational modification of the phase of a neutron beam
(the COW experiment) has a classical origin, being due to the time delay which
classical particles experience in traversing a background gravitational field.
Similarly, we show that classical light waves also undergo a phase shift in
traversing a gravitational field. We show that the COW experiment respects the
equivalence principle even in the presence of quantum mechanics.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 15:17:50 GMT""}]","2007-05-23"
"gr-qc/9611038","Philip Mannheim","Philip D. Mannheim (University of Connecticut)","Local and global gravity","LaTeX, 20 pages plus three figures in two postscript files. To appear
  in a special issue of Foundations of Physics honoring Professor Lawrence
  Horwitz on the occasion of his 65th birthday; A. van der Merwe and S. Raby,
  Editors, Plenum Publishing Company, N.Y., 1997","Found.Phys.26:1683-1709,1996","10.1007/BF02282129","UCONN 96-09, November 1996","gr-qc astro-ph",,"  Our long experience with Newtonian potentials has inured us to the view that
gravity only produces local effects. In this paper we challenge this quite
deeply ingrained notion and explicitly identify some intrinsically global
gravitational effects. In particular we show that the global cosmological
Hubble flow can actually modify the motions of stars and gas within individual
galaxies, and even do so in a way which can apparently eliminate the need for
galactic dark matter. Also we show that a classical light wave acquires an
observable, global, path dependent phase in traversing a gravitational field.
Both of these effects serve to underscore the intrinsic difference between
non-relativistic and relativistic gravity.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 15:55:07 GMT""}]","2010-11-30"
"hep-ph/9611307",,"Torben Hannah","Unitarity, Chiral Perturbation Theory, and Meson Form Factors","15 pages, 5 figs, uses REVTeX and epsfig.sty","Phys.Rev.D54:4648-4653,1996","10.1103/PhysRevD.54.4648","IFA-96/40","hep-ph",,"  The inverse-amplitude method is applied to the one-loop chiral expansion of
the pion, kaon, and $K_{l3}$ form factors. Since these form factors are
determined by the same chiral low-energy constants, it is possible to obtain
finite predictions for the inverse-amplitude method. It is shown that this
method clearly improves one-loop chiral perturbation theory, and a very good
agreement between the inverse-amplitude method and the experimental information
is obtained. This suggests that the inverse-amplitude method is a rather
systematic way of improving chiral perturbation theory.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 20:31:33 GMT""}]","2014-11-17"
"hep-ph/9611310","Eric S. Swanson","Adam P. Szczepaniak and Eric S. Swanson","On the Dirac Structure of Confinement","18 pages, RevTex, 1 postscript figure","Phys.Rev.D55:3987-3993,1997","10.1103/PhysRevD.55.3987",,"hep-ph",,"  The Dirac structure of confinement is shown to be of timelike-vector nature
in the heavy quark limit of QCD. This stands in contradiction with the
phenomenological success of the Dirac scalar confining potential. A resolution
is achieved through the demonstration that an effective scalar interaction is
dynamically generated by nonperturbative mixing between ordinary and hybrid $Q
\bar Q$ states. The resolution depends crucially on the collective nature of
the gluonic degrees of freedom. This implies that dynamical gluonic effects are
vital when attempting to incorporate fine structure in models of the $Q \bar Q$
interaction.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 17:01:15 GMT""}]","2014-11-17"
"hep-ph/9611311",,"Hilmar Forkel (ECT*), Marina Nielsen (U. Sao Paolo)","Isospin Breaking and Instantons in QCD Nucleon Sum Rules","28 pages, REVTEX file and 5 Postscript figures","Phys.Rev.D55:1471-1480,1997","10.1103/PhysRevD.55.1471","ECT/95-0503, IFUSP/P-1152","hep-ph nucl-th",,"  We study isospin breaking instanton corrections to the operator product
expansion of the nucleon correlation functions. After a comparison with quark
model calculations based on the 't Hooft interaction, we examine the role of
instantons in the corresponding QCD sum rules. Instanton contributions are
found to be absent in the chirally even sum rule, but significant in the
chirally-odd one. They improve the consistency of both sum rules and favor a
value of the isovector quark condensate close to the chiral estimate.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 16:58:38 GMT""}]","2014-11-17"
"hep-ph/9611312",,"Duane A. Dicus and S. Nandi","New Collider Bound on Light Gravitino Mass","9 pages, Latex, macros and 2 figures not included","Phys.Rev. D56 (1997) 4166-4169","10.1103/PhysRevD.56.4166","UTEXAS-HEP-96-17","hep-ph",,"  In supergravity theories with a very light gravitino, the gluino decays
dominantly to a gluon and a gravitino. This results in a much larger missing
$E_T$ for the multijet final states in hadronic colliders. We use the latest
Tevatron data for the multijet final states to set a new absolute lower bound
of 3.0 x 10^{-13} GeV for the light gravitino mass.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 16:04:21 GMT""}]","2009-10-30"
"hep-ph/9611313","Seyyed Mohammad Zebarjad","Patrick Labelle (Bishop's Univ.), S. Mohammad Zebarjad (McGill Univ.)","Derivation of the Lamb Shift using an Effective Field Theory","15 pages, 11 Postscript figures, uses Latex2e and epsf.tex","Can.J.Phys. 77 (1999) 267-278","10.1139/cjp-77-4-267","McGill/96-41","hep-ph",,"  We rederive the $O(\alpha^5)$ shift of the hydrogen levels in the non-recoil
($m_e/m_P \to 0$) limit using Nonrelativistic QED (NRQED), an effective field
theory developed by Caswell and Lepage (Phys. Lett. 167B, 437 (1986)). Our
result contains the Lamb shift as a special case. Our calculation is far
simpler than traditional approaches and has the advantage of being systematic.
It also clearly illustrates the need to renormalize (or ``match'') the
coefficients of the effective theory beyond tree level.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 20:11:47 GMT""}]","2016-09-06"
"hep-ph/9611314",,"Gary R. Goldstein (Tufts University)","Spin Correlations in Top Quark Production and the Top Quark Mass","3 pages Latex2e and 3 PostScript figures. Paper presented at SPIN96 -
  Amsterdam. To be published in Proceedings",,,"TUFTS TH-96-G01","hep-ph",,"  Top-antitop quark pairs produced at the Tevatron have a sizeable spin
correlation. That correlation feeds into the angular distribution of the decay
products, particularly in the dilepton channel. Including the expected
correlation in an overall analysis of a handful of actual dilepton events
continues to favor a lower top mass (centered on 155 GeV) than the single
lepton events.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 21:44:21 GMT""}]","2007-05-23"
"hep-ph/9611315","Y. Azimov","Ya.Azimov (FNAL & St.Petersburg NPI)","Hara's Theorem and W-exchange in Hyperon Weak Radiative Decays","14 pages, LATEX, no figures","Z.Phys.A359:75-81,1997","10.1007/s002180050369","FERMILAB-Pub-96/420-T","hep-ph",,"  We reconsider Hara's theorem in its relation to the well-known properties of
beta-decay. All assumptions necessary for the theorem to be true are explicitly
formulated. Further, we study the W-exchange contribution to weak radiative
decays and show that it does not violate Hara's theorem. However, this
contribution reveals the essential role of particle mixing in symmetry
considerations and some peculiar features of gauge-invariant amplitudes under
perturbative expansion. Together they explain an effect, which was treated as
contradicting Hara's theorem, without any violation. The properties of
W-exchange we describe here may have more general importance and should be
taken into account in further detailed calculations of weak processes.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 23:05:51 GMT""}]","2016-09-06"
"hep-th/9611084","Lachezar Georgiev","L. S. Georgiev and I. T. Todorov","Characters and Partition Function for the Wen-Wu CFT Model of the
  Haldane-Rezayi Quantum Hall State","paper withdrawn for further elaboration; superseded by Commun. Math.
  Phys. 205 (1999) 657-689; hep-th/9810105",,,"INRNE-TH-96/13","hep-th",,"  The Wen-Wu c=-2 model describes the d-wave paired singlet factor of the
Haldane-Rezayi (quantum Hall) wave function in terms of an SU(2) doublet of
dimension 1 fermions. The resulting CFT involves an infinite sequence of
Virasoro primary fields. The superalgebra generated by these fields, on the
other hand, admits a set of ground state representations giving rise to a
rational c=-2 CFT. We compute the corresponding characters as well as the
characters of the bosonic subalgebra in the Z_2 twisted sector and write down a
modular invariant partition function for the ensuing 2-dimensional conformal
theory.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 17:57:47 GMT""},{""version"":""v2"",""created"":""Thu, 14 Nov 1996 10:15:31 GMT""},{""version"":""v3"",""created"":""Wed, 20 Nov 1996 13:36:11 GMT""},{""version"":""v4"",""created"":""Fri, 11 May 2001 11:42:51 GMT""}]","2008-02-03"
"hep-th/9611085","Christopher Stephens","P.O. Hess, J.C. L\'opez Vieyra, C.R. Stephens","Boson Mapping in Field Theory","9 pages Latex; to be published in ``Proceedings of the Conference on
  Nuclear Physics at the Turn of the Millenium: Structure of Vacuum and
  Elementary Matter'', South Africa, 1996",,,"ICN-UNAM-96-12","hep-th",,"  A boson mapping of pair field operators is presented. The mapping preserves
all hermiticity properties and the Poisson bracket relations between fields and
momenta. The most practical application of the boson mapping is to field
theories which exhibit bound states of pairs of fields. As a concrete
application we consider, in the low energy limit, the Wick-Cutkosky model with
equal mass for the charged fields.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 17:04:48 GMT""}]","2007-05-23"
"hep-th/9611086","Asim Gangopadhyaya","Asim Gangopadhyaya and Uday P. Sukhatme","Potentials with Two Shifted Sets of Equally Spaced Eigenvalues and Their
  Calogero Spectrum","Latex, 12 pages, Figures available from Authors, To appear in Physics
  Letters A. Please send requests for figures to agangop@luc.edu or
  asim@uic.edu","Phys.Lett. A224 (1996) 5-14","10.1016/S0375-9601(96)00807-9","HEPTH/96-14","hep-th",,"  Motivated by the concept of shape invariance in supersymmetric quantum
mechanics, we obtain potentials whose spectrum consists of two shifted sets of
equally spaced energy levels. These potentials are similar to the
Calogero-Sutherland model except the singular term $\alpha x^{-2}$ always falls
in the transition region $-1/4 < \alpha < 3/4$ and there is a delta-function
singularity at x=0.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 19:15:56 GMT""}]","2016-09-06"
"hep-th/9611087","Asim Gangopadhyaya","Ranabir Dutt, Asim Gangopadhyaya and Uday P. Sukhatme","Non-Central Potentials and Spherical Harmonics Using Supersymmetry and
  Shape Invariance","Latex, 12 pages. To appear in American Journal of Physics","Am.J.Phys. 65 (1997) 400-403","10.1119/1.18551",,"hep-th",,"  It is shown that the operator methods of supersymmetric quantum mechanics and
the concept of shape invariance can profitably be used to derive properties of
spherical harmonics in a simple way. The same operator techniques can also be
applied to several problems with non-central vector and scalar potentials. As
examples, we analyze the bound state spectra of an electron in a Coulomb plus
an Aharonov-Bohm field and/or in the magnetic field of a Dirac monopole.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 19:21:44 GMT""}]","2009-10-30"
"hep-th/9611088","Jacques Distler","Jacques Distler and Andreas Karch","N=1 Dualities for Exceptional Gauge Groups and Quantum Global Symmetries","17 pages, LaTeX2e, using utarticle.cls (included)","Fortsch.Phys. 45 (1997) 517-533","10.1002/prop.2190450603","UTTG-20-96","hep-th",,"  We discuss our attempts to generalize the known examples of dualities in N=1
supersymmetric gauge theories to exceptional gauge groups. We derive some dual
pairs from known examples connected to exceptional groups and find an
interesting phenomenon: sometimes the full global symmetry is ``hidden'' on the
magnetic side. It is not realized as a symmetry on the fundamental fields in
the Lagrangian. Rather, it emerges as a symmetry of the quantum theory. We then
focus on an approach based on self-dual models. We construct duals for some
very special matter content of $E_ 7$, $E_6$ and $F_4$. Again we find that the
full global symmetry is not realized on the fundamental fields.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 19:27:57 GMT""}]","2016-09-06"
