"alg-geom/9611035","Geng Xu","Gang Tian and Geng Xu","On the semi-simplicity of the quantum cohomology algebras of complete
  intersections","9 pages plain TeX",,,,"alg-geom math.AG",,"  In this short note, we study the semi-simplicity of the quantum cohomology
algebra H(V, C) of a Fano complete intersection V, and show that the subspace
of H(V, C) generated by the hyperplane sections is semi-simple in the sense of
Dubrovin when the degree of V satisfies certain conditions.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 19:47:05 GMT""}]","2008-02-03"
"cond-mat/9611210",,"Yeong-Lieh Lin, Franco Nori","Quantum interference from sums over closed paths for electrons on a
  three-dimensional lattice in a magnetic field: total energy, magnetic moment,
  and orbital susceptibility","14 pages, RevTeX","Phys. Rev. B 53 (1996) 13374-13385","10.1103/PhysRevB.53.13374",,"cond-mat.mes-hall",,"  We study quantum interference effects due to electron motion on a
three-dimensional cubic lattice in a continuously-tunable magnetic field of
arbitrary orientation and magnitude. These effects arise from the interference
between magnetic phase factors associated with different electron closed paths.
The sums of these phase factors, called lattice path-integrals, are
``many-loop"" generalizations of the standard ``one-loop"" Aharonov-Bohm-type
argument. Our lattice path integral calculation enables us to obtain various
important physical quantities through several different methods. The spirit of
our approach follows Feynman's programme: to derive physical quantities in
terms of ``sums over paths"". From these lattice path-integrals we compute
analytically, for several lengths of the electron path, the half-filled
Fermi-sea ground-state energy of noninteracting spinless electrons in a cubic
lattice. Our results are valid for any strength of the applied magnetic field
in any direction. We also study in detail two experimentally important
quantities: the magnetic moment and orbital susceptibility at half-filling, as
well as the zero-field susceptibility as a function of the Fermi energy.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 23:12:13 GMT""}]","2009-10-28"
"cond-mat/9611211","Tony Wong","E. M. Wright, T. Wong, M. J. Collett, S. M. Tan, and D. F. Walls","Collapses and revivals in the interference between two Bose-Einstein
  condensates formed in small atomic samples","17 pages, 3 PostScript figure, submitted to PRA",,"10.1103/PhysRevA.56.591",,"cond-mat",,"  We investigate the quantum interference between two Bose-Einstein condensates
formed in small atomic samples composed of a few thousand atoms both by
imposing Bose broken gauge symmetry from the outset and also using an explicit
model of atomic detection. In the former case we show that the macroscopic wave
function collapses and revives in time, and we calculate the characteristic
times for current experiments. Collapses and revivals are also predicted in the
interference between two Bose-Einstein condensates which are initially in Fock
states, a relative phase between the condensates being established via atomic
detections corresponding to uncertainty in the number difference between them.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 12:13:39 GMT""}]","2009-10-28"
"cond-mat/9611212","Hae-Young Kee","Hae-Young Kee and C. M. Varma","Phonon Anomalies Induced by Superconductivity","11 pages, RevTex, 3 Postscript figures. Corrections and significant
  additions in revision","Phys. Rev. Lett. 79, 4250 (1997)","10.1103/PhysRevLett.79.4250",,"cond-mat.supr-con",,"  We calculate the electronic polarizability in the superconducting state near
extremum vectors ${\vec Q}_0$ of the Fermi surface. A pole appears in the
polarizability at frequencies $\omega$ near the superconducting gap $2\Delta$
which leads to a sharp peak at $\omega$ just below $2 \Delta$ in the lattice
vibrations near ${\vec Q}_0$. A second order transition to a charge density
wave state below the superconducting transition is shown to be unlikely. The
results are compared with the recent inelastic neutron scattering measurements
in compounds, $ANi_2B_2C$, $A=Y$ or $Lu$.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 23:46:58 GMT""},{""version"":""v2"",""created"":""Wed, 26 Feb 1997 13:48:30 GMT""}]","2013-07-19"
"cond-mat/9611213","Roger Behrend","Roger E. Behrend and Paul A. Pearce","Solutions of the boundary Yang-Baxter equation for ADE models","32 pages. Sections 7.2 and 9.2 revised","Int. J. Mod. Phys. B 11 (1997) 2833-2847","10.1142/S0217979297001386",,"cond-mat.stat-mech",,"  We present the general diagonal and, in some cases, non-diagonal solutions of
the boundary Yang-Baxter equation for a number of related
interaction-round-a-face models, including the standard and dilute A_L, D_L and
E_{6,7,8} models.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 02:45:58 GMT""},{""version"":""v2"",""created"":""Wed, 15 Jan 1997 14:06:37 GMT""}]","2009-10-28"
"cond-mat/9611214","Chigak Itoi","Chigak Itoi (Department of Physics, Nihon University, Tokyo, Japan)","Universal Wide Correlators in Non-Gaussian Orthogonal, Unitary and
  Symplectic Random Matrix Ensembles","10 pages LaTex, Some minor changes have been made","Nucl.Phys. B493 (1997) 651-659","10.1016/S0550-3213(97)00158-2","NUP-A-96-15","cond-mat hep-th",,"  We calculate wide distance connected correlators in non-gaussian orthogonal,
unitary and symplectic random matrix ensembles by solving the loop equation in
the 1/N-expansion. The multi-level correlator is shown to be universal in large
N limit. We show the algorithm to obtain the connected correlator to an
arbitrary order in the 1/N-expansion.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 06:05:32 GMT""},{""version"":""v2"",""created"":""Fri, 6 Dec 1996 08:02:45 GMT""},{""version"":""v3"",""created"":""Tue, 10 Dec 1996 07:09:29 GMT""},{""version"":""v4"",""created"":""Sat, 4 Jan 1997 06:31:26 GMT""},{""version"":""v5"",""created"":""Fri, 7 Feb 1997 07:55:24 GMT""},{""version"":""v6"",""created"":""Thu, 13 Feb 1997 05:51:55 GMT""}]","2016-08-31"
"cond-mat/9611215","Dr. Pragya Shukla","Pragya Shukla","Higher Order Correlations in Quantum Chaotic Spectra","Revtex, Four figures (Postscript files), Phys. Rev E (in press)",,"10.1103/PhysRevE.55.3886",,"cond-mat",,"  The statistical properties of the quantum chaotic spectra have been studied,
so far, only up to the second order correlation effects. The numerical as well
as the analytical evidence that random matrix theory can successfully model the
spectral fluctuatations of these systems is available only up to this order.
For a complete understanding of spectral properties it is highly desirable to
study the higher order spectral correlations. This will also inform us about
the limitations of random matrix theory in modelling the properties of quantum
chaotic systems. Our main purpose in this paper is to carry out this study by a
semiclassical calculation for the quantum maps; however results are also valid
for time-independent systems.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 07:33:55 GMT""},{""version"":""v2"",""created"":""Thu, 28 Nov 1996 04:45:39 GMT""}]","2009-10-28"
"cond-mat/9611216","Johan C. Talstra","A.G. Abanov, J.C. Talstra","Period doubling in the 2D Antiferromagnet. New gauge-fields and their
  anomalies","Revtex v3.0, 4 pages, 3 eps figures included","Phys. Rev. B 55, pp. 13361-13364 (1997)","10.1103/PhysRevB.55.R13361",,"cond-mat.str-el",,"  We construct an effective gauge field theory model describing a 2D quantum
antiferromagnet in the flux phase ground state. Due to period doubling the
number of gauge fields is four rather than the naively expected single one.
These additional gauge fields correspond to field configurations in which the
flux is staggered, which should be taken into account to enforce single
occupancy within the magnetic unit cell. We calculate a new type of quantum
anomaly, present in such a model. In particular this leads to a generalized
local flux hypothesis, which is tested numerically.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 07:47:41 GMT""},{""version"":""v2"",""created"":""Thu, 28 Nov 1996 06:54:18 GMT""}]","2009-10-28"
"cond-mat/9611217","Max Petersen","C. Stampfl and M. Scheffler","Study of CO Oxidation over Ru(0001) at High Gas Pressures","13 pages, 4 figures. Surface Science, in press (submitted July 1996)",,"10.1016/S0039-6028(96)01509-9",,"cond-mat",,"  Experiments performed at high gas partial pressures have demonstrated that
the kinetics of the CO oxidation reaction at Ru(0001) is different and somewhat
anomalous compared to that over other transition metal surfaces and, in
particular, the turnover rate is exceptionally high. In order to gain insight
into the underlying reasons for this behavior, we performed density functional
theory calculations using the generalized gradient approximation for the
exchange-correlation functional. We find that the high rate is due to a weakly,
but nevertheless well bound, (1x1) oxygen adsorbate layer which may form for
high O_2 pressures but not under usual ultra high vacuum conditions. The
calculations indicate that reaction to CO_2 occurs both via scattering of
gas-phase CO molecules as well as by CO molecules weakly adsorbed at vacancies
in the oxygen adlayer, where the latter mechanism dominates the rate.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 09:35:39 GMT""}]","2009-10-28"
"cond-mat/9611218","Ulrich Nowak","U. Nowak","Micromagnetic Simulation of Nanoscale Films with Perpendicular
  Anisotropy","Revtex, Postscript Figures, to be published in J. Appl.Phys","J. Appl. Phys. 81, 8, p. 5579 (1997)","10.1063/1.364606","ATL-96-11","cond-mat.stat-mech cond-mat.mtrl-sci",,"  A model is studied for the theoretical description of nanoscale magnetic
films with high perpendicular anisotropy. In the model the magnetic film is
described in terms of single domain magnetic grains with Ising-like behavior,
interacting via exchange as well as via dipolar forces. Additionally, the model
contains an energy barrier and a coupling to an external magnetic field.
Disorder is taken into account in order to describe realistic domain and domain
wall structures. The influence of a finite temperature as well as the dynamics
can be modeled by a Monte Carlo simulation.
  Many of the experimental findings can be investigated and at least partly
understood by the model introduced above. For thin films the magnetisation
reversal is driven by domain wall motion. The results for the field and
temperature dependence of the domain wall velocity suggest that for thin films
hysteresis can be described as a depinning transition of the domain walls
rounded by thermal activation for finite temperatures.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 10:38:33 GMT""}]","2016-08-31"
"cond-mat/9611219","Ugur Tirnakli","Fevzi Buyukkilic, Ugur Tirnakli and Dogan Demirhan","Generalized Tsallis Thermostatistics of Magnetic Systems","15 pages, RevTeX, no figs., Tr.J.Phys., in press","Tr. J. Phys. 21 (1997) 132",,,"cond-mat.stat-mech",,"  In this study, our effort is to introduce Tsallis thermostatistics in some
details and to give a brief review of the magnetic systems which have been
studied in the frame of this formalism.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 13:43:58 GMT""}]","2008-02-03"
"cond-mat/9611220","Max Petersen","C. Stampfl and M. Scheffler","Mechanism of efficient carbon monoxide oxidation at Ru(0001)","20 pages, 7 figures. J. Vac. Sci. and Techn., in press (submitted
  September 1996)",,,,"cond-mat.mtrl-sci",,"  We performed density-functional theory calculations using the generalized
gradient approximation for the exhange-correlation functional to investigate
the unusual catalytic behavior of Ru under elevated gas pressure conditions for
the carbon monoxide oxidation reaction, which includes a particularly high CO_2
turnover. Our calculations indicate that a full monolayer of adsorbed oxygen
actuates the high rate, enabling CO_2 formation via both scattering of
gas-phase CO molecules as well as by CO molecules adsorbed at oxygen vacancies
in the adlayer, where the latter mechanism is expected to be very efficient due
to the relatively weak adsorption energy of both CO and O, as well as the close
proximity of these reactants. In the present paper we analyse the bonding and
electronic properties associated with the reaction pathway for CO_2 production
via the scattering reaction. We find that the identified ``bent'' transition
state is due to electron transfer into the unoccupied 2 pi orbitals of the CO
molecule which reduces the Pauli repulsion between the impinging CO and the
O-covered surface. Bond formation to CO_2 then proceeds by electron transfer
back from the CO 2 pi orbitals into the bonding region between CO and the
adsorbed O atom.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 11:58:33 GMT""}]","2008-02-03"
"cond-mat/9611221","Rahul Siddharthan","Rahul Siddharthan, B. Sriram Shastry","The Quantum Toda Lattice Revisited","15 pages, RevTeX, includes 7 eps figures; minor revisions, mainly in
  Sec IV and the appendix; to be published in Phys. Rev. B",,,,"cond-mat.stat-mech",,"  In this work we study the quantum Toda lattice, developing the asymptotic
Bethe ansatz method first used by Sutherland. Despite its known limitations we
find, on comparing with Gutzwiller's exact method, that it works well in this
particular problem and in fact becomes exact as $\hbar$ grows large. We
calculate ground state and excitation energies for finite sized lattices,
identify excitations as phonons and solitons on the basis of their quantum
numbers, and find their dispersions. These are similar to the classical
dispersions for small $\hbar$, and remain similar all the way up to $\hbar=1$,
but then deviate substantially as we go further into the quantum regime. On
comparing the sound velocities for various $\hbar$ obtained thus with that
predicted by conformal theory we conclude that the Bethe ansatz gives the
energies per particle accurate to O($1/N^2$). On that assumption we can find
correlation functions. Thus the Bethe ansatz method can be used to yield much
more than the thermodynamic properties which previous authors have calculated.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 12:39:23 GMT""},{""version"":""v2"",""created"":""Tue, 4 Feb 1997 15:02:42 GMT""}]","2008-02-03"
"cond-mat/9611222","Michel Gingras- Phys364","S.R. Dunsiger, R.F. Kiefl, K.H. Chow, B.D. Gaulin, M.J.P. Gingras,
  J.E. Greedan, A. Keren, K. Kojima, G.M. Luke, W.A. MacFarlane, N.P. Raju,
  J.E. Sonier, Y.J. Uemura, W.D. Wu","Muon Spin Relaxation Investigation of the Spin Dynamics of Geometrically
  Frustrated Antiferromagnets Y2Mo2O7 and Tb2Mo2O7 Static Critical Behavior of
  the Spin-Freezing","Latex file, 3 postscript figures (included)","Phys. Rev. B, {54}, 9019 (1996)","10.1103/PhysRevB.54.9019",,"cond-mat",,"  The spin dynamics of geometrically frustrated pyrochlore antiferromagnets
Y2Mo2O7 and Tb2Mo2O7 have been investigated using muon spin relaxation. A
dramatic slowing down of the moment fluctuations occurs as one approaches the
spin freezing temperatures (TF=22 K and 25 K respectively) from above. Below TF
there is a disordered magnetic state similar to that found in a spin glass but
with a residual muon spin relaxation rate at low temperatures. These results
show that there is a large density of states for magnetic excitations in these
systems near zero energy.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 14:03:20 GMT""},{""version"":""v2"",""created"":""Mon, 2 Dec 1996 20:46:15 GMT""}]","2009-10-28"
"funct-an/9611004","Rainer Verch","Rainer Verch","Scaling algebras, the renormalization group and the principle of local
  stability in algebraic quantum field theory","15 pages, AMS-TeX. To appear in the proceedings of the OA_QFT
  Conference, Rome, 1996",,,,"funct-an math.OA",,"  We summarize the new scaling algebra approach to the structural analysis of
the short distance behaviour of quantum field theories in the operator
algebraic formulation which has recently been proposed by D. Buchholz, R. Verch
(Rev. Math. Phys. 7(1995) 1195), and further studied by D. Buchholz (Ann. Inst.
H. Poincare' 64(1996) 433, Nucl. Phys. B469(1996) 333). We also report on an
extension of this framework to quantum field theory in curved spacetime.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 15:05:00 GMT""}]","2008-02-03"
"gr-qc/9611063",,"Andrew Matacz (University of Sydney, Australia)","Inflation and the Fine-Tuning Problem","5 pages in Latex (uses Revtex), no figures. Minor changes to the text
  only","Phys.Rev.D56:1836-1840,1997","10.1103/PhysRevD.56.1836",,"gr-qc astro-ph hep-ph",,"  I describe a recently derived stochastic approach to inflaton dynamics which
can address some serious problems associated with conventional inflationary
theory. Using this theory I derive an exact solution to the stochastic dynamics
for the case of a $\lambda\phi^4$ potential and use it to study the generated
primordial density fluctuations. It is found that on both sub and super-horizon
scales the theory predicts gaussian fluctuations to a very high accuracy along
with a near scale-invariant spectrum. Of most interest is that the amplitude
constraint is found to be satisfied for $\lambda\sim 10^{-5}$ rather than
$\lambda\sim 10^{-14}$ of the conventional theory. This represents a dramatic
easing of the fine-tuning constraints, a feature likely to generalize to a wide
range of potentials.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 23:29:14 GMT""},{""version"":""v2"",""created"":""Wed, 4 Dec 1996 04:38:07 GMT""}]","2009-12-30"
"gr-qc/9611064","Chung-I. Kuo","Chung-I Kuo(Soochow University)","A Revised Proof of the Existence of Negative Energy Density in Quantum
  Field Theory","7 pages, RevTeX file, no figures, accepted by Nuovo Cimento IL","Nuovo Cim. B112 (1997) 629-632",,,"gr-qc",,"  Negative energy density is unavoidable in the quantum theory of field. We
give a revised proof of the existence of negative energy density unambiguously
for a massless scalar field.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 08:39:50 GMT""},{""version"":""v2"",""created"":""Tue, 7 Jan 1997 06:24:29 GMT""}]","2008-02-03"
"hep-ex/9611020","Preprints Libr/pam","CLEO Collaboration, B. Nemati et al","Measurement of the Direct Photon Spectrum in $\Upsilon(1S)$ Decays","20 page postscript file, postscript file also available through
  http://w4.lns.cornell.edu/public/CLNS","Phys.Rev.D55:5273-5281,1997","10.1103/PhysRevD.55.5273","CLNS 96/1435, CLEO 96-18","hep-ex",,"  Using data taken with the CLEO II detector at the Cornell Electron Storage
Ring, we have determined the ratio of branching fractions: $R_{\gamma} \equiv
\Gamma(\Upsilon(1S) \rightarrow \gamma gg)/\Gamma(\Upsilon(1S) \rightarrow ggg)
= (2.75 \pm 0.04(stat.) \pm 0.15(syst.))%$. From this ratio, we have determined
the QCD scale parameter $\Lambda_{\overline{MS}}$ (defined in the modified
minimal subtraction scheme) to be $\Lambda_{\overline{MS}}= 233 \pm 11 \pm 59$
MeV, from which we determine a value for the strong coupling constant
$\alpha_{s}(M_{\Upsilon(1S)}) = 0.163 \pm 0.002 \pm 0.014$, or
$\alpha_{s}(M_{Z}) = 0.110 \pm 0.001 \pm 0.007$.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 20:31:24 GMT""}]","2010-04-08"
"hep-ex/9611021","Herb Greenlee","D0 Collaboration","Search for a Fourth Generation Charge -1/3 Quark via Flavor Changing
  Neutral Current Decay","Eleven pages, two postscript figures, submitted to Physical Review
  Letters","Phys.Rev.Lett.78:3818-3823,1997","10.1103/PhysRevLett.78.3818","Fermilab-Pub-96/430-E","hep-ex",,"  We report on a search for pair production of a fourth generation charge -1/3
quark (b') in pbar p collisions at sqrt(s) = 1.8 TeV at the Fermilab Tevatron
using an integrated luminosity of 93 pb^-1. Both quarks are assumed to decay
via flavor changing neutral currents (FCNC). The search uses the signatures
gamma + 3 jets + mu-tag and 2 gamma + 2 jets. We see no significant excess of
events over the expected background. We place an upper limit on the production
cross section times branching fraction that is well below theoretical
expectations for a b' quark decaying exclusively via FCNC for b' quark masses
up to m(Z) + m(b).
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 21:56:06 GMT""}]","2012-08-27"
"hep-lat/9611028","Noritsugu Tsuda","H.S.Egawa, T.Hotta, T.Izubuchi, N.Tsuda and T.Yukawa","Scaling Behavior in 4D Simplicial Quantum Gravity","12 pages, latex, 10 postscript figures, uses psfig.sty and cite.sty","Prog.Theor.Phys. 97 (1997) 539-552","10.1143/PTP.97.539",,"hep-lat",,"  Scaling relations in four-dimensional simplicial quantum gravity are proposed
using the concept of the geodesic distance. Based on the analogy of a loop
length distribution in the two-dimensional case, the scaling relations of the
boundary volume distribution in four dimensions are discussed in three regions:
the strong-coupling phase, the critical point and the weak-coupling phase. In
each phase a different scaling behavior is found.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 17:51:34 GMT""}]","2009-10-28"
"hep-lat/9611029","Sergei Shabanov","Sergei V. Shabanov","Abelian projection and studies of gauge-variant quantities in lattice
  QCD without gauge fixing","plain Latex, 12 pages","Mod.Phys.Lett. A11 (1996) 1081-1093","10.1142/S0217732396001119",,"hep-lat hep-th",,"  We suggest a new (dynamical) Abelian projection of the lattice QCD. It
contains no gauge condition imposed on gauge fields so that Gribov copying is
avoided. Configurations of gauge fields that turn into monopoles in the Abelian
projection can be classified in a gauge invariant way. In the continuum limit,
the theory respects the Lorentz invariance. A similar dynamical reduction of
the gauge symmetry is proposed for studies of gauge-variant correlators (like a
gluon propagator) in lattice QCD. Though the procedure is harder for numerical
simulations, it is free of gauge fixing artifacts, like the Gribov horizon and
copies.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 15:21:19 GMT""}]","2015-06-25"
"hep-ph/9611433","John Collins","John C. Collins, Leonid Frankfurt, Mark Strikman","Factorization for hard exclusive electroproduction of mesons in QCD","50 pages, revtex, figures included, uses epsf.sty. Correction of
  citations, and of predictions for meson production","Phys.Rev. D56 (1997) 2982-3006","10.1103/PhysRevD.56.2982","CERN-TH/96-314, PSU/TH/168","hep-ph",,"  We formulate and prove a QCD factorization theorem for hard exclusive
electroproduction of mesons in QCD. The proof is valid for the leading power in
Q and all logarithms. This generalizes previous work on vector meson production
in the diffractive region of small x. The amplitude is expressed in terms of
off-diagonal generalizations of the usual parton densities. The full theorem
applies to all kinds of meson and not just to vector mesons. The parton
densities used include not only the ordinary parton density, but also the
helicity density (g_1 or $\Delta q$) and the transversity density ($h_1$ or
$\delta q$), and these can be probed by measuring the polarization of the
produced mesons with unpolarized protons.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 17:50:47 GMT""},{""version"":""v2"",""created"":""Fri, 20 Dec 1996 10:41:13 GMT""},{""version"":""v3"",""created"":""Tue, 24 Jun 1997 17:05:56 GMT""},{""version"":""v4"",""created"":""Mon, 28 Jul 1997 17:07:19 GMT""}]","2009-10-30"
"hep-ph/9611434","Ricardo Gonzalez Felipe","M. Beuthe, R. Gonzalez Felipe, G. Lopez Castro, J. Pestieau","Behaviour of the Absorptive Part of the W Electromagnetic Vertex","17 pages, 1 figure, LaTeX","Nucl.Phys. B498 (1997) 55-67","10.1016/S0550-3213(97)00263-0","UCL-IPT-96-20","hep-ph",,"  The absorptive part of the $WW\gamma$ vertex induced by massive fermion loops
is considered for different kinematical configurations. We show that the axial
part of this vertex is different from zero not only when massive fermions are
involved but also for massless fermion loops, if one of the W bosons is
space-like and the other is time-like. We also discuss in what sense Low's soft
photon theorem is satisfied.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 17:45:01 GMT""}]","2009-10-30"
"hep-ph/9611436","Paul Hoyer","Paul Hoyer (Nordita)","Physics Opportunities at ELFE","16 pages, 3 figures included using epsf. (Misprint in Eq. (8)
  corrected in revised version.)","Nucl.Instrum.Meth.A398:91-97,1997","10.1016/S0168-9002(96)01224-7","NORDITA-96/76 P","hep-ph nucl-th",,"  I review some central physics opportunities at the 15 ... 30 GeV continuous
beam electron accelerator ELFE, proposed to be built in conjunction with the
DESY linear collider. Our present detailed knowledge of single parton
distributions in hadrons and nuclei needs to be supplemented by measurements of
compact valence quark configurations, accessible through hard exclusive
scattering, and of compact multiparton subsystems which contribute to
semi-inclusive processes. Cumulative (x>1, x_F>1) processes in nuclei measure
short-range correlations between partons belonging to different nucleons in the
same nucleus. The same configurations may give rise to subthreshold production
of light hadrons and charm.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 18:34:37 GMT""},{""version"":""v2"",""created"":""Thu, 19 Dec 1996 21:26:10 GMT""}]","2009-08-25"
"hep-ph/9611437","Jorge L. Lopez","J. Lopez, D. Nanopoulos, and A. Zichichi","Single-photon signals at LEP in supersymmetric models with a light
  gravitino","31 pages, LaTeX, 14 figures (included)","Phys.Rev.D55:5813-5825,1997","10.1103/PhysRevD.55.5813","DOE/ER/40717-36, CTP-TAMU-58/96","hep-ph",,"  We study the single-photon signals expected at LEP in models with a very
light gravitino. The dominant process is neutralino-gravitino production (e+e-
-> chi+ G) with subsequent neutralino decay via chi->gamma+G, giving a
gamma+E_miss signal. We first calculate the cross section at arbitrary
center-of-mass energies and provide new analytic expressions for the
differential cross section valid for general neutralino compositions. We then
consider the constraints on the gravitino mass from LEP 1 and LEP161
single-photon searches, and possible such searches at the Tevatron. We show
that it is possible to evade the stringent LEP 1 limits and still obtain an
observable rate at LEP 2, in particular in the region of parameter space that
may explain the CDF e+e+gamma+gamma+E_T,miss event. As diphoton events from
neutralino pair-production would not be kinematically accessible in this
scenario, the observation of whichever photonic signal will discriminate among
the various light-gravitino scenarios in the literature. We also perform a
Monte Carlo simulation of the expected energy and angular distributions of the
emitted photon, and of the missing invariant mass expected in the events.
Finally we specialize the results to the case of a recently proposed
one-parameter no-scale supergravity model.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 19:30:23 GMT""}]","2009-08-25"
"hep-ph/9611438","Kimball A. Milton","K. A. Milton and I. L. Solovtsov","Analytic perturbation theory in QCD and Schwinger's connection between
  the beta-function and the spectral density","11 pages, 2 figures","Phys.Rev.D55:5295-5298,1997","10.1103/PhysRevD.55.5295","OKHEP-96-08","hep-ph hep-th",,"  We argue that a technique called analytic perturbation theory leads to a
well-defined method for analytically continuing the running coupling constant
from the spacelike to the timelike region, which allows us to give a
self-consistent definition of the running coupling constant for timelike
momentum. The corresponding $\beta$-function is proportional to the spectral
density, which confirms a hypothesis due to Schwinger.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 21:25:21 GMT""}]","2009-12-30"
"hep-ph/9611439","Robert Brandenberger","R. Brandenberger (Brown Univ.), T. Huang, K. Yang and X. Zhang
  (Institute of High Energy Physics, Beijing)","Cosmic Strings in Theories With Dynamical Symmetry Breaking","10 pages, 3 figures, uses LATEX","Phys.Rev.D55:4511-4515,1997","10.1103/PhysRevD.55.4511","BIHEP-TH-96-31; BROWN-HET-1064","hep-ph hep-th",,"  We study the classical cosmic string solution in a theory with dynamical
$U(1)$ symmetry breaking. We calculate the energy per unit length of the string
and compare it to that obtained in a model with a fundamental Higgs. We find
that the predictions of the standard Abelian Higgs model are quite stable
towards the addition of higher dimension operators expected in the effective
Lagrangian for the order parameter in a model with dynamical symmetry breaking,
at least for small coupling constant $\lambda$.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 21:48:43 GMT""}]","2010-01-06"
"hep-ph/9611440","John Bowes","J. P. Bowes and R. R. Volkas","Baryogenesis from baryon number violating scalar interactions","14 pages, 3 Postscript figures","Phys.Rev. D55 (1997) 3844-3850","10.1103/PhysRevD.55.3844","UM-P-96/78 RCHEP 96/08","hep-ph",,"  In the following work we consider the possibility of explaining the observed
baryon number asymmetry in the universe from simple baryon number violating
modifications, involving massive scalar bosons, to the Standard Model. In these
cases baryon number violation is mediated through a combination of Yukawa and
scalar self-coupling interactions. Starting with a previously compiled
catalogue of baryon-number violating extensions of the Standard Model, we
identify the minimal subsets which can induce a $B-L$ asymmetry and thus be
immune to sphaleron washout. For each of these models, we identify the region
of parameter space that leads to the production of a baryon number asymmetry of
the correct order of magnitude.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 22:15:54 GMT""}]","2009-10-30"
"hep-ph/9611441","Paulo Sergio Rodrigues Da Silva","A. A. Natale and P. S. Rodrigues da Silva","Critical coupling for dynamical chiral-symmetry breaking with an
  infrared finite gluon propagator","19 pages, latex, 3 postscript figures, uses epsf.sty and epsf.tex. To
  be published in Phys. Lett. B","Phys.Lett. B392 (1997) 444-451","10.1016/S0370-2693(96)01573-0","IFT-P.050/96","hep-ph",,"  We compute the critical coupling constant for the dynamical chiral-symmetry
breaking in a model of quantum chromodynamics, solving numerically the quark
self-energy using infrared finite gluon propagators found as solutions of the
Schwinger-Dyson equation for the gluon, and one gluon propagator determined in
numerical lattice simulations. The gluon mass scale screens the force
responsible for the chiral breaking, and the transition occurs only for a
larger critical coupling constant than the one obtained with the perturbative
propagator. The critical coupling shows a great sensibility to the gluon mass
scale variation, as well as to the functional form of the gluon propagator.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 01:15:08 GMT""}]","2009-10-30"
"hep-ph/9611442","Umberto Cotti","Umberto Cotti and Arnulfo Zepeda (CINVESTAV, Mexico)","Model independent analysis of the simultaneous mixing of gauge bosons
  and mixing of fermions","13 pages, LaTeX, Submitted to Phys. Rev. D","Phys.Rev. D55 (1997) 2998-3005","10.1103/PhysRevD.55.2998","CINVESTAV-FIS-14/96","hep-ph",,"  We discuss the case of simultaneous mixing of gauge bosons and mixing of
fermions in a model independent way and for a variety of extra-fermion
representations.
  In this context we analyze a class of lepton family violating processes,
namely Z --> e tau, Z --> mu tau, Z --> e mu, mu --> e e e, tau --> e e e, tau
--> mu mu mu, tau --> e mu mu and tau --> mu e e in the presence of one extra
neutral gauge boson, Z', with universal, non-universal or family changing
couplings.
  We derive bounds on the combined effect of Z-Z' mixing and ordinary--exotic
lepton mixing.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 22:33:54 GMT""}]","2009-10-30"
