"alg-geom/9610017","Rodriguez Romo Suemi-FESC","V.K. Kharchenko, J. Keller, S. Rodriguez-Romo","Prime rings with PI rings of constants","20 pages, LaTex2e, to appear in Israel Journal of Mathematics, volume
  96, part B, 1996 (357-377)",,,,"alg-geom math.AG math.QA q-alg",,"  It is shown that if the ring of constants of a restricted differential Lie
algebra with a quasi-Frobenius inner part satisfies a polynomial identity (PI)
then the original prime ring has a generalized polynomial identitiy (GPI). If
additionally the ring of constants is semiprime then the original ring is PI.
The case of a non-quasi-Frobenius inner part is also considered.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 16:59:22 GMT""}]","2008-02-03"
"cond-mat/9610124","Cheng Zhang Wang","Cheng-Zhang Wang, Rici Yu and Henry Krakauer","Polarization Dependence of Born Effective Charge and Dielectric Constant
  in KNbO$_3$","26 pages, revtex, no figures; to appear in Phys. Rev. B15 (Oct.),
  1996",,"10.1103/PhysRevB.54.11161",,"cond-mat.soft",,"  The Born effective charge Z^{*} and dielectric tensor \epsilon_{\infty} of
KNbO_3 are found to be very sensitive to the atomic geometry, changing by as
much as 27% between the paraelectric cubic and ferroelectric tetragonal and
rhombohedral phases. Subtracting the bare ionic contribution reveals changes of
the dynamic component of Z^{*} as large as 50%, for atomic displacements that
are typically only a few percent of the lattice constant. Z^{*},
\epsilon_{\infty} and all phonon frequencies at the Brillouin zone center were
calculated using the {\it ab initio} linearized augmented plane-wave linear
response method with respect to the reference cubic, experimental tetragonal,
and theoretically determined rhombohedral ground state structures. The ground
state rhombohedral structure of KNbO_3 was determined by minimizing the forces
on the relaxed atoms. By contrast with the cubic structure, all zone center
phonon modes of the rhombohedral structure are stable and their frequencies are
in good agreement with experiment. In the tetragonal phase, one of the soft
zone center modes in the cubic phase is stablized. In view of the small atomic
displacements involved in the ferroelectric transitions, it is evident that not
only the soft mode frequencies but also the Born effective charge and
dielectric constants are very sensitive to the atomic geometry.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 22:09:33 GMT""}]","2016-08-31"
"cond-mat/9610125","Jorge Jose","Jorge V. Jos\'e and G. Ram\'irez-Santiago","Comment on ""Two Phase Transitions in the Fully frustrated XY Model""","One page one table, to Appear in Physical Review Letters",,"10.1103/PhysRevLett.77.4849",,"cond-mat.stat-mech",,"  The conclusions of a recent paper by Olsson (Phys. Rev. Lett. 75, 2758
(1995), cond-mat/9506082) about the fully frustrated XY model in two dimensions
are questioned. In particular, the evidence presented for having two separate
chiral and U(1) phase transitions are critically considered.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 19:28:11 GMT""}]","2016-08-15"
"cond-mat/9610126","Boris Fain","Boris Fain, Joseph Rudnick, Stellan Ostlund","Conformations of Linear DNA","5 pages, RevTeX; 6 postscript figures",,"10.1103/PhysRevE.55.7364",,"cond-mat.soft q-bio",,"  We examine the conformations of a model for under- and overwound DNA. The
molecule is represented as a cylindrically symmetric elastic string subjected
to a stretching force and to constraints corresponding to a specification of
the link number. We derive a fundamental relation between the Euler angles that
describe the curve and the topological linking number. Analytical expressions
for the spatial configurations of the molecule in the infinite- length limit
were obtained. A unique configuraion minimizes the energy for a given set of
physical conditions. An elastic model incorporating thermal fluctuations
provides excellent agreement with experimental results on the plectonemic
transition.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 23:04:14 GMT""}]","2009-10-28"
"cond-mat/9610127","Takahiro Fukui","T. Fukui and N. Kawakami","SU(\nu) Generalization of Twisted Haldane-Shastry Model","23 pages, revtex, To appear in Nucl. Phys. B",,"10.1016/S0550-3213(96)00573-1","YITP-96-21","cond-mat.stat-mech",,"  The SU($\nu$) generalized Haldane-Shastry spin chain with $1/r^2$ interaction
is studied with twisted boundary conditions. The exact wavefunctions of Jastrow
type are obtained for every rational value of the twist angle in unit of
$2\pi$. The spectral flow of the ground state is then discussed as a function
of the twist angle. By resorting to the motif picture in the Bethe ansatz
method, we show that the period of the spectral flow is $\nu$, which is
determined by the statistical interaction in exclusion statistics.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 02:16:44 GMT""}]","2009-10-28"
"cond-mat/9610128","Jens Fricke","J. Fricke","Transport equations including many-particle correlations for an
  arbitrary quantum system. General formalism","19 pages, 14 Postscript figures, uses RevTeX, to be published in:
  Annals of Physics (N.Y.)","Ann. Phys. (N.Y.) 252 (1996) 479","10.1006/aphy.1996.0142",,"cond-mat.stat-mech",,"  We present a new method to derive transport equations for quantum
many-particle systems. This method uses an equation-of-motion technique and is
applicable to systems with bosons and fermions, arbitrary interactions and
time-dependent external fields. Using a cluster expansion of the r-particle
density matrices the infinite hierarchy of equations of motion for
many-particle expectation values is transposed into an equivalent one in terms
of correlations. This new hierarchy permits a systematic breaking of the
hierarchy at any order. Diagrams are derived for these transport equations. In
a second paper the method is tested for exactly soluble electron-phonon models
in one dimension.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 09:50:19 GMT""}]","2009-10-28"
"cond-mat/9610129","Jens Fricke","J. Fricke, V. Meden, C. Wohler, and K. Schonhammer","Improved transport equations including correlations for electron-phonon
  systems. Comparison with exact solutions in one dimension","20 pages, 15 Postscript figures, uses RevTeX, to be published in:
  Annals of Physics (N.Y.)","Ann. Phys. (N.Y.) 253 (1997) 177","10.1006/aphy.1997.5623",,"cond-mat.stat-mech",,"  We study transport equations for quantum many-particle systems in terms of
correlations by applying the general formalism developed in an earlier paper to
exactly soluble electron-phonon models. The one-dimensional models considered
are the polaron model with a linear energy dispersion for the electrons and a
finite number of electrons and the same model including a Fermi sea
(Tomonaga-Luttinger model). The inclusion of two-particle correlations shows a
significant and systematic improvement in comparison with the usual
non-Markovian equations in Born approximation. For example, the improved
equations take into account the renormalization of the propagation by the
self-energies to second order in the coupling.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 09:55:06 GMT""}]","2009-10-28"
"cond-mat/9610130","Vincenzo Fiorentini","Vincenzo Fiorentini, Michael Methfessel, and Sabrina Oppo","Ab initio core-level shifts in metallic alloys","7 pages (mrs/epsf styles included), 2 ps figures","MRS Proceedings 408, 495 (1996)",,,"cond-mat.mtrl-sci",,"  Core-level shifts and core-hole screening effects in alloy formation are
studied ``ab initio'' by constrained-density-functional total-energy
calculations. For our case study, the ordered intermetallic alloy MgAu,
final-state effects are essential to account for the experimental Mg 1s shift,
while they are negligible for Au 4f. We explain the differences in the
screening by analyzing the calculated charge density response to the core hole
perturbation.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 12:53:43 GMT""}]","2008-02-03"
"cond-mat/9610131","Eugene Kogan","Eugene Kogan","Scattering approach to classical quasi-1D transport","2 pages including 1 eps file, REVTEX. Radical changes are made",,,,"cond-mat",,"  General dynamical transport of classical particles in disordered quasi-1D
samples is viewed in the framework of scattering approach. Simple equation for
the transfer-matrix is obtained within this unified picture. In the case of
diffusive transport the solution of this equation exactly coincides with the
solution of diffusion equation.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 14:59:59 GMT""},{""version"":""v2"",""created"":""Fri, 18 Oct 1996 13:41:54 GMT""}]","2008-02-03"
"dg-ga/9610008","Lu Jiang-Hua","Sam Evens, Jiang-Hua Lu, and Alan Weinstein","Transverse measures, the modular class, and a cohomology pairing for Lie
  algebroids",,,,,"dg-ga math.DG",,"  We show that every Lie algebroid $A$ over a manifold $P$ has a natural
representation on the line bundle $Q_A = \wedge^{top}A \otimes \wedge^{top}
T^*P$. The line bundle $Q_A$ may be viewed as the Lie algebroid analog of the
orientation bundle in topology, and sections of $Q_A$ may be viewed as
transverse measures to $A$. As a consequence, there is a well-defined class in
the first Lie algebroid cohomology $H^1(A)$ called the modular class of the Lie
algebroid $A$. This is the same as the one introduced earlier by Weinstein
using the Poisson structure on $A^*$. We show that there is a natural pairing
between the Lie algebroid cohomology spaces of $A$ with trivial coefficients
and with coefficients in $Q_A$. This generalizes the pairing used in the
Poincare duality of finite-dimensional Lie algebra cohomology. The case of
holomorphic Lie algebroids is also discussed, where the existence of the
modular class is connected with the Chern class of the line bundle $Q_A$.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 01:24:54 GMT""}]","2008-02-03"
"funct-an/9610002","Tamotsu Teruya","Tamotsu Teruya (Hokkaido university)","Normal intermediate subfactors","25 pages, amslatex, to appear in J. Math. Soc. Japan",,,,"funct-an math.OA",,"  Let $N \subset M$ be an irreducible inclusion of type type II$_1$ factors
with finite Jones index. We shall introduce the notion of normality for
intermediate subfactors of the inclusion $N \subset M$. If the depth of $N
\subset M$ is 2, then an intermediate subfactor $K$ for $N \subset M$ is normal
in $ N \subset M$ if and only if the depths of $N \subset K$ and $K \subset M$
are both 2. In particular, if $M$ is the crossed product $N \rtimes G$ of a
finite group $G$, then $K = N \rtimes H$ is normal in $N \subset M$ if and only
if $H$ is a normal subgroup of $G$.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 06:24:01 GMT""}]","2008-02-03"
"gr-qc/9610032","Wataru Ogawaguchi","W. Ogawaguchi and Y. Kojima","Evolution of Close Neutron Star Binaries","13 pages, LaTeX, 15 figures, to appear in Prog. Theor. Phys. vol.96","Prog.Theor.Phys. 96 (1996) 901-916","10.1143/PTP.96.901",,"gr-qc",,"  We have calculated evolution of neutron star binaries towards the coalescence
driven by gravitational radiation. The hydrodynamical effects as well as the
general relativistic effects are important in the final phase. All corrections
up to post$^{2.5}$-Newtonian order and the tidal effect are included in the
orbital motion. The star is approximated by a simple Newtonian stellar model
called affine star model. Stellar spins and angular momentum are assumed to be
aligned. We have showed how the internal stellar structure affects the stellar
deformation, variations of the spins, and the orbital motion of the binary just
before the contact. The gravitational wave forms from the last a few
revolutions significantly depend on the stellar structure.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 22:11:10 GMT""},{""version"":""v2"",""created"":""Thu, 17 Oct 1996 14:55:16 GMT""}]","2009-10-28"
"gr-qc/9610033",,"M. Tsuda and T. Shirafuji","Structure of the field equations in N = 1 chiral supergravity","19 pages, latex",,,"STUPP-96-149","gr-qc",,"  We study the structure of linearized field equations in $N = 1$ chiral
supergravity (SUGRA) with a complex tetrad, as a preliminary to introducing
additional auxiliary fields in order that the supersymmetry (SUSY) algebra
close off shell. We follow the first-order formulation we have recently
constructed using the method of the usual $N = 1$ SUGRA. In particular, we see
how the real and imaginary parts of the complex tetrad are coupled to matter
fields in the weak field approximation. Starting from the linearized (free)
theory of $N = 1$ chiral SUGRA, we then construct a Lagrangian which is
invariant under local SUSY transformations to zeroth order of the gravitational
constant, and compare the results with the linearized field equations.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 04:07:44 GMT""}]","2007-05-23"
"gr-qc/9610034","Piotr Chrusciel","R.Beig and P.T. Chru\'sciel","The isometry groups of asymptotically flat, asymptotically empty
  space-times with timelike ADM four-momentum","Latex with amssymb, 16 pages","Commun.Math.Phys. 188 (1997) 585-597","10.1007/s002200050180",,"gr-qc",,"  We give a complete classification of all connected isometry groups, together
with their actions in the asymptotic region, in asymptotically flat,
asymptotically vacuum space--times with timelike ADM four--momentum.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 08:57:20 GMT""}]","2009-10-28"
"hep-lat/9610019","J. Engels","J. Engels, T. Scheideler (University of Bielefeld)","The Pseudo Specific Heat in SU(2) Gauge Theory : Finite Size Dependence
  and Finite Temperature Effects","Latex 2e,10 pages including 5 postscript figures","Phys.Lett. B394 (1997) 147-151","10.1016/S0370-2693(96)01681-4","BI-TP 96/48","hep-lat",,"  We investigate the pseudo specific heat of SU(2) gauge theory near the
crossover point on $4^4$ to $16^4$ lattices. Several different methods are used
to determine the specific heat. The curious finite size dependence of the peak
maximum is explained from the interplay of the crossover phenomenon with the
deconfinement transition occurring due to the finite extension of the lattice.
We find, that for lattices of size $8^4$ and larger the crossover peak is
independent of lattice size at $\beta_{co}=2.23(2)$ and has a peak height of
$C_{V,co}=1.685(10)$. We conclude therefore that the crossover peak is not the
result of an ordinary phase transition. Further, the contributions to $C_V$
from different plaquette correlations are calculated. We find, that at the peak
and far outside the peak the ratio of contributions from orthogonal and
parallel plaquette correlations is different. To estimate the finite
temperature influence on symmetric lattices far off the deconfinement
transition point we calculate the modulus of the lattice average of the
Polyakov loop on these lattices and compare it to predictions from a random
walk model.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 16:51:37 GMT""}]","2009-10-28"
"hep-lat/9610020","Keh-Fei Liu","K. F. Liu, S. J. Dong and C. Thron","Hybrid Monte Carlo Without Pseudofermions","4 pages, Latex, 3 ps figures. Talk presente at Lattice '96","Nucl.Phys.Proc.Suppl. 53 (1997) 980-982","10.1016/S0920-5632(96)00833-X",,"hep-lat",,"  We introduce a dynamical fermion algorithm which is based on the hybrid Monte
Carlo (HMC) algorithm, but without pseudofermions. The molecular dynamics steps
in HMC are retained except the derivatives with respect to the gauge fields are
calculated with the $Z_2$ noise. The determinant ratios are estimated with the
Pa\`{d}e - $Z_2$ method. Finally, we use the Kennedy-Kuti linear accept/reject
method for the Monte Carlo step which is shown to respect detailed balance. We
comment on the comparison of this algorithm with the pseudofermion algorithm.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 16:08:32 GMT""}]","2009-10-28"
"hep-lat/9610021","Alan Sokal","Gustavo Mana, Andrea Pelissetto and Alan D. Sokal","Multi-Grid Monte Carlo via $XY$ Embedding. II. Two-Dimensional $SU(3)$
  Principal Chiral Model","self-unpacking archive including .tex, .sty and .ps files; 126 pages
  including all figures","Phys.Rev.D55:3674-3741,1997","10.1103/PhysRevD.55.3674","NYU-TH-96/10/02","hep-lat",,"  We carry out a high-precision simulation of the two-dimensional $SU(3)$
principal chiral model at correlation lengths $\xi$ up to $\sim 4 \times 10^5$,
using a multi-grid Monte Carlo (MGMC) algorithm and approximately one year of
Cray C-90 CPU time. We extrapolate the finite-volume Monte Carlo data to
infinite volume using finite-size-scaling theory, and we discuss carefully the
systematic and statistical errors in this extrapolation. We then compare the
extrapolated data to the renormalization-group predictions. The deviation from
asymptotic scaling, which is $\approx 12%$ at $\xi \sim 25$, decreases to
$\approx 2%$ at $\xi \sim 4 \times 10^5$. We also analyze the dynamic critical
behavior of the MGMC algorithm using lattices up to $256 \times 256$, finding
the dynamic critical exponent $z_{int,{\cal M}^2} \approx 0.45 \pm 0.02$
(subjective 68% confidence interval). Thus, for this asymptotically free model,
critical slowing-down is greatly reduced compared to local algorithms, but not
completely eliminated.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 00:36:09 GMT""}]","2014-11-17"
"hep-lat/9610022","Saumen Datta","Saumen Datta and Rajiv V. Gavai","Stability of the Bulk Phase Diagram of the SU(2) Lattice Gauge Theory
  with Fundamental - Adjoint Action",,"Phys.Lett. B392 (1997) 172-176","10.1016/S0370-2693(96)01512-2","TIFR/TH/96-55","hep-lat",,"  Using improved mean field and strong coupling expansions we re-analyse the
bulk phase diagram of the fundamental-adjoint action of the SU(2) Lattice Gauge
Theory. We find that the qualitative features of the bulk phase diagram are
robust and unchanged by the inclusion of higher order terms. On the other hand,
some of the quantitative features, such as the location of the endpoint of the
line of bulk phase transitions, seem to be strongly dependent on the higher
terms of the strong coupling expansion.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 13:56:05 GMT""}]","2009-10-28"
"hep-ph/9610363","Adam Falk","Adam F. Falk","The Heavy Quark Expansion of QCD","51 pages, 7 eps figures, REVTeX. To appear in the Proceedings of the
  XXIV SLAC Summer Institute, ``The Strong Interaction, from Hadrons to
  Partons'', August 19-30, 1996",,,"JHU-TIPAC-96017","hep-ph",,"  These lectures contain an elementary introduction to heavy quark symmetry and
the heavy quark expansion. Applications such as the expansion of heavy meson
decay constants and the treatment of inclusive and exclusive semileptonic $B$
decays are included. Heavy hadron production via nonperturbative fragmentation
processes is also discussed.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 16:08:51 GMT""}]","2007-05-23"
"hep-ph/9610366","Schildknecht","Dieter Schildknecht","Electroweak Theory Confronting Precision Data","Talk presented at the International School of Subnuclear Physics,
  34th Course: Effective Theories and Fundamental Interactions, Erice, Sicily,
  3-12 July, 1996. 24 pages, latex, 10 ps and 2 eps files included",,,"BI-TP 96/49","hep-ph",,"  We review the empirical evidence for the validity of the Standard Electroweak
Theory in nature. The experimental data are interpreted in terms of an
effective Lagrangian for Z physics, allowing for potential sources of SU(2)
violation and containing the predictions of the Standard Electroweak Theory as
a special case. Particular emphasis is put on discriminating loop corrections
due to fermion-loop vector-boson propagator corrections on the one hand, from
corrections depending on the non-Abelian structure and the Higgs sector on the
other hand. Results from recently obtained fits of the Higgs-boson mass are
reported, yielding M_H < 550GeV [800GeV] at 95% C.L. based on the input of
swbar^2(LEP+SLD)=0.23165+-0.00024 [swbar^2(LEP)=0.23200 +-0.00027]. With
respect to LEP2, it is emphasized that first direct experimental evidence for
non-zero non-Abelian couplings among the vector bosons can be obtained even
with restricted e+e- luminosity.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 16:31:30 GMT""}]","2007-05-23"
"hep-ph/9610367","A. Khodjamirian","A. Khodjamirian and R. R\""uckl","Sum-Rule Results on Exclusive Decays of Heavy Mesons","6 pages, LaTex, 2 figures, epsf; talk presented by A. Khodjamirian at
  28th International Conference on High Energy Physics, Warsaw, July 1996",,,"WUE-ITP-96-020, MPI-PhT/96-108","hep-ph",,"  We review QCD sum rule applications to hadronic matrix elements of exclusive
$B$ and $D$ decays. Results are presented for the form factors $f^+$ and $F_0$
of $B \rightarrow \pi$ and $D\rightarrow \pi$ transitions. The predictions are
used to compute the width of $D^* \rightarrow D \pi$, and to extract the CKM
parameter $V_{ub}$ from the measured $B \rightarrow \pi e \nu$ width.
Furthermore, we comment on weak annihilation in $B \rightarrow \rho \gamma$, as
well as on the radiative decays $D \rightarrow \rho \gamma$, $D \rightarrow K^*
\gamma$, and $B \rightarrow \mu \nu \gamma$.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 16:12:59 GMT""}]","2007-05-23"
"hep-ph/9610368","Kingman Cheung","Kingman Cheung","Probing Non-standard Top Couplings Using spin-correlation","LaTeX2e, 12 pages and 3 figure embedded using the package{graphicx}","Phys.Rev. D55 (1997) 4430-4434","10.1103/PhysRevD.55.4430","UTEXAS-HEP-96-16","hep-ph",,"  Top spin correlation has been shown to be nontrivial in hadronic top-pair
production, and can be realized by the asymmetries of the decay products of the
top quark and antiquark. We show in this work that the top spin correlation is
a sensitive probe to the anomalous top-quark couplings beyond the standard
model. Specifically, we look at the anomalous chromomagnetic and chromoelectric
dipole moments, as well as a right-handed component in the weak decay of the
top quark. We found a few measurable asymmetries formed by the decay products
of the top-quark pair that vary in accord with the spin correlation.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 17:06:49 GMT""}]","2015-06-25"
"hep-ph/9610369","Xiangdong Ji","Xiangdong Ji","Hunting for the Remaining Spin in the Nucleon","8 pages, latex, no figures, talk presented at the 12th International
  Symposium on High-Energy Spin Physics, Amsterdam, Sept., 1996",,,"U. of MD PP#97-042","hep-ph",,"  This talk consists of four parts. In part one, I give an elementary
discussion on constructing a Lorentz-invariant spin sum rule for the nucleon.
In part two, I discuss a gauge-dependent spin sum rule, explore its relation
with the polarized gluon distribution, and introduce the complete evolution
equation for the spin structure. In part three, I consider a gauge-invariant
spin sum rule and the related evolution equation. The solution of the equation
motivates the possibility that half of the nucleon spin may be carried by
gluons at low energy scales. In the final part, I discuss deeply-virtual
Compton scattering as a possible way to measure the canonical orbital angular
momentum of quarks in the nucleon.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 17:57:00 GMT""}]","2007-05-23"
"hep-ph/9610370","Zvi Bern","Z. Bern, L. Dixon, D.A. Kosower and S. Weinzierl","One-Loop Amplitudes for e^+ e^- to q-bar q Q-bar Q","22 pages, TeX, four figures","Nucl.Phys.B489:3-23,1997","10.1016/S0550-3213(96)00703-1","SLAC-PUB-7316","hep-ph",,"  We present the one-loop helicity amplitudes for processes involving a vector
boson V (V=W,Z, or gamma^*) and four massless quarks, 0 to V q-bar q Q-bar Q,
where V couples to a massless lepton pair. These amplitudes are required for
next-to-leading order O(alpha_s^3) numerical programs for four-jet production
at e^+ e^- colliders, for W, Z or Drell-Yan production in association with two
jets at hadron colliders, and for three-jet production in deeply inelastic
scattering experiments. We obtained the amplitudes presented here by using
their analytic properties to constrain their form.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 18:34:11 GMT""}]","2014-11-17"
"hep-ph/9610371","Boris Kopeliovich","J. H\""ufner and B.Z. Kopeliovich (Heidelberg)","Electroproduction of vector mesons off nuclei at ELFE: exact solution
  for color transparency","6 pages, Latex. A talk presented by B.Z.K. at the second ELFE
  Workshop, September 22-27, 1996, Saint Malo, France","Phys.Lett.B403:128-133,1997","10.1016/S0370-2693(97)00514-5",,"hep-ph nucl-th",,"  A multichannel evolution equation is developed for the density matrix
describing a hadronic wave packet produced by a virtual photon and propagation
through a nuclear matter. This approach is dual to the quark-gluon
representation, incorporates the effects of coherence and formation times and
gives an exact solution for color transparency problem at any photon energy. We
propose a procedure of data analysis, which provides an unambiguous way of
detection of a color transparency signal even at medium energies.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 19:18:51 GMT""}]","2011-04-15"
"hep-ph/9610372","Sean Fleming","Sean Fleming (University of Wisconsin - Madison)","Determining Color-Octet psi-Production Matrix Elements from gamma p and
  e p Processes","Presented at the 1996 University of Illinois at Chicago Quarkonium
  Physics Workshop. 10 pages, Latex, 5 figures included in text using epsf and
  epsfig files. Preprint available at
  http://phenom.physics.wisc.edu/pub/preprints/","Int.J.Mod.Phys.A12:3995-4004,1997","10.1142/S0217751X97002140","MADPH-96-966","hep-ph",,"  We calculated, within the NRQCD factorization formalism, the leading
color-octet contributions to psi production in photon-nucleon and
electron-nucleon collisions. The expressions obtained depend on the NRQCD
matrix elements <O^{psi}_8(^1S_0)> and <O^{psi}_8(^3P_J)>. These matrix
elements can be determined by fitting to experimental data. The color-octet
contribution to psi photoproduction is in the forward region of phase space,
where there may be large corrections to the NRQCD result from higher twist
terms. As to psi leptoproduction we point out that the theoretical
uncertainties plaguing the photoproduction calculation vanish in the large
momentum transfer limit. In this region of phase space the NRQCD formalism
should be valid, making psi leptoproduction an ideal laboratory for testing the
theory.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 21:19:42 GMT""}]","2011-04-15"
"hep-ph/9610373","Thomas G. Rizzo","Thomas G. Rizzo","Using Final State Gluons as Probes of Anomalous Top Quark Couplings at
  the NLC","10 pages, 5 figures","ECONF C960625:STC123,1996",,"SLAC-PUB-7317","hep-ph",,"  The rate and corresponding gluon jet energy distribution for the process
$e^+e^- \to t\bar tg$ are sensitive to the presence of anomalous dipole-like
couplings of the top to the photon and $Z$ at the production vertex as well as
to the gluon itself. For sizeable anomalous couplings substantial deviations in
the shape and magnitude of the gluon spectrum from the expectations of the
Standard Model are anticipated. We explore the capability of the Next Linear
Collider to either discover or place bounds on these types of top quark
couplings through measurements of the gluon energy distribution. The resulting
constraints are found to be quite complementary to those obtained using other
techniques. [To appear in the Proceedings of the 1996 DPF/DPB Summer Study on
New Directions for High Energy Physics-Snowmass96, Snowmass, CO, 25 June-12
July, 1996.]
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 23:00:28 GMT""}]","2011-03-02"
"hep-ph/9610374","Mar Bastero Gil","Mar Bastero-Gil and Biswajoy Brahmachari","Light adjoint scalars and unification at the string scale","9 pages, 6 figures, captions.sty included","Phys.Lett. B403 (1997) 51-56","10.1016/S0370-2693(97)00434-6",,"hep-ph",,"  Following the suggestion of Bachas, Fabre and Yanagida (BFY), we analyze the
gauge coupling unification at the two-loop order, in a supersymmetric scenario
where scalars belonging to the adjoint representations contribute to the
evolution of the couplings from intermediate scales onward, and the unification
scale is pushed towards the string scale. Thereafter, we compare the masses of
these adjoint scalars to the scale at which the hidden sector gauge coupling
reaches the non-perturbative limit at the two-loop order for various possible
hidden sector gauge groups motivated by the the conjecture of BFY that the
masses of these adjoint scalars are related to gaugino condensation. We also
compute the predictions for the top and bottom quark masses in this scenario
and compare them with those of MSSM. The predicted bottom mass improves in the
BFY scenario for smaller values of $\alpha_s$.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 02:10:35 GMT""}]","2009-10-28"
"hep-ph/9610375","William Kilgore","William B. Kilgore (Fermilab)","Distinguishing Among Models of Strong W_L W_L Scattering at the LHC","6 pages, LaTeX2e, 1 Postscript figure. Uses snow2e.cls, epsfig.sty.
  To appear in the Proceedings of the 1996 DPF/DPB Summer Study on New
  Directions in High Energy Physics, Snowmass, CO, June 25-July 12, 1996","ECONFC960625:STC132,1996",,"Fermilab-Conf-96/329-T","hep-ph",,"  Using a multi-channel analysis of W_L W_L scattering signals, I study the
LHC's ability to distinguish among various models of strongly interacting
electroweak symmetry breaking sectors.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 15:59:34 GMT""}]","2008-11-26"
"hep-ph/9610376","V. L. Yudichev","A.A. Andrianov, V.A. Andrianov, V.L. Yudichev (Sankt-Petersburg,
  Russia)","Composite two-Higgs model with dynamical CP-violation","7 pages of LaTeX text. Talk given at 28th International Conference on
  High Energy Physics, Warsaw, June 1996, and XI International Workshop on High
  Energy Physics and Quantum Field Theory, Sankt-Petersburg, September, 1996",,,,"hep-ph",,"  Quark models with four-fermion interaction including derivatives of fields
are exploited as prototypes for composite-Higgs extensions of the Standard
Model. In the non-trivial case of two- and four-derivative insertions the
dynamical breaking of chiral symmetry occurs in two channels, giving rise to
two composite Higgs doublets. For special configuration of four-fermion
coupling constants the dynamical CP-violation in the Higgs sector appears as a
result of complexity of two v.e.v. for Higgs doublets. In this scenario the
second Higgs doublet is regarded as a radial excitation of the first one.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 12:13:54 GMT""},{""version"":""v2"",""created"":""Mon, 9 Dec 1996 17:28:14 GMT""}]","2008-02-03"
"hep-ph/9610377","Roberto Casalbuoni, Firenze","R. Casalbuoni, S. De Curtis and D. Guetta","Trilinear anomalous gauge couplings and non-standard fermionic couplings","pages 23, figures 10, latex","Phys. Rev. D 55, 4203 (1997)","10.1103/PhysRevD.55.4203","DFF 258/10/96","hep-ph",,"  In this paper we do an analysis of the reaction $e^+e^-\to W^+W^-$ for
various options of the Next Linear Colliders (NLC), by considering the
possibility of deviations from the Standard Model induced by anomalous
trilinear vector boson couplings and non-standard fermionic couplings. We show
that there are strong correlations among these parameters. By studying the
high-energy behaviour of the helicity amplitudes we show that the error made in
linearizing the cross-section in the anomalous and non-standard couplings
increases with the square of the center of mass energy. We consider also the
option of longitudinally polarized electron beams by showing that, in this
case, the restrictions on the anomalous and non-standard parameters are greatly
enhanced.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 13:34:45 GMT""}]","2016-08-24"
"hep-ph/9610378","Jean-Marc Virey","P. Taxil and J.-M. Virey","Spin asymmetries from Non Standard Physics with polarized proton beams
  at RHIC","Latex file, 3 pages and 1 ps fig. To appear in the proceedings of the
  $12^{th}$ International Symposium on High Energy Spin Physics",,,"CPT-96/P.3391","hep-ph",,"  A new handed interaction between quarks could be at the origin of some small
parity violating effects in the inclusive production of one-jet in polarized
$pp$ collisions. This interaction could originate from compositeness or from
the presence of a new massive vector boson. The measurement of such asymmetries
could be performed within a few years by using the RHIC collider as a polarized
proton-proton collider.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 13:39:10 GMT""}]","2007-05-23"
