"adap-org/9610002","Marek Grabowski","Marek Grabowski and R. E. Camley","Emergent spatial correlations in stochastically evolving populations","11 pages, 4 figures, Adobe PDF format",,"10.1103/PhysRevE.56.3421",,"adap-org cond-mat nlin.AO nlin.PS patt-sol",,"  We study the spatial pattern formation and emerging long range correlations
in a model of three species coevolving in space and time according to
stochastic contact rules. Analytical results for the pair correlation
functions, based on a truncation approximation and supported by computer
simulations, reveal emergent strategies of survival for minority agents based
on selection of patterns. Minority agents exhibit defensive clustering and
cooperative behavior close to phase transitions.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 21:18:02 GMT""}]","2009-10-28"
"hep-ph/9610239","Yu-Qi Chen","Yu-Qi Chen","Production of the B_c Meson","10 pages, LaTex, 3 figures, Invited talk presented at the Quarkonium
  Physics Workshop, University of Illinois at Chicago, June 1996","Int.J.Mod.Phys.A12:4039-4048,1997","10.1142/S0217751X9700219X","OHSTPY-HEP-T-96-029","hep-ph hep-ex",,"  The production of the B_c and B_c^* mesons was studied in the framework of
the factorization formalism and perturbative QCD. Predicted results implied
that an observable number of B_c and B_c^* events can be produced at LEP I and
at Tevatron. The fragmentation approximation describes the production of the
B_c and B_c^* mesons very well in high energy e^+e^- collisions. In hadronic
collisions, it is valid when and only when the transverse momentum P_T of the
produced B_c and B_c^* is much larger than the mass of the B_c meson.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 23:59:19 GMT""}]","2014-11-17"
"hep-ph/9610240","Bogdan Dobrescu","B. A. Dobrescu (Boston U.) and S. Mrenna (Argonne)","Signals of Dynamical Supersymmetry Breaking in a Hidden Sector","3 pages, latex2e, requires snow2e.cls and times.sty","ECONF C960625:SUP109,1996",,"BUHEP-96-28","hep-ph",,"  If supersymmetry is dynamically broken in a hidden sector, the gauginos
typically have unacceptably small masses. This situation can be corrected if a
non-Abelian gauge interaction becomes strong at a scale of order 1 TeV and
induces dynamical gaugino masses. We discuss the typical signals of this
scenario at present and future colliders.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 06:58:10 GMT""}]","2014-11-17"
"hep-ph/9610241","Sergey Troshin","S. M. Troshin and N. E. Tyurin","Spin and Flavor Content of Constituent Quarks and One-Spin Asymmetries
  in Inclusive Processes","3 pages, latex, no figures, talk given at SPIN96 Simposium,
  Amsterdam, 10-14 September 1996",,,,"hep-ph",,"  We discuss a nonperturbative mechanism for one-spin asymmetries in inclusive
hadron production. The main role in generation of this asymmetry belongs to the
orbital angular momentum of quark-antiquark cloud in internal structure of
constituent quarks.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 12:45:10 GMT""}]","2007-05-23"
"hep-ph/9610242","Lucas Taylor","John Swain (Northeastern University) and Lucas Taylor (Northeastern
  University)","Constraints on the tau neutrino mass and mixing from precise
  measurements of tau decay rates","11 pages, 2 figures","Phys.Rev.D55:1-4,1997","10.1103/PhysRevD.55.1","Northeastern University preprint: NUB / 3146","hep-ph",,"  We have derived constraints on the tau neutrino mass and fourth generation
mixing from an analysis of the partial widths of tau lepton decays, in
particular: tau -> e nu nu_tau, tau -> mu nu nu_tau, tau -> pi nu_tau, tau -> K
nu_tau. We present predictions for the tau decay widths, allowing for a
non-zero tau neutrino mass, m(nu_tau), and for mixing with a neutrino of mass
m(nu_L) > M_Z/2, which is parametrised using a Cabibbo-like mixing angle,
theta_L. By comparison of these theoretical predictions with the experimental
measurements, we obtain the following bounds at the 90% confidence level:
m(nu_tau) < 42 MeV and sin^2(theta_L) < 0.014.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 11:25:28 GMT""}]","2008-11-26"
"hep-ph/9610243","Antonio Pich","A. Pich","Rare Kaon Decays","15 pages, latex, 4 Postscript figures. Uses overcite.sty, epsfig.sty
  Invited Talk at the Workshop on K Physics (Orsay, June 1996)",,,"FTUV/96-65, IFIC/96-74","hep-ph",,"  Rare K decays are an important testing ground of the electroweak flavour
theory. They can provide new signals of CP-violation phenomena and, perhaps, a
window into physics beyond the Standard Model. The interplay of long-distance
QCD effects in strangeness-changing transitions can be analyzed with Chiral
Perturbation Theory techniques. Some theoretical predictions obtained within
this framework for radiative kaon decays are reviewed, together with the
present experimental status.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 14:21:40 GMT""}]","2007-05-23"
"hep-ph/9610244","Jorge Portoles","Giancarlo D'Ambrosio and Jorge Portoles","Vector meson exchange contributions to K --> pi gamma gamma and K(L) ->
  gamma lepton+ lepton-","LaTeX file, 42 pages, 6 figures included as PS files, needs
  rotating.sty (included) and epsf.sty. Shortened version accepted for
  publication in Nuclear Physics B","Nucl.Phys. B492 (1997) 417-454","10.1016/S0550-3213(97)80040-5","INFNNA-IV-96/21, DSFNA-IV-96/21","hep-ph",,"  We have studied in the framework of Chiral Perturbation Theory (ChPT) the
O(p^6) Vector Meson contributions to K -> pi gamma gamma and K(L) -> gamma
gamma^*. We construct the most general ChPT lagrangian for the weak
Vector-Pseudoscalar-Photon (VPgamma) vertex for K -> pi gamma gamma and K(L) ->
gamma gamma^* and consequently we get the full structure of the O(p^6) local
contributions generated by Vector Meson exchange. Then we compute new
factorizable contributions to the weak VPgamma vertex generated by the
odd-intrinsic parity violating lagrangian with no additional couplings. We find
in fact a very nice agreement with the phenomenology of K -> pi gamma gamma and
K(L) -> gamma gamma^*, more predictive power and a deeper understanding of the
O(p^6) local operators. A novel interpretation of the K(L) -> gamma gamma^*
data is given. Also a comparison with the existing models is presented.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 14:07:13 GMT""},{""version"":""v2"",""created"":""Wed, 5 Feb 1997 15:28:41 GMT""}]","2015-06-25"
"hep-ph/9610245","Martin McDermott","M.F. McDermott and G. Briskin","Diffractive structure functions in DIS","13 pages, latex, 3 figures, to appear in the proceedings of the
  workshop ""Future Physics at HERA"", eds. G. Ingelman, A.De Roeck and R.
  Klanner, DESY, Hamburg, 1996",,,,"hep-ph",,"  A review of theoretical models of diffractive structure functions in deep
inelastic scattering (DIS) is presented with a view to highlighting distinctive
features, that may be distinguished experimentally. In particular, predictions
for the behaviour of the diffractive structure functions $F_2^D, F_L^D,
F_2^{D(\mbox{\small{charm}})}$ are presented. The measurement of these
functions at both small and high values of the variable $\beta$ and their
evolution with $Q^2$ is expected to reveal crucial information concerning the
underlying dynamics.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 15:20:33 GMT""}]","2007-05-23"
"hep-ph/9610246","Patrik Eden","Patrik Eden (Department of Theoretical Physics, Lund University,
  Sweden)","A Program for Baryon Generation and Its Applications to Baryon
  Fragmentation in DIS","9 pages, 3 Postscript figures",,,"LU TP 96-29","hep-ph",,"  In an earlier paper, we discuss the ``popcorn'' model for baryon production
in quark and gluon jets, and present an improved model (which we call Modified
Popcorn Scenarium, MOPS). In this paper we give a manual to the MC program
based on MOPS, and also discuss the application of the model to baryon
fragmentation, i.e. fragmentation of strings originally contaning a diquark.
Model predictions for baryon production in DIS are compared with data.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 15:27:25 GMT""}]","2007-05-23"
"hep-ph/9610249","Sergey Troshin","Sergey M. Troshin","On the extreme behaviour of $g_1(x,Q^2)$ at $x\to 0$","4 pages, latex, enlarged, to be published in Phys. Lett. B","Phys.Lett. B397 (1997) 133-136","10.1016/S0370-2693(97)00164-0",,"hep-ph",,"  On the basis of the U-matrix form of s-channel unitarization, we consider
constraints unitarity provides for the spin structure function $g_1(x,Q^2)$ at
$x\to 0$. Corresponding constraint for the spin structure function $h_1(x,
Q^2)$ is given along.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 12:45:38 GMT""},{""version"":""v2"",""created"":""Sat, 15 Feb 1997 13:25:16 GMT""}]","2009-10-28"
"hep-th/9610023","Vincent G. J. Rodgers","Thomas Branson, R.P. Lano, and V.G.J. Rodgers","Yang-Mills, Gravity, and String Symmetries","To Appear in Phys. Lett. B, In memory of Emma Meurice","Phys.Lett. B412 (1997) 253-258","10.1016/S0370-2693(97)01029-0",,"hep-th",,"  In this work we use constructs from the dual space of the semi-direct product
of the Virasoro algebra and the affine Lie algebra of a circle to write a
theory of gravitation which is a natural analogue of Yang-Mills theory. The
theory provides a relation between quadratic differentials in 1+1 dimensions
and rank two symmetric tensors in higher dimensions as well as a covariant
local Lagrangian for two dimensional gravity. The isotropy equations of
coadjoint orbits are interpreted as Gauss law constraints for a field theory in
two dimensions, which enables us to extend to higher dimensions. The theory has
a Newtonian limit in any space-time dimension. Our approach introduces a novel
relationship between string theories and 2D field theories that might be useful
in defining dual theories. We briefly discuss how this gravitational field
couples to fermions.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 19:29:42 GMT""},{""version"":""v2"",""created"":""Tue, 19 Nov 1996 04:17:11 GMT""},{""version"":""v3"",""created"":""Fri, 21 Feb 1997 18:15:01 GMT""},{""version"":""v4"",""created"":""Fri, 22 Aug 1997 19:53:55 GMT""}]","2009-10-30"
"hep-th/9610025","Oliver Schnetz","Oliver Schnetz","Natural renormalization","23 pages, LaTeX, AMSsymbols, epsf style, 3 PostScript figures","J.Math.Phys. 38 (1997) 738-758","10.1063/1.531900","FAU-TP3-96/1","hep-th",,"  A careful analysis of differential renormalization shows that a distinguished
choice of renormalization constants allows for a mathematically more
fundamental interpretation of the scheme. With this set of a priori fixed
integration constants differential renormalization is most closely related to
the theory of generalized functions. The special properties of this scheme are
illustrated by application to the toy example of a free massive bosonic theory.
Then we apply the scheme to the phi^4-theory. The two-point function is
calculated up to five loops. The renormalization group is analyzed, the
beta-function and the anomalous dimension are calculated up to fourth and fifth
order, respectively.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 14:44:21 GMT""}]","2009-10-30"
"nucl-ex/9610002",,"R. Schicker and H. Tsertos (Univ. of Cyprus)","Simulation studies of the HADES first level trigger PART I: Performance
  in heavy-ion induced reaction","27 pages, documentstyle[epsfig]{elsart}, 11 postscript figures
  included; Submitted to Nucl. Instr. and Meth. A",,,"UCY-PHY-96/14","nucl-ex",,"  The first level trigger of the HADES spectrometer is studied for the
heavy-ion collision systems Au+Au and Ne+Ne. The trigger efficiency for central
events is given in dependence of the imposed charged particle multiplicity
condition. The timing properties of the trigger signal are described. The
losses due to deadtime are specified. Finally, the first level trigger rate is
reported.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 17:55:24 GMT""}]","2007-05-23"
"nucl-ex/9610003",,"R.Schicker and H. Tsertos (Univ. of Cyprus)","Simulation studies of the HADES first level trigger PART II: Performance
  in hadron induced reactions","10 pages, documentstyle[epsfig]{elsart}, 2 postscript figures
  included; Submitted to Nucl. Instr. and Meth. A",,,"UCY-PHY-96/15","nucl-ex",,"  The HADES first level trigger is studied for the system p+Ni at a beam energy
of 2 AGeV. The timing properties of the trigger signal are reported. The
efficiency loss due to deadtime is specified. A trigger requirement of a time
overlap window with the start detector is described. The trigger rates for
different overlap windows are given.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 16:36:56 GMT""}]","2007-05-23"
"nucl-th/9610007","Daniel Phillips","D.R. Phillips (University of Maryland), M.C. Birse (University of
  Maryland and University of Manchester), and S.J. Wallace (University of
  Maryland)","Low-energy interaction of composite spin-half systems with scalar and
  vector fields","10 pages, RevTeX","Phys.Rev.C55:1937-1945,1997","10.1103/PhysRevC.55.1937","DOE/ER/40762-101, U. of Md PP# 97-029","nucl-th",,"  We consider a composite spin-half particle moving in spatially-varying scalar
and vector fields. The vector field is assumed to couple to a conserved charge,
but no assumption is made about either the structure of the composite or its
coupling to the scalar field. A general form for the piece of the spin-orbit
interaction of the composite with the scalar and vector fields which is
first-order in momentum transfer ${\bf Q}$ and second-order in the fields is
derived.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 16:12:25 GMT""}]","2008-11-26"
"nucl-th/9610009",,"E. Perazzi, M. Radici and S. Boffi","Photocouplings of nucleon resonances with gluon and pion exchange
  currents","23 pages including 9 tables, LaTeX","Nucl.Phys. A614 (1997) 346-360","10.1016/S0375-9474(96)00433-2","FNT/T-96/23","nucl-th",,"  Photocouplings for the nucleon resonances most relevant to total
photoabsorption are calculated in a constituent quark model including gluon and
pion exchange. The sensitivity of the results to the different ingredients of
the model is discussed.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 15:04:08 GMT""}]","2009-10-30"
"physics/9610003","Oliver Schnetz","Oliver Schnetz","Harmonic analysis of random number generators and multiplicative groups
  of residue class rings","38 pages, LaTeX, AMSsymbols, 12 BigTeX figures",,,"FAU-TP3-96/13","physics.comp-ph",,"  The spectral test of random number generators (R.R. Coveyou and R.D.
McPherson, 1967) is generalized. The sequence of random numbers is analyzed
explicitly not just via their n-tupel distributions. The generalized analysis
of many generators becomes possible due to a theorem on the harmonic analysis
of multiplicative groups of residue class rings. We find that the mixed
multiplicative generator with power of two modulus does not pass the extended
test with an ideal result. Best qualities has a new generator with the
recursion formula X(k+1)=a*X(k)+c*int(k/2) mod 2^d. We discuss the choice of
the parameters a, c for very large moduli 2^d and present an implementation of
the suggested generator with d=256, a=2^128+2^64+2^32+62181, c=(2^160+1)*11463.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 11:33:43 GMT""}]","2008-02-03"
"physics/9610004","Oliver Schnetz","Oliver Schnetz","Harmonic analysis of random number generators","21 pages, LaTeX, AMSsymbols, 8 BigTeX figures",,,"FAU-TP3-96/14","physics.comp-ph",,"  The spectral test of random number generators (R.R. Coveyou and R.D.
McPherson, 1967) is generalized. The sequence of random numbers is analyzed
explicitly, not just via their n-tupel distributions. We find that the mixed
multiplicative generator with power of two modulus does not pass the extended
test with an ideal result. Best qualities has a new generator with the
recursion formula X(k+1)=a*X(k)+c*int(k/2) mod 2^d. We discuss the choice of
the parameters a, c for very large moduli 2^d and present an implementation of
the suggested generator with d=256, a=2^128+2^64+2^32+62181, c=(2^160+1)*11463.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 13:38:16 GMT""}]","2008-02-03"
"q-alg/9610005","Gaetano Fiore","Gaetano Fiore","Deforming Maps for Lie Group Covariant Creation and Annihilation
  Operators","Latex file, 26 pages, no figures. Extended changes. Final Version to
  appear in J. Math. Phys","J.Math.Phys. 39 (1998) 3437-3452","10.1063/1.532439","LMU-TPW 96-20","q-alg hep-th math.QA",,"  Any deformation of a Weyl or Clifford algebra A can be realized through a
`deforming map', i.e. a formal change of generators in A. This is true in
particular if A is covariant under a Lie algebra g and its deformation is
induced by some triangular deformation $U_h g$ of the Hopf algebra $Ug$. We
propose a systematic method to construct all the corresponding deforming maps,
together with the corresponding realizations of the action of $U_h g$. The
method is then generalized and explicitly applied to the case that $U_h g$ is
the quantum group $U_h sl(2)$. A preliminary study of the status of deforming
maps at the representation level shows in particular that `deformed' Fock
representations induced by a compact $U_h g$ can be interpreted as standard
`undeformed' Fock representations describing particles with ordinary Bose or
Fermi statistics.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 01:10:13 GMT""},{""version"":""v2"",""created"":""Mon, 14 Oct 1996 02:18:45 GMT""},{""version"":""v3"",""created"":""Tue, 15 Apr 1997 16:26:46 GMT""},{""version"":""v4"",""created"":""Wed, 7 Jan 1998 16:55:15 GMT""},{""version"":""v5"",""created"":""Thu, 8 Jan 1998 16:40:38 GMT""}]","2009-10-30"
"q-alg/9610007","Fis. Teorica. Valladolid.","Angel Ballesteros, Francisco J. Herranz and Preeti Parashar","Quantum Heisenberg--Weyl Algebras","8 pages, LaTeX","J.Phys. A30 (1997) L149-L154","10.1088/0305-4470/30/7/001","UBU-Dfis-96-07","q-alg math.QA",,"  All Lie bialgebra structures on the Heisenberg--Weyl algebra $[A_+,A_-]=M$
are classified and explicitly quantized. The complete list of quantum
Heisenberg--Weyl algebras so obtained includes new multiparameter deformations,
most of them being of the non-coboundary type.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 12:49:33 GMT""}]","2009-10-30"
"quant-ph/9610005","Nicolas Cerf","Nicolas J. Cerf, Chris Adami (California Institute of Technology)","Negative entropy in quantum information theory","8 pages LaTeX, 2 figures, to appear in the Proceedings of the 2nd
  International Symposium on Fundamental Problems in Quantum Physics, Oviedo 96
  (Kluwer Academic Publishers)",,,,"quant-ph",,"  We present a quantum information theory that allows for the consistent
description of quantum entanglement. It parallels classical (Shannon)
information theory but is based entirely on density matrices, rather than
probability distributions, for the description of quantum ensembles. We find
that, unlike in Shannon theory, conditional entropies can be negative when
considering quantum entangled systems such as an Einstein-Podolsky-Rosen pair,
which leads to a violation of well-known bounds of classical information
theory. Negative quantum entropy can be traced back to ``conditional'' density
matrices which admit eigenvalues larger than unity. A straightforward
definition of mutual quantum entropy, or ``mutual entanglement'', can also be
constructed using a ``mutual'' density matrix. Such a unified
information-theoretic description of classical correlation and quantum
entanglement clarifies the link between them: the latter can be viewed as
``super-correlation'' which can induce classical correlation when considering a
ternary or larger system.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 17:52:33 GMT""}]","2007-05-23"
"solv-int/9610003","Andrey V. Tsiganov","A.V. Tsiganov","Automorphisms of sl(2) and dynamical r-matrices","14 pages, Latex",,,,"solv-int hep-th math.QA nlin.SI q-alg",,"  Two outer automorphisms of infinite-dimensional representations of $sl(2)$
algebra are considered. The similar constructions for the loop algebras and
yangians are presented. The corresponding linear and quadratic $R$-brackets
include the dynamical $r$-matrices.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 13:39:03 GMT""}]","2008-02-03"
