"alg-geom/9610011","Bas Edixhoven","Bas Edixhoven","Special points on the product of two modular curves","hardcopy available at request to edix@univ-rennes1.fr LaTeX",,,,"alg-geom math.AG",,"  We prove, assuming the Generalized Riemann Hypothesis for imaginary quadratic
fields, that irreducible curves in the product of two modular curves that
contain infinitely many complex multiplication points are either a Hecke
correspondence or a fibre for one of the two projections. This gives evidence
for a conjecture of Oort that says that irreducible components of the Zariski
closure of a set of CM points in a Shimura variety are sub Shimura varieties.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 12:23:09 GMT""}]","2008-02-03"
"hep-ph/9610321","Joel Primack","Joel Primack (University of California Santa Cruz)","Cosmological Structure Formation With and Without Hot Dark Matter","15 pages, includes 1 figure, to be published in Proceedings of the
  XVII International Conference in Neutrino Physics and Astrophysics, Neutrino
  96, Helsinki, Finland 13-19 June 1996, eds. K. Enqvist, K. Huitu and J.
  Maalampi (World Scientific, Singapore, 1997)",,,,"hep-ph",,"  Cold + Hot Dark Matter (CHDM) is perhaps the best theory of cosmic structure
formation {\it if} the cosmological matter density is near critical (i.e.,
$\Omega_0 \approx 1$) and {\it if} the expansion rate is not too large (i.e. $h
\equiv H_0/(100 \kmsMpc) \lsim 0.6$). I discuss CHDM together with its chief
competitor among CDM variants, low-$\Omega_0$ CDM with a cosmological constant
(\lcdm). \lcdm\ with $\Omega_0 \sim 0.3$ has the possible virtue of allowing a
higher expansion rate $H_0$ for a given cosmic age $t_0$, but the defect of
predicting too much fluctuation power on small scales. Also, except for the
$H_0-t_0$ problem, there is not a shred of evidence in favor of a nonzero
cosmological constant, only increasingly stringent observational upper bounds
on it. CHDM has less power on small scales, in good agreement with data,
although it remains to be seen whether it predicts early enough galaxy
formation to be compatible with the latest high-redshift data. CHDM has the
advantage among $\Omega=1$ CDM-type models of requiring little or no tilt,
which appears to be an advantage in fitting recent small-angle cosmic microwave
background anisotropy data. The presence of a hot component that clusters less
than cold dark matter lowers the effective $\Omega_0$ that would be measured on
small scales, which appears to be in accord with observations, and it may also
avoid the discrepancy between the high central density of dark matter halos
from CDM simulations compared to evidence from rotation curves of dwarf spiral
galaxies.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 22:04:30 GMT""}]","2007-05-23"
"hep-ph/9610322","Xin He Meng","J. McDonald (Lancaster University, UK)","u^{c}d^{c}d^{c}-Based Affleck-Dine Baryogenesis","34 pages, no figures. Final published version",,"10.1103/PhysRevD.55.4240","LANCASTER-TH/9617","hep-ph",,"  We consider the possibility of a successful Affleck-Dine mechanism along the
u^c d^c d^c direction in R-parity symmetric extensions of the minimal
supersymmetric Standard Model (MSSM) which contain a gauge singlet superfield
phi. Such gauge singlets commonly occur in extensions of the MSSM, for example
in models which seek to account for neutrino masses. We consider a two scalar
Affleck-Dine mechanism, with the flat direction stabilized by a
non-renormalizible superpotential term of the form (lambda/M) phi udd ~
(lambda/M) phi psi^3, where psi corresponds to the gauge non-singlet flat
direction. We give approximate solutions of the scalar field equations of
motion which describe the evolution of the condensates and show that the final
baryon asymmetry in this case is suppressed relative to that expected from the
conventional single scalar Affleck-Dine mechanism, based on a superpotential
term of the form (lambda/(4M)) psi^4, by a factor
(m_{s}/(m_{phi}+m_{s}))^(1/2), where m_{s} is the soft supersymmetry breaking
scalar mass and m_{phi} is the supersymmetric phi mass. It is possible for the
model to generate a baryon asymmetry even in the limit of unbroken B-L, so long
as the gauge singlet condensate doesn't decay until after anomalous electroweak
B+L violation is out of equilibrium following the electroweak phase transition.
This condition is generally satisfied if all Dirac neutrino masses are less
than around 10keV. This class of Affleck-Dine models can, in principle,be
experimentally ruled out, for example by the observation of a Dirac mass for
the mu or tau neutrino significantly larger than around 10keV together with a
mostly Higgsino LSP.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 23:16:39 GMT""},{""version"":""v2"",""created"":""Thu, 21 Nov 1996 09:05:59 GMT""},{""version"":""v3"",""created"":""Tue, 14 Jan 1997 12:05:50 GMT""},{""version"":""v4"",""created"":""Mon, 28 Apr 1997 15:23:37 GMT""}]","2009-10-28"
"hep-ph/9610323","James Wells","JoAnne L. Hewett and James D. Wells (SLAC)","Searching for supersymmetry in rare B decays","26 pages","Phys.Rev. D55 (1997) 5549-5560","10.1103/PhysRevD.55.5549","SLAC-PUB-7290","hep-ph",,"  We quantify the ability of B-Factories to observe supersymmetric
contributions to the rare decays B -> X_s \gamma and B -> X_s l+ l-. A global
fit to the Wilson coefficients which contribute to these decays is performed
from Monte Carlo generated data on B(B -> X_s \gamma) and the kinematic
distributions associated with the final state lepton pair in B -> X_s l+ l-.
This fit is then compared to supersymmetric predictions. Evaluation of the
Wilson coefficients is carried out with several different patterns of the
superpartner spectrum. We find that the B-Factories will be able to probe
regions of the SUSY parameter space not accessible to LEPII, the Tevatron, and
perhaps the LHC. We also employ the recent NLO calculation of the matrix
elements for B -> X_s \gamma and find the bound mH+ > 300 GeV in
two-Higgs-doublet models using present data.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 23:49:58 GMT""}]","2009-10-28"
"hep-ph/9610324","Xin He Meng","John McDonald (Lancaster University, UK)","Nucleosynthesis bounds on small Dirac neutrino masses due to chiral
  symmetry breaking","Latex 18 pages, 3 figures. Additional discussion of nucleosynthesis.
  No change in conclusions",,,"Lancaster-TH/9616","hep-ph",,"  We consider nucleosynthesis constraints on models which use chiral symmetry
breaking as a basis for understanding very small Dirac neutrino masses. We show
that present big-bang nucleosynthesis constraints impose a well-defined upper
bound of 0.1eV on the neutrino masses. This bound may become several orders of
magnitude more stringent in the future as our understanding of the
observational constraints on nucleosynthesis improves. We discuss the
phenomenological implications for neutrino dark matter, the solar neutrino
problem and the atmospheric neutrino deficit.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 23:53:37 GMT""},{""version"":""v2"",""created"":""Tue, 19 Nov 1996 10:51:52 GMT""}]","2008-02-03"
"hep-ph/9610325",,"S. Ishida, M. Y. Ishida, H. Takahashi, T. Ishida, K. Takamatsu and T.
  Tsuru","An Analysis of \pi\pi-Scattering Phase Shift and Existence of
  \sigma(555) particle","22 pages, Latex with Prog. Theor. Phys. format PTPTEX.sty, 4 EPS
  figures","Prog.Theor.Phys.95:745-766,1996","10.1143/PTP.95.745","NUP-A-95-13, KEK Preprint 95-183 (November 22, 1995)","hep-ph",,"  In most of the Nambu:Jona-Lasinio(NJL)-type models, realizing the hidden
chiral symmetry, the existence of a scalar particle \sigma is needed with a
mass m_\sigma=2 m_q, as a partner of the Nambu-Goldstone boson \pi. However,
the results of many analyses on \pi\pi phase-shift thus far made have been
negative for its existence. In this paper we re-analyze the phase-shift,
applying a new method, the interfering amplitude method, which treats the
T-matrix directly and describes multi-resonances in conformity with the
unitarity. As a result, the existence of \sigma has been strongly suggested
from the behavior of the \pi\pi-->\pi\pi phase shift between the \pi\pi- and
the KK- thresholds, with mass = 553.3 +- 0.5_{st} MeV and width= 242.6 +-
1.2_{st} MeV. The most crucial point in our analysis is the introduction of a
negative background phase, possibly reflecting a ``repulsive core"" in \pi\pi
interactions. The properties of f_0(980) are also investigated from data
including those over the KK threshold. Its mass is obtained as 993.2 +-
6.5_{st} +- 6.9_{sys} MeV. Its width is about a hundred MeV, although this
depends largely on the treatment of the elasticity and the \pi\pi-->KK phase
shift, both of which may have large experimental uncertainties.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 23:56:38 GMT""}]","2008-11-26"
"hep-ph/9610326",,"M. Y. Ishida","Property of \sigma(600) and Chiral Symmetry","4pages, Latex with Prog.Theor.Phys. format PTPTEX.sty, no figures, to
  be published in Prog.Theor.Phys.96(1996)","Prog.Theor.Phys. 96 (1996) 853-856","10.1143/PTP.96.853","University of Tokyo Preprint UT-745 (March 1996)","hep-ph",,"  The iso-singlet scalar resonance \sigma(600), found in the recent \pi\pi
phase shift analysis, is pointed out to have the properties of the \sigma meson
in the \sigma model. The role of the \lambda\phi^4 interaction as a source of
the ``background phase"", which was essential there, is also discussed.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 02:52:57 GMT""}]","2009-10-28"
"hep-ph/9610327","Leif Lonnblad","Martin Erdmann, Dirk Graudenz, Leif Lonnblad, Katsuo Tokushuku","Jets and High-Et Phenomena",,,,,"hep-ph",,"  The working group on jets and high-Et phenomena of the Future physics at HERA
Workshop studied subjects ranging from next-to-leading order (NLO) corrections
in deeply inelastic scattering (DIS) and photoproduction with the corresponding
determinations of physical quantities, to the physics of instanton-induced
processes, where a novel non-perturbative manifestation of QCD could be
observed. Other centres of interest were the physics of the forward direction,
the tuning of event generators and the development of a new generator which
includes a consistent treatment of the small- and large-$x$ QCD evolution. The
recommendations of the working group concerning detector upgrades and machine
luminosity are summarized.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 07:58:28 GMT""}]","2007-05-23"
"hep-ph/9610328","Gino Isidori","S. Bellucci, G. Isidori","The role of chiral loops in $\eta\to\pi^0\pi^0\gamma\gamma$","10 pages, Latex. Discussion on the resonant background enlarged, sign
  error corrected, basic results unchanged. To appear in Phys. Lett. B","Phys.Lett. B405 (1997) 334-340","10.1016/S0370-2693(97)00669-2","LNF-053(P)","hep-ph",,"  We consider the rare decay $\eta\to\pi^0\pi^0\gamma\gamma$ and calculate the
non-resonant contribution to the amplitude to one loop in Chiral Perturbation
Theory. We display our result as both a diphoton energy spectrum and a partial
decay rate as a function of the photon energy cut. It turns out that the
one-loop correction can be numerically very important and could be detected, at
sufficiently large center-of-mass photon energies, from a measurement of the
partial decay width.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 08:20:21 GMT""},{""version"":""v2"",""created"":""Wed, 4 Jun 1997 18:05:49 GMT""}]","2009-10-28"
"hep-ph/9610329","Yi-Jin Pei","Yi-Jin Pei","A simple approach to describe hadron production rates in $e^+ e^-$
  annihilation","latex(stwol.sty), 4 pages, 2 figures",,"10.1007/s002880050221",,"hep-ph",,"  We show that, based on the idea of string fragmentation, the production rates
of light flavored mesons and baryons originating from fragmentation can be
described by the spin, the binding energy of the particle, and a strangeness
suppression factor. Apart from a normalization factor, $e^+ e^-$ data at
different center-of-mass energies can be described simultaneously. Applying to
the heavy flavor production, we find that our predictions are in good agreement
with data.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 09:08:35 GMT""}]","2009-10-28"
"hep-ph/9610330","John Collins","John C. Collins","QCD Aspects of Polarized Hard Scattering Processes","7 pages latex, 4 postscript figures; uses epsf, epsfig, wrapfig. To
  appear in the Proceedings of the 12th International Symposium on High-Energy
  Spin Physics Amsterdam Sept. 1996",,,,"hep-ph",,"  I give an overview of what our present knowledge of QCD predicts and does not
predict for polarized hard scattering. For experimental programs, a big issue
is how much further we can expect our theoretical understanding of QCD to
improve.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 10:54:47 GMT""}]","2007-05-23"
"hep-ph/9610331","Wally Melnitchouk","W. Melnitchouk and M. Malheiro","Strangeness in the Nucleon on the Light-Cone","22 pages revtex, 7 postscript figures, accepted for publication in
  Phys. Rev. C","Phys.Rev.C55:431-440,1997","10.1103/PhysRevC.55.431","UMD PP 97-16 (August 1996)","hep-ph nucl-th",,"  Strange matrix elements of the nucleon are calculated within the light-cone
formulation of the meson cloud model. The $Q^2$ dependence of the strange
vector and axial vector form factors is computed, and the strangeness radius
and magnetic moment extracted, both of which are found to be very small and
slightly negative. Within the same framework one finds a small but non-zero
excess of the antistrange distribution over the strange at large $x$. Kaon
loops are unlikely, however, to be the source of a large polarized strange
quark distribution.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 15:01:38 GMT""}]","2008-11-26"
"hep-ph/9610332","Samuel Wallon","S. Wallon","QCD dipole predictions for quark singlet, gluon and $F_L/F_T$
  distributions at HERA","10 pages, latex file, 4 figures Talk given at the XXXIth Rencontres
  de Moriond QCD and High Energy Hadronic Interactions March 23-30, 1996, Les
  Arcs, France",,,"Saclay preprint SPhT T96/048","hep-ph",,"  In this contribution we apply the QCD dipole picture combined with
$k_T$-factorization to get predictions for deep-inelastic scattering on an
onium. Assuming renormalization-group factorization, we get predictions for the
$F_2, F_G$ and $R= F_L/F_T$ proton structure functions. We obtain a
three-parameter fit of the 1994 H1 data in the low-$x_{bj}$, moderate-$Q^2$
range. $F_G/F_2$ and $R$ are then predicted without any additionnal parameter.
The BFKL dynamics contained in the dipole model is shown to provide a relevant
model in describing the HERA data. The prediction for $F_2$ and $F_G$ are
compatible with next-to-leading order DGLAP analysis. By contrast, $R$ is
expected to be much lower at small $x_{bj}$.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 15:02:42 GMT""}]","2007-05-23"
"hep-ph/9610333","Ahmed Ali","A. Ali (DESY, Hamburg)","Rare B Decays in the Standard Model","Latex2e, 25 pages, 4 figures (require epsf.sty, rotate). Invited
  talk. To be published in Proceedings of the 4th International Workshop
  'Beauty-96', Roma, June 17 - 21, 1996","Nucl.Instrum.Meth. A384 (1996) 8-16","10.1016/S0168-9002(96)00908-4",,"hep-ph",,"  We discuss the electromagnetic-penguin-dominated radiative B decays $B \to
X_s + \gamma, ~B^{\pm (0)} \to K^{*\pm (0)} + \gamma$, and $B_s \to \phi +
\gamma$ in the context of the standard model (SM) and their
Cabibbo-Kobayashi-Maskawa (CKM)-suppressed counterparts, $B \to X_d + \gamma$,
$B^\pm \to \rho^\pm + \gamma, ~B^{0} \to (\rho^{0}, \omega) + \gamma$, and $B_s
\to K^{* 0} + \gamma$, using QCD sum rules for the exclusive decays. The
importance of these decays in determining the parameters of the CKM matrix is
emphasized. The semileptonic decays $B \to X_s \ell^+ \ell^-$ are also
discussed in the context of the SM and their role in determining the Wilson
coefficients of the effective theory is stressed. Comparison with the existing
measurements are made and SM-based predictions for a large number of rare B
decays are presented.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 15:44:33 GMT""}]","2009-10-28"
"hep-ph/9610334","Robert Thorne","Robert S. Thorne","Renormalization Scheme Consistent Structure Functions, Including Leading
  ln (1/x) Terms","Tex file, including modification of Harvmac, 17 pages plus 2 figures
  in .ps files. Version to appear in Physics Letters B. Only changes are
  correction of two typos, both in eq. (2.9), and order of words in title","Phys.Lett. B392 (1997) 463-474","10.1016/S0370-2693(96)01589-4","RAL-TR-088","hep-ph",,"  We present calculations of structure functions using a renormalization scheme
consistent expansion which is leading order in both ln(1/x) and \alpha_s(Q^2).
There is no factorization scheme dependence, and the ``physical anomalous
dimensions'' of Catani naturally appear. A relationship between the small x
forms of the inputs F_2(x,Q_0^2) and F_L(x,Q_0^2) is predicted. Analysis of a
very wide range of data for F_2(x,Q^2) is performed, and a very good global fit
obtained. The prediction for F_L(x,Q^2) produced using this method is smaller
than the usual NLO in \alpha_s(Q^2) predictions for F_L(x,Q^2), and different
in shape.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 15:37:09 GMT""},{""version"":""v2"",""created"":""Wed, 8 Jan 1997 17:26:16 GMT""}]","2009-10-28"
"hep-th/9610071","Dr Bindu A. bhamba","C.Mukku (Dept. of Math,Univ.of Hyderabad), M.S.Sriram and J.
  Segar(Dept. of Theoretical Phys., University of Madras), Bindu A. Bambah
  (School of Physics, Univ. of Hyderabad), S. Lakshmibala (Dept. of Physics,
  Indian Institute of Technology, Madras)","Order-chaos transitions in field theories with topological terms: a
  dynamical systems approach","19 pages,15 figures available in hard copy from C. Mukku, and through
  e-mail from mukkusm@uohyd.ernet.in. To appear in J. Phys. A","J.Phys.A30:3003-3020,1997","10.1088/0305-4470/30/9/014",,"hep-th",,"  We present a comparative study of the dynamical behaviour of topological
systems of recent interest, namely the non-Abelian Chern-Simons Higgs system
and the Yang-Mills Chern-Simons Higgs system. By reducing the full field
theories to temporal differential systems using the assumption of spatially
homogeneous fields , we study the Lyapunov exponents for two types of initial
conditions. We also examine in minute detail the behaviour of the Lyapunov
spectra as a function of the various coupling parameters in the system. We
compare and contrast our results with those for Abelian Higgs, Yang-Mills Higgs
and Yang-Mills Chern-Simons systems which have been discussed by other authors
recently. The role of the various terms in the Hamiltonians for such systems in
determining the order-disorder transitions is emphasized and shown to be
counter-intuitive in the Yang-Mills Chern-Simons Higgs systems.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 20:38:59 GMT""}]","2008-11-26"
"hep-th/9610075",,"Ivan G. Avramidi, Giampiero Esposito and Alexander Yu. Kamenshchik","Axial Gauge in Euclidean Quantum Gravity","4 pages, plain Tex, talk given at the S. Margherita Ligure Workshop
  on ""Constrained Dynamics and Quantum Gravity"" (September 1996)","Nucl.Phys.Proc.Suppl. 57 (1997) 245-246","10.1016/S0920-5632(97)00395-2","DSF preprint 96/48","hep-th",,"  The axial gauge is applied to the analysis of Euclidean quantum gravity on
manifolds with boundary. A set of boundary conditions which are completely
invariant under infinitesimal diffeomorphisms require that spatial components
of metric perturbations should vanish at the boundary, jointly with all
components of the ghost one-form and of the gauge-averaging functional. If the
latter is taken to be of the axial type, all components of metric perturbations
obey Dirichlet conditions, and all ghost modes are forced to vanish
identically. The one-loop divergence coincides with the contribution resulting
from three-dimensional transverse-traceless perturbations.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 17:28:45 GMT""}]","2009-10-30"
"hep-th/9610076","Joseph A. Minahan","Joseph A. Minahan and Dennis Nemeschansky","Superconformal Fixed Points with E_n Global Symmetry","23 pages, harvmac (b), Mathematica file available at
  http://physics.usc.edu/~minahan/Math/e8.ma","Nucl.Phys. B489 (1997) 24-46","10.1016/S0550-3213(97)00039-4","USC-96/23","hep-th",,"  We obtain the elliptic curve and the Seiberg-Witten differential for an $N=2$
superconformal field theory which has an $E_8$ global symmetry at the strong
coupling point $\tau=e^{\pi i/3}$. The differential has 120 poles corresponding
to half the charged states in the fundamental representation of $E_8$, with the
other half living on the other sheet. Using this theory, we flow down to $E_7$,
$E_6$ and $D_4$. A new feature is a $\lambda_{SW}$ for these theories based on
their adjoint representations. We argue that these theories have different
physics than those with $\lambda_{SW}$ built from the fundamental
representations.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 20:47:54 GMT""}]","2016-09-06"
"hep-th/9610077","Finn Larsen","Vijay Balasubramanian and Finn Larsen","Extremal Branes as Elementary Particles","11 pages, latex. One section expanded to explicitly include exact
  solutions described in the original text. Version to appear in Nucl. Phys. B","Nucl.Phys. B495 (1997) 206-218","10.1016/S0550-3213(97)00181-8","PUPT-1652, UPR-719-T","hep-th",,"  The supersymmetric p-branes of Type II string theory can be interpreted after
compactification as extremal black holes with zero entropy and infinite
temperature. We show how the p-branes avoid this apparent, catastrophic
instability by developing an infinite mass gap. Equivalently, these black holes
behave like elementary particles: they are dressed by effective potentials that
prevent absorption of impinging particles. In contrast, configurations with 2,
3, and 4 intersecting branes and their nonextremal extensions, behave
increasingly like conventional black holes. These results extend and clarify
earlier work by Holzhey and Wilczek in the context of four dimensional dilaton
gravity.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 22:37:02 GMT""},{""version"":""v2"",""created"":""Thu, 6 Mar 1997 21:02:40 GMT""}]","2009-10-30"
"hep-th/9610078","Alexey A. Deriglazov","A.A. Deriglazov","BFV-Type Representation of Path-Integral for Dynamical System with
  second class constraints","9 pages, LaTex",,,,"hep-th",,"  It is shown that the phase space of a dynamical system subject to second
class constraints can be extended by ghost variables in such a way that some
formal analogies of the $\Omega$-charge and the unitarizing Hamiltonian can be
constructed. Then BFV-type path integral representation for the generating
functional of Green's functions is written and shown to coincide with the
standard one.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 01:27:45 GMT""}]","2007-05-23"
"hep-th/9610079","Hitoshi Konno","Michio Jimbo, Hitoshi Konno and Tetsuji Miwa","Massless $XXZ$ Model and Degeneration of the Elliptic Algebra
  $A_{q,p}(\widehat{sl_2})$","22 pages, PS file, to appear in the proceedings of the conference
  ``Deformation Theory, Symplectic Geometry and Applications'', Centro Stefano
  Franscini of ETH Z\""urich, Monte Verit\`a, CH-6612 Ascona, June 16-22, 1996",,,,"hep-th",,"  We consider an algebraic structure of the $XXZ$ model in the gapless regime.
We argue that a certain degeneration limit of the elliptic algebra
$A_{q,p}(\widehat{sl_2})$ is a relevant object. We give a free boson
realization of this limiting algebra and derive an integral formula for the
correlation function. The result agrees with the one obtained by solving a
system of difference equations. We also discuss the relation of our algebra to
the deformed Virasoro algebra and Lukyanov's bosonization of the sine-Gordon
theory.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 01:32:20 GMT""}]","2007-05-23"
"hep-th/9610081","Niels Obers","M.B. Halpern and N.A. Obers","New Semiclassical Nonabelian Vertex Operators for Chiral and Nonchiral
  WZW Theory","35 pages, Latex","Int.J.Mod.Phys. A12 (1997) 4317-4355","10.1142/S0217751X97002358","UCB-PTH-96/41, LBL-39438, CPTH-S467.1096","hep-th math.QA q-alg",,"  We supplement the discussion of Moore and Reshetikhin and others by finding
new semiclassical nonabelian vertex operators for the chiral, antichiral and
nonchiral primary fields of WZW theory. These new nonabelian vertex operators
are the natural generalization of the familiar abelian vertex operators: They
involve only the representation matrices of Lie $g$, the currents of affine $(g
\times g)$ and certain chiral and antichiral zero modes, and they reduce to the
abelian vertex operators in the limit of abelian algebras. Using the new
constructions, we also discuss semiclassical operator product expansions, braid
relations and relations to the known form of the semiclassical affine-Sugawara
conformal blocks.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 10:08:18 GMT""}]","2009-10-30"
"hep-th/9610082","Gabriele Ferretti","Ulf H. Danielsson and Gabriele Ferretti","The Heterotic Life of the D-particle","20 pages, LaTeX","Int.J.Mod.Phys. A12 (1997) 4581-4596","10.1142/S0217751X97002474","UUITP-24/96","hep-th",,"  We study the dynamics of D-particles (D0-branes) in type I' string theory and
of the corresponding states in the dual heterotic description. We account for
the presence of the two 8-orientifolds (8 dimensional orientifold planes) and
sixteen D8-branes by deriving the appropriate quantum mechanical system. We
recover the familiar condition of eight D8-branes for each 8-orientifold. We
investigate bound states and compute the phase shifts for the scattering of
such states and find that they agree with the expectations from the
supergravity action. In the type I' regime we study the motion transverse to
the 8-orientifold and find an interesting cancellation effect.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 12:52:42 GMT""}]","2009-10-30"
"hep-th/9610083","Poul Henrik Damgaard","J. Alfaro, K. Bering and P.H. Damgaard","BRST Formulation of Partition Function Constraints","LaTeX, 7 pages","Mod.Phys.Lett. A12 (1997) 1119-1126","10.1142/S021773239700114X","UUITP-23/96, NBI-HE-96-52","hep-th",,"  We show that constraints on the generating functional have direct
BRST-extensions in terms of nilpotent operators $\Delta$ that annihilate this
generating functional, and which may be of arbitrarily high order. The free
energy $F$ in the presence of external sources thus satisfies a ``Master
Equation'' which is described in terms of a tower of higher antibrackets.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 11:57:07 GMT""}]","2015-06-26"
"hep-th/9610085","Sergio Ferrara","Sergio Ferrara","Recent developments in non-perturbative quantum field theory","6 pages, latex, uses stwol.sty; Plenary talk given at International
  Conference on High Energy Physics (ICHEP), Warsaw, July 1996",,,"CERN-TH/96-288","hep-th",,"  We report on recent advances in the understanding of non-perturbative
phenomena in the quantum theory of fields and strings.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 15:39:03 GMT""}]","2007-05-23"
"math/9610201",,"Joe Kamimoto","Asymptotic expansion of the Bergman kernel for weakly pseudoconvex tube
  domains in C^2",,,,,"math.CV",,"  In this paper we give an asymptotic expansion of the Bergman kernel for
certain weakly pseudoconvex tube domains of finite type in C^2. Our asymptotic
formula asserts that the singularity of the Bergman kernel at weakly
pseudoconvex points is essentially expressed by using two variables; moreover
certain real blowing-up is necessary to understand its singularity. The form of
the asymptotic expansion with respect to each variable is similar to that in
the strictly pseudoconvex case due to C. Fefferman. We also give an analogous
result in the case of the Szego kernel.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 20:37:11 GMT""}]","2008-02-03"
"nucl-th/9610015","Kari Eskola","K.J. Eskola and K. Kajantie","Baryon-to-entropy ratio in very high energy nuclear collisions","19 pages, including 10 ps-figures","Z.Phys. C75 (1997) 515-522",,"CERN-TH/96-259","nucl-th hep-ph",,"  We compute as a function of rapidity $y$ the baryon number carried by quarks
and antiquarks with $p_T > p_0 \approx$ 2 GeV produced in Pb+Pb collisions at
TeV energies. The computation is carried out in lowest order QCD perturbation
theory using structure functions compatible with HERA results. At $p_0=2$ GeV
the initial gluon density is both transversally saturated and thermalised in
the sense that the energy/gluon equals to that of an ideal gas with the same
energy density. Even at these high energies the initial net baryon number
density at $y=0$ at $\tau=0.1$ fm will be more than the normal nuclear matter
density but the baryon-to-entropy ratio is only $(B-\bar B)/S\sim 1/5000$.
Further evolution of the system is discussed and the final baryon-to-entropy
ratio is estimated.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 16:10:06 GMT""}]","2016-09-08"
"nucl-th/9610016","Claus Slotta","Claus Slotta, Ulrich Heinz","Photon Spin and the Shape of the Two-Photon Correlation Function","10 pages, ReVTeX","Phys.Lett.B391:469-473,1997","10.1016/S0370-2693(96)01504-3","TPR-96-22","nucl-th",,"  We use the covariant current formalism to derive the general form of the
2-photon correlation function for fully chaotic sources. Motivated by the
recent discussion in the literature we concentrate on the effects from the
photon spin on the correlator. We show that for locally thermalized expanding
sources, like those expected to be created in relativistic heavy ion
collisions, the only change relative to 2-pion interferometry is a statistical
factor 1/2 for the overall strength of the correlation which results from the
experimental averaging over the photon spin.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 17:44:01 GMT""}]","2009-10-09"
"nucl-th/9610017","Terry Goldman","Jia-lun Ping (Nanjing Normal), Fan Wang (Nanjing) and T. Goldman
  (LANL)","The Representation Transformation of Multiquark Wave Functions","9 pages plus 5 tables, latex, no figures","Phys.Rev.C55:2726-2729,1997","10.1103/PhysRevC.55.2726","LA-UR-95-2821","nucl-th hep-ph",,"  It is shown that the representation transformations of multiquark wave
functions between different coupling schemes are just the Racah coefficients of
the permutation group. The transformation coefficients between the flavor-spin
(FS) and the color-spin (CS) schemes are obtained. As an example, the expansion
of the physical bases in terms of symmetry bases in the CS scheme are given for
the interesting cases $YIJ = 201, 210, 000$.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 23:06:27 GMT""}]","2016-09-08"
"nucl-th/9610018","Alfons Buchmann","A. J. Buchmann (1), H. Henning (2), P. U. Sauer (2) ((1) University of
  Tuebingen, Germany, (2) University of Hannover, Germany)","Meson and Quark Degrees of Freedom and the Radius of the Deuteron","20 pages, LaTeX, 4 Postscript figures, to appear in Few-Body-Systems","Few Body Syst. 21 (1996) 149-165","10.1007/s006010050045",,"nucl-th",,"  The existing experimental data for the deuteron charge radius are discussed.
The data of elastic electron scattering are inconsistent with the value
obtained in a recent atomic physics experiment. Theoretical predictions based
on a nonrelativistic description of the deuteron with realistic nucleon-nucleon
potentials and with a rather complete set of meson-exchange contributions to
the charge operator are presented. Corrections arising from the quark-gluon
substructure of the nucleon are explored in a nonrelativistic quark model; the
quark-gluon corrections, not accounted for by meson exchange, are small. Our
prediction for the deuteron charge radius favors the value of a recent atomic
physics experiment.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 10:38:38 GMT""}]","2009-10-30"
