"alg-geom/9610015","N. Raghavendra","L. Brambila-Paz and N. Raghavendra","Universal Einstein-Hermitian Metrics","Withdrawn because of error",,,,"alg-geom math.AG",,"  Lemma 3.4 is wrong.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 20:14:59 GMT""},{""version"":""v2"",""created"":""Sat, 20 Sep 1997 05:47:41 GMT""}]","2008-02-03"
"gr-qc/9610030","Miguel Angel Perez Sebastian","A. Feinstein and M. A. P\'erez Sebasti\'an (Dpto. Fisica Teorica,
  Univ. Pais Vasco, Spain)","The Origin of the Entropy in the Universe","18 pages. LaTeX file. Revised version, some discussions expanded,
  several references added. The main results unchanged","Found.Phys.Lett. 13 (2000) 133-145",,,"gr-qc hep-th",,"  We discuss the entropy generation in quantum tunneling of a relativistic
particle under the influence of a time varying force with the help of squeezing
formalism. It is shown that if one associates classical coarse grained entropy
to the phase space volume, there is an inevitable entropy increase due to the
changes in position and momentum variances. The entropy change can be
quantified by a simple expression $\Delta S=\ln\cosh 2r$, where $r$ is the
squeeze parameter measuring the ""height"" and ""width"" of the potential barrier.
We suggest that the universe could have acquired its initial entropy in a
quantum squeeze from ""nothing"" and briefly discuss the implications of our
proposal.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 13:21:27 GMT""},{""version"":""v2"",""created"":""Wed, 16 Oct 1996 10:22:25 GMT""},{""version"":""v3"",""created"":""Thu, 13 Mar 1997 11:56:49 GMT""}]","2008-02-03"
"gr-qc/9610031","Ghanashyam Date","G. Date","On a Static Solution to Einstein Equations with incoming and outgoing
  radiation","20 pages, latex, needs psfig.tex macro. An appendix is added
  discussing more general situations and matching conditions. Accepted for
  publication in General Relativity and Gravitation","Gen.Rel.Grav.29:953,1997","10.1023/A:1018864423958","IMSc-96/09/28","gr-qc",,"  Einstein equations with $T_{\mu\nu} = k_\mu k_\nu + \ell_\mu \ell_\nu$ where
$k, \ell$ are null are considered with spherical symmetry and staticity. The
solution has naked singularity and is not asymptotically flat. However, it may
be interpreted as an envelope for any static spherical body making it more
massive. Such an interpretation and some of its implications are detailed.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 15:00:36 GMT""},{""version"":""v2"",""created"":""Thu, 27 Feb 1997 06:15:11 GMT""}]","2008-11-26"
"hep-ex/9610007","Peter Bosted","The E142 Collaboration, P.L. Anthony et al","Deep Inelastic Scattering of Polarized Electrons by Polarized $^3$He and
  the Study of the Neutron Spin Structure","97 pages, format is postscript file","Phys.Rev.D54:6620-6650,1996","10.1103/PhysRevD.54.6620","SLAC-PUB-7103","hep-ex",,"  The neutron longitudinal and transverse asymmetries $A^n_1$ and $A^n_2$ have
been extracted from deep inelastic scattering of polarized electrons by a
polarized $^3$He target at incident energies of 19.42, 22.66 and 25.51 GeV. The
measurement allows for the determination of the neutron spin structure
functions $g^n_1 (x,Q^2)$ and $g^n_2(x,Q^2)$ over the range $0.03 < x < 0.6$ at
an average $Q^2$ of 2 (GeV$/c)^2$. The data are used for the evaluation of the
Ellis-Jaffe and Bjorken sum rules. The neutron spin structure function $g^n_1
(x,Q^2)$ is small and negative within the range of our measurement, yielding an
integral ${\int_{0.03}^{0.6} g_1^n(x) dx}= -0.028 \pm 0.006 (stat) \pm 0.006
(syst) $. Assuming Regge behavior at low $x$, we extract $\Gamma_1^n=\int^1_0
g^n_1(x)dx = -0.031 \pm 0.006 (stat)\pm 0.009 (syst) $. Combined with previous
proton integral results from SLAC experiment E143, we find $\Gamma_1^p -
\Gamma_1^n = 0.160 \pm 0.015$ in agreement with the Bjorken sum rule prediction
$\Gamma^p_1 - \Gamma ^n_1 = 0.176 \pm 0.008$ at a $Q^2$ value of 3 (GeV$/c)^2$
evaluated using $\alpha_s = 0.32\pm 0.05$.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 22:31:34 GMT""}]","2008-11-26"
"hep-lat/9610016","Chris Allton","C. R. Allton","Lattice Monte Carlo Data versus Perturbation Theory","Latex, 29 pages with 9 figures",,,"SWAT/129","hep-lat",,"  The differences between lattice Monte Carlo data and perturbation theory are
usually associated with the ``bad'' behaviour of the bare lattice coupling g_0
due to the effects of large (and unknown) higher order coefficients in the g_0
perturbative series. In this philosophy a new, renormalised coupling g' is
defined with the aim of reducing the higher order coefficients of the
perturbative series in g'. An improvement in the agreement between lattice data
and this new perturbation series is generally observed.
  In this paper an alternative scenario is discussed where lattice artifacts
are proposed as the cause of the disagreement between lattice data and the
g_0-perturbative series. We find that this interpretation provides excellent
agreement between lattice data and perturbation theory in g_0 corrected for
lattice artifacts. We show that this viewpoint leads typically to an order of
magnitude improvement in the agreement between lattice data and perturbation
theory, compared to typical g' perturbation expansions. The success of this
procedure leads to a determination of Lambda_MSbar^{N_f=0} of 220 +- 20 MeV.
Lattice data studied includes quenched values of the string tension, the
hadronic scale r_0, the discrete beta function Delta\beta, M_rho, f_pi and the
1P-1S splitting in charmonium. The new 3-loop term of the lattice beta-
function has been incorporated in this study.
  A discussion of the implication of this result for lattice calculations is
presented.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 08:24:06 GMT""}]","2007-05-23"
"hep-lat/9610017","sadataka Furui","H. Nakajima and S. Furui","A new algorithm for numerical simulation of Langevin equations","4 pages,latex,2 figures(GNU plot).Presented at LATTICE96(algorithms),
  the International Symposium on Lattice Field Theory, 4 - 8 June 1996, in St.
  Louis, Missouri, USA","Nucl.Phys.Proc.Suppl. 53 (1997) 983-986","10.1016/S0920-5632(96)00834-1",,"hep-lat",,"  Formulated is a new systematic method for obtaining higher order corrections
in numerical simulation of stochastic differential equations (SDEs), i.e.,
Langevin equations. Random walk step algorithms within a given order of finite
$\Delta t$, are obtained so as to reproduce within that order a corresponding
transition density of the Fokker-Planck equations, in the weak Taylor
approximation scheme. A great advantage of our method is its
straightforwardness such that direct perturbative calculations produce the
algorithm as an end result, so that the procedure is tractable by computer.
Examples in general form for curved space cases as well as flat space cases are
given in some order of approximations. Simulations are performed for specific
examples of U(1) system and SU(2) systems, respectively.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 10:02:15 GMT""}]","2009-10-28"
"hep-lat/9610018","Keh-Fei Liu","C. Thron, K. F. Liu, and S. J. Dong","The PZ method for estimating determinant ratios, with applications","4 pages, Latex, 5 ps figures. Talk presented at Lattice '96","Nucl.Phys.Proc.Suppl. 53 (1997) 977-979","10.1016/S0920-5632(96)00832-8",,"hep-lat",,"  We introduce a new method for estimating determinants or determinant ratios
of large matrices, which combines the techniques of Pad\`{e} approximation with
rational functions and $Z_{2}$ noise estimation of traces of large matrices.
The method requires simultaneously solving several matrix equations, which can
be conveniently accomplished using the MR method. We include some preliinary
results, and indicate potential applications to non-Hermitian matrices, and
Hybrid Monte Carlo without pseudofermions.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 14:49:12 GMT""}]","2009-10-28"
"hep-ph/9610352","Borut Bajc","Borut Bajc and Goran Senjanovic","Symmetry Restoration in Hot SUSY","8 pages, revtex, no figures. Based on the talk given by G. Senjanovic
  at SUSY96, University of Maryland, 1996. To appear in the Proceedings","Nucl.Phys.Proc.Suppl. 52A (1997) 246-250","10.1016/S0920-5632(96)00572-5","IJS-TP-96/18","hep-ph",,"  It is by now well known that symmetries may be broken at high temperature.
However,in renormalizable supersymmetric theories any internal symmetry gets
always restored. In nonrenormalizable theories the situation is far less
simple. We review here some recent work which seems to indicate that
renormalizability is not essential for the restoration of internal symmetries
in supersymmetry.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 17:00:53 GMT""}]","2009-10-28"
"hep-ph/9610354","Juergen Berges","J. Berges, N. Tetradis and C. Wetterich","Coarse graining and first order phase transitions","14 pages, 5 figures","Phys.Lett. B393 (1997) 387-394","10.1016/S0370-2693(96)01654-1","CERN-TH-96-289, HD-THEP-96-042","hep-ph cond-mat",,"  We discuss the dependence of the coarse grained free energy and the classical
interface tension on the coarse graining scale $k$. A stable range appears only
if the renormalized dimensionless couplings at the critical temperature are
small. This gives a quantitative criterion for the validity of computations
within Langer's theory of spontaneous bubble nucleation.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 16:11:06 GMT""}]","2009-10-28"
"hep-ph/9610355","Beatriz de Carlos","B. de Carlos (Sussex) and G.V. Kraniotis (Royal Holloway)","Relic Abundances and Detection Rates of Neutralinos in String-Inpired
  Supergravity Models","Latex, 7 pages including 6 figs, uses sprocl.sty. Based on a talk
  given by G.V. Kraniotis at the international Workshop on the Identification
  of Dark Matter, IDM'96, Sheffield (UK) 8-12 September 1996",,,"SUSX-TH-96-015, IEM-FT-144/96","hep-ph",,"  We calculate ``relic abundances'' and ``detection rates'' of the neutralino
(LSP) in string-inspired supergravity models with ``dilaton-moduli'' induced
supersymmetry breaking. In particular we investigate ``universal'' scenarios
for the soft-supersymmetry breaking terms from Calabi-Yau compactifications, as
well as from the dilaton-dominated limit. ``Non-universal'' scenarios from
orbifold string theory are also incorporated into the analysis. In all cases,
in the cosmologically interesting region, we find $m_{LSP}\geq 50$ GeV and
direct-detection rates in the range O($10^{-3}$ events/(Kg day)) - O($10^{-4}$
events/(Kg day)). ``Indirect-detection'' rates from LSPs captured in the Sun
are also calculated.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 16:57:44 GMT""}]","2007-05-23"
"hep-ph/9610356",,"S. De Curtis","Signatures of Dynamical Symmetry Breaking at Tevatron Upgrade and LHC","9 pages, latex, 3 figures, needs sprocl.sty",,,,"hep-ph",,"  We study the phenomenology of a strongly interacting electroweak symmetry
breaking sector in which the physics is dominated by spin one resonances.
Specifically we will consider an effective description of dynamical symmetry
breaking based on a particular model which passes all the low-energy precision
tests and gives clear signals at LHC but also at Tevatron Upgrade.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 18:42:52 GMT""}]","2007-05-23"
"hep-ph/9610358",,"Howard Baer, Michal Brhlik, Chih-hao Chen and Xerxes Tata","Signals for the Minimal Gauge-mediated Supersymmetry Breaking Model at
  the Fermilab Tevatron Collider","18 page REVTEX file plus 11 PS figures","Phys.Rev. D55 (1997) 4463-4474","10.1103/PhysRevD.55.4463","FSU-HEP-961002, UH-511-855-96","hep-ph",,"  We investigate the experimental implications of the minimal gauge-mediated
low energy supersymmetry breaking (GMLESB) model for Fermilab Tevatron collider
experiments. We map out the regions of parameter space of this model that have
already been excluded by collider searches and by limits on $b\to s\gamma$. We
use ISAJET to compute the cross sections for a variety of topological
signatures which include photons in assocation with multiple leptons, jets and
missing transverse energy. The reach in the parameter $\Lambda$, which fixes
the scale of sparticle masses, is estimated to be $\sim 60$, 100 and 135 TeV
for Tevatron integrated luminosities of 0.1, 2 and 25 fb$^{-1}$, respectively.
The largest signals occur in photon(s) plus lepton(s) plus multi-jet channels;
jet-free channels containing just photons plus leptons occur at much smaller
rates, at least within this minimal framework.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 22:55:34 GMT""}]","2009-10-28"
"hep-ph/9610359",,"Shin Ishida, Taku Ishida, Muneyuki Ishida, Kunio Takamatsu, and
  Tsuneaki Tsuru","Further Analysis on \sigma-particle Properties","Updated with recent progress","Prog. Theor. Phys. 98 (1997) 1005-1010","10.1143/PTP.98.1005",,"hep-ph",,"  In a previous work, we have reanalyzed the I=0 S-wave \pi\pi-scattering
phase-shift through a new method of Interfering Breit-Wigner amplitudes, and
have shown the existence of a light scalar, \sigma particle, accompanied by a
negative ""repulsive core""-type background phase-shift, whose origin may have
some correspondence to a ``compensating'' \pi\pi contact interaction. In this
work we make further analysis on the phase shift under KKbar threshold from the
same standpoint, to determine precise values of \sigma mass and width, so far
as present experimental data are concerned.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 07:07:30 GMT""},{""version"":""v2"",""created"":""Tue, 27 May 1997 14:39:50 GMT""}]","2009-10-28"
"hep-ph/9610360","Johan Bijnens","Johan Bijnens(Nordita) and Joaquim Prades(IFIC and Valencia)","Electromagnetic Corrections for Pions and Kaons : Masses and
  Polarizabilities","LaTeX, 5 figures, uses epsf, 39 pages, partially rewritten, more
  information about $\mu$ dependence included","Nucl.Phys. B490 (1997) 239-271","10.1016/S0550-3213(97)00107-7","FTUV/96-69,IFIC/96-78, NORDITA-96/70 N,P","hep-ph",,"  The unknown constants in Chiral Perturbation Theory needed for an all orders
analysis of the polarizabilities and electromagnetic corrections to the masses
of the pseudo-Goldstone bosons are estimated at leading order in $1/N_c$. We
organize the calculation in an $1/N_c$-expansion and separate long- and
short-distance physics contributions by introducing an Euclidean cut-off. The
long-distance part is evaluated using the ENJL model and the short-distance
part using perturbative QCD and factorization. We obtain very good matching
between both.
  We then include these estimates in a full Chiral Perturbation Theory
calculation to order $e^2$ $p^2$ for the masses and $p^6$ for the
polarizabilities. For the electromagnetic corrections to the masses, we confirm
a large violation of Dashen's theorem getting a more precise value for this
violation. We make comparison with earlier related work. Some phenomenological
consequences are discussed too.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 09:11:40 GMT""},{""version"":""v2"",""created"":""Mon, 27 Jan 1997 09:14:01 GMT""}]","2009-10-28"
"hep-ph/9610361","Nico Schoonderwoerd","N. C. J. Schoonderwoerd and B. L. G. Bakker (Vrije Universiteit
  Amsterdam)","Equivalence of Covariant and Light-Front Perturbation Theory","3 pages latex, uses epsf, epsfig, wrapfig. To appear in the
  Proceedings of the 12th International Symposium on High-Energy Spin Physics
  Amsterdam Sept. 1996",,,,"hep-ph",,"  Light-Front Field Theory (LFFT) is a good candidate to describe bound states.
In LFFT covariance is non-manifest. Burkardt and Langnau claim that, even for
scattering amplitudes, rotational invariance is broken. We will take a
different path of obtaining rules for light-front time-ordered diagrams.
Covariance depends on the choice of a regulator $\alpha$. We need to apply some
regularisation scheme to render physical amplitudes finite. This is done by
applying minus regularisation. In this process all ambiguities related to the
regulator $\alpha$ are removed. Therefore there is equivalence between the
perturbative expansions of covariant and LFFT.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 09:55:37 GMT""}]","2007-05-23"
"hep-ph/9610362","Daniel De Florian","D. de Florian (CERN- TH Division) and R. Sassot (UBA, Argentina)","Next to Leading Order QCD Corrections to Polarized $\Lambda$ Production
  in DIS","final version with few corrections, to be published in Nuc. Phys. B","Nucl.Phys. B488 (1997) 367-388","10.1016/S0550-3213(97)00010-2","CERN-TH/96-261","hep-ph",,"  We calculate next to leading order QCD corrections to semi-inclusive
polarized deep inelastic scattering and $e^+e^-$ annihilation cross sections
for processes where the polarization of the identified final-state hadron can
also be determined. Using dimensional regularization and the HVBM prescription
for the $\gamma_5$ matrix, we compute corrections for different spin-dependent
observables, both in the $\overline{MS}$ and $\overline{MS_p}$ factorization
schemes, and analyse their structure. In addition to the well known corrections
to polarized parton distributions, we also present those for final-state
polarized fracture functions and polarized fragmentation functions, in a
consistent factorization scheme.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 14:24:15 GMT""},{""version"":""v2"",""created"":""Mon, 6 Jan 1997 09:10:23 GMT""}]","2009-10-28"
"hep-ph/9610364","Michelangelo Mangano","M.L. Mangano and A. Petrelli","NLO Quarkonium Production in Hadronic Collisions","11 pages, Latex, epsfig, 4 figures. To appear in the proceedings of
  the Quarkonium Physics Workshop, University of Illinois, Chicago, June1996","Int.J.Mod.Phys.A12:3887-3897,1997","10.1142/S0217751X97002048","CERN-TH/96-293","hep-ph",,"  We present some preliminary results on the next-to-leading order calculation
in QCD of quarkonium production cross sections in hadronic collisions. We will
show that the NLO total cross sections for $P$-wave states produced at high
energy are not reliable, due to the appearance of very large and negative
contributions. We also discuss some issues related to the structure of final
states in colour-octet production and to high-p_T fragmentation.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 15:50:07 GMT""}]","2011-04-15"
"hep-ph/9610365","Kari Eskola","K.J. Eskola","Minijets in ultrarelativistic heavy ion collisions at RHIC and LHC","10 pages, Talk presented at the Theory Workshop on Relativistic Heavy
  Ion Collisions, Brookhaven National Laboratory, July 1996",,,,"hep-ph nucl-th",,"  Recent results on minijet production in nuclear collisions at the RHIC and
LHC energies are reviewed. Initial conditions of the QGP at $\tau=0.1$ fm$/c$,
especially parton chemistry, thermalization and net baryon number-to-entropy
ratio are discussed. Also, contribution of minijets from a hard BFKL-pomeron
ladder will be estimated.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 14:52:07 GMT""}]","2007-05-23"
"hep-th/9610097","Mihai Visinescu","Mihai Visinescu","Generalized Killing equations for spinning spaces and the role of
  Killing-Yano tensors","LaTeX, 6 pages, Talk given at the International Symposium on the
  Theory of Elementary Particles, Buckow 1996","Nucl.Phys.Proc.Suppl. 56B (1997) 142-147","10.1016/S0920-5632(97)00319-8","IFA-FT-421-1996","hep-th gr-qc",,"  The generalized Killing equations for the configuration space of spinning
particles (spinning space) are analysed. Solutions of these equations are
expressed in terms of Killing-Yano tensors. In general the constants of motion
can be seen as extensions of those from the scalar case or new ones depending
on the Grassmann-valued spin variables.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 09:51:29 GMT""}]","2009-10-30"
"hep-th/9610098",,"Igor A. Bandos and Alexei Yu. Nurmagambetov","Generalized action principle and extrinsic geometry for N=1
  superparticle","31 pages. Latex","Class.Quant.Grav.14:1597-1621,1997","10.1088/0264-9381/14/7/004","KhPTI-TH-9610","hep-th",,"  It is proposed the generalized action functional for N=1 superparticle in
D=3,4,6 and 10 space-time dimensions. The superfield geometric approach
equations describing superparticle motion in terms of extrinsic geometry of the
worldline superspace are obtained on the base of the generalized action. The
off-shell superdiffeomorphism invariance (in the rheonomic sense) of the
superparticle generalized action is proved. It was demonstrated that the half
of the fermionic and one bosonic (super)fields disappear from the generalized
action in the analytical basis. Superparticle interaction with Abelian gauge
theory is considered in the framework of this formulation. The geometric
approach equations describing superparticle motion in Abelian background are
obtained.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 12:18:51 GMT""}]","2016-09-06"
"hep-th/9610099","Andreas Opfermann","A. Opfermann and G. Papadopoulos","Solitons in (1,1)-supersymmetric massive sigma model","Phyzzx.tex, 32 pp, 3 figs","Nucl.Phys.B488:177-198,1997","10.1016/S0550-3213(96)00707-9","R/96/45","hep-th",,"  We find the solitons of massive (1,1)-supersymmetric sigma models with target
space the groups $SO(2)$ and $SU(2)$ for a class of scalar potentials and
compute their charge, mass and moduli space metric. We also investigate the
massive sigma models with target space any semisimple Lie group and show that
some of their solitons can be obtained from embedding the $SO(2)$ and $SU(2)$
solitons.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 12:36:37 GMT""}]","2009-10-09"
"hep-th/9610100",,"G. Lambiase and V.V. Nesterenko","Nambu-Goto string with massive ends at finite temperature","LaTex file, 8 pages","Phys.Lett. B398 (1997) 335-341","10.1016/S0370-2693(97)00231-1",,"hep-th",,"  It is shown that the critical (or deconfinement) temperature for the
Nambu-Goto string connecting the point-like masses (quarks) does not depend on
the value of these masses. This temperature turns out to be the same as that in
the case of string with fixed ends (infinitely heavy immobile quarks).
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 15:05:43 GMT""}]","2009-10-30"
"hep-th/9610102","Alexander Sevrin","Alexander Sevrin and Jan Troost","Off-Shell Formulation of N=2 Non-Linear Sigma-Models","22 pages, LaTeX","Nucl.Phys. B492 (1997) 623-646","10.1016/S0550-3213(97)00103-X","VUB/TENA/96/06","hep-th",,"  We study d=2, N=(2,2) non-linear sigma-models in (2,2) superspace. By
analyzing the most general constraints on a superfield, we show that through an
appropriate choice of coordinates, there are no other superfields than chiral,
twisted chiral and semi-chiral ones. We study the resulting sigma-models and we
speculate on the possibility that all (2,2) non-linear sigma-models can be
described using these fields. We apply the results to two examples: the SU(2) x
U(1) and the SU(2) x SU(2) WZW model. Pending upon the choice of complex
structures, the former can be described in terms of either one semi-chiral
multiplet or a chiral and a twisted chiral multiplet. The latter is formulated
in terms of one semi-chiral and one twisted chiral multiplet. For both cases we
obtain the potential explicitely.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 09:57:41 GMT""}]","2009-10-30"
"hep-th/9610104","Peter Johnson","E.J.Beggs, P.R.Johnson (Swansea)","Inverse scattering and solitons in $A_{n-1}$ affine Toda field theories","28 pages, Latex, 4 figs included","Nucl.Phys. B484 (1997) 653-681","10.1016/S0550-3213(96)00576-7","SWAT 95-96/115","hep-th",,"  We implement the inverse scattering method in the case of the $A_n$ affine
Toda field theories, by studying the space-time evolution of simple poles in
the underlying loop group. We find the known single soliton solutions, as well
as additional solutions with non-linear modes of oscillation around the
standard solution, by studying the particularly simple case where the residue
at the pole is a rank one projection. We show that these solutions with extra
modes have the same mass and topological charges as the standard solutions, so
we do not shed any light on the missing topological charge problem in these
models. We also show that the integrated energy-momentum density can be
calculated from the central extension of the loop group.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 14:37:04 GMT""},{""version"":""v2"",""created"":""Fri, 8 Nov 1996 17:37:52 GMT""}]","2009-10-30"
"math/9610203","Yum-Tong Siu","Yum-Tong Siu and Sai-Kee Yeung","Defects for Ample Divisors of Abelian Varieties, Schwarz Lemma, and
  Hyperbolic Hypersurfaces of Low Degrees",,,,,"math.CV",,"  The main purpose of this paper is to prove the following theorem on the
defect relations for ample divisors of abelian varieties.
  Main Theorem. Let $A$ be an abelian variety of complex dimension $n$ and $D$
be an ample divisor in $A$. Let $f:{\bf C}\rightarrow A$ be a holomorphic map.
Then the defect for the map $f$ and the divisor $D$ is zero.
  Corollary to Main Theorem. The complement of an ample divisor $D$ in an
abelian variety $A$ is hyperbolic in the sense that there is no nonconstant
holomorphic map from $\bf C$ to $A-D$.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 20:22:20 GMT""}]","2008-02-03"
"math/9610206","Paul Bankston","Paul Bankston","Some applications of the ultrapower theorem to the theory of compacta",,,,"Logic E-prints October 15, 1996","math.LO",,"  The ultrapower theorem of Keisler-Shelah allows such model-theoretic notions
as elementary equivalence, elementary embedding and existential embedding to be
couched in the language of categories (limits, morphism diagrams). This in turn
allows analogs of these (and related) notions to be transported into unusual
settings, chiefly those of Banach spaces and of compacta. Our interest here is
the enrichment of the theory of compacta, especially the theory of continua,
brought about by the immigration of model-theoretic ideas and techniques.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 00:00:00 GMT""}]","2008-02-03"
"math/9610219","Shelah Office","Marek Balcerzak, Andrzej Ros{\l}anowski, Saharon Shelah","Ideals without ccc",,"J. Symbolic Logic 63 (1998), 128--147",,"Shelah [BRSh:512]","math.LO",,"  Let I be an ideal of subsets of a Polish space X, containing all singletons
and possessing a Borel basis. Assuming that I does not satisfy ccc, we consider
the following conditions (B), (M) and (D). Condition (B) states that there is a
disjoint family F subseteq P(X) of size c, consisting of Borel sets which are
not in I. Condition (M) states that there is a function f:X-> X with
f^{-1}[{x}] notin I for each x in X. Provided that X is a group and I is
invariant, condition (D) states that there exist a Borel set B notin I and a
perfect set P subseteq X for which the family {B+x: x in P} is disjoint. The
aim of the paper is to study whether the reverse implications in the chain (D)
=> (M) => (B) => not-ccc can hold. We build a sigma-ideal on the Cantor group
witnessing''(M) and not (D)'' (Section 2). A modified version of that
sigma-ideal contains the whole space (Section 3). Some consistency results
deriving (M) from (B) for''nicely'' defined ideals are established (Section 4).
We show that both ccc and (M) can fail (Theorems 1.3 and 4.2). Finally, some
sharp versions of (M) for invariant ideals on Polish groups are investigated
(Section 5).
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 00:00:00 GMT""}]","2016-09-06"
"math/9610222","Marco Martens","Marco Martens and Welington de Melo","Universal models for Lorenz maps",,,,"Stony Brook IMS 1996/12. Dynamical Systems 10/15/96","math.DS",,"  The existence of smooth families of Lorenz maps exhibiting all possible
dynamical behavior is established and the structure of the parameter space of
these families is described.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 00:00:00 GMT""}]","2009-09-25"
"math/9610226","Shelah Office","Saharon Shelah","Further cardinal arithmetic",,"Israel J. Math. 95 (1996), 61--114",,"Shelah [Sh:430]","math.LO",,"  We continue the investigations in the author's book on cardinal arithmetic,
assuming some knowledge of it. We deal with the cofinality of (S_{<=
aleph_0}(kappa), subseteq) for kappa real valued measurable (Section 3),
densities of box products (Section 5,3), prove the equality cov(lambda, lambda,
theta^+,2)=pp(lambda) in more cases even when cf(lambda)= aleph_0 (Section 1),
deal with bounds of pp(lambda) for lambda limit of inaccessible (Section 4) and
give proofs to various claims I was sure I had already written but did not find
(Section 6).
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 00:00:00 GMT""}]","2016-09-06"
"math/9610227","Shelah Office","Sabine Koppelberg, Saharon Shelah","Subalgebras of Cohen algebras need not be Cohen",,"Oxford Sci. Publ. (1996), 261--275",,"Shelah [KpSh:504]","math.LO math.GN",,"  We give an example of a regular and complete subalgebra of a Cohen algebra
which is not Cohen.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 00:00:00 GMT""}]","2008-02-03"
"physics/9610011","Samar Abbas","Samar Abbas","The Non-Organic Theory of the Genesis of Petroleum","20 pages in Latex file",,,,"physics.ao-ph physics.geo-ph",,"  Recent advances in interdisciplinary fields as diverse as astrophysics,
cosmogeophysics, nuclear geology, etc. have led to interesting developments in
the non-organic theory of the genesis of petroleum. This theory, which holds
that petroleum is of an abiogenic primordial origin, provides an explanation
for certain features of petroleum geology that are hard to explain within the
standard organic framework. If the non-organic theory is correct, then
hydrocarbon reserves would be enormous and almost inexhaustable.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 10:03:12 GMT""}]","2008-02-03"
"q-alg/9610016","Friedrich Knop","Friedrich Knop, Siddhartha Sahi","A recursion and a combinatorial formula for Jack polynomials","Preprint March 1996, to appear in Invent. Math., 15 pages, Plain TeX","Invent. Math. 128 (1997), 9-22","10.1007/s002220050134",,"q-alg math.QA",,"  Heckman and Opdam introduced a non-symmetric analogue of Jack polynomials
using Cherednik operators. In this paper, we derive a simple recursion formula
for these polynomials and formulas relating the symmetric Jack polynomials with
the non-symmetric ones. These formulas are then implemented by a closed
expression of symmetric and non-symmetric Jack polynomials in terms of certain
tableaux. The main application is a proof of a conjecture of Macdonald stating
certain integrality and positivity properties of Jack polynomials.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 04:31:15 GMT""}]","2008-02-03"
"q-alg/9610017","Friedrich Knop","Friedrich Knop, Siddhartha Sahi","Difference equations and symmetric polynomials defined by their zeros","Preprint March 1996, 14 pages, Plain TeX","Internat. Math. Res. Notices 1996, No. 10, 473-486","10.1155/S107379289600030X",,"q-alg math.QA",,"  In this paper, we introduce a new family of symmetric polynomials which
depends on a parameter r. They are defined by specifying certain of their
zeros. For the parameter values 1/2, 1, and 2 they have an interpretation in
terms of Capelli identities.
  First, we give explicit formulas in some special cases. Then we show that the
polynomials can also be defined in terms of difference equations. As a
corollary we obtain that their top homogeneous part is a Jack polynomial. This
is used to give a new proof of the Pieri formula for Jack polynomials.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 04:53:52 GMT""}]","2008-02-03"
"q-alg/9610018","Katsuhisa Mimachi","Katsuhisa Mimachi","A new derivation of the inner product formula for the Macdonald
  symmetric polynomials","6 pages, AMS-LaTeX, no figures",,,,"q-alg math.QA",,"  We give a short proof of the inner product conjecture for the symmetric
Macdonald polynomials of type $A_{n-1}$. As a special case, the corresponding
constant term conjecture is also proved.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 06:32:29 GMT""}]","2008-02-03"
