"alg-geom/9612001","Alexander Givental","Alexander Givental (UC Berkeley)","Stationary Phase Integrals, Quantum Toda Lattices, Flag Manifolds and
  the Mirror Conjecture","17 pages, LaTeX",,,,"alg-geom math.AG",,"  A generalization of the mirror conjecture is proven for the manifolds of
complete flags in C^n.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 01:34:32 GMT""}]","2008-02-03"
"hep-ph/9612226","Jochen Bartels","J.Bartels, M.G.Ryskin","The Space-Time Picture of the Wee Partons and the AGK Cutting Rules in
  Perturbative QCD","36 pages, latex, 15 figures included using epsfig","Z.Phys. C76 (1997) 241-255",,"DESY 96-238","hep-ph",,"  We discuss the space-time picture of scattering amplitudes with single and
double ladder exchange in perturbative QCD. Particular emphasis is given to the
Abramovsky Gribov Kanchelli (AGK) rules which describe the relative
contributions of the diffractive dissociation and processes with other
multiplicities to the elastic scattering amplitude. Inside the Pomeron Pomeron
interaction vertices we find a new matrix which describes the transition from
one s-cut to another and which goes beyond the original the AGK rules.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 13:06:47 GMT""}]","2007-05-23"
"hep-ph/9612227","Janusz Gluza","J. Gluza and M. Zralek (University of Silesia)","Heavy neutrinos production and decay in future $e^+e^-$ colliders","22 pages, Latex, 5 figures","Phys.Rev. D55 (1997) 7030-7037","10.1103/PhysRevD.55.7030","TP-USl/96/09","hep-ph",,"  The production of heavy and light neutrinos in $e^+e^-$ future colliders is
considered. The cross section for the process $e^+e^- \rightarrow \nu N$ and
then the heavy neutrino decay $N \rightarrow W^{\pm} e^{\mp}$ is determined for
experimentally possible values of mixing matrix elements. The bound on the
heavy neutrino-electron mixing is estimated in models without right-handed
currents. The role of neutrino CP eigenvalues and the mass of the lightest
Higgs particle are investigated. The angular distribution of charged leptons in
the total CM frame resulting from the heavy neutrino decay and from the main
$W^+W^-$ production background process are briefly compared.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 13:10:33 GMT""}]","2009-10-30"
"hep-ph/9612228","Stefan Scherer","S. Scherer (Institut f. Kernphysik, Mainz)","Chiral dynamics of rare eta decays and virtual Compton scattering off
  the nucleon","5 pages, 3 postscript figures, Revtex using epsf, invited talk given
  at the workshop DAPHCE96, Frascati, November 1996, to appear in the
  proceedings (Nucl. Phys. A)","Nucl.Phys. A623 (1997) 215c-219c","10.1016/S0375-9474(97)00440-5","MKPH-T-96-30","hep-ph nucl-th",,"  Two different topics relevant for DA$\Phi$NE and CEBAF, respectively, are
covered. First we analyze the rare radiative eta decay mode
$\eta\to\pi\pi\gamma\gamma$ within the framework of chiral perturbation theory
at ${\cal O}(p^4)$. We then discuss virtual Compton scattering off the nucleon
at low energies. Predictions for the two spin-independent generalized
polarizabilities are shown.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 14:05:19 GMT""}]","2009-10-30"
"hep-ph/9612231","A. Abada","Abdellatif Abada and Michael C. Birse (Univ. of Manchester, England)","Coherent amplification of classical pion fields during the cooling of
  droplets of quark plasma","12 TeX pages + 20 postscript figures, psfig style","Phys. Rev. D 55, 6887 (1997)","10.1103/PhysRevD.55.6887","MC/TH 96/30","hep-ph",,"  In the framework of the linear sigma model, we study the time evolution of a
system of classical $\sigma$ and pion fields coupled to quarks. For this
purpose we solve numerically the classical transport equation for relativistic
quarks coupled to the nonlinear Klein-Gordon equations for the meson fields. We
examine evolution starting from variety of initial conditions corresponding to
spherical droplets of hot quark matter, which might mimic the behaviour of a
quark plasma produced in high-energy nucleus-nucleus collisions. For large
droplets we find a strong amplification of the pion field that oscillates in
time. This leads to a coherent production of pions with a particular isospin
and so would have similar observable effects to a disoriented chiral condensate
which various authors have suggested might be a signal of the chiral phase
transition. The mechanism for amplification of the pion field found here does
not rely on this phase transition and is better thought of as a ""pion laser""
which is driven by large oscillations of the $\sigma$ field.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 15:12:55 GMT""}]","2016-08-24"
"hep-th/9612004","Andrei Linde","Renata Kallosh","Wrapped Supermembrane","6 pages, Latex",,,"SU-ITP-96-56","hep-th",,"  The Hamiltonian of the wrapping and KK modes of the supermembrane is
identified with the SL(2, Z) symmetric axion-dilaton black hole mass formula.
It means that the supermembrane with KK modes wrapped $m$ times around the
space-time torus of compactified dimensions induces the superpotential breaking
spontaneously N=2 down to N=1 SUSY. The supersymmetry breaking parameter Lambda
is inversely proportional to the area A of the space-time torus around which
the supermembrane wraps. The restoration of supersymmetry as well as
decompactification of higher dimensions of space-time are forbidden by the
requirement of stability of the wrapped supermembrane. This may be an ultimate
reason why supersymmetry is broken in the real world.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 00:45:44 GMT""}]","2007-05-23"
"hep-th/9612014","Andrew Chamblin","A. Chamblin (Institute for Theoretical Physics, UCSB), J.M.A.
  Ashbourn-Chamblin (Wolfson College, University of Oxford)","Black hole pairs and supergravity domain walls","21 pages LaTeX, special style files (psfrag.sty, efsf_psfrag.sty,
  a4local.sty, epsf.tex), minor revisions and amended references","Phys.Rev. D57 (1998) 3529-3536","10.1103/PhysRevD.57.3529","NSF-ITP-96-150","hep-th",,"  We examine the pair creation of black holes in the presence of supergravity
domain walls with broken and unbroken supersymmetry. We show that black holes
will be nucleated in the presence of non- extreme, repulsive walls which break
the supersymmetry, but that as one allows the parameter measuring deviation
from extremality to approach zero the rate of creation will be suppressed. In
particular, we show that the probability for creation of black holes in the
presence of an extreme domain wall is identically zero, even though an extreme
vacuum domain wall still has repulsive gravitational energy. This is consistent
with the fact that the supersymmetric, extreme domain wall configurations are
BPS states and should be stable against quantum corrections. We discuss how
these walls arise in string theory, and speculate about what string theory
might tell us about such objects.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 06:45:08 GMT""},{""version"":""v2"",""created"":""Mon, 11 Aug 1997 21:06:28 GMT""}]","2009-10-30"
"hep-th/9612016","Ju Guo-xing","G.X. Ju, J.F. Cai, H.Y. Guo, K. Wu and S.K. Wang","Super-Yangian Y(gl(1|1)) and Its Oscillator Realization","7 pages, latex, no figures, to appaer in the International Workshop
  on Frontiers in Quantum Field Theory,Urumqi,11-18,Augast,1996","J.Phys.A30:6155-6161,1997","10.1088/0305-4470/30/17/022","AS-ITP-96-33","hep-th",,"  On the basis of graded RTT formalism,the defining relation of the
super-Yangian Y(gl(1|1)) is derived and its oscillator realization is
constructed.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 09:27:06 GMT""}]","2008-11-26"
"hep-th/9612017","Jerzy Lukierski","Jerzy Lukierski, Peter C. Stichel, Wojtek J. Zakrzewski","Galilean-Invariant (2+1)-Dimensional Models with a Chern-Simons-Like
  Term and D=2 N oncommutative Geometry","small changes to make the paper look identical to the published
  version","Annals Phys. 260 (1997) 224-249","10.1006/aphy.1997.5729",,"hep-th",,"  We consider a new D=2 nonrelativistic classical mechanics model providing via
the Noether theorem the (2+1)-Galilean symmetry algebra with two central
charges: mass m and the coupling constant k of a Chern-Simons-like term. In
this way we provide the dynamical interpretation of the second central charge
of the (2+1)-dimensional Galilean algebra. We discuss also the interpretation
of k as describing the noncommutativity of D=2 space coordinates. The model is
quantized in two ways: using the Ostrogradski-Dirac formalism for higher order
Lagrangians with constraints and the Faddeev-Jackiw method which describes
constrained systems and produces nonstandard symplectic structures. We show
that our model describes the superposition of a free motion in noncommutative
D=2 space as well as the ""internal"" oscillator modes. We add a suitably chosen
class of velocity-dependent two-particle interactions, which is descrobed by
local potentials in D=2 noncommutative space. We treat, in detail, the
particular case of a harmonic oscillator and describe its quantization. It
appears that the indefinite metric due to the third order time derivative term
in the field equations, even in the presence of interactions, can be eliminated
by the imposition of a subsidiary condition.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 11:55:16 GMT""},{""version"":""v2"",""created"":""Fri, 9 Aug 2002 17:45:27 GMT""}]","2009-10-30"
"hep-th/9612019","Sven Falkenberg","S. Falkenberg (Leipzig University) and S. D. Odintsov (Valle
  University)","Gauge Dependence of the Effective Average Action in Einstein Gravity","19 pages, LaTeX, 1 figure, misprints corrected","Int.J.Mod.Phys.A13:607-623,1998","10.1142/S0217751X98000263",,"hep-th",,"  We study the gauge dependence of the effective average action Gamma_k and
Newtonian gravitational constant using the RG equation for Gamma_k. Then we
truncate the space of action functionals to get a solution of this equation. We
solve the truncated evolution equation for the Einstein gravity in the De
Sitter background for a general gauge parameter alpha and obtain a system of
equations for the cosmological and the Newtonian constants. Analyzing the
running of the gravitational constant we find that the Newtonian constant
depends strongly on the gauge parameter. This leads to the appearance of
antiscreening and screening behavior of the quantum gravity. The resolution of
the gauge dependence problem is suggested. For physical gauges like the
Landau-De Witt gauge the Newtonian constant shows an antiscreening.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 14:35:40 GMT""},{""version"":""v2"",""created"":""Mon, 23 Mar 1998 12:19:04 GMT""}]","2010-05-07"
"hep-th/9612020","Danuta Karczewska","D. Karczewska, R. Manka","Sphaleron in the dilatonic electroweak theory","latex,psfig.sty, 15 pages, 4 PostScript Figures, after request :
  dkarcz@usctoux1.cto.us.edu.pl. Sent to Journal of Physics G: Nuclear and
  Particle Physics",,,,"hep-th",,"  A numerical study of static, spherically symmetric sphaleron solutions in the
standard model coupled to the dilaton field is presented. We show that
sphaleron is surrounded by strong dilaton cloud which vanishes inside the
sphaleron.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 15:31:45 GMT""}]","2007-05-23"
"hep-th/9612026","Philippe DiFrancesco","P. Di Francesco","Meander Determinants","TeX using harvmac.tex and epsf.tex, 64 pages (l-mode), 79 figures",,,,"hep-th math.QA q-alg",,"  We prove a determinantal formula for quantities related to the problem of
enumeration of (semi-) meanders, namely the topologically inequivalent planar
configurations of non-self-intersecting loops crossing a given (half-) line
through a given number of points. This is done by the explicit Gram-Schmidt
orthogonalization of certain bases of subspaces of the Temperley-Lieb algebra.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 09:33:53 GMT""}]","2008-02-03"
"nucl-th/9612005","Abhee Kanti Dutt-Mazumder","Abhee K. Dutt-Mazumder, Jan-e Alam, Binayak Dutta-Roy and Bikash Sinha","Dilepton Yield in Heavy-Ion Collisions with Bose Enhancement of Decay
  Width","Plain latex file","Phys.Lett. B396 (1997) 264-268","10.1016/S0370-2693(97)00111-1","SINP/TNP/96-15","nucl-th",,"  The excess of low invariant mass dilepton yield in heavy ion collisions
arising from reduction in the rho meson mass at finite temperatures is
partially suppressed because of the effect on the width of the rho meson
induced by Bose enhancement, essentially due to emission of pions in a medium
of the pion gas in the central rapidity region. The sensitivity of the effect
on the initial temperature of the hadronic phase is also examined.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 03:57:38 GMT""}]","2009-10-30"
"nucl-th/9612006","Ludu Andrei","Andrei Ludu, Aurel Sandulescu, Walter Greiner (Frankfurt/Main
  Universitat, Germany)","A New Nonlinear Liquid Drop Model. Clusters as Solitons on The Nuclear
  Surface","27 pages, LateX, 8 figures, Submitted J. Phys. G: Nucl. Part. Phys.,
  PACS: 23.60.+e, 21.60.Gx, 24.30.-v, 25.70.ef","J.Phys.G23:343-364,1997","10.1088/0954-3899/23/3/005",,"nucl-th nlin.PS patt-sol",,"  By introducing in the hydrodynamic model, i.e. in the hydrodynamic equations
and the corresponding boundary conditions, the higher order terms in the
deviation of the shape, we obtain in the second order the Korteweg de Vries
equation (KdV). The same equation is obtained by introducing in the liquid drop
model (LDM), i.e. in the kinetic, surface and Coulomb terms, the higher terms
in the second order. The KdV equation has the cnoidal waves as steady-state
solutions. These waves could describe the small anharmonic vibrations of
spherical nuclei up to the solitary waves. The solitons could describe the
preformation of clusters on the nuclear surface. We apply this nonlinear liquid
drop model to the alpha formation in heavy nuclei. We find an additional
minimum in the total energy of such systems, corresponding to the solitons as
clusters on the nuclear surface. By introducing the shell effects we choose
this minimum to be degenerated with the ground state. The spectroscopic factor
is given by the ratio of the square amplitudes in the two minima.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 07:09:33 GMT""}]","2008-11-26"
"nucl-th/9612007","John Tjon","M. K. Banerjee (1,2) and J. A. Tjon (1,3) ((1) University of Maryland
  Park, USA (2) Instute for Kernphysik, Forschungszentrum J\""ulich, Germany (3)
  Institute for Theoretical Physics, University of Utrecht, the Netherlands)","Nuclear Matter Studies with Density-dependent Meson-Nucleon Coupling
  Constants","Acknowledgements have been modified. 34 pages, revtex, uuencoded
  gz-compressed tar file","Phys.Rev.C56:497-509,1997","10.1103/PhysRevC.56.497",,"nucl-th",,"  Due to the internal structure of the nucleon, we should expect, in general,
that the effective meson nucleon parameters may change in nuclear medium. We
study such changes by using a chiral confining model of the nucleon. We use
density-dependent masses for all mesons except the pion. Within a
Dirac-Brueckner analysis, based on the relativistic covariant structure of the
NN amplitude, we show that the effect of such a density dependence in the NN
interaction on the saturation properties of nuclear matter, while not large, is
quite significant. Due to the density dependence of the $g_{\sigma NN}$, as
predicted by the chiral confining model, we find, in particular, a looping
behavior of the binding energy at saturation as a function of the saturation
density. A simple model is described, which exhibits looping and which is shown
to be mainly caused by the presence of a peak in the density dependence of the
medium modified $\sigma N$ coupling constant at low density.
  The effect of density dependence of the coupling constants and the meson
masses tends to improve the results for $E/A$ and density of nuclear matter at
saturation. From the present study we see that the relationship between binding
energy and saturation density may not be as universal as found in
nonrelativistic studies and that more model dependence is exhibited once medium
modifications of the basic nuclear interactions are considered.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 09:22:51 GMT""},{""version"":""v2"",""created"":""Mon, 9 Dec 1996 13:30:31 GMT""}]","2016-08-15"
"nucl-th/9612008","Jiri Mares","E. Friedman (1), A. Gal (1), J. Mares (2) ((1) Hebrew U. Jerusalem,
  (2) INP Rez/Prague)","Medium effects in K^+ nucleus interaction from consistent analysis of
  integral and differential cross sections","11 pages, RevTeX, 2 Postscript figures, submitted Phys. Lett. B","Phys.Lett. B396 (1997) 21-25","10.1016/S0370-2693(97)00087-7",,"nucl-th",,"  Self consistency in the analysis of transmission measurements for K^+ on
several nuclei in the momentum range of 500-700 MeV/c is achieved with a
""t_{eff}(rho)rho"" potential and new results are derived for total cross
sections. The imaginary part of the t_{eff} amplitude is found to increase
linearly with the average nuclear density in excess of a threshold value. This
phenomenological density dependence of the K^+ nucleus optical potential also
gives rise to good agreement with recent measurements of differential cross
sections for elastic scattering of 715 MeV/c K^+ by Li^6 and C.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 14:50:52 GMT""}]","2009-10-30"
"nucl-th/9612009","Bernard Pire","Bernard Pire","Exclusive reactions in QCD","Lectures given at Les Houches Summer School Trends in Nuclear Physics
  Hundred years later, July 30 to August 30 1996, to be published in the
  Proceedings, H. Niffenecker ed.( Elsevier). 6 Figures are not attached",,,,"nucl-th hep-ph",,"  We review the theory of hard exclusive scattering in Quantum Chromodynamics.
After recalling the classical counting rules which describe the leading scale
dependence of form factors and exclusive cross-sections at fixed angle, the
pedagogical example of the pion form factor is developped in some detail in
order to show explicitely what factorization means in the QCD framework. The
picture generalizes to many hard reactions which are at the heart of the ELFE
project. We briefly present the concepts of color transparency.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 14:40:36 GMT""}]","2016-09-08"
"physics/9612002","Kotel'nikov Gennadii","G. A. Kotel'nikov (RRC Kurchatov Institute, Moscow, Russia)","Nonlinear Maxwell Equations","6 pages, LaTex","J. Nonlinear Math. Phys. (Ukraina) 3 (1996) 391-395","10.2991/jnmp.1996.3.3-4.19","IAE-5881/1","physics.class-ph",,"  A new relativistic invariant version of nonlinear Maxwell equations is
offerred. Some properties of these equations are considered.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 09:20:47 GMT""}]","2015-06-26"
"q-alg/9612002","B. Pareigis","Bodo Pareigis (University of Munich, Germany)","On Lie Algebras in Braided Categories","20 pages - uses nlatex = NFSS Latex plus AMS macro package amsart.sty",,,,"q-alg math.QA",,"  The set of primitive elements of a Hopf algebra in the braided category of
group graded vector spaces (with a commutative group) carry the structure of a
generalized Lie algebra. In particular the graded derivations of an associative
algebra carry this Lie algebra structure. The Lie multiplications consist of
certain n-ary partially defined multiplications satisfying generalized
antisymmetry and Jacobi identities. This generalizes the concept of Lie super
algebras and Lie color algebras.
  We show that universal enveloping algebras in the braided category exist.
They are (braided) Hopf algebras. This explains many constructions of
noncommutative noncocommutative Hopf algebras in the literature.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 1996 19:25:15 GMT""}]","2008-02-03"
"q-alg/9612003","Tim Baker","T. H. Baker and P. J. Forrester (Uni. of Melbourne)","Non-Symmetric Jack Polynomials and Integral Kernels","LaTeX 2.09, 33 pages",,,,"q-alg math.QA",,"  We investigate some properties of non-symmetric Jack, Hermite and Laguerre
polynomials which occur as the polynomial part of the eigenfunctions for
certain Calogero-Sutherland models with exchange terms. For the non-symmetric
Jack polynomials, the constant term normalization ${\cal N}_\eta$ is evaluated
using recurrence relations, and ${\cal N}_\eta$ is related to the norm for the
non-symmetric analogue of the power-sum inner product. Our results for the
non-symmetric Hermite and Laguerre polynomials allow the explicit determination
of the integral kernels which occur in Dunkl's theory of integral transforms
based on reflection groups of type $A$ and $B$, and enable many analogues of
properties of the classical Fourier, Laplace and Hankel transforms to be
derived. The kernels are given as generalized hypergeometric functions based on
non-symmetric Jack polynomials. Central to our calculations is the construction
of operators $\widehat{\Phi}$ and $\widehat{\Psi}$, which act as lowering-type
operators for the non-symmetric Jack polynomials of argument $x$ and $x^2$
respectively, and are the counterpart to the raising-type operator $\Phi$
introduced recently by Knop and Sahi.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 1996 22:46:53 GMT""}]","2008-02-03"
"q-alg/9612004","Ludu Andrei","Andrei Ludu, Walter Greiner (Frankfurt/Main Universitat, Germany)","Quasi-Continuous Symmetries of Non-Lie Type","18 pages, LateX, 3 figures, Submitted Found. Phys., PACS: 03.65.Fd,
  11.30.Er",,"10.1007/BF02551437",,"q-alg hep-th math.QA nucl-th",,"  We introduce a smooth mapping of some discrete space-time symmetries into
quasi-continuous ones. Such transformations are related with q-deformations of
the dilations of the Euclidean space and with the non-commutative space. We
work out two examples of Hamiltonian invariance under such symmetries. The
Schrodinger equation for a free particle is investigated in such a
non-commutative plane and a connection with anyonic statistics is found.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 05:21:59 GMT""}]","2016-09-08"
"quant-ph/9612010","Svozil Karl","Karl Svozil (TU Vienna)","Experimental realization of any discrete operator","4 pages, also available at
  http://tph.tuwien.ac.at/~svozil/publ/every.ps",,,,"quant-ph",,"  A straightforward argument shows that, by allowing counterfactual elements of
physical reality, any arbitrary discrete finite-dimensional operator
corresponds to an observable.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 09:02:23 GMT""}]","2007-05-23"
"quant-ph/9612012","Molotkov","S.N.Molotkov (Institute of Solid State Physics of the Russian Academy
  of Sciences)","Effect of Attenuation and Dispersion in the Communication Channel on the
  Secrecy of a Quantum Cryptosystem","6 pages, LaTex, no figures. Submitted to JETP Letters",,,,"quant-ph",,"  The effects of dispersion in the communication channel on the secrecy of a
quantum cryptosystem based on single photon states with different frequencies
are studied. A maximum communication channel length which can still ensure the
secrecy of the key generation procedure is found.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 12:23:06 GMT""}]","2007-05-23"
"quant-ph/9612013","Molotkov","S.N.Molotkov and S.S.Nazin (Institute of Solid State Physics of the
  Russian Academy of Sciences)","Quantum Cryptography Based on the Time--Energy Uncertainty Relation","5 pages, LaTex, no figures","JETP Lett. 63 (1996) 924-929","10.1134/1.567104",,"quant-ph",,"  A new cryptosystem based on the fundamental time--energy uncertainty relation
is proposed. Such a cryptosystem can be implemented with both correlated photon
pairs and single photon states.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 12:20:31 GMT""}]","2009-10-30"
"quant-ph/9612014","Adriano Barenco","Adriano Barenco (Clarendon Laboratory, Oxford)","Quantum Physics and Computers","27 pages, LaTeX, 8 PostScript figures embedded. A bug in one of the
  postscript files has been fixed. Reprints available from the author. The
  files are also available from
  http://eve.physics.ox.ac.uk/Articles/QC.Articles.html","Contemp.Phys.37:375-389,1996","10.1080/00107519608217543",,"quant-ph",,"  Recent theoretical results confirm that quantum theory provides the
possibility of new ways of performing efficient calculations. The most striking
example is the factoring problem. It has recently been shown that computers
that exploit quantum features could factor large composite integers. This task
is believed to be out of reach of classical computers as soon as the number of
digits in the number to factor exceeds a certain limit. The additional power of
quantum computers comes from the possibility of employing a superposition of
states, of following many distinct computation paths and of producing a final
output that depends on the interference of all of them. This ``quantum
parallelism'' outstrips by far any parallelism that can be thought of in
classical computation and is responsible for the ``exponential'' speed-up of
computation.
  This is a non-technical (or at least not too technical) introduction to the
field of quantum computation. It does not cover very recent topics, such as
error-correction.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 12:32:56 GMT""},{""version"":""v2"",""created"":""Tue, 3 Dec 1996 22:29:55 GMT""}]","2008-11-26"
