"alg-geom/9612018","Takeshi Kawachi","Takeshi Kawachi","Effective base point freeness on a normal surface","AmS-TeX 2.1, 15pages + 1 PostScript graphic page",,,,"alg-geom math.AG",,"  This treats the base-point-freeness of the adjoint bundles on normal surfaces
with a boundary. This is an extension of the non-relative version of the
theorem of Ein-Lazarsfeld-Masek and the theorem of Kawachi-Masek.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 07:50:32 GMT""},{""version"":""v2"",""created"":""Mon, 20 Jan 1997 06:05:45 GMT""}]","2008-02-03"
"cond-mat/9612190","Sergio Conti","A. Minguzzi, S. Conti and M. P. Tosi (Scuola Normale Superiore, Pisa,
  Italy)","Internal energy and condensate fraction of a trapped interacting Bose
  gas","6 pages, 3 figures. To appear on J. Phys.: Condens. Matter","J. Phys.: Condens. Matter 9, L33 (1997)","10.1088/0953-8984/9/5/001",,"cond-mat.stat-mech",,"  We present a semiclassical two-fluid model for an interacting Bose gas
confined in an anisotropic harmonic trap and solve it in the experimentally
relevant region for a spin-polarized gas of Rb-87 atoms, obtaining the
temperature dependence of the internal energy and of the condensate fraction.
Our results are in agreement with recent experimental observations by Ensher et
al.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 09:31:19 GMT""}]","2009-10-28"
"cond-mat/9612191",,"Tetsuro Saso (Department of Physics, Saitama University, Urawa, Japan)","Self-consistent perturbational study of insulator-to-metal transition in
  Kondo insulators due to strong magnetic field","5 pages, LaTeX, 7 PS figures included, uses jsps.sty",,"10.1143/JPSJ.66.1175","SU-TS-9604","cond-mat.str-el",,"  In order to study the effects of strong magnetic field on Kondo insulators,
we calculate magnetization curves and single-particle excitation spectra of the
periodic Anderson model at half-filling under finite magnetic field by using
the self-consistent second-order perturbation theory combined with the local
approximation which becomes exact in the limit of infinite spatial dimensions.
Without magnetic field, the system behaves as an insulator with an energy gap,
describing the Kondo insulators. By applying magnetic field to f-electrons, we
found that the energy gap closes and the first order transition from insulator
to metal takes place at a critical field $H_c$. The magnetization curve shows a
jump at $H_c$. These are consistent with our previous study in terms of the
exact diagonalization. Relationship to the experiments on YbB$_{12}$ and some
other Kondo insulators is discussed.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 09:42:04 GMT""}]","2009-10-28"
"cond-mat/9612192","Giorgini Stefano","S. Giorgini, L. Pitaevskii, and S. Stringari","Scaling and thermodynamics of a trapped Bose-condensed gas","10 pages, REVTEX, 5 figures, also available at
  http://anubis.science.unitn.it/~oss/bec/BEC.html",,"10.1103/PhysRevLett.78.3987",,"cond-mat",,"  We investigate the thermodynamics of a Bose gas interacting with repulsive
forces and confined in a harmonic trap. We show that the relevant parameters of
the system (temperature, number N of atoms, harmonic oscillator length,
deformation of the trap, s-wave scattering length) fix its large N
thermodynamic behaviour through two dimensionless scaling parameters. These are
the reduced temperature t=T/T^0_c and the ratio \eta between the T=0 value of
the chemical potential, evaluated in the Thomas-Fermi limit, and the critical
temperature T_c^0 of the non-interacting model. The scaling functions relative
to the condensate fraction, energy, chemical potential and moment of inertia
are calculated within the Popov approximation.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 10:59:09 GMT""}]","2009-10-28"
"cond-mat/9612193","Alfredo Levy Yeyati","A. Levy Yeyati, J.C. Cuevas, A. Lopez-Davalos and A. Martin-Rodero","Resonant tunneling through a small quantum dot coupled to
  superconducting leads","11 pages, 4 postscript figures, to be published in Phys. Rev. B
  (rapid communications)","Phys. Rev. B 55, R6137 (1997)","10.1103/PhysRevB.55.R6137",,"cond-mat.supr-con cond-mat.mes-hall",,"  We address the problem of non-linear transport through discrete electronic
levels in a small quantum dot coupled to superconducting electrodes. In our
approach the low temperature I-V characteristics can be calculated including
all multiple quasi-particle and Andreev processes. The limit of very weak
coupling to the leads and large charging energies is briefly analyzed comparing
the calculated lineshapes of the I-V curves with recent experimental results.
When the coupling to the leads increases and Coulomb blockade effects can be
neglected, the combination of multiple Andreev processes and resonant
transmission gives rise to a rich subgap structure which largely differs from
the one found in the more studied S-N-S systems. We show how multiple processes
can be included within a simple sequential tunneling picture qualitatively
explaining the subgap structure. We suggest an experimental set-up where the
predicted effects could be observed.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 12:35:37 GMT""}]","2009-10-28"
"gr-qc/9612056","Luis Anchordoqui","Luis A. Anchordoqui","Wormholes in spacetime with torsion","10 pages revtex","Mod.Phys.Lett. A13 (1998) 1095-1100","10.1142/S0217732398001169",,"gr-qc",,"  Analytical wormhole solutions in $U_4$ theory are presented. It is discussed
whether the extremely short range repulsive forces, related to the spin angular
momentum of matter, could be the ``carrier'' of the exoticity that threads the
wormhole throat.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 20:27:16 GMT""},{""version"":""v2"",""created"":""Mon, 23 Dec 1996 13:17:18 GMT""},{""version"":""v3"",""created"":""Tue, 21 Oct 1997 15:07:13 GMT""}]","2009-10-28"
"gr-qc/9612057","Arvind Borde","Arvind Borde","Regular Black Holes and Topology Change","Nine pages. One Figure. The figure will emerge automatically if you
  print via ""dvips""","Phys.Rev. D55 (1997) 7615-7617","10.1103/PhysRevD.55.7615",,"gr-qc",,"  The conditions are clarified under which regular (i.e., singularity-free)
black holes can exist. It is shown that in a large class of spacetimes that
satisfy the weak energy condition the existence of a regular black hole
requires topology change.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 01:54:36 GMT""}]","2009-10-28"
"gr-qc/9612058","Alexandre Filippov","A.T.Filippov (JINR, Dubna, Russia)","Integrable 1+1 dimensional gravity models","10 pages, Latex; submitted to Proc. of the International Workshop
  `Classical and Quantum Integrable Systems', Dubna, July 1996; to be published
  in Intern. Journ. Mod. Phys. A","Int.J.Mod.Phys.A12:13-22,1997","10.1142/S0217751X97000037",,"gr-qc",,"  Integrable models of dilaton gravity coupled to electromagnetic and scalar
matter fields in dimensions 1+1 and 0+1 are briefly reviewed. The 1+1
dimensional integrable models are either solved in terms of explicit
quadratures or reduced to the classically integrable Liouville equation. The
0+1 dimensional integrable models emerge as sectors in generally non integrable
1+1 dimensional models and can be solved in terms of explicit quadratures. The
Hamiltonian formulation and the problem of quantizing are briefly discussed.
Applications to gravity in any space - time dimension are outlined and a
generalization of the so called `no - hair' theorem is proven using local
properties of the Lagrange equations for a rather general 1+1 dimensional
dilaton gravity coupled to matter. This report is based on the paper
hep-th/9605008 but some simplifications, corrections and new results are added.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 12:46:32 GMT""}]","2011-04-15"
"gr-qc/9612059","Anders Hoglund","S. Brian Edgar (University of Link\""oping), Garry Ludwig (University
  of Alberta)","All conformally flat pure radiation metrics","7 pages, plain TeX","Class.Quant.Grav.14:L65-L68,1997","10.1088/0264-9381/14/4/001",,"gr-qc",,"  The complete class of conformally flat, pure radiation metrics is given,
generalising the metric recently given by Wils.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 15:36:45 GMT""}]","2010-04-06"
"gr-qc/9612060","Neil John Cornish","Neil Cornish and Gary Gibbons (DAMTP Cambridge)","The tale of two centres","20 pages, RevTeX, 7 figures included, TeX format changed","Class.Quant.Grav.14:1865-1881,1997","10.1088/0264-9381/14/7/020","DAMTP-R96/59","gr-qc chao-dyn hep-th nlin.CD",,"  We study motion in the field of two fixed centres described by a family of
Einstein-dilaton-Maxwell theories. Transitions between regular and chaotic
motion are observed as the dilaton coupling is varied.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 15:23:20 GMT""},{""version"":""v2"",""created"":""Mon, 30 Dec 1996 13:07:21 GMT""}]","2009-10-07"
"hep-lat/9612019","Tomoyuki Kaneda","Sinya Aoki, Tomoyuki Kaneda and Akira Ukawa (Institute of Physics,
  University of Tsukuba)","Structure of Critical Lines in Quenched Lattice QCD with the Wilson
  Quark Action","11 pages, Latex, 7 Postscript figures, uses epsf.sty","Phys.Rev. D56 (1997) 1808-1811","10.1103/PhysRevD.56.1808","UTHEP-354","hep-lat",,"  The structure of critical lines of vanishing pion mass for the Wilson quark
action is examined in quenched lattice QCD. The numerical evidence is presented
that critical lines spread into five branches beyond beta=5.6-5.7 at zero
temperature. It is also shown that critical lines disappear in the deconfined
phase for the case of finite temperatures.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 16:54:06 GMT""}]","2009-10-28"
"hep-lat/9612020",,"S.Gottlieb, U.M.Heller, A.D.Kennedy, S.Kim, J.B.Kogut, C.Liu,
  R.L.Renken, D.K.Sinclair, R.L.Sugar, D.Toussaint and K.C.Wang","Thermodynamics of lattice QCD with two light quark flavours on a 16^3 x
  8 lattice II","23 pages, RevteX, 6 encapsulated postscript figures","Phys.Rev.D55:6852-6860,1997","10.1103/PhysRevD.55.6852","ANL-HEP-PR-96-56, FSU-SCRI-96-139","hep-lat",,"  We have extended our earlier simulations of the high temperature behaviour of
lattice QCD with two light flavours of staggered quarks on a $16^3 \times 8$
lattice to lower quark mass (m_q=0.00625). The transition from hadronic matter
to a quark-gluon plasma is observed at $6/g^2=5.49(2)$ corresponding to a
temperature of $T_c \approx 140$MeV. We present measurements of observables
which probe the nature of the quark-gluon plasma and serve to distinguish it
from hadronic matter. Although the transition is quite abrupt, we have seen no
indications that it is first order.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 19:45:10 GMT""}]","2014-11-17"
"hep-lat/9612021","Alistair Hart","A. Hart (Louisiana State), O. Philipsen (Heidelberg), J. D. Stack
  (Illinois, Urbana-Champaign), M. Teper (Oxford)","On the Phase Diagram of the SU(2) Adjoint Higgs Model in 2+1 Dimensions","LaTeX. Replaced with version to be published in Physics Letters B.
  Minor changes only","Phys.Lett. B396 (1997) 217-224","10.1016/S0370-2693(97)00104-4","LSUHE No. 249-1996, HD-THEP-96-58, ILL-(TH)-96-17, OUTP-96-75P","hep-lat",,"  The phase diagram is investigated for SU(2) lattice gauge theory in d=3,
coupled to adjoint scalars. For small values of the quartic scalar coupling,
lambda, the transition separating Higgs and confinement phases is found to be
first-order, in agreement with earlier work by Nadkarni. The surface of
second-order transitions conjectured by Nadkarni, however, is shown instead to
correspond to crossover behaviour. This conclusion is based on a finite size
analysis of the scalar mass and susceptibility. The nature of the phase
transition at the termination of first-order behaviour is investigated and we
find evidence for a critical point at which the scalar mass vanishes. The
photon mass and confining string tension are measured and are found to be
negligibly small in the Higgs phase. This is correlated with the very small
density of magnetic monopoles in the Higgs phase. The string tension and photon
mass rise rapidly as the crossover is traversed towards the symmetric phase.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 00:40:30 GMT""},{""version"":""v2"",""created"":""Mon, 3 Feb 1997 15:28:19 GMT""}]","2009-10-28"
"hep-lat/9612022","Hildegard Ortmanns","Hildegard Meyer-Ortmanns (Theoretical Physics, University of
  Wuppertal, Germany) and Thomas Reisz (Theoretical Physics, University of
  Heidelberg, Germany)","Computer Aided Series Expansions for Critical Phenomena","Talk presented at the International Conference on Multi-Scale
  Phenomena and their Simulation at ZiF (Bielefeld, Germany) October 1996, 8
  pages, tex file sendzif.tex and sprocl.sty",,,"HD-THEP-96-57 and WUB-96-40","hep-lat cond-mat hep-th",,"  Under quite general conditions critical phenomena can be described with high
order linked cluster expansions. The coefficients of the series admit a
graphical expansion that is generated with the aid of computers. Our
generalization of linked cluster expansions from an infinite to a finite volume
allows to perform a finite size scaling analysis. We also indicate a
generalization to Dynamical Linked Cluster Expansions with possible
applications to spin glasses and neural networks with coupled spin and
interaction dynamics.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 09:28:03 GMT""}]","2007-05-23"
"hep-ph/9612405","Hang Bae Kim","Hang Bae Kim, Carlos Munoz","Orbifolds with continuous Wilson lines and soft terms","7 pages, LaTeX","Mod.Phys.Lett.A12:315-320,1997","10.1142/S0217732397000315","FTUAM 96/41, KAIST-TH-96/18","hep-ph",,"  Orbifold compactifications with continuous Wilson lines have very interesting
characteristics and as a consequence they are candidates to obtain realistic
models. We perform an analysis of the soft supersymmetry-breaking terms arising
in this type of compactifications. We also compare these results with those of
orbifolds without including continuous Wilson lines. Their phenomenological
properties turn out to be similar.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 18:49:00 GMT""}]","2014-11-17"
"hep-ph/9612415","Hans Lotter","H.Lotter","Production of Charm Quark Jets in DIS Diffractive Dissociation","9 pages, latex, 5 figures included using epsfig","Phys.Lett. B406 (1997) 171-177","10.1016/S0370-2693(97)00652-7","DESY 96-260","hep-ph",,"  We present a calculation of open charm quark production in diffractive deep
inelastic electron-proton scattering in a perturbative QCD framework. The cross
section is proportional to the square of the gluon density and explicitly
displays breaking of Regge factorization. Jet cross sections as well as the
charm contribution to the diffractive structure function are calculated. As a
consequence of the steep rise of the gluon density at small x the charm
contribution to $F_2^{D}$ rises with decreasing x_P.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 16:04:17 GMT""}]","2009-10-30"
"hep-ph/9612416","Linda M. Stuart","L. M. Stuart, et al","Measurements of the Delta(1232) Transition Form Factor and the Ratio
  sigma_n\sigma_p From Inelastic Electron-Proton and Electron-Deuteron
  Scattering","10 figures. 42 pages, including figures. submitted to Physical Review
  D","Phys.Rev.D58:032003,1998","10.1103/PhysRevD.58.032003","slac-pub-7391 (supercedes slac-pub-6305)","hep-ph",,"  Measurements of inclusive electron-scattering cross sections using hydrogen
and deuterium targets in the region of the Delta(1232) resonance are reported.
A global fit to these new data and previous data in the resonance region is
also reported for the proton. Transition form factors have been extracted from
the proton cross sections for this experiment over the four-momentum transfer
squared range 1.64 < Q^2 < 6.75 (GeV/c)^2 and from previous data over the range
2.41 < Q^2 < 9.82 (GeV/c)^2. The results confirm previous reports that the
Delta(1232) transition form factor decreases more rapidly with Q^2 than
expected from perturbative QCD. The ratio of sigma _n \sigma_p in the
\Delta(1232) resonance region has been extracted from the deuteron data for
this experiment in the range 1.64 < Q^2 < 3.75 (GeV/c)^2 and for a previous
experiment in the range 2.4 < Q^2 < 7.9 (GeV/c)^2. A study has been made of the
model dependence of these results. This ratio sigma_n\sigma_p for \Delta(1232)
production is slightly less than unity, while sigma_n\sigma_p for the
nonresonant cross sections is approximately 0.5, which is consistent with deep
inelastic scattering results.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 16:40:12 GMT""}]","2008-11-26"
"hep-ph/9612417","Elena Boglione","M.R. Pennington","Testing Chiral Symmetry Breaking at DAPHNE","14 pages, LaTeX, to be published in the Proceedings of the DAPHCE
  Workshop, held at Frascati, November 1996","Nucl.Phys. A623 (1997) 189c-201c","10.1016/S0375-9474(97)00438-7","DTP-96/110","hep-ph",,"  The spontaneous breakdown of the chiral symmetry of the QCD Lagrangian
ensures that $\pi\pi$ interactions are weak at low energies. How weak depends
on the nature of explicit symmetry breaking. Measurements of $K_{e4}$ decays at
DA$\Phi$NE will provide a unique insight into this mechanism and test whether
the $q{\overline q}$--condensate is large or small.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 16:22:01 GMT""}]","2009-10-30"
"hep-ph/9612419","Elena Boglione","M. Boglione","Which scalar meson is the glue-state ?","8 pages, LaTeX, 3 figures, to be published in the Proceedings of the
  Diquark III meeting, held at Torino, October 1996",,,"DTP-96/108","hep-ph",,"  Preliminary results of a work in collaboration with M.R. Pennington are
presented. Extending a scheme introduced by Tornqvist, we investigate a
dynamical model in which the spectrum of scalar mesons can be derived, with the
aim of locating the lightest glue-state. Adding hadronic interaction
contributions to the bare propagator, to `dress' the bare quark-model $q
\overline q$ states, we are able to write the amplitudes and the phase shifts
in the approximation in which scalar resonances decay only into two
pseudoscalar channels. The fit of these quantities to experimental data gives a
satisfactory understanding of how hadronic interactions modify the underlying
`bare' spectrum. In particular, we examine the case in which a glue-state is
introduced into the model.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 16:59:23 GMT""}]","2007-05-23"
"hep-ph/9612420",,"T. E. O. Ericson and B. Loiseau","Systematic effects in the determination of the piNN Coupling from pbar p
  -> nbar n differential cross section","14 pages, LaTeX, 4 encapsulated Postscript figures (uses epsf.tex),
  to be published in Phys. lett. B","Phys.Lett.B393:167-174,1997","10.1016/S0370-2693(96)01601-2","TSL/ISV-96-057 and IPNO/TH 96-43","hep-ph nucl-th",,"  We show that the $\pi NN$ coupling constant extracted model-independently
from $\bar pp$ charge exchange is subject to a systematic correction, and, more
importantly, that the strong absorption in the critical region prevents a
determination of the coupling constant to high precision using this process.
This attenuates the possible conflict with the value determined from the np
charge exchange cross sections.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 18:53:24 GMT""},{""version"":""v2"",""created"":""Fri, 20 Dec 1996 12:15:54 GMT""}]","2009-02-11"
"hep-ph/9612421",,"Isard Dunietz, Joseph Incandela (Fermilab), Frederick Snider (The
  Johns Hopkins University), Hitoshi Yamamoto (Harvard University)","Large Charmless Yield in B Decays and Inclusive B Decay Puzzles","26 pages, 5 figures, Latex. Expanded and two new figures added","Eur.Phys.J.C1:211-219,1998","10.1007/BF01245810","FERMILAB-PUB-96/421-T, HUTP-96/A055","hep-ph",,"  In recent studies of inclusive $B$ decays, it has been suggested that either
$B$ mesons decay much more copiously to final states with no open charm than
currently assumed, or $B(D^0 \to K^-\pi^+)$ has to be reduced significantly.
This note takes the experimental $B(D^0 \to K^-\pi^+)$ at its face value and
estimates $B(b\to$ no open charm) using complementary methods: one accounts for
the $c$ quark in $b\to c$ transitions, the other accounts for the $\bar c$
quark in $b\to c\bar c s$ transitions. Through cancellation of errors, the
average gives our best estimate of $B(b\to$ no open charm), and the difference
measures the consistency. The results of the methods are consistent with each
other, strongly suggesting a much enhanced $B(b\to$ no open charm). This
observation indicates that non-perturbative QCD effects are probably causing a
sizable fraction of the $b\to c\bar cs$ transitions to be seen as charmless
$b\to s$ processes, contrary to smaller traditional expectations. This
mechanism has generally been overlooked and may explain the existing
experimental data within the framework of the standard model. We then briefly
discuss implications on baryon production governed by $b\to c\bar cs$
processes, rare hadronic $B$ decays and CP violation studies.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 20:36:15 GMT""},{""version"":""v2"",""created"":""Tue, 8 Jul 1997 07:16:02 GMT""}]","2015-06-25"
"hep-ph/9612422","Greg Keaton","Gregory L. Keaton","Large-N Baryons, Chiral Loops, and the Emergence of the Constituent
  Quark",,"Phys.Lett. B372 (1996) 150-156","10.1016/0370-2693(96)00034-2",,"hep-ph",,"  Meson loop corrections to baryon axial currents are computed in the 1/N
expansion. It is already known that the one-loop corrections are suppressed by
a factor 1/N; here it is shown that the two-loop corrections are suppressed by
(1/N)^2. To leading order, these corrections are exactly what would be
calculated in the constituent quark model. Some applications are discussed.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 22:29:52 GMT""}]","2016-09-06"
"hep-ph/9612423","Greg Keaton","Gregory L. Keaton","The Bilocal Effective Action for Mesons in Large-N QCD",,,,"VPI-IPPAP-96-5","hep-ph",,"  The bilocal effective action is developed as a viable tool to study mesons in
the large-N limit of QCD. Several results from current algebra are derived in a
new way using this action. The question of gauge invariance is discussed in an
appendix
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 22:52:20 GMT""}]","2007-05-23"
"hep-ph/9612424","Ann Heinson","A.P. Heinson (UC Riverside), A.S. Belyaev and E.E. Boos (Moscow State
  University)","Single top quarks at the Fermilab Tevatron","31 pages including 11 figures","Phys.Rev.D56:3114-3128,1997","10.1103/PhysRevD.56.3114","INP-MSU-96-41/448, UCR/96-25","hep-ph",,"  We present a calculation of the single top quark cross section for
proton-antiproton interactions with sqrt(s) = 1.8 TeV at the Fermilab Tevatron
collider. We examine the effects of top mass, parton distribution functions,
QCD scale, and collision energy, on each of the component production
mechanisms, and study the kinematic distributions for standard model
electroweak production. At the upgraded Tevatron with sqrt(s) = 2.0 TeV and
high luminosity, it will be possible to test the nature of the Wtb coupling
using single top production. We estimate the sensitivity to measure the single
top cross section, and thus to directly measure V_tb and the top quark partial
width. We show what happens to the V_tb measurement when an anomalous (V+A)
component is added to the Wtb coupling, and how the top quark polarization
affects the kinematic distributions.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 23:14:10 GMT""}]","2009-02-18"
"hep-ph/9612425","Igor Halperin","Igor Halperin, Ariel Zhitnitsky (University of British Columbia)","Hard diffractive electroproduction, transverse momentum distribution and
  QCD vacuum structure","27 pages (LaTex), 1 figure (epsfig)","Phys.Rev. D56 (1997) 184-197","10.1103/PhysRevD.56.184",,"hep-ph",,"  We study the impact of the ""intrinsic"" hadron transverse momentum on the
pre-asymptotic behavior of the diffractive electroproduction of longitudinally
polarized $ \rho$-meson. Surprisingly, we find the onset of the asymptotic
regime in this problem to be rather low, Q^2 ~ 10 GeV^2 where power corrections
due to the transverse momentum do not exceed 20 % in the amplitude. This
drastically contrasts with exclusive amplitudes where the asymptotics starts at
much higher Q^2 = 50 - 100 GeV^2. The sources of such unexpected behavior are
traced back to some general (the quark-hadron duality) as well as more silent
(properties of higher dimensional vacuum condensates) features of QCD.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 00:07:31 GMT""}]","2009-10-30"
"hep-ph/9612426","Lisa Randall","Lisa Randall","New Mechanisms of Gauge-Mediated Supersymmetry Breaking","LaTeX, BoxedEPS, 23 pages, 3 figures included","Nucl.Phys.B495:37-56,1997","10.1016/S0550-3213(97)00225-3","MIT-CTP-2591","hep-ph hep-th",,"  We introduce new mechanisms for the communication of supersymmetry breaking
via gauge interactions. These models do not require complicated dynamics to
induce a nonvanishing F term for a singlet. The first class of models
communicates supersymmetry breaking to the visible sector through a ``mediator""
field that transforms under both a messenger gauge group of the dynamical
supersymmetry breaking sector and the standard model gauge group. This model
has distinctive phenomenology; in particular, the scalar superpartners should
be heavier by at least an order of magnitude than the gaugino superpartners.
The second class of models has phenomenology more similar to the ``standard""
messenger sectors. A singlet is incorporated, but the model does not require
complicated mechanisms to generate a singlet F term. The role of the singlet is
to couple fields from the dynamical symmetry breaking sector to fields
transforming under the standard model gauge group. We also mention a potential
solution to the $\mu$ problem.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 23:51:26 GMT""},{""version"":""v2"",""created"":""Fri, 20 Dec 1996 03:48:01 GMT""}]","2016-09-06"
"hep-ph/9612427","Samir Mallik","S. Mallik and D. Rai Chaudhuri","Density fluctuation in extended inflation","11 pages, Latex, no figures","Phys.Rev. D56 (1997) 625-630","10.1103/PhysRevD.56.625","SINP-TNP /96-20","hep-ph",,"  We examine the calculation of density perturbation at large scales in the
inflationary scenario. The formula for its magnitude is reviewed from first
principles and applied to the original model of extended inflation. Our
estimate is an order of magnitude bigger than the earlier ones due to the
difference in the time at which the primordial fluctuation is evaluated and to
the inclusion of terms neglected earlier in the standard formula for density
perturbation.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 13:25:25 GMT""}]","2009-10-30"
"hep-ph/9612428","Iiro Vilja","Antonio Riotto (Fermilab) and Iiro Vilja (U. of Turku)","Propagation of Majorana fermions in hot plasma","9 pages + 2 figsures, LaTeX","Phys.Lett. B402 (1997) 314-319","10.1016/S0370-2693(97)00468-1","TURKU-FL-P25/96, FERMILAB-Pub-96/453-A","hep-ph",,"  The properties of Majorana fermions in hot plasma are studied. One-loop
resummed propagator, dispersion relations and their interpretation are
discussed. It is shown that particle and hole -like solutions appear as in
Dirac/chiral fermion case. The dispersion relations are, however, crucially
different. We find that, in presence of a large zero temperature bare mass,
hole -like excitations posses a negligible effective mass. As an example of
real application, we consider the neutralinos in the minimal supersymmetric
extension of the standard model and argue that for realistic values of the soft
supersymmetry breaking masses the existence of practically massless hole -like
excitations have a considerable effect on the thermal properties, e.g. the
thermalization rate, of particles interacting with these Majorana excitations.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 10:08:54 GMT""}]","2016-09-06"
"hep-ph/9612429","Gino Isidori","Gino Isidori","A status report concerning theoretical predictions for various kaon
  decays","12 pages, Latex, to appear in the proceedings of DAPHCE96 (Frascati,
  Italy, 11-14 November 1996)","Nucl.Phys. A623 (1997) 202c-214c","10.1016/S0375-9474(97)00439-9","LNF-96/075(P)","hep-ph",,"  A short overview of theoretical predictions for various kaon decays is
presented. Particular attention is devoted to pure and radiative nonleptonic
decays in the framework of Chiral Perturbation Theory. The relevance of KLOE's
future results to improve our knowledge of kaon physics and more generally of
the Standard Model at low energy is also emphasized.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 11:06:33 GMT""}]","2009-10-30"
"hep-ph/9612436","Miguel Angel Garcia Jareno","A. Bartl, W. Porod, F. de Campos, M.A. Garcia-Jareno, M.B. Magro,
  J.W.F. Valle and W. Majerotto","Signatures of Spontaneous Breaking of R-Parity in Gluino Cascade Decays
  at LHC","23 pages, LaTex file, 9 eps figures included","Nucl.Phys.B502:19-36,1997","10.1016/S0550-3213(97)00434-3","FTUV/96-30; IFIC/96-34; HEPHY-PUB 695/96; UWThPh-1996-53","hep-ph",,"  We study the pattern of gluino cascade decays in a class of supersymmetric
models where R-parity is spontaneously broken. We give a detailed discussion of
the R-parity violating decays of the lightest neutralino, the second lightest
neutralino and the lightest chargino. The multi-lepton and same-sign dilepton
signal rates expected in these models are compared with those predicted in the
Minimal Supersymmetric Standard Model. We show that these rates can be
substantially enhanced in broken R-parity models.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 12:02:09 GMT""}]","2009-09-17"
"hep-th/9612200","Gabriel Cardoso","G. L. Cardoso","Perturbative gravitational couplings and Siegel modular forms in
  $D=4,N=2$ string models","8 pages, Latex 2.09, Contribution to the Proceedings of the 30th
  International Symposium Ahrenshoop on the Theory of Elementary Particles,
  Buckow, August 27-31, 1996","Nucl.Phys.Proc.Suppl. 56B (1997) 94-101","10.1016/S0920-5632(97)00314-9",,"hep-th",,"  We consider four-parameter $D=4,N=2$ string models with Hodge numbers
$(4,214- 12n)$ and $(4,148)$, and we express their perturbative Wilsonian
gravitational coupling $F_1$ in terms of Siegel modular forms.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 16:28:38 GMT""},{""version"":""v2"",""created"":""Thu, 9 Jan 1997 17:25:43 GMT""}]","2009-10-30"
"hep-th/9612202","Riccardo D'auria","L. Andrianopoli, R. D'Auria, S. Ferrara, P. Fr\'e, R. Minasian and M.
  Trigiante","Solvable Lie Algebras in Type IIA, Type IIB and M Theories","31 pages, 1 Tex, 4 eps-figures","Nucl.Phys.B493:249-280,1997","10.1016/S0550-3213(97)00136-3","CERN TH/96-365","hep-th",,"  We study some applications of solvable Lie algebras in type IIA, type IIB and
M theories. RR and NS generators find a natural geometric interpretation in
this framework. Special emphasis is given to the counting of the abelian
nilpotent ideals (translational symmetries of the scalar manifolds) in
arbitrary D dimensions. These are seen to be related, using Dynkin diagram
techniques, to one-form counting in D+1 dimensions. A recipy for gauging
isometries in this framework is also presented. In particular, we list the
gauge groups both for compact and translational isometries. The former agree
with some results already existing in gauged supergravity. The latter should be
possibly related to the study of partial supersymmetry breaking, as suggested
by a similar role played by solvable Lie algebras in N=2 gauged supergravity.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 16:08:28 GMT""}]","2010-11-19"
