"alg-geom/9612008","Jim Bryan","Jim Bryan and Marc Sanders","Instantons on $S^{4}$ and $\cpbar $, rank stabilization, and Bott
  periodicity","20 pages, keywords: instantons, holomorphic bundles, Bott periodicity
  LaTeX2e",,,,"alg-geom math.AG",,"  We study the large rank limit of the moduli spaces of framed bundles on the
projective plane and the blown-up projective plane. These moduli spaces are
identified with various instanton moduli spaces on the 4-sphere and $\cpbar $,
the projective plane with the reverse orientation. We show that in the direct
limit topology, these moduli spaces are homotopic to classifying spaces. For
example, the moduli space of $Sp(\infty)$ or $SO(\infty)$ instantons on $\cpbar
$ has the homotopy type of $BU(k)$ where $k$ is the charge of the instantons.
We use our results along with Taubes' result concerning the $k\to \infty $
limit to obtain a novel proof of the homotopy equivalences in the eight-fold
Bott periodicity spectrum. We give explicit constructions for these moduli
spaces.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 07:35:54 GMT""}]","2008-02-03"
"cond-mat/9612097","Dan Stein","C.M. Newman (Courant Institute of Mathematical Sciences, New York
  University), D.L. Stein (Department of Physics, University of Arizona,
  Tucson)","The metastate approach to thermodynamic chaos","LaTeX file, 49 pages","Phys. Rev. E, 55 (1997) 5194","10.1103/PhysRevE.55.5194",,"cond-mat.dis-nn adap-org nlin.AO",,"  In realistic disordered systems, such as the Edwards-Anderson (EA) spin
glass, no order parameter, such as the Parisi overlap distribution, can be both
translation-invariant and non-self-averaging. The standard mean-field picture
of the EA spin glass phase can therefore not be valid in any dimension and at
any temperature. Further analysis shows that, in general, when systems have
many competing (pure) thermodynamic states, a single state which is a mixture
of many of them (as in the standard mean-field picture) contains insufficient
information to reveal the full thermodynamic structure. We propose a different
approach, in which an appropriate thermodynamic description of such a system is
instead based on a metastate, which is an ensemble of (possibly mixed)
thermodynamic states. This approach, modelled on chaotic dynamical systems, is
needed when chaotic size dependence (of finite volume correlations) is present.
Here replicas arise in a natural way, when a metastate is specified by its
(meta)correlations. The metastate approach explains, connects, and unifies such
concepts as replica symmetry breaking, chaotic size dependence and replica
non-independence. Furthermore, it replaces the older idea of non-self-averaging
as dependence on the bulk couplings with the concept of dependence on the state
within the metastate at fixed coupling realization. We use these ideas to
classify possible metastates for the EA model, and discuss two scenarios
introduced by us earlier --- a nonstandard mean-field picture and a picture
intermediate between that and the usual scaling/droplet picture.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 22:21:31 GMT""}]","2009-10-28"
"cond-mat/9612098","B. Sriram Shastry","B. Sriram Shastry (Indian Institute of Science, Bangalore, India)","Uncertainty Principle Enhanced Pairing Correlations in Projected Fermi
  Systems Near Half Filling","RevTex 11 pages + 1 ps figure. Date 19 September 1996, Ver.2",,"10.1088/0305-4470/30/18/005",,"cond-mat.str-el",,"  We point out the curious phenomenon of order by projection in a class of
lattice Fermi systems near half filling. Enhanced pairing correlations of
extended s-wave Cooper pairs result from the process of projecting out s-wave
Cooper pairs, with negligible effect on the ground state energy. The Hubbard
model is a particularly nice example of the above phenomenon, which is revealed
with the use of rigorous inequalities including the Uncertainty Principle
Inequality. In addition, we present numerical evidence that at half filling, a
related but simplified model shows ODLRO of extended s-wave Cooper pairs.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 12:12:01 GMT""}]","2016-08-31"
"cond-mat/9612099","Frank Tzschichholz","Frank Tzschichholz and Helene Zanni","On the global hydration kinetics of tricalcium silicate cement","RevTeX macros, 6 pages, 4 postscript figures",,"10.1103/PhysRevE.64.016115",,"cond-mat.mtrl-sci physics.chem-ph",,"  We reconsider a number of measurements for the overall hydration kinetics of
tricalcium silicate pastes having an initial water to cement weight ratio close
to 0.5. We find that the time dependent ratio of hydrated and unhydrated silica
mole numbers can be well characterized by two power-laws in time, $x/(1-x)\sim
(t/t_x)^\psi$. For early times $t < t_x$ we find an `accelerated' hydration
($\psi = 5/2$) and for later times $t > t_x$ a `deaccelerated' behavior ($\psi
= 1/2$). The crossover time is estimated as $t_x \approx 16 hours$. We
interpret these results in terms of a global second order rate equation
indicating that (a) hydrates catalyse the hydration process for $t<t_x$, (b)
they inhibit further hydration for $t > t_x$ and (c) the value of the
associated second order rate constant is of magnitude 6x10^{-7} - 7x10^{-6}
liter mol^{-1} s^{-1}. We argue, by considering the hydration process actually
being furnished as a diffusion limited precipitation that the exponents $\psi =
5/2$ and $\psi = 1/2$ directly indicate a preferentially `plate' like hydrate
microstructure. This is essentially in agreement with experimental observations
of cellular hydrate microstructures for this class of materials.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 10:44:43 GMT""}]","2013-05-29"
"cond-mat/9612100","Alvaro Corral","Alvaro Corral and Albert Diaz-Guilera (Univ. of Barcelona)","Symmetries and Fixed Point Stability of Stochastic Differential
  Equations Modeling Self-Organized Criticality","19 pages, RevTex, includes 6 PostScript figures, Phys. Rev. E (March
  97?)",,"10.1103/PhysRevE.55.2434",,"cond-mat adap-org nlin.AO",,"  A stochastic nonlinear partial differential equation is built for two
different models exhibiting self-organized criticality, the Bak, Tang, and
Wiesenfeld (BTW) sandpile model and the Zhang's model. The dynamic
renormalization group (DRG) enables to compute the critical exponents. However,
the nontrivial stable fixed point of the DRG transformation is unreachable for
the original parameters of the models. We introduce an alternative
regularization of the step function involved in the threshold condition, which
breaks the symmetry of the BTW model. Although the symmetry properties of the
two models are different, it is shown that they both belong to the same
universality class. In this case the DRG procedure leads to a symmetric
behavior for both models, restoring the broken symmetry, and makes accessible
the nontrivial fixed point. This technique could also be applied to other
problems with threshold dynamics.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 12:18:59 GMT""}]","2009-10-28"
"cond-mat/9612101",,"C. Gros(Dortmund), W. Wenzel(Dortmund), A. Fledderjohann(Wuppertal),
  P. Lemmens(Aachen), M. Fischer(Aachen), G. G\""untherodt(Aachen), M.
  Weiden(Darmstadt), C. Geibel(Darmstadt), F. Steglich(Darmstadt)","Magnon-magnon interactions in the Spin-Peierls compound CuGeO_3","submitted to PRB, Phys. Rev. B, in press","Phys. Rev. B 55, 15048 (1997).","10.1103/PhysRevB.55.15048",,"cond-mat.str-el",,"  In a magnetic substance the gap in the Raman spectrum, Delta_R, is
approximatively twice the value of the neutron scattering gap, Delta_S, if the
the magnetic excitations (magnons) are only weakly interacting.
  But for CuGeO_3 the experimentally observed ratio Delta_R/Delta_S is
approximatively 1.49-1.78, indicating attractive magnon-magnon interactions in
the quasi-1D Spin-Peierls compound CuGe_3.
  We present numerical estimates for Delta_R/Delta_S from exact diagonalization
studies for finite chains and find agreement with experiment for intermediate
values of the frustration parameter alpha.
  An analysis of the numerical Raman intensity leads us to postulate a
continuum of two-magnon bound states in the Spin-Peierls phase. We discuss in
detail the numerical method used, the dependence of the results on the model
parameters and a novel matrix-element effect due to the dimerization of the
Raman-operator in the Spin-Peierls phase.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 13:10:59 GMT""}]","2009-10-28"
"cond-mat/9612102","Peter Swain","P.S. Swain and A.O. Parry","Two Parameters for Three Dimensional Wetting Transitions","4 pages RevTex, 2 encapsulated postscript figures, to appear in
  Europhys. Lett",,"10.1209/epl/i1997-00129-8",,"cond-mat.soft",,"  Critical effects at complete and critical wetting in three dimensions are
studied using a coupled effective Hamiltonian H[s(y),\ell]. The model is
constructed via a novel variational principle which ensures that the choice of
collective coordinate s(y) near the wall is optimal. We highlight the
importance of a new wetting parameter \Omega(T) which has a strong influence on
critical properties and allows the status of long-standing Monte-Carlo
simulation controversies to be re-examined.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 13:50:55 GMT""}]","2009-10-28"
"cond-mat/9612103","Bulbul Chakraborty","Lei Gu and Bulbul Chakraborty","Glassy Dynamics in a Model without Disorder: Spin Analog of a Structural
  Glass","6 pages, 4 figures",,,,"cond-mat.stat-mech cond-mat.dis-nn",,"  We have analyzed a non-randomly frustrated spin model which exhibits behavior
remarkably similar to the phenomenology of structural glasses. The
high-temperature disordered phase undergoes a strong first-order transition to
a long-range ordered structure. Using Monte Carlo simulations, we have studied
the behavior of the supercooled state by quenching to temperatures below this
transition temperature. For a range of supercooling, the system remains ergodic
and exhibits dynamics characteristic of supercooled liquids. Below a certain
characteristic temperature, however, the system freezes into a ""glassy"" phase.
In this phase, the system is non-ergodic and evolves through a distribution of
traps characterized by a power-law distribution of trapping times. This change
in the dynamic behavior is concurrent with the appearance of a shear
instability.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 14:34:22 GMT""}]","2008-02-03"
"cond-mat/9612104","Bulbul Chakraborty","K. R. Elder, Nicholas A. Gross, Bulbul Chakraborty, Nigel Goldenfeld","Kinetics of Modulated and Ordered Structures in CuAu","4 pages, 3 figures",,,,"cond-mat.mtrl-sci cond-mat.stat-mech",,"  A continuum model derived from an atomistic Hamiltonian is used to examine
the ordering kinetics in CuAu. A detailed description of the formation of the
low and high temperature ordered and modulated superlattice states is given.
The metastability of the modulated phase at low temperatures is shown to
severely hinder creation of the ordered superlattice. Formation of the
modulated superlattice is shown to results in interesting lamellar and
labyrinthine structures.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 14:57:01 GMT""}]","2008-02-03"
"dg-ga/9612011","Markus J. Pflaum","Markus J. Pflaum","The normal symbol on Riemannian manifolds","29 pages",,,,"dg-ga math.DG",,"  For an arbitrary Riemannian manifold $X$ and Hermitian vector bundles $E$ and
$F$ over $X$ we define the notion of the normal symbol of a pseudodifferential
operator $P$ from $E$ to $F$. The normal symbol of $P$ is a certain smooth
function from the cotangent bundle $T^*X$ to the homomorphism bundle $Hom
(E,F)$ and depends on the metric structures resp. the corresponding connections
on $X$, $E$ and $F$. It is shown that by a natural integral formula the
pseudodifferential operator $P$ can be recovered from its symbol. Thus, modulo
smoothing operators resp. smoothing symbols, we receive a linear bijective
correspondence between the space of symbols and the space of pseudodifferential
operators on $X$. This correspondence comprises a natural transformation
between appropriate functors. A formula for the asymptotic expansion of the
product symbol of two pseudodifferential operators in terms of the symbols of
its factors is given. Furthermore an expression for the symbol of the adjoint
is derived. Finally the question of invertibility of pseudodifferential
operators is considered. For that we use the normal symbol to establish a new
and general notion of elliptic pseudodifferential operators on manifolds.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 12:03:14 GMT""},{""version"":""v2"",""created"":""Sun, 13 Apr 1997 13:09:44 GMT""}]","2008-02-03"
"gr-qc/9612024","Stefano Liberati","F. Belgiorno and S. Liberati","Black Hole Thermodynamics, Casimir Effect and Induced Gravity","7 pages, RevTex","Gen.Rel.Grav. 29 (1997) 1181-1194","10.1023/A:1018895226085","SISSA-178/96/A","gr-qc hep-th",,"  An analogy between the subtraction procedure in the Gibbons-Hawking Euclidean
path integral approach to Horizon's Thermodynamics and the Casimir effect is
shown. Then a conjecture about a possible Casimir nature of the Gibbons-Hawking
subtraction is made in the framework of Sakharov's induced gravity. In this
framework it appears that the degrees of freedom involved in the
Bekenstein-Hawking entropy are naturally identified with zero--point modes of
the matter fields. Some consequences of this view are sketched.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 09:47:27 GMT""}]","2015-06-25"
"gr-qc/9612025","Asher Yahalom","Joseph Katz and Dorit Lerer","On Global Conservation Laws at Null Infinity",,"Class.Quant.Grav. 14 (1997) 2249-2266","10.1088/0264-9381/14/8/023",,"gr-qc",,"  The ``standard'' expressions for total energy, linear momentum and also
angular momentum of asymptotically flat Bondi metrics at null infinity are also
obtained from differential conservation laws on asymptotically flat
backgrounds, derived from a quadratic Lagrangian density by methods currently
used in classical field theory. It is thus a matter of taste and commodity to
use or not to use a reference spacetime in defining these globally conserved
quantities. Backgrounds lead to N\oe ther conserved currents; the use of
backgrounds is in line with classical views on conservation laws. Moreover, the
conserved quantities are in principle explicitly related to the sources of
gravity through Einstein's equations, while standard definitions are not. The
relations depend, however, on a rule for mapping spacetimes on backgrounds.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 13:44:02 GMT""}]","2009-10-28"
"hep-ex/9612006","John Womersley","The US-ATLAS and US-CMS Collaborations, edited by Ian Hinchliffe
  (Berkeley Lab) and John Womersley (Fermilab)","High Transverse Momentum Physics at the Large Hadron Collider","24pp, LaTeX; to appear in the Proceedings of the 1996 DPF/DPB Summer
  Study on New Directions for High Energy Physics (Snowmass 96)","ECONF C960625:OPS012,1996",,"LBL-38997, FERMILAB-Conf-96/432","hep-ex hep-ph",,"  This note summarizes the various physics studies done for the LHC. It
concentrates on the processes involving the production of high mass states.
Results are drawn from simulations performed by the CMS and ATLAS
collaborations. The ability of the LHC to provide insight into the mechanism of
electroweak symmetry breaking is exemplified.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 22:07:03 GMT""}]","2014-11-17"
"hep-ex/9612007","Philip Burrows","P.N. Burrows (MIT)","Review of alpha-s Measurements","28 pages including 1 figure, in PS format; to appear in proceedings
  of CRAD96","Acta Phys.Polon.B28:701-723,1997",,"SLAC-PUB-7293","hep-ex",,"  Determinations of alpha_s are reviewed. Current results are limited to a
precision of around 3-20%, largely by theoretical uncertainties. All
measurements are consistent with a `world average' value of 0.118 +- 0.005 and
there is no evodence of any discrepancy between `low-Q^2' and `high-Q^2'
results.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 00:51:13 GMT""}]","2011-07-19"
"hep-ex/9612008","Philip Burrows","P.N. Burrows (MIT)","Determination of alpha_s(M_Z^2) from hadronic event shape observables in
  e+e- annihilation","9 pages and 2 figures in eps format. tar-ed, gzip-ed and uuencode-ed.
  To appear in proceedings ICHEP96.",,,"SLAC-PUB-7328","hep-ex",,"  The determination of alpha_s(M_Z^2) using O(alpha_s^2) calculations of
hadronic event observables in e+e- annihilation is reviewed. The large scatter
among alpha_s(M_Z^2) values determined from different observables may be
interpreted as arising from the effect of uncalculated higher-order
contributions. The application of `optimised' perturbation theory and Pade
approximants in an attempt to reduce this effect is discussed.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 01:08:08 GMT""}]","2007-05-23"
"hep-ph/9612312","Alexander V. Kuznetsov","A.V. Kuznetsov, N.V. Mikheev","The neutrino energy and momentum loss through the process $\nu \to \nu
  e^- e^+$ in a strong magnetic field","8 pages, LATEX, submitted to Physics Letters B","Phys.Lett.B394:123-126,1997","10.1016/S0370-2693(96)01682-6","YARU-HE-96/05","hep-ph astro-ph",,"  A process of the electron--positron pair production by neutrino propagating
in a strong magnetic field is investigated in the framework of the Standard
Model. The process probability and the mean values of the neutrino energy and
momentum loss are calculated. Possible astrophysical manifestations of the
process considered are briefly analysed.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 18:21:04 GMT""}]","2014-11-17"
"hep-ph/9612313","Mikolaj Misiak","Konstantin Chetyrkin, Mikolaj Misiak and Manfred Munz","Weak Radiative B-Meson Decay Beyond Leading Logarithms","Formulae for f_88(delta), f_78(delta), f_12(delta) and the first
  equation in Appendix B corrected","Phys.Lett.B400:206-219,1997; Erratum-ibid.B425:414,1998","10.1016/S0370-2693(97)00324-9",,"hep-ph",,"  We present our results for three-loop anomalous dimensions necessary in
analyzing $B{\to}X_s\gamma$ decay at the next-to-leading order in QCD. We
combine them with other recently calculated contributions, obtaining a
practically complete next-to-leading order prediction for the branching ratio
${\cal B}(B{\to}X_s\gamma) = (3.28 \pm 0.33) \times 10^{-4}$. The uncertainty
is more than twice smaller than in the previously available leading order
theoretical result. The Standard Model prediction remains in agreement with the
CLEO measurement at the $2 \sigma$ level.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 18:47:27 GMT""},{""version"":""v2"",""created"":""Tue, 14 Jan 1997 12:47:43 GMT""},{""version"":""v3"",""created"":""Fri, 20 Feb 1998 14:47:43 GMT""}]","2011-08-01"
"hep-ph/9612314","Per Osland","P. Osland (Bergen), A. A. Pankov (Bergen and Gomel)","Z' interference effects from TRISTAN to LEP2","LaTeX, 12 pages + 8 figures","Phys.Lett. B403 (1997) 93-100","10.1016/S0370-2693(97)00488-7","University of Bergen Scientific/Technical Report No. 1996-14","hep-ph",,"  We discuss the potential of present e^+e^- colliders to probe for a heavy Z^'
boson via its interference effects, in a model-independent framework. The
leptonic channel is unambiguous, and thus favourable over the hadronic ones.
The effect on the leptonic cross section $\sigma_{\mu\mu}$, induced by a heavy
Z^' with arbitrary couplings, is uniquely determined at LEP2 energies. It
results in a negative deviation from the standard model prediction, due to
destructive $\gamma-Z'$ and Z-Z' interferences. At TRISTAN energies the former
dominates and is given by the vector coupling of the Z^'. Around the Z peak,
the Z-Z' interference dominates and depends on the axial-vector coupling. The
forward-backward asymmetry is complementary to $\sigma_{\mu\mu}$ in the Z^'
search. Comparison of the e^+e^- potentials indicates that already after one
year of operation, LEP2 will achieve a sensitivity to Z^' that exceeds the
current one at TRISTAN.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 19:33:55 GMT""}]","2009-10-30"
"hep-ph/9612315","Ivan Mellow","Pat Kalyniak and Ivan Melo","Single Neutral Heavy Lepton Production at e^+e^- and \mu^+ \mu^-
  Colliders","Submitted to Snowmass 96, 4 pages, LaTeX2e, 3 figures (eps)","ECONF C960625:NEW150,1996",,"OCIP/C-96-4","hep-ph",,"  Many extensions of the Standard Model include extra fermions. We here
consider a model containing Dirac neutral heavy leptons in addition to massless
neutrinos. These neutral heavy leptons can be produced singly along with a
massless neutrino in $e^+ e^-$ and $\mu^+ \mu^-$ collisions. The production
rates depend on the neutral heavy lepton masses and mixing parameters. We here
consider the rates for this process and potential signatures for the machine
energies and luminosities suggested for the Snowmass study.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 20:28:01 GMT""}]","2011-04-15"
"hep-ph/9612316","Xuemin Jin","Xuemin Jin and R. L. Jaffe","Weak Hyperon Production in ep Scattering","ReVTeX, 9 pages, one figure embedded","Phys. Rev. D 55, 5636 (1997)","10.1103/PhysRevD.55.5636","MIT-CTP-2594","hep-ph nucl-th",,"  We study the kinematics and cross section of the scattering process $e p
\rightarrow e \Sigma^+$. The cross section is expressed in terms of complex
form factors characterizing the hadron vertices. We estimate the cross section
for small momentum transfer using known experimental information. To first
order in the momentum transfer, we obtain a model independent result for the
photon-exchange part of the cross section, which is completely determined by
the decay width $\Gamma(\Sigma^+ \rightarrow p\gamma)$. For the kinematics of
the parity violation experiment at MAMI, this first order result gives rise to
a ratio of $(d\sigma/d\Omega)_{ep\rightarrow e\Sigma^+}$
$/(d\sigma/d\Omega)_{ep\rightarrow ep} \simeq 4.0\times 10^{-15}$. The
$Z^0$-exchange and interference parts give much smaller contributions due to
the suppression of the flavor changing weak neutral current in the standard
model. Feasibility of the experimental measurement is briefly discussed.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 20:18:20 GMT""}]","2016-08-24"
"hep-ph/9612317","Rudy Hwa","Rudolph C. Hwa","Summary of the Nijmegen Workshop on Multiparticle Production","18 pages in ps file including 6 figures. To appear in ""Correlations
  and Fluctuations"", Proceedings of the Nijmegen Workshop, July 1996 (World
  Scientific, Singapore)",,,"OITS-615","hep-ph nucl-th",,"  This is the summary talk of the Nijmegen Workshop. The topics are: 1.
Introduction, 2. Phenomenology of mature topics, 2.1 Bose-Einstein
correlations, 2.2 Fluctuations, 2.3 Phenomenology of QCD and other dynamics, 3.
Experiments not driven by conventional theory, 3.1 Search for DCC, 3.2
Soft-photon production, 4. Theory not driven by conventional experiments, 4.1
Criticality, 4.2 Erraticity and chaos, 5. Other comments.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 21:05:42 GMT""}]","2007-05-23"
"hep-ph/9612318","Johannes Bluemlein","J. Bl\""umlein and N. Kochelev","On the Twist 2 and Twist 3 Contributions to the Spin-dependent
  Electroweak Structure Functions","24 pages plain Latex, some typographical errors corrected","Nucl.Phys.B498:285-309,1997","10.1016/S0550-3213(97)00234-4","DESY 96--175","hep-ph",,"  The twist 2 and twist 3 contributions of the polarized deep-inelastic
structure functions are calculated both for neutral and charged current
interactions using the operator product expansion in lowest order in QCD. The
relations between the different structure functions are determined. New
integral relations are derived between the twist 2 contributions of the
structure functions $g_3(x,Q^2)$ and $g_5(x,Q^2)$ and between combinations of
the twist 3 contributions to the structure functions $g_2(x,Q^2)$ and
$g_3(x,Q^2)$. The sum rules for polarized deep inelastic scattering are
discussed in detail.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 21:30:29 GMT""},{""version"":""v2"",""created"":""Sun, 15 Dec 1996 19:37:08 GMT""}]","2008-11-26"
"hep-ph/9612319","Anatoli Kotikov","A.V.Kotikov and D.V.Peshekhonov (JINR, Dubna)","The $Q^2$ dependence of the measured asymmetry $A_1$: the test of the
  Bjorken sum rule","LaTeX, 5 pages, no figures, to be published in JETP Letters","JETP Lett. 65 (1997) 7-12","10.1134/1.567322",,"hep-ph",,"  We analyse the proton and deutron data on spin dependent asymmetry
$A_1(x,Q^2)$ supposing the DIS structure functions $g_1(x,Q^2)$ and
$F_3(x,Q^2)$ have the similar $Q^2$-dependence. As a result, we have obtained
that $\Gamma_1^p - \Gamma_1^n = 0.190 \pm 0.038$ at $Q^2= 10 GeV^2$ and
$\Gamma_1^p - \Gamma_1^n = 0.165 \pm 0.026$ at $Q^2= 3 GeV^2$, what is in the
best agreement with the Bjorken sum rule predictions.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 22:08:04 GMT""}]","2009-10-30"
"hep-ph/9612320",,"D. Rainwater, D. Summers, D. Zeppenfeld","Multijet Structure of High E_T Hadronic Collisions","11 pages, RevTeX, Postscript version also available at
  http://phenom.physics.wisc.edu/pub/preprints/1996/madph-96-978.ps.Z or at
  ftp://phenom.physics.wisc.edu/pub/preprints/1996/madph-96-978.ps.Z","Phys.Rev.D55:5681-5684,1997","10.1103/PhysRevD.55.5681","MADPH-96-978, CERN-TH/96-334","hep-ph",,"  Multijet events at large transverse energy (sum E_T > 420 GeV) and large
multijet invariant mass (M_jets > 600 GeV) have been studied by the CDF
Collaboration at the Fermilab Tevatron. The observed jet multiplicity
distribution can be understood in a QCD inspired exponentiation model, in
regions of phase space which require going beyond fixed order perturbation
theory.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 23:59:30 GMT""}]","2014-11-17"
"hep-ph/9612321","A. Kundu","Ambar Ghosal, Anirban Kundu and Biswarup Mukhopadhyaya","Probing Gauge-Mediated Supersymmetry Breaking Through Polarized Electron
  Beams in an $e^+e^-$ Collider","Plain LaTeX file, with four postscript figures added","Phys.Rev. D56 (1997) 504-507","10.1103/PhysRevD.56.504","MRI-PHY/96-36","hep-ph",,"  Using the facts that in Gauge-Mediated Supersymmetry Breaking schemes, masses
of the right and the left sfermions can differ widely, and the gravitino is the
Lightest Supersymmetric Particle, we show that it is possible to obtain
unambiguous signatures of such schemes in a high energy $e^+e^-$ collider if
one looks at the asymmetries in the cross-sections for certain final states
with left-and right-polarized beams.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 07:52:06 GMT""}]","2009-10-30"
"hep-ph/9612322","Yoshio Koide","Yoshio Koide and Hideo Fusaoka","Analytical Expressions of Masses and Mixings in a Democratic Seesaw Mass
  Matrix Model","27 pages, Latex, three PostScript figures","Prog.Theor.Phys.97:459-478,1997","10.1143/PTP.97.459","US-96-10, AMU-96-11","hep-ph",,"  On the basis of a seesaw-type mass matrix model $M_f\simeq m_L M_F^{-1} m_R$
for quarks and leptons $f$, analytical expressions of the masses and mixings of
the fermions $f$ are investigated. Here, the matrices $m_L$ and $m_R$ are
common to all $f$ (up- and down-; quarks and leptons), and the matrix $M_F$
characterizing the heavy fermion sector has the form [(unit matrix)+
(democratic-type matrix)]. An application to the quark sectors is discussed.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 09:52:22 GMT""}]","2014-11-17"
"hep-ph/9612323","Oleg Kalashnikov","O.K. Kalashnikov","Fermi Excitations in Hot and Dense Quark-Gluon Plasma","14 pages, latex, no figures","Mod.Phys.Lett. A12 (1997) 347-356","10.1142/S0217732397000352","BI-TP 96/55 (November 1996)","hep-ph",,"  The Fermi excitations in hot and dense quark-gluon plasma are studied in the
Feynman gauge using the temperature Green function technique. We find the four
well-separated branches for the case $m=0$ and establish the additional
splitting between them (the four different masses) when $m\ne 0$. The long
wavelength limit of these excitations is found in the general case of the
massive fermions at finite temperature and densities to give the exact one-loop
spectrum. Simultaneously the many known results are reproduces as its different
limits.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 12:21:07 GMT""}]","2015-06-25"
"hep-ph/9612324","Jose Luis Cortes","Mario Atance, Jose Luis Cortes","Effective Scalar Field Theory and Reduction of Couplings","33 pages, latex file, no figures, 33 pages. Minor changes. Final
  version appeared in Physical Review D","Phys. Rev. D56 (1997) 3611-3622","10.1103/PhysRevD.56.3611",,"hep-ph hep-lat hep-th",,"  A general discussion of the renormalization of the quantum theory of a scalar
field as an effective field theory is presented. The renormalization group
equations in a mass-independent renormalization scheme allow us to identify the
possibility to go beyond the renormalizable $\phi^{4}$ theory without losing
its predictive power. It is shown that there is a minimal extension with just
one additional free parameter (the mass scale of the effective theory
expansion) and some of its properties are discussed.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 15:23:20 GMT""},{""version"":""v2"",""created"":""Wed, 22 Oct 1997 17:00:12 GMT""}]","2009-10-30"
"hep-ph/9612328","Res Urech","Robert Baur and Res Urech","Resonance Contributions to the Electromagnetic Low Energy Constants of
  Chiral Perturbation Theory","LaTex (uses epsfig.sty), 35 pages including 3 Postscript figures. The
  complete paper is also available via anonymous ftp at
  ftp://www-ttp.physik.uni-karlsruhe.de/ , or via www at
  http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/ ; slightly enlarged
  version. Accepted for publication in Nucl. Phys. B","Nucl.Phys. B499 (1997) 319-348","10.1016/S0550-3213(97)00348-9","ZU-TH 30/96, TTP96--54","hep-ph",,"  The effective chiral Lagrangian of the strong and electromagnetic
interactions of the pseudoscalar mesons at low energies depends on a set of low
energy constants. We determine the contributions to the electromagnetic
coupling constants at order $O(e^2 p^2)$, which arise from resonances within a
photon loop. We give some implications of our results, in particular we discuss
in detail the effects on the corrections to Dashen's theorem.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 09:57:56 GMT""},{""version"":""v2"",""created"":""Mon, 16 Jun 1997 10:17:04 GMT""}]","2009-10-30"
"hep-th/9612102","Emil Martinec","D. Kutasov and E. Martinec","M-branes and N=2 Strings","49 pages, harvmac; 1 figure (uses epsf.tex). References added","Class.Quant.Grav. 14 (1997) 2483-2516","10.1088/0264-9381/14/9/008","EFI-96-47, WIS/96/46/Dec-Ph","hep-th",,"  The string field theory of N=(2,1) heterotic strings describes a set of
self-dual Yang-Mills fields coupled to self-dual gravity in 2+2 dimensions. We
show that the exact classical action for this field theory is a certain
complexification of the Green-Schwarz/Dirac-Born-Infeld string action, closely
related to the four dimensional Wess-Zumino action describing self-dual gauge
fields. This action describes the world-volume of a 2+2d ``M-brane'', which
gives rise upon different null reductions to critical strings and membranes. We
discuss a number of further properties of N=2 heterotic strings, such as the
geometry of null reduction, general features of a covariant formulation, and
possible relations to BPS and GKM algebras.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 20:30:13 GMT""},{""version"":""v2"",""created"":""Fri, 24 Jan 1997 21:21:05 GMT""}]","2009-10-30"
