"adap-org/9606002","Kunihiko Kaneko","Kunihiko Kaneko (Univ. of Tokyo,Komaba) and Tetsuya Yomo(Osaka Univ.)","Isologous Diversification: A Theory of Cell Differentiation","LatexText,figures are not included.Bull.Math.Biol., in press",,,,"adap-org nlin.AO q-bio",,"  Isologous diversification theory for cell differentiation is proposed, based
on simulations of interacting cells with biochemical networks and cell division
process following consumption of some chemicals. According to the simulations
of the interaction-based dynamical systems model, the following scenario of the
cell differentiation is proposed. (1) Up to some threshold number, divisions
bring about almost identical cells with synchronized biochemical oscillations.
(2)As the number is increased the oscillations lose the synchrony, leading to
groups of cells with different phases of oscillations. (3)Amplitudes of
oscillation and averaged chemical compositions start to differ by groups of
cells. The differentiated behavior of states is transmitted to daughter cells.
(4)Recursivity is formed so that the daughter cells keep the identical chemical
character. This ``memory"" is made possible through the transfer of initial
conditions. (5) Successive differentiation proceeds. Mechanism of tumor cell
formation, origin of stem cells, anomalous differentiation by transplantations,
apoptosis and other features of cell differentiation process are also
discussed, with some novel predictions. (Keywords: differentiation, chemical
network, cell division, clustering, open chaos)
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 11:52:34 GMT""}]","2008-02-03"
"gr-qc/9606060","Piotr Bizon","Piotr Bizo\'n","How to Make a Tiny Black Hole?","11 pages, RevTex, 1 figure in postscript","Acta Cosmologica 22 (1996) 81",,,"gr-qc hep-th",,"  This is a brief review of critical phenomena in gravitational collapse. The
conceptual issues are emphasized and some directions for future research are
suggested. The paper is not addressed to the experts in the field -- for them
little will be new. It is rather meant to introduce others into one of the most
rapidly developing areas of research in general relativity with the hope of
attracting them into the subject.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 18:18:58 GMT""}]","2007-05-23"
"gr-qc/9606061","Jorge Pullin","Jorge Pullin","Canonical quantum gravity with new variables and loops: a report","7 pages, RevTeX, 3 figures included with psfig","""Gravitation and Cosmology"" S. Dhurandhar, T. Padmandabhan (eds),
  Kluwer, Amsterdam (1997), p 199.","10.1007/978-94-011-5812-1_14","CGPG-96/6-5","gr-qc",,"  This is a brief and updated summary of a talk given at the International
Conference on Gravitation and Cosmology that took place in Poona in December
1995. It is very brief and is mostly intended as a guide to current literature,
or to keep people updated only in very broad terms on the latest developments
in the subject.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 20:45:25 GMT""}]","2022-03-09"
"gr-qc/9606062","Jon Bell","J F Bell and T Damour","A new test of conservation laws and Lorentz invariance in relativistic
  gravity","Submitted to Classical Quantum Gravity, LaTeX, requires ioplppt.sty,
  no figures","Class.Quant.Grav. 13 (1996) 3121-3128","10.1088/0264-9381/13/12/003","IHES/P/96/36","gr-qc astro-ph",,"  General relativity predicts that energy and momentum conservation laws hold
and that preferred frames do not exist. The parametrised post-Newtonian
formalism (PPN) phenomenologically quantifies possible deviations from general
relativity. The PPN parameter alpha_3 (which identically vanishes in general
relativity) plays a dual role in that it is associated both with a violation of
the momentum conservation law, and with the existence of a preferred frame. By
considering the effects of alpha_3 neq 0 in certain binary pulsar systems, it
is shown that alpha_3 < 2.2 x 10^-20 (90% CL). This limit improves on previous
results by several orders of magnitude, and shows that pulsar tests of alpha_3
rank (together with Hughes-Drever-type tests of local Lorentz invariance) among
the most precise null experiments of physics.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 09:24:08 GMT""}]","2009-10-28"
"hep-ph/9606382",,"Chong Sheng Li, Jin Min Yang, Yun-lun Zhu and Hong Yi ZhU","Yukawa corrections to top pair production in photon-photon collision","20 pages, 7 figures, This is the first one of a series of works and
  was submitted to Phys.Rev.D in Janury, 1996","Phys.Rev. D54 (1996) 4662-4676","10.1103/PhysRevD.54.4662","PKU-TH-96-2","hep-ph",,"  The $O(\alpha m_t^2/m_W^2)$ Yukawa corrections to top pair production in
photon-photon collision are calculated in the standard model (SM), the general
two-Higgs-doublet model (2HDM) as well as the minimal supersymmetric model
(MSSM). We found that the correction to the cross section can only reach a few
percent in the SM, but can be quite significant ($>$10\%) in the 2HDM and MSSM
for favorable parameter values, which may be observable at the high energy
$e^+e^-$ colliders.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 17:39:21 GMT""}]","2009-10-28"
"hep-ph/9606383","Emilian Dudas","E. Dudas, C. Grojean, S. Pokorski and C.A. Savoy","Abelian Flavour Symmetries in Supersymmetric Models","30 pages, LaTeX, no figures","Nucl.Phys.B481:85-108,1996","10.1016/S0550-3213(96)90123-6","Saclay T96/065","hep-ph",,"  We propose a theory of flavour based on abelian horizontal gauge symmetries
and modular invariances. We construct explicit supergravity models where the
scale of the horizontal $U(1)$ symmetry breaking is fixed by the Green-Schwarz
mechanism for anomaly cancellation. The supersymmetric spectrum is obtained in
terms of the $U(1)$ charges which are determined by the Yukawa matrices.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 20:16:28 GMT""}]","2008-11-26"
"hep-ph/9606384","Kaladi Babu","K.S. Babu (Princeton, Institute for Advanced Study) and S.M. Barr
  (Bartol Research Institute, Delaware)","Gauged SO(3) family symmetry and squark mass degeneracy","21 pages in LaTeX, no figures","Phys.Lett.B387:87-98,1996","10.1016/0370-2693(96)01002-7","IASSNS-HEP-96/63, BA-96-23","hep-ph",,"  It is shown that a gauged SO(3) family symmetry can suppress flavor-changing
processes from squark-mass non-degeneracy to an acceptable level. The
potentially dangerous SO(3) D-terms can be rendered harmless if the
CP-violating phases appearing in the SO(3)-breaking sector are small, which can
naturally be the case if CP is a spontaneously broken symmetry. This approach
has certain advantages over models based on global or non-abelian discrete
symmetries, and dovetails with some recent proposals for explaining the pattern
of quark and lepton masses. Moreover this approach relates the near-degeneracy
of the squark masses to an approximate CP invariance which can also explain the
smallness of the electron and neutron electric dipole moments.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 21:45:51 GMT""}]","2011-05-12"
"hep-ph/9606385",,"Chong Sheng Li, Robert J. Oakes and Jin Min Yang","One-loop QCD Corrections to Top Quark Decay into a Neutralino and Light
  Stop","13 pages, 5 figures, revised version(using dimensional reduction
  technique, the corrections have been recalculated)","Phys.Rev. D54 (1996) 6883-6889","10.1103/PhysRevD.54.6883","NUHEP-TH-96-3","hep-ph",,"  We calculate the one-loop QCD corrections to $t\rightarrow \tilde t_1 \tilde
\chi^0_j$ using dimensional reduction scheme, including QCD and supersymmetric
QCD corrections. The analytic expressions for the corrections to the decay
width are given, which can easily be extended to $t\rightarrow \tilde \chi^+_j
\tilde b_i $. The numerical results show that the correction amounts to more
than a 10\% reduction in the partial width relative to the tree level result.
We also compare the corrections in the no-mixing stop case with those in the
mixing stop case.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 22:58:56 GMT""},{""version"":""v2"",""created"":""Thu, 20 Jun 1996 22:49:15 GMT""},{""version"":""v3"",""created"":""Mon, 8 Jul 1996 19:16:00 GMT""}]","2009-10-28"
"hep-ph/9606387","David H. Lyth","David H. Lyth (Lancaster)","What would we learn by detecting a gravitational wave signal in the
  cosmic microwave background anisotropy?","3 pages","Phys.Rev.Lett. 78 (1997) 1861-1863","10.1103/PhysRevLett.78.1861","LANCASTER-TH/9612","hep-ph astro-ph gr-qc hep-th",,"  Inflation generates gravitational waves, which may be observable in the low
multipoles of the cosmic microwave background (cmb) anisotropy but only if the
inflaton field variation is at least of order the Planck scale. Such a large
variation would imply that the model of inflation cannot be part of an ordinary
extension of the standard model, and combined with the detection of the waves
it would also suggest that the inflaton field cannot be one of the superstring
moduli. Another implication of observable gravitational waves would be a
potential $V^{1/4}=2$ to $4\times 10^{16}\GeV$, which is orders of magnitude
bigger than is expected on the basis of particle theory. It might emerge in a
hybrid inflation model where most of the energy density comes from the Higgs
sector of a GUT, but only if both the vacuum expectation values {\em and the
masses } of the Higgs fields are of this order.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 08:42:26 GMT""}]","2009-10-28"
"hep-ph/9606389","Andreas Schaefer","Bo-Qiang Ma (IHEP, Beijing), Andreas Schafer (Frankfurt Univ./Main)","Parton Sum Rules and Improved Scaling Variable","latex, with 1 postscript figure, to be published in Phys.Lett.B","Phys.Lett. B378 (1996) 307-312; Erratum-ibid. B380 (1996) 495","10.1016/0370-2693(96)00392-9",,"hep-ph",,"  The effect from quark masses and transversal motion on the Gottfried,
Bjorken, and Ellis-Jaffe sum rules is examined by using a quark-parton model of
nucleon structure functions based on an improved scaling variable. Its use
results in corrections to the Gottfried, Bjorken, and Ellis-Jaffe sum rules. We
use the Brodsky-Huang-Lepage prescription of light-cone wavefunctions to
estimate the size of the corrections. We constrain our choice of parameters by
the roughly known higher twist corrections to the Bjorken sum rule and find
that the resulting corrections to the Gottfried and Ellis-Jaffe sum rules are
relevant, though not large enough to explain the observed sum rule violations.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 11:46:35 GMT""}]","2009-10-28"
"hep-ph/9606390","Jan Czyzewski","Jan Czyzewski (Institute of Physics, Jagellonian Universtiy, Krakow,
  Poland)","Single spin asymmetry of vector meson production in the string model","LaTeX, 8 pages, 3 post-script figures. Dedicated to Professor Andrzej
  Bialas in honour of his 60th birthday, to be published in Acta Physica
  Polonica","Acta Phys.Polon.27:1759-1766,1996",,"TPJU 11/96","hep-ph",,"  Azimuthal asymmetry of vector-meson production in single-transversely
polarized proton-proton collisions ($p\up p$) is calculated in a model based on
the string fragmentation. The string is spanned by a valence quark of the
projectile scattered on the target. The asymmetry is generated only during
fragmentation of the scattered quark into hadrons. The obtained asymmetry of
the $\rho$ mesons is opposite in sign to that of pions. On the other hand, if
the asymmetry were generated during the quark scattering then the asymmetries
of the vector and of the pseudoscalar mesons would be close to each other.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 12:09:31 GMT""}]","2011-07-19"
"hep-ph/9606391","Paolo Gambino","Frank Cuypers (PSI, Villigen), Paolo Gambino (MPI, Munich)","Polarization and Weak Mixing Angle in High Energy e^\pm e^- Collisions","17 pages, LaTeX, 6 figures and all style files included; minor
  changes, few refs. added, to appear in Phys. Lett. B","Phys.Lett. B388 (1996) 211-218","10.1016/0370-2693(96)01146-X","PSI-PR-96-16 and MPI-PhT/96-49","hep-ph",,"  At a linear collider of the next generation the large event rates expected
from Bhabha and M\o ller scattering may be used to determine simultaneously
sin^2\theta_w and the polarization of both beams with very high accuracy. These
measurements can be performed in parallel to the other tasks of the linear
collider as a free by-product. A high degree of polarization and a good polar
angle coverage of the detectors turn out to be major assets.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 11:52:42 GMT""},{""version"":""v2"",""created"":""Mon, 2 Sep 1996 13:24:28 GMT""}]","2009-10-28"
"hep-ph/9606393","Bernd Krause","Andrzej Czarnecki and Bernd Krause","Electroweak corrections to the muon anomalous magnetic moment","Latex, uses espcrc2. Talk presented at the 1996 Zeuthen Workshop on
  Elementary Particle Theory, ""QCD and QED in Higher Order"", Rheinsberg,
  Germany, April 21-26, 1996. The complete paper, including figures, is also
  available via anonymous ftp at ftp://www-ttp.physik.uni-karlsruhe.de/ , or
  via www at http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/","Nucl.Phys.Proc.Suppl. 51C (1996) 148-153",,"TTP96-21","hep-ph",,"  The two-loop electroweak radiative corrections to the muon's anomalous
magnetic moment, $a_\mu\equiv (g_\mu-2)/2$, are presented. We obtain an overall
22.6\% reduction in the electroweak contribution $a_\mu^{\rm EW}$ from
$195\times 10^{-11}$ to $151(4)\times 10^{-11}$. Implications for the full
standard model prediction and an upcoming high precision measurement of $a_\mu$
are briefly discussed. Some aspects of the calculations are discussed in
detail.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 15:54:05 GMT""}]","2007-05-23"
"hep-ph/9606394","N. Arbex","N.Arbex, U.Ornik, M.Pluemer and R.Weiner","Probing the equation of state in the AGS energy range with 3-d
  hydrodynamics","25 pages (.tex) and 9 figures (.ps)","Phys.Rev.C55:860-873,1997","10.1103/PhysRevC.55.860",,"hep-ph",,"  The effect of (i) the phase transition between a quark gluon plasma (QGP) and
a hadron gas and (ii) the number of resonance degrees of freedom in the
hadronic phase on the single inclusive distributions of 16 different types of
produced hadrons for Au+Au collisions at AGS energies is studied.
  We have used an exact numerical solution of the relativistic hydrodynamical
equations without free parameters which, because of its 3-d character,
constitutes a considerable improvement over the classical Landau solution.
  Using two different equations of state (eos) - one containing a phase
transition from QGP to the Hadronic Phase and two versions of a purely hadronic
eos - we find that the first one gives an overall better description of the
Au+Au experimental data at $AGS$ energies.
  We reproduce and analyse measured meson and proton spectra and also make
predictions for anti-protons, deltas, anti-deltas and hyperons. The low m_t
enhancement in pi- spectra is explained by baryon number conservation and
strangeness equilibration.
  We also find that negative kaon data are more sensitive to the eos, as well
as the K-/pi- ratio. All hyperons and deltas are sensitive to the presence of a
phase transition in the forward rapidity region. Anti-protons, Omegas and heavy
anti-baryons are sensitive in the whole rapidity range.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 15:30:20 GMT""}]","2008-11-26"
"hep-th/9606117","Konstantin L. Zarembo","G.W. Semenoff, K. Zarembo","Adjoint non-Abelian Coulomb gas at large N","21 pages, LaTex","Nucl.Phys. B480 (1996) 317-340","10.1016/S0550-3213(96)00471-3","SMI-96-4","hep-th",,"  The non-Abelian analog of the classical Coulomb gas is discussed. The
statistical mechanics of arrays of classical particles which transform under
various representations of a non-Abelian gauge group and which interact through
non-Abelian electric fields are considered. The problem is formulated on the
lattice and, for the case of adjoint charges, it is solved in the large N
limit. The explicit solution exhibits a first order confinement-de-confinement
phase transition with computable properties. In one dimension, the solution has
a continuum limit which describes 1+1-dimensional quantum chromodynamics (QCD)
with heavy adjoint matter.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 17:23:14 GMT""}]","2009-10-30"
"hep-th/9606119",":","G. Veneziano","String cosmology and relic gravitational radiaton","16 pages, LATEX, five figure included using epsf, appended as ps
  file. A complete collection of papers and references on the pre-big-bang
  scenario in string cosmology is available at
  http://www.to.infn.it/teorici/gasperini/",,,"CERN-TH/96-139","hep-th",,"  String theory counterparts to Einstein's gravity, cosmology and inflation are
described. A very tight upper bound on the Cosmic Gravitational Radiation
Background (CGRB) of standard inflation is shown to be evaded in string
cosmology, while an interesting signal in the phenomenologically interesting
frequency range is all but excluded. The generic features of such a stringy
CGRB are presented.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 16:09:06 GMT""}]","2007-05-23"
"hep-th/9606120","Pio Arias","Pio J. Arias and Lorenzo Leal","Topological Sectors and Gauge invariance in massive Vector-Tensor
  Theories in D >=4","15 pages in LaTeX. This is a revised version. The BRST invariant
  covariant effective action and partition function for the 3+1 BF theory are
  explicity calculated, static solutions for special sources of the Proca and
  TM model are included and compared, some references added","Phys.Lett.B404:49-56,1997","10.1016/S0370-2693(97)00518-2","UCVFC-DF/5-96, CAT/96-03","hep-th",,"  A family of locally equivalent models is considered. They can be taken as a
generalization to $d+1$ dimensions of the Topological Massive and ``Self-dual''
models in 2+1 dimensions. The corresponding 3+1 models are analized in detail.
It is shown that one model can be seen as a gauge fixed version of the other,
and their space of classical solutions differs in a topological sector
represented by the classical solutions of a pure BF model. The topological
sector can be gauged out on cohomologically trivial base manifolds but on
general settings it may be responsible of the difference in the long distance
behaviour of the models. The presence of this topological sector appears
explicitly in the partition function of the theories. The generalization of
this models to higher dimensions is shown to be straightfoward.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 19:40:51 GMT""},{""version"":""v2"",""created"":""Wed, 19 Mar 1997 16:02:47 GMT""}]","2014-11-18"
"hep-th/9606121","Pio Arias","Jaime Camacaro, Rolando Gait\'an and Lorenzo Leal","A Geometric Representation for the Proca Model","10 pages, Latex","Mod.Phys.Lett. A12 (1997) 3081-3086","10.1142/S0217732397003198","UCVFC-DF/9-96","hep-th",,"  The Proca model is quantized in an open-path dependent representation that
generalizes the Loop Representation of gauge theories. The starting point is a
gauge invariant Lagrangian that reduces to the Proca Lagrangian when certain
gauge is selected.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 19:50:22 GMT""}]","2009-10-30"
"hep-th/9606122","Savdeep Sethi","S. Sethi, C. Vafa and E. Witten","Constraints on Low-Dimensional String Compactifications","16 pages, harvmac","Nucl.Phys.B480:213-224,1996","10.1016/S0550-3213(96)00483-X","HUTP-96/A025, IASSNS 96/60","hep-th",,"  We study the restrictions imposed by cancellation of the tadpoles for two,
three, and four-form gauge fields in string theory, M-theory and F-theory
compactified to two, three and four dimensions, respectively. For a large class
of supersymmetric vacua, turning on a sufficient number of strings, membranes
and three-branes, respectively, can cancel the tadpoles, and preserve
supersymmetry. However, there are cases where the tadpole cannot be removed in
this way, either because the tadpole is fractional, or because of its sign. For
M-theory and F-theory compactifications, we also explore the relation of the
membranes and three-branes to the nonperturbative space-time superpotential.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 20:56:29 GMT""}]","2010-04-07"
"hep-th/9606123","Nobuyuki Ishibashi","Nobuyuki Ishibashi and Hikaru Kawai (KEK Theory Group)","Soliton Solutions in Noncritical String Field Theory?","14 pages, RevTex",,,"KEK-TH-487","hep-th",,"  We look for soliton solutions in $c=0$ noncritical string field theory
constructed by the authors and collaborators. It is shown that the string field
action itself is very complicated in our formalism but it satisfies a very
simple equation. We derive an equation which a solution to the equation of
motion should satisfy. Using this equation, we conjecture the form of a soliton
solution which is responsible for the nonperturbative effects of order
$e^{-A/\kappa}$. (Talk given by N.I. at ``Inauguration Conference of APCTP'',
4-10 June, 1996)
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 02:26:40 GMT""}]","2007-05-23"
"hep-th/9606124","Vladimir Dzhunushaliev","Vladimir Dzhunushaliev and Alexej Fomin","The string solution in SU(2) Yang-Mills-Higgs theory","LATEX, Fig. on the request, p.5",,,,"hep-th",,"  The tube solutions in Yang - Mills - Higgs theory are received, in which the
Higgs field has the negative energy density. This solutions make up the
discrete spectrum numered by two integer and have the finite linear energy
density. Ignoring its transverse size, such field configuration is the rest
infinity straight string.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 04:30:03 GMT""}]","2007-05-23"
"hep-th/9606125","Vladimir Dzhunushaliev","Vladimir Dzhunushaliev","Particle scattering in nonassociative quantum field theory","LATEX, p.5","Theor.Math.Phys. 100 (1994) 1082-1085; Teor.Mat.Fiz. 100 (1994)
  377-381",,,"hep-th",,"  A model of quantum field theory in which the field operators form a
nonassociative algebra is proposed. In such a case, the n-point Green's
functions become functionally independent of each other. It is shown that
particle interaction in such a theory can be realized by nonlocal virtual
objects.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 04:36:41 GMT""}]","2007-05-23"
"hep-th/9606126","A. V. Tsiganov","A.V. Tsiganov (St.Petersburg University)","The Kowalewski top in the SUSY quantum mechanics","4 pages, Latex, used a4.sty and AMS fonts; submitted to Phys.Lett.A",,"10.1016/S0375-9601(96)00704-9",,"hep-th",,"  The Kowalewski top on Lie algebras $o(4)$, $e(3)$ and $o(3,1)$ is embedded in
the SUSY quantum mechanics. In two dimensions we give the new prescription for
construction of the pairs of integrable systems by using a standard SUSY
algebra. At the proposed scheme the Goryachev-Chapligin top is shown to be a
natural partner of the Kowalewski top.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 08:04:51 GMT""}]","2009-10-30"
"hep-th/9606127",,"V. V. Sreedhar","A Class of Quantum Integrable Models Associated with the Infra-red Limit
  of Massive Chern-Simons Theory","Plain TeX File, 23 Pages","Annals Phys. 253 (1997) 219-236","10.1006/aphy.1997.5619",,"hep-th",,"  We study the infra-red limit of non-abelian Chern-Simons gauge theory
perturbed by a non-topological, albeit gauge invariant, mass term. It is shown
that, in this limit, we may construct an infinite class of integrable quantum
mechanical models which, for the case of SU(2) group, are labelled by the
angular momentum eigenvalue. The first non-trivial example in this class is
obtained for the triplet representation and it physically describes the gauge
invariant coupling of a non-abelian Chern-Simons particle with a particle
moving on $S^3$ - the SU(2) group manifold. In addition to this, the model has
a fascinating resemblance to the Landau problem and may be regarded as a
non-abelian and a non-linear generalisation of the same defined on the
three-sphere with the uniform magnetic field replaced by an angular momentum
field. We explicitly solve for some eigenstates of this model in a closed form
in terms of some generalised orthogonal polynomials. In the process, we unravel
some startling connections with Anderson's chain models which are important in
the study of disordered systems in condensed matter physics. We also sketch a
method which allows us, in principle, to find the energy eigenvalues
corresponding to the above eigenstates of the theory if the Lyapunov exponents
of the transfer matrix of the infinite chain model involved are known.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 13:05:13 GMT""}]","2009-10-30"
"hep-th/9606128","Jose Emilio Maiorino","J. Vaz Jr. and W.A. Rodrigues Jr","On the Equation rotA = K A","8 pages, documentstyle [preprint,aps]{revtex} with special macro
  climacro",,,"RP34/96","hep-th",,"  We show that when correctly formulated the equation $\nabla \times
\mbox{\boldmath $a$} = \kappa \mbox{\boldmath $a$}$ does not exhibit some
inconsistencies atributed to it, so that its solutions can represent physical
fields.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 04:39:18 GMT""}]","2007-05-23"
"nucl-th/9606036","Alfredo Valcarce Mejia","A. Valcarce, F. Fernandez (Univ. Salamanca), H. Garcilazo (Instituto
  Politecnico Nacional, Mexico)","Mass and width of the $d'$ resonance in nuclei","14 pages, RevteX type, 2 eps figures. To be published in Phys. Rev. C
  (September)","Phys.Rev.C54:1010-1014,1996","10.1103/PhysRevC.54.1010","FNUSAL - 3/96","nucl-th",,"  We calculated the mass and width of the $d'$ resonance inside nuclei within a
nucleon-$\Delta$ model by including the self-energy of the $\Delta$ in the
$N\Delta$ propagator. We found that in the nuclear medium the width of the $d'$
is increased by one order of magnitude while its mass changes only by a few
MeV. This broadening of the width of the $d'$ resonance embedded in nuclei is
consistent with the experimental observations so that the $d'$ can be
understood as a $N\Delta$ resonance. Thus, given the freedom between either
isospin 0 or isospin 2 for the $d'$, our results give weigth to the isospin-2
assignment.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 18:55:58 GMT""}]","2008-11-26"
"nucl-th/9606037","John Weinstein","John Weinstein","The Multichannel Quark Model","60 pages, 14 tar-ed gzip-ed postscript figures, uses epsf.sty fortran
  source code at http://beauty1.phy.olemiss.edu/~jw/ Submitted to Phys Rev D",,,"UMHEP 96-021","nucl-th",,"  We discuss the non-relativistic multichannel quark model and describe the
techniques developed to solve the resulting equations. We then investigate some
simple solutions to demonstrate how the model unifies meson-meson scattering
with meson spectroscopy, thereby greatly extending the domain of applicability
of the naive quark model. In the limits of narrow resonance widths and no quark
exchange, it reproduces the standard quark model spectroscopy and Breit-Wigner
phase description. Outside those limits s-channel resonance masses are lowered
by their two-meson couplings, the line-shapes of wide resonances are
significantly altered, and the equivalent Breit-Wigner masses and widths show
an energy dependence. Because meson-meson interactions are due to coherent
s-channel resonance production and t-channel quark exchange (though other
interactions can readily be added), the multichannel equations model
experimental resonance production and decay in a way that the usual eigenvalue
equations cannot.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 19:21:11 GMT""}]","2007-05-23"
"nucl-th/9606038","Florencio Cano","F. Cano, P. Gonz\'alez, S. Noguera, B. Desplanques","Strong Pionic Decays From a Spectroscopic Quark Model","26 pages, 9 figures (1 postscript file), LaTeX","Nucl.Phys. A603 (1996) 257-280","10.1016/0375-9474(96)80002-9","FTUV/95-71, IFIC/95-74","nucl-th",,"  From a refined non-relativistic quark model that fits the baryonic low-energy
spectrum the study of strong pion decay processes within an elementary emission
model scheme points out the need of incorporating size-contributing components
into the baryon wave functions. In particular the effect of a (qqq qantiq)
component is investigated in the framework of a quark pair creation model.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 20:14:02 GMT""}]","2009-10-30"
"nucl-th/9606039","Dirk Rischke","Dirk H. Rischke and Miklos Gyulassy","The Time-Delay Signature of Quark-Gluon-Plasma Formation in Relativistic
  Nuclear Collisions","27 pages, 18 figures","Nucl.Phys.A608:479-512,1996","10.1016/0375-9474(96)00259-X","Columbia University preprint CU-TP-756","nucl-th",,"  The hydrodynamic expansion of quark-gluon plasmas with spherical and
longitudinally boost-invariant geometries is studied as a function of the
initial energy density. The sensitivity of the collective flow pattern to
uncertainties in the nuclear matter equation of state is explored. We
concentrate on the effect of a possible finite width, $\Delta T \sim 0.1 T_c$,
of the transition region between quark-gluon plasma and hadronic phase.
Although slow deflagration solutions that act to stall the expansion do not
exist for $\Delta T > 0.08 T_c$, we find, nevertheless, that the equation of
state remains sufficiently soft in the transition region to delay the
propagation of ordinary rarefaction waves for a considerable time. We compute
the dependence of the pion-interferometry correlation function on $\Delta T$,
since this is the most promising observable for time-delayed expansion. The
signature of time delay, proposed by Pratt and Bertsch, is an enhancement of
the ratio of the inverse width of the pion correlation function in
out-direction to that in side-direction. One of our main results is that this
generic signature of quark-gluon plasma formation is rather robust to the
uncertainties in the width of the transition region. Furthermore, for
longitudinal boost-invariant geometries, the signal is likely to be maximized
around RHIC energies, $\sqrt{s} \sim 200$ AGeV.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 21:12:51 GMT""}]","2009-10-09"
"nucl-th/9606040","Harold W. Fearing","Mark Welsh (Univ. of Victoria), Harold W. Fearing (TRIUMF)","Validity of Certain Soft Photon Amplitudes","15 pages, LaTeX, using revtex and epsfig, 4 postscript figures","Phys.Rev.C54:2240-2252,1996","10.1103/PhysRevC.54.2240","TRIUMF report TRI-PP-96-19","nucl-th hep-ph",,"  Certain soft photon amplitudes which have been recently suggested as
alternatives to the usual Low form of the soft photon approximation are studied
and it is demonstrated that problems exist in their relation to the
corresponding non-radiative amplitude. The non-radiative amplitude, which is an
input to soft photon calculations, is in certain cases required to be evaluated
outside of its physical phase space region. Also, for the case of two-body
identical particle bremsstrahlung processes, the symmetrized or antisymmetrized
form of these soft photon amplitudes cannot be written in terms of the
symmetrized or antisymmetrized amplitude for the non-radiative process. It is
found that the usual Low form of the soft photon theorem is essentially
unaffected by these problems.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 23:56:28 GMT""}]","2008-11-26"
"nucl-th/9606041","Claus Slotta","U. Heinz, B. Tomasik, U.A. Wiedemann, Y.-F. Wu","Kaon Interferometry","8 pages (incl. 1 Figure), to appear in the proceedings of the
  workshop ""Strangeness 96"", Budapest, 15.-17 May 1996, as a special issue of
  the journal Heavy Ion Physics","Heavy Ion Phys.4:249-256,1996","10.1007/BF03155620",,"nucl-th",,"  Two-kaon and two-pion correlation functions for an expanding thermalized
source are compared. In the Yano-Koonin-Podgoretskii parametrization of the
correlation function, the HBT radius parameters are shown to obey M_\bot-
scaling in the absence of collective transverse flow. This scaling is broken by
transverse flow. An accurate comparison of pion and kaon correlations can thus
resolve issue whether the observed M_\bot-dependence of the transverse radius
parameter is due to transverse collective flow or other transverse gradients.
Effects from resonance decays are shortly discussed.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 08:17:00 GMT""}]","2022-02-23"
"nucl-th/9606042","Frank Tabakin","Bijan Saghai (Saclay) and Frank Tabakin (Univ. of Pittsburgh)","Pseudoscalar meson photoproduction: from known to undiscovered
  resonances","22 pages, latex, 3 figures","Phys.Rev.C55:917-928,1997","10.1103/PhysRevC.55.917",,"nucl-th",,"  The role of dynamics in spin observables for pseudoscalar meson
photoproduction is investigated using a density matrix approach in a multipole
truncated framework. Extraction of novel rules for $\gamma p \rightarrow \pi^+
n,~ K^+ \Lambda$ and $\eta p$ reactions based on resonance dominance, and on
other broad and reasonable dynamical assumptions, are discussed. Observables
that are particularly sensitive to missing nucleonic resonances predicted by
quark-based approaches, are singled out.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 15:00:51 GMT""}]","2016-09-08"
