"adap-org/9606003","Tsuyoshi Hondou","Tsuyoshi Hondou","Self-Annealing Dynamics in a Multistable System","6 pages, Figures available upon request","Prog.Theor.Phys. Vol.95, (1996) 817-822","10.1143/PTP.95.817",,"adap-org nlin.AO",,"  A new type of dynamical behavior of a multistable system is reported. We
found that a simple non-equilibrium system can reduce its effective temperature
autonomously at a global minimum if the residual frustration at a global
minimum is small enough, which highlights an unexpected feature of
non-equilibrium multistable systems.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 02:54:54 GMT""}]","2009-10-28"
"hep-ph/9606423","Edi Halyo","Edi Halyo (Stanford)","Hybrid Inflation from Supergravity D Terms","9 pages in Latex. Two references added, version to appear in Phys.
  Lett. B","Phys.Lett. B387 (1996) 43-47","10.1016/0370-2693(96)01001-5","SU-ITP-96-28","hep-ph",,"  We argue that the mass of the inflaton can be much smaller than the Hubble
constant in supergravity models in which inflation is driven by D--terms and
not F--terms. We investigate a supergravity toy model which leads to hybrid
inflation due to an anomalous D--term. We show that the slow--roll condition
can be satisfied and the correct magnitude for density perturbations can be
obtained for some choice of model parameters. The kind of model considered can
naturally arise in some string derived supergravity models.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 04:41:43 GMT""},{""version"":""v2"",""created"":""Tue, 6 Aug 1996 22:37:51 GMT""}]","2009-10-28"
"hep-ph/9606424",,"Darwin Chang (NTHU, ROC) and Chuan-Hung Chen (NTHU, ROC)","CP Violation in Hyperon Decays","9 pages, LaTex type, invited talk at a plentary session of JOINT
  JINR-ROC (Taiwan) Conference on Intermediate and High Energy Physics, June
  26-28, 1995, Dubna, Russia","Chin.J.Phys.34:831-839,1996",,"NTHU-96-25","hep-ph",,"  The CP properties in hyperon decays are briefly reviewed. We discuss the
general phenomenology and define CP odd observables in hyperon decays. With
these observables, we discuss the predictions of some models and their
observational potential.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 07:18:17 GMT""}]","2011-04-15"
"hep-ph/9606425",,"A.B. Arbuzov (JINR, Dubna), V.S. Fadin (INP, Novosibirsk) E.A. Kuraev
  (JINR, Dubna), L.N. Lipatov (INP, St.-Petersburg), N.P. Merenkov (Phys.-Tech.
  Inst., Kharkov), L.G. Trentadue (Univ. & INFN Parma)","Small-Angle Electron-Positron Scattering","11 pages, Latex file epsfig.sty with 3 PostScript figures","Phys.Lett. B394 (1997) 218-224","10.1016/S0370-2693(96)01671-1","UPRF-96-474","hep-ph",,"  We consider small--angle electron--positron scattering in Quantum
Electrodynamics. Leading logarithmic contributions to the cross--section are
explicitly calculated to three loop. Next--to--leading terms are exactly
computed to two loop. All the radiative corrections due to photons as well as
pair production are taken into account. The impact of newly evaluated
next-to-leading and higher order leading corrections is discussed and numerical
results are explicitly given. The results obtained are generally valid for high
and low energy $e^+e^-$ colliders. At LEP and SLC these results can be used to
reduce the uncertainty on the cross--section below the per mille level.
  PACS numbers 12.15.Lk, 12.20.--m, 12.20.Ds, 13.40.--f
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 07:51:50 GMT""}]","2009-10-28"
"hep-ph/9606426","Peter Landshoff","P V Landshoff","Simple Physical Approach to Thermal Cutting Rules","9 pages, plain tex, 5 figures embedded with epsf -- 2 typos corrected","Phys.Lett. B386 (1996) 291-296","10.1016/0370-2693(96)00919-7","DAMTP 96/64","hep-ph hep-th",,"  A first-principles derivation is given of the imaginary part of a Green's
function in real-time thermal field theory. The analysis and its conclusions
are simpler than in the usual circled-vertex formalism. The relationship to
Cutkosky-like cutting rules is explained.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 13:08:55 GMT""},{""version"":""v2"",""created"":""Tue, 27 Aug 1996 11:32:27 GMT""}]","2009-10-28"
"hep-ph/9606427",,"G. Camici and M. Ciafaloni","Non Abelian $q\bar{q}$ contributions to small-$x$ anomalous dimensions","latex, 15 pages including 2 PostScript figures","Phys.Lett.B386:341-349,1996","10.1016/0370-2693(96)00962-8","DFF 250/6/96","hep-ph",,"  By using $\k$-factorization, we derive resummation formulas for the
non-abelian $q\bar{q}$ contributions to both heavy flavour production by gluon
fusion, and to the next-to-leading BFKL kernel. By combining this result with
previous ones by Fadin et al. on the virtual terms, we also compute in closed
form the complete $q\bar{q}$ contribution to the gluon anomalous dimension in
the $Q_0$-scheme. We find that $q\bar{q}$ resummation effects are important for
heavy flavour production, but are instead small in the anomalous dimension
eigenvalues, because of a cancellation between abelian and non abelian
contributions.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 13:47:18 GMT""},{""version"":""v2"",""created"":""Fri, 28 Jun 1996 07:39:35 GMT""}]","2011-05-05"
"hep-ph/9606429","Bennie Ward","S. Jadach (Institute of Nuclear Physics, Krakow, Poland and CERN,
  Theory Division, Geneva, Switzerland), W. Placzek (Department of Physics and
  Astronomy, The University of Tennessee, Knoxville, Tennessee), M. Skrzypek
  (Institute of Nuclear Physics, Krakow, Poland) and B.F.L. Ward (Department of
  Physics and Astronomy, The University of Tennessee, Knoxville, Tennessee and
  SLAC, Stanford University, Stanford, California)","Gauge Invariant YFS Exponentiation of (Un)stable $W^+W^-$ Production At
  and Beyond LEP2 Energies","Latex replaces postscript, 17 pages","Phys.Rev.D54:5434-5442,1996","10.1103/PhysRevD.54.5434","UTHEP-95-0801","hep-ph",,"  We present the theoretical basis and sample Monte Carlo data for the YFS
exponentiated calculation of $e^+e^- \rightarrow W^+ W^- \rightarrow f_1\bar
f'_1 + \bar f_2 f'_2$ at and beyond LEP2 energies, where the left-handed parts
of $f_i$ and $f'_i$ are the respective upper and lower components of an
$SU_{2L}$ doublet, $i=1,2$. The problem of gauge invariance of the radiation
from the unstable charged spin~1 $W^{\pm}$ is solved in an entirely physical
manner. Our formulas are illustrated in a proto-typical YFS Monte Carlo event
generator YFSWW2, wherein both Standard Model and anomalous triple gauge boson
couplings are allowed.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 15:41:26 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jun 1996 13:03:40 GMT""}]","2008-11-26"
"hep-ph/9606433","Rajen Kundu","A. Harindranath and Rajen Kundu","Hamiltonian Analysis of the Deep Inelastic Structure Function","20 pages, Revtex",,,,"hep-ph",,"  We investigate the feasibility of analyzing deep inelastic structure
functions in Hamiltonian formalism by combining the light-front BJL limit of
high energy amplitudes and the Fock space (multi-parton) description of
hadrons. This study is motivated by some of the theoretical questions emerging
from the ongoing nonperturbative/perturbative studies in light-front QCD and
also by current problems in the interface of perturbative/nonperturbative QCD.
In this preliminary study, we address the unpolarized structure function $F_2$.
Our starting point is the expression for the quark structure function as the
Fourier transform of the expectation value of the {\it good component} of a
bilocal current in the target state. By expanding the target state in a set of
multi-particle Fock states, the structure function is expressed as the sum of
squares of multi-parton wavefunctions integrated over independent longitudinal
and transverse parton momenta. Utilizing the fact that the multi-particle Fock
states are connected with each other by the light-front QCD Hamiltonian, we
study questions of cancellation of collinear singularities, factorization of
mass singularities, and the logarithmic scaling violations in the Hamiltonian
picture. In this paper the essential features of the formalism are illustrated
utilizing the calculation of the structure function of a dressed quark and the
evolution of the valence part of the $q {\bar q}$ bound state structure
function up to order $g^2$.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 13:48:55 GMT""}]","2007-05-23"
"hep-th/9606148","Rolf Schimmrigk","I.Brunner, R.Schimmrigk","F-Theory on Calabi-Yau Fourfolds","11 pages","Phys.Lett. B387 (1996) 750-758","10.1016/0370-2693(96)01100-8","Bonn-TH-96-06","hep-th",,"  We discuss some aspects of F-theory in four dimensions on elliptically
fibered Calabi-Yau fourfolds which are Calabi-Yau threefold fibrations. A
particularly simple class of such manifolds emerges for fourfolds in which the
generic Calabi-Yau threefold fiber is itself an elliptic fibration and is K3
fibered. Duality between F-theory compactified on Calabi-Yau fourfolds and
heterotic strings on Calabi-Yau threefolds puts constraints on the cohomology
of the fourfold. By computing the Hodge diamond of Calabi-Yau fourfolds we
provide first numerical evidence for F-theory dualities in four dimensions.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 23:26:51 GMT""}]","2009-10-30"
"hep-th/9606152","Yoav Peleg","Sukanta Bose, Leonard Parker, and Yoav Peleg (University of Wisconsin
  - Milwaukee)","Predictability and Semiclassical Approximation at the onset of Black
  Hole formation","26 pages RevTex + 8 figures in a separate postscript file","Phys.Rev. D54 (1996) 7490-7505","10.1103/PhysRevD.54.7490","WISC-MILW-96-TH-13","hep-th gr-qc",,"  We combine analytical and numerical techniques to study the collapse of
conformally coupled massless scalar fields in semiclassical 2D dilaton gravity,
with emphasis on solutions just below criticality when a black hole almost
forms. We study classical information and quantum correlations. We show
explicitly how recovery of information encoded in the classical initial data
from the outgoing classical radiation becomes more difficult as criticality is
approached. The outgoing quantum radiation consists of a positive-energy flux,
which is essentially the standard Hawking radiation, followed by a
negative-energy flux which ensures energy conservation and guarantees unitary
evolution through strong correlations with the positive-energy Hawking
radiation. As one reaches the critical solution there is a breakdown of
unitarity. We show that this breakdown of predictability is intimately related
to a breakdown of the semiclassical approximation.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 18:34:54 GMT""},{""version"":""v2"",""created"":""Tue, 25 Jun 1996 13:32:36 GMT""}]","2009-10-30"
"hep-th/9606153","Barton Zwiebach","Barton Zwiebach","Building string field theory around non-conformal backgrounds","38 pages, 4 figures, phyzzx and BoxedEPS included","Nucl.Phys. B480 (1996) 541-572","10.1016/S0550-3213(96)00502-0","MIT-CTP-2531","hep-th",,"  The main limitations of string field theory arise because its present
formulation requires a background representing a classical solution, a
background defined by a strictly conformally invariant theory. Here we sketch a
construction for a gauge-invariant string field action around non-conformal
backgrounds. The construction makes no reference to any conformal theory. Its
two-dimensional field-theoretic aspect is based on a generalized BRST operator
satisfying a set of Weyl descent equations. Its geometric aspect uses a complex
of moduli spaces of two-dimensional Riemannian manifolds having ordinary
punctures, and organized by the number of special punctures which goes from
zero to infinity. In this complex there is a Batalin-Vilkovisky algebra that
includes naturally the operator which adds one special puncture. We obtain a
classical field equation that appears to relax the condition of conformal
invariance usually taken to define classical string backgrounds.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 20:11:35 GMT""}]","2009-10-30"
"hep-th/9606155",,"V.E. Rochev","A non-perturbative method of calculation of Green functions","13 pages, Plain LaTex, no figures, some discussion of results for
  anharmonic oscillator and a number of references are added, final version
  published in Journal of Physics A","J.Phys.A30:3671-3680,1997","10.1088/0305-4470/30/10/037",,"hep-th",,"  A new method for non-perturbative calculation of Green functions in quantum
mechanics and quantum field theory is proposed. The method is based on an
approximation of Schwinger-Dyson equation for the generating functional by
exactly soluble equation in functional derivatives. Equations of the leading
approximation and the first step are solved for $\phi^4_d$-model. At $d=1$
(anharmonic oscillator) the ground state energy is calculated. The
renormalization program is performed for the field theory at $d=2,3$. At $d=4$
the renormalization of the coupling involves a trivialization of the theory.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 13:12:17 GMT""},{""version"":""v2"",""created"":""Thu, 15 May 1997 18:17:59 GMT""}]","2008-11-26"
"hep-th/9606156","Philippe Brax","Ph. Brax (DAMTP-University of Cambridge-UK)","A Renormalisation Group Analysis of 2d Freely Decaying
  Magnetohydrodynamic Turbulence","9 pages , tex file",,,"DAMTP/96-38, SPhT/96-033","hep-th",,"  We study two dimensional freely decaying magnetohydrodynamic turbulence. We
investigate the time evolution of the probability law of the gauge field and
the stream function. Assuming that this probability law is initially defined by
a statistical field theory in the basin of attraction of a renormalisation
group fixed point, we show that its time evolution is generated by
renormalisation transformations. In the long time regime, the probability law
is described by non-unitary conformal field theories. In that case, we prove
that the kinetic and magnetic energy spectra are proportional. We then
construct a family of fixed points using the $(p,p+2)$ non-unitary minimal
models of conformal field theories.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 09:49:00 GMT""}]","2007-05-23"
"hep-th/9606157","Hodaka Oda","Hodaka Oda, Norisuke Sakai, Tadakatsu Sakai","Vacuum Structures of Supersymmetric Yang-Mills Theories in $1+1$
  Dimensions","LaTeX file, 25 page, 3 eps figure, some references added","Phys. Rev. D 55, 1079 (1997)","10.1103/PhysRevD.55.1079","TIT/HEP 332","hep-th",,"  Vacuum structures of supersymmetric (SUSY) Yang-Mills theories in $1+1$
dimensions are studied with the spatial direction compactified. SUSY allows
only periodic boundary conditions for both fermions and bosons. By using the
Born-Oppenheimer approximation for the weak coupling limit, we find that the
vacuum energy vanishes, and hence the SUSY is unbroken. Other boundary
conditions are also studied, especially the antiperiodic boundary condition for
fermions which is related to the system in finite temperatures. In that case we
find for gaugino bilinears a nonvanishing vacuum condensation which indicates
instanton contributions.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 11:06:42 GMT""},{""version"":""v2"",""created"":""Tue, 6 Aug 1996 03:31:13 GMT""},{""version"":""v3"",""created"":""Mon, 19 Aug 1996 06:01:33 GMT""},{""version"":""v4"",""created"":""Tue, 1 Oct 1996 04:43:34 GMT""}]","2016-08-24"
"hep-th/9606158",,"S.A.Apikyan","Liouville Field Theory on Hyperelliptic surface","8 pages, LaTeX file, no figures","Phys.Lett. B388 (1996) 557-560","10.1016/S0370-2693(96)01177-X","YerPhI-1474(11)-96","hep-th",,"  Liouville field theory on hyperelliptic surface is considered. The partition
function of the Liouville field theory on the hyperelliptic surface are
expressed as a correlation function of the Liouville vertex operators on a
sphere and the twist fields.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 11:06:44 GMT""}]","2009-10-30"
"hep-th/9606161",,"A.Love, S.Todd","Modular Symmetries of Threshold Corrections for Abelian Orbifolds with
  Discrete Wilson Lines","36 pages, Latex","Nucl.Phys.B481:253-288,1996","10.1016/S0550-3213(96)90133-9","RHBNC--TH/5/1","hep-th",,"  The modular symmetries of string loop threshold corrections for gauge
coupling constants are studied in the presence of discrete Wilson lines for all
examples of abelian orbifolds, where the point group is realised by the action
of Coxeter elements or generalised Coxeter elements on the root lattices of the
Lie groups.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 15:53:10 GMT""}]","2014-11-18"
"nucl-th/9606052",,"Greg Keaton and Ron Workman (Virginia Tech)","Ambiguities in the partial-wave analysis of pseudoscalar-meson
  photoproduction","12 pages of text. No figures","Phys.Rev.C54:1437-1440,1996","10.1103/PhysRevC.54.1437","VPI-CAPS-96/A2","nucl-th",,"  Ambiguities in pseudoscalar-meson photoproduction, arising from incomplete
experimental data, have analogs in pion-nucleon scattering. Amplitude
ambiguities have important implications for the problems of amplitude
extraction and resonance identification in partial-wave analysis. The effect of
these ambiguities on observables is described. We compare our results with
those found in earlier studies.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 17:46:22 GMT""}]","2008-11-26"
"nucl-th/9606053","Charles W. Johnson","Charles W. Johnson and George Fai (Kent State University), Michael R.
  Frank (INT University of Washington)","The hadron-quark transition with a lattice of nonlocal confining
  solitons","12 pages Latex with one PS figure","Phys.Lett. B386 (1996) 75-79","10.1016/0370-2693(96)00936-7","KSUCNR-004-96, INT96-0127","nucl-th hep-ph",,"  We use a lattice of nonlocal confining solitons to describe nuclear matter in
the Wigner-Seitz approximation. The average density is varied by changing the
size of the Wigner-Seitz cell. At sufficiently large density quark energy bands
develop. The intersection of the filled valence band with the next empty band
at a few times standard nuclear density signals a transition from a color
insulator to a color conductor and is identified with the critical density for
quark deconfinement.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 19:26:26 GMT""}]","2009-10-30"
"patt-sol/9606005","John D. Crawford","John David Crawford and Anandhan Jayaraman (Department of Physics and
  Astronomy, University of Pittsburgh, Pittsburgh, PA)","Nonlinear saturation of electrostatic waves: mobile ions modify trapping
  scaling","13 pages (Latex/RevTex), 4 postscript encapsulated figures which are
  included using the utility ""uufiles"". They should be automatically included
  with the text when it is downloaded. Figures also available in hard copy from
  the authors (jdc@minerva.phyast.pitt.edu)","Phys. Rev. Lett. 77 (1996) 3549.","10.1103/PhysRevLett.77.3549",,"patt-sol nlin.PS plasm-ph",,"  The amplitude equation for an unstable electrostatic wave in a multi-species
Vlasov plasma has been derived. The dynamics of the mode amplitude $\rho(t)$ is
studied using an expansion in $\rho$; in particular, in the limit
$\gamma\rightarrow0^+$, the singularities in the expansion coefficients are
analyzed to predict the asymptotic dependence of the electric field on the
linear growth rate $\gamma$. Generically $|E_k|\sim \gamma^{5/2}$, as
$\gamma\rightarrow0^+$, but in the limit of infinite ion mass or for
instabilities in reflection-symmetric systems due to real eigenvalues the more
familiar trapping scaling $|E_k|\sim \gamma^{2}$ is predicted.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 19:41:12 GMT""}]","2009-10-30"
"q-alg/9606018","Alex Kasman","Alex Kasman, Mitchell Rothstein (University of Georgia - Athens)","Bispectral Darboux Transformations: The Generalized Airy Case","LaTeX, to appear in Physica D, a nicer postscript version is
  available at http://www.math.uga.edu/~kasman/",,"10.1016/S0167-2789(96)00208-4","University of Georgia Mathematics Preprint Vol. 4 No. 2","q-alg math.QA nlin.SI solv-int",,"  This paper considers Darboux transformations of a bispectral operator which
preserve its bispectrality. A sufficient condition for this to occur is given,
and applied to the case of generalized Airy operators of arbitrary order $r>1$.
As a result, the bispectrality of a large family of algebras of rank $r$ is
demonstrated. An involution on these algebras is exhibited which exchanges the
role of spatial and spectral parameters, generalizing Wilson's rank one
bispectral involution. Spectral geometry and the relationship to the Sato
grassmannian are discussed.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 18:37:34 GMT""}]","2009-10-30"
"q-alg/9606019","Vladimir Roubtsov","D.Gurevich","Braided modules and reflection equations","18 pp., Latex",,,,"q-alg math.QA",,"  We introduce a representation theory of q-Lie algebras defined earlier in
\cite{DG1}, \cite{DG2}, formulated in terms of braided modules. We also discuss
other ways to define Lie algebra-like objects related to quantum groups, in
particular, those based on the so-called reflection equations. We also
investigate the truncated tensor product of braided modules.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 11:43:10 GMT""}]","2008-02-03"
"q-alg/9606020","Fronsdal","Christian Fronsdal (UCLA)","Generalization and Exact Deformations of Quantum Groups","62 pages, plain Tex. This paper combines q-alg/9510002 and
  q-alg/9602034; Submitted for publication","Pub. Res. Inst. Math. Sci. 33 (1997) 91-149",,,"q-alg math.QA",,"  A large family of ""standard"" coboundary Hopf algebras is investigated. The
existence of a universal R-matrix is demonstrated for the case when the
parameters are in general position. Algebraic surfaces in parameter space are
characterized by the appearance of certain ideals; in this case the universal
R-matrix exists on the associated algebraic quotient. In special cases the
quotient is a ""standard"" quantum group; all familiar quantum groups including
twisted ones are obtained in this way. In other special cases one finds new
types of coboundary bi-algebras. The ""standard"" universal R-matrix is shown to
be the unique solution of a very simple, linear recursion relation. The
classical limit is obtained in the case of quantized Kac-Moody algebras of
finite and affine type. Returning to the general case, we study deformations of
the standard R-matrix and the associated Hopf algebras. A preliminary
investigation of the first order deformations uncovers a class of deformations
that incompasses the quantization of all Kac-Moody algebras of finite and
affine type. The corresponding exact deformations are described as generalized
twists, $ R_\epsilon = (F^t)^{-1}RF$, where $R$ is the standard R-matrix and
the cocycle $F$ (a power series in the deformation parameter $\epsilon$) is the
solution of a linear recursion relation of the same type as that which
determines $R$. Included here is the universal R-matrix for the elliptic
quantum groups associated with $sl(n)$, a big surprise! Specializing again, to
the case of quantized Kac-Moody algebras, and taking the classical limit of
these esoteric quantum groups, one re-discovers all the trigonometric and
elliptic r-matrices of Belavin and Drinfeld. The formulas obtained here are
easier to use than the original ones, and the structure of the space of
classical r-matrices is more transparent. The r-matrices obtained here are more
general in that they are defined on the full Kac-Moody algebras, the central
extensions of the loop groups.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 14:13:07 GMT""}]","2014-05-27"
"quant-ph/9606025","Todd A. Brun","Todd A. Brun (Physics, QMW, University of London)","Quantum jumps as decoherent histories","8 pages RevTeX 3.0, considerably revised and shortened. To appear in
  the 17 March issue of Phys. Rev. Letters","Phys.Rev.Lett. 78 (1997) 1833-1837","10.1103/PhysRevLett.78.1833","QMW-PH-96-11","quant-ph atom-ph gr-qc",,"  Quantum open systems are described in the Markovian limit by master equations
in Lindblad form. I argue that common ``quantum jumps'' techniques, which solve
the master equation by unraveling its evolution into stochastic trajectories in
Hilbert space, correspond closely to a particular set of decoherent histories.
This is illustrated by a simple model of a photon counting experiment.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 16:16:46 GMT""},{""version"":""v2"",""created"":""Sat, 22 Feb 1997 03:04:18 GMT""}]","2009-10-30"
"quant-ph/9606026","Simon Gardiner","S. A. Gardiner (Innsbruck), J. I. Cirac (Castilla-La Mancha), and P.
  Zoller (Innsbruck)","Measurement of Arbitrary Observables of a Trapped Ion","4 pages RevTeX, 4 eps figures, packaged together with tar and gzip",,,,"quant-ph",,"  We describe a method to perform a single quantum measurement of an arbitrary
observable of a single ion moving in a harmonic potential. We illustrate the
measurement procedure with explicit examples, namely the position and phase
observables.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 16:30:25 GMT""}]","2007-05-23"
"quant-ph/9606027","Ryszard Horodecki","Ryszard Horodecki, Michal Horodecki and Pawel Horodecki","Teleportation, Bell's Inequalities and Inseparability","RevTeX, 4 pages",,"10.1016/0375-9601(96)00639-1",,"quant-ph",,"  Relations between teleportation, Bell's inequalities and inseparability are
investigated. It is shown that any mixed two spin-$1\over2$ state which
violates the Bell-CHSH inequality is useful for teleportation. The result is
extended to any Bell's inequalities constructed of the expectation values of
products of spin operators. It is also shown that there exist inseparable
states which are not useful for teleportation within the standard scheme.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 15:59:46 GMT""}]","2009-10-30"
