"alg-geom/9606008","Michal Kwiecinski","Michal Kwiecinski and Piotr Tworzewski","Finite sets in fibres of holomorphic maps","LaTeX v. 2.09, 16 pages",,,"IMUJ preprint 1996/08, Jagiellonian Univ., Krakow","alg-geom math.AG",,"  We consider the maximal number of arbitrary points in a special fibre that
can be simultaneously approached by points in one sequence of general fibres.
Several results about this topological invariant and their applications
describe the structure of holomorphic maps. In particular, we get a lower bound
on the number of points in the general fibre of a generically finite map.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 12:03:01 GMT""}]","2008-02-03"
"hep-ph/9606289","Jean-Yves Ollitrault","Jean-Paul Blaizot, Jean-Yves Ollitrault","J/Psi Suppression in Pb-Pb Collisions: A Hint of Quark-Gluon Plasma
  Production?","12 pages, revtex, 3 postscript figures included","Phys.Rev.Lett.77:1703-1706,1996","10.1103/PhysRevLett.77.1703","Saclay T96/039","hep-ph",,"  The NA50 Collaboration has recently observed a strong suppression of J/Psi
production in Pb-Pb collisions at 158 Gev/n. We show that this recent
observation finds a quantitative explanation in a model which relates the
suppression mechanism to the local energy density, whose value is higher in
Pb-Pb collisions than in any other system studied previously. The sensitivity
of the phenomenon to small changes in the energy density could be suggestive of
quark-gluon plasma formation.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 12:51:56 GMT""}]","2009-07-09"
"hep-ph/9606290","Wim Beenakker","W.Beenakker (Leiden) and R.H\""opker (DESY)","SUSY-QCD corrections in the squark-gluino sector","6 two-column pages, tar'ed gzip'ed uuencoded files, LaTeX, 7
  Encapsulated Postscript figures, uses epsfig and espcrc2. To appear in the
  proceedings of the 1996 Zeuthen Workshop on Elementary Particle Theory: ""QCD
  and QED in Higher Orders"", J.Bl\""umlein, F.Jegerlehner, and T.Riemann eds.
  Complete postscript file available at
  http://rulgm4.LeidenUniv.nl/preprints.html","Nucl.Phys.Proc.Suppl. 51C (1996) 261-266","10.1016/S0920-5632(96)90034-1",,"hep-ph",,"  A status report is given of the calculations of next-to-leading-order ($N=1$)
supersymmetric QCD corrections to the production of squarks and gluinos in
$p\bar{p}/pp$ collisions. The implementation of these SUSY-QCD corrections
leads to more stable theoretical predictions and to a substantial increase of
the production cross-sections. In addition we give a discussion of the use of
the $\overline{MS}$ scheme for renormalizing the coupling constants in the QCD
sector of ($N=1$) supersymmetric theories.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 14:35:24 GMT""}]","2015-06-25"
"hep-ph/9606291","Stefan Hesselbach","F. Franke and S. Hesselbach","Neutralino mass bounds at the upgraded LEP collider","14 pages, Latex2.09, including 7 Postscript figures, uses
  rotating.sty, complete psfile also available at
  ftp://ftp.physik.uni-wuerzburg.de/pub/preprint/1996/WUE-ITP-96-009.ps.gz ;
  one figure and some references added, minor changes in text","Phys.Lett. B387 (1996) 535-543","10.1016/0370-2693(96)01058-1","WUE-ITP-96-009","hep-ph",,"  Assuming that no supersymmetric signature will be found at the upgraded LEP
collider we derive lower bounds on the masses of the four neutralinos
$\tilde{\chi}_i^0$ in the Minimal Supersymmetric Standard Model (MSSM). We
consider the recently published results from the search for the light chargino
$\tilde{\chi}^\pm_1$ and the next-to-lightest neutralino $\tilde{\chi}^0_2$ at
LEP1.5 and study the consequences of possible future lower $\tilde{\chi}^\pm_1$
and $\tilde{\chi}^0_2$ mass limits between 65 and 95 GeV. For a chargino mass
bound of 66.8 GeV at LEP1.5, a massless neutralino is not excluded for
$\tan\beta < 1.2$. If either $\tan\beta > 2.3$ or the gluino mass
$m_{\tilde{g}} > 160$ GeV, we find $m_{\tilde{\chi}_1^0} > 28$ GeV. A possible
chargino bound $m_{\tilde{\chi}_1^\pm} > 95$ GeV at LEP2 would raise this bound
to 31 GeV (for all $\tan\beta$) or 44 GeV ($\tan\beta > 2$).
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 15:01:46 GMT""},{""version"":""v2"",""created"":""Wed, 20 Nov 1996 14:54:29 GMT""}]","2009-10-28"
"hep-th/9606038","Patrick McGraw","Patrick McGraw (California Inst. of Technology)","Mean Field Theory for Fermion-based U(2) Anyons","18 pages, 4 figures, macros included",,,"CALT-68-2058","hep-th",,"  The energy density is computed for a U(2) Chern-Simons theory coupled to a
non-relativistic fermion field (a theory of ``non-Abelian anyons'') under the
assumptions of uniform charge and matter density. When the matter field is a
spinless fermion, we find that this energy is independent of the two
Chern-Simons coupling constants and is minimized when the non-Abelian charge
density is zero. This suggests that there is no spontaneous breaking of the
SU(2) subgroup of the symmetry, at least in this mean-field approximation. For
spin-1/2 fermions, we find self-consistent mean-field states with a small
non-Abelian charge density, which vanishes as the theory of free fermions is
approached.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 04:36:57 GMT""}]","2007-05-23"
"hep-th/9606044","Sunil Mukhi","Keshav Dasgupta and Sunil Mukhi (Tata Institute, Mumbai)","F-Theory at Constant Coupling","13 pages, harvmac (b), a clarification added, and one equation
  modified, in Section 4. Final version, to appear in Phys. Lett. B","Phys.Lett.B385:125-131,1996","10.1016/0370-2693(96)00875-1","TIFR/TH/96-30","hep-th",,"  The subspace of the moduli space of F-theory on K3 over which the coupling
remains constant develops new branches at special values of this coupling.
These values correspond to fixed points under the SL(2,Z) duality group of the
type IIB string. The branches contain points where K3 degenerates to orbifolds
of the four-torus by Z_3,Z_4 and Z_6. A singularity analysis shows that
exceptional group symmetries appear on these branches, including pure E_8 xE_8,
although SO(32) cannot be realised in this way. The orbifold points can be
mapped to a kind of non-perturbative generalization of a IIB orientifold, and
to M-theory orbifolds with non-trivial action on 2-brane wrapping modes.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 10:12:25 GMT""},{""version"":""v2"",""created"":""Fri, 5 Jul 1996 14:21:54 GMT""}]","2010-11-19"
"hep-th/9606045","Olivier Piguet","Olivier Piguet","Supersymmetry, Ultraviolet Finiteness and Grand Unification","9p., Latex. Referencing improved",,,"UGVA-DPT-1996/06-931","hep-th",,"  A general criterion is given for the vanishing of the beta-functions in N=1
supersymmetric gauge theories.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 07:34:35 GMT""},{""version"":""v2"",""created"":""Tue, 18 Jun 1996 11:23:09 GMT""}]","2008-02-03"
"hep-th/9606046","Detlev Buchholz","Jacques Bros and Detlev Buchholz","Axiomatic Analyticity Properties and Representations of Particles in
  Thermal Quantum Field Theory","23 pages, TEX, no figures, to appear in Ann. Inst. H. Poincare","Annales Poincare Phys.Theor. 64 (1996) 495-522",,,"hep-th hep-ph",,"  We provide an axiomatic framework for Quantum Field Theory at finite
temperature which implies the existence of general analyticity properties of
the $ n $-point functions; the latter parallel the properties derived from the
usual Wightman axioms in the vacuum representation of Quantum Field Theory.
Complete results are given for the propagators, including a generalization of
the K\""all\'en-Lehmann representation. Some known examples of
``hard-thermal-loop calculations'' and the representation of ``quasiparticles''
are discussed in this general framework.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 15:07:30 GMT""}]","2007-05-23"
"math/9606213",,"Mark Rudelson","Almost orthogonal submatrices of an orthogonal matrix",,,,"MSRI 1996-047, formerly math.LA/9606213","math.RA",,"  Let $A$ be an $n \times M$ matrix whose rows are orthonormal. Let $A_I$ be a
submatrix of $A$ whose column indexes belong to the set $I$. Given $\epsilon
>0$ we estimate the smallest cardinality of the set $I$, such that the operator
$A_I$ is an $\epsilon$-isometry.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 00:00:00 GMT""}]","2009-09-25"
"nucl-th/9606015","Paul Wilhelm","P. Wilhelm, Th. Wilbois, H. Arenhoevel (Mainz, Germany)","Unitary ambiguity in the extraction of the E2/M1 ratio for the $\gamma
  N\leftrightarrow\Delta$ transition","10 pages revtex including 4 postscript figures","Phys.Rev.C54:1423-1426,1996","10.1103/PhysRevC.54.1423","MKPH-T-96-1","nucl-th",,"  The resonant electric quadrupole amplitude in the transition $\gamma
N\leftrightarrow\Delta(1232)$ is of great interest for the understanding of
baryon structure. Various dynamical models have been developed to extract it
from the corresponding photoproduction multipole of pions on nucleons. It is
shown that once such a model is specified, a whole class of unitarily
equivalent models can be constructed, all of them providing exactly the same
fit to the experimental data. However, they may predict quite different
resonant amplitudes. Therefore, the extraction of the E2/M1($\gamma
N\leftrightarrow\Delta$) ratio (bare or dressed) which is based on a dynamical
model using a largely phenomenological $\pi N$ interaction is not unique.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 13:16:27 GMT""}]","2008-11-26"
"nucl-th/9606016","Ruediger Schmidt","R. Schmidt, H. Arenhoevel, P. Wilhelm (Mainz, Germany)","Quasifree pion photoproduction on the deuteron in the $\Delta$ region","17 pages LateX2e including 5 postscript figures","Z.Phys. A355 (1996) 421-426","10.1007/s002180050132","MKPH-T-96-3","nucl-th",,"  Photo production of pions on the deuteron is studied in the spectator nucleon
model. The Born terms of the elementary production amplitude are determined in
pseudovector $\pi$N coupling and supplied with a form factor. The $\Delta$
resonance is considered both in the $s$ and the $u$ channel. The parameters of
the $\Delta$ resonance and the cutoff of the form factors are fixed on the
leading photoproduction multipoles. Results for total and differential cross
sections are compared with experimental data. Particular attention is paid to
the role of Pauli correlations of the final state nucleons in the quasifree
case. The results are compared with those for pion photoproduction on the
nucleon.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 14:43:24 GMT""}]","2015-06-26"
"nucl-th/9606017","P. Braun-Munzinger","P. Braun-Munzinger and J. Stachel","Probing the Phase Boundary between Hadronic Matter and the
  Quark-Gluon-Plasma in Relativistic Heavy Ion Collisions","7 pages, latex, 6 figures, 1 table submitted to Nuclear Physics A,
  dedicated to Gerry Brown in honor of his 70th birthday","Nucl.Phys. A606 (1996) 320-328","10.1016/0375-9474(96)00198-4",,"nucl-th",,"  We discuss recent data on particle production with emphasis on the degree of
thermal and chemical equilibration achieved. The data are interpreted in terms
of a resonance gas model. The phase boundary constructed between the resonance
gas and the quark-gluon plasma is shown to be very close to the deduced
parameters characterizing the hadronic fireball at freeze-out.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 15:12:58 GMT""}]","2009-10-30"
