"alg-geom/9606001","Peter Schenzel","Peter Schenzel","Descent from the form ring and Buchsbaum rings","To appear in Comm. Algebra Latex2e",,,,"alg-geom math.AC math.AG",,"  There is a spectral sequence technique in order to estimate the local
cohomology of a ring by the local cohomology of a certain form ring. As
applications there are information on the descent of homological properties
(Cohen-Macaulay, Buchsbaum etc.) from the form ring to the ring itself. In the
case of Buchsbaum ring there is a discussion of the descent of the surjectivity
of a natural map into the local cohomology.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 10:00:59 GMT""}]","2008-02-03"
"hep-th/9605236",,"N. Hambli","More on Four-Dimensional Extremal Black Holes","19 pages, using Latex, no figures","Phys.Rev.D54:5129-5134,1996","10.1103/PhysRevD.54.5129","UdeM-GPP-TH-96-36","hep-th",,"  We consider an embedding of the extremal four-dimensional
Reissner-Nordstr\""om black hole into type $IIB$ string theory. The equivalent
type $IIB$ configuration, in the D-brane weak-coupling picture, is a bound
state of D1- and D5-branes threaded by fundamental type $IIB$ strings. The
bound state involves also a NSNS solitonic 5-brane, mimicking the role of the
Kaluza-Klein magnetic monopole. The statistical entropy derived by counting the
degeneracy of the BPS-saturated excitations of this bound state agrees
perfectly with the (semiclassical) Bekenstein-Hawking formula.
","[{""version"":""v1"",""created"":""Sun, 2 Jun 1996 22:49:23 GMT""}]","2014-11-18"
"hep-th/9606001","Ali Chamseddine","Ali H. Chamseddine and Alain Connes (ETH and I.H.E.S)","The Spectral Action Principle","27 pages, Tex file","Commun.Math.Phys.186:731-750,1997","10.1007/s002200050126",,"hep-th",,"  We propose a new action principle to be associated with a noncommutative
space $(\Ac ,\Hc ,D)$. The universal formula for the spectral action is $(\psi
,D\psi) + \Trace (\chi (D /$ $\Lb))$ where $\psi$ is a spinor on the Hilbert
space, $\Lb$ is a scale and $\chi$ a positive function. When this principle is
applied to the noncommutative space defined by the spectrum of the standard
model one obtains the standard model action coupled to Einstein plus Weyl
gravity. There are relations between the gauge coupling constants identical to
those of $SU(5)$ as well as the Higgs self-coupling, to be taken at a fixed
high energy scale.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 08:12:39 GMT""}]","2009-07-09"
"hep-th/9606002","Mitsuko Abe","Mitsuko Abe","The Partition Function in the Four-Dimensional Schwarz-type Topological
  Half-Flat Two-Form Gravity","10 pages, LaTex, Replacement: the conclusion is corrected","Mod.Phys.Lett. A12 (1997) 381-392","10.1142/S021773239700039X","TIT/HEP-331","hep-th",,"  We derive the partition functions of the Schwarz-type four-dimensional
topological half-flat 2-form gravity model on K3-surface or T^4 up to on-shell
one-loop corrections. In this model the bosonic moduli spaces describe an
equivalent class of a trio of the Einstein-K\""ahler forms (the hyperk\""ahler
forms). The integrand of the partition function is represented by the product
of some $\bar \partial$-torsions.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 07:25:53 GMT""},{""version"":""v2"",""created"":""Wed, 7 Aug 1996 05:45:31 GMT""},{""version"":""v3"",""created"":""Tue, 14 Jan 1997 05:56:10 GMT""}]","2009-10-30"
"hep-th/9606003","Ahn Chang Lim","Changrim Ahn and Wai Ming Koo","Supersymmetric Sine-Gordon Model and the Eight-Vertex Free Fermion model
  with Boundary","Latex file, 20 pages. We add a reference which we have found after
  completing and submitting our paper","Nucl.Phys. B482 (1996) 675-692","10.1016/S0550-3213(96)00518-4",,"hep-th",,"  We compute the boundary scattering amplitudes of the breathers of the
supersymmetric sine-Gordon model using the fusion of the soliton-antisoliton
pair scattering with the boundary with a known result of the soliton boundary
scattering amplitudes. We also solve the boundary Yang-Baxter equation of the
eight-vertex free fermion models to find the boundary reflection matrices. The
former result is confirmed by the latter since the bulk $S$-matrices of the
breathers can be identified with the trigonometric limit of the Boltzmann
weights of the free fermion models. Our dual approach can answer a few quesions
on the relationships between the free parameters in the boundary potential and
those in the scattering amplitudes.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 13:12:32 GMT""},{""version"":""v2"",""created"":""Sun, 30 Jun 1996 05:49:46 GMT""}]","2009-10-30"
"hep-th/9606004","Gernot Akemann","G. Akemann","Higher genus correlators for the hermitian matrix model with multiple
  cuts","25 pages, Latex file, 1 figure. One reference added","Nucl.Phys. B482 (1996) 403-430","10.1016/S0550-3213(96)00542-1","NBI-HE-96-30, ITP-UH-08/96","hep-th",,"  An iterative scheme is set up for solving the loop equation of the hermitian
one-matrix model with a multi-cut structure. Explicit results are presented for
genus one for an arbitrary but finite number of cuts. Due to the complicated
form of the boundary conditions, the loop correlators now contain elliptic
integrals. This demonstrates the existence of new universality classes for the
hermitian matrix model. The two-cut solution is investigated in more detail,
including the double-scaling limit. It is shown, that in special cases it
differs from the known continuum solution with one cut.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 14:30:49 GMT""},{""version"":""v2"",""created"":""Wed, 5 Jun 1996 21:38:36 GMT""}]","2009-10-30"
"hep-th/9606005","Eduardo Marino","E.C.Marino and F.I.Takakura","Massive Quantum Vortex Excitations in a Pure Gauge Abelian Theory in
  2+1D","Latex, 14 pages, one figure available upon request as a postscript
  file","Int.J.Mod.Phys. A12 (1997) 4155-4165","10.1142/S0217751X97002279",,"hep-th",,"  We introduce and study a pure gauge abelian theory in 2+1D in which massive
quantum vortex states do exist in the spectrum of excitations. This theory can
be mapped in a three dimensional gas of point particles with a logarithmic
interaction, in the grand-canonical ensemble. We claim that this theory is the
2+1D analog of the Sine-Gordon, the massive vortices being the counterparts of
Sine-Gordon solitons. We show that a symmetry breaking, order parameter,
similar to the vacuum expectation value of a Higgs field does exist.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 14:11:38 GMT""}]","2009-10-30"
"hep-th/9606006","Andrew Toon","Andrew Toon (Singapore Institute of Management, OUDP, Math Dept.)","Topology, Quantum Gravity and Particle Physics","18 pages, LaTeX. Replaced version corrects typos and has additional
  references","Class.Quant.Grav. 14 (1997) 915-927","10.1088/0264-9381/14/4/009",,"hep-th",,"  It is argued that quantum gravity has an interpretation as a topological
field theory provided a certain constraint from the path intergral measure is
respected. The constraint forces us to couple gauge and matter fields to
gravity for space - time dimensions different from 3. We then discuss possible
models which may be relevant to our universe.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 15:28:49 GMT""},{""version"":""v2"",""created"":""Thu, 26 Sep 1996 14:42:05 GMT""}]","2009-10-30"
"nucl-th/9605045","Wally Melnitchouk","G.Piller, W.Melnitchouk and A.W.Thomas","Polarized Deep-Inelastic Scattering from Nuclei -- A Relativistic
  Approach","28 pages RevTeX, 6 postscript figures, to appear in Phys.Rev.C","Phys.Rev.C54:894-903,1996","10.1103/PhysRevC.54.894","TUM-T39-95-19, U.MD. PP\#96-054, ADP-95-57/T204","nucl-th hep-ph",,"  A covariant formulation of spin-dependent deep-inelastic scattering from
nuclei is presented. In the relativistic impulse approximation the inclusive
nuclear cross section is described in terms of the amplitude for forward,
virtual-photon scattering from an off-mass-shell nucleon. The general structure
of the off-shell nucleon hadronic tensor is derived, and the leading behavior
of the off-shell nucleon structure functions computed in the Bjorken limit. The
formalism, which is valid for nucleons bound inside nuclei with spin 1/2 or 1,
is applied to the case of the deuteron.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 01:59:06 GMT""}]","2008-11-26"
"nucl-th/9606001","Lars Gerland","L. Gerland, C. Spieles, M. Bleicher, H. Stoecker (Institut fuer
  Theoretische Physik der J.W.Goethe Universitaet, Frankfurt, Germany), C.
  Greiner (Institut fuer Theoretische Physik der J. Liebig-Universitaet,
  Giessen, Germany)","Baryon Stopping and Strangeness Production in Ultra-Relativistic Heavy
  Ion Collisions","Proc. of the Winter Meeting on Nuclear Physics, January 1996, Bormio,
  Italy",,,,"nucl-th",,"  The stopping behaviour of baryons in massive heavy ion collisions (at SPS,
RHIC and LHC) is investigated within different microscopic models. At
SPS-energies the predictions range from full stopping to virtually total
transparency. Experimental data are indicating strong stopping. The initial
baryo-chemical potentials and temperatures at collider energies and their
impact on the formation probability of strange baryon clusters and strangelets
are discussed.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 14:45:40 GMT""}]","2007-05-23"
"q-alg/9606001","John F. Cornwell","J.F.Cornwell (St.Andrews, Scotland)","Irreducible tensor operators in the regular coaction formalisms of
  compact quantum group algebras","To be published in J.Math.Phys., 70 pages, RevTex",,"10.1063/1.531643",,"q-alg math.QA",,"  The defining conditions for the irreducible tensor operators associated with
the unitary irreducible corepresentions of compact quantum group algebras are
deduced first in both the right and left regular coaction formalisms. In each
case it is shown that there are {\em{two}} types of irreducible tensor
operator, which may be called `ordinary' and `twisted'. The consistency of the
definitions is demonstrated, and various consequences are deduced, including
generalizations of the Wigner-Eckart theorem for both the ordinary and twisted
operators. Also included are discussions (within the regular coaction
formalisms for compact quantum group algebras) of inner-products, basis
functions, projection operators, Clebsch-Gordan coefficients, and two types of
tensor product of corepresentations. The formulation of quantum homogeneous
spaces for compact quantum group algebras is discussed, and the defining
conditions for the irreducible tensor operators associated with such quan!
  tum homogeneous spaces and with the unitary irreducible corepresentions of
the compact quantum group algebras are then deduced. There are two versions,
which correspond to restrictions of the right and left regular coactions. In
each case it is again shown that there are ordinary and twisted irreducible
tensor operators. Various consequences are deduced, including the corresponding
generalizations of the Wigner-Eckart theorem.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 14:40:59 GMT""}]","2016-09-08"
"quant-ph/9606001","Hagen Kleinert","H. Kleinert","Classical and Fluctuating Paths in Spaces with Curvature and Torsion","Lecture presented at the 5th INTERNATIONAL CONFERENCE ON PATH
  INTEGRALS FROM meV TO MeV, Dubna, May 27-31, 1996 For more info, see
  http://www.physik.fu-berlin.de/~kleinert/",,,,"quant-ph",,"  This conference talk elaborates on a recently discovered mapping procedure by
which classical orbits and path integrals for the motion of a point particle in
flat space can be transformed correctly into those in curved space. This
procedure evolved from well established methods in the theory of plastic
deformations where crystals with defects are described mathematically by
applying nonholonomic coordinate transformations to ideal crystals. In the
context of time-sliced path integrals, there seems to exists a quantum
equivalence principle which determines the measures of fluctating orbits in
spaces with curvature and torsion. The nonholonomic transformations produce a
nontrivial Jacobian in the path measure which in a curved space produces
  an additional term proportional to the curvature scalar canceling a similar
term found earlier by DeWitt from a naive formulation of Feynman's time-sliced
path integral. This cancelation is important in correctly describing
semiclassically and quantum mechanically various systems such as the hydrogen
atom, a particle on the surface of a sphere, and a spinning top. It is also
indispensible for the process of bosonization, by which Fermi particles are
redescribed in terms of Bose fields.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 11:27:39 GMT""},{""version"":""v2"",""created"":""Thu, 8 Aug 1996 06:46:08 GMT""}]","2016-09-08"
