"alg-geom/9606012","Robert Lazarsfeld","Robert Lazarsfeld","Lengths of Periods and Seshadri Constants of Abelian Varieties","8 pages, AMS-TeX v 2.1",,,,"alg-geom math.AG",,"  The purpose of this note is to point out an elementary but somewhat
surprising connection between the work of Buser and Sarnak on lengths of
periods of abelian varieties and the Seshadri constants measuring the local
positivity of theta divisors. The link is established via symplectic blowing
up, in the spirit of McDuff and Polterovich. As an application of the main
inequality, we get a simple new proof of a statement of Buser-Sarnak type to
the effect that the Jacobian of a curve has a period of unusually small length.
We also deduce a lower bound on the Seshadri constant of a very general
p.p.a.v. which differs from the maximum possible by a factor of less than four.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 19:23:45 GMT""}]","2008-02-03"
"gr-qc/9606035","Leonid V. Verozub","L.V.Verozub","Relativity of Space-Time Geometry","LaTex 2.09 , Lecture given at Stefan Banach Center (Warsaw), March
  1996",,,,"gr-qc",,"  We argue that space-time geometry is not absolute with respect to the frame
of reference being used. The space-time metric differential form $ds$ in
noninertial frames of reference (NIFR) is caused by the properties of the used
frames in accordance with the Berkley - Leibnitz - Mach - Poincar\'{e} ideas
about relativity of space and time . It is shown that the Sagnac effect and the
existence of inertial forces in NIFR can be considered from this point of view.
An experimental test is proposed.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 15:34:40 GMT""}]","2007-05-23"
"hep-ex/9606006","Irgmard Harm","ZEUS Collaboration, M. Derrick et al","Observation of Events with an Energetic Forward Neutron in Deep
  Inelastic Scattering at HERA","PS file including 4 figures First replacement due to display problems
  with fig. 3. Contents of paper unchanged","Phys.Lett.B384:388-400,1996","10.1016/0370-2693(96)00688-0","DESY 96-093","hep-ex",,"  In deep inelastic neutral current scattering of positrons and protons at the
center of mass energy of 300 GeV, we observe, with the ZEUS detector, events
with a high energy neutron produced at very small scattering angles with
respect to the proton direction. The events constitute a fixed fraction of the
deep inelastic, neutral current event sample independent of Bjorken $x$ and
$Q^2$ in the range $ 3 \cdot 10^{-4} < \xbj < 6\cdot 10^{-3}$ and $10 < Q^2
<100$~GeV$^2$.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 10:02:59 GMT""},{""version"":""v2"",""created"":""Mon, 29 Jul 1996 14:32:17 GMT""}]","2008-11-26"
"hep-lat/9606004","Robert Edwards","R.G. Edwards, Ivan Horv\'ath, and A.D. Kennedy","Instabilities and Non-Reversibility of Molecular Dynamics Trajectories","28 pages latex with 19 color postscript figures included by epsf","Nucl.Phys. B484 (1997) 375-402","10.1016/S0550-3213(96)00618-9","FSU-SCRI-96-49","hep-lat",,"  The theoretical justification of the Hybrid Monte Carlo algorithm depends
upon the molecular dynamics trajectories within it being exactly reversible. If
computations were carried out with exact arithmetic then it would be easy to
ensure such reversibility, but the use of approximate floating point arithmetic
inevitably introduces violations of reversibility. In the absence of evidence
to the contrary, we are usually prepared to accept that such rounding errors
can be made small enough to be innocuous, but in certain circumstances they are
exponentially amplified and lead to blatantly erroneous results. We show that
there are two types of instability of the molecular dynamics trajectories which
lead to this behavior, instabilities due to insufficiently accurate numerical
integration of Hamilton's equations, and intrinsic chaos in the underlying
continuous fictitious time equations of motion themselves. We analyze the
former for free field theory, and show that it is essentially a finite volume
effect. For the latter we propose a hypothesis as to how the Liapunov exponent
describing the chaotic behavior of the fictitious time equations of motion for
an asymptotically free quantum field theory behaves as the system is taken to
its continuum limit, and explain why this means that instabilities in molecular
dynamics trajectories are not a significant problem for Hybrid Monte Carlo
computations. We present data for pure $SU(3)$ gauge theory and for QCD with
dynamical fermions on small lattices to illustrate and confirm some of our
results.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 17:48:53 GMT""}]","2009-10-28"
"hep-lat/9606005","Derek Leinweber","Frank X. Lee (TRIUMF) and Derek B. Leinweber (U. Washington)","Light Hadron Masses on Coarse Lattices with Improved Actions","2 page conference proceeding for PANIC '96. This and related papers
  may also be obtained from
  http://www.phys.washington.edu/~derek/Publications.html",,,"U. Washington PP DOE/ER/40427-9-N96","hep-lat",,"  The lattice QCD field is currently undergoing a revolution in the manner in
which improvements of the approach are being implemented. We are examining the
utility of order-a^2-improved tadpole-improved actions for the light fermion
sector. The masses of the low-lying hadrons are calculated using the
order-a^2-improved gluon action and the order-a^2-improved 2-link fermion
action of Hamber and Wu with further tadpole improvement. Initial results on a
6^3 x 12 lattice at beta = 6.25 and a 10^3 x 16 lattice at beta = 7.0 are
presented. The corresponding lattice spacings are approximately 0.40 fm and
0.24 fm respectively. These lattices provide a constant volume in which the
scaling of observables is assessed.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 23:07:23 GMT""}]","2007-05-23"
"hep-ph/9606324","Ahmed Ali","A. Ali (DESY, Hamburg)","$B$ Decays, Flavour Mixings and CP Violation in the Standard Model","87 pages, 15 figures (require epsf.sty, rotate, epsf bounding box
  macro embedded). Five lectures presented at the XX International Nathiagali
  Summer College on Physics and Contemporary Needs, Bhurban, Pakistan, June 24
  - July 11, 1995; to be published in the Proceedings (Nova Science Publishers,
  New York). Dedicated to Professor Abdus Salam on his 70th Birthday. Report
  No. DESY 96-106, June 1996",,,,"hep-ph",,"  These lectures review the progress made in our present understanding of $B$
decays. The emphasis here is on applications of QCD to $B$ decays and the
attendant perturbative and non-perturbative uncertainties, which limit present
theoretical precision in some cases but the overall picture that emerges is
consistent with the standard model (SM). This is illustrated by quantitatively
analyzing some of the key measurements in $B$ physics.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 16:18:30 GMT""}]","2007-05-23"
"hep-ph/9606325",,"Howard Baer, Ray Munroe and Xerxes Tata","Supersymmetry Studies at Future Linear $e^+e^-$ Colliders","30 pages plus 23 figures; uuencoded text file with PS figures
  available via anonymous ftp from ftp://hep.fsu.edu/preprints/baer/nlc.uu","Phys.Rev.D54:6735-6755,1996; Erratum-ibid.D56:4424,1997","10.1103/PhysRevD.54.6735 10.1103/PhysRevD.56.4424","FSU-HEP-960601 and UH-511-850-96","hep-ph",,"  We examine various aspects of supersymmetric particle production at linear
$e^+e^-$ colliders operating at a centre of mass energy of $\sqrt{s}=500$ GeV,
and integrated luminosity of $\int {\cal L}dt=20-50$ fb$^{-1}$. Working within
the framework of the minimal supergravity model with gauge coupling unification
and radiative electroweak symmetry breaking (SUGRA), we study various
signatures for detection of sparticles, taking into account their cascade
decays, and map out the regions of parameter space where these are observable.
We also examine strategies to isolate different SUSY processes from another. In
addition, we perform four detailed SUGRA case studies and examine the
detectability of sparticles when several SUSY processes are simultaneously
occuring. We show that precision mass measurements of neutralinos, sneutrinos
and top-squarks are possible, in addition to previously studied precision mass
measurements of sleptons and charginos.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 17:42:46 GMT""}]","2014-11-17"
"hep-ph/9606326","Jerry Franklin","Jerrold Franklin","Mixing of Xi_c and Xi_c' Baryons","One missprint corrected. The numerator of Eq. (12) should read
  {2[(Sigma_c^{*++}-Sigma_c^{++})-(Xi_c^{*+}-Xi_c^{'+})]} The correct equation
  was used in the calculation so no other change is made","Phys.Rev. D55 (1997) 425-426","10.1103/PhysRevD.55.425","TUHE9661","hep-ph",,"  The mixing angle between the Xi_c and Xi_c' baryons is shown to be small,
with a negligible shift in the Xi_c masses.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 19:59:05 GMT""},{""version"":""v2"",""created"":""Mon, 17 Jun 1996 00:34:57 GMT""},{""version"":""v3"",""created"":""Mon, 17 Jun 1996 11:34:40 GMT""}]","2009-10-28"
"hep-ph/9606327",,"Isard Dunietz (Fermilab), Joseph Incandela (Fermilab), Frederick D.
  Snider (The Johns Hopkins University), Kyuzo Tesima (Fujita Health
  University), Isamu Watanabe (Akita Junior College)","Comments on Recent Measurements of R_c and R_b","RevTeX, 32 pages, 3 figures",,,,"hep-ph",,"  Discrepancies between Standard Model predictions and experimental
measurements of the fractions R_c and R_b of hadronic Z decays to charm and
bottom are investigated. We show that there exists a discrepancy in two
complementary determinations of B(Bbar --> D X). Reducing the branching ratio
B(D0 --> K- Pi+) by about 15% from currently accepted values to 3.50+/-0.21
removes the discrepancy. Since B(D0 --> K- Pi+) calibrates most charmed hadron
yields, the reduced value also eliminates the discrepancy between the predicted
and measured values of R_c and mitigates a problem in semileptonic B decays. A
reduction in B(D0 --> K- Pi+) would also mean that roughly 15% of all D0 and D+
decays have not been properly taken into account. It is shown that if the
missing decay modes involve multiple charged particles, they would be more
likely to pass the requirements for lifetime B tagging at LEP and SLC. This
would mean that the charm tagging efficiency in (Z --> c cbar) has been
underestimated. As a consequence R_b would need to be revised downward,
potentially bringing it in line with the Standard Model prediction.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 19:28:50 GMT""}]","2007-05-23"
"hep-ph/9606328","M. B. Paranjape","T. Gisiger and M. B. Paranjape","Solitons in a Baby-Skyrme model with invariance under area preserving
  diffeomorphisms","30 pages, 5 figures, revtex, major modifications, conclusions
  modified","Phys.Rev. D55 (1997) 7731-7738","10.1103/PhysRevD.55.7731","UDEM-GPP-TH-96-35","hep-ph",,"  We study the properties of soliton solutions in an analog of the Skyrme model
in 2+1 dimensions whose Lagrangian contains the Skyrme term and the mass term,
but no usual kinetic term. The model admits a symmetry under area preserving
diffeomorphisms. We solve the dynamical equations of motion analytically for
the case of spinning isolated baryon type solitons. We take fully into account
the induced deformation of the spinning Skyrmions and the consequent
modification of its moment of inertia to give an analytical example of related
numerical behaviour found by Piette et al.. We solve the equations of motion
also for the case of an infinite, open string, and a closed annular string. In
each case, the solitons are of finite extent, so called ""compactons"", being
exactly the vacuum outside a compact region. We end with indications on the
scattering of baby-Skyrmions, as well as some considerations as the properties
of solitons on a curved space.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 20:04:44 GMT""},{""version"":""v2"",""created"":""Fri, 20 Sep 1996 15:31:13 GMT""},{""version"":""v3"",""created"":""Tue, 1 Apr 1997 18:41:18 GMT""}]","2009-10-28"
"hep-ph/9606329","Dr. Gabor Papp","Romuald A. Janik, Maciej A. Nowak, G\'abor Papp and Ismail Zahed","Macroscopic Universality : Why QCD in Matter is Subtle?","Title changed in published version","Phys.Rev.Lett. 77 (1996) 4876-4879","10.1103/PhysRevLett.77.4876",,"hep-ph cond-mat hep-lat hep-th",,"  We use a chiral random matrix model with 2N_f flavors to mock up the QCD
Dirac spectrum at finite chemical potential. We show that the 1/N approximation
breaks down in the quenched state with spontaneously broken chiral symmetry.
The breakdown condition is set by the divergence of a two-point function, that
is shown to follow the general lore of macroscopic universality. In this state,
the fermionic fluctuations are not suppressed in the large N limit.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 21:23:37 GMT""},{""version"":""v2"",""created"":""Fri, 10 Jan 1997 10:09:55 GMT""}]","2016-08-15"
"hep-ph/9606330","Lawrence Horwitz","Lawrence P. Horwitz","Time and the Evolution of States in Relativistic Classical and Quantum
  Mechanics","Plain TeX, 17 pages.(To be presented at the conference on Physical
  Interpretations of Relativity Theory, Imperial College, 6-9 September, 1996.)",,,"IASSNS-HEP-96/59","hep-ph",,"  A consistent classical and quantum relativistic mechanics can be constructed
if Einstein's covariant time is considered as a dynamical variable. The
evolution of a system is then parametrized by a universal invariant identified
with Newton's time. This theory, originating in the work of Stueckelberg in
1941, contains many questions of interpretation, reaching deeply into the
notions of time, localizability, and causality. Some of the basic ideas are
discussed here, and as an example, the solution of the two body problem with
invariant action-at-a-distance potential is given. A proper generalization of
the Maxwell theory of electromagnetic interaction, implied by the
Stueckelberg-Schr\""odinger dynamical evolution equation and its physical
implications are also discussed. It is also shown that a similar construction
occurs, applying similar ideas, in the theory of gravitation.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 02:17:26 GMT""}]","2007-05-23"
"hep-ph/9606331","Masayasu Harada","Masayasu Harada","Pi Pi scattering in an effective chiral Lagrangian","10 pages (LaTeX), 4 PostScript figures are included as
  uuencoded-compressed-tar file at the end (need epsf.tex). Talk given at
  Montreal-Rochester-Syracuse-Toronto meeting (May 9--10, 1996)",,,"SU-4240-635","hep-ph",,"  In this talk I summarize a recently proposed mechanism to understand pi pi
scattering to 1 GeV. The model is motivated by the 1/Nc expansion to QCD, and
includes a current algebra contact term and resonant pole exchanges. Chiral
symmetry plays an important role in restricting the form of the interactions.
The existence of a broad low energy scalar (sigma) is indicated.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 02:23:05 GMT""}]","2007-05-23"
"hep-ph/9606332","Erwin Mirkes","Erwin Mirkes and Dieter Zeppenfeld","QCD Corrections to Jet Cross Sections in DIS","Invited talk given at the Zeuthen Workshop on Elementary Particle
  Theory, ""QCD and QED in Higher Orders"", Rheinsberg, Germany, 21-26 April
  1996; presented by E. Mirkes. 6 pages, 4 figures. The complete paper,
  including figures, is also available via anonymous ftp at
  ftp://www-ttp.physik.uni-karlsruhe.de/ , or via www at
  http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/","Nucl.Phys.Proc.Suppl. 51C (1996) 273-280","10.1016/S0920-5632(96)90036-5","TTP96-24, MADPH-96-946","hep-ph",,"  Next-to-leading order corrections to jet cross sections in deep inelastic
scattering at HERA are studied. The predicted jet rates allow for a precise
determination of $\alpha_s(\mu_R)$ at HERA over a wide range of $\mu_R$. We
argue, that the ``natural'' renormalization and factorization scale is set by
the average $k_T^B$ of the jets in the Breit frame and suggest to divide the
data in corresponding $<k_T^B>$ intervals. Some implications for the
determination of the gluon density and the associated forward jet production in
the low $x$ regime at HERA are briefly discussed.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 08:40:55 GMT""}]","2015-06-25"
"hep-ph/9606333",,"N. Armesto, M. A. Braun, E. G. Ferreiro, C. Pajares and Yu. M.
  Shabelski","Fusion of strings as a hadronic accelerator","LaTeX, 17 pages plus 7 figures in a separate postcript file",,,"US-FT/11-96","hep-ph",,"  It is shown that the fusion of strings is a source of particle production in
nucleus--nucleus collisions outside the kinematical limits of nucleon--nucleon
collisions. The spectrum of different particles is compared with the high
energy data on p--A collisions obtaining a reasonable agreement. Results for
A--B collisions at $\sqrt{s}=19.4$ AGeV and $\sqrt{s}=200$ AGeV are given. It
is shown that the fusion of strings can accelerate particles up to the highest
energy detected in cosmic rays without help of any additional cosmic
accelerator. Also the rise of the average shower depth of maximun for cosmic
rays in the energy range between $10^{16}$ eV and $10^{19}$ eV can be explained
by the same mechanism without requiring any change in the chemical composition.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 02:47:59 GMT""}]","2007-05-23"
"hep-ph/9606334","Lev F. M.","Felix M. Lev","Role of Nonperturbative Effects in Deep Inelastic Scattering Revisited","27 pages, LaTeX",,,,"hep-ph",,"  Restrictions imposed on the (electromagnetic or weak) current operator by its
commutation relations with the representation operators of the Poincare group
are considered in detail. We argue that the present theory of deep inelastic
scattering based on perturbative QCD does not take into account the dependence
of the current operator on the nonperturbative part of the quark-gluon
interaction which cannot be neglected even in leading order in $1/Q$, where $Q$
is the magnitude of the momentum transfer.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 11:49:15 GMT""}]","2007-05-23"
"hep-ph/9606335","Sergei Chikanov","S.V.Chekanov, W.Kittel and V.I.Kuvshinov","Generalized Bunching Parameters and Multiplicity Fluctuations in
  Restricted Phase-Space Bins","LaTex, 29 pages, 9 eps figures, epsfig.sty, cite.sty, (submitted to
  Z.Phys.C)","Z.Phys. C74 (1997) 517-529",,"HEN-391","hep-ph hep-ex",,"  Experimental aspects of the use of bunching parameters are discussed. Special
attention is paid to the behavior expected for the case of purely statistical
fluctuations. We studied bin-averaged bunching parameters and propose a
generalization of bunching parameters, making use of the interparticle
distance-measure technique. The proposed method opens up the possibility of
carrying out a comprehensive and sensitive investigation of multiplicity
fluctuations inside jets.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 12:05:57 GMT""}]","2007-05-23"
"hep-th/9606077","Alexander Popov","A.D.Popov, M.Bordemann, H.Roemer (Freiburg U.)","Symmetries, Currents and Conservation Laws of Self-Dual Gravity","14 pages, LaTeX, the paper was reformatted","Phys.Lett. B385 (1996) 63-74","10.1016/0370-2693(96)00874-X","FR-THEP/96-10","hep-th astro-ph gr-qc nlin.SI solv-int",,"  We describe an infinite-dimensional algebra of hidden symmetries for the
self-dual gravity equations. Besides the known diffeomorphism-type symmetries
(affine extension of w(infinity) algebra), this algebra contains new hidden
symmetries, which are an affine extension of the Lorentz rotations. The full
symmetry algebra has both Kac-Moody and Virasoro-like generators, whose
exponentiation maps solutions of the field equations to other solutions.
Relations to problems of string theories are briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 16:38:31 GMT""},{""version"":""v2"",""created"":""Fri, 14 Jun 1996 10:25:42 GMT""}]","2009-10-30"
"hep-th/9606078","Paolo Valtancoli","Luca Lusanna (INFN Florence) and Paolo Valtancoli (University of
  Florence)","Dirac's Observables for the Higgs Model: I) the Abelian Case","34 pages, RevTeX","Int.J.Mod.Phys. A12 (1997) 4769-4796","10.1142/S0217751X97002541",,"hep-th",,"  We search a canonical basis of Dirac's observables for the classical Abelian
Higgs model with fermions in the case of a trivial U(1) principal bundle. The
study of the Gauss law first class constraint shows that the model has two
disjoint sectors of solutions associated with two physically different phases.
In the electromagnetic phase, the electromagnetic field remains massless: after
the determination of the Dirac's observables we get that both the reduced
physical Hamiltonian and Lagrangian are nonlocal. In the Higgs phase, the
electromagnetic field becomes massive and in terms of Dirac's observables we
get a local, but nonanalytic in the electric charge (or equivalently in the sum
of the electromagnetic mass and of the residual Higgs field), physical
Hamiltonian; however the associated Lagrangian is nonlocal. Some comments on
the R-gauge-fixing, the possible elimination of the residual Higgs field and on
the Nielsen-Olesen vortex solution close the paper.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 17:10:01 GMT""}]","2009-10-30"
"hep-th/9606079","Paolo Valtancoli","Luca Lusanna (INFN Florence) and Paolo Valtancoli (University of
  Florence)","Dirac's Observables for the Higgs Model: II) the non-Abelian SU(2) Case","31 pages, RevTeX","Int.J.Mod.Phys. A12 (1997) 4797-4822","10.1142/S0217751X97002553","FI-96-30","hep-th",,"  We search a canonical basis of Dirac's observables for the classical
non-Abelian Higgs model with fermions in the case of a trivial SU(2) principal
bundle with a complex doublet of Higgs fields and with the fermions in a given
representation of SU(2). Since each one of the three Gauss law first class
constraints can be solved either in the corresponding longitudinal electric
field or in the corresponding Higgs momentum, we get a priori eight disjoint
phases of solutions of the model. The only two phases with SU(2) covariance are
the SU(2) phase with massless SU(2) fields and the Higgs phase with massive
SU(2) fields. The Dirac observables and the reduced physical (local)
Hamiltonian and (nonlocal) Lagrangian of the Higgs phase are evaluated: the
main result is the nonanalyticity in the SU(2) coupling constant, or
equivalently in the sum of the residual Higgs field and of the mass of the
SU(2) fields. Some comments on the function spaces needed for the gauge fields
are made.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 17:24:03 GMT""}]","2009-10-30"
"hep-th/9606080","Laurent Baulieu","Laurent Baulieu, Michael B. Green and Eliezer Rabinovici","A Unifying Topological Action for Heterotic and Type II Superstring
  Theories","14 pages, LaTeX, no figures","Phys.Lett. B386 (1996) 91-98","10.1016/0370-2693(96)00909-4","DAMTP/96-50, PAR--LPTHE 96--15","hep-th",,"  The heterotic and type II superstring actions are identified in different
anomaly-free decompositions of a single topological sigma-model action
depending on bosonic and fermionic coordinates, $X^\mu$ and $\r^A$
respectively, and of their topological ghosts. This model results from
gauge-fixing the topological gauge symmetry $\delta X^\mu = \epsilon^\mu
(z,\bar z)$ ($\mu =1,2,\dots, 10$) and $\delta \r^\alpha= \epsilon^\alpha
(z,\bar z)$. ($\alpha=1,2.\dots, 16$). From another viewpoint the heterotic and
type II superstring actions emerge as two different gauge-fixings of the same
closed two-form. Comments are also made concerning the possibility of relating
$\rho^\alpha$ to a Majorana-Weyl space-time spinor superpartner of $X^\mu$.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 17:31:33 GMT""}]","2009-10-30"
"hep-th/9606081","Fred Dilkes","F.A. Dilkes, L.C. Martin, D.G.C. McKeon, T.N.Sherry","Gauge Dependence in Chern-Simons Theory","17 pp (including 3 figures). Uses REVTeX 3.0 and epsfig.sty
  (available from LANL). Latex thrice","Int.J.Mod.Phys. A14 (1999) 463-480","10.1142/S0217751X99000233",,"hep-th",,"  We compute the contribution to the modulus of the one-loop effective action
in pure non-Abelian Chern-Simons theory in an arbitrary covariant gauge. We
find that the results are dependent on both the gauge parameter ($\alpha$) and
the metric required in the gauge fixing. A contribution arises that has not
been previously encountered; it is of the form $(\alpha / \sqrt{p^2}) \epsilon
_{\mu \lambda \nu} p^\lambda$. This is possible as in three dimensions $\alpha$
is dimensionful. A variant of proper time regularization is used to render
these integrals well behaved (although no divergences occur when the
regularization is turned off at the end of the calculation). Since the original
Lagrangian is unaltered in this approach, no symmetries of the classical theory
are explicitly broken and $\epsilon_{\mu \lambda \nu}$ is handled unambiguously
since the system is three dimensional at all stages of the calculation. The
results are shown to be consistent with the so-called Nielsen identities which
predict the explicit gauge parameter dependence using an extension of BRS
symmetry. We demonstrate that this $\alpha$ dependence may potentially
contribute to the vacuum expectation values of products of Wilson loops.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 21:49:54 GMT""}]","2009-10-30"
"hep-th/9606082","Gregory Moore","Andrei Losev, Gregory Moore, Nikita Nekrasov, and Samson Shatashvili","Chiral Lagrangians, Anomalies, Supersymmetry, and Holomorphy","31 pp., Harvmac (b) mode","Nucl.Phys. B484 (1997) 196-222","10.1016/S0550-3213(96)00612-8","PUPT-1627,ITEP-TH-18/96,YCTP-P10-96","hep-th",,"  We investigate higher-dimensional analogues of the $bc$ systems of 2D RCFT.
When coupled to gauge fields and Beltrami differentials defining integrable
holomorphic structures the $bc$ partition functions can be explicitly evaluated
using anomalies and holomorphy. The resulting induced actions generalize the
chiral algebras of 2D RCFT to $2n$ dimensions. Moreover, $bc$ systems in four
and six dimensions are closely related to supersymmetric matter. In particular,
we show that $d=4, \mathcal{N}=2$ hypermultiplets induce a theory of self-dual
Yang-Mills fields coupled to self-dual gravity. In this way the $bc$ systems
fermionize both the algebraic sector of the $WZW_4$ theory, as defined by Losev
et. al., and the classical open $\mathcal{N}_{ws}=2$ string.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 00:36:18 GMT""}]","2017-09-07"
"hep-th/9606083","Mauri Miettinen","Mauri Miettinen","Antibrackets, Supersymmetric $\sigma$-Model and Localization","9, pages, standard LaTex","Phys.Lett. B388 (1996) 309-314","10.1016/S0370-2693(96)01169-0","UU-ITP 14-1996","hep-th",,"  We consider supersymmetrization of Hamiltonian dynamics via antibrackets for
systems whose Hamiltonian generates an isometry of the phase space. We find
that the models are closely related to the supersymmetric non-linear
$\sigma$-model. We interpret the corres\-ponding path integrals in terms of
super loop space equivariant cohomology. It turns out that they can be
evaluated exactly using localizations techniques.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 07:57:10 GMT""}]","2009-10-30"
"hep-th/9606084",,"V.Milani, A.Shafei Deh Abad","Geodesic Curves on Quantized Manifolds","Latex, 7 pages","Lett.Math.Phys. 40 (1997) 391-394",,,"hep-th",,"  A general definition of the curves and geodesics associated with a given
connection on a quantized manifold is given. In the particular case of the
functional quantization we define geodesics in the same way as in the classical
case and we will show that the two definitions are compatible. As an example we
examine our results for the quantum plane.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 19:50:35 GMT""}]","2007-05-23"
"hep-th/9606085","Mekhfi Mustapha","M.Mekhfi","Twisted Homotopy: A Group Theoretic Approach","7 pages,Latex,no figures",,,,"hep-th",,"  After summarising the physical approach leading to twisted homotopy and after
developing the cohomological approach further with respect to our previous work
we propose a third alternative approach to twisted homotopy based on group
theoretic considerations. In this approach the fundamental group $\Pi (m) $
isomorphic to Z which describes homotopic loops on the punctured plane$ R^2/(0)
$ is enhanced in a special way to the continuous SO(2) group . This is
performed by letting the parameter of the group $ m \rightarrow \lambda $ while
keeping its generator unchanged .It is shown that such non-trivial procedure
has the effect of introducing well defined self-interactions among loops which
are at the basis of twisted homotopy where the angle $ \lambda $ plays the role
of the self coupling constant.
  KEYWORDS: Homotopy, Group Theory, Quantum Mechanics
  MSC:55Q35; PACS:02.20.Fh ; 03.65.Fd
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 14:12:54 GMT""}]","2016-09-06"
"hep-th/9606086",,"Sheldon Katz and Cumrun Vafa","Matter From Geometry","11 pages, Harvmac (b) mode","Nucl.Phys.B497:146-154,1997","10.1016/S0550-3213(97)00280-0","HUTP-96/A021,OSU Math 1996-10","hep-th math.AG",,"  We provide a local geometric description of how charged matter arises in type
IIA, M-theory, or F-theory compactifications on Calabi-Yau manifolds. The basic
idea is to deform a higher singularity into a lower one through Cartan
deformations which vary over space. The results agree with expectations based
on string dualities.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 15:21:31 GMT""}]","2010-04-06"
"nucl-th/9606025","Xuemin Jin","Xuemin Jin and B.K. Jennings","Recovering Relativistic Nuclear Phenomenology from the Quark-Meson
  Coupling Model","2 pages, latex, no figures, talk given at the XIV International
  Conference on Particle and Nuclei, Williamsburg, May 22-28, 1996",,,"TRI-PP-96-20","nucl-th",,"  The quark-meson coupling (QMC) model for nuclear matter, which describes
nuclear matter as non-overlapping MIT bags bound by the self-consistent
exchange of scalar and vector mesons is modified by the introduction of a
density dependent bag constant. It is found that when the bag constant is
significantly reduced in nuclear medium with respect to its free space value,
large canceling isoscalar Lorentz scalar and vector potentials for the nucleon
in nuclear matter emerge naturally. Such potentials are comparable to those
suggested by relativistic nuclear phenomenology. This suggests that the
modification of the bag constant in the nuclear medium may play an important
role in low- and medium-energy nuclear physics.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 16:50:03 GMT""}]","2007-05-23"
"nucl-th/9606026","Derek Leinweber","Frank X. Lee (TRIUMF), Derek B. Leinweber (U. Washington) and Xuemin
  Jin (TRIUMF)","New QCD Sum Rules for Nucleon Axial Vector Coupling Constants","2 page conference proceeding for PANIC '96. This and related papers
  may also be obtained from
  http://www.phys.washington.edu/~derek/Publications.html",,,"U. Washington PP DOE/ER/40427-10-N96","nucl-th",,"  New QCD sum rules for the nucleon axial-vector current coupling constants are
derived. One set is derived from a generalized correlator of spin-1/2
interpolating fields, and the other with a mixed correlator of spin-1/2 and
spin-3/2 fields. Using a recently-developed Monte-Carlo based uncertainty
analysis and techniques for determining the optimal interpolating fields, the
predicative ability of QCD sum rules for axial-vector current coupling
constants are determined. We find the previous studies of this matrix element
are based on an invalid sum rule. A combined analysis of this sum rule together
with the nucleon mass sum rules yields $g_A=1.48\pm^{1.06}_{0.65}$. The
relative error of approximately 60% is large compared to a 10% error for the
nucleon mass obtained from the same input parameters.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 23:08:23 GMT""}]","2007-05-23"
"nucl-th/9606027","Christian Spieles","C. Spieles, M. Bleicher, L. Gerland, H. Stoecker (Frankfurt
  University), C. Greiner (Giessen University)","Dynamics of Strangeness Production and Strange Matter Formation","Proceedings of the International Conference: Structure of Vacuum and
  Elementary Matter, March 10-16, 1996, Wilderness/George, South Africa, to be
  published by World Scientific Publ. Co., Singapore (8 pages)",,,,"nucl-th",,"  The dynamics of a hadronizing quark matter drop is investigated with a
hybrid-like model, which takes into account equilibrium as well as
non-equilibrium features of the process. We study the the particle rates from
the hadronizing plasma, which have to be put in relation to the whole time
evolution of the system. The impact of finite-size effects on the distillation
process is considered. $H^0$-Dibaryon yields are estimated. Microscopic
calculations of hypercluster formation at AGS and SPS are presented.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 12:30:24 GMT""}]","2007-05-23"
