"alg-geom/9609020","Teleman","Andrei Teleman","Non-abelian Seiberg-Witten theory and projectively stable pairs","TeX-Type: LaTeX, 31 pages, revised version",,,,"alg-geom dg-ga hep-th math.AG math.DG",,"  We introduce the concept of Spin^G-structure in a SO-bundle, where $G\subset
U(V)$ is a compact Lie group containing $-id_V$. We study and classify
$Spin^G(4)$-structures on 4-manifolds, we introduce the G-Monopole equations
associated with a $Spin^G$-structure. On Kaehler surfaces a Kobayashi-Hitchin
correspondence can be proved for the corresponding moduli spaces. Using this
complex geometric interpretation, we determine explicitely a moduli space of
""PU(2)-Monopoles"" on $\P^2$, we describe its Uhlenbeck compactification, as
well as the Donaldson- and the abelian locus.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 16:03:40 GMT""},{""version"":""v2"",""created"":""Tue, 8 Apr 1997 08:55:59 GMT""},{""version"":""v3"",""created"":""Mon, 2 Jun 1997 17:36:31 GMT""}]","2008-02-03"
"hep-lat/9609041","Paolo Provero","M. Caselle, R. Fiore, F. Gliozzi, M. Hasenbusch and P. Provero","String Effects in the Wilson Loop: a high precision numerical test","19 pages, LaTeX file + two .eps figures","Nucl.Phys.B486:245-260,1997","10.1016/S0550-3213(96)00672-4","DFTT 45/96","hep-lat",,"  We test numerically the effective string description of the infrared limit of
lattice gauge theories in the confining regime. We consider the 3d Z(2) lattice
gauge theory, and we define ratios of Wilson loops such that the predictions of
the effective string theory do not contain any adjustable parameters. In this
way we are able to obtain a degree of accuracy high enough to show
unambiguously that the flux--tube fluctuations are described, in the infrared
limit, by an effective bosonic string theory.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 16:10:28 GMT""}]","2008-11-26"
"hep-lat/9609042",,"S. Chandrasekharan and U.-J. Wiese (MIT)","Quantum Link Models: A Discrete Approach to Gauge Theories","18 pages, Latex, no figures, final version to appear in Nuclear
  Physics B, references to earlier work by Horn, Orland and Rohrlich included","Nucl.Phys. B492 (1997) 455-474","10.1016/S0550-3213(97)80041-7","CTP 2573","hep-lat cond-mat hep-th",,"  We construct lattice gauge theories in which the elements of the link
matrices are represented by non-commuting operators acting in a Hilbert space.
These quantum link models are related to ordinary lattice gauge theories in the
same way as quantum spin models are related to ordinary classical spin systems.
Here U(1) and SU(2) quantum link models are constructed explicitly. As
Hamiltonian theories quantum link models are nonrelativistic gauge theories
with potential applications in condensed matter physics. When formulated with a
fifth Euclidean dimension, universality arguments suggest that dimensional
reduction to four dimensions occurs. Hence, quantum link models are also
reformulations of ordinary quantum field theories and are applicable to
particle physics, for example to QCD. The configuration space of quantum link
models is discrete and hence their numerical treatment should be simpler than
that of ordinary lattice gauge theories with a continuous configuration space.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 20:13:29 GMT""},{""version"":""v2"",""created"":""Tue, 31 Dec 1996 21:04:11 GMT""}]","2015-06-25"
"hep-ph/9609490","Jean-Rene Cudell","J.R. Cudell and I. Royen (Liege U.)","Vector Meson Production at HERA","12 pages, Latex, 6 figures. Shortened version of the previous paper,
  which also includes a clearer criticism of the work by Martin, Ryskin and
  Teubner, hep-ph/9609448","Phys.Lett. B397 (1997) 317-324","10.1016/S0370-2693(97)00193-7","ULG-PNT-96-2-JRC","hep-ph",,"  We show that the lowest-order QCD calculation in a simple model of elastic
vector-meson production does reproduce correctly the ratios of cross sections
for rho, phi and J/psi, both in photoproduction and in high-Q2 quasi-elastic
scattering. The dependence of the slopes on the mass of the vector meson is
reproduced as well. We examine the lower-energy data, and find that the energy
dependence of the cross section does not depend on Q2, but may depend on the
vector-meson mass.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 16:11:25 GMT""},{""version"":""v2"",""created"":""Mon, 24 Feb 1997 12:16:17 GMT""}]","2009-10-28"
"hep-ph/9609491","Gabor Papp","Romuald A. Janik, Maciej A. Nowak, Gabor Papp, Jochen Wambach and
  Ismail Zahed","Nonhermitean Random Matrix Models : a Free Random Variable Approach","7 pages LaTeX, 1 EPS figure","Phys.Rev. E55 (1997) 4100-4106","10.1103/PhysRevE.55.4100",,"hep-ph chao-dyn cond-mat hep-th nlin.CD nucl-th",,"  Using the standard concepts of free random variables, we show that for a
large class of nonhermitean random matrix models, the support of the eigenvalue
distribution follows from their hermitean analogs using a conformal
transformation. We also extend the concepts of free random variables to the
class of nonhermitean matrices, and apply them to the models discussed by
Ginibre-Girko (elliptic ensemble) and Mahaux-Weidenm\""uller (chaotic resonance
scattering).
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 16:11:35 GMT""}]","2009-10-28"
"hep-ph/9609493",,"Utpal Sarkar","Spontaneous Leptogenesis","8 pages (including 1 eps file)",,,,"hep-ph",,"  I propose a new mechanism for baryogenesis, in which the out-of-equilibrium
condition is not neccessary. When the electroweak symmetry is broken
spontaneously, left-handed neutrinos may get Majorana masses containing
$CP-$violating phases. This induces a lepton asymmetry spontaneously, which is
then converted to a baryon asymmetry in the presence of the sphaleron field.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 16:36:24 GMT""}]","2007-05-23"
"hep-ph/9609494","Stamenov Dimiter Borisov","E. Leader, D.B. Stamenov","A Possible Explanation of the Excess Jet Production at Large E_T","5 pages - LaTeX",,,,"hep-ph",,"  We demonstrate that the significant discrepancy between the previous
predictions of the conventional QCD and the CDF inclusive jet production data
could be an indication that the behaviour of the Callan-Symanzik \beta function
in QCD corresponds to it having an ultraviolet finite fixed point.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 16:52:22 GMT""},{""version"":""v2"",""created"":""Mon, 30 Sep 1996 09:48:18 GMT""}]","2009-09-25"
"hep-ph/9609495","Loyal Durand","Loyal Durand and Phuoc Ha","Baryon moments in a QCD-based model","11 pages, latex, 4 Postscript figures",,,,"hep-ph",,"  We have analyzed the theory of the baryon magnetic moments in the
approximate) QCD setting suggested by Brambilla et al. By modifying their
derivation of the $qqq$ interaction and wave equation for baryons, we derived
expressions for the baryon moments in terms of the underlying quark moments,
including the first corrections associated with the binding of the quarks in
baryons. The results, which hold in the ``quenched approximation'' in which the
contributions of virtual quark pairs are neglected, fail to describe the
measured moments, with typical errors on the order of 7%. We conclude from our
analysis that the quenched approximation is at fault, and that the baryon
moments give a sensitive test of that standard approximation in the lattice and
analytic approaches to QCD.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 17:09:47 GMT""}]","2007-05-23"
"hep-ph/9609496","Paul Frampton","P.H. Frampton and S.L. Glashow","Cabibbo Mixing and the Search for CP Violation","6 pages, latex, no figures","Phys.Rev. D55 (1997) 1691-1692","10.1103/PhysRevD.55.1691","HUTP-96/A044 and IFP-735-UNC","hep-ph",,"  We examine certain extensions of the standard model in which $CP$ violation
is spontaneous and the strong $CP$ problem is resolved. In these models, the $3
\times 3$ quark mixing matrix is neither real nor unitary. However, to a
precision of 0.1%, it is real and orthogonal. There are no readily observable
$CP$-violating effects besides those in the neutral kaon system.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 17:53:53 GMT""}]","2016-09-06"
"hep-ph/9609497","Ralf Hempfling","Sacha Davidson and Ralf Hempfling","Protecting the Baryon Asymmetry in Theories with R-parity Violation","12 pages, 2 PS-fig, Latex","Phys.Lett. B391 (1997) 287-294","10.1016/S0370-2693(96)01500-6","MPI-PhT/95-89 and UCDPHY-96-27","hep-ph",,"  We propose a mechanism for hiding the primordial baryon asymmetry from
interactions that could wash it out. It requires the introduction of a baryon
number carrying singlet which is in equilibrium in the early universe and
shares any existing baryon asymmetry. It decouples from the Standard Model
particles before all the interactions required to wash out the asymmetry are in
equilibrium ($T \simeq 10$ TeV), and decays after the electroweak phase
transition, but before nucleosynthesis. This mechanism can conserve a baryon
asymmetry in models (a) with $B-L = 0$, such as many $SU(5)$ GUTs, or (b) with
$B-L$ violating interactions in thermal equilibrium, such as SUSY with broken
$R$-parity. As a result, cosmological constraints on $R$-parity violating
operators are relaxed considerably.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 17:58:18 GMT""}]","2009-10-28"
"hep-ph/9609498",,"Mary Alberg, Ernest M. Henley, Xiangdong Ji and A.W. Thomas","Determination of flavor asymmetry for $\Sigma^{\pm}$ by the Drell-Yan
  process","15 pages, latex. Figures available from alberg@phys.washington.edu.
  To be published in Phys. Lett. B","Phys.Lett.B389:367-373,1996","10.1016/S0370-2693(96)01272-5","DOE/ER/40427-6-N96; ADP-96-24/T223","hep-ph",,"  Flavor asymmetries for the valence and sea quarks of the $\Sigma^{\pm}$ can
be obtained from Drell-Yan experiments using charged hyperon beams on proton
and deuteron targets. A large, measurable difference in sea quark asymmetries
is predicted between SU(3) and pseudoscalar meson models. The latter predict
that in $\Sigma^{+}$, $\bar{u}/\bar{d} \leq 1/2$, whereas the former predict
$\bar{u}/\bar{d} \approx 4/3$. Estimates of valence quark asymmetries based on
quark models also show large deviations from SU(3) predictions, which should be
measurable.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 23:04:32 GMT""}]","2009-09-25"
"hep-ph/9609499","Sei Umisedo Rcnp","S. Umisedo, S. Sasaki, H. Suganuma and H. Toki (RCNP)","Monopole Dominance for Dynamical Chiral-Symmetry Breaking in the Dual
  Ginzburg-Landau Theory","12pages, Latex (4 figures included in the revised version)",,,,"hep-ph",,"  Using the effective potential formalism, we study dynamical chiral symmetry
breaking (D$\chi$SB) in the dual Ginzburg-Landau (DGL) theory, where the color
confinement is brought by monopole condensation. The effective potential as a
function of infrared quark mass is found to have double-well structure, which
leads to spontaneous breaking of chiral symmetry. To examine the role of
confinement, we divide the effective potential into the confinement part and
others, which correspond to the confinement term and other (Yukawa, Coulomb)
terms of the gluon propagator in the DGL theory. It is found that the
confinement part gives the dominating contribution to the \dcsb, which is
regarded as monopole dominance for D$\chi$SB.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 05:12:56 GMT""},{""version"":""v2"",""created"":""Wed, 2 Oct 1996 06:12:27 GMT""}]","2009-09-25"
"hep-ph/9609500","Michael Kraemer","Matteo Cacciari and Michael Kr\""amer (DESY)","Prospects for Quarkonium Physics at HERA","LaTeX2e, 19 pages, 6 figures. Contribution to the proceedings of the
  workshop `Future Physics at HERA'",,,,"hep-ph",,"  We work out and review prospects for future quarkonium physics at HERA. We
focus on the impact of color-octet contributions and discuss how measurements
at HERA can be used to test the picture of quarkonium production as developed
in the context of the NRQCD factorization approach.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 06:33:59 GMT""}]","2007-05-23"
"hep-ph/9609501",,"Laurent Lellouch (CPT, Luminy)","Lattice-Constrained Dispersive Bounds for $\bar B^0 \to \pi^+ l^-
  \bar\nu$ Decays","LaTeX, 5 pages, 1 PostScript figure. Calls stwol.sty and epsf.sty.
  Talk given at the 28$^{th}$ International Conference on High Energy Physics
  (ICHEP96), Warsaw, Poland, 25-31 July 1996. To appear in the proceedings",,,"CPT-96/P.3385","hep-ph hep-lat",,"  I present a recent piece of work on semileptonic $B \to \pi$ decays in which
lattice results and kinematical and dispersive constraints are combined to
obtain model-independent bounds on the relevant form factors and rates.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 08:42:37 GMT""}]","2007-05-23"
"hep-ph/9609502","Erwin Mirkes","J.H. Kuehn and E. Mirkes","CP Violation in Semileptonic $\tau$ Decays with Unpolarized Beams","Latex, 17 pages, 2 figures. The complete paper, including figures, is
  also available via anonymous ftp at ftp://ttpux2.physik.uni-karlsruhe.de/ ,
  or via www at http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/","Phys.Lett. B398 (1997) 407-414","10.1016/S0370-2693(97)00233-5","TTP96-43","hep-ph",,"  CP violating signals in semileptonic $\tau$ decays are studied. These can be
observed in decays of unpolarized single $\tau$'s even if their rest frame
cannot be reconstructed. No beam polarization is required. The importance of
the two meson channel, in particular the $K\pi$ final state is emphasized.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 09:17:25 GMT""}]","2009-10-28"
"hep-ph/9609503","D. I. Melikhov","D. Melikhov, N. Nikitin","Form factors for rare decays $B\to(\pi,\rho,K,K^*)l^+l^-$ in quark model","8 pages, revtex, 1 figure",,,,"hep-ph",,"  Hadronic matrix elements of the vector, axial-vector and tensor currents
relevant for exclusive rare decays $B\to(\pi,\rho,K,K^*)\,l^+l^-$ induced by
the quark transition $b\to d,s$ are analysed using dispersion formulation of
the light-cone constituent quark model. The form factors in the decay region
are expressed as relativistic double spectral representations through the
light-cone wave functions of the initial and final mesons. These form factors
are shown to have the correct scaling properties in the limit of heavy-to-heavy
and heavy-to-light quark transitions in accordance with QCD. The dependence on
the quark-model parameters is studied.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 10:46:31 GMT""}]","2016-09-06"
"hep-ph/9609505","Shoichi Sasaki Rcnp","Shoichi Sasaki, Hideo Suganuma and Hiroshi Toki (RCNP, Osaka Univ.)","Finite Temperature SD Equation for Chiral Symmetry Restoration in Dual
  Ginzburg-Landau Theory","Talk presented at International Conference on Quark Confinement and
  the Hadron Spectrum II, Como, Italy, 26-29 Jun 1996. Latex, uses epsf.tex and
  sprocl.sty, 4 pages, 2 postscript figures included",,,,"hep-ph",,"  We study the chiral phase transition at $T\neq 0$ in the dual Ginzburg-Landau
theory using the Schwinger-Dyson (SD) equation. In order to solve the SD
equation at $T\neq 0$, we provide a new ansatz for the quark self-energy in the
imaginary-time formalism. The recovery of the chiral symmetry is found at
$T_{_{C}}\sim 100 MeV$ with realistic parameters, which are set by reproducing
the values of the string tension $\sqrt{\sigma}\simeq 0.44 GeV$ and the chiral
condensate $< {\bar q}q > \simeq -(250 MeV}^{3}$ at $T=0$.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 15:07:12 GMT""},{""version"":""v2"",""created"":""Wed, 23 Oct 1996 08:38:58 GMT""}]","2016-09-06"
"hep-th/9609209","Mariano Quiros","I. Antoniadis and M. Quiros","Large radii and string unification","12 pages, LateX, no figures. Version to appear in Physics Letters B.
  One reference added","Phys.Lett. B392 (1997) 61-66","10.1016/S0370-2693(96)01525-0","CPTH-S465.0996 and IEM-FT-143/96","hep-th hep-ph",,"  We study strong coupling effects in four-dimensional heterotic string models
where supersymmetry is spontaneously broken with large internal dimensions,
consistently with perturbative unification of gauge couplings. These effects
give rise to thresholds associated to the dual theories: type I superstring or
M-theory. In the case of one large dimension, we find that these thresholds
appear close to the field-theoretical unification scale $\sim 10^{16}$ GeV,
offering an appealing scenario for unification of gravitational and gauge
interactions. We also identify the inverse size of the eleventh dimension of
M-theory with the energy at which four-fermion effective operators become
important.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 16:30:42 GMT""},{""version"":""v2"",""created"":""Wed, 13 Nov 1996 11:03:00 GMT""}]","2009-10-30"
"hep-th/9609210","Masafumi Fukuma","Masafumi Fukuma and Shigeaki Yahikozawa","Nonperturbative Effects in Noncritical Strings with Soliton Backgrounds","15 pages + 1 eps figure, LaTeX, Minor Changes","Phys.Lett. B396 (1997) 97-106","10.1016/S0370-2693(97)00096-8","YITP-96-43, KUNS1413, HE(TH)96/14","hep-th",,"  We explicitly construct soliton operators in $D<2$ (or $c<1$) string theory,
and show that the Schwinger-Dyson equations allow solutions with these solitons
as backgrounds. The dominant contributions from 1-soliton background are
explicitly evaluated in the weak coupling limit, and shown to agree with the
nonperturbative analysis of string equations. We suggest that fermions should
be treated as fundamental dynamical variables since both macroscopic loops and
solitons are constructed in their bilinear forms.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 17:56:30 GMT""},{""version"":""v2"",""created"":""Tue, 1 Oct 1996 00:00:36 GMT""}]","2009-10-30"
"hep-th/9609211","Senarath P. de Alwis","S.P. de Alwis","Anomaly cancellation in M-theory","5 pages, Latex, typos corrected, minor notation change in eq. (0.7).
  Version to be published in Phys. Lett. B","Phys.Lett. B392 (1997) 332-334","10.1016/S0370-2693(96)01569-9","COLO-HEP-375","hep-th",,"  We show the complete cancellation of gauge and gravitational anomalies in the
M-theory of Horava and Witten using their boundary contribution, and a term
coming from the existence of two and five-branes. A factor of three discrepancy
noted in an earlier work is resolved. We end with a comment on flux
quantization.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 22:18:40 GMT""},{""version"":""v2"",""created"":""Thu, 21 Nov 1996 22:45:14 GMT""}]","2009-10-30"
"hep-th/9609212",,"A.A. Tseytlin","No-force condition and BPS combinations of p-branes in 11 and 10
  dimensions","15 pages, harvmac (minor remarks added, eqs.(3.4),(3.15))","Nucl.Phys.B487:141-154,1997","10.1016/S0550-3213(96)00692-X","Imperial/TP/95-96/70","hep-th",,"  The condition of vanishing of static force on a q-brane probe in the
gravitational background produced by another p-brane is used to give a simple
derivation of the pair-wise intersection rules which govern the construction of
BPS combinations of branes. These rules, while implied also by supersymmetry
considerations, thus have purely bosonic origin. Imposing the no-force
requirement makes possible to add branes `one by one' to construct composite
BPS configurations (with zero binding energy) of 2-branes and 5-branes in D=11
and of various p-branes in D=10. The advantage of this elementary approach is
its universality, i.e. the cases of different dimensions and different types of
branes (e.g., NS-NS, R-R and `mixed' combinations of NS-NS and R-R branes in
D=10) are all treated in the same way.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 22:04:03 GMT""},{""version"":""v2"",""created"":""Thu, 5 Dec 1996 15:45:00 GMT""}]","2009-09-17"
"hep-th/9609213",,"J.N. Pecina-Cruz","On the Casimir of the group ISL(n,R) and its algebraic decomposition",,"J.Math.Phys. 46 (2005) 063503","10.1063/1.1915291",,"hep-th",,"  In this paper, an explicit expression for the Casimir operator (or the
Casimir invariant) of the inhomogeneous group ISL(n,R) in its enveloping
algebra is proposed, which using contractions of the tenso- rial indices of the
generating operators P^{rho} and E^{nu}{mu} may be presented in the following
(slightly more comprehensible as equation (1)) form. The Casimir is obtained by
symmetrizing this expression. This tensor form is useful in the classification
of particles in affine gravitational gauge theories; such as that based on
ISL(4,R). It is also proven that the Casimir of ISL(n,R) can be decomposed in
terms of the Casimirs of its little groups, a key point in the posterior
construction of its irreducible representations.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 05:52:34 GMT""},{""version"":""v2"",""created"":""Fri, 27 Jan 2006 06:26:14 GMT""}]","2015-06-26"
"hep-th/9609214","Masato Hisakado","Masato Hisakado","Unitary Matrix Models and Painlev\'{e} III","10 pages, LaTeX, final version to appear in Mod. Phys. Lett. A","Mod.Phys.Lett. A11 (1996) 3001-3010","10.1142/S0217732396002976",,"hep-th",,"  We discussed the full unitary matrix models from the view points of
integrable equations and string equations. Coupling the Toda equations and the
string equations, we derive a special case of the Painlev\'{e} III equation.
From the Virasoro constrains, we can use the radial coordinate. The relation
between $t_{1}$ and $t_{-1}$ is like the complex conjugate. %An implicit to the
$t\bar{t}$ fusion of topological sigma model %is therby expected.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 06:00:01 GMT""},{""version"":""v2"",""created"":""Thu, 14 Nov 1996 05:14:02 GMT""}]","2009-10-30"
"quant-ph/9609020","Alan Kostelecky","Robert Bluhm, Alan Kostelecky, and Bogdan Tudose","Wave-Packet Revivals for Quantum Systems with Nondegenerate Energies","accepted for publication in Physics Letters A","Phys.Lett.A222:220,1996","10.1016/0375-9601(96)00641-X","IUHET 338, July 1996","quant-ph",,"  The revival structure of wave packets is examined for quantum systems having
energies that depend on two nondegenerate quantum numbers. For such systems,
the evolution of the wave packet is controlled by two classical periods and
three revival times. These wave packets exhibit quantum beats in the initial
motion as well as new types of long-term revivals. The issue of whether
fractional revivals can form is addressed. We present an analytical proof
showing that at certain times equal to rational fractions of the revival times
the wave packet can reform as a sum of subsidiary waves and that both
conventional and new types of fractional revivals can occur.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 17:35:58 GMT""}]","2009-09-25"
"quant-ph/9609021","Mark J. Hadley","Mark J. Hadley","A Gravitational Explanation for Quantum Mechanics","10 pages Latex2e, talk given at the 5th UK Conference on Conceptual
  and Philosophical Problems in Physics held in Oxford, 10th-14th September
  1996",,,,"quant-ph gr-qc",,"  It is shown that certain structures in classical General Relativity can give
rise to non-classical logic, normally associated with Quantum Mechanics. A
4-geon model of an elementary particle is proposed which is asymptotically
flat, particle-like and has a non-trivial causal structure. The usual Cauchy
data are no longer sufficient to determine a unique evolution. The measurement
apparatus itself can impose non-redundant boundary conditions. Measurements of
such an object would fail to satisfy the distributive law of classical physics.
This model reconciles General Relativity and Quantum Mechanics without the need
for Quantum Gravity. The equations of Quantum Mechanics are unmodified but it
is not universal; classical particles and waves could exist and there is no
graviton.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 12:19:18 GMT""}]","2007-05-23"
"quant-ph/9609022","M. Czachor","Marek Czachor","Einstein-Podolsky-Rosen-Bohm experiment with relativistic massive
  particles","Figures added as appeared in PRA, two typos corrected (one important
  in the formula for eigenvector in Sec. IV); link to the unpublished 1984
  paper containing the results (without typos!) of Sec. IV is added","Phys.Rev. A55 (1997) 72","10.1103/PhysRevA.55.72",,"quant-ph",,"  The EPRB experiment with massive partcles can be formulated if one defines
spin in a relativistic way. Two versions are discussed: The one using the spin
operator defined via the relativistic center-of-mass operator, and the one
using the Pauli-Lubanski vector. Both are shown to lead to the SAME prediction
for the EPRB experiment: The degree of violation of the Bell inequality
DECREASES with growing velocity of the EPR pair of spin-1/2 particles. The
phenomenon can be physically understood as a combined effect of the Lorentz
contraction and the Moller shift of the relativistic center of mass. The effect
is therefore stronger than standard relativistic phenomena such as the Lorentz
contraction or time dilatation. The fact that the Bell inequality is in general
less violated than in the nonrelativistic case will have to be taken into
account in tests for eavesdropping if massive particles will be used for a key
transfer.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 13:40:53 GMT""},{""version"":""v2"",""created"":""Sat, 1 Nov 2003 18:09:21 GMT""}]","2009-10-30"
