"alg-geom/9609015","Kieran O'Grady","Kieran O'Grady","Moduli of vector-bundles on surfaces","AMS-TeX",,,,"alg-geom math.AG",,"  This is a survey paper: we discuss certain recent results, with some
improvements. It will appear in the S. Cruz proceedings.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 10:02:22 GMT""}]","2008-02-03"
"cond-mat/9609197","Zhou Jian","Bambi Hu and Jian Zhou","Effects of a Magnetic Field on a Modulated Phase","20 pages,Revtex,12 ps figures",,"10.1016/S0375-9601(96)00736-0",,"cond-mat adap-org nlin.AO",,"  The effects of a magnetic field on a modulated phase is studied. A modulated
phase is found to have two critical fields $H_{1}$ and $H_{2}$. For a large
enough magnetic field. $H_1$ can be approximated by a linear law. As a result,
the minimum magnetic field needed to destroy a modulated phase is a constant.
The minimum magnetic field also greatly depends on the order of a commensurate.
A very high order commensurate phase and an incommensurate phase are impossible
to survive a magnetic field. The behaviour of a magnetoelastic chain in a
magnetic field is can be described by a harmless Devil's staircase. The inverse
temperature is found to play a role similar to that of a special magnetic
field. The deeper physics underlying these new phenomena is the breaking of the
left-right symmetry of a phase diagram. As a result a controllable path to a
modulated phase is found.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 09:52:53 GMT""}]","2015-06-25"
"cond-mat/9609198",,"S. Daul, P. Pieri, M. Dzierzawa, D. Baeriswyl and P. Fazakas","Variationnal study of ferromagnetism in the t1-t2 Hubbard chain","5 pages, LateX and 1 postscript figure. To appear in Physica B",,"10.1016/S0921-4526(96)00794-6",,"cond-mat",,"  A one-dimensional Hubbard model with nearest and (negative) next-nearest
neighbour hopping is studied variationally. This allows to exclude saturated
ferromagnetism for $U < U_c$. The variational boundary $U_c (n)$ has a minimum
at a ``critical density'' $n_c$ and diverges for $n \rightarrow 1$.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 08:11:02 GMT""}]","2009-10-28"
"cond-mat/9609199","Yaroslav M. Blanter","Ya. M. Blanter, C. Bruder, Rosario Fazio, and Herbert Schoeller","Aharonov-Bohm-Type Oscillations of Thermopower in a Quantum Dot Ring
  Geometry","Revtex, 5 figures included","Phys. Rev. B 55, 4069 (1997)","10.1103/PhysRevB.55.4069",,"cond-mat",,"  We investigate Aharonov-Bohm-type oscillations of the thermopower of a
quantum dot embedded in a ring for the case when the interaction between
electrons can be neglected. The thermopower is shown to be strongly flux
dependent, and typically the amplitude of oscillations exceeds the background
value. It is also shown to be essentially dependent on the phase of the
scattering matrix which is determined by the experimental geometry and is not
known in the given experiment. Two procedures to compare theory and experiment
are proposed.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 07:29:11 GMT""}]","2009-10-28"
"cond-mat/9609200","Klaus Richter","K. Richter(1), D. Ullmo(2) and R. A. Jalabert(3) ((1)
  Max-Planck-Institut Dresden, (2) Lucent Tech. Murray Hill, (3) Universite
  Louis Pasteur, Strasbourg)","Integrability and Disorder in Mesoscopic Systems: Application to Orbital
  Magnetism","38 pages, Latex, 7 Postscript figures, 1 table, to appear in Jour.
  Math. Physics 1996",,"10.1063/1.531677",,"cond-mat",,"  We present a semiclassical theory of weak disorder effects in small
structures and apply it to the magnetic response of non-interacting electrons
confined in integrable geometries. We discuss the various averaging procedures
describing different experimental situations in terms of one- and two-particle
Green functions. We demonstrate that the anomalously large zero-field
susceptibility characteristic of clean integrable structures is only weakly
suppressed by disorder. This damping depends on the ratio of the typical size
of the structure with the two characteristic length scales describing the
disorder (elastic mean-free-path and correlation length of the potential) in a
power-law form for the experimentally relevant parameter region. We establish
the comparison with the available experimental data and we extend the study of
the interplay between disorder and integrability to finite magnetic fields.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 09:52:17 GMT""}]","2016-08-31"
"cond-mat/9609201","Klaus Richter","K. Richter (1,4), D. Ullmo (2,4) and R. A. Jalabert (3,4) ((1)
  Max-Planck-Institut Dresden, (2) Lucent Tech. Murray Hill, (3) Universite
  Louis Pasteur, Strasbourg, (4) IPN Orsay)","Orbital Magnetism in the Ballistic Regime: Geometrical Effects","88 pages, 15 Postscript figures, 3 further figures upon request, to
  appear in Physics Reports 1996",,"10.1016/0370-1573(96)00010-5","IPNO/TH 95-49","cond-mat",,"  We present a general semiclassical theory of the orbital magnetic response of
noninteracting electrons confined in two-dimensional potentials. We calculate
the magnetic susceptibility of singly-connected and the persistent currents of
multiply-connected geometries. We concentrate on the geometric effects by
studying confinement by perfect (disorder free) potentials stressing the
importance of the underlying classical dynamics. We demonstrate that in a
constrained geometry the standard Landau diamagnetic response is always
present, but is dominated by finite-size corrections of a quasi-random sign
which may be orders of magnitude larger. These corrections are very sensitive
to the nature of the classical dynamics. Systems which are integrable at zero
magnetic field exhibit larger magnetic response than those which are chaotic.
This difference arises from the large oscillations of the density of states in
integrable systems due to the existence of families of periodic orbits. The
connection between quantum and classical behavior naturally arises from the use
of semiclassical expansions. This key tool becomes particularly simple and
insightful at finite temperature, where only short classical trajectories need
to be kept in the expansion. In addition to the general theory for integrable
systems, we analyze in detail a few typical examples of experimental relevance:
circles, rings and square billiards. In the latter, extensive numerical
calculations are used as a check for the success of the semiclassical analysis.
We study the weak-field regime where classical trajectories remain essentially
unaffected, the intermediate field regime where we identify new oscillations
characteristic for ballistic mesoscopic structures, and the high-field regime
where the typical de Haas-van Alphen oscillations exhibit finite-size
corrections. We address the comparison with experimental data obtained in
high-mobility semiconductor microstructures discussing the differences between
individual and ensemble measurements, and the applicability of the present
model.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 11:36:58 GMT""}]","2016-08-31"
"cond-mat/9609203","Holger Fehske","H. Fehske, G. Wellein, B. B\""auml, and H. B\""uttner (Physikalisches
  Institut, Universt\""at Bayreuth, Germany)","Polaronic effects in strongly coupled electron-phonon systems: Exact
  diagonalization results for the 2D Holstein t-J model","3 pages, LaTeX, 6 Postscript figures, Proc. Int. Conf. on Strongly
  Correlated Electron Systems, Zuerich, August 1996, accepted for publication
  in Physica B",,"10.1016/S0921-4526(96)00665-5",,"cond-mat",,"  Ground-state and dynamical properties of the 2D Holstein t-J model are
examined by means of direct Lanczos diagonalization, using a truncation method
of the phononic Hilbert space. The single-hole spectral function shows the
formation of a narrow hole-polaron band as the electron-phonon coupling
increases, where the polaronic band collapse is favoured by strong Coulomb
correlations. In the two-hole sector, the hole-hole correlations unambiguously
indicate the existence of inter-site bipolaronic states. At quarter-filling, a
polaronic superlattice is formed in the adiabatic strong-coupling regime.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 12:53:31 GMT""}]","2016-08-31"
"cond-mat/9609204","Robert E. Bartolo","R.E. Bartolo (1 and 3), N. Giordano (1), X. Huang (2), G.H. Bernstein
  (2) ((1) Purdue University, (2) University of Notre Dame, (3) University of
  Maryland)","Studies of h/e Aharonov-Bohm Photovoltaic Oscillations in Mesoscopic Au
  Rings","10 pages (RevTex twocolumn style), 8 figures-2 pages (one postscript
  file) To be published in Phys. Rev. B",,"10.1103/PhysRevB.55.2384",,"cond-mat",,"  We have investigated a mesoscopic photovoltaic (PV) effect in micron-size Au
rings in which a dc voltage Vdc is generated in response to microwave
radiation. The effect is due to the lack of inversion symmetry in a disordered
system. Aharonov-Bohm PV oscillations with flux period h/e have been observed
at low microwave intensities for temperatures ranging from 1.4 to 13 K. For
moderate microwave intensities the h/e PV oscillations are completely quenched
providing evidence that the microwaves act to randomize the phase of the
electrons. Studies of the temperature dependence of Vdc also provide evidence
of the dephasing nature of the microwave field. A complete theoretical
explanation of the observed behavior seems to require a theory for the PV
effect in a ring geometry.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 13:21:21 GMT""}]","2009-10-28"
"cond-mat/9609205",,"J.G. Rodrigo, F. Guinea, S. Vieira and F.G. Aliev","Point-contact spectroscopy on URu$_2$Si$_2$","4 pages (Latex) + 2 postscript figures",,"10.1103/PhysRevB.55.14318",,"cond-mat",,"  Tunnel and point contact experiments have been made in a URu$_2$Si$_2$ single
crystal along the c-axis. The experiments were performed changing temperature
and contact size in a low temperature scanning tunneling microscope. A
resonance develops at the Fermi level at $T\sim 60$ K. This resonance splits
and becomes asymmetric when the 17.5 K phase transition is crossed. These
results are consistent with the existence of Kondo like bound states of the
U$^{4+}$ ionic configurations and the conduction electrons. Below the
transition, these configurations are split by the development of quadrupolar
ordering. The peak separation can be interpreted as a direct measurement of the
order parameter. Measurements on a policrystalline UAu_2Si_2$ sample are also
reported, with a comparative study of the behavior of both materials.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 15:04:13 GMT""},{""version"":""v2"",""created"":""Fri, 27 Sep 1996 10:24:07 GMT""}]","2016-08-31"
"cond-mat/9609206","David S. Dean","D S Dean, I T Drummond and R R Horgan","Continuum Derrida Approach to Drift and Diffusivity in Random Media","18 pages, Latex, DAMTP-96-80",,"10.1088/0305-4470/30/2/006",,"cond-mat",,"  By means of rather general arguments, based on an approach due to Derrida
that makes use of samples of finite size, we analyse the effective diffusivity
and drift tensors in certain types of random medium in which the motion of the
particles is controlled by molecular diffusion and a local flow field with
known statistical properties. The power of the Derrida method is that it uses
the equilibrium probability distribution, that exists for each {\em finite}
sample, to compute asymptotic behaviour at large times in the {\em infinite}
medium. In certain cases, where this equilibrium situation is associated with a
vanishing microcurrent, our results demonstrate the equality of the
renormalization processes for the effective drift and diffusivity tensors. This
establishes, for those cases, a Ward identity previously verified only to
two-loop order in perturbation theory in certain models. The technique can be
applied also to media in which the diffusivity exhibits spatial fluctuations.
We derive a simple relationship between the effective diffusivity in this case
and that for an associated gradient drift problem that provides an interesting
constraint on previously conjectured results.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 15:22:57 GMT""}]","2009-10-28"
"cond-mat/9609207",,"Liang Fu and Lorenzo Resca (Department of Physics, Catholic University
  of America)","Comparison between the Torquato-Rintoul theory of the interface effect
  in composite media and elementary results","13 pages, Revtex, 8 Postscript figures",,"10.1103/PhysRevB.56.5032",,"cond-mat",,"  We show that the interface effect on the properties of composite media
recently proposed by Torquato and Rintoul (TR) [Phys. Rev. Lett. 75, 4067
(1995)] is in fact elementary, and follows directly from taking the limit in
the dipolar polarizability of a coated sphere: the TR ``critical values'' are
simply those that make the dipolar polarizability vanish. Furthermore, the new
bounds developed by TR either coincide with the Clausius-Mossotti (CM) relation
or provide poor estimates. Finally, we show that the new bounds of TR do not
agree particularly well with the original experimental data that they quote.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 15:20:33 GMT""}]","2009-10-28"
"cond-mat/9609209","Vadim Geshkenbein","V.B. Geshkenbein, L. B. Ioffe and A. I. Larkin","On the superconductivity in the system with preformed pairs","Latex/Revtex file, 2 Postscript figures, 10 pages",,"10.1103/PhysRevB.55.3173",,"cond-mat",,"  We discuss the phenomenology of the superconductivity resulting from the bose
condensation of the preformed pairs coexisting with unpaired fermions. We show
that this transition is more mean field like than usual bose condensation, i.e.
it is characterized by a relatively small value of the Ginzburg parameter. We
consider the Hall effect in the vortex flow regime and in the fluctuational
regime above $T_c$ and show that in this situation it is much less than in the
transition driven entirely by bose condesation but much larger than in a usual
superconductivity. We analyse the available Hall data and conclude that this
phenomenology describes reasonably well the data in the underdoped materials of
$YBaCuO$ family but is not an appropriate description of optimally doped
materials or underdoped $LaSrCuO$.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 15:58:57 GMT""}]","2009-10-28"
"dg-ga/9609006","Guido Haak","Josef Dorfmeister and Guido Haak","On constant mean curvature surfaces with periodic metric","42 pages, LaTeX+amscd package, no figures",,,"SFB 288 Preprint No. 223 (TU-Berlin)","dg-ga math.DG",,"  We investigate CMC-surfaces with periodic metric in a dressing orbit of the
cylinder. It is shown, that such surfaces are always of finite type. Using the
periodicity conditions for the extended frame of a CMC-surface, we develop an
alternative approach to the classification of CMC-tori given by Pinkall and
Sterling.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 07:44:06 GMT""}]","2008-02-03"
"gr-qc/9609048","Erik Martinez","Erik A. Martinez (Center for Gravitational Physics and Geometry, Penn
  State, USA)","The postulates of gravitational thermodynamics","28 pages, Revtex, no figures. An important sentence and several minor
  corrections included. To appear in Physical Review D","Phys.Rev.D54:6302-6311,1996","10.1103/PhysRevD.54.6302","CGPG-96/9-5","gr-qc astro-ph hep-th",,"  The general principles and logical structure of a thermodynamic formalism
that incorporates strongly self-gravitating systems are presented. This
framework generalizes and simplifies the formulation of thermodynamics
developed by Callen. The definition of extensive variables, the homogeneity
properties of intensive parameters, and the fundamental problem of
gravitational thermodynamics are discussed in detail. In particular, extensive
parameters include quasilocal quantities and are naturally incorporated into a
set of basic general postulates for thermodynamics. These include additivity of
entropies (Massieu functions) and the generalized second law. Fundamental
equations are no longer homogeneous first-order functions of their extensive
variables. It is shown that the postulates lead to a formal resolution of the
fundamental problem despite non-additivity of extensive parameters and
thermodynamic potentials. Therefore, all the results of (gravitational)
thermodynamics are an outgrowth of these postulates. The origin and nature of
the differences with ordinary thermodynamics are analyzed. Consequences of the
formalism include the (spatially) inhomogeneous character of thermodynamic
equilibrium states, a reformulation of the Euler equation, and the absence of a
Gibbs-Duhem relation.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 00:26:02 GMT""},{""version"":""v2"",""created"":""Fri, 25 Oct 1996 19:31:32 GMT""}]","2011-09-09"
"gr-qc/9609049","Mr Blanchet Darc","L. Blanchet","Gravitational radiation reaction and balance equations to post-Newtonian
  order","To appear in Phys. Rev. D","Phys.Rev.D55:714-732,1997","10.1103/PhysRevD.55.714",,"gr-qc",,"  Gravitational radiation reaction forces and balance equations for energy and
momenta are investigated to 3/2 post-Newtonian (1.5PN) order beyond the
quadrupole approximation, corresponding to the 4PN order in the equations of
motion of an isolated system. By matching a post-Newtonian solution for the
gravitational field inside the system to a post-Minkowskian solution (obtained
in a previous work) for the gravitational field exterior to the system, we
determine the 1PN relativistic corrections to the ``Newtonian"" radiation
reaction potential of Burke and Thorne. The 1PN reaction potential involves
both scalar and vectorial components, with the scalar component depending on
the mass-type quadrupole and octupole moments of the system, and the vectorial
component depending in particular on the current-type quadrupole moment. In the
case of binary systems, the 1PN radiation reaction potential has been shown to
yield consistent results for the 3.5PN approximation in the binary's equations
of motion. Adding up the effects of tails, the radiation reaction is then
written to 1.5PN order. In this paper, we establish the validity to 1.5PN
order, for general systems, of the balance equations relating the losses of
energy, linear momentum, and angular momentum in the system to the
corresponding fluxes in the radiation field far from the system.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 09:20:24 GMT""}]","2011-09-09"
"hep-lat/9609036","Doug Toussaint","Tom Blum, Carleton DeTar, Steven Gottlieb, Urs M. Heller, James E.
  Hetrick, Kari Rummukainen, R.L. Sugar, Doug Toussaint, and Matthew Wingate","Improving flavor symmetry in the Kogut-Susskind hadron spectrum","9 pages, 1 figure, uses epsf.sty","Phys.Rev.D55:1133-1137,1997","10.1103/PhysRevD.55.1133",,"hep-lat",,"  We study the effect of modifying the coupling of Kogut-Susskind quarks to the
gauge field by replacing the link matrix in the quark action by a ""fat link"",
or sum of link plus three-link paths. Flavor symmetry breaking, determined by
the mass difference between the Goldstone and non-Goldstone local pions, is
reduced by approximately a factor of two by this modification.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 21:52:56 GMT""}]","2008-11-26"
"hep-lat/9609037",,"She-Sheng Xue","A Possible Lattice Chiral Gauge Theory","26 pages, Latex, sections 1 and 5 are revised",,,"MITH 96/11","hep-lat hep-ph hep-th",,"  We analyze the dynamics of an $SU_L(2)\otimes U_R(1)$ chiral gauge theory on
a lattice with a large multifermion coupling $1\ll g_2 < \infty$. It is shown
that no spontaneous symmetry breaking occurs; the ``spectator'' fermion
$\psi_R(x)$ is a free mode; doublers are decoupled as massive Dirac fermions
consistently with the chiral gauge symmetry. Whether right-handed three-fermion
states disappear and chiral fermions emerge in the low-energy limit are
discussed. Provided right-handed three-fermion states disappear, we discuss the
chiral gauge coupling, Ward identities, the gauge anomaly and anomalous
$U_L(1)$ global current within the gauge-invariant prescription of
renormalization of the gauge perturbation theory.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 15:59:32 GMT""},{""version"":""v2"",""created"":""Thu, 26 Sep 1996 11:59:58 GMT""}]","2008-02-03"
"hep-ph/9609411","Thomas Teubner","K. G. Chetyrkin (MPI fuer Physik, Munich, Germany), J. H. Kuhn (Uni.
  Karlsruhe, Germany), T. Teubner (Durham Uni., UK)","Extracting alpha_s from Electron-Positron Annihilation around 10 GeV","13 pages, LaTeX, 4 figures. Discussion of uncertainties slightly
  modified. Version to appear in Physical Review D. The complete paper,
  including figures, is also available via anonymous ftp at
  ftp://ttpux2.physik.uni-karlsruhe.de/ , or via www at
  http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/","Phys. Rev. D 56, 3011 (1997)","10.1103/PhysRevD.56.3011","TTP96-35","hep-ph",,"  The total cross section for electron-positron annihilation into hadrons is
calculated in the region just below the B meson threshold. QCD corrections up
to third order, quark mass effects, initial state radiation, the running of
alpha_QED and the tails of the Upsilon resonances are included in the
prediction. For given alpha_s the prediction is accurate to 0.5 percent. An
experimental measurement with the corresponding precision would allow to
determine alpha_s with high accuracy at intermediate energies.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 16:47:25 GMT""},{""version"":""v2"",""created"":""Wed, 11 Jun 1997 13:51:11 GMT""}]","2016-08-24"
"hep-ph/9609412","Thomas G. Rizzo","Thomas G. Rizzo","Constraints on $q\bar q \gamma\gamma$ Contact Interactions at Future
  Hadron Colliders","9 pages, 5 figures",,,"SLAC-PUB-7297","hep-ph",,"  We explore the capability of the Tevatron and LHC as well as other future
hadron colliders to place limits on the possible existence of
flavor-independent $q \bar q \gamma\gamma$ contact interactions which can lead
to an excess of high $p_t$ diphoton events with large invariant masses.
Constraints on the corresponding $e^+e^-\gamma\gamma$ contact interaction
already exist from LEP. In the case of hadron colliders, strong constraints on
the scale associated with such interactions are achievable in all cases, e.g.,
of order 0.9(3) TeV at TeV33(LHC). [To appear in the Proceedings of the 1996
DPF/DPB Summer Study on New Directions for High Energy Physics-Snowmass96,
Snowmass, CO, 25 June-12 July, 1996.]
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 19:15:01 GMT""}]","2007-05-23"
"hep-ph/9609413","Manoranjan Guchait","Amitava Datta, Monoranjan Guchait and Nirmalaya Parua","Squark Gluino Mass Limits Revisited For Nonuniversal Scalar Masses","18 pages, LaTeX file; 3 figures","Phys.Lett.B395:54-62,1997","10.1016/S0370-2693(97)00024-5","TIFR/TH/96-46,TIFR/HECR/DZERO/96-1,IC/96/136","hep-ph",,"  It is shown that if the sneutrino is the second lightest SUSY particle, then
the decay products of squarks and gluinos produced at the TEVATRON collider
tend to have i) more leptons, ii) smaller number of jets and iii) two or more
carriers of missing E_T. This may relax the existing limits on the squark and
gluino masses. This effect is likely to be even more striking as these limits
improve with accumulation of data. Numerical results for signal cross sections
are presented and compared with the ones obtained without a light sneutrino.
The possibilities of accommodating this scenario in models motivated by N = 1
SUGRA are discussed.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 01:19:34 GMT""}]","2008-11-26"
"hep-ph/9609414","Michel Tytgat","Robert D. Pisarski and Michel Tytgat","On the Physics of a Cool Pion Gas","5 pages, 1 figure. Talk given at the ""Rhic Summer Studies '96"",
  Brookhaven National Laboratory, Upton, USA. July 96",,,,"hep-ph nucl-th",,"  At finite temperature, the Nambu-Goldstone bosons of a spontaneously broken
chiral symmetry travel at a velocity $v < 1$. This effect first appears at
order $\sim T^4$ in an expansion about low temperature, and can be related to
the appearence of two distinct pion decay constants in a thermal bath. We
discuss some consequences on the thermodynamics of a gas of massless pions.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 20:22:41 GMT""}]","2007-05-23"
"hep-ph/9609415",,"S. J. Brodsky","Novel QCD Effects in the Production and Decay of Quarkonium","Latex, 12 pages","Int.J.Mod.Phys.A12:4087-4098,1997","10.1142/S0217751X97002243","SLAC-PUB-7306","hep-ph",,"  There are many outstanding discrepancies comparing the predictions of
perturbative QCD and measurements of the rate of production and decay of heavy
quark systems. The problems include the $J/\psi \to \rho \pi$ puzzle, leading
charmed particle effects, the anomalous behavior of the heavy quark sea
components of structure functions, anomalous nuclear target effects, and the
large rates observed for single and double quarkonium production at large $x_F$
and large $p_T$. I argue that these anomalies may be associated with
nonperturbative effects in the higher Fock structure of hadron wavefunctions.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 22:29:44 GMT""}]","2009-09-11"
"hep-ph/9609416","Michael Kraemer","Michael Kr\""amer (DESY)","Color-Singlet and Color-Octet Contributions to $J/\psi$ Photoproduction","LaTeX, 10 pages, 6 figures. Talk presented at the Workshops `QED and
  QCD in Higher Orders', Rheinsberg, Germany, April 21-26 and `Quarkonium
  Physics', Chicago, USA, June 13-15, 1996; to appear in the proceedings","Nucl.Phys.Proc.Suppl.51C:195-200,1996","10.1016/S0920-5632(96)90025-0","DESY 96-201","hep-ph",,"  I discuss the impact of color-octet contributions and higher-order QCD
corrections on the cross section for inelastic $J/\psi$ photoproduction. The
theoretical predictions are compared with recent experimental data obtained at
HERA.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 08:44:19 GMT""}]","2015-06-25"
"hep-ph/9609417","Jorge Portoles","M.R. Pennington (Centre for Particle Theory, University of Durham, UK)
  and J. Portoles (INFN, Sezione di Napoli, I)","Standard vs. Generalized Chiral Perturbation Theory : the Chell-Olsson
  test","23 pages, plain LaTeX file, 1 figure included as several PS files,
  uses epsf.sty, submitted to Phys. Rev. D","Phys.Rev. D55 (1997) 3082-3091","10.1103/PhysRevD.55.3082","DTP-95/84,INFNNA-IV-96/39,DSFNA-IV-96/39","hep-ph",,"  A way of testing the $\pi \pi$ predictions of Chiral Perturbation Theory
against experimental data is to use dispersion relations to continue
experimental information into the subthreshold region where the theory should
unambiguously apply. Chell and Olsson have proposed a test of the subthreshold
behaviour of chiral expansions which highlights potential differences between
the Standard and the Generalized forms of the theory. We illustrate how, with
current experimental uncertainties, data cannot distinguish between these
particular {\em discriminatory} coefficients despite their sensitivity.
Nevertheless, the Chell--Olsson test does provide a consistency check of the
chiral expansion, requiring that the ${\cal O}(p^6)$ corrections to the {\em
discriminatory} coefficients in the Standard theory must be $\sim 100%$.
Indeed, some of these have been deduced from the new ${\cal O}(p^6)$
computations and found to give such large corrections. One can then check that
the ${\cal O}(p^8)$ corrections must be much smaller. We conclude that this
test, like others, cannot distinguish between the different forms of Chiral
Symmetry Breaking embodied in the alternative versions of Chiral Perturbation
Theory without much more precise experimental information near threshold.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 08:57:08 GMT""}]","2009-10-28"
"hep-ph/9609418","Amarjit Soni","D. Atwood and A. Soni","CP Violation in Top Physics at the NLC","4 pages, Latex, 2 figures. For the Proceedings of the 28th Int. Conf.
  on HEP, Warsaw(July 1996)",,,"BNL-THY-AS-91996","hep-ph",,"  Top quark is extremely sensitive to non-standard CP violating phases. General
strategies for exposing different types of phases at the NLC are outlined. SUSY
phase(s) cause PRA in $t\to Wb$. The transverse polarization of the $\tau$ in
the reaction $t\to b\tau\nu$ is extremely sensitive to a phase from the charged
Higgs sector. Phase(s) from the neutral Higgs sector cause appreciable dipole
moment effects and lead to sizable asymmetries in $e^+e^-\to t\bar tH^0$ and
$e^+e^-\to t\bar t\nu_e\bar\nu_e$.}]
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 13:41:08 GMT""}]","2007-05-23"
"hep-ph/9609419","A. Djouadi","A. Djouadi, W. Hollik, and C. Junger (ITP Karlsruhe)","QCD Corrections to Scalar Quark Decays","A few typos corrected and some additional explanations given. The
  figures are slightly changed due to a bug in the Fortran code. The
  qualitative discussion is unchanged. Version to appear in Phys. Rev. D. PS
  file also at: http://itpaxp1.physik.uni-karlsruhe.de/prep/prep.html","Phys.Rev.D55:6975-6985,1997","10.1103/PhysRevD.55.6975","KA-TP-20-96","hep-ph",,"  In supersymmetric theories, the main decay modes of scalar quarks are decays
into quarks plus charginos or neutralinos, if the gluinos are heavy enough. We
calculate the O($\alpha_s$) QCD corrections to these decay modes in the minimal
supersymmetric extension of the Standard Model. In the case of scalar top and
bottom quarks, where mixing effects can be important, these corrections can
reach values of the order of a few ten percent. They can be either positive or
negative and increase logarithmically with the gluino mass. For the scalar
partners of light quarks, the corrections do not exceed in general the level of
ten percent for gluino masses less than 1 TeV.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 15:23:15 GMT""},{""version"":""v2"",""created"":""Wed, 4 Dec 1996 15:28:45 GMT""}]","2011-01-27"
"hep-ph/9609420","A. Djouadi","A. Djouadi, V. Driesen, W. Hollik and J. Rosiek (ITP Karlsruhe)","Associated Production of Higgs Bosons and a Photon in High-Energy $e^+
  e^-$ Collisions","Two typos corrected and one reference added. Version to appear in
  Nucl. Phys. B. The *.ps file can also be found at the URL:
  http://itpaxp1.physik.uni-karlsruhe.de/prep/prep.html","Nucl.Phys. B491 (1997) 68-102","10.1016/S0550-3213(96)00711-0","KA--TP--21--96","hep-ph",,"  We calculate the cross sections for the production of Higgs particles in
association with a photon in $e^+ e^-$ collisions, $e^+ e^- \to \gamma+$Higgs,
allowing for the longitudinal polarization of the initial electron and positron
beams. We consider the associated production of both the Standard Model Higgs
boson, and the neutral CP-even and CP-odd Higgs particles of its minimal
supersymmetric extension. Complete and compact analytical expressions are
given, and the size of the cross sections is illustrated for energies which
will be reached at future $e^+ e^-$ colliders.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 15:28:27 GMT""},{""version"":""v2"",""created"":""Wed, 4 Dec 1996 15:27:25 GMT""}]","2016-09-06"
"hep-ph/9609421","Jim Cline","C. Barbero, J.M. Cline, F. Krmpotic, D. Tadic","Exact evaluation of the nuclear form factor for new kinds of majoron
  emission in neutrinoless double beta decay","11pp., latex, fixed minor typographical errors","Phys.Lett. B392 (1997) 419-425","10.1016/S0370-2693(96)01587-0","McGill/96-36","hep-ph nucl-th",,"  We have developed a formalism, based on the Fourier-Bessel expansion, that
facilitates the evaluation of matrix elements involving nucleon recoil
operators, such as appear in serveral exotic forms of neutrinoless double beta
decay ($\beta\beta_{0\nu}$). The method is illustrated by applying it to the
``charged'' majoron model, which is one of the few that can hope to produce an
observable effect. From our numerical computations within the QRPA performed
for $^{76}Ge$, $^{82}Se$, $^{100} Mo$, $^{128}Te$ and $^{150}Nd$ nuclei, we
test the validity of approximations made in earlier work to simplify the new
matrix elements, showing that they are accurate to within 15%. Our new method
is also suitable for computing other previously unevaluated $\beta\beta_{0\nu}$
nuclear matrix elements.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 15:58:38 GMT""},{""version"":""v2"",""created"":""Tue, 24 Sep 1996 13:26:26 GMT""}]","2009-10-28"
"hep-th/9609167","Rolf Schimmrigk","Ralph Blumenhagen, Rolf Schimmrigk and Andreas Wisskirchen","(0,2) Mirror Symmetry","plain TeX, harvmac incl., 38(b)/22(l) pp., 3 PS figs., epsf incl.,
  references added","Nucl.Phys. B486 (1997) 598-628","10.1016/S0550-3213(96)00698-0","BONN-TH-96-11, IASSNS-HEP-96/91","hep-th",,"  We generalize the previously established (0,2) triality of exactly solvable
models, Landau-Ginzburg theories and Calabi-Yau manifolds to a number of
different classes of (0,2) compactifications derived from (2,2) vacua. For the
resulting models we show that the known (2,2) mirror constructions induce
mirror symmetry in the (0,2) context.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 07:07:09 GMT""},{""version"":""v2"",""created"":""Tue, 24 Sep 1996 20:05:23 GMT""}]","2009-10-30"
