"acc-phys/9609003","Gayane A. Amatuni","A. Amatuni","Selfacceleration of Electrons in One-dimensional Bunches, Moving in Cold
  Plasma","14 pages,latex",,,,"acc-phys physics.acc-ph",,"  Nonlinear dynamics of the one-dimensional ultrarelativistic bunch of
electrons,moving in cold plasma,is considered in multiple scales perturbative
approach. A square root of the inverse Lorentz factor of the bunch electrons is
taken as a small parameter. Bunch electrons momenta is changed in the first
approximation.In the underdense plasma and for the model example of the
combined bunch the selfacceleration of the bunch electrons can be remarkable.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 11:31:14 GMT""}]","2008-02-03"
"gr-qc/9609026",,"V. Mukhanov (ETH Zuerich), L.R.W. Abramo (Brown Univ.) and R.
  Brandenberger (Brown Univ.)","On the Back Reaction Problem for Gravitational Perturbations","4 pages, uses LATEX","Phys.Rev.Lett.78:1624-1627,1997","10.1103/PhysRevLett.78.1624","BROWN-HET-1045","gr-qc astro-ph hep-th",,"  We derive the effective energy-momentum tensor for cosmological perturbations
and prove its gauge-invariance. The result is applied to study the influence of
perturbations on the behaviour of the Friedmann background in inflationary
Universe scenarios. We found that the back reaction of cosmological
perturbations on the background can become important already at energies below
the self-reproduction scale.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 12:35:08 GMT""}]","2008-11-26"
"hep-ex/9609004","Juan Fuster","J. Fuster, S. Cabrera and S. Marti i Garcia","Experimental studies of QCD using flavour tagged jets with DELPHI","Latex, 5 pages, 3 figures,to appear in the Proceedings of the High
  Energy Physics International Euroconference on Quantum Chromodynamics (QCD
  '96), Montpellier, France, 4-12th July 1996. Ed. S. Narison, Nucl Phys. B
  (Proc. Suppl.)","Nucl.Phys.Proc.Suppl.54A:39-43,1997","10.1016/S0920-5632(97)00011-X","IFIC/96-63","hep-ex",,"  Identified $b\overline{b}g$ and $q\overline{q}\gamma$ events from DELPHI are
used to measure the ratio of the mean charged particle multiplicity
distribution between gluon and quark jets. The dependence of this ratio with
the jet energy is established using about three million Z$^0$ decays. Results
from all other detectors are discussed and compared. A nice agreement is found
among all them. The ratio between the normalized total three-jet cross sections
of $b\overline{b}g$ and $q\overline{q}g, q \equiv u,d,s$ events is also
determined. The preliminary value obtained indicates that $b$ quarks are
experimentaly seen to radiate less than light quarks due to their higher mass.
The suggested experimental error is $\sim$300 MeV for the $b$ mass
determination at the M$_Z$ scale.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 14:31:33 GMT""}]","2011-01-27"
"hep-ph/9609295","Ramon Munoz Tapia","S. Moretti, R. Munoz-Tapia and K. Odagiri","Gluino signals in 4jet events and vertex tagging at LEP1","28 pages, 9 figures embedded with epsfig, Latex. Major revision
  taking into account latest bounds. Version to appear in Zeit. f. Phys. C","Eur.Phys.J.C4:351-362,1998","10.1007/s100520050213",,"hep-ph",,"  Heavy flavour tagging provides a broad range of possibilities in testing QCD
features at LEP. We present here a study of 4jets events at LEP I where the
so-called light gluinos could be directly produced. We show that microvertex
techniques offer a unique chance to exploit simple kinematical distributions in
order to optimise the signal coming from gluino production with respect to the
background of ordinary QCD events. Our results indicate that experimental
analyses along the lines suggested here can exclude or reveal the presence of a
gluino for masses up to 10 GeV and lifetimes below 10$^{-9}$ sec. We also point
out that a large fraction of gluino events could decay in configurations
carrying large missing energy, so to escape the usual selection criteria of
4jet samples. In our study, mass effects of quarks and gluinos have been taken
into account exactly. Our results are independent from both the jet algorithm
and its resolution parameter.}
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 17:09:48 GMT""},{""version"":""v2"",""created"":""Wed, 17 Sep 1997 11:06:31 GMT""}]","2011-09-13"
"hep-ph/9609296","Carlos Alberto Salgado Lopez","N. Armesto, C. Pajares, C. A. Salgado and Yu. M. Shabelski","Hard Processes on Nuclear Targets in QCD","11 pages in LaTeX plus 9 postscript figures; one short comment at the
  end of section 3 and one reference added","Phys.Atom.Nucl.61:125-132,1998; Yad.Fiz.61:134-141,1998",,"US-FT/37-96","hep-ph",,"  We calculate the A-dependence of open charm and beauty as well as Drell-Yan
pair production cross sections on nuclear targets taking into account the
difference of quark and gluon distributions in free and bound nucleons. The
results are presented for both proton-nucleus and nucleus-nucleus collisions.
For the case of heavy flavour production at comparatively low energies, if
$\sigma \sim A^{\alpha}$, the values of $\alpha$ are slightly higher than
unity. With increasing energy $\alpha$ decreases in all cases and becomes
smaller than unity. We also show $\alpha$ as a function of Feynman-$x$ of the
produced $Q\overline{Q}$ or $l^+l^-$ pair and obtain that it decreases
significantly in the beam fragmentation region. The sensitivity of our results
to the used set of parton distributions is also discussed.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 17:29:01 GMT""},{""version"":""v2"",""created"":""Thu, 12 Sep 1996 16:46:57 GMT""}]","2014-11-17"
"hep-ph/9609297",,"Estia Eichten and Kenneth Lane","Electroweak and Flavor Dynamics at Hadron Colliders--I","14 pages; TeX using harvmac macros","ECONFC960625:NEW162,1996",,"FERMILAB-CONF-96/297-T, BUHEP-96-33","hep-ph hep-ex",,"  This is the first of two reports cataloging the principal signatures of
electroweak and flavor dynamics at $\pbarp$ and $pp$ colliders. Here, we
discuss some of the signatures of dynamical elecroweak and flavor symmetry
breaking. The framework for dynamical symmetry breaking we assume is
technicolor, with a walking coupling $\alpha_{TC}$, and extended technicolor.
The reactions discussed occur mainly at subprocess energies $\sqrt{\hat s}
\simle 1 TeV$. They include production of color-singlet and octet technirhos
and their decay into pairs of technipions, longitudinal weak bosons, or jets.
Technipions, in turn, decay predominantly into heavy fermions. This report will
appear in the Proceedings of the 1996 DPF/DPB Summer Study on New Directions
for High Energy Physics (Snowmass 96).
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 18:40:47 GMT""}]","2008-11-26"
"hep-ph/9609298",,"Estia Eichten and Kenneth Lane","Electroweak and Flavor Dynamics at Hadron Colliders--II","12 pages; TeX using harvmac macros",,,"FERMILAB-CONF-96/298-T, BUHEP-96-34","hep-ph hep-ex",,"  This is the second of two reports cataloging the principal signatures of
electroweak and flavor dynamics at $\pbarp$ and $pp$ colliders. Here, we
complete our overview of technicolor with a discussion of signatures specific
to topcolor-assisted technicolor. We also review signatures of flavor dynamics
associated with quark and lepton substructure. These occur in excess production
rates for dijets and dileptons with high $E_T$ and high invariant mass. An
important feature of these processes is that they exhibit fairly central
angular and rapidity distributions. This report will appear in the Proceedings
of the 1996 DPF/DPB Summer Study on New Directions for High Energy Physics
(Snowmass 96).
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 18:43:07 GMT""}]","2007-05-23"
"hep-ph/9609299","Levai Peter","P. Levai, J. Zimanyi","Confinement and Entropy in Heavy Ion Collisions","4 pages, LaTeX, to appear in the Proceedings of the Workshop on
  Quantum Chromodynamics, 3-8 June 1996, AUP Paris, France",,,,"hep-ph",,"  We introduce a kinetical description of the hadronization of semi-deconfined
quark matter produced in heavy ion collisions. A minimal microscopic model is
considered in which the produced quarks and anti-quarks are redistributed into
hadrons according to the additive quark model. Assuming thermalized quark
matter and hadron matter we determine the appropriate parameters to describe
the properties of both matter before and after hadronization. We find an
adiabatic hadronization.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 03:12:02 GMT""}]","2007-05-23"
"hep-ph/9609300","Manuel Drees","Manuel Drees (APCTP, Seoul, Korea)","Particle Dark Matter","14 pages, 4 enclosed figures. Replaced to (hopefully) solve problems
  with printing of first figure",,,"APCTP 96-04","hep-ph",,"  There is plenty of evidence that most matter in the Universe is dark
(non-luminous). Particle physics offers several possible explanations. In this
talk I focus on cold dark matter; the most promising candidates are then axions
and the lightest supersymetric particle. I briefly summarize estimates of the
present relic density of these particles, and describe efforts to detect them
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 16:37:34 GMT""},{""version"":""v2"",""created"":""Fri, 13 Sep 1996 17:40:37 GMT""}]","2008-02-03"
"hep-ph/9609301","John Gracey","J.A. Gracey","Anomalous dimensions of operators in polarized deep inelastic scattering
  at O(1/N_f)","22 latex pages plus 7 figures","Nucl.Phys.B480:73-98,1996","10.1016/S0550-3213(96)00485-3","LTH 384","hep-ph",,"  Critical exponents are computed for a variety of twist-2 composite operators,
which occur in polarized and unpolarized deep inelastic scattering, at leading
order in the 1/N_f expansion. The resulting d-dimensional expressions, which
depend on the moment of the operator, are in agreement with recent explicit two
and three loop perturbative calculations. An interesting aspect of the critical
point approach which is used, is that the anomalous dimensions of the flavour
singlet eigenoperators, which diagonalize the perturbative mixing matrix, are
computed directly. We also elucidate the treatment of gamma^5 at the fixed
point which is important in simplifying the calculation for polarized
operators. Finally, the anomalous dimension of the singlet axial current is
determined at O(1/N_f) by considering the renormalization of the anomaly in
operator form.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 08:53:05 GMT""}]","2008-11-26"
"hep-ph/9609302","Andrzej Czarnecki","Andrzej Czarnecki and Kirill Melnikov","An estimate of the QCD corrections to the decay Z --> W u d","9 pages, latex","Phys. Rev. D 56, 1638 (1997)","10.1103/PhysRevD.56.1638","TTP96-33","hep-ph",,"  We present an estimate of perturbative QCD corrections to the decay $Z \to
Wu\bar d$. A simple approximate approach is described in detail. The difference
of masses of $M_Z$ and $M_W$ is used as an expansion parameter. A complete
analytical formula for a part of the corrections is also presented.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 09:50:32 GMT""}]","2016-08-24"
"hep-ph/9609303","Qiao Cong Feng","Kuang-Ta Chao","Physics in Charm Energy Region","Talk presented at the 17th International Symposium on Lepton Photon
  Interactions, Beijing, China, Aug. 10-15, 1995",,,"PUTP-95-20","hep-ph",,"  Recent results on physics in the charm energy region are reviewed. (1) The
new data and puzzles in exclusive hadronic decays of $J/\psi$ and $\psi'$ give
new challenges to the theory of hadronic decays. (2) With the new observation
for $\xi(2230)$ and $f_0(1500)$ in $J/\psi$ radiative decays and other
experiments, the situation in searching for glueballs is encouraging, but
theoretical uncertainties related to the properties of glueballs still remain
and need to be further reduced. (3) For the prompt production of charmonium at
large transverse momentum, gluon and quark fragmentations dominate over
leading-order parton fusions. Color-singlet fragmentation is not the dominant
mechanism for $J/\psi$ and $\psi'$ production. Color-octet fragmentation seems
to be important to explain the $J/\psi$ and, in particular, the $\psi'$ excess,
but further tests are required. The mechanism of charmonium production at
fixed-target also needs studying. (4) Some theoretical and experimental results
in charmonium and open charm hadrons are also reported.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 10:48:26 GMT""}]","2007-05-23"
"hep-ph/9609304","Peter White","B. de Carlos (Sussex) and P.L. White (Oxford)","$R$-Parity Violation and Flavour Violation","4 pages LaTeX with stwol.sty, talk presented by P.L. White at
  ICHEP96, Warsaw, to appear in proceedings",,,,"hep-ph",,"  The MSSM with $R$-Parity violation allows flavour changing neutral currents
through two mechanisms, directly through one loop diagrams, and indirectly
through the generation of flavour violation in the sparticle sector. We discuss
the use of these mechanisms for constraining $R$-Parity violation, and show
that the indirect mechanism parametrised in terms of the running of the soft
masses from the unification or Planck scale typically dominates previously
calculated effects. We discuss neutrino mass generation, $\mu\to e\gamma$,
$b\to s\gamma$, and $K^0-\bar K^0$ mixing as examples.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 10:54:14 GMT""}]","2007-05-23"
"hep-ph/9609305",,"F. De Fazio","$B^- \to \mu^- {\bar \nu}_\mu \gamma$ and the Determination of $f_B$","LaTex file, 4 pages, 2 encapsulated PostScript figures. Talk given at
  the International Conference ""Quark Confinement and the Hadron Spectrum II"",
  Como 26-29 June 1996",,,"BARI-TH/96-251","hep-ph",,"  We compute the rate of the decay $B^- \to \mu^- {\bar \nu}_\mu \gamma$ by a
QCD relativistic potential model, with the result: ${\cal B}(B^- \to \mu^-
{\bar \nu}_\mu \gamma)=0.9 \cdot 10^{-6}$. We also discuss how this decay mode
can be used to access $f_B$.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 14:10:50 GMT""},{""version"":""v2"",""created"":""Wed, 11 Sep 1996 13:55:58 GMT""}]","2008-02-03"
"hep-ph/9609306","Sergio Lupia","Alberto Giovannini (Turin U. & INFN, Turin), Sergio Lupia (Munich, Max
  Planck Inst.), Roberto Ugoccioni (Lund U.)","The negative binomial distribution in quark jets with fixed flavour","LaTeX, 15 pages including 4 Postscript figures, uses epsfig.sty and
  rotating.sty","Phys.Lett.B388:639-647,1996","10.1016/S0370-2693(96)01315-9","DFTT 50/96, MPI-PhT/96-80, LU TP 96-23","hep-ph",,"  We show that both the multiplicity distribution and the ratio of factorial
cumulants over factorial moments for 2-jet events in e+e- annihilation at the
Z^0 peak can be well reproduced by the weighted superposition of two negative
binomial distributions, associated to the contribution of $b\bar b$ and light
flavoured events respectively. The negative binomial distribution is then
suggested to describe the multiplicity distribution of 2-jet events with fixed
flavour.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 15:09:03 GMT""}]","2008-11-26"
"hep-ph/9609307","Yasuhiro Okada","Yoshitaka Kuno, Akihiro Maki and Yasuhiro Okada (KEK)","Background Suppression for $\mu\to e\gamma$ with Polarized Muons","10 pages, 2 figures, also available via anonymous ftp at
  ftp://ftp.kek.jp/kek/preprints/TH/TH-493","Phys.Rev.D55:2517-2520,1997","10.1103/PhysRevD.55.2517","KEK TH-493, KEK preprint 96-111","hep-ph",,"  A search for the lepton-flavor violating $\mu^{+}\rightarrow e^{+}\gamma$
decay using polarized muons is revisited in terms of suppression of the serious
background arising from an accidental coincidence between a $e^{+}$ in the
normal muon decay and a high energy photon in the radiative muon decay,
$\mu^{+} \rightarrow e^{+} \nu \overline{\nu} \gamma$. It is found that a high
energy photon in $\mu^{+} \rightarrow e^{+} \nu \overline{\nu} \gamma$ decay is
preferentially emitted parallel to the muon spin direction, similarly to
$e^{+}$ in the normal muon decay. The selective measurements of either $e^{+}$s
or photons moving antiparallel to the muon spin direction would suppress the
accidental background for $\mu^{+} \rightarrow e^{+} \gamma$ with right-handed
and left-handed $e^{+}$s respectively.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 15:38:49 GMT""}]","2010-01-06"
"hep-th/9609072",,"Alan Chodos and Andras Kaiser","Zeta function regularization in de Sitter space: the Minkowski limit","TeX, 14 pages, a reference added","J.Math.Phys. 38 (1997) 4771-4782","10.1063/1.532122","YCTP-P19-96","hep-th",,"  We study an integral representation for the zeta function of the one-loop
effective potential for a minimally coupled massive scalar field in
D-dimensional de Sitter spacetime. By deforming the contour of integration we
present it in a form suitable for letting the de Sitter radius tend to
infinity, and we demonstrate explicitly for the case D=2 that the quantities
$\zeta( 0 )$ and $\zeta'( 0 )$ have the appropriate Minkowski limits.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 16:10:00 GMT""},{""version"":""v2"",""created"":""Wed, 11 Sep 1996 16:32:00 GMT""}]","2009-10-30"
"hep-th/9609073","Massimo Porrati","M. Porrati","Spontaneous Breaking of Extended Supersymmetry in Global and Local
  Theories","Contribution to the proceedings of the Spring School and Workshop on
  String Theory, Gauge Theory and Quantum Gravity, ICTP, Trieste, Italy, March
  18-29,1996. Latex file, uses espcrc2.sty and epsf.sty","Nucl.Phys.Proc.Suppl. 55B (1997) 240-244","10.1016/S0920-5632(97)00084-4","NYU-TH-96/09/01","hep-th",,"  We review the ""no-go"" theorems that severely constrain the breaking of N=2
supersymmetry to N=1 (both in rigid supersymmetry and supergravity), and we
exhibit some models that evade them.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 17:05:22 GMT""}]","2009-10-30"
"hep-th/9609074","Fernando Ruiz","F. Ruiz Ruiz and P. van Nieuwenhuizen","BRS symmetry versus supersymmetry in Yang-Mills-Chern-Simons theory","27 pages, 2 figures, latex2e, uses epsfig","Nucl.Phys. B486 (1997) 443-465","10.1016/S0550-3213(96)00671-2","HD-THEP-96-29, ITP-SB-96-36, NIKHEF-96-019","hep-th",,"  We prove that three-dimensional $N=1$ supersymmetric Yang-Mills-Chern-Simons
theory is finite to all loop orders. In general this leaves open the
possibility that different regularization methods lead to different finite
effective actions. We show that in this model dimensional regularization and
regularization by dimensional reduction yield the same effective action.
Consequently, the superfield approach preserves BRS invariance for this model.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 16:59:35 GMT""}]","2009-10-30"
"hep-th/9609075","Edi Halyo","E. Halyo, B. Kol, A. Rajaraman, L. Susskind","Counting Schwarzschild and Charged Black Holes","13 pages in phyzzx with 1 figure. An error is corrected which affects
  the conclusions. In addition, the argument is generalized to include rotating
  black holes","Phys.Lett.B401:15-20,1997","10.1016/S0370-2693(97)00357-2","SU-ITP-96-40","hep-th",,"  We review the arguments that fundamental string states are in one to one
correspondence with black hole states. We demonstrate the power of the
assumption by showing that it implies that the statistical entropy of a wide
class of nonextreme black holes occurring in string theory is proportional to
the horizon area. However, the numerical coefficient relating the area and
entropy only agrees with the Bekenstein--Hawking formula if the central charge
of the string is six which does not correspond to any known string theory.
Unlike the current D-brane methods the method used in this paper is applicable
for the case of Schwarzschild and highly non-extreme charged black holes.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 00:53:33 GMT""},{""version"":""v2"",""created"":""Wed, 11 Sep 1996 22:10:17 GMT""},{""version"":""v3"",""created"":""Mon, 21 Oct 1996 19:30:08 GMT""}]","2009-10-07"
"hep-th/9609077","Yoshihisa Kitazawa","Toshiaki Aida and Yoshihisa Kitazawa","Two-loop Prediction for Scaling Exponents in (2 + \epsilon)-dimensional
  Quantum Gravity","36 pages, Latex file, 6 figures","Nucl.Phys. B491 (1997) 427-460","10.1016/S0550-3213(97)00091-6","TIT-HEP-343","hep-th",,"  We perform the two loop level renormalization of quantum gravity in
$2+\epsilon$ dimensions. We work in the background gauge whose manifest
covariance enables us to use the short distance expansion of the Green's
functions. We explicitly show that the theory is renormalizable to the two loop
level in our formalism. We further make a physical prediction for the scaling
relation between the gravitational coupling constant and the cosmological
constant which is expected to hold at the short distance fixed point of the
renormalization group. It is found that the two loop level calculation is
necessary to determine the scaling exponent to the leading order in $\epsilon$.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 08:33:22 GMT""}]","2009-10-30"
"hep-th/9609078","Rahmi Guven","R. G\""uven and E. Y\""or\""uk","Stringy Robinson-Trautman Solutions","Latex, 30 Pages, 1 Figure; to appear in Phys. Rev. D","Phys.Rev.D54:6413-6423,1996","10.1103/PhysRevD.54.6413",,"hep-th",,"  A class of solutions of the low energy string theory in four dimensions is
studied. This class admits a geodesic, shear-free null congruence which is
non-twisting but in general diverging and the corresponding solutions in
Einstein's theory form the Robinson-Trautman family together with a subset of
the Kundt's class. The Robinson-Trautman conditions are found to be frame
invariant in string theory. The Lorentz Chern-Simons three form of the stringy
Robinson-Trautman solutions is shown to be always closed. The stringy
generalizations of the vacuum Robinson-Trautman equation are obtained and three
subclasses of solutions are identified. One of these subclasses exists, among
all the dilatonic theories, only in Einstein's theory and in string theory.
Several known solutions including the dilatonic black holes, the pp- waves, the
stringy C-metric and certain solutions which correspond to exact conformal
field theories are shown to be particular members of the stringy
Robinson-Trautman family. Some new solutions which are static or asymptotically
flat and radiating are also presented. The radiating solutions have a positive
Bondi mass. One of these radiating solutions has the property that it settles
down smoothly to a black hole state at late retarded times.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 05:25:27 GMT""}]","2008-11-26"
"hep-th/9609079",,"Kenichiro Aoki, Eric D'Hoker","Non-critical strings at high energy","34pp, 8 figures, harvmac, epsf (TeXing problems fixed)","Nucl.Phys. B490 (1997) 40-74","10.1016/S0550-3213(97)00034-5",,"hep-th",,"  We consider scattering amplitudes in non-critical string theory of $N$
external states in the limit where the energy of all external states is large
compared to the string tension. We argue that the amplitudes are naturally
complex analytic in the matter central charge $c$ and we propose to define the
amplitudes for arbitrary value of $c$ by analytic continuation. We show that
the high energy limit is dominated by a saddle point that can be mapped onto an
equilibrium electro-static energy configuration of an assembly of $N$ pointlike
(Minkowskian) charges, together with a density of charges arising from the
Liouville field. We argue that the Liouville charges accumulate on segments of
curves, and produce quadratic branch cuts on the worldsheet. The
electro-statics problem is solved for string tree level in terms of
hyper-elliptic integrals and is given explicitly for 3- and 4-point functions.
We show that the high energy limit should behave in a string-like fashion with
exponential dependence on the energy scale for generic values of $c$.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 08:08:04 GMT""}]","2009-10-30"
"hep-th/9609080","G. Mussardo","C. Acerbi, G. Mussardo and A. Valleriani","On the Form Factors of Relevant Operators and their Cluster Property","Latex file, 35 pages with 5 Postscript figures","J.Phys.A30:2895-2914,1997","10.1088/0305-4470/30/9/007","ISAS/EP/96/105, IC/96/168","hep-th",,"  We compute the Form Factors of the relevant scaling operators in a class of
integrable models without internal symmetries by exploiting their cluster
properties. Their identification is established by computing the corresponding
anomalous dimensions by means of Delfino--Simonetti--Cardy sum--rule and
further confirmed by comparing some universal ratios of the nearby
non--integrable quantum field theories with their independent numerical
determination.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 08:18:32 GMT""}]","2008-11-26"
"hep-th/9609081","Anatoli Konechny","A. Konechny, A. Schwarz","Geometry of N=1 Super Yang-Mills Theory in Curved Superspace","16 pages, Latex","J.Geom.Phys. 23 (1997) 97-110","10.1016/S0393-0440(96)00050-2",,"hep-th",,"  We give a new description of N=1 super Yang-Mills theory in curved
superspace. It is based on the induced geometry approach to a curved superspace
in which it is viewed as a surface embedded into C(4|2). The complex structure
on C(4|2) supplied with a standard volume element induces a special
Cauchy-Riemann (SCR)-structure on the embedded surface. We give an explicit
construction of SYM theory in terms of intrinsic geometry of the superspace
defined by this SCR-structure and a CR-bundle over the superspace. We write a
manifestly SCR-covariant Lagrangian for SYM coupled with matter. We also show
that in a special gauge our formulation coincides with the standard one which
uses Lorentz connections. Some useful auxiliary results about the integration
over surfaces in superspace are obtained.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 08:49:34 GMT""},{""version"":""v2"",""created"":""Thu, 12 Sep 1996 11:52:02 GMT""}]","2009-10-30"
"hep-th/9609082","Rolf Schimmrigk","B. Hunt, M. Lynker, R. Schimmrigk","Heterotic/Type II Duality in D=4 and String/String Duality","6 pages, espcrc2","Nucl.Phys.Proc.Suppl. 52A (1997) 339-343","10.1016/S0920-5632(96)00587-7","Bonn-TH-96-08","hep-th",,"  We discuss the structure of heterotic/type II duality in four dimensions as a
consequence of string-string duality in six dimensions. We emphasize the new
features in four dimensions which go beyond the six dimensional vacuum
structure and pertain to the way particular K3 fibers can be embedded in
Calabi-Yau threefolds. Our focus is on hypersurfaces as well as complete
intersections of codimension two which arise via conifold transitions.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 09:06:43 GMT""}]","2009-10-30"
"hep-th/9609083","Victor Aldaya","V. Aldaya, M. Calixto and M. Navarro","The Electromagnetic and Proca Fields Revisited: a Unified Quantization","16 pages, latex, no figures","Int.J.Mod.Phys. A12 (1997) 3609-3623","10.1142/S0217751X97001869",,"hep-th",,"  Quantizing the electromagnetic field with a group formalism faces the
difficulty of how to turn the traditional gauge transformation of the vector
potential, $A_{\mu}(x)\rightarrow A_{\mu}(x)+\partial_{\mu}\varphi(x)$, into a
group law. In this paper it is shown that the problem can be solved by looking
at gauge transformations in a slightly different manner which, in addition,
does not require introducing any BRST-like parameter. This gauge transformation
does not appear explicitly in the group law of the symmetry but rather as the
trajectories associated with generalized equations of motion generated by
vector fields with null Noether invariants. In the new approach the parameters
of the local group, $U(1)(\vec{x},t)$, acquire dynamical content outside the
photon mass shell, a fact which also allows a unified quantization of both the
electromagnetic and Proca fields.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 11:00:41 GMT""}]","2015-06-26"
"hep-th/9609084","Margaret Gabler","Finn Larsen and Frank Wilczek","Classical Hair in String Theory II: Explicit Calculations","Latex, 40 pages, no figures","Nucl.Phys. B488 (1997) 261-281","10.1016/S0550-3213(96)00700-6","IASSNS-HEP 96-92","hep-th gr-qc",,"  After emphasizing the importance of obtaining a space-time understanding of
black hole entropy, we further elaborate our program to identify the degrees of
freedom of black holes with classical space-time degrees of freedom. The
Cveti\v{c}-Youm dyonic black holes are discussed in some detail as an example.
In this example hair degrees of freedom transforming as an effective string can
be identified explicitly. We discuss issues concerning charge quantization,
identification of winding, and tension renormalization that arise in counting
the associated degrees of freedom. The possibility of other forms of hair in
this example, and the prospects for making contact with D-brane ideas, are
briefly considered.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 15:39:21 GMT""}]","2009-10-30"
"math/9609214","J. Brian Conrey","J. Brian Conrey, William Duke, David W. Farmer","The distribution of the eigenvalues of Hecke operators",,,,"OSU Math 1996-23","math.NT",,"  For each prime $p$, we determine the distribution of the $p^{th}$ Fourier
coefficients of the Hecke eigenforms of large weight for the full modular
group. As $p\to\infty$, this distribution tends to the Sato--Tate distribution.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 00:00:00 GMT""}]","2016-09-06"
"nucl-th/9609024","Charles Benesh","C.J. Benesh(LANL, IITAP-Ames) and T. Goldman(LANL)","Charge Symmetry Breaking in the Valence Quark Distributions of the
  Nucleon","10 pages, LaTEX, 5 Postscript figures","Phys.Rev.C55:441-447,1997","10.1103/PhysRevC.55.441",,"nucl-th hep-ph",,"  Using a quark model, we study the effect of charge symmetry breaking on the
valence quark distributions of the nucleon. The effect due to quark mass
differences and the Coulomb interaction of the electrically charged quarks is
calculated and, in contrast to recent claims, found to be small. In addition,
we investigate the effect of charge symmetry breaking in the confining
interaction, and in the perturbative evolution equations used to relate the
quark model distributions to experiment. We find that both these effects are
small, and that the strong charge symmetry breaking effect included in the
scalar confining interactions may be distinguishable from that generated by
quark mass differences.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 22:59:22 GMT""}]","2008-11-26"
"nucl-th/9609025",,"W. Cassing (Giessen Univ.) and C.M. Ko (Texas A&M Univ.)","$J/\Psi$ suppression in nuclear collisions at SPS energies","9 pages, LaTeX, plus 4 postscript figures, submitted to Phys. Lett. B","Phys.Lett. B396 (1997) 39-44","10.1016/S0370-2693(97)00115-9","UGI-96-16","nucl-th",,"  We have carried out a first calculation of $J/\Psi$ production from nuclear
collisions within the covariant transport approach HSD, which has been very
successful in describing both hadronic and electromagnetic observables from
heavy-ion collisions at intermediate and high energies. The production of
$J/\Psi$'s is based on the Lund string fragmentation model, while its
interactions with hadrons are included by conventional cascade-type two-body
collisions. Adopting 6 mb for the $J/\Psi$-baryon cross sections and 3 mb for
the $J/\Psi$-meson cross sections above the $D\bar{D}$ threshold, we find that
data on $J/\Psi$ suppression from both proton-nucleus and nucleus-nucleus
collisions (including Pb + Pb) can be explained without assuming the formation
of a quark-gluon plasma in these collisions. Our microscopic studies thus
confirm the suggestion of Gavin et al. that $J/\Psi$ suppression observed in
nuclear collisions is largely due to absorption by comovers, i.e., the produced
mesons.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 14:36:26 GMT""}]","2016-09-08"
"nucl-th/9609026","Ian Towner","I.S. Towner (Chalk River Laboratories)","Non-nucleonic Effects Studied by Nuclear Moments","10 pages, LaTeX, Invited Talk at Int. Symp. on Non-nucleonic Degrees
  of Freedom Detected in Nucleus, Osaka, Japan, Sept 2-5, 1996",,,,"nucl-th",,"  Measured magnetic moments of single-particle states in the Pb region differ
significantly from their Schmidt values. We discuss the reasons for this in
terms of meson-exchange currents, isobar currents, core polarisation and other
effects.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 15:53:12 GMT""}]","2007-05-23"
