"alg-geom/9603010","Gritsenko","Valeri A. Gritsenko and Viacheslav V. Nikulin","The Igusa modular forms and ``the simplest'' Lorentzian Kac--Moody
  algebras","40 pages, no figures. AMS-TeX",,"10.1070/SM1996v187n11ABEH000171",,"alg-geom hep-th math.AG math.QA q-alg",,"  We find automorphic corrections for the Lorentzian Kac--Moody algebras with
the simplest generalized Cartan matrices of rank 3:
  A_{1,0} =
  2 0 -1
  0 2 -2
  -1 -2 2
  and
  A_{1,I} =
  2 -2 -1
  -2 2 -1
  -1 -1 2
  For A_{1,0} this correction is given by the Igusa Sp_4(Z)-modular form
\chi_{35} of weight 35, and for A_{1,I} by a Siege modular form of weight 30
with respect to a 2-congruence subgroup. We find infinite product or sum
expansions for these forms. Our method of construction of \chi_{35} leads to
the direct construction of Siegel modular forms by infinite product expansions,
whose divisors are the Humbert surfaces with fixed discriminants. Existence of
these forms was proved by van der Geer in 1982 using some geometrical
consideration. We announce a list of all hyperbolic symmetric generalized
Cartan matrices A of rank 3 such that A has elliptic or parabolic type, A has a
lattice Weyl vector, and A contains the affine submatrix \tilde{A}_1.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 21:34:45 GMT""}]","2015-06-24"
"dg-ga/9603007","Guido Haak","Josef Dorfmeister (Univ. of Kansas), Guido Haak (TU-Berlin)","On symmetries of constant mean curvature surfaces","42 pages, LaTeX, no figures, revision correcting several misprints",,,"SFB 288 Preprint No. 197 (TU-Berlin)","dg-ga math.DG",,"  We start the investigation of immersions $\Psi$ of a simply connected domain
$D$ into three dimensional Euclidean space $R^3$, which have constant mean
curvature (CMC-immersions), and allow for a group of automorphisms of $D$ which
leave the image $\Psi(D)$ invariant. On one hand, this leads to a detailed
description of symmetric CMC-surfaces and the associated symmetry groups. On
the other hand, it allows us to start the classification of CMC-immersions of
an arbitrary, compact or noncompact Riemann surface $M$ into $R^3$ in terms of
Weierstrass-type data, as introduced by Pedit, Wu, and one of the authors [D].
We use our general results to prove, that there are no CMC-tori or Delaunay
surfaces in the dressing orbit of the cylinder. As an example, we apply the
discussion to Smyth surfaces and to a CMC-surface with a branchpoint.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 09:24:32 GMT""},{""version"":""v2"",""created"":""Tue, 19 Mar 1996 14:31:48 GMT""}]","2008-02-03"
"gr-qc/9603021",,"Hisashi Onozawa, Takashi Mishima, Takashi Okamura, Hideki Ishihara,
  (Tokyo Institute of Technology)","Quasinormal modes of maximally charged black holes","17 pages, 2 eps figures","Phys.Rev. D53 (1996) 7033-7040","10.1103/PhysRevD.53.7033","TIT/HEP-311/COSMO-61","gr-qc",,"  A new algorithm for computing the accurate values of quasinormal frequencies
of extremal Reissner-Nordstr\""{o}m black holes is presented. The numerically
computed values are consistent with the values earlier obtained by Leaver and
those obtained through the WKB method. Our results are more precise than other
results known to date.
  We also find a curious fact that the resonant frequencies of gravitational
waves with multi-pole index $l$ coincide with those of electromagnetic waves
with multi-pole index $l-1$ in the extremal limit.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 19:59:42 GMT""}]","2009-10-28"
"hep-lat/9603008","Karl Jansen","Karl Jansen and Chuan Liu","Implementation of Symanzik's Improvement Program for Simulations of
  Dynamical Wilson Fermions in Lattice QCD","uuencoded gzipped tar-file, Latex2e source file, 6 Figures, 22 pages,
  one reference added","Comput.Phys.Commun. 99 (1997) 221-234","10.1016/S0010-4655(96)00128-2","DESY-96-042","hep-lat",,"  We discuss the implementation of a Sheikholeslami-Wohlert term for
simulations of lattice QCD with dynamical Wilson fermions as required by
Symanzik's improvement program. We show that for the Hybrid Monte Carlo or
Kramers equation algorithm standard even-odd preconditioning can be maintained.
We design tests of the implementation using analytically and numerically
computed cumulant expansions. We find that, for situations where the average
number of Conjugate Gradient iterations exceeds 200, the overhead is only about
20%.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 10:00:19 GMT""},{""version"":""v2"",""created"":""Fri, 22 Mar 1996 11:19:13 GMT""}]","2009-10-28"
"hep-ph/9603300",,"M. Caffo, H. Czyz and E. Remiddi","Simulation of the process $e^+ e^- \mapsto e^+ e^- \gamma$ within
  electroweak theory with longitudinally polarized initial electrons","9 pages, plain Tex, no figures, small change in Table 2","Phys.Lett. B378 (1996) 357-363","10.1016/0370-2693(96)00438-8","DFUB 96-07, TP-USL/96/01","hep-ph hep-ex",,"  We present simple analytic expressions for the distributions of the Bhabha
scattering process with emission of one hard photon, including weak boson
exchanges, and with longitudinal polarization of the initial electron. The
results from the Monte Carlo generator BHAGEN-1PH, based on these expressions,
are presented and compared, for the unpolarized case, with those existing in
literature.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 16:10:55 GMT""},{""version"":""v2"",""created"":""Mon, 15 Apr 1996 14:48:54 GMT""}]","2009-10-28"
"hep-ph/9603301","Abel Steven","S.A.Abel","Singlets in Supersymmetry","23 pages, no figures, plain LaTeX, mistake in references corrected",,,"ULB-TH-96/03","hep-ph",,"  It is argued that singlet extensions of the MSSM at the weak scale are
indicative of either gauged-$R$ symmetry or target space duality in a string
effective action at the Planck scale. The criteria used are satisfactory
primordial nucleosynthesis, absence of fine-tuning, and absence of cosmological
problems such as domain walls. Models which have a global discrete symmetry
such as the NMSSM may only be accommodated within rather complicated
cosmological scenarios which are also discussed.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 16:03:08 GMT""},{""version"":""v2"",""created"":""Tue, 26 Mar 1996 11:37:02 GMT""}]","2008-02-03"
"hep-ph/9603302","Daniel De Florian","D.de Florian, L.N.Epele, H. Fanchiotti, C.A.Garc\'ia Canal, S.Joffily,
  R.Sassot","Next to Leading Order Semi-inclusive Spin Asymmetries","Latex, 14 pages, 6 figures in 4 Postcript files","Phys.Lett.B389:358-366,1996","10.1016/S0370-2693(96)01257-9",,"hep-ph",,"  We have computed semi-inclusive spin asymmetries for proton and deuteron
targets including next to leading order (NLO) QCD corrections and contributions
coming from the target fragmentation region. These corrections have been
estimated using NLO fragmentation functions, parton distributions and also a
model for spin dependent fracture functions which is proposed here. We have
found that NLO corrections are small but non-negligible in a scheme where
gluons are polarised and that our estimate for target fragmentation effects
does not modify significantly charged asymmetries but affects the so called
difference asymmetries.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 17:01:42 GMT""}]","2016-08-15"
"hep-ph/9603303","Marcus Dirks","R. Baier, M. Dirks, O. Kober","Anomalous Processes in Effective Chiral Theories at High Temperatures","8 pages, ReVTeX","Phys.Rev. D54 (1996) 2222-2227","10.1103/PhysRevD.54.2222","BI-TP 96/1","hep-ph",,"  We discuss chiral theories of constituent quarks interacting with bosons at
high temperatures. In the chirally symmetric phase we demonstrate by applying
functional methods the presence of effective anomalous couplings for e.g. $\pi
\sigma \to \gamma \gamma, ~ \gamma \to \pi \pi \pi \sigma, ~K K \to \pi \pi \pi
\sigma$, etc., as they have recently been discussed by Pisarski.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 17:01:26 GMT""}]","2009-10-28"
"hep-ph/9603304","Stefan Kretzer","M. Gluck, S. Kretzer, E. Reya (Univ. Dortmund)","The Strange Sea Density and Charm Production in Deep Inelastic Charged
  Current Processes","12 pages, LaTeX, 4 figures","Phys.Lett. B380 (1996) 171-176; Erratum-ibid. B405 (1997) 391","10.1016/0370-2693(96)00456-X","DO-TH 96/06","hep-ph",,"  Charm production as related to the determination of the strange sea density
in deep inelastic charged current processes is studied predominantly in the
framework of the $\overline{{\rm{MS}}}$ fixed flavor factorization scheme.
Perturbative stability within this formalism is demonstrated. The compatibility
of recent next-to-leading order strange quark distributions with the available
dimuon and $F^{\nu N}_2$ data is investigated. It is shown that final
conclusions concerning these distributions afford further analyses of presently
available and/or forthcoming neutrino data.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 18:27:19 GMT""}]","2009-10-28"
"hep-ph/9603305","Brian Harris","B. W. Harris and J. F. Owens (Florida State University)","Fully differential heavy quark contributions to the photon structure
  functions $F_{2}^{\gamma}(x,Q^2)$ and $F_{L}^{\gamma}(x,Q^2)$ at
  next-to-leading order QCD","10 pages + 8 figures. Uses RevTeX and psfig. Complete paper including
  figures available at ftp://hep.fsu.edu/preprints/harris/xxx.ps Submitted to
  Phy. Rev. D","Phys.Rev. D54 (1996) 2295-2302","10.1103/PhysRevD.54.2295","FSU-HEP-960313","hep-ph",,"  Fully differential heavy quark contributions to the photon structure
functions in deeply inelastic scattering are computed in next-to-leading order
QCD, including both the direct and resolved contributions. A variety of
distributions are presented and discussed. Several of the distributions show
marked differences between the resolved and direct cases due primarily to the
presense of the gluon distribution in the former and lack thereof in the later.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 17:38:58 GMT""}]","2009-10-28"
"hep-ph/9603306","Gabriel Sanchez Colon","A. Garcia (1), R. Huerta (2), and G. Sanchez-Colon (2,3) ((1)
  CINVESTAV-Mexico, (2) CINVESTAV-Merida, (3) UC-Riverside)","Hyperon Non-leptonic Decays, the |Delta I|=1/2 Rule, and A Priori Mixed
  Hadrons","Submitted to Rev. Mex. Fis","Rev.Mex.Fis. 45 (1999) 244-248",,"LE-6129","hep-ph",,"  The $|\Delta I|=1/2$ rule in non-leptonic decays of hyperons can be naturally
understood by postulating a priori mixed physical hadrons, along with the
isospin invariance of the responsible transition operator. It is shown that
this operator can be identified with the strong interaction Yukawa hamiltonian.
The experimental amplitudes are well reproduced.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 18:39:11 GMT""},{""version"":""v2"",""created"":""Tue, 21 Apr 1998 01:12:24 GMT""}]","2008-02-03"
"hep-ph/9603307","J. W. F. Valle","J.W.F. Valle","Physics Beyond the Standard Model","lectures given at the VIII Jorge Andre Swieca Summer School (Rio de
  Janeiro, February 1995) and at the V Taller Latinoamericano de Fenomenologia
  de las Interacciones Fundamentales (Puebla, Mexico, October 1995); uuencoded
  77 page latex file, with 29 postcript figures",,"10.1063/1.49733","FTUV/96-xx; IFIC/96-xx","hep-ph astro-ph",,"  We discuss some of the signatures associated with extensions of the Standard
Model related to the neutrino and electroweak symmetry breaking sectors, with
and without supersymmetry. The topics include a basic discussion of the theory
of neutrino mass and the corresponding extensions of the Standard Model that
incorporate massive neutrinos; an overview of the present observational status
of neutrino mass searches, with emphasis on solar neutrinos, as well the as
cosmological data on the amplitude of primordial density fluctuations; the
implications of neutrino mass in cosmological nucleosynthesis, non-accelerator,
as well as in high energy particle collider experiments. Turning to the
electroweak breaking sector, we discuss the physics potential for Higgs boson
searches at LEP200, including Majoron extensions of the Standard Model, and the
physics of invisibly decaying Higgs bosons. We discuss the minimal
supersymmetric Standard Model phenomenology, as well as some of the laboratory
signatures that would be associated to models with R parity violation,
especially in Z and scalar boson decays.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 17:53:48 GMT""}]","2015-06-25"
"hep-ph/9603308",,"Jerzy Jurkiewicz, Maciej A. Nowak and Ismail Zahed","Dirac spectrum in QCD and Quark Masses","11 pages, LaTEX using RevTEX, 4 eps figures included. (Comparison
  between the Wilson and staggered fermions added in section 4, one combined
  plot replaced by three separate plots for better presentation, one reference
  added.)","Nucl.Phys. B478 (1996) 605-628; Erratum-ibid. B513 (1998) 759-760","10.1016/0550-3213(96)00413-0",,"hep-ph hep-lat hep-th",,"  We use a chiral random matrix model to investigate the effects of massive
quarks on the distribution of eigenvalues of QCD inspired Dirac operators.
Kalkreuter's lattice analysis of the spectrum of the massive (hermitean) Dirac
operator for two colors and Wilson fermions is shown to follow from a cubic
equation in the quenched approximation. The quenched spectrum shows a
Mott-transition from a (delocalized) Goldstone phase softly broken by the
current mass, to a (localized) heavy quark phase, with quarks localized over
their Compton wavelength. Both phases are distinguishable by the quark density
of states at zero virtuality, with a critical quark mass of the order of
100-200 MeV. At the critical point, the quark density of states is given by
$\nu_Q (\lambda) \sim |\lambda|^{1/3}$. Using Grassmannian techniques, we
derive an integral representation for the resolvent of the massive Dirac
operator with one-flavor in the unquenched approximation, and show that near
zero virtuality, the distribution of eigenvalues is quantitatively changed by a
non-zero quark mass. The generalization of our construction to arbitrary
flavors is also discussed. Some recommendations for lattice simulations are
suggested.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 19:30:59 GMT""},{""version"":""v2"",""created"":""Thu, 4 Apr 1996 09:50:22 GMT""}]","2009-10-28"
"hep-th/9603083","Abhay Ashtekar","Abhay Ashtekar and Jerzy Lewandowski","Quantum Field Theory of Geometry","20 pages, To appear in the Proceedings of the March '95 Boston
  Conference on the Foundations of Quantum Field Theory",,,"CGPG-96-3-2","hep-th",,"  Over the past five years, there has been significant progress on the problem
of quantization of diffeomorphism covariant field theories with {\it local}
degrees of freedom. The absence of a background space-time metric in these
theories gives rise to a host of conceptual and technical difficulties because
most of the familiar methods from axiomatic, constructive and perturbative
quantum field theory are no longer applicable. Perhaps the most striking
examples of these problems arise in the construction of a quantum field theory
of geometry. We show that these problems can be tackled using new
non-perturbative methods. In particular, one can rigorously define certain
geometric operators and show that their spectrum is discrete. Thus, there is a
precise sense in which the geometry is quantized at the Planck scale and the
continuum picture is only a coarse-grained approximation.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 16:06:00 GMT""}]","2007-05-23"
"hep-th/9603084",,"A. Bassetto and L. Griguolo","Ghost decoupling in 't Hooft spectrum for mesons","7 pages, revtex, no figures","Phys.Rev. D53 (1996) 7385-7389","10.1103/PhysRevD.53.7385","DFPD-96/TH/17","hep-th",,"  We show that the replacement of the ``instantaneous'' 't Hooft's potential
with the causal form suggested by equal time canonical quantization in
light-cone gauge, which entails the occurrence of negative probability states,
does not change the bound state spectrum when the difference is treated as a
single insertion in the kernel.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 16:25:37 GMT""}]","2009-10-30"
"hep-th/9603085","Qmw Theory Group","W. A. Sabra","SpaceTime Duality And $SU(n,1)\over SU(n)\otimes U(1)$ Cosets Of
  Orbifold Compactification","tex-file, 14 pages, an old version of the paper was submitted","Mod.Phys.Lett. A11 (1996) 1497-1508","10.1142/S0217732396001491","RHBNC-TH-95-1","hep-th",,"  The duality symmetry group of the cosets ${\textstyle SU(n,1)\over \textstyle
SU(n)\otimes U(1)}$, which describe the moduli space of a two-dimensional
subspace of an orbifold model with $(n-1)$ complex Wilson lines moduli, is
discussed. The full duality group and its explicit action on the moduli fields
are derived.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 18:47:54 GMT""},{""version"":""v2"",""created"":""Fri, 15 Mar 1996 14:51:06 GMT""}]","2009-10-30"
"hep-th/9603086","Jeffrey Harvey","Jeffrey A. Harvey","Magnetic Monopoles, Duality, and Supersymmetry","62 pages, harvmac (b), no figures. minor corrections, references
  added",,,"EFI-96-06","hep-th",,"  These notes present a pedagogical introduction to magnetic monopoles and
exact electromagnetic duality in supersymmetric gauge theories. They are based
on lectures given at the 1995 Trieste Summer School in High Energy Physics and
Cosmology and at the 1995 Busstepp Summer School at Cosener's House.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 20:55:35 GMT""},{""version"":""v2"",""created"":""Thu, 16 May 1996 22:55:42 GMT""}]","2016-09-06"
"hep-th/9603087","Paul Townsend","G. Papadopoulos and P.K. Townsend","Intersecting M-branes","Derivation of an intersection rule added. Some additional refs.
  Version accepted for publication in PLB. Phyzzx macro","Phys.Lett.B380:273-279,1996","10.1016/0370-2693(96)00506-0",,"hep-th",,"  We present the magnetic duals of G\""uven's electric-type solutions of D=11
supergravity preserving $1/4$ or $1/8$ of the D=11 supersymmetry. We interpret
the electric solutions as $n$ orthogonal intersecting membranes and the
magnetic solutions as $n$ orthogonal intersecting 5-branes, with $n=2,3$; these
cases obey the general rule that $p$-branes can self-intersect on
$(p-2)$-branes. On reduction to $D=4$ these solutions become electric or
magnetic dilaton black holes with dilaton coupling constant $a=1$ (for $n=2$)
or $a=1/\sqrt{3}$ (for $n=3$). We also discuss the reduction to D=10.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 19:23:33 GMT""},{""version"":""v2"",""created"":""Fri, 15 Mar 1996 18:44:03 GMT""},{""version"":""v3"",""created"":""Mon, 29 Apr 1996 15:05:17 GMT""}]","2009-10-09"
"hep-th/9603088","Gerard Watts","Pierre Mathieu and Gerard Watts","Probing integrable perturbations of conformal theories using singular
  vectors","34 pages","Nucl.Phys. B475 (1996) 361-396","10.1016/0550-3213(96)00325-2","LAVAL-PHY-96-20, CRM-2313, DAMTP--96--20","hep-th",,"  It has been known for some time that the (1,3) perturbations of the (2k+1,2)
Virasoro minimal models have conserved currents which are also singular vectors
of the Virasoro algebra. This also turns out to hold for the (1,2) perturbation
of the (3k+-1,3) models. In this paper we investigate the requirement that a
perturbation of an extended conformal field theory has conserved currents which
are also singular vectors. We consider conformal field theories with W3 and
(bosonic) WBC2 = W(2,4) extended symmetries. Our analysis relies heavily on the
general conjecture of de Vos and van Driel relating the multiplicities of
W-algebra irreducible modules to the Kazhdan-Lusztig polynomials of a certain
double coset. Granting this conjecture, the singular-vector argument provides a
direct way of recovering all known integrable perturbations. However, W models
bring a slight complication in that the conserved densities of some (1,2)-type
perturbations are actually subsingular vectors, that is, they become singular
vectors only in a quotient module.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 20:13:14 GMT""}]","2009-10-30"
"hep-th/9603089","Jose L. Fernandez-Barbon","E. Alvarez, J.L.F. Barbon and J. Borlaf","T-duality for open strings","32 pp","Nucl.Phys. B479 (1996) 218-242","10.1016/0550-3213(96)00455-5","FTUAM-96-11, PUPT-96-1601","hep-th",,"  The T-duality transformations between open and closed superstrings in
different D-manifolds are generalized to curved backgrounds with commuting
isometries. We address some global aspects like the occurrence of orientifold
boundaries in general sigma models, higher genus world sheets, and the case of
non-compact isometries. The various world volume effective actions are shown to
transform properly under T-duality. We also include a brief discussion of the
canonical transformations of boundary states in the operator formalism.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 23:51:56 GMT""}]","2009-10-30"
"hep-th/9603090","Andrei Linde","Sergio Ferrara and Renata Kallosh","Universality of Sypersymmetric Attractors","few misprints removed, version to appear in Phys. Rev. 20 pages, 1
  figure","Phys. Rev. D 54, 1525 (1996)","10.1103/PhysRevD.54.1525","CERN-TH/96-66, SU-ITP-96-10","hep-th",,"  The macroscopic entropy-area formula for supersymmetric black holes in
N=2,4,8 theories is found to be universal: in d=4 it is always given by the
square of the largest of the central charges extremized in the moduli space.
The proof of universality is based on the fact that the doubling of unbroken
supersymmetry near the black hole horizon requires that all central charges
other than Z=M vanish at the attractor point for N=4,8. The ADM mass at the
extremum can be computed in terms of duality symmetric quartic invariants which
are moduli independent. The extension of these results for d=5, N=1,2,4 is also
reported. A duality symmetric expression for the energy of the ground state
with spontaneous breaking of supersymmetry is provided by the power 1/2 (2/3)
of the black hole area of the horizon in d=4 (d=5). It is suggested that the
universal duality symmetric formula for the energy of the ground state in
supersymmetric gravity is given by the modulus of the maximal central charge at
the attractor point in any supersymmetric theory in any dimension.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 06:42:48 GMT""},{""version"":""v2"",""created"":""Mon, 10 Jun 1996 00:03:24 GMT""}]","2016-08-24"
"hep-th/9603091",,"Taksu Cheon, T. Shigehara","Flux String in Quantum Billiards with Two Particles","10 pages, REVTeX file, 3 postscript figures, uuencoded","Phys.Lett.A233:11-16,1997","10.1016/S0375-9601(97)00439-8",,"hep-th chao-dyn nlin.CD nucl-th quant-ph",,"  We examine the quantum motion of two particles interacting through a contact
force which are confined in a rectangular domain in two and three dimensions.
When there is a difference in the mass scale of two particles, adiabatic
separation of the fast and slow variables can be performed. Appearance of the
Berry phase and magnetic flux is pointed out. The system is reduced to a
one-particle Aharonov-Bohm billiard in two-dimensional case. In three
dimension, the problem effectively becomes the motion of a particle in the
presence of closed flux string in a box billiard.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 08:04:18 GMT""}]","2008-11-26"
"hep-th/9603092","Massimo Blasone","M.Blasone, E.Graziano, O.K.Pashaev and G.Vitiello","Dissipation and Topologically Massive Gauge Theories in Pseudoeuclidean
  Plane","22 pages, LaTeX","Annals Phys. 252 (1996) 115-132","10.1006/aphy.1996.0126",,"hep-th",,"  In the pseudo-euclidean metrics Chern-Simons gauge theory in the infrared
region is found to be associated with dissipative dynamics. In the infrared
limit the Lagrangian of 2+1 dimensional pseudo-euclidean topologically massive
electrodynamics has indeed the same form of the Lagrangian of the damped
harmonic oscillator. On the hyperbolic plane a set of two damped harmonic
oscillators, each other time-reversed, is shown to be equivalent to a single
undamped harmonic oscillator. The equations for the damped oscillators are
proven to be the same as the ones for the Lorentz force acting on two particles
carrying opposite charge in a constant magnetic field and in the electric
harmonic potential. This provides an immediate link with Chern-Simons-like
dynamics of Bloch electrons in solids propagating along the lattice plane with
hyperbolic energy surface. The symplectic structure of the reduced theory is
finally discussed in the Dirac constrained canonical formalism.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 08:18:47 GMT""}]","2009-10-30"
"hep-th/9603093",,"K. Lechner and M. Tonin","The cancellation of worldsheet anomalies in the D=10 Green--Schwarz
  heterotic string sigma--model","12 pages, Plain TeX, no figures","Nucl.Phys. B475 (1996) 535-544","10.1016/0550-3213(96)00311-2","DFPD/95/TH/63, November 1995","hep-th",,"  We determine the two--dimensional Weyl, Lorentz and $\kappa$--anomalies in
the $D=10$ Green--Schwarz heterotic string sigma--model, in an
$SO(1,9)$-Lorentz covariant background gauge, and prove their cancellation.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 11:31:31 GMT""}]","2009-10-30"
"hep-th/9603094",,"K. Lechner and M. Tonin","Worldvolume and target space anomalies in the D=10 super--fivebrane
  sigma--model","20 pages, Plain TeX, no figures","Nucl.Phys. B475 (1996) 545-561","10.1016/0550-3213(96)00312-4","DFPD/96/TH/07, February 1996","hep-th",,"  The fields of the conjectured ``heterotic"" super--fivebrane sigma--model in
ten dimensions are made out of a well known gravitational sector, the $X$ and
the $\vartheta$, and of a still unknown heterotic sector which should be
coupled to the Yang--Mills fields. We compute the one--loop $d=6$ worldvolume
and $D=10$ target space Lorentz--anomalies which arise from the gravitational
sector of the heterotic super--fivebrane sigma--model, using a method which we
developed previously for the Green--Schwarz heterotic superstring. These
anomalies turn out to carry an overall coefficient which is $1/2$ of that
required by the string/fivebrane duality conjecture. As a consequence the
worldvolume anomaly vanishes if the heterotic fields consist of 16 (rather than
32) complex Weyl fermions on the worldvolume. This implies that the
string/fivebrane duality conjecture can not be based on a ``heterotic""
super--fivebrane sigma--model with only fermions in the heterotic sector.
Possible implications of this result are discussed.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 11:32:32 GMT""}]","2009-10-30"
"hep-th/9603095","Fedele Lizzi","F. Lizzi, G. Mangano, G. Miele and G. Sparano","Constraints on Unified Gauge Theories from Noncommutative Geometry","18 pages, Plain LaTeX, no figures","Mod.Phys.Lett. A11 (1996) 2561-2572","10.1142/S0217732396002575","DSF-T-9/96","hep-th",,"  The Connes and Lott reformulation of the strong and electroweak model
represents a promising application of noncommutative geometry. In this scheme
the Higgs field naturally appears in the theory as a particular `gauge boson',
connected to the discrete internal space, and its quartic potential, fixed by
the model, is not vanishing only when more than one fermion generation is
present. Moreover, the exact hypercharge assignments and relations among the
masses of particles have been obtained. This paper analyzes the possibility of
extensions of this model to larger unified gauge groups. Noncommutative
geometry imposes very stringent constraints on the possible theories, and
remarkably, the analysis seems to suggest that no larger gauge groups are
compatible with the noncommutative structure, unless one enlarges the fermionic
degrees of freedom, namely the number of particles.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 14:07:46 GMT""}]","2015-06-26"
"hep-th/9603096","Tamiaki Yoneya","Tamiaki Yoneya (University of Tokyo, Komaba)","String Theory and Matrix Models","10 pages, uses latex with sprocl.sty, to appear in the Proceedings of
  the Workshop (Talk presented at the Workshop ""Frontiers in Quantum Field
  Theories"" in honor of the 60th birthday of Prof. Keiji Kikkawa, Osaka, Japan,
  December 1995.)",,,"UT-Komaba/96-5","hep-th",,"  It is generally accepted that the double-scaled 1D matrix model is equivalent
to the $c=1$ string theory with tachyon condensation. There remain however
puzzles that are to be clarified in order to utilize this connection for our
quest towards possible non-perturbative formulation of string theory. We
discuss some of the issues that are related to the space-time interpretation of
matrix models, in particular, the questions of leg poles, causality, and black
hole background. Finally, a speculation about a possible connection of a
deformed matrix model with the idea of Dirichret brane is presented.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 15:00:01 GMT""}]","2007-05-23"
"nucl-th/9603012",,"L. Zamick and D.C. Zheng","Non-trivial aspects of the onset of nuclear collectivity: Static moments","5 pages, LaTex, no figure","Phys.Rev.C54:956-959,1996","10.1103/PhysRevC.54.956",,"nucl-th",,"  We consider several topics concerning static magnetic dipole and electric
quadrupole moments ($\mu$ and $Q$) as signatures of the onset of nuclear
collectivity. Having previously noted that in $^{50}\mbox{Cr}$ there is an
abrupt change of sign in $Q$ of yrast states with $J^{\pi}=10^+, 12^+$, and
$14^+$ relative to lower $J$ states, we discuss whether these states are oblate
or prolate. We next show that configuration mixing leads to much larger changes
in $Q$ than in $\mu$. We then look for other bands of interest in
$^{50}\mbox{Cr}$. Finally we discuss the Jolos-von Brentano relationship which
relates $Q$ of $2^+_1$ states to $B({\rm E2})$'s for transitions from and to
the $2^+_1$ states.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 17:44:48 GMT""}]","2008-11-26"
"nucl-th/9603013","Pavlos Protopapas","Pavlos Protopapas, Abraham Klein, Niels R. Walet","Application of a semi-microscopic core-particle coupling method to the
  backbending in odd deformed nuclei","16 pages including 8 figure(postscript), submitted to Phys.Rev.C","Phys.Rev.C54:638-645,1996","10.1103/PhysRevC.54.638",,"nucl-th",,"  In two previous papers, the Kerman-Klein-Donau-Frauendorf (KKDF) model was
used to study rotational bands of odd deformed nuclei. Here we describe
backbending for odd nuclei using the same model. The backbending in the
neighboring even nuclei is described by a phenomenological two band model, and
this core is then coupled to a large single-particle space, as in our previous
work. The results obtained for energies and M1 transition rates are compared
with experimental data for 165Lu and for energies alone to the experimental
data for 179W. For the case of 165Lu comparison is also made with previous
theoretical work.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 18:56:27 GMT""}]","2008-11-26"
"nucl-th/9603014","Attila Csoto","Attila Csoto and Steven Karataglidis","Low-energy M1 strength in the Li-7(p,gamma_0)Be-8 reaction",,"Nucl.Phys. A607 (1996) 62-71; Erratum-ibid. A609 (1996) 601","10.1016/S0375-9474(96)88941-X",,"nucl-th",,"  The Li-7(p,gamma_0)Be-8 reaction is studied in a microscopic cluster model.
All relevant subsystem properties are well reproduced. The calculated
astrophysical S factor is in good agreement with the experimental data,
although some M1 strength is missing in the 1+;1 resonance region. There is no
contribution from the 1+;0 state. We estimate an M1 strength of 3.5% at 80 keV.
By assuming the experimental resonance parameters and channel spin ratio for
the first 1+ state that M1 strength is 6.3%, in good agreement with an R matrix
analysis. The large (20%) M1 strength determined from a transition matrix
element analysis may be caused by assuming a vanishing 0p3/2 spectroscopic
factor, which is not supported by shell model calculations.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 20:28:16 GMT""}]","2009-10-30"
