"alg-geom/9603007","Harald Skarke","Harald Skarke","Weight systems for toric Calabi-Yau varieties and reflexivity of Newton
  polyhedra","Latex, 14 pages","Mod.Phys.Lett. A11 (1996) 1637-1652","10.1142/S0217732396001636","TU Wien report TUW-96/04","alg-geom hep-th math.AG",,"  According to a recently proposed scheme for the classification of reflexive
polyhedra, weight systems of a certain type play a prominent role. These weight
systems are classified for the cases $n=3$ and $n=4$, corresponding to toric
varieties with K3 and Calabi--Yau hypersurfaces, respectively. For $n=3$ we
find the well known 95 weight systems corresponding to weighted $\IP^3$'s that
allow transverse polynomials, whereas for $n=4$ there are 184026 weight
systems, including the 7555 weight systems for weighted $\IP^4$'s. It is proven
(without computer) that the Newton polyhedra corresponding to all of these
weight systems are reflexive.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 11:45:23 GMT""}]","2009-10-28"
"hep-th/9603032",,"Rashmi Ray, Joan Soto","Multiple Edges of a Quantum Hall System in a Strong Electric Field","21 pages, Plain TeX, No Figures",,"10.1103/PhysRevB.54.10709","UB-ECM-PF 96/1","hep-th cond-mat",,"  In this article we show that if the electrons in a quantum Hall sample are
subjected to a constant electric field in the plane of the material, comparable
in magnitude to the background magnetic field on the system of electrons, a
multiplicity of edge states localised in different regions of space is produced
in the sample. The actions governing the dynamics of these edge states are
obtained starting from the well-known Schr\""odinger field theory for a system
of non-relativistic electrons, where on top of the constant background electric
and magnetic fields, the electrons are further subject to slowly varying weak
electromagnetic fields. In the regions between the edges, dubbed as the ""bulk"",
the fermions can be integrated out entirely and the dynamics expressed in terms
of a local effective action involving the slowly varying electromagnetic
potentials. It is further shown how the ""bulk"" action is gauge non-invariant in
a particular way and how the edge states conspire to restore the U(1)
electromagnetic gauge invariance of the system.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 17:56:04 GMT""}]","2009-10-30"
"hep-th/9603033",,"B. S. Acharya (Queen Mary and Westfield College)","N=1 Heterotic/M-theory Duality and Joyce Manifolds","25 pages, Latex","Nucl.Phys. B475 (1996) 579-596","10.1016/0550-3213(96)00326-4","QMW-Th-96-4","hep-th",,"  We present an ansatz which enables us to construct heterotic/M-theory dual
pairs in four dimensions. It is checked that this ansatz reproduces previous
results and that the massless spectra of the proposed dual pairs agree. The new
dual pairs consist of M-theory compactifications on Joyce manifolds of $G_2$
holonomy and Calabi-Yau compactifications of heterotic strings. These results
are further evidence that M-theory is consistent on orbifolds. Finally, we
interpret these results in terms of M-theory geometries which are K3 fibrations
and heterotic geometries which are conjectured to be $T^3$ fibrations. Even
though the new dual pairs are constructed as non-freely acting orbifolds of
existing dual pairs, the adiabatic argument is apparently not violated.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 17:09:57 GMT""}]","2009-10-30"
"hep-th/9603034","John Terning","Markus A. Luty, Martin Schmaltz, John Terning","A Sequence of Duals for Sp(2N) Supersymmetric Gauge Theories with
  Adjoint Matter","version (with additional references) to appear in Phys. Rev. D, 20
  pages, LaTeX, one embedded eps figure","Phys.Rev. D54 (1996) 7815-7824","10.1103/PhysRevD.54.7815","UMD-PP-96-71, BUHEP-96-6","hep-th",,"  We consider supersymmetric Sp(2N) gauge theories with F matter fields in the
defining representation, one matter field in the adjoint representation, and no
superpotential. We construct a sequence of dual descriptions of this theory
using the dualities of Seiberg combined with the ``deconfinement'' method
introduced by Berkooz. Our duals hint at a new non-perturbative phenomenon that
seems to be taking place at asymptotically low energies in these theories: for
small F some of the degrees of freedom form massless, non-interacting bound
states while the theory remains in an interacting non-Abelian Coulomb phase.
This phenomenon is the result of strong coupling gauge dynamics in the original
description, but has a simple classical origin in the dual descriptions. The
methods used for constructing these duals can be generalized to any model
involving arbitrary 2-index tensor representations of Sp(2N), SO(N), or SU(N)
groups.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 20:10:08 GMT""},{""version"":""v2"",""created"":""Wed, 2 Oct 1996 00:00:50 GMT""}]","2009-10-30"
"hep-th/9603035","Mauro Leopoldo Jose Varela Marcano","I. Martin and A. Restuccia","Magnetic monopoles over topologically non trivial Riemann Surfaces","17 pages, latex, 3 figures sent only upon request","Lett.Math.Phys. 39 (1997) 379-391",,"SB/F/96-235","hep-th",,"  An explicit canonical construction of monopole connections on non trivial
U(1) bundles over Riemann surfaces of any genus is given. The class of monopole
solutions depend on the conformal class of the given Riemann surface and a set
of integer weights. The reduction of Seiberg-Witten 4-monopole equations to
Riemann surfaces is performed. It is shown then that the monopole connections
constructed are solutions to these equations.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 01:11:28 GMT""}]","2009-09-25"
"hep-th/9603036",,"Hung Cheng and S.P. Li","Physical masses and the vacuum expectation value of the Higgs field","Latex, 7 pages",,,,"hep-th",,"  By using the Ward-Takahashi identities in the Landau gauge, we derive exact
relations between particle masses and the vacuum expectation value of the Higgs
field in the Abelian gauge field theory with a Higgs meson.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 00:29:57 GMT""}]","2007-05-23"
"hep-th/9603037",,"M.J. Duff, H. Lu and C.N. Pope","Heterotic phase transitions and singularities of the gauge dyonic string","Latex, 10 pages. Minor corrections, and extended discussion of
  singularities and phase transitions","Phys.Lett.B378:101-106,1996","10.1016/0370-2693(96)00420-0",,"hep-th",,"  Heterotic strings on $R^6 \times K3$ generically appear to undergo some
interesting new phase transition at that value of the string coupling for which
the one of the six-dimensional gauge field kinetic energies changes sign. An
exception is the $E_8 \times E_8$ string with equal instanton numbers in the
two $E_8$'s, which admits a heterotic/heterotic self-duality. In this paper, we
generalize the dyonic string solution of the six-dimensional heterotic string
to include non-trivial gauge field configurations corresponding to self-dual
Yang-Mills instantons in the four transverse dimensions. We find that vacua
which undergo a phase transition always admit a string solution exhibiting a
naked singularity, whereas for vacua admitting a self-duality the solution is
always regular. When there is a phase transition, there exists a choice of
instanton numbers for which the dyonic string is tensionless and
quasi-anti-self-dual at that critical value of the coupling. For an infinite
subset of the other choices of instanton number, the string will also be
tensionless, but all at larger values of the coupling.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 04:06:33 GMT""},{""version"":""v2"",""created"":""Mon, 11 Mar 1996 04:23:08 GMT""}]","2009-10-07"
"hep-th/9603038","Hiroshi Shirokura","Hiroshi Shirokura (Osaka University)","Exact Solution of 1-matrix Model","10 pages, uses LaTeX, based on a contribution paper for the
  proceedings of the workshop ""Frontiers in Quantum Field Theory"", held at
  Osaka, December, 1995",,,"OU-HET 240","hep-th",,"  I review my new method for solving general 1-matrix models by expanding in
$N^{-1}$ without taking a physical continuum limit. Using my method, each
coefficient of the free energy in the genus expansion is exactly computable.
One can include physical information in a function which is uniquely specified
by the action of the model. My method gives completely the same result with the
usual one if the physical fine tuning is done and the leading singular terms
are extracted. I also calculate in the genus three case and confirm the
validity of my method.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 06:46:35 GMT""}]","2007-05-23"
"hep-th/9603039",,"V. Karimipour","Relation of The New Calogero Models and xxz Spin Chains","15 pages , Latex , No Figures",,,"IPM preprint 96","hep-th nlin.SI solv-int",,"  We extend our previous analysis of the classical integrable models of
Calogero in several respects. Firstly we provide the algebraic resaons of their
quantum integrability.Secondly we show why these systems allow their initial
value problem to be solved in closed form . Furthermore we show that due to
their similarity with the above models the classical and quantum Heisenberg
magnets with long rang interactions in a magnetic field are also intergrable.
Explicit expressions are given for the integrals of motion in involution in the
classical case and for the commuting operators in the quantum case.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 10:29:22 GMT""}]","2008-02-03"
"nucl-th/9603004","Root","J. Cleymans, D. Elliott, H. Satz and R. L. Thews","Thermal hadron production in Si-Au collisions","10 pages LaTeX2e, 3 figures in Postscript format","Z.Phys. C74 (1997) 319-324",,"UCT-TP 95/225","nucl-th",,"  The most abundantly produced hadron species in $Si\!-\!Au$ collisions at the
BNL-AGS (nucleons, pions, kaons, antikaons and hyperons) are shown to be in
accord with emission from a thermal resonance gas source of temperature
$T\simeq 110$ MeV and baryochemical potential $\mu_B \simeq 540$ MeV,
corresponding to about 1/3 standard nuclear density. Our analysis takes the
isopin asymmetry of the initial state fully into account.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 16:07:02 GMT""}]","2007-05-23"
"nucl-th/9603006","Claus Slotta","Marek Ga\'zdzicki and Ulrich Heinz","Comment on ``Strangeness enhancement in $p+A$ and S$+A$ interactions at
  energies near 200 $A$ GeV""","4 pages REVTEX 3.0, no figures; Comment submitted to Physical Review
  C","Phys.Rev.C54:1496-1497,1996","10.1103/PhysRevC.54.1496",,"nucl-th",,"  We argue that the recent analysis of strangeness production in nuclear
collisions at 200 $A$ GeV/$c$ performed by Topor Pop {\it et al.} \cite{To:95}
is flawed. The conclusions are based on an erroneous interpretation of the data
and the numerical model results. The term ``strangeness enhancement"" is used in
a misleading way.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 12:36:57 GMT""}]","2008-11-26"
"patt-sol/9603001","Cyrill Muratov","C. B. Muratov (Department of Physics, Boston University, Boston, MA
  02215), V. V. Osipov (Department of Theoretical Physics, Russian Science
  Center ``Orion'', 2/46 Plekhanov St., Moscow 111123, Russia)","General theory of instabilities for patterns with sharp interfaces in
  reaction-diffusion systems","21 pages (RevTeX), 8 figures (Postscript). To appear in Phys. Rev. E
  (April 1st, 1996)","Phys. Rev. E 53, 3101 (1996).","10.1103/PhysRevE.53.3101",,"patt-sol nlin.PS",,"  An asymptotic method for finding instabilities of arbitrary $d$-dimensional
large-amplitude patterns in a wide class of reaction-diffusion systems is
presented. The complete stability analysis of 2- and 3-dimensional localized
patterns is carried out. It is shown that in the considered class of systems
the criteria for different types of instabilities are universal. The specific
nonlinearities enter the criteria only via three numerical constants of order
one. The performed analysis explains the self-organization scenarios observed
in the recent experiments and numerical simulations of some concrete
reaction-diffusion systems.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 23:38:43 GMT""}]","2009-10-30"
"q-alg/9603004","Jose Francisco Gomes","E. Batista, J.F. Gomes and I.J. Lautenschleguer","Non Abelian Sugawara Construction and the q-deformed N=2 Superconformal
  Algebra","AMSLATEX, 21pages","J.Phys.A29:6281-6294,1996","10.1088/0305-4470/29/19/013","IFT Preprint P-007/96","q-alg hep-th math.QA",,"  The construction of a q-deformed N=2 superconformal algebra is proposed in
terms of level 1 currents of ${\cal{U}}_{q} ({\widehat{su}}(2))$ quantum affine
Lie algebra and a single real Fermi field. In particular, it suggests the
expression for the q-deformed Energy-Momentum tensor in the Sugawara form. Its
constituents generate two isomorphic quadratic algebraic structures. The
generalization to ${\cal{U}}_{q} ({\widehat{su}}(N+1))$ is also proposed.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 21:30:16 GMT""}]","2008-11-26"
"quant-ph/9603006","Markus Simonius","Markus Simonius (ETH-Zuerich, Switzerland)","Quantum Interferometry: Some Basic Features Revisited","2 pages A4, LaTeX","Helv. Phys. Acta Suppl. 69 (1996) 15",,,"quant-ph",,"  The reduction paradigm of quantum interferometry is reanalyzed. In contrast
to widespread opinion it is shown to be amenable to straightforward
mathematical treatment within ``every-users'' simple-minded single particle
quantum mechanics (without reduction postulate or the like), exploiting only
its probabilistic content.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 17:49:18 GMT""}]","2007-05-23"
"quant-ph/9603007","Shmuel Gurvitz","S.A. Gurvitz","Quantum transport in mesoscopic systems and the measurement problem","14 pages, three figures",,,"WIS -- 96/12/Feb -- PH","quant-ph cond-mat",,"  We study noninvasive measurement of stationary currents in mesoscopic
systems. It is shown that the measurement process is fully described by the
Schr\""odinger equation without any additional reduction postulate and without
the introduction of an observer. Nevertheless the possibility of observing a
particular state out of coherent superposition leads to collapse of the wave
function, even though the measured system is not distorted by interaction with
the detector. Experimental consequences are discussed.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 17:11:40 GMT""}]","2007-05-23"
"quant-ph/9603008","Max Tegmark","Max Tegmark","Does the universe in fact contain almost no information?","17 pages, LATeX, no figures. Online with refs at
  http://astro.berkeley.edu/~max/nihilo.html (faster from the US), from
  http://www.mpa-garching.mpg.de/~max/nihilo.html (faster from Europe) or from
  max@mppmu.mpg.de","Found. Phys. Lett, 9, 25-42 (1996)","10.1007/BF02186207",,"quant-ph",,"  At first sight, an accurate description of the state of the universe appears
to require a mind-bogglingly large and perhaps even infinite amount of
information, even if we restrict our attention to a small subsystem such as a
rabbit. In this paper, it is suggested that most of this information is merely
apparent, as seen from our subjective viewpoints, and that the algorithmic
information content of the universe as a whole is close to zero. It is argued
that if the Schr\""odinger equation is universally valid, then decoherence
together with the standard chaotic behavior of certain non-linear systems will
make the universe appear extremely complex to any self-aware subsets that
happen to inhabit it now, even if it was in a quite simple state shortly after
the big bang. For instance, gravitational instability would amplify the
microscopic primordial density fluctuations that are required by the Heisenberg
uncertainty principle into quite macroscopic inhomogeneities, forcing the
current wavefunction of the universe to contain such Byzantine superpositions
as our planet being in many macroscopically different places at once. Since
decoherence bars us from experiencing more than one macroscopic reality, we
would see seemingly complex constellations of stars etc, even if the initial
wavefunction of the universe was perfectly homogeneous and isotropic.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 15:48:03 GMT""}]","2009-10-30"
