"alg-geom/9603013","Fernando Torres","Rainer Fuhrmann, and Fernando Torres","On curves over finite fields with many rational points","LaTex2e, 10 pages",,,,"alg-geom math.AG",,"  We study arithmetical and geometrical properties of {\it maximal curves},
that is, curves defined over the finite field $\mathbb F_{q^2}$ whose number of
$\mathbb F_{q^2}$-rational points reachs the Hasse-Weil upper bound. Under a
hypothesis on non-gaps at rational points we prove that maximal curves are
$\mathbb F_{q^2}$-isomorphic to $y^q+y=x^m$ for some $m\in \mathbb Z^+$.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 19:11:58 GMT""}]","2008-02-03"
"cond-mat/9603114","Heiko Leschhorn","Heiko Leschhorn, Thomas Nattermann, Semjon Stepanow and Lei-Han Tang","Driven Interface Depinning in a Disordered Medium","32 pages, 14 figures, REVTeX, to be published in Annalen der Physik",,"10.1002/andp.19975090102",,"cond-mat",,"  The dynamics of a driven interface in a medium with random pinning forces is
analyzed. The interface undergoes a depinning transition where the order
parameter is the interface velocity $v$, which increases as $v \sim
(F-F_c)^\theta$ for driving forces $F$ close to its threshold value $F_c$. We
consider a Langevin-type equation which is expected to be valid close to the
depinning transition of an interface in a statistically isotropic medium. By a
functional renormalization group scheme the critical exponents characterizing
the depinning transition are obtained to the first order in $\epsilon=4-D>0$,
where $D$ is the interface dimension. The main results were published earlier
[T. Nattermann et al., J. Phys. II France {\bf 2} (1992) 1483]. Here, we
present details of the perturbative calculation and of the derivation of the
functional flow equation for the random-force correlator. The fixed point
function of the correlator has a cusp singularity which is related to a finite
value of the threshold $F_c$, similar to the mean field theory. We also present
extensive numerical simulations and compare them with our analytical results
for the critical exponents. For $\epsilon =1$ the numerical and analytical
results deviate from each other by only a few percent. The deviations in lower
dimensions $\epsilon = 2,3$ are larger and suggest that the roughness exponent
is somewhat larger than the value $\zeta = \epsilon / 3$ of an interface in
thermal equilibrium.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 13:32:22 GMT""}]","2009-10-28"
"cond-mat/9603115","Cherepanov Vladimir","V. B. Cherepanov, I. V. Kolokolov, and E. V. Podivilov","The Kosterlitz-Thouless transition in the XY Kagom\'{e} antiferromagnet",,,,,"cond-mat",,"  The problem of the Kosterlitz-Thouless (KT) transition in the highly
frustrated XY Kagom\'{e} antiferromagnet is solved. The problem is mapped onto
that of the KT transition in the XY ferromagnet on the hexagonal lattice. The
transition temperature is found. It is shown that the spin correlation function
exponentially decays with distance even in the low-temperature phase, in
contrast to the order parameter correlation function, which decays
algebraically with distance.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 14:18:05 GMT""}]","2007-05-23"
"cond-mat/9603116","Michael Aizenman","M. Aizenman and G.M. Graf","Localization Bounds for an Electron Gas","An extended version of the previous draft. LaTeX, 1 figure (eps)","J. Phys. A: Math. Gen. 31 (1998) 6783-6806.","10.1088/0305-4470/31/32/004",,"cond-mat math-ph math.FA math.MP",,"  Mathematical analysis of the Anderson localization has been facilitated by
the use of suitable fractional moments of the Green function. Related methods
permit now a readily accessible derivation of a number of physical
manifestations of localization, in regimes of strong disorder, extreme
energies, or weak disorder away from the unperturbed spectrum. The present work
establishes on this basis exponential decay for the modulus of the two--point
function, at all temperatures as well as in the ground state, for a Fermi gas
within the one-particle approximation. Different implications, in particular
for the Integral Quantum Hall Effect, are reviewed.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 15:47:52 GMT""},{""version"":""v2"",""created"":""Fri, 10 Oct 1997 20:18:47 GMT""},{""version"":""v3"",""created"":""Tue, 26 May 1998 13:24:23 GMT""}]","2009-10-28"
"gr-qc/9603022","Stefan Mashkevich","Vladimir S. Mashkevich (Institute of Physics, Kiev)","Indeterministic Quantum Gravity III. Gravidynamics versus
  Geometrodynamics: Revision of the Einstein Equation","11 pages, LATEX 2.09",,,"IP 4-95","gr-qc quant-ph",,"  This paper is a continuation of the papers [gr-qc/9409010, gr-qc/9505034]. A
revision of the Einstein equation shows that its dynamic incompleteness,
contrary to a popular opinion, cannot be circumvented by so-called coordinate
conditions. Gravidynamics, i.e., dynamics for gravitational potentials
$g_{\mu\nu}$ is advanced, which differs from geometrodynamics of general
relativity in that the former is based on a projected Einstein equation. Cosmic
gravidynamics, due to a global structure of spacetime, is complete. The most
important result is a possibility of the closed universe with a density below
the critical one.
  Keywords: general relativity, cosmic time, cosmic space, Einstein equation,
quantum, metric, indeterministic
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 18:20:05 GMT""}]","2007-05-23"
"gr-qc/9603023","Romualdo Tresguerres","A.L\'opez--Pinto, A.Tiemblo and R.Tresguerres","Hamiltonian Poincar\'e Gauge Theory of Gravitation","38 pages, plainTeX","Class.Quant.Grav. 14 (1997) 549-575","10.1088/0264-9381/14/2/027","IMAFF 96/41","gr-qc hep-th",,"  We develop a Hamiltonian formalism suitable to be applied to gauge theories
in the presence of Gravitation, and to Gravity itself when considered as a
gauge theory. It is based on a nonlinear realization of the Poincar\'e group,
taken as the local spacetime group of the gravitational gauge theory, with
$SO(3)$ as the classification subgroup. The Wigner--like rotation induced by
the nonlinear approach singularizes out the role of time and allows to deal
with ordinary $SO(3)$ vectors. We apply the general results to the
Einstein--Cartan action. We study the constraints and we obtain Einstein's
classical equations in the extremely simple form of time evolution equations of
the coframe. As a consequence of our approach, we identify the
gauge--theoretical origin of the Ashtekar variables.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 11:43:37 GMT""}]","2009-10-28"
"gr-qc/9603024","K. Kokkotas","Kostas D. Kokkotas","Pulsating relativistic stars","17 pages, l-school.sty, 6 postscript figures, 2.2Mb simulation upon
  request","in Relativistic Gravitation and Gravitational Radiation, Eds J-A.
  Marck and J-P Lasota, Cambridge Cantemporary Astrophysics (1997) page 89",,,"gr-qc",,"  In this paper we review the recent developments in the relativistic theory of
stellar pulsations with special emphasis on the spacetime or w-modes. We
discuss also the excitation of these modes and the information about the
neutron star that we will be able to mine from their detection. The paper will
appear in the Proceedings of the Les Houches School on Astrophysical Sources of
Gravitational Radiation, 1995, edited by J.-A. Marck and J.-P. Lasota to be
published by Springer-Verlag.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 13:52:44 GMT""}]","2007-05-23"
"hep-ph/9603309",,"Zhi-jian Tao","Radiative Seesaw Mechanism at Weak Scale","12 Pages, latex, no figures","Phys.Rev.D54:5693-5697,1996","10.1103/PhysRevD.54.5693",,"hep-ph",,"  We investigate an alternative seesaw mechanism for neutrino mass generation.
Neutrino mass is generated at loop level but the basic concept of usual seesaw
mechanism is kept. One simple model is constructed to show how this mechanism
is realized. The applications of this seesaw mechanism at weak scale to
cosmology and neutrino physics are discussed.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 17:48:27 GMT""}]","2011-02-24"
"hep-ph/9603310","Piotr Chankowski","P.H Chankowski (Warsaw) and S. Pokorski (Munich)","Chargino Mass and $R_b$ Anomaly","32 pages (including 9 figures)","Nucl.Phys. B475 (1996) 3-26","10.1016/0550-3213(96)00317-3","IFT-96/6","hep-ph",,"  We re-examine the possible magnitude of the supersymmetric contribution to
$R_b$ with imposed all available phenomenological constraints and demanding
good quality of the global fit to the precision electroweak data. For low
$\tan\beta$ we find a new region of the parameter space, with $M_2\approx
|\mu|$ and $\mu<0$ where $R_b$ remains large, $\sim0.2180$ even for the lighter
chargino as heavy as $90-100$ GeV. It is an interesting mixture of the
up-higgsino and gaugino. The r\^ole of various phenomenological constraints is
discussed in analitic form and importance of small but non-negligible
left-right mixing in the stop sector is emphasized in this context. The large
$\tan\beta$ option for enhancement of $R_b$ is also reviewed. The available
data do not rule out this scenario.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 18:42:14 GMT""}]","2009-10-28"
"hep-ph/9603311","Elizabeth H. Simmons","R.S. Chivukula, A.G. Cohen, and E.H. Simmons (Boston Univ.)","New Strong Interactons at the Tevatron ?","added $1/Lambda^4$ contributions to scattering cross-sections; 10
  pages, LaTeX, includes 1 figure. Full postscript version at
  http://smyrd.bu.edu/htfigs/htfigs.html","Phys.Lett.B380:92-98,1996","10.1016/0370-2693(96)00464-9","BUHEP-96-5","hep-ph hep-ex",,"  Recent results from CDF indicate that the inclusive cross section for jets
with $E_T > 200$ GeV is significantly higher than that predicted by QCD. We
describe here a simple flavor-universal variant of the ``coloron"" model of Hill
and Parke that can accommodate such a jet excess, and which is not in
contradiction with other experimental data. As such, the model serves as a
useful baseline with which to compare both the data and other models proposed
to describe the jet excess. An interesting theoretical feature of the model is
that if the global chiral symmetries of the quarks remain unbroken in the
confining phase of the coloron interaction, it realizes the possibility that
the ordinary quarks are composite particles.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 17:00:51 GMT""},{""version"":""v2"",""created"":""Sun, 24 Mar 1996 19:51:48 GMT""}]","2008-11-26"
"hep-ph/9603312","Yoshimasa Kurihara","Y. Kurihara(KEK), J. Fujimoto(KEK), T. Munehisa (Yamanashi Univ.) Y.
  Shimizu(KEK)","Test of QEDPS: A Monte Carlo for the hard photon distributions in e+ e-
  annihilation proecss","22 pages, 4 Postscript figures, LaTeX, uses epsf.tex","Prog.Theor.Phys. 96 (1996) 1223-1236","10.1143/PTP.96.1223","KEK CP-035, KEK Preprint 95-126","hep-ph",,"  The validity of a photon shower generator QEDPS has been examined in detail.
This is formulated based on the leading-logarithmic renormalization equation
for the electron structure function and it provides a photon shower along the
initial e+-. The main interest in the present work is to test the reliability
of the generator to describe a process accompanying hard photons which are
detected. For this purpose, by taking the HZ production as the basic reaction,
the total cross section and some distributions of the hard photons are compared
between two cases that these photons come from either those generated by QEDPS
or the hard process e+e- -> H Z gamma gamma. The comparison performed for the
single and the double hard photon has shown a satisfactory agreement which
demonstrated that the model is self-consistent.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 18:10:47 GMT""}]","2009-10-28"
"hep-ph/9603313","Andre Hoang","K.G. Chetyrkin (MPI f\""ur Physik, Munich, Germany), A.H. Hoang, J.H.
  Kuehn, M. Steinhauser (Uni. Karlsruhe, Germany), T. Teubner (Durham Uni., UK)","Double Bubble Corrections to Heavy Quark Production","9 pages, latex, 17 figures, the complete postscript file of this
  preprint, including figures, is available via anonymous ftp at
  ftp://www-ttp.physik.uni-karlsruhe.de/ttp96-04/ttp96-04.ps (129.13.102.139)
  or via www at http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/","Phys.Lett. B384 (1996) 233-240","10.1016/0370-2693(96)00789-7","TTP96-04, MPI/PhT/96-10, DPT/96/12","hep-ph",,"  Second order ${\cal O}(\alpha_s^2)$ corrections to the heavy quark production
cross-section due to massless quarks and coloured scalars are calculated for
all energies above threshold. Based on the method introduced in this letter
also the gauge non-invariant second order corrections due to the pure gluonic
selfenergy insertion and a certain class of ${\cal{O}}(\alpha_s^3)$ and
${\cal{O}}(\alpha_s^4)$ corrections are determined. For the special choice of
the gauge parameter, $\xi=4$, the leading threshold and high energy behaviour
of the pure second order gluonic corrections to the cross-section are governed
by the gluonic self energy insertion.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 16:09:23 GMT""}]","2009-10-28"
"hep-ph/9603314","Zoltan Ligeti","Martin Gremm, Anton Kapustin, Zoltan Ligeti and Mark B. Wise","Implications of the $B \to X \ell \bar\nu_\ell$ lepton spectrum for
  heavy quark physics","10 pages revtex + one figure. Corrections from secondary leptons
  included, that affect the numerical results. Thus the central values become
  $\bar\Lambda=0.39\pm0.11GeV$ and $\lambda_1=-0.19\pm0.10GeV^2$","Phys.Rev.Lett.77:20-23,1996","10.1103/PhysRevLett.77.20","CALT-68-2043","hep-ph",,"  The shape of the lepton spectrum in inclusive semileptonic $B\to
X\,\ell\,\bar\nu_\ell$ decay is sensitive to matrix elements of the heavy quark
effective theory, $\bar\Lambda$ and $\lambda_1$. From CLEO data we extract
$\bar\Lambda=0.39\pm0.11\,$GeV and $\lambda_1=-0.19\pm0.10\,{\rm GeV}^2$, where
the uncertainty is the $1\sigma$ statistical error only. Systematic
uncertainties are discussed. These values for $\bar\Lambda$ and $\lambda_1$ are
used to determine $|V_{cb}|$ and the $\overline{\rm MS}$ bottom and charm quark
masses. We discuss the theoretical uncertainties related to order
$(\Lambda_{\rm QCD}/m_b)^3$ effects and higher orders in the perturbative
expansion.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 18:55:58 GMT""},{""version"":""v2"",""created"":""Sat, 4 May 1996 08:00:56 GMT""}]","2014-11-17"
"hep-ph/9603315","Ed Stoeffhaas","D. Zeppenfeld","Developments in Perturbative QCD: Challenges from Collider Physics","Lectures given at the VIIIth J. A. Swieca Summer School, Rio de
  Janeiro, Brazil, February 6-18, 1995. Latex, 38 pages, uses worldsci.sty and
  epsf.sty, 17 postscript figures. Postscript version of paper with figures at
  http://phenom.physics.wisc.edu/pub/preprints/1996/madph-96-933.ps.Z or at
  ftp://phenom.physics.wisc.edu/pub/preprints/1996/madph-96-933.ps.Z",,,"MADPH-96-933","hep-ph",,"  The search for new phenomena at hadron colliders requires a good
understanding of QCD processes. The analysis of multi-jet signatures in the top
quark search at the Tevatron is one example, forward jet-tagging and rapidity
gap techniques in the analysis of weak boson scattering events at the LHC will
be another important application. These topics are discussed in the context of
multi-parton/multi-jet QCD processes. Also described are some of the
calculational tools, like amplitude techniques and automatic code generation
for tree level processes.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 20:30:31 GMT""}]","2007-05-23"
"hep-ph/9603316","Geoffrey B. West","Geoffrey B. West (Los Alamos National Laboratory)","Theorem on the Lightest Glueball State","9 pages, using harvmac","Phys.Rev.Lett. 77 (1996) 2622-2625","10.1103/PhysRevLett.77.2622","LA-UR-96-827","hep-ph hep-lat hep-th",,"  This paper is devoted to proving that, in QCD, the lightest glueball state
must be the scalar with $J^{PC} = 0^{++}$. The proof relies upon the positivity
of the path integral measure in Euclidean space and the fact that interpolating
fields for all spins can be bounded by powers of the scalar glueball operator.
The problem presented by the presence of vacuum condensates is circumvented by
considering the time evolution of the propagators and exploiting the positivity
of the Hamiltonian.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 23:48:21 GMT""}]","2009-10-28"
"hep-ph/9603317","Shinta Kasuya","Shinta Kasuya and Masahiro Kawasaki","Restriction to Parametric Resonant Decay after Inflation","10 pages, LaTeX 2e. Journal version","Phys.Lett. B388 (1996) 686-691","10.1016/S0370-2693(96)01216-6","ICRR-Report-360-96-11","hep-ph",,"  We study parametric resonant decay of inflaton field with emphasis on its
physical meaning. We show that the parametric resonance is indeed an induced
process, which means that the more numbers of produced particles, the more
inflaton field decays. We also consider the dissipative effects of produced
particles and find that the dissipation reduces the resonant decay rate of
inflaton field.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 09:07:10 GMT""},{""version"":""v2"",""created"":""Tue, 19 Mar 1996 03:03:39 GMT""},{""version"":""v3"",""created"":""Fri, 14 Mar 1997 06:28:42 GMT""}]","2009-10-28"
"hep-ph/9603319","Yoshimasa Kurihara","M.Dubinin (Moscow State Univ.) Y.Kurihara (KEK) Y.Shimizu (KEK)","Polarization asymmetry and the Higgs boson production mechanisms","17 pages, 6 Postscript figures, LaTeX, uses epsf.tex","Int.J.Mod.Phys.A13:4011-4022,1998","10.1142/S0217751X98001876","KEK CP-042","hep-ph",,"  We calculate the cross section of Higgs boson production in the reaction e+e-
-> neutrino anti-neutrino b b-bar for the case of left and right longitudinally
polarized electron beam. Complete set of signal and irreducible background
diagrams is considered.
  We propose a new critical test to identify the Higgs boson provided by the
ratio of cross sections with left and right beam polarization. This quantity is
sensitive to the ratio of Higgs-W and Higgs-Z couplings, since it exhibits the
interplay of bremsstrahlung and fusion mechanisms of Higgs boson production
inherent to the Standard Model scheme.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 11:19:49 GMT""}]","2014-11-17"
"hep-ph/9603320","Miroslav Stohr","Jiri Horejsi, Miroslav Stohr","Higgs decay into two photons, dispersion relations and trace anomaly",,"Phys.Lett. B379 (1996) 159-162","10.1016/0370-2693(96)00432-7","PRA-HEP 96/2","hep-ph",,"  We examine the contribution of W boson loops to the amplitude of the process
H --> \gamma \gamma within the dispersion relation approach, taking up an issue
raised in this context recently. We show that the non-vanishing limit of the
relevant formfactor for mW --> 0 is due to a finite subtraction induced by the
value of the corresponding trace anomaly. The argument can be truned around and
one thus arrives at a dispersive (""infrared"") derivation of the trace anomaly.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 12:42:14 GMT""}]","2009-10-28"
"hep-ph/9603321","Miroslav Stohr","Jiri Horejsi","Electroweak interactions and high-energy limit","Revised version","Czech.J.Phys. 47 (1997) 951-977","10.1023/A:1021177005216","PRA-HEP 95/9","hep-ph",,"  A pedagogical introduction to the equivalence theorem for longitudinal vector
bosons in electroweak theories is presented and the problem of high-energy
behaviour of scattering amplitudes in the Standard Model is briefly reviewed.
To make the treatment self-contained, the basics of the Standard Model are
summarized in an appendix.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 13:00:40 GMT""},{""version"":""v2"",""created"":""Mon, 1 Apr 1996 07:53:39 GMT""}]","2009-10-28"
"hep-ph/9603322","Yoshimasa Kurihara","T. Munehisa(Yamanashi Univ.), J. Fujimoto, Y. Kurihara, Y.
  Shimizu(KEK)","Improved QEDPS for Radiative Corrections in e+e- Annihilation","22 pages, 3 Postscript figures, LaTeX, uses epsf.sty","Prog.Theor.Phys. 95 (1996) 375-388","10.1143/PTP.95.375","KEK CP-034, KEK Preprint 95-114","hep-ph",,"  The generator QEDPS, a parton shower model in QED, developed by the present
authors has been improved. By a careful study on the shower algorithm it was
found that some finite contributions have been missed in the original version.
They are small, but cannot be neglected when the contribution of the soft
photons is dominant. A method is presented to correct these finite pieces and
then a new generator, improved QEDPS, is proposed, which is able to make more
precise prediction for the processes observed in e+e- annihilation as far as
the initial radiation is concerned.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 13:02:50 GMT""}]","2016-09-01"
"hep-ph/9603324","Ewan Davidson Stewart","E. D. Stewart, M. Kawasaki and T. Yanagida","Affleck-Dine Baryogenesis after Thermal Inflation","17 pages, LaTeX, 4 postscript figures, version to be published in
  Phys. Rev. D, new figures, references added, minor changes in the text","Phys.Rev. D54 (1996) 6032-6039","10.1103/PhysRevD.54.6032","RESCEU-8/96, ICRR-Report-358-96-9, UT-744","hep-ph astro-ph hep-th",,"  We argue that an extension of the Minimal Supersymmetric Standard Model that
gives rise to viable thermal inflation, and so does not suffer from a
Polonyi/moduli problem, should contain right-handed neutrinos which acquire
their masses due to the vacuum expectation value of the flaton that drives
thermal inflation. This strongly disfavours SO(10) Grand Unified Theories. The
$\mu$-term of the MSSM should also arise due to the vev of the flaton. With the
extra assumption that $ m_L^2 - m_{H_u}^2 < 0 $, but of course $ m_L^2 -
m_{H_u}^2 + |\mu|^2 > 0 $, we show that a complicated Affleck-Dine type of
baryogenesis employing an $LH_u$ $D$-flat direction can naturally generate the
baryon asymmetry of the Universe.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 15:43:05 GMT""},{""version"":""v2"",""created"":""Tue, 20 Aug 1996 11:13:13 GMT""}]","2009-10-28"
"hep-th/9603097","A. Sagnotti","Gianfranco Pradisi, Augusto Sagnotti and Yassen S. Stanev (Universita'
  di Roma ""Tor Vergata"" and INFN, Sezione di Roma ""Tor Vergata"")","Completeness Conditions for Boundary Operators in 2D Conformal Field
  Theory","13 pages, Latex, 3 figures","Phys.Lett. B381 (1996) 97-104","10.1016/0370-2693(96)00578-3","ROM2F-96/12","hep-th cond-mat",,"  In non-diagonal conformal models, the boundary fields are not directly
related to the bulk spectrum. We illustrate some of their features by
completing previous work of Lewellen on sewing constraints for conformal
theories in the presence of boundaries. As a result, we include additional open
sectors in the descendants of $D_{odd}$ $SU(2)$ WZW models. A new phenomenon
emerges, the appearance of multiplicities and fixed-point ambiguities in the
boundary algebra not inherited from the closed sector. We conclude by deriving
a set of polynomial equations, similar to those satisfied by the fusion-rule
coefficients $N_{ij}^k$, for a new tensor $A_{a b}^i$ that determines the open
spectrum.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 19:26:12 GMT""}]","2009-10-30"
"hep-th/9603098","Cirillo Emilio","Emilio N. M. Cirillo, E. Olivieri","Renormalization-group at criticality and complete analyticity of
  constrained models: a numerical study","39 pages, teX file, 4 Postscript figures, 1 TeX figure","Journ. Stat. Phys. 86, (1997)","10.1007/BF02183617","Bari-th/96-228, CARR4/96","hep-th cond-mat",,"  We study the majority rule transformation applied to the Gibbs measure for
the 2--D Ising model at the critical point. The aim is to show that the
renormalized hamiltonian is well defined in the sense that the renormalized
measure is Gibbsian. We analyze the validity of Dobrushin-Shlosman Uniqueness
(DSU) finite-size condition for the ""constrained models"" corresponding to
different configurations of the ""image"" system. It is known that DSU implies,
in our 2--D case, complete analyticity from which, as it has been recently
shown by Haller and Kennedy, Gibbsianness follows. We introduce a Monte Carlo
algorithm to compute an upper bound to Vasserstein distance (appearing in DSU)
between finite volume Gibbs measures with different boundary conditions. We get
strong numerical evidence that indeed DSU condition is verified for a large
enough volume $V$ for all constrained models.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 17:01:48 GMT""},{""version"":""v2"",""created"":""Fri, 15 Mar 1996 08:43:32 GMT""}]","2009-10-30"
"hep-th/9603099",,"A.A. Tseytlin","Generalised chiral null models and rotating string backgrounds","12 pages, latex","Phys.Lett.B381:73-80,1996","10.1016/0370-2693(96)00581-3","Imperial/TP/95-96/32","hep-th",,"  We consider an extension of a special class of conformal sigma models
(`chiral null models') which describe extreme supersymmetric string solutions.
The new models contain both `left' and `right' vector couplings and should
correspond to non-BPS backgrounds. In particular, we discuss a conformal
six-dimensional model which is a combination of fundamental string and 5-brane
models with two extra couplings representing rotations in orthogonal planes. If
the two rotational parameters are independent the resulting background is found
to be either singular or not asymptotically flat. The non asymptotically flat
solution has a regular short distance limit described by a `twisted' product of
SL(2,R) and SU(2) WZW theories with two twist parameters mixing the isometric
Euler angles of SU(2) with a null direction of SL(2,R).
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 02:13:48 GMT""}]","2009-09-17"
"hep-th/9603100","Donam Youm","Mirjam Cvetic and Donam Youm","General Rotating Five Dimensional Black Holes of Toroidally Compactified
  Heterotic String","14 pages, Uses RevTex, Revised version with minor corrections to
  appear in Nucl. Phys. B","Nucl.Phys.B476:118-132,1996","10.1016/0550-3213(96)00355-0","IASSNS-HEP-96/24,PUPT-1602","hep-th gr-qc",,"  We present the most general rotating black hole solution of five-dimensional
N=4 superstring vacua that conforms to the ``no hair theorem''. It is chosen to
be parameterized in terms of massless fields of the toroidally compactified
heterotic string. The solutions are obtained by performing a subset of O(8,24)
transformations, i.e., symmetry transformations of the effective
three-dimensional action for stationary solutions, on the five-dimensional
(neutral) rotating solution parameterized by the mass m and two rotational
parameters $l_1$ and $l_2$. The explicit form of the generating solution is
determined by three $SO(1,1)\subset O(8,24)$ boosts, which specify two electric
charges $Q_1^{(1)}, Q_{2}^{(2)}$ of the Kaluza-Klein and two-form U(1) gauge
fields associated with the same compactified direction, and the charge Q
(electric charge of the vector field, whose field strength is dual to the field
strength of the five-dimensional two-form field). The general solution,
parameterized by 27 charges, two rotational parameters and the ADM mass
compatible with the Bogomol'nyi bound, is obtained by imposing $[SO(5)\times
SO(21)]/[SO(4)\times SO(20)]\subset O(5,21)$ transformations, which do not
affect the five-dimensional space-time. We also analyze the deviations from the
BPS-saturated limit.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 06:44:18 GMT""},{""version"":""v2"",""created"":""Mon, 18 Mar 1996 02:56:37 GMT""},{""version"":""v3"",""created"":""Tue, 19 Mar 1996 00:24:34 GMT""},{""version"":""v4"",""created"":""Thu, 4 Jul 1996 13:51:54 GMT""}]","2009-09-17"
"hep-th/9603102","Fidel Arturo Schaposnik","J.C.Le Guillou and F.A.Schaposnik","On the Electric Charge of Monopoles at Finite Temperature","13 pages, latex file, no figures","Phys.Lett. B383 (1996) 339-344","10.1016/0370-2693(96)00763-0","ENSLAPP -A-584/96","hep-th",,"  We calculate the electric charge at finite temperature $T$ for non-Abelian
monopoles in spontaneously broken gauge theories with a CP violating
$\theta$-term. A careful treatment of dyon's gauge degrees of freedom shows
that Witten formula for the dyon charge at $T=0$, $ Q = e(n - \theta/2\pi) $,
remains valid at $T \ne 0$.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 08:48:00 GMT""}]","2009-10-30"
"hep-th/9603103","Artemio Gonzalez Lopez","Federico Finkel, Artemio Gonzalez-Lopez, Miguel A. Rodriguez (Dept. of
  Theoretical Physics II, Universidad Complutense, Madrid)","Quasi-Exactly Solvable Potentials on the Line and Orthogonal Polynomials","22 pages, plain TeX. Please typeset only the file orth.tex","J.Math.Phys. 37 (1996) 3954-3972","10.1063/1.531591","UCM/FTII-03-96","hep-th",,"  In this paper we show that a quasi-exactly solvable (normalizable or
periodic) one-dimensional Hamiltonian satisfying very mild conditions defines a
family of weakly orthogonal polynomials which obey a three-term recursion
relation. In particular, we prove that (normalizable) exactly-solvable
one-dimensional systems are characterized by the fact that their associated
polynomials satisfy a two-term recursion relation. We study the properties of
the family of weakly orthogonal polynomials defined by an arbitrary
one-dimensional quasi-exactly solvable Hamiltonian, showing in particular that
its associated Stieltjes measure is supported on a finite set. From this we
deduce that the corresponding moment problem is determined, and that the $k$-th
moment grows like the $k$-th power of a constant as $k$ tends to infinity. We
also show that the moments satisfy a constant coefficient linear difference
equation, and that this property actually characterizes weakly orthogonal
polynomial systems.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 11:17:23 GMT""}]","2009-10-30"
"hep-th/9603105","Sacha Antonov","Alexander Antonov and Boris Feigin","Quantum Group Representations and Baxter Equation","14 pages, Latex file, corrected references and acknowledgments","Phys.Lett. B392 (1997) 115-122","10.1016/S0370-2693(96)01526-2","LPTHE-96-11","hep-th math.QA q-alg",,"  In this paper we propose algebraic universal procedure for deriving ""fusion
rules"" and Baxter equation for any integrable model with $U_q(\widehat{sl}_2)$
symmetry of Quantum Inverse Scattering Method. Universal Baxter Q- operator is
got from the certain infinite dimensional representation called q-oscillator
one of the Universal R- matrix for $U_q(\widehat{sl}_2)$ affine algebra (first
proposed by V. Bazhanov, S.Lukyanov and A.Zamolodchikov for quantum KdV case).
We also examine the algebraic properties of Q-operator.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 15:53:04 GMT""},{""version"":""v2"",""created"":""Thu, 4 Apr 1996 18:30:53 GMT""}]","2009-10-30"
"hep-th/9603107","Ivashchuk Vladimir Dmitrievich","V. D. Ivashchuk and V. N. Melnikov","Multidimensional Extremal Dilatonic Black Holes in String-like Model
  with Cosmological Term","8 pages, LaTex. Submitted to Physics Letters B","Phys.Lett. B384 (1996) 58-62","10.1016/0370-2693(96)00710-1","RGS-CSVR-002/96","hep-th",,"  A string-like model with the ""cosmological constant"" $\Lambda$ is considered.
The Maki-Shiraishi multi-black-hole solution \cite{MS1} is generalized to
space-times with a Ricci-flat internal space. For $\Lambda = 0$ the obtained
solution in the one-black-hole case is shown to coincide with the extreme limit
of the charged dilatonic black hole solution \cite{BI,BM}. The Hawking
temperature $T_H$ for the solution \cite{BI,BM} is presented and its extreme
limit is considered. For the string value of dilatonic coupling the temperature
$T_H$ does not depend upon the internal space dimension.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 13:04:10 GMT""}]","2009-10-30"
