"alg-geom/9603009","Richard Earl","Richard Earl","A Note on the Cohomology of Moduli of Rank Two Stable Bundles","6 pages, no figures. (A few typos have been corrected.) LaTeX 2.09",,,,"alg-geom math.AG",,"  The rational cohomology of the moduli space of rank two, odd degree stable
bundles over a curve (of genus g > 1) has been studied intensely in recent
years and in particular the invariant subring generated by Newstead's
generators alpha, beta, gamma. Several authors have independently found a
minimal complete set of relations for this subring. Their methods are very
different from the methods originally employed by Kirwan to prove Mumford's
conjecture -- that relations derived from the vanishing Chern classes of a
particular rank 2g-1 bundle are a complete set of relations for the entire
cohomology ring. This note contains two theorems which readily follow from
Kirwan's original calculations. We rederive the above result showing that the
first three invariant Mumford relations generate the relation ideal of the
invariant subring. Secondly we prove a stronger version of Mumford's conjecture
and show that the relations coming from the first vanishing Chern class
generate the relation ideal of the entire cohomology ring as a
Q[alpha,beta]-module. (Only a few typos have been amended in this revised
version).
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 16:49:47 GMT""},{""version"":""v2"",""created"":""Wed, 13 Mar 1996 13:34:40 GMT""},{""version"":""v3"",""created"":""Tue, 13 Aug 1996 09:07:11 GMT""}]","2008-02-03"
"hep-ph/9603281","Mike Seymour","Michael H. Seymour (CERN)","The Subjet Multiplicity in Quark and Gluon Jets","11 pages, 6 figures included using the latex2e graphics package. A
  postscript version of this paper can be obtained from
  http://surya11.cern.ch/users/seymour/pubs/subjet.ps.Z","Phys.Lett. B378 (1996) 279-286","10.1016/0370-2693(96)00399-1","CERN-TH/95-225","hep-ph",,"  We calculate the mean number of subjets in quark and gluon jets in the final
state of e^+e^- annihilation. Since `quark' and `gluon' jets are
scheme-dependent objects, we stress the importance of using the same definition
as in experimental analyses. We define the jets using the k_perp algorithm at a
coarse scale y_1, and the subjets using a finer scale y_0, in the same
algorithm. Gluon jets are anti-tagged by the presence of heavy quarks in both
other jets. Our result is exact to leading order in alpha_s, and resums leading
and next-to-leading logarithmic terms in the ratio y_1/y_0 to all orders in
alpha_s.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 17:33:15 GMT""}]","2009-10-28"
"hep-ph/9603282",,"K.C. Chou (CAS) and Yue-Liang Wu (OSU)","A Predictive SUSY SO(10) X Delta (48) X U(1) Model for CP Violation,
  Neutrino Oscillation, Fermion Masses and Mixings with Very Low tan(beta)","46 pages, ReVTeX",,,"CAS-HEP-T-96-03/004, OHSTPY-HEP-T-96-008","hep-ph",,"  Assuming universality of Yukawa coupling of the superpotential and maximal
spontaneous CP violation, fermion masses and mixing angles including that of
neutrinos are studied in an SUSY SO(10)$\times \Delta (48)\times$ U(1) model
with small $\tan \beta$. The low energy parameters of the standard model are
determined solely by the Clebsch factors of the symmetry group and the
structure of the physical vacuum. Thirteen parameters involving masses and
mixing angles in the quark and charged lepton sector are successfully predicted
by only four parameters with three of them determined by the scales of
U(1)$\times \Delta(48)$, SO(10), SU(5) and SU(2)$_{L}$ symmetry breakings. An
interesting prediction on ten parameters concerning the neutrino sector is also
made by using the same four parameters. An additional parameter is added to
obtain the mass and mixing of a sterile neutrino. It is found that the LSND
$\bar{\nu}_{\mu} \rightarrow \bar{\nu}_{e}$ events, atmospheric neutrino
deficit and the mass limit put by hot dark matter can be naturally explained.
Solar neutrino puzzle can be solved only by introducing a sterile neutrino.
$(\nu_{e} - \nu_{\tau})$ oscillation is found to have the same sensitive region
as the $(\nu_{e} - \nu_{\mu})$ oscillation. The hadronic parameters $B_{K}$ and
$f_{B}\sqrt{B}$ are extracted from the observed $K^{0}$-$\bar{K}^{0}$ and
$B^{0}$-$\bar{B}^{0}$ mixings respectively. The direct CP violation
($\varepsilon'/\varepsilon$) in kaon decays and the three angles $\alpha$,
$\beta$ and $\gamma$ of the unitarity triangle in the CKM matrix are also
presented. More precise measurements of $\alpha_{s}(M_{Z})$, $|V_{cb}|$,
$|V_{ub}/V_{cb}|$, $m_{t}$, as well as various CP violation and neutrino
oscillation experiments will provide crucial tests for the present model.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 16:26:02 GMT""}]","2007-05-23"
"hep-ph/9603283","Ingolf Kuss","I. Kuss and D. Schildknecht","Discovering Non-Abelian Weak Couplings and an Anomalous Magnetic Dipole
  Moment of the $W^{\pm}$ at LEP~2","6 pages LaTeX + 2 Figures; Revised Version contains correction of an
  erroneous formulation made in connection with the principle of minimal
  substitution; the title has been changed","Phys.Lett. B383 (1996) 470-474","10.1016/0370-2693(96)00770-8","BI-TP 96/11","hep-ph",,"  In view of the forthcoming results on $W^{\pm}$ pair production at LEP~2, we
emphasize that {\em direct empirical evidence} on non-trivial properties of the
weak vector bosons can be obtained with relatively limited integrated
luminosity. An integrated luminosity of $10\;\mathrm{pb}^{-1}$ at
$\sqrt{s}=175$ GeV will be sufficient to provide direct experimental evidence
for non-vanishing self-couplings of non-Abelian type among the weak vector
bosons. An integrated luminosity of $100\;\mathrm{pb}^{-1}$ at $\sqrt{s}=175$
GeV will provide direct evidence for the existence of an anomalous magnetic
dipole moment of the charged vector bosons $W^{\pm}$.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 16:39:19 GMT""},{""version"":""v2"",""created"":""Tue, 14 May 1996 12:50:09 GMT""}]","2009-10-28"
"hep-ph/9603284","Jerzy Szwed","Wojciech Slominski and Jerzy Szwed (BNL and Jagellonian University)","QCD Structure of Leptons","10 pages, 5 figures, revised version","Phys.Lett. B387 (1996) 861-866","10.1016/0370-2693(96)01099-4","BNL-62842","hep-ph",,"  The QCD structure of the electron is defined and calculated. The leading
order splitting functions are extracted, showing an important contribution from
$\gamma$-$Z$ interference. Leading logarithmic QCD evolution equations are
constructed and solved in the asymptotic region where log$^2$ behaviour of the
parton densities is observed. Corrections to the naive evolution procedure are
demonstrated. Possible applications with clear manifestation of 'resolved'
photon and weak bosons are discussed.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 16:33:02 GMT""},{""version"":""v2"",""created"":""Tue, 14 May 1996 21:01:32 GMT""}]","2009-10-28"
"hep-ph/9603285",,"M. Genovese, N.N.Nikolaev, B.G. Zakharov","Excitation of open charm and factorization breaking in rapidity gap
  events at HERA","13 pages. Accepted for publication on march 10th 1996 by Phys. Lett.
  B","Phys.Lett. B378 (1996) 347-353","10.1016/0370-2693(96)00353-X","DFTT 77/95 (November 1995)","hep-ph",,"  We develop the pQCD description of diffraction excitation of heavy flavours
in DIS and we derive the analytic formulas for the mass spectrum in leading
log$m_f^{2}$. The result illustrates nicely non-factorization properties of the
QCD pomeron. We predict a very steep rise of the charm content of diffraction
dissociation of photons at small $x_{\Pom}$. We evaluate the contribution of
open charm to scaling violations in the structure function of the pomeron.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 16:34:54 GMT""}]","2009-10-28"
"hep-ph/9603287","Le Yaouanc","A. Le Yaouanc, L. Oliver, O. P\`ene and J.-C. Raynal","Exact Duality and Bjorken Sum Rule in Heavy Quark Models \`a la
  Bakamjian-Thomas","14 pages","Phys.Lett. B386 (1996) 304-314","10.1016/0370-2693(96)00971-9","LPTHE-Orsay 96/05","hep-ph",,"  The heavy mass limit of quark models based on the Bakamjian-Thomas
cons\-truction reveals remarkable features. In addition to previously
demonstrated properties of covariance and Isgur-Wise scaling, exact duality,
leading to the Bjorken-Isgur-Wise sum rule, is proven, for the first time to
our knowledge in relativistic quark models. Inelastic as well as elastic
contributions to the sum rule are then discussed in terms of ground state
averages of a few number of operators corresponding to the nonrelativistic
dipole operator and various relativistic corrections.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 17:42:33 GMT""}]","2009-10-28"
"hep-ph/9603288","Axel Saalfeld","Axel Saalfeld and Andreas Schafer","MC simulation of vector boson production in polarized proton collisions","20 pages, RevTeX, 7 figures included",,,"TUM/T39-96-12","hep-ph",,"  We present a Monte Carlo (MC) study of $W^{\pm}$ and $Z_{0}$ production of
longitudinally polarized proton collisions at a center of mass (CMS) energy of
$500\,{\rm GeV}$. All results were obtained with the SPHINX MC code. We
consider two different types of polarized parton distributions with large and
small gluon polarization. Various spin asymmetries are found to be sensitive to
the shape of the polarized gluon distribution between
$0.1\stackrel{<}{\sim}x\stackrel{<}{\sim}0.5$. The asymmetries are
approximately constant with respect to the transverse momentum carried by the
$W^{\pm}$ and $Z_{0}$, {\em except} if the first moment of the gluon
polarization is large. In this case some $W^{\pm}$ asymmetries show a
significant variation with transverse momentum.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 16:02:13 GMT""}]","2007-05-23"
"hep-ph/9603289","Peter Kroll","J. Bolz and P. Kroll","Modelling the nucleon wave function from soft and hard processes","32 pages RevTex + PS-file with 5 figures in uu-encoded, compressed
  file","Z.Phys. A356 (1996) 327","10.1007/s002180050186","WU B 95-35","hep-ph",,"  Current light-cone wave functions for the nucleon are unsatisfactory since
they are in conflict with the data of the nucleon's Dirac form factor at large
momentum transfer. Therefore, we attempt a determination of a new wave function
respecting theoretical ideas on its parameterization and satisfying the
following constraints: It should provide a soft Feynman contribution to the
proton's form factor in agreement with data; it should be consistent with
current parameterizations of the valence quark distribution functions and
lastly it should provide an acceptable value for the $\jp \to N \bar N$ decay
width. The latter process is calculated within the modified perturbative
approach to hard exclusive reactions. A simultaneous fit to the three sets of
data leads to a wave function whose $x$-dependent part, the distribution
amplitude, shows the same type of asymmetry as those distribution amplitudes
constrained by QCD sum rules. The asymmetry is however much more moderate as in
those amplitudes. Our distribution amplitude resembles the asymptotic one in
shape but the position of the maximum is somewhat shifted.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 18:24:23 GMT""}]","2015-06-25"
"hep-ph/9603290","James V. Steele","James V. Steele, Hidenaga Yamagishi, and Ismail Zahed","Dilepton and Photon Emission Rates from a Hadronic Gas","7 pages, LaTeX using revTeX, 6 figures imbedded in text. Figures
  slightly changed, text left unchanged","Phys.Lett. B384 (1996) 255-262","10.1016/0370-2693(96)00802-7","SUNY-NTG-96-8","hep-ph hep-th nucl-th",,"  We analyze the dilepton and photon emission rates from a hadronic gas using
chiral reduction formulas and a virial expansion. The emission rates are
reduced to pertinent vacuum correlation functions, most of which can be
assessed from experiment. Our results indicate that in the low mass region, the
dilepton and photon rates are enhanced compared to most of the calculations
using chiral Lagrangians. The enhancement is further increased through a finite
pion chemical potential. An estimate of the emission rates is also made using
Haag's expansion for the electromagnetic current. The relevance of these
results to dilepton and photon emission rates in heavy-ion collisions is
discussed.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 20:53:39 GMT""},{""version"":""v2"",""created"":""Wed, 20 Mar 1996 00:52:48 GMT""}]","2009-10-28"
"hep-ph/9603291",,"Dongsheng Du, Xiulin Li and Yadong Yang","A study on the rare radiative decay $B_c \to D_s^* \gamma$","13 pages, in LaTeX, to be appear in Phys. Lett. B","Phys.Lett. B380 (1996) 193-198","10.1016/0370-2693(96)00483-2","BIHEP-TH-38","hep-ph",,"  We study the decay $B_c \rightarrow D_s^* \gamma$. There are two mechanisms
contributing to the process. One proceeds through the short distance
$b{\rightarrow}s\gamma$ transition and the other occurs through weak
annihilation accompanied by a photon emission.The electromagnetic penguin
contribution is estimated by perturbative QCD and found to be
$4.68\times10^{-18}$ GeV. In particular, we find the contribution of the weak
annihilation is $6.25\times10^{-18}GeV$ which is in the same order as that of
the electromagnetic penguin. The total decay rate $\Gamma(B_c \rightarrow D_s^*
\gamma)$ is predicted to be $1.45\times10^{-17}GeV$ and the branching ratio
$Br(B_c \rightarrow D_s^* \gamma)$ is predicted to be $2.98\times 10^{-5}$ for
$\tau_{B_c}=1.35ps$. The the decays $B_c \rightarrow D_s^* \gamma$ can be well
studied at LHC in the near future.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 14:54:10 GMT""}]","2009-10-28"
"hep-ph/9603292","Morimitsu Tanimoto","Morimitsu Tanimoto","Structures of Neutrino Flavor Mixing Matrix and Neutrino Oscillations at
  CHORUS and NOMAD","19 pages, latex, 2 figures available upon request from the author To
  appear in Physical Review D","Phys.Rev.D53:6632-6637,1996","10.1103/PhysRevD.53.6632","EHU-96-02","hep-ph",,"  We have studied structures of the neutrino flavor mixing matrix focusing on
the neutrino oscillations at CHORUS and NOMAD as well as the one at LSND(or
KARMEN). We have assumed two typical neutrino mass hierarchies $m_3\simeq
m_2\gg m_1$ and $m_3\gg m_2\gg m_1({\rm or}\simeq m_1)$. Taking into account
the see-saw mechanism of neutrino masses, the reasonable neutrino flavor mixing
patterns have been discussed. The observation of the neutrino oscillation at
CHORUS and NOMAD presents us the important constraint for the structure of the
neutrino flavor mixing matrix. The atomospheric neutrino anomaly has been
discussed in relation to the CHORUS and NOMAD experiments.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 02:29:51 GMT""}]","2014-11-17"
"hep-ph/9603293","Yamawaki","Koichi Yamawaki (Nagoya University)","Dynamical Symmetry Breaking with Large Anomalous Dimension","44 pages, LateX, To appear in Proc. 14th Symposium on Theoretical
  Physics ``Dynamical Symmetry Breaking and Effective Field Theory'', Cheju,
  Korea, July 21-26, 1995",,,"DPNU-96-10","hep-ph",,"  We give an introduction to the dynamical symmetry breaking with large
anomalous dimension. This is the basis of tightly bound composite Higgs models
such as walking technicolor, strong ETC technicolor and top quark condensate,
which are all characterized by the large anomalous dimension, \gamma_m \simeq 1
(walking technicolor), 1<\gamma_m<2 (strong ETC technicolor) and \gamma_m
\simeq 2 (top quark condensate) due to nontrivial short distance dynamics of
the gauged Nambu-Jona-Lasinio (NJL) models (gauge theories plus four-fermion
interactions). Particular emphasis will be placed on the top quark condensate
in which the critical phenomenon in the gauged NJL model yields a simple reason
why the top quark can have an extremely large mass compared with other quarks
and leptons. Topics will also cover a recent observation that the four-fermion
theory {\it in the presence of gauge interactions} (gauged NJL model) can
become renormalizable and nontrivial in sharp contrast to the pure NJL model
without gauge interactions. The requirement of this
renormalizability/nontriviality of the gauged NJL model can be applied to the
top quark condensate when the standard gauge groups are unified into a GUT with
``walking'' coupling, which then naturally leads to the top quark and the Higgs
masses both around 180 GeV.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 08:53:18 GMT""}]","2007-05-23"
"hep-ph/9603294","Meunier Jean-Louis","J.-L. Meunier and R. Peschanski","Energy Conservation Constraints on Multiplicity Correlations in QCD Jets","11 pages, latex, 5 figures, .tar.gz version avaliable on
  ftp://www.inln.unice.fr/","Z.Phys.C72:647-652,1996","10.1007/s002880050287","INLN-95-1","hep-ph",,"  We compute analytically the effects of energy conservation on the
self-similar structure of parton correlations in QCD jets. The calculations are
performed both in the constant and running coupling cases. It is shown that the
corrections are phenomenologically sizeable. On a theoretical ground, energy
conservation constraints preserve the scaling properties of correlations in QCD
jets beyond the leading log approximation.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 09:25:23 GMT""}]","2008-11-26"
"hep-ph/9603295",,"Agnieszka Zalewska (Institute of Nuclear Physics, Krak\'ow) and Kacper
  Zalewski (Jagellonian University and Institute of Nuclear Physics, Krak\'ow)","Simple-minded estimate of the masses of baryons containing single heavy
  quarks","7 pages, no figures, Latex file","Acta Phys.Polon. 27 (1996) 1935-1940",,,"hep-ph",,"  The masses of the yet undiscovered baryons containing single $c$ or $b$
quarks are estimated from the known masses using the following rules: equal
distances in mass between the isomultiplets forming sextets, equal mass
differences between the corresponding spin one-half baryons containing $c$ and
$b$ quarks, hyperfine splittings inversely proportional to the masses of the
heavy quarks.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 14:02:00 GMT""}]","2007-05-23"
"hep-ph/9603296","Gabor Cynolter","G.Cynolter, A. Bodor and G. Pocsik","Unitarity Bounds in the Vector Condensate Model of Electroweak
  Interactions","4 pages LATEX, no figures",,,"ITP-Budapest Report No. 515","hep-ph",,"  We replace the standard model scalar doublet by a doublet of vector fields
and generate masses by dynamical symmetry breaking. Oblique radiative
corrections are small if the new vector bosons ($ B^+$, $ B^0 $) are heavy. In
this note it is shown that the model has a low momentum scale and above $
\Lambda \simeq 2 $ TeV it does not respect the perturbative unitarity. From
tree-graph unitarity the allowed region of $B ^+ (B^0) $ mass is estimated as
$m_{B^+} \geq 369 \hbox{GeV} \quad (m_{B^0} \geq 410 $ GeV) at $\Lambda= 1 $
TeV.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 11:15:39 GMT""}]","2007-05-23"
"hep-ph/9603297",,"R.Casalbuoni, A.Deandrea, S.De Curtis, D.Dominici, R.Gatto and
  M.Grazzini","A Strong Electroweak Sector at Future Linear Colliders","8 pages, 4 Postscript figures, LaTeX (uses epsf), Proceedings of the
  workshop: Physics with e+e- linear colliders, Annecy, Gran Sasso, Hamburg
  1995",,,"DFF-245/3/1996","hep-ph",,"  An effective lagrangian describing a strong interacting electroweak sector is
considered. It contains new vector and axial-vector resonances all degenerate
in mass and mixed with $W$ and $Z$. The model, for large mass of these
degenerate gauge bosons, becomes identical to the standard model in the
classical limit of infinite Higgs mass. The limits on the parameter space of
this model from future $e^+e^-$ colliders are presented.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 10:48:48 GMT""}]","2007-05-23"
"hep-ph/9603298","Becirevic","Damir Becirevic","Improved Constraints on $B \to \pi\ell \bar\nu_{\ell}$ Form Factors","13 pages, latex, 5 figures",,,"LPTHE - Orsay 96/14","hep-ph",,"  The behavior of the $\bpi$ form factors in the entire physical range is
examined in a model independent way. Unitarity bounds are further constrained
by the lattice results (APE). From this analysis, we obtain $f^{+}(0) = 0.38
\pm .03$ if the $B^{*}$-pole dominance behavior is assumed. However, to get the
information on the behavior of the form factor $f^{+}$, QSR results are
included. We see the deviations from the pole dominance due to the
contributions of the higher singularities which are to be treated
  with more precise lattice data.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 15:50:24 GMT""}]","2016-09-01"
"hep-ph/9603299","Tamas Biro","T. S. Biro (MTA KFKI Budapest)","Initial State of Disoriented Chiral Condensate Formation","8 pages LaTeX, 1 Postscript figure, use rotate.sty psfig.sty
  submitted to PLB",,,,"hep-ph",,"  It is unlikely to reach at high temperatures the state which is used as the
starting point of DCC formation in the quenched approximation. The chiral
symmetry is restored in the linear sigma model by Goldstone modes (pions),
because such isospin-p-wave states carry more entropy. In this paper we
estimate this effect of isospin-angular motion in the mean field approximation
assuming equipartition of the energy.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 15:50:09 GMT""}]","2007-05-23"
"hep-th/9603070","Nobuyoshi Ohta","Masamichi Kojima and Nobuyoshi Ohta","Exact Solutions of Generalized Calogero-Sutherland Models -- BC_N and
  C_N cases","11 pages, latex, no figures. A subtitle is added. Comments on
  additional solutions for B_N and D_N cases, and some additional references
  are included. Version to appear in Nuclear Physics B","Nucl.Phys. B473 (1996) 455-468","10.1016/0550-3213(96)00262-3","OU-HET 239","hep-th cond-mat quant-ph",,"  Using a collective field method, we obtain explicit solutions of the
generalized Calogero-Sutherland models that are characterized by the roots of
the classical groups $B_N$ and $C_N$. Starting from the explicit wave functions
for $A_{N-1}$ type expressed in terms of the singular vectors of the $W_N$
algebra, we give a systematic method to construct wave functions and derive
energy eigenvalues for other types of theories.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 02:56:14 GMT""},{""version"":""v2"",""created"":""Fri, 10 May 1996 01:50:34 GMT""}]","2009-10-30"
"hep-th/9603072","Lee Min-ho","Min-Ho Lee, Hyeong-Chan Kim, and Jae Kwan Kim (KAIST in KOREA)","On the Entropy of a Quantum Field in the 2 + 1 Dimensional Spinning
  Black Holes","Title changed, Major corrections","Phys.Lett. B388 (1996) 487-493","10.1016/S0370-2693(96)01178-1",,"hep-th",,"  We calculate the entropy of a scalar field in a rotating black hole in 2 + 1
dimension. In the Hartle-Hawking state the entropy is proportional to the
horizon area, but diverges linearly in $\sqrt{h}$, where $h$ is the radial
cut-off. In WKB approximation the superradiant modes do not contribute to the
entropy.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 19:19:48 GMT""},{""version"":""v2"",""created"":""Sat, 16 Mar 1996 16:10:52 GMT""},{""version"":""v3"",""created"":""Fri, 26 Apr 1996 12:34:47 GMT""}]","2009-10-30"
"hep-th/9603077","Ralph Lano","R.P. Lano (The University of Iowa)","Gravitational Meissner Effect","Submitted to Phys. Rev. D",,,"U.ofIowa96-4","hep-th astro-ph gr-qc",,"  The gravitational analogue of the electromagnetic Meissner effect is
investigated. Starting from the post-Newtonian approximation to general
relativity we arrive at gravitational London equations, predicting a
gravitational Meissner effect. Applied to neutron stars we arrive at a London
penetration depth of 12km, which is about the size of a neutron star.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 22:51:19 GMT""}]","2007-05-23"
"hep-th/9603078","David A. Lowe","J.C. Breckenridge, D.A. Lowe, R.C. Myers, A.W. Peet, A. Strominger and
  C. Vafa","Macroscopic and Microscopic Entropy of Near-Extremal Spinning Black
  Holes","7 pages, harvmac","Phys.Lett.B381:423-426,1996","10.1016/0370-2693(96)00553-9","HUTP-96/A008, McGill/96-10, PUPT-1599, UCSBTH-96-04","hep-th",,"  A seven parameter family of five-dimensional black hole solutions depending
on mass, two angular momenta, three charges and the asymptotic value of a
scalar field is constructed. The entropy is computed as a function of these
parameters both from the Bekenstein-Hawking formula and from the degeneracies
of the corresponding D-brane states in string theory. The expressions agree at
and to leading order away from extremality.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 04:04:04 GMT""}]","2009-09-17"
"hep-th/9603079","Kubota Takahiro","T. Kubota","The Rubakov-Callan Effect and Black Holes","7 pages, latex, no figures, An Essay dedicated to Professor Keiji
  Kikkawa on the occasion of his 60th birthday, To be published in Proceedings
  of the Workshop ``Frontiers in Quantum Field Theory"" (World Scientific Pub.
  Co.)",,,"OU-HET 241 (revised)","hep-th",,"  The Rubakov-Callan effect is reexamined by considering the gravitational
effects caused by the heavy monopole mass. Assuming that the Higgs vacuum
expectation value is as large as (or larger than) the Planck mass, we show that
the calculational scheme of Rubakov and Callan may be extended in the presence
of curved background field. It is argued that the density of the fermion
condensate around a magnetically charged black hole is modified in an intricate
way.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 08:01:40 GMT""},{""version"":""v2"",""created"":""Thu, 21 Mar 1996 10:29:04 GMT""}]","2008-02-03"
"hep-th/9603080",,"N. Sh. Izmailian","A Spin - 3/2 Ising Model on a Square Lattice","LaTeX, 7 pages, 1 figure upon request; JETP Letters, in press",,"10.1134/1.567018",,"hep-th",,"  The spin - 3/2 Ising model on a square lattice is investigated. It is shown
that this model is reducible to an eight - vertex model on a surface in the
parameter space spanned by coupling constants J, K, L and M. It is shown that
this model is equivalent to an exactly solvable free fermion model along two
lines in the parameter space.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 14:51:04 GMT""}]","2009-10-30"
"hep-th/9603081","Ulf Danielsson","Ulf H. Danielsson, Gabriele Ferretti (Uppsala University) and Bo
  Sundborg (Stockholm University)","D-particle Dynamics and Bound States","16 pages, Latex. References and footnote added","Int.J.Mod.Phys.A11:5463-5478,1996","10.1142/S0217751X96002492","USITP-96-03, UUITP-2/96","hep-th",,"  We study the low energy effective theory describing the dynamics of
D-particles. This corresponds to the quantum mechanical system obtained by
dimensional reduction of $9+1$ dimensional supersymmetric Yang-Mills theory to
$0+1$ dimensions and can be interpreted as the non relativistic limit of the
Born-Infeld action. We study the system of two like-charged D-particles and
find evidence for the existence of non-BPS states whose mass grows like
$\lambda^{1/3}$ over the BPS mass. We give a string interpretation of this
phenomenon in terms of a linear potential generated by strings stretching from
the two D-particles. Some comments on the possible relations to black hole
entropy and eleven dimensional supergravity are also given.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 14:54:47 GMT""},{""version"":""v2"",""created"":""Thu, 25 Apr 1996 11:52:17 GMT""}]","2011-07-19"
"hep-th/9603082","Per Stjernberg","Ulf H. Danielsson and P\""ar Stjernberg (Uppsala University)","Notes on Equivalences and Higgs Branches in N=2 Supersymmetric
  Yang-Mills Theory","11 pages, Latex","Phys.Lett. B380 (1996) 68-74","10.1016/0370-2693(96)00431-5","UUITP-4/96","hep-th",,"  In this paper we investigate how various equivalences between effective field
theories of $N=2$ SUSY Yang-Mills theory with matter can be understood through
Higgs breaking, i.e. by giving expectation values to squarks. We give explicit
expressions for the flat directions for a wide class of examples.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 15:56:03 GMT""}]","2016-08-15"
"math/9603207",,"Denny H. Leung","Property $\text{(u)}$ in $JH\tilde{\otimes}_\epsilon JH$",,,,"Banach Archive 3/13/96","math.FA",,"  It is shown that the tensor product $JH\epten JH$ fails Pe\l cz\'{n}yski's
property (u). The proof uses a result of Kwapie\'{n} and Pe\l cz\'{n}yski on
the main triangle projection in matrix spaces.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 00:00:00 GMT""}]","2008-02-03"
"mtrl-th/9603005","Martin-D. Lacasse","Martin-Daniel Lacasse, Gary S. Grest, and Dov Levine","Deformation of Small Compressed Droplets","RevTeX with psfig-included figures and a galley macro",,"10.1103/PhysRevE.54.5436",,"mtrl-th cond-mat.mtrl-sci",,"  We investigate the elastic properties of small droplets under compression.
The compression of a bubble by two parallel plates is solved exactly and it is
shown that a lowest-order expansion of the solution reduces to a form similar
to that obtained by Morse and Witten. Other systems are studied numerically and
results for configurations involving between 2 and 20 compressing planes are
presented. It is found that the response to compression depends on the number
of planes. The shear modulus is also calculated for common lattices and the
stability crossover between f.c.c.\ and b.c.c.\ is discussed.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 20:13:48 GMT""}]","2009-10-30"
"mtrl-th/9603006","Martin-D. Lacasse","Martin-Daniel Lacasse, Gary S. Grest, Dov Levine, T.G. Mason, and D.A.
  Weitz","A Model for the Elasticity of Compressed Emulsions","RevTeX with psfig-included figures and a galley macro",,"10.1103/PhysRevLett.76.3448",,"mtrl-th cond-mat.mtrl-sci",,"  We present a new model to describe the unusual elastic properties of
compressed emulsions. The response of a single droplet under compression is
investigated numerically for different Wigner-Seitz cells. The response is
softer than harmonic, and depends on the coordination number of the droplet.
Using these results, we propose a new effective inter-droplet potential which
is used to determine the elastic response of a monodisperse collection of
disordered droplets as a function of volume fraction. Our results are in
excellent agreement with recent experiments. This suggests that anharmonicity,
together with disorder, are responsible for the quasi-linear increase of $G$
and $\Pi$ observed at $\varphi_c$.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 20:35:19 GMT""}]","2009-10-30"
"q-alg/9603010","Laurent Freidel","Daniel Altschuler (ETH Zurich), Laurent Freidel (ENSLAPP Lyon)","Vassiliev knot invariants and Chern-Simons perturbation theory to all
  orders","Revised version, includes a detailed proof of formula (5.26) for
  $\log Z$, and several minor changes. 31 pages, 19 figures, epsf.sty, LateX","Commun.Math.Phys. 187 (1997) 261-287","10.1007/s002200050136","ETH-TH/95-35 and ENSLAPP-L-582/96","q-alg math.QA",,"  At any order, the perturbative expansion of the expectation values of Wilson
lines in Chern-Simons theory gives certain integral expressions. We show that
they all lead to knot invariants. Moreover these are finite type invariants
whose order coincides with the order in the perturbative expansion. Together
they combine to give a universal Vassiliev invariant.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 22:35:35 GMT""},{""version"":""v2"",""created"":""Wed, 6 Nov 1996 13:44:45 GMT""}]","2009-10-30"
