"alg-geom/9603003","Teleman","Christian Okonek and Andrei Teleman","Seiberg-Witten invariants for manifolds with $b_+=1$, and the universal
  wall crossing formula","LaTeX, 27 pages. To appear in Int. J. Math",,,,"alg-geom dg-ga hep-th math.AG math.DG",,"  In this paper we describe the Seiberg-Witten invariants, which have been
introduced by Witten, for manifolds with $b_+=1$. In this case the invariants
depend on a chamber structure, and there exists a universal wall crossing
formula. For every K\""ahler surface with $p_g=0$ and $q$=0, these invariants
are non-trivial for all $Spin^c(4)$-structures of non-negative index.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 17:33:23 GMT""},{""version"":""v2"",""created"":""Sat, 9 Mar 1996 15:05:00 GMT""},{""version"":""v3"",""created"":""Fri, 15 Mar 1996 16:52:46 GMT""},{""version"":""v4"",""created"":""Fri, 19 Apr 1996 18:22:22 GMT""}]","2008-02-03"
"hep-ph/9603218","Nestor Armesto Perez","N. Armesto and M. A. Braun","On the odderon intercept in perturbative QCD","LaTeX, 19 pages plus 1 postscript figure; some small change in the
  introduction","Z.Phys. C75 (1997) 709-716",,"US-FT/7-96","hep-ph",,"  Arguments are presented for the odderon intercept being exactly equal to
unity. A variational method is presented based on a complete system of
one-gluon functions. For the odderon, the highest intercept calculated by this
method is $1-(3\alpha_{s}/\pi)\,0.45$.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 19:54:44 GMT""},{""version"":""v2"",""created"":""Wed, 13 Mar 1996 18:27:27 GMT""}]","2008-02-03"
"hep-ph/9603219","Manoranjan Guchait","Monoranjan Guchait and D. P. Roy","Like Sign Dilepton Signature for R-Parity Violating SUSY Search at the
  Tevatron Collider","12 page LaTeX file; 5 figures available upon request from the author","Phys.Rev. D54 (1996) 3276-3282","10.1103/PhysRevD.54.3276","TIFR/TH/96-10","hep-ph",,"  The like sign dileptons provide the most promising signature for
superparticle search in a large category of $R$-parity violating SUSY models.
We estimate the like sign dilepton signals at the Tevatron collider, predicted
by these models, over a wide region of the MSSM parameter space. One expects an
unambiguous signal upto a gluino mass of $200 - 300$ GeV ($\geq 500$ GeV) with
the present (proposed) accumulated luminosity of $\sim 0.1~(1)~{\rm fb}^{-1}$.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 00:25:36 GMT""}]","2009-10-28"
"hep-ph/9603220",,"M. Baillargeon(1), U. Baur(2), G. Belanger(3), F. Boudjema(3), G.
  Couture(4), M. Gintner(5) and S. Godfrey(5) ((1) GTAE, Lisbon, (2) SUNY
  Buffalo, (3) ENSLAPP-Annecy, (4) UQUAM Montreal, (5) Carleton, Ottawa)","Anomalous Couplings and Chiral Lagrangians: An Update","8 pages, 1 Postscript figure, LaTeX, uses epsfig.sty, to appear in
  the Proceedings of the LC2000 Workshop, Annecy, Gran Sasso and Hamburg,
  February -- September 1995",,,"UB-HET-96-01","hep-ph",,"  We present an update of the limits expected for anomalous gauge boson
couplings in the language of chiral Lagrangian operators at the LHC and the
Linear Collider. Both, the $e^+e^-$ and the $\gamma\gamma$ mode of the Linear
Collider are analyzed. With a 500~GeV $e^+e^-$ collider, and an integrated
luminosity of 50~--~80~fb$^{-1}$, one reaches the domain of precision
measurements.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 18:03:37 GMT""}]","2007-05-23"
"hep-ph/9603221",,"D. Comelli and Joao P. Silva","Decoupling or nondecoupling: is that the $R_b$ question?","Prompted by a wrong statement originally made about hep-ph/9602438,
  the abstract, final note and acknowledgments have been changed. We have
  corrected a few typos, added a footnote and included other references. The
  main body of the article stands and was not touched. 10 pages, latex, no figs","Phys.Rev. D54 (1996) 1176-1181","10.1103/PhysRevD.54.1176",,"hep-ph",,"  The top quark is well known for the nondecoupling effects it implies in
$\rho$ and $R_b$. The recent experimental $R_b$ data exhibits a disagreement
with the SM prediction at more than the $3 \sigma$ level. It is tempting to
explore whether this might be due to nondecoupling New Physics effects,
opposite to those of the top. We investigate this issue in the context of
models with an extra family of right or left handed, singlet or doublet quarks.
It is shown that, contrary to what one might naively expect, the nondecoupling
properties of a mirror $t^\prime$ do not have an impact on $R_b$, due to a
conspiracy of the mixing angles, imposed by the requirement that there be no
$b$ - $b^\prime$ mixing. Our analysis agrees with an analysis performed
independently, which includes this model as a particular case.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 23:11:25 GMT""},{""version"":""v2"",""created"":""Thu, 14 Mar 1996 18:26:30 GMT""}]","2009-10-28"
"hep-ph/9603222","Homayoun Hamidian","M. Frank and H. Hamidian","Lepton-Flavor Violating Decays of the $Z$-boson in a Left-Right
  Supersymmetric Model","11 pages, LaTeX, Figures are available from the authors upon request","Phys.Rev. D54 (1996) 6790-6796","10.1103/PhysRevD.54.6790","CUMQ/HEP 92, UCTP-115/96","hep-ph",,"  We study the one-loop supersymmetric contributions to lepton-flavor violating
$Z$ -boson decays in a fully left-right symmetric model. In addition to
right-handed scalar neutrinos, the decays could receive important contributions
from doubly-charged triplet Higgsinos which couple to leptons only. We find
that the decay widths reach present experimental bounds and discuss mass
constraints for the contributing supersymmetric partners.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 05:34:44 GMT""}]","2009-10-28"
"hep-ph/9603223","Francisco del Aguila","F. del Aguila, M. Zralek","CP Phases in Models with Some Fermion Masses Vanishing and/or Degenerate","16 pages, no figures. Full postscript file available at:
  http://deneb.ugr.es/preprints/ugft58.ps","Acta Phys.Polon. B27 (1996) 971-984",,"UG-FT-58/96, TP-USL/96/08","hep-ph",,"  We count the number of CP breaking phases in models with $SU(2)_L\times
U(1)_Y$ and $SU(2)_L\times SU(2)_R\times U(1)_{B-L}$ electroweak gauge groups
and extended matter contents with some fermion masses vanishing and/or
degenerate. Quarks and leptons, including Majorana neutrinos, are treated in a
similar way. CP violation is characterized in the mass-eigenstate and in the
weak-eigenstate bases. Necessary and sufficient conditions for CP conservation,
invariant under weak basis redefinitions are also studied in these models. CP
violating factors entering in physical observables and only invariant under
phase redefinitions are discussed.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 11:17:41 GMT""}]","2007-05-23"
"hep-ph/9603224","Joerg Schaldach","Joerg Schaldach, Peter Sieber, Dmitri Diakonov, and Klaus Goeke","Spontaneous annihilation of high-density matter in the electroweak
  theory","38 pages, 6 Postscript figures","Phys.Rev. D54 (1996) 2814-2828","10.1103/PhysRevD.54.2814","RUB-TP2-05/96","hep-ph",,"  In the presence of fermionic matter the topologically distinct vacua of the
standard model are metastable and can decay by tunneling through the sphaleron
barrier. This process annihilates one fermion per doublet due to the anomalous
non-conservation of baryon and lepton currents and is accompanied by a
production of gauge and Higgs bosons. We present a numerical method to obtain
local bounce solutions which minimize the Euclidean action in the space of all
configurations connecting two adjacent topological sectors. These solutions
determine the decay rate and the configuration of the fields after the
tunneling. We also follow the real time evolution of this configuration and
analyze the spectrum of the created bosons. If the matter density exceeds some
critical value, the exponentially suppressed tunneling triggers off an
avalanche producing an enormous amount of bosons.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 11:37:58 GMT""}]","2016-09-01"
"hep-ph/9603226","Volker Keiner","Volker Keiner","A covariant diquark-quark model of the nucleon in the Salpeter approach","17 pages, REVTeX, 10 figures (ps and eps) included","Phys.Rev.C54:3232-3239,1996","10.1103/PhysRevC.54.3232","Bonn TK-96-06","hep-ph nucl-th",,"  We develop a rather simple, formally covariant quark-diquark model of the
nucleon. The nucleon is treated as a bound state of a constituent quark and a
diquark interacting via a quark exchange. We include both scalar and
axial-vector diquarks. The underlying Bethe-Salpeter equation is transformed
into a pair of coupled Salpeter equations. The electromagnetic form factors of
the nucleon are calculated in the Mandelstam formalism. We obtain a very good
description of all electromagnetic form factors for momentum transfers up to -3
(GeV/c)^2.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 12:38:39 GMT""}]","2016-09-01"
"hep-ph/9603227","Mariano Quiros","J.A. Casas, J.R. Espinosa and M. Quiros","Standard Model stability bounds for new physics within LHC reach","17 pages, latex + psfig.sty, 4 figures","Phys.Lett. B382 (1996) 374-382","10.1016/0370-2693(96)00682-X","SCIPP-96-04, DESY 96-021, IEM-FT-123/96","hep-ph",,"  We analyse the stability lower bounds on the Standard Model Higgs mass by
carefully controlling the scale independence of the effective potential. We
include resummed leading and next-to-leading-log corrections, and physical pole
masses for the Higgs boson, M_H, and the top-quark, M_t. Particular attention
is devoted to the cases where the scale of new physics \Lambda is within LHC
reach, i.e. \Lambda\leq 10 TeV, which have been the object of recent
controversial results. We clarify the origin of discrepancies and confirm our
earlier results within the error of our previous estimate. In particular for
\Lambda=1 TeV we find that
  M_H[GeV]>52+0.64(M_t[GeV]-175)-0.50\frac{\alpha_s(M_Z)-0.118}{0.006}.
  For fixed values of M_t and \alpha_s(M_Z), the error from higher effects, as
the lack of exact scale invariance of the effective potential and higher-order
radiative corrections, is conservatively estimated to be \simlt 5 GeV.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 14:02:37 GMT""}]","2016-09-01"
"hep-ph/9603228","Grzegorz Wilk","G.Wilk and Z.Wlodarczyk","How Can Strange Quark Matter Occur Deeply in the Atmosphere?","uuencoded gz-compressed .tar file containing LaTeX file and 3
  postscript files with figures, 8 pages altogether","J.Phys. G22 (1996) L105-L112","10.1088/0954-3899/22/10/002","SINS-PVIII-1996-1 IP-PUK-1996-5","hep-ph nucl-th",,"  Motivated by some recent cosmic ray experiments we study the properties of
strange quark matter near flavour equilibrium. Using Fermi-gas model we argue
that, contrary to some claims, the geometrical radii of quark matter
strangelets are not smaller but rather comparable to those of ordinary nuclei.
We propose therefore a scenario of propagation of strangelets through the
atmosphere which still allows for their deep penetration.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 14:21:10 GMT""}]","2009-10-28"
"hep-th/9603009","Ofer Aharony","Ofer Aharony, Jacob Sonnenschein and Shimon Yankielowicz","Interactions of strings and D-branes from M theory","19 pages, 3 figures, uses harvmac.tex and epsf.tex. Added a
  discussion of Kaluza-Klein monopoles and some minor changes","Nucl.Phys.B474:309-322,1996","10.1016/0550-3213(96)00292-1","TAUP-2324-96","hep-th",,"  We discuss the relation between M theory and type II string theories. We show
that, assuming ``natural'' interactions between membranes and fivebranes in M
theory, the known interactions between strings and D-branes in type II string
theories arise in appropriate limits. Our discussion of the interactions is
purely at the classical level. We remark on issues associated with the M theory
approach to enhanced gauge symmetries, which deserve further investigation.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 09:17:30 GMT""},{""version"":""v2"",""created"":""Mon, 1 Apr 1996 16:41:52 GMT""}]","2009-09-29"
"hep-th/9603013","Jorge Eduardo Stephany Ruiz","J. P. Lupi, A. Restuccia, J. Stephany","Non Abelian BF theories with sources and 2-D gravity","20 pages, Latex, To appear in Phys Rev D54","Phys.Rev.D54:3861-3868,1996","10.1103/PhysRevD.54.3861","SB/F/95-233","hep-th",,"  We study the interaction of non-Abelian topological $BF$ theories defined on
two dimensional manifolds with point sources carrying non-Abelian charges. We
identify the most general solution for the field equations on simply and
multiply connected two-manifolds. Taking the particular choice of the so-called
extended Poincar\'e group as the gauge group we discuss how recent discussions
of two dimensional gravity models do fit in this formalism.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 19:10:10 GMT""},{""version"":""v2"",""created"":""Wed, 21 Aug 1996 18:45:00 GMT""}]","2011-09-09"
"hep-th/9603014","Pawel Mazur","Pawel O. Mazur","Gravitation, the Quantum, and Cosmological Constant","13 pages, PlainTex, uses phyzzx.tex","Acta Phys.Polon.27:1849-1858,1996",,,"hep-th gr-qc",,"  The arguments of statistical nature for the existence of constituents of
active gravitational masses are presented. The present paper proposes a basis
for microscopic theory of universal gravitation. Questions like the relation of
cosmological constant and quantum theory, black hole radiance and the nature of
inertia are addressed. This paper is the second in the series of papers
published in Acta Physica Polonica {\bf B}.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 00:26:35 GMT""}]","2014-11-18"
"hep-th/9603016","Herbert W. Hamber","H.W. Hamber and S. Liu","Feynman Rules for Simplicial Gravity","Corrections and references added","Nucl.Phys. B472 (1996) 447-480","10.1016/0550-3213(96)00216-7","UCI-TH-96-10","hep-th",,"  We develop the general formalism for performing perturbative diagrammatic
expansions in the lattice theory of quantum gravity. The results help establish
a precise correspondence between continuum and lattice quantities, and should
be a useful guide for non-perturbative studies of gravity. The Feynman rules
for Regge's simplicial lattice formulation of gravity are then discussed in
detail in two dimensions. As an application, the two-dimensional conformal
anomaly due to a $D$-component scalar field is explicitly computed in
perturbation theory.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 01:32:13 GMT""},{""version"":""v2"",""created"":""Tue, 2 Apr 1996 20:18:15 GMT""}]","2009-10-30"
"hep-th/9603017","Frank Zimmerschied","Jian-Ge Zhou, F. Zimmerschied, J.--Q. Liang, H.J.W. Mueller--Kirsten","A new look at the RST model","13 pages, LaTex","Mod.Phys.Lett. A11 (1996) 815-826","10.1142/S0217732396000825",,"hep-th",,"  The RST model is augmented by the addition of a scalar field and a boundary
term so that it is well-posed and local. Expressing the RST action in terms of
the ADM formulation, the constraint structure can be analysed completely. It is
shown that from the view point of local field theories, there exists a hidden
dynamical field in the RST model. Thanks to the presence of this hidden
dynamical field, we can reconstruct the closed algebra of the constraints which
guarantee the general invariance of the RST action. The resulting stress
tensors are recovered to be true tensor quantities. At the quantum level, the
cancellation condition for the total central charge is reexamined. Finally,
with the help of the hidden dynamical field, the fact that the semi-classical
static solution of the RST model has two independent parameters (P,M), whereas
for the classical CGHS model there is only one, can be explained.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 10:29:31 GMT""}]","2015-06-26"
"hep-th/9603018","Frank Zimmerschied","J.-G. Zhou, F. Zimmerschied, J.-Q. Liang, H.J.W. Mueller-Kirsten and
  D.H. Tchrakian","Significance of zero modes in path--integral quantization of solitonic
  theories with BRST invariance","16 pages, LaTex","Int.J.Mod.Phys. A11 (1996) 4985-4998","10.1142/S0217751X96002297",,"hep-th",,"  The significance of zero modes in the path-integral quantization of some
solitonic models is investigated. In particular a Skyrme-like theory with
topological vortices in (1+2) dimensions is studied, and with a BRST invariant
gauge fixing a well defined transition amplitude is obtained in the one loop
approximation. We also present an alternative method which does not necessitate
evoking the time-dependence in the functional integral, but is equivalent to
the original one in dealing with the quantization in the background of the
static classical solution of the non-linear field equations. The considerations
given here are particularly useful in - but also limited to - the one-loop
approximation.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 10:40:38 GMT""}]","2015-06-26"
"hep-th/9603019","Leonardo Cosmai","P. Cea, L. Cosmai, M. Consoli and R. Fiore","Lattice effective potential of $(\lambda\Phi^4)_4$: nature of the phase
  transition and bounds on the Higgs mass","33 pages, uuencoded compressed (using GNU's gzip) tar file containing
  1 LaTeX2e file + 3 encapsulated Postscript figures",,,,"hep-th",,"  We present a detailed discussion of Spontaneous Symmetry Breaking (SSB) in
$(\lambda\Phi^4)_4$. In the usual approach, inspired by perturbation theory,
one predicts a second-order phase transition, the Higgs mass $m_h$, related to
the value of the renormalized 4-point coupling, gets smaller when increasing
the ultraviolet cutoff and this leads to the generally quoted upper bounds
$m_h<$700-900 GeV. On the other hand, by exploring the structure of the
effective potential in those approximation consistent with `triviality', where
the Higgs mass does not represent a measure of any observable interaction, SSB
does not require an ultraviolet cutoff, the phase transition is first-order,
such that the massless `Coleman-Weinberg' regime lies in the broken phase, and
one gets only $m_h<$3 TeV from vacuum stability. To separate out the two
alternatives, we present a precise lattice computation of the slope of the
effective potential in the region of bare parameters indicated by the
Luscher~\&~Weisz and Brahm's analysis of the critical line. Our lattice data
strongly support the latter description of SSB. Indeed, our data cannot be
reproduced in perturbation theory, and then they confirm the existence on the
lattice of a remarkable phase of $(\lambda\Phi^4)_4$ where SSB is generated
through ``dimensional transmutation'', and show no evidence for residual
self-interaction effects of the shifted ``Higgs'' field
$h(x)=\Phi(x)-\langle\Phi\rangle$, in agreement with ``triviality''.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 13:16:08 GMT""}]","2007-05-23"
"hep-th/9603020","Eduardo Marino","E.C.Marino","Charge and Magnetic Flux Correlations in Chern-Simons Theory with
  Fermions","Latex, 17 pages","Phys.Rev. D55 (1997) 5234-5237","10.1103/PhysRevD.55.5234",,"hep-th",,"  Charge and magnetic flux bearing operators are introduced in Chern-Simons
theory both in its pure form and when it is coupled to fermions. The magnetic
flux creation operator turns out to be the Wilson line. The euclidean
correlation functions of these operators are shown to be local and are
evaluated exactly in the pure case and through an expansion in the inverse
fermion mass whenever these are present. Physical states only occur in the
presence of fermions and consist of composite charge-magnetic flux carrying
states which are in general anyonic. The large distance behavior of the
correlation functions indicates the condensation of charge and magnetic flux.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 12:31:49 GMT""}]","2009-10-30"
"hep-th/9603021",,"Ivan G. Avramidi, Giampiero Esposito and Alexander Yu. Kamenshchik","Boundary Operators in Euclidean Quantum Gravity","29 pages, plain-tex. In this revised version, the analysis of the
  self-adjointness problem with Barvinsky boundary conditions has been amended.
  For this purpose, section 4 has been completely revised, and a new section
  has been added. The literature on the axial gauge is also described","Class.Quant.Grav. 13 (1996) 2361-2374","10.1088/0264-9381/13/9/004","DSF preprint 96/10","hep-th",,"  Gauge-invariant boundary conditions in Euclidean quantum gravity can be
obtained by setting to zero at the boundary the spatial components of metric
perturbations, and a suitable class of gauge-averaging functionals. This paper
shows that, on choosing the de Donder functional, the resulting boundary
operator involves projection operators jointly with a nilpotent operator.
Moreover, the elliptic operator acting on metric perturbations is symmetric.
Other choices of mixed boundary conditions, for which the normal components of
metric perturbations can be set to zero at the boundary, are then analyzed in
detail. Last, the evaluation of the 1-loop divergence in the axial gauge for
gravity is obtained. Interestingly, such a divergence turns out to coincide
with the one resulting from transverse-traceless perturbations.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 13:47:13 GMT""},{""version"":""v2"",""created"":""Sat, 1 Jun 1996 09:42:19 GMT""}]","2009-10-30"
"hep-th/9603022",,"Vu B Ho and Michael J Morgan","Quantum mechanics in multiply connected spaces","Latex 15 pages",,"10.1088/0305-4470/29/7/019",,"hep-th quant-ph",,"  This paper analyses quantum mechanics in multiply connected spaces. It is
shown that the multiple connectedness of the configuration space of a physical
system can determine the quantum nature of physical observables, such as the
angular momentum. In particular, quantum mechanics in compactified Kaluza-Klein
spaces is examined. These compactified spaces give rise to an additional
angular momentum which can adopt half-integer values and, therefore, may be
identified with the intrinsic spin of a quantum particle.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 14:25:52 GMT""}]","2009-10-30"
"math/9603215","Wolfram Koepf","Wolfram Koepf","The identification problem for transcendental functions",,,,"OP-SF 5 Mar 1996","math.CA",,"  In this article algorithmic methods are presented that have essentially been
introduced into computer algebra systems like Mathematica within the last
decade. The main ideas are due to Stanley and Zeilberger. Some of them had
already been discovered in the last century by Beke, but because of their
complexity the underlying algorithms have fallen into oblivion. We combined
these ideas, and added a factorization algorithm in noncommutative rings
(Melenk--Koepf \cite{MK}) leading to a solution of the identification problem
for a large class of transcendental functions. We present implementations of
these algorithms in computer algebra systems.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 00:00:00 GMT""}]","2009-09-25"
"math/9603216","Wolfram Koepf","Wolfram Koepf, Dieter Schmersau","On the De Branges theorem",,,,"OP-SF 5 Mar 1996","math.CA",,"  Recently, Todorov and Wilf independently realized that de Branges' original
proof of the Bieberbach and Milin conjectures and the proof that was later
given by Weinstein deal with the same special function system that de Branges
had introduced in his work.
  In this article, we present an elementary proof of this statement based on
the defining differential equations system rather than the closed
representation of de Branges' function system. Our proof does neither use
special functions (like Wilf's) nor the residue theorem (like Todorov's) nor
the closed representation (like both), but is purely algebraic.
  On the other hand, by a similar algebraic treatment, the closed
representation of de Branges' function system is derived. In a final section,
we give a simple representation of a generating function of the de Branges
functions.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 00:00:00 GMT""}]","2008-02-03"
"math/9603217","Wolfram Koepf","Wolfram Koepf, Dieter Schmersau","Weinstein's functions and the Askey-Gasper identity",,,,"OP-SF 5 Mar 1996","math.CA",,"  In his 1984 proof of the Bieberbach and Milin conjectures de Branges used a
positivity result of special functions which follows from an identity about
Jacobi polynomial sums that was found by Askey and Gasper in 1973, published in
1976.
  In 1991 Weinstein presented another proof of the Bieberbach and Milin
conjectures, also using a special function system which (by Todorov and Wilf)
was realized to be the same as de Branges'.
  In this article, we show how a variant of the Askey-Gasper identity can be
deduced by a straightforward examination of Weinstein's functions which
intimately are related with a L\""owner chain of the Koebe function, and
therefore with univalent functions.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 00:00:00 GMT""}]","2016-09-06"
"mtrl-th/9603002","Bernd Kohler","Axel Gross (Fritz-Haber-Institut, Berlin)","Dynamical Quantum Processes of Molecular Beams at Surfaces: Dissociative
  Adsorption of Hydrogen on Metal Surfaces","RevTeX, 22 pages, 6 figures",,"10.1016/0039-6028(96)00070-2",,"mtrl-th cond-mat.mtrl-sci",,"  Due to the improvement of computer power and the development of efficient
algorithms it is now possible to combine high-dimensional quantum dynamical
calculations of the dissociative adsorption of molecular beams with reliable
ab-initio potential energy surfaces (PES). In this brief review two recent
examples of such studies of the systems H_2/Cu(111), where adsorption is
hindered by a noticeable energy barrier, and H_2/Pd(100), where activated as
well as non-activated paths to adsorption exist, are presented. The effect of
lateral surface corrugations on the sticking probability in the tunneling and
the classical regime and the role of additional parallel momentum are discussed
in the context of the H_2/Cu(111) results. For the system H_2/Pd(100) it is
shown that the initial decrease of the sticking probability with increasing
kinetic energy, which is usually attributed to a precursor mechanism, can be
explained by dynamical steering. In addition, the influence of rotation on the
adsorption and desorption dynamics is examined.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 11:14:59 GMT""}]","2009-10-30"
"mtrl-th/9603003","Bernd Kohler","Axel Gross, Steffen Wilke, and Matthias Scheffler
  (Fritz-Haber-Institut, Berlin)","Six-Dimensional Quantum Dynamics of Adsorption and Desorption of H_2 at
  Pd(100): No Need for a Molecular Precursor Adsorption State","RevTeX, 11 pages, 4 figures",,"10.1016/0039-6028(96)00232-4",,"mtrl-th cond-mat.mtrl-sci",,"  We report six-dimensional quantum dynamical calculations of dissociative
adsorption and associative desorption of the system H_2/Pd(100) using an
ab-initio potential energy surface. We focus on rotational effects in the
steering mechanism, which is responsible for the initial decrease of the
sticking probability with kinetic energy. In addition, steric effects are
briefly discussed.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 10:53:02 GMT""}]","2009-10-30"
"nucl-th/9603002","Sushkov","O. P. Sushkov","Average over energy effect of parity nonconservation in neutron
  scattering on heavy nuclei","LaTeX 5 pages",,,,"nucl-th",,"  Using semiclassical approximation we consider parity nonconservation (PNC)
averaged over compound resonances. We demonstrate that the result of the
averaging crucially depends on the properties of residual strong
nucleon-nucleon interaction. Natural way to elucidate this problem is to
investigate experimentally PNC spin rotation with nonmonachromatic neutron
beam: $E \sim \Delta E \sim 1MeV$. Value of the effect can reach $\psi \sim
10^{-5}-10^{-4}$ per mean free path.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 14:20:50 GMT""}]","2007-05-23"
"quant-ph/9603004","Hoi-Kwong Lo","Hoi-Kwong Lo and H. F. Chau","Is Quantum Bit Commitment Really Possible?","Major revisions to include a more extensive introduction and an
  example of bit commitment. Overlap with independent work by Mayers
  acknowledged. More recent works by Mayers, by Lo and Chau and by Lo are also
  noted. Accepted for publication in Phys. Rev. Lett","Phys. Rev. Lett. 78, 3410 (1997)","10.1103/PhysRevLett.78.3410",,"quant-ph cs.CR",,"  We show that all proposed quantum bit commitment schemes are insecure because
the sender, Alice, can almost always cheat successfully by using an
Einstein-Podolsky-Rosen type of attack and delaying her measurement until she
opens her commitment.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 20:57:53 GMT""},{""version"":""v2"",""created"":""Wed, 2 Apr 1997 19:10:25 GMT""}]","2016-08-25"
