"alg-geom/9603017","Robert Lazarsfeld","Lawrence Ein, Robert Lazarsfeld","Singularities of Theta Divisors, and the Birational Geometry of
  Irregular Varieties","19 pages, AMS-TeX, v. 2.1",,,,"alg-geom math.AG",,"  The purpose of this paper is to show how the generic vanishing theorems of M.
Green and the second author can be used to settle several questions and
conjectures concerning the geometry of irregular complex projective varieties.
First, we prove a conjecture of Arbarello and DeConcini characterizing
principally polarized abelian varieties whose theta divisors are singular in
codimension one. Secondly, we study the holomorphic Euler characteristics of
varieties of general type having maximal Albanese dimension: we verify a
conjecture of Kollar for subvarieties of abelian varieties, but show that it
fails in general. Finally, we give a surprisingly simple new proof of a
fundamental theorem of Kawamata concerning the Albanese mapping of projective
varieties of Kodaira dimension zero.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 19:26:01 GMT""}]","2008-02-03"
"hep-ph/9603406",,"Somenath Chakrabarty","Quark Matter in Strong Magnetic Field","31 Pages TEX file, with 9-figures available under request","Phys.Rev.D54:1306-1316,1996","10.1103/PhysRevD.54.1306",,"hep-ph",,"  The effect of strong magnetic field on the stability and gross properties of
bulk as well as quasi-bulk quark matter has been investigated using the
conventional MIT bag model. Both the Landau diamagnetism and the paramagnetism
of quark matter has been studied. How the quark hadron phase transition is
affected by the presence of strong magnetic field has also been investigated.
The equation of state of strange quark matter changes significantly in strong
magnetic field. It is also shown that the thermal nucleation of quark bubbles
in compact metastable state of neutron matter is completely forbidden in
presence of strong magnetic field.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 18:21:00 GMT""}]","2011-05-05"
"hep-ph/9603407",,"Somenath Chakrabarty","Expulsion of Magnetic Flux Lines from Growing Superconducting Core of a
  Quark Star and The Possibility of Mullins-Sekerka Interface Instability","16 pages TEX file, no figure",,,,"hep-ph",,"  The expulsion of magnetic flux lines from a growing superconducting core of a
quark star has been investigated using the idea of impurity diffusion in molten
alloys. The possibility of Mullins-Sekerka normal-superconducting interface
instability has also been studied.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 18:22:00 GMT""}]","2007-05-23"
"hep-th/9603142","Petr Horava","Petr Horava, Edward Witten","Eleven-Dimensional Supergravity on a Manifold with Boundary","28 pages, no figures; harvmac","Nucl.Phys.B475:94-114,1996","10.1016/0550-3213(96)00308-2","IASSNS-HEP-96/17, PUPT-1597","hep-th",,"  In this paper, we present a systematic analysis of eleven-dimensional
supergravity on a manifold with boundary, which is believed to be relevant to
the strong coupling limit of the $E_8\times E_8$ heterotic string. Gauge and
gravitational anomalies enter at a very early stage, and require a refinement
of the standard Green-Schwarz mechanism for their cancellation. This uniquely
determines the gauge group to be a copy of $E_8$ for each boundary component,
fixes the gauge coupling constant in terms of the gravitational constant, and
leads to several striking new tests of the hypothesis that there is a
consistent quantum $M$-theory with eleven-dimensional supergravity as its low
energy limit.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 16:11:20 GMT""}]","2010-04-07"
"hep-th/9603143","Paul Watts","Paul Watts (Department of Physics, University of Miami)","Toward a q-Deformed Standard Model","Version to appear in J. Geom. Phys. -reorganized and shortened, with
  minor stylistic changes","J.Geom.Phys. 24 (1997) 61-81","10.1016/S0393-0440(97)00006-5","UMTG-189","hep-th math.QA q-alg",,"  A gauge theory with an underlying SU_q(2) quantum group symmetry is
introduced, and its properties examined. With suitable assumptions, this model
is found to have many similarities with the usual SU(2)\times U(1) Standard
Model, specifically, the existence of four generators and thus four gauge
fields. However, the two classical symmetries are unified into one quantum
symmetry, and therefore there is only a single coupling constant, rather than
two. By incorporating a Higgs sector into the model, one obtains several
explicit tree-level predictions in the undeformed limit, such as the Weinberg
angle: $sin^2\Theta_{W} = 3/11$. With the Z-boson mass m_Z and fine structure
constant alpha as inputs, one can also obtain predictions for the weak coupling
constant, the mass of the W, and the Higgs VEV. The breaking of the quantum
invariance also results in a remaining undeformed U(1) gauge symmetry.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 21:00:22 GMT""},{""version"":""v2"",""created"":""Tue, 14 Jan 1997 18:53:12 GMT""}]","2009-10-30"
"hep-th/9603144","Kiyoshi Kamimura","J. Gomis, K.Kamimura and R.Kuriki","The WZ Term of the Spinning String and its On-shell Structure","10 pages, Latex","Nucl.Phys. B471 (1996) 513-520","10.1016/0550-3213(96)00186-1","UB-ECM-PF 95/22, TOHO-FP-9553","hep-th",,"  The Wess-Zumino term of the spinning string is constructed in terms of their
anomalies using an extended field-antifield formalism. A new feature appears
from a fact that the non-anomalous transformations do not form a sub-group. The
algebra of the extended variables closes only using the equations of motion
derived from the WZ term.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 03:07:39 GMT""}]","2009-10-30"
"hep-th/9603146","Akio Sugamoto","Akio Sugamoto","Being Fascinated by Strings and Membranes: Is Kikkawa-Type Physics
  Possible at Ochanomizu?","Latex file, 5pp. Contributed to the proceedings in honor of the 60th
  birthday of Professor Keiji Kikkawa",,,"OCHA-PP-77","hep-th",,"  On the occasion of the 60th birthday of Professor Keiji Kikkawa, Kikkawa-type
physics performed at Ochanomizu was personally reviewed, and the generation of
the metric is discussed with the condensation of the string fields.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 06:00:40 GMT""}]","2007-05-23"
"hep-th/9603147","Donam Youm","Mirjam Cvetic and Donam Youm","Entropy of Non-Extreme Charged Rotating Black Holes in String Theory","14 pages, uses RevTex, the revised version with minor corrections to
  appear in Phys. Rev. D","Phys.Rev.D54:2612-2620,1996","10.1103/PhysRevD.54.2612","IASSNS-HEP-96/27, PUPT-1605","hep-th gr-qc",,"  We give the explicit expression for four-dimensional rotating charged black
hole solutions of N=4 (or N=8) superstring vacua, parameterized by the ADM
mass, four charges (two electric and two magnetic charges, each arising from a
different U(1) gauge factors), and the angular momentum (as well as the
asymptotic values of four toroidal moduli of two-torus and the dilaton-axion
field). The explicit form of the thermodynamic entropy is parameterized in a
suggestive way as a sum of the product of the `left-moving' and the
`right-moving' terms, which may have an interpretation in terms of the
microscopic degrees of freedom of the corresponding D-brane configuration. We
also give an analogous parameterization of the thermodynamic entropy for the
recently obtained five-dimensional rotating charged black holes parameterized
by the ADM mass, three U(1) charges and two rotational parameters (as well as
the asymptotic values of one toroidal modulus and the dilaton).
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 06:38:22 GMT""},{""version"":""v2"",""created"":""Tue, 11 Jun 1996 19:36:56 GMT""}]","2009-09-17"
"hep-th/9603148","Joerg Teschner","J\""org Teschner","Coupling supergravity to non-supersymmetric matter","11 pages, LATEX, references added","Phys.Lett. B390 (1997) 172-178","10.1016/S0370-2693(96)01418-9","LPTHE 96-12","hep-th",,"  By introducing a nonlinearly transforming goldstino field
non-super\-sym\-metric matter can be coupled to supergravity. This implies the
possibility of coupling a standard model with one Higgs to supergravity.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 09:53:08 GMT""},{""version"":""v2"",""created"":""Sat, 13 Apr 1996 13:51:35 GMT""}]","2016-08-15"
"hep-th/9603149","Michel Rausch","A. Perez, M. Rausch de Traubenberg, P. Simon","2D Fractional Supersymmetry for Rational Conformal Field Theory.
  Application for Third-Integer Spin States","LaTex, 20 pages. Revised in response to referees' Comments","Nucl.Phys.B482:325-344,1996","10.1016/S0550-3213(96)00522-6","LPT Strasbourg 96-07","hep-th",,"  A 2D- fractional supersymmetry theory is algebraically constructed. The
Lagrangian is derived using an adapted superspace including, in addition to a
scalar field, two fields with spins 1/3,2/3. This theory turns out to be a
rational conformal field theory. The symmetry of this model goes beyond the
super Virasoro algebra and connects these third-integer spin states. Besides
the stress-momentum tensor, we obtain a supercurrent of spin 4/3. Cubic
relations are involved in order to close the algebra; the basic algebra is no
longer a Lie or a super-Lie algebra. The central charge of this model is found
to be 5/3. Finally, we analyse the form that a local invariant action should
take.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 14:21:32 GMT""},{""version"":""v2"",""created"":""Wed, 29 Jan 1997 10:09:50 GMT""}]","2008-11-26"
"hep-th/9603150","Edward Witten","Edward Witten","Phase Transitions In M-Theory And F-Theory","30 pp, harvmanc","Nucl.Phys.B471:195-216,1996","10.1016/0550-3213(96)00212-X","IASSNS-96-26","hep-th",,"  Phase transitions are studied in $M$-theory and $F$-theory. In $M$-theory
compactification to five dimensions on a Calabi-Yau, there are
topology-changing transitions similar to those seen in conformal field theory,
but the non-geometrical phases known in conformal field theory are absent. At
boundaries of moduli space where such phases might have been expected, the
moduli space ends, by a conventional or unconventional physical mechanism. The
unconventional mechanisms, which roughly involve the appearance of tensionless
strings, can sometimes be better understood in $F$-theory.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 14:00:18 GMT""}]","2010-04-07"
"hep-th/9603176","Gary Gibbons","G W Gibbons (DAMTP University of Cambridge)","The Sen conjecture for fundamental monopoles of distinct type","12 pages plain Tex","Phys.Lett.B382:53-59,1996","10.1016/0370-2693(96)00525-4","DAMTP/R/96/19","hep-th gr-qc",,"  I exhibit a middle-dimensional square integrable harmonic form on the moduli
space of distinct fundamental BPS monopoles of an arbitrary Lie group. This is
in accord with Sen's S-duality conjecture. I also show that the moduli space
has no closed or bound geodesics.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 15:03:30 GMT""}]","2009-10-07"
"math/9603218",,"Nico M. Temme","Uniform asymptotics for the incomplete gamma functions starting from
  negative values of the parameters",,,,"OP-SF 22 Mar 1996","math.CA",,"  We consider the asymptotic behavior of the incomplete gamma functions
gamma(-a,-z) and Gamma(-a,-z) as a goes to infinity. Uniform expansions are
needed to describe the transition area z~a in which case error functions are
used as main approximants. We use integral representations of the incomplete
gamma functions and derive a uniform equation by applying techniques used for
the existing uniform expansions for gamma(a,z) and Gamma(a,z). The result is
compared with Olver's uniform expansion for the generalized exponential
integral. A numerical verification of the expansion is given in a final
section.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 00:00:00 GMT""}]","2009-09-25"
"nucl-th/9603034","Gerd Kortemeyer","G. Kortemeyer, M. T. Pena, P. U. Sauer, and A. Stadler","The Dynamical Structure of the Delta-Resonance and its Effect on Two-
  and Three-Nucleon Systems","24 pages RevTeX, 10 figures PostScript",,,"MSUCL-1004","nucl-th",,"  The pion-nucleon interaction in the P33 partial wave is assumed to proceed
simultaneously through the excitation of the Delta-isobar and through a
phenomenologically introduced non-resonant background potential. The
introduction of the background potential allows a more realistic
parameterization of the pion-nucleon-Delta vertex compared with the previously
used one without background. It also modifies the propagation of the
Delta-isobar in the nuclear medium and gives rise to novel effective
nucleon-Delta interactions. Their consequences on predictions for observables
in the two-nucleon system at intermediate energies and in the three-nucleon
bound state are studied.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 18:50:28 GMT""}]","2007-05-23"
"nucl-th/9603035","Jun Lu Forest","J. L. Forest, V. R. Pandharipande, Steven C. Pieper, R. B. Wiringa, R.
  Schiavilla, A. Arriaga","Femtometer Toroidal Structures in Nuclei","35 pages in REVTeX, 25 PostScript figures","Phys.Rev.C54:646-667,1996","10.1103/PhysRevC.54.646","P-96-03-022","nucl-th",,"  The two-nucleon density distributions in states with isospin $T=0$, spin
$S$=1 and projection $M_S$=0 and $\pm$1 are studied in $^2$H, $^{3,4}$He,
$^{6,7}$Li and $^{16}$O. The equidensity surfaces for $M_S$=0 distributions are
found to be toroidal in shape, while those of $M_S$=$\pm$1 have dumbbell shapes
at large density. The dumbbell shapes are generated by rotating tori. The
toroidal shapes indicate that the tensor correlations have near maximal
strength at $r<2$ fm in all these nuclei. They provide new insights and simple
explanations of the structure and electromagnetic form factors of the deuteron,
the quasi-deuteron model, and the $dp$, $dd$ and $\alpha d$ $L$=2 ($D$-wave)
components in $^3$He, $^4$He and $^6$Li. The toroidal distribution has a
maximum-density diameter of $\sim$1 fm and a half-maximum density thickness of
$\sim$0.9 fm. Many realistic models of nuclear forces predict these values,
which are supported by the observed electromagnetic form factors of the
deuteron, and also predicted by classical Skyrme effective Lagrangians, related
to QCD in the limit of infinite colors. Due to the rather small size of this
structure, it could have a revealing relation to certain aspects of QCD.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 19:07:20 GMT""}]","2008-11-26"
"nucl-th/9603036",,"G.G.Ryzhikh (INR, Moscow)","Is it Possible to Describe Short-range NN Correlations in Nuclei on the
  Basis of Nucleonic Degrees of Freedom Only ?","16 LaTeX pages, 4 PostScript figures",,,,"nucl-th",,"  Assuming that NN interaction is modified inside a nucleus by a specific way,
phenomenological effective broad core (BC) NN potential is constructed. It is
shown that increase in the width of repulsive core lets us describe the Coulomb
form factors of few-body nuclei on the basis of nucleonic degrees of freedom
only.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 11:05:37 GMT""}]","2007-05-23"
"q-alg/9603017","Thomas Kerler","Thomas Kerler","On the Connectivity of Cobordisms and Half-Projective TQFT's","55 pages, Latex","Commun.Math.Phys. 198 (1998) 535-590","10.1007/s002200050487",,"q-alg hep-th math.QA",,"  We consider a generalization of the axioms of a TQFT, so called
half-projective TQFT's, with an anomaly, $x^{\mu}$, in the composition law.
$\mu$ is a coboundary on the cobordism categories with non-negative, integer
values. The element $x$ of the ring over which the TQFT is defined does not
have to be invertible. In particular, it may be 0. This modification makes it
possible to extend quantum-invariants, which vanish on $S^1\times S^2$, to
non-trivial TQFT's. (A TQFT in the sense of Atiyah with this property has to be
trivial all together). Under a few natural assumptions the notion of a
half-projective TQFT is shown to be the only possible generalization. Based on
separate work with Lyubashenko on connected TQFT's, we construct a large class
of half-projective TQFT's with $x=0$. Their invariants vanish on $S^1\times
S^2$, and they coincide with the Hennings invariant for non-semisimple Hopf
algebras. Several toplogical tools that are relevant for vanishing properties
of such TQFT's are developed. They are concerned with connectivity properties
of cobordisms, as for example maximal non-separating surfaces. We introduce in
particular the notions of ``interior'' homotopy and homology groups, and of
coordinate graphs, which are functions on cobordisms with values in the
morphisms of a graph category. For applications we will prove that
half-projective TQFT's with $x=0$ vanish on cobordisms with infinite interior
homology, and we argue that the order of divergence of the TQFT on a cobordism
in the ``classical limit'' can be estimated by the rank of its maximal free
interior group.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 02:44:12 GMT""}]","2009-10-30"
