"alg-geom/9606019","Misha Verbitsky","Dmitry Kaledin, Misha Verbitsky","Non-Hermitian Yang-Mills connections","48 pages, LaTeX 2e","Selecta Math. 4 (1998) 279-320",,,"alg-geom dg-ga hep-th math.AG math.DG",,"  We study Yang-Mills connections on holomorphic bundles over complex K\""ahler
manifolds of arbitrary dimension, in the spirit of Hitchin's and Simpson's
study of flat connections. The space of non-Hermitian Yang-Mills (NHYM)
connections has dimension twice the space of Hermitian Yang-Mills connections,
and is locally isomorphic to the complexification of the space of Hermitian
Yang-Mills connections (which is, by Uhlenbeck and Yau, the same as the space
of stable bundles). Further, we study the NHYM connections over hyperk\""ahler
manifolds. We construct direct and inverse twistor transform from NHYM bundles
on a hyperk\""ahler manifold to holomorphic bundles over its twistor space. We
study the stability and the modular properties of holomorphic bundles over
twistor spaces, and prove that work of Li and Yau, giving the notion of
stability for bundles over non-K\""ahler manifolds, can be applied to the
twistors. We identify locally the following two spaces: the space of stable
holomorphic bundles on a twistor space of a hyperk\""ahler manifold and the
space of rational curves in the twistor space of the ``Mukai dual''
hyperk\""ahler manifold.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 00:01:13 GMT""}]","2008-02-03"
"hep-ph/9607203","Gabriela Grunfeld","A. G. Grunfeld and M. C. Rocca","The Klein-Gordon oscillator and the proper time formalism in a Rigged
  Hilbert sapace","Revised version, to appear in Il Nuovo Cimento B","Nuovo Cim.B113:1351,1998",,,"hep-ph",,"  The implications of manifestly covariant formulation of relativistic quantum
mechanics depending on a scalar evolution parameter, canonically conjugated to
the variable mass, is still an unsettled issue. In this work we find a complete
set of generalized eigenfunctions of the Klein-Gordon Oscillator in the above
mentioned formulation, in the Rigged Hilbert Space with Tempered
Ultradistributions. We briefly comment on some models where this solution could
be applied.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 15:46:10 GMT""},{""version"":""v2"",""created"":""Thu, 2 Apr 1998 13:08:15 GMT""}]","2011-04-12"
"hep-ph/9607204","Georges Grunberg","G.Grunberg","Nucleon spin structure,topological susceptibility and the $\eta^\prime$
  singlet axial vector coupling","Latex 209,10 pages,no figures","Phys.Lett. B388 (1996) 173-178","10.1016/0370-2693(96)01132-X",,"hep-ph",,"  The observed small value of the first moment of the polarized nucleon spin
structure function $g_1$ may be interpreted, in the Veneziano--Shore approach,
as a suppression of the first moment $\chi^\prime(0)$ of the QCD topological
susceptibility. I give an extension of the Witten--Veneziano argument for the
$U(1)$ problem, which yields the $O(1/N)$ correction to the $N = \infty$
relation $\chi^\prime(0)/F^2_0 = 1$ (where $F_0$ is the $\eta^\prime$ axial
vector coupling).The correction, although negative, seems too small to account
for the data. I further argue that the
$(\eta,\eta^\prime)\rightarrow\gamma\gamma$ and $J/\psi\rightarrow (\eta ,
\eta^\prime)\gamma$ decays indicate an enhancement rather than a suppression of
$F_0$. A substantial gluon-like contribution in $\langle 0\vert\partial^\mu
j^{(0)}_{\mu_5} \vert\gamma\gamma \rangle \vert_{q^2=0}$,which could parallel a
similar one in the corresponding nucleon matrix element,is suggested.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 14:50:13 GMT""}]","2009-10-28"
"hep-ph/9607205","Gilberto Colangelo","Gilberto Colangelo","Comparison of Lattice and Chiral Perturbation Theory calculations of
  pion scattering lengths","Plain Latex, 7 pages, 2 figures","Phys.Lett. B395 (1997) 289-292","10.1016/S0370-2693(97)00057-9","BUTP--96/15","hep-ph hep-lat",,"  I compare the lattice calculation of Fukugita et al. for the pion S-wave
scattering lengths to the predictions of Chiral Perturbation Theory to two loop
accuracy. I find good agreement, despite the use of the quenched approximation
in the lattice calculation.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 15:01:13 GMT""}]","2009-10-28"
"hep-ph/9607207",,"Jonathan L. Rosner","Prominent Decay Modes of a Leptophobic Z'","7 pages, latex, no figures. Version to be published in Phys. Lett B","Phys.Lett. B387 (1996) 113-117","10.1016/0370-2693(96)01022-2","CERN-TH/96-169, EFI-96-25","hep-ph",,"  An anomaly-free U(1) charge $Q'$ has recently been identified within the
group E$_6$ for which the familiar leptons (the left- and right-handed electron
and the left-handed neutrino) have $Q' = 0$. It is pointed out that the $Q'$
charges of several {\it exotic} leptons within E$_6$ matter multiplets are
quite large, leading to the prediction that half of the decays of the so-called
``leptophobic'' $Z'$ bosons coupling to $Q'$ are to these exotic leptons. Other
large $Q'$ charges include those of standard up-type quarks and exotic
down-type quarks. Substantial forward-backward asymmetries are expected in $u
\bar u \to Z' \to f \bar f$ channels when $f$ is a standard up-type quark, an
exotic down-type quark, or an exotic lepton.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 15:59:28 GMT""},{""version"":""v2"",""created"":""Tue, 2 Jul 1996 15:55:40 GMT""},{""version"":""v3"",""created"":""Tue, 30 Jul 1996 07:56:50 GMT""}]","2009-10-28"
"hep-th/9606189",,"Yoshiharu Kawamura and Tatsuo Kobayashi","Flat Directions in $Z_{2n}$ Orbifold Models","43 pages, latex, no figures","Nucl.Phys. B481 (1996) 539-576","10.1016/S0550-3213(96)00533-0","DPSU-96-10, INS-Rep-1149","hep-th hep-ph",,"  We study generic features related to matter contents and flat directions in
$Z_{2n}$ orbifold models. It is shown that $Z_{2n}$ orbifold models have
massless conjugate pairs, $R$ and $\overline R$, in certain twisted sectors as
well as one of untwisted subsectors. Using these twisted sectors, $Z_{2n}$
orbifold models are classified into two types. Conjugate pairs, $R$ and
$\overline R$, lead to $D$-flatness as $\langle R \rangle = \langle \overline R
\rangle \neq 0$. We investigate generic superpotentials derived from orbifold
models so as to show that this direction is indeed a flat direction.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 01:52:16 GMT""}]","2009-10-30"
"hep-th/9607001","Yoon Soo Myung","H.W. Lee, Y.S. Myung (Inje University), Jin Young Kim (Dongseo
  University) and D.K. Park (Kyungnam University)","Propagating waves in an extremal black string","Minor corrections, 11 pages in ReVTeX, no figures","Mod.Phys.Lett. A12 (1997) 545-552","10.1142/S021773239700056X","INJE-TP-96-4","hep-th",,"  We investigate the black string in the context of the string theories. It is
shown that the graviton is the only propagating mode in the (2+1)--dimensional
extremal black string background. Both the dilation and axion turn out to be
non-propagating modes.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 06:18:13 GMT""},{""version"":""v2"",""created"":""Tue, 9 Jul 1996 07:41:28 GMT""},{""version"":""v3"",""created"":""Mon, 24 Mar 1997 04:03:17 GMT""}]","2009-10-30"
"hep-th/9607002","Noriaki Kitazawa","Noriaki Kitazawa (Tokyo Metropolitan University)","An analysis on a supersymmetric chiral gauge theory with no flat
  direction","20 pages, uses revtex.sty","Nucl.Phys. B479 (1996) 336-352","10.1016/0550-3213(96)00437-3","TMUP-HEL-9608","hep-th hep-ph",,"  The low energy effective theory of the N=1 supersymmetric SU(5) gauge theory
with chiral superfields in the 5* and 10 representations is constructed.
Instead of postulating the confinement of SU(5) (confining picture), only the
confinement of its subgroup SU(4) is postulated (Higgs picture), and the
effective fields are SU(4)-singlet but SU(5)-variant. The classical scalar
potential which ensures unique supersymmetric vacuum at the classical level is
incorporated into the Kaehler potential of the effective fields. We show that
supersymmetry and all other global symmetry are spontaneously broken. The
scales of these symmetry breaking and the particle spectrum including
Nambu-Goldstone particles are explicitly calculated, and no large scale
hierarchy is found.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 11:53:31 GMT""}]","2009-10-30"
"hep-th/9607003",,"Roberto Zucchini","Reducibility and Gribov Problem in Topological Quantum Field Theory","37 pages, Plain TeX, no figures, requires AMS font files AMSSYM.DEF
  and AMSSYM.TEX, final version to appear in CMP, minor changes","Commun.Math.Phys. 185 (1997) 723-751","10.1007/s002200050108","DFUB 96--15","hep-th",,"  In spite of its simplicity and beauty, the Mathai-Quillen formulation of
cohomological topological quantum field theory with gauge symmetry suffers two
basic problems: $i$) the existence of reducible field configurations on which
the action of the gauge group is not free and $ii$) the Gribov ambiguity
associated with gauge fixing, i. e. the lack of global definition on the space
of gauge orbits of gauge fixed functional integrals. In this paper, we show
that such problems are in fact related and we propose a general completely
geometrical recipe for their treatment. The space of field configurations is
augmented in such a way to render the action of the gauge group free and
localization is suitably modified. In this way, the standard Mathai--Quillen
formalism can be rigorously applied. The resulting topological action contains
the ordinary action as a subsector and can be shown to yield a local quantum
field theory, which is argued to be renormalizable as well. The salient feature
of our method is that the Gribov problem is inherent in localization, and thus
can be dealt with in a completely equivariant setting, whereas gauge fixing is
free of Gribov ambiguities. For the stratum of irreducible gauge orbits, the
case of main interest in applications, the Gribov problem is solvable.
Conversely, for the the strata of reducible gauge orbits, the Gribov problem
cannot be solved in general and the obstruction may be described in the
language of sheaf theory. The formalism is applied to the Donaldson--Witten
model.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 13:24:09 GMT""},{""version"":""v2"",""created"":""Sat, 26 Oct 1996 09:21:53 GMT""}]","2009-10-30"
"hep-th/9607004","Hugo Montani","H. Montani and R. Trinchero","Quantum mechanics over a q-deformed (0+1)-dimensional superspace","11 pages, Latex","Int.J.Mod.Phys. A13 (1998) 4173-4182","10.1142/S0217751X98001979",,"hep-th",,"  We built up a explicit realization of (0+1)-dimensional q-deformed superspace
coordinates as operators on standard superspace. A q-generalization of
supersymmetric transformations is obtained, enabling us to introduce scalar
superfields and a q-supersymmetric action. We consider a functional integral
based on this action. Integration is implemented, at the level of the
coordinates and at the level of the fields, as traces over the corresponding
representation spaces. Evaluation of these traces lead us to standard
functional integrals. The generation of a mass term for the fermion field
leads, at this level, to an explicitely broken version of supersymmetric
quantum mechanics.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 14:47:29 GMT""}]","2009-10-30"
"hep-th/9607007",,"A.V. Smilga (ITEP, Moscow)","Two-Dimensional Instantons with Bosonization and Physics of Adjoint
  $QCD_2$","36 pages, LaTeX. References added","Phys.Rev.D54:7757-7773,1996","10.1103/PhysRevD.54.7757","ITEP - TH - 21/96","hep-th",,"  We evaluate partition functions $Z_I$ in topologically nontrivial (instanton)
gauge sectors in the bosonized version of the Schwinger model and in a gauged
WZNW model corresponding to $QCD_2$ with adjoint fermions. We show that the
bosonized model is equivalent to the fermion model only if a particular form of
the WZNW action with gauge-invariant integrand is chosen. For the exact
correspondence, it is necessary to integrate over the ways the gauge group
$SU(N)/Z_N$ is embedded into the full $O(N^2 - 1)$ group for the bosonized
matter field. For even $N$, one should also take into account the contributions
of both disconnected components in $O(N^2 - 1)$. In that case, $Z_I \propto
m^{n_0}$ for small fermion masses where $2n_0$ coincides with the number of
fermion zero modes in a particular instanton background. The Taylor expansion
of $Z_I/m^{n_0}$ in mass involves only even powers of $m$ as it should. The
physics of adjoint $QCD_2$ is discussed. We argue that, for odd $N$, the
discrete chiral symmetry $Z_2 \otimes Z_2$ present in the action is broken
spontaneously down to $Z_2$ and the fermion condensate $<\bar{\lambda}
\lambda>_0$ is formed. The system undergoes a first order phase transition at
$T_c = 0$ so that the condensate is zero at an arbitrary small temperature. It
is not yet quite clear what happens for even $N \geq 4$.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 12:51:32 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jul 1996 11:12:35 GMT""}]","2008-11-26"
"math/9607218","Akihiko Yukie","Akihiko Yukie, Roger Zierau, Dave Witte","Prehomogeneous vector spaces and ergodic theory II",,,,"OSU Math 1996-12","math.RT",,"  We apply M. Ratner's theorem on closures of unipotent orbits to the study of
three families of prehomogeneous vector spaces. As a result, we prove analogues
of the Oppenheim Conjecture for simultaneous approximation by values of certain
alternating bilinear forms in an even number of variables and certain
alternating trilinear forms in six and seven variables.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 00:00:00 GMT""}]","2016-09-06"
"math/9607219","Dave Witte","Dave Witte","Cocycle superrigidity for ergodic actions of non-semisimple Lie groups",,,,"OSU Math 1996-13","math.RT math.DS",,"  Suppose $L$ is a semisimple Levi subgroup of a connected Lie group~$G$, $X$
is a Borel $G$-space with finite invariant measure, and $\alpha \colon X \times
G \to \GL_n(\real)$ is a Borel cocycle. Assume $L$ has finite center, and that
the real rank of every simple factor of~$L$ is at least two. We show that if
$L$ is ergodic on~$X$, and the restriction of~$\alpha$ to~$X \times L$ is
cohomologous to a homomorphism (modulo a compact group), then, after passing to
a finite cover of~$X$, the cocycle $\alpha$ itself is cohomologous to a
homomorphism (modulo a compact group).
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 00:00:00 GMT""}]","2016-09-06"
"math/9607220","Dave Witte","Dave Witte","Correction to ""Measurable quotients of unipotent translations on
  homogeneous spaces",,,,"OSU Math 1996-14","math.RT",,"  The statements of Main~Theorem~1.1 and Theorem~2.1 of the author's paper
[\emph{Trans.\ Amer.\ Math.\ Soc.}\ {\bf 345} (1994) 577--594] should assume
that $\Gamma $~is discrete and $G$~is connected. (Cors.~1.3, 5.6, and~5.8 are
affected similarly.) These restrictions can be removed if the conclusions of
the results are weakened to allow for the possible existence of transitive,
proper subgroups of~$G$. In this form, the results can be extended to the
setting where $G$ is a product of real and $p$-adic Lie groups.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 00:00:00 GMT""}]","2009-09-25"
"math/9607221","Dave Witte","Dave Witte","Superrigid subgroups of solvable Lie groups",,,,"OSU Math 1996-16","math.RT",,"  Let $\Gamma$ be a discrete subgroup of a simply connected, solvable Lie
group~$G$, such that $\Ad_G\Gamma$ has the same Zariski closure as $\Ad G$. If
$\alpha \colon \Gamma \to \GL_n(\real)$ is any finite-dimensional
representation of~$\Gamma $,we show that $\alpha$ virtually extends to a
continuous representation~$\sigma $ of~$G$. Furthermore, the image of~$\sigma$
is contained in the Zariski closure of the image of~$\alpha $.
  When $\Gamma$ is not discrete, the same conclusions are true if we make the
additional assumption that the closure of $[\Gamma, \Gamma]$ is a finite-index
subgroup of $[G,G] \cap \Gamma$ (and $\Gamma$ is closed and $\alpha$ is
continuous).
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 00:00:00 GMT""}]","2009-09-25"
"math/9607222","Dave Witte","Dave Witte","Correction to ""Zero-entropy affine maps on homogeneous spaces",,,,"OSU Math 1996-17","math.RT",,"  Proposition~6.4 of the author's paper {\origpaper} is incorrect. This invalid
proposition was used in the proof of Corollary~6.5, so we provide a new proof
of the latter result.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 00:00:00 GMT""}]","2016-09-06"
"math/9607229","Keith A. Kearnes","Keith A. Kearnes (University of Arkansas), {\AA}gnes Szendrei (Bolyai
  Institute)","Self-rectangulating varieties of type 5",,,,"FI-MT1996-004","math.RA",,"  We show that a locally finite variety which omits abelian types is
self-regulating if and only if it has a compatible semilattice term operation.
Such varieties must have a type-set {5}. These varieties are residually small
and, when they are finitely generated, they have definable principal
congruences. We show that idempotent varieties with a compatible semilattice
term operation have the congruence extension property.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 00:00:00 GMT""}]","2009-09-25"
"nucl-th/9606061","Kalman Varga","K. Varga, Y. Suzuki, K. Arai and Y. Ogawa","Microscopic description of light unstable nuclei with the stochastic
  variational method","11 pages, latex, no figures.",,"10.1016/S0375-9474(97)00105-X","1996N2","nucl-th",,"  The structure of the light proton and neutron rich nuclei is studied in a
microscopic multicluster model using the stochastic variational method. This
approach enables us to describe the weakly bound nature of these nuclei in a
consistent way. Applications for various nuclei $^{6-9}$Li, $^7$Be, $^8$B,
$^9$C, $^{9-10}$Be, $^{9-10}$B presented. The paper discusses the relation of
this model to other models as well as the possible extension for p and sd shell
nuclei.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 05:27:13 GMT""}]","2009-10-30"
"nucl-th/9607001","Kelly","James J. Kelly (University of Maryland)","Nuclear Transparency to Intermediate-Energy Protons","uuencoded gz-compressed tar file containing revtex and bbl files and
  5 postscript figures, totalling 31 pages. Uses psfig","Phys.Rev.C54:2547-2562,1996","10.1103/PhysRevC.54.2547",,"nucl-th",,"  Nuclear transparency in the (e,e'p) reaction for 135 < Tp < 800 MeV is
investigated using the distorted wave approximation. Calculations using
density-dependent effective interactions are compared with phenomenological
optical potentials. Nuclear transparency is well correlated with proton
absorption and neutron total cross sections. For Tp < 300 MeV there is
considerable sensitivity to the choice of optical model, with the empirical
effective interaction providing the best agreement with transparency data. For
Tp > 300 MeV there is much less difference between optical models, but the
calculations substantially underpredict transparency data and the discrepancy
increases with A. The differences between Glauber and optical model
calculations are related to their respective definitions of the semi-inclusive
cross section. By using a more inclusive summation over final states the
Glauber model emphasizes nucleon-nucleon inelasticity, whereas with a more
restrictive summation the optical model emphasizes nucleon-nucleus
inelasticity; experimental definitions of the semi-inclusive cross section lie
between these extremes.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 15:41:31 GMT""}]","2008-11-26"
"plasm-ph/9607001","A. Y. Potekhin","A.Y.Potekhin (Ioffe Phys.-Tech. Institute, http://www.ioffe.rssi.ru)","Ionization equilibrium of hot hydrogen plasma","11 pages, REVTeX, 5 embedded PostScript figures (necessary sty-files
  included), tarred, gzipped. Accepted for Physics of Plasmas","Phys. of Plasmas 3 (1996) 4156","10.1063/1.871547",,"plasm-ph astro-ph physics.plasm-ph",,"  The hydrogen plasma is studied at temperatures T ~ 10^4 - 10^6 K using the
free energy minimization method. A simple analytic free energy model is
proposed which is accurate at densities up to 1 g/cc and yields convergent
internal partition function of atoms. The occupation probability formalism is
modified for solving the ionization equilibrium problem. The ionization degree
and equation of state are calculated and compared with the results of other
models.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 06:49:09 GMT""}]","2009-10-30"
"q-alg/9606025","Dror Bar-Natan","Dror Bar-Natan (http://www.ma.huji.ac.il/~drorbn)","Polynomial Invariants are Polynomial","AMSLaTeX+epic.sty+eepic.sty, 7 pages",,,,"q-alg math.QA",,"  We show that (as conjectured by Lin and Wang) when a Vassiliev invariant of
type $m$ is evaluated on a knot projection having $n$ crossings, the result is
bounded by a constant times $n^m$. Thus the well known analogy between
Vassiliev invariants and polynomials justifies (well, at least {\em explains})
the odd title of this note.
","[{""version"":""v1"",""created"":""Sun, 30 Jun 1996 20:12:46 GMT""}]","2008-02-03"
"q-alg/9606026","Noureddine Hambli","N. Hambli, J. Michelson and R. T. Sharp","Character States and Generator Matrix Elements for $Sp(4) \supset SU(2)
  \times U(1)$: Generic Representation","Latex, 22 pages, one figure using epsf","Journal of mathematical physics June 01 1996 v 37 n 6 p 3022",,,"q-alg math.QA",,"  A new set of polynomial states (to be called character states) are derived
for $Sp(4)$ reduced to its $SU(2) \times U(1)$ subgroup, and the relevant
generator matrix elements are evaluated for generic representations $(a,b)$ of
$Sp(4)$. (The degenerate representations $(a,0)$ and $(0,b)$ were treated in
our previous work and are also given in this paper). The group--subgroup in
question is that of the seniority model of nuclear physics.
","[{""version"":""v1"",""created"":""Sun, 30 Jun 1996 23:19:04 GMT""}]","2008-02-03"
"q-alg/9607001","Dror Bar-Natan","Dror Bar-Natan (http://www.ma.huji.ac.il/~drorbn)","Vassiliev and Quantum Invariants of Braids","LaTeX2e+epic.sty+eepic.sty, 14 pages",,,,"q-alg math.QA",,"  We prove that braid invariants coming from quantum gl(N) separate braids, by
recalling that these invariants (properly decomposed) are all Vassiliev
invariants, showing that all Vassiliev invariants of braids arise in this way,
and reproving that Vassiliev invariants separate braids. We discuss some
corollaries of this result and of our method of proof.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 07:08:21 GMT""}]","2008-02-03"
"q-alg/9607002","Julius Wess","J. Wess","Quantum groups and q-lattices in phase space","6 pages, Postscript",,"10.1016/0920-5632(96)00314-3",,"q-alg math.QA",,"  Quantum groups lead to an algebraic structure that can be realized on quantum
spaces. These are noncommutative spaces that inherit a well defined
mathematical structure from the quantum group symmetry. In turn such quantum
spaces can be interpreted as noncommutative configuration spaces for physical
systems which carry a symmetry like structure. These configuration spaces will
be generalized to noncommutative phase space. The definition of the
noncommutative phase space will be based on a differential calculus on the
configuration space which is compatible with the symmetry. In addition a
conjugation operation will be defined which will allow us to define the phase
space variables in terms of algebraically selfadjoint operators. An interesting
property of the phase space observables will be that they will have a discrete
spectrum. These noncommutative phase space puts physics on a lattice structure.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 13:12:50 GMT""}]","2009-10-30"
"q-alg/9607003","Jan Felipe Van Diejen","Jan F. van Diejen, Jasper V. Stokman","Multivariable q-Racah polynomials","AMS-LaTeX v1.2, 38 pages","Duke Math. J. 91 (1998), 89--136","10.1215/S0012-7094-98-09106-2","CRM-2369 (Centre de Recherches Mathematiques, Montreal); OP-SF 1 Jul
  1996","q-alg math.CA math.QA",,"  The Koornwinder-Macdonald multivariable generalization of the Askey-Wilson
polynomials is studied for parameters satisfying a truncation condition such
that the orthogonality measure becomes discrete with support on a finite grid.
For this parameter regime the polynomials may be seen as a multivariable
counterpart of the (one-variable) $q$-Racah polynomials. We present the
discrete orthogonality measure, expressions for the normalization constants
converting the polynomials into an orthonormal system (in terms of the
normalization constant for the unit polynomial), and we discuss the limit $q\to
1$ leading to multivariable Racah type polynomials. Of special interest is the
situation that $q$ lies on the unit circle; in that case it is found that there
exists a natural parameter domain for which the discrete orthogonality measure
(which is complex in general) becomes real-valued and positive. We investigate
the properties of a finite-dimensional discrete integral transform for
functions over the grid, whose kernel is determined by the multivariable
$q$-Racah polynomials with parameters in this positivity domain.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 04:51:40 GMT""}]","2010-09-28"
"quant-ph/9607001","Ludger Hannibal","Ludger Hannibal (University of Oldenburg, Germany)","Geometric Foundation of Spin and Isospin","9 pages Latex",,,,"quant-ph gr-qc",,"  Various theories of spinning particles are interpreted as realizing elements
of an underlying geometric theory. Classical particles are described by
trajectories on the Poincare group. Upon quantization an eleven-dimensional
Kaluza-Klein type theory is obtained which incorporates spin and isospin in a
local SL(2,C) x U(1) x SU(2) theory with broken U(1)x SU(2) part.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 08:11:32 GMT""}]","2007-05-23"
