"adap-org/9607001","Moshe Levi","M. Levy and S. Solomon (http://shum.huji.ac.il/~sorin/)","Power Laws are Logarithmic Boltzmann Laws","latex, 9 pages with 3 figures",,"10.1142/S0129183196000491",,"adap-org cond-mat hep-lat nlin.AO",,"  Multiplicative random processes in (not necessaryly equilibrium or steady
state) stochastic systems with many degrees of freedom lead to Boltzmann
distributions when the dynamics is expressed in terms of the logarithm of the
normalized elementary variables. In terms of the original variables this gives
a power-law distribution. This mechanism implies certain relations between the
constraints of the system, the power of the distribution and the dispersion law
of the fluctuations. These predictions are validated by Monte Carlo simulations
and experimental data. We speculate that stochastic multiplicative dynamics
might be the natural origin for the emergence of criticality and scale
hierarchies without fine-tuning.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 11:17:12 GMT""}]","2009-10-28"
"hep-th/9607115","Takehisa Fujita","Takehisa Fujita, Kenji Yamamoto, Yasuyuki Sekiguchi","A new interpretation of Bethe ansatz solutions for massive Thirring
  model","36 pages, Latex, no figures","Annals Phys.255:204-227,1997","10.1006/aphy.1996.5657","NUP-A-96-7","hep-th",,"  We reexamine Bethe ansatz solutions of the massive Thirring model. We solve
equations of periodic boundary conditions numerically without referring to the
density of states. It is found that there is only one bound state in the
massive Thirring model. The bound state spectrum obtained here is consistent
with Fujita-Ogura's solutions of the infinite momentum frame prescription.
Further, it turns out that there exist no solutions for string-like
configurations. Instead, we find boson boson scattering states in 2-particle
2-hole configurations where all the rapidity variables turn out to be real.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 07:06:39 GMT""}]","2014-11-18"
"hep-th/9607116","Leszek Hadasz","Henryk Arodz and Leszek Hadasz (Jagellonian Univ., Cracow)","Backreaction of excitations on a vortex","LaTeX, 18 pages, no figures","Phys.Rev. D55 (1997) 942-950","10.1103/PhysRevD.55.942","TPJU 10/96","hep-th cond-mat hep-ph",,"  Excitations of a vortex are usually considered in a linear approximation
neglecting their backreaction on the vortex. In the present paper we
investigate backreaction of Proca type excitations on a straightlinear vortex
in the Abelian Higgs model. We propose exact Ansatz for fields of the excited
vortex. From initial set of six nonlinear field equations we obtain (in a limit
of weak excitations) two linear wave equations for the backreaction
corrections. Their approximate solutions are found in the cases of plane wave
and wave packet type excitations. We find that the excited vortex radiates
vector field and that the Higgs field has a very broad oscillating component.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 10:10:29 GMT""}]","2009-10-30"
"hep-th/9607117","Diamantis George","C. Chiou-Lahanas, G.A. Diamandis, B.C. Georgalas, A. Kapella-Economou
  and X.N. Maintas","Backreaction Effects in the Two-Dimensional Dilaton Gravity","16 pages,LATEX, four figures available upon request","Phys.Rev.D54:6226-6232,1996","10.1103/PhysRevD.54.6226","UA-NPPS 15/96","hep-th",,"  In this work we find static black hole solutions in the context of the
two-dimensional dilaton gravity, which is modified by the addition of an $R^2$
term. This term arises from the one-loop effective action of a massive scalar
field in its large mass expansion. The basic feature of this term is that it
does not contribute to the Hawking radiation of the classical black hole
backgrounds of the model. From this point of view a class of the solutions
derived are interpreted as describing backreaction effects. In particular it is
argued that evolution of a black hole via non-thermal signals is possible.
Nevertheless this evolution seems to be 'soft', in the sense that it does not
lead to the evaporation of a black hole, leaving the Hawking radiation as the
dominant mechanism for this process.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 12:00:09 GMT""}]","2011-09-09"
"hep-th/9607118","Udo Zueckert","H. Reinhardt","Yang-Mills Theory In Axial Gauge","43 pages REVTeX, 6 figures","Phys.Rev. D55 (1997) 2331-2346","10.1103/PhysRevD.55.2331","UNITU-THEP-09/1996","hep-th",,"  The Yang-Mills functional integral is studied in an axial variant of 't
Hooft's maximal Abelian gauge. In this gauge Gau\ss ' law can be completely
resolved resulting in a description in terms of unconstrained variables.
Compared to previous work along this line starting with work of Goldstone and
Jackiw one ends up here with half as many integration variables, besides a
field living in the Cartan subgroup of the gauge group and in D-1 dimension.
The latter is of particular relevance for the infrared behaviour of the theory.
Keeping only this variable we calculate the Wilson loop and find an area law.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 13:47:09 GMT""}]","2009-10-30"
"hep-th/9607119","Nsc Kipt","S.N. Roshchupkin and A. A. Zheltukhin","On a Possibility of Membrane Cosmology","8 pages, LATEX. Submitted to Class.Quantum Grav",,,,"hep-th",,"  Tensionless null p-branes in arbitrary cosmological backgrounds are
considered and their motion equations are solved. It is shown that an ideal
fluid of null p-branes may be considered as a source of gravity for
D-dimensional Friedmann- Robertson-Walker universes.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 08:28:33 GMT""}]","2007-05-23"
"hep-th/9607120",,"R.Poghossian","Structure Constants in the $N=1$ Super-Liouville Field Theory","LaTeX file, 17 pages, no figures","Nucl.Phys. B496 (1997) 451-464","10.1016/S0550-3213(97)00218-6",,"hep-th",,"  The symmetry algebra of $N=1$ Super-Liouville field theory in two dimensions
is the infinite dimensional $N=1$ superconformal algebra, which allows one to
prove, that correlation functions, containing degenerated fields obey some
partial linear differential equations. In the special case of four point
function, including a primary field degenerated at the first level, this
differential equations can be solved via hypergeometric functions. Taking into
account mutual locality properties of fields and investigating s- and t-
channel singularities we obtain some functional relations for three- point
correlation functions. Solving this functional equations we obtain three-point
functions in both Neveu-Schwarz and Ramond sectors.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 12:43:09 GMT""}]","2009-10-30"
"hep-th/9607127","Sergey Mayburov","S.N. Mayburov","Quantum Space-Time Transformations and Reference Frames States","10 pages, Latex, Proc. of 6th Quantum Gravity Seminar, Moscow (World
  Scientific, Singapore, 1996)",,,,"hep-th gr-qc quant-ph",,"  We argue that correct account of the quantum properties of macroscopic
objects which form reference frames (RF) demand the change of the standard
space-time picture accepted in Quantum Mechanics. Galilean or Lorentz
space-time transformations are shown to become incorrect in this case and for
the description of transformations between different RF the special quantum
space-time transformations are introduced. Consequently it results in the
generalised Schrodinger equation which depends on the observer mass. The
experiments with macroscopic coherent states are proposed in which this effects
can be tested.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 14:21:16 GMT""}]","2007-05-23"
"math/9607226","Shelah Office","John T. Baldwin, Saharon Shelah","Randomness and semigenericity",,"Trans. Amer. Math. Soc. 349 (1997), 1359-1376",,"Shelah [BlSh:528]","math.LO",,"  Let L contain only the equality symbol and let L^+ be an arbitrary finite
symmetric relational language containing L . Suppose probabilities are defined
on finite L^+ structures with ''edge probability'' n^{- alpha}. By T^alpha, the
almost sure theory of random L^+-structures we mean the collection of
L^+-sentences which have limit probability 1. T_alpha denotes the theory of the
generic structures for K_alpha, (the collection of finite graphs G with
delta_{alpha}(G)=|G|- alpha. | edges of G | hereditarily nonnegative.)
  THEOREM: T_alpha, the almost sure theory of random L^+-structures is the same
as the theory T_alpha of the K_alpha-generic model. This theory is complete,
stable, and nearly model complete. Moreover, it has the finite model property
and has only infinite models so is not finitely axiomatizable.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 00:00:00 GMT""}]","2016-09-06"
"math/9607227","Shelah Office","Saharon Shelah","Historic iteration with aleph_epsilon-support",,,,"Shelah [Sh:538]","math.LO",,"  One aim of this work is to get a universe in which weak versions of Martin
axioms holds for some forcing notions of cardinality aleph_0, aleph_1 and
aleph_2 while on aleph_2 club, the ``small'' brother of diamond, holds. As a
consequence we get the consistency of ``there is no Gross space''. Another aim
is to present a case of ``Historic iteration''.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 00:00:00 GMT""}]","2008-02-03"
"math/9607228","Shelah Office","John T. Baldwin, Saharon Shelah","DOP and FCP in generic structures",,,,"Shelah [BlSh:567]","math.LO",,"  Spencer and Shelah [ShSp:304] constructed for each irrational alpha between 0
and 1 the theory T^alpha as the almost sure theory of random graphs with edge
probability n^{- alpha}. In [BlSh:528] we proved that this was the same theory
as the theory T_alpha built by constructing a generic model in Baldwin and Shi.
In this paper we explore some of the more subtle model theoretic properties of
this theory. We show that T^alpha has the dimensional order property and does
not have the finite cover property.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 00:00:00 GMT""}]","2016-09-06"
"mtrl-th/9607008","Stumpf R. R.","Roland Stumpf (Sandia National Labs)","Reconstructions and faceting of H-covered Al(111)","6 pages, 2 figures, submitted to Phys. Rev. Lett",,,,"mtrl-th cond-mat.mtrl-sci",,"  First principles calculations show that H overlayers induce a honeycomb
vacancy reconstruction on Al(111). Above one ML H coverage, Al(111) facets into
surfaces vicinal to (111), with {100} faceted single and double steps and
vacancies on the {111} terraces. These H induced reconstructions are stable
because H binds more strongly to {100} than to {111} facets. Faceting of
Al(111) explains step bunching in H-mediated epitaxy of Al(111). H-covered
Al(100) is stable against faceting.
","[{""version"":""v1"",""created"":""Sun, 14 Jul 1996 23:12:25 GMT""},{""version"":""v2"",""created"":""Fri, 19 Jul 1996 20:18:12 GMT""}]","2008-02-03"
"nucl-th/9607022",,"Siwen Wang and Manoj K. Banerjee (University of Maryland, College
  Park, MD USA)","Meson-Baryon-Baryon Vertex Function and the Ward-Takahashi Identity","A 20 pages Latex file and 16 Postscript figures in an uuencoded
  format. Use epsf.sty to include the figures into the Latex file","Phys.Rev.C54:2883-2893,1996","10.1103/PhysRevC.54.2883",,"nucl-th",,"  Ohta proposed a solution for the well-known difficulty of satisfying the
Ward-Takahashi identity for a photo-meson-baryon-baryon amplitude ($\gamma$MBB)
when a dressed meson-baryon-baryon (MBB) vertex function is present. He
obtained a form for the $\gamma$MBB amplitude which contained, in addition to
the usual pole terms, longitudinal seagull terms which were determined entirely
by the MBB vertex function. He arrived at his result by using a Lagrangian
which yields the MBB vertex function at tree level. We show that such a
Lagrangian can be neither hermitian nor charge conjugation invariant. We have
been able to reproduce Ohta's result for the $\gamma$MBB amplitude using the
Ward-Takahashi identity and no other assumption, dynamical or otherwise, and
the most general form for the MBB and $\gamma$MBB vertices. However, contrary
to Ohta's finding, we find that the seagull terms are not robust. The seagull
terms extracted from the $\gamma$MBB vertex occur unchanged in tree graphs,
such as in an exchange current amplitude. But the seagull terms which appear in
a loop graph, as in the calculation of an electromagnetic form factor, are, in
general, different. The whole procedure says nothing about the transverse part
of the ($\gamma$MBB) vertex and its contributions to the amplitudes in
question.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 03:23:00 GMT""}]","2008-11-26"
"nucl-th/9607023","Alberto Megnoni","A. Mengoni, T. Otsuka, T. Nakamura, and M. Ishihara","Exotic Properties of Light Nuclei and their Neutron Capture Cross
  Sections","Contribution to the 4th International Seminar on Interaction of
  Neutrons with Nuclei, Dubna (Russia), April 1996",,"10.1016/S0375-9474(97)00264-9",,"nucl-th",,"  We have investigated the implications of the neutron halo configuration,
observed in the ground-state of some neutron-rich light nuclei, on neutron
radiative transition processes. In particular, we have studied the influence of
the neutron halo on the direct radiative capture (DRC) process. The energy
dependence as well as the strength of E1 emission due to incident p-wave
neutrons is strongly influenced by the halo configuration of the residual
nucleus capturing state. We have compared the calculated 10Be(n,gamma)11Be DRC
cross section with that derived from the experiment in the inverse kinematics
(Coulomb dissociation of 11Be). We show from the comparison that some important
information on the structure of the halo nucleus 11Be can be derived.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 05:03:15 GMT""}]","2009-10-30"
"nucl-th/9607024","Mccsnrw","R. Guardiola, P. I. Moliner, J. Navarro, R.F. Bishop, A. Puente, Niels
  R. Walet","Translationally invariant treatment of pair correlations in nuclei: I.
  Spin and isospin dependent correlations","23 pages, 1 postscript figure. Uses elsart.cls and epsfig.sty","Nucl.Phys. A609 (1996) 218-236","10.1016/0375-9474(96)00315-6","UMIST/Phys/TP/96-3","nucl-th",,"  We study the extension of our translationally invariant treatment of few-body
nuclear systems to heavier nuclei. At the same time we also introduce
state-dependent correlation operators. Our techniques are tailored to those
nuclei that can be dealt with in $LS$ coupling, which includes all nuclei up to
the shell closure at $A=40$. We study mainly $p$-shell nuclei in this paper. A
detailed comparison with other microscopic many-body approaches is made, using
a variety of schematic nuclear interactions. It is shown that our methodology
produces very good energies, and presumably also wave functions, for medium
mass nuclei.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 14:28:39 GMT""}]","2009-10-30"
"q-alg/9607015","Jean-Yves Thibon","Alain Lascoux, Bernard Leclerc and Jean-Yves Thibon","Flag varieties and the Yang-Baxter equation","14 pages, latex. To appear in Lett. Math. Phys",,,,"q-alg math.QA",,"  We investigate certain bases of Hecke algebras defined by means of the
Yang-Baxter equation, which we call Yang-Baxter bases. These bases are
essentially self-adjoint with respect to a canonical bilinear form. In the case
of the degenerate Hecke algebra, we identify the coefficients in the expansion
of the Yang-Baxter basis on the usual basis of the algebra with specializations
of double Schubert polynomials. We also describe the expansions associated to
other specializations of the generic Hecke algebra.
","[{""version"":""v1"",""created"":""Sun, 14 Jul 1996 23:48:48 GMT""}]","2008-02-03"
"q-alg/9607016","Paulo Teotonio-Sobrinho","Elisa Ercolessi, Giovanni Landi, Paulo Teotonio-Sobrinho","Noncommutative Lattices and the Algebra of their Continuous Functions","31 pages, latex","Rev.Math.Phys. 10 (1998) 439-466",,"ESI-356","q-alg hep-th math.QA",,"  Recently a new kind of approximation to continuum topological spaces has been
introduced, the approximating spaces being partially ordered sets (posets) with
a finite or at most a countable number of points. The partial order endows a
poset with a nontrivial non-Hausdorff topology. Their ability to reproduce
important topological information of the continuum has been the main motivation
for their use in quantum physics. Posets are truly noncommutative spaces, or
{\it noncommutative lattices}, since they can be realized as structure spaces
of noncommutative $C^*$-algebras. These noncommutative algebras play the same
role of the algebra of continuous functions ${\cal C}(M)$ on a Hausdorff
topological space $M$ and can be thought of as algebras of operator valued
functions on posets. In this article, we will review some mathematical results
that establish a duality between finite posets and a certain class of
C$^*$-algebras. We will see that the algebras in question are all postliminal
approximately finite dimensional (AF) algebras.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 12:49:09 GMT""},{""version"":""v2"",""created"":""Wed, 17 Jul 1996 13:01:53 GMT""}]","2008-02-03"
"q-alg/9607017","Paulo Teotonio-Sobrinho","Elisa Ercolessi, Giovanni Landi, Paulo Teotonio-Sobrinho","K-Theory of Noncommutative Lattices","25 pages, latex",,,"ESI-293","q-alg hep-th math.QA",,"  Noncommutative lattices have been recently used as finite topological
approximations in quantum physical models. As a first step in the construction
of bundles and characteristic classes over such noncommutative spaces, we shall
study their $K$-theory. We shall do it algebraically, by studying the algebraic
$K$-theory of the associated algebras of `continuous functions' which turn out
to be noncommutative approximately finite dimensional (AF) $C^*$-algebra . We
also work out several examples.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 13:19:02 GMT""},{""version"":""v2"",""created"":""Wed, 17 Jul 1996 13:11:59 GMT""}]","2008-02-03"
"q-alg/9607018","Charilaos Aneziris","Charilaos Aneziris","Developing Computer Programs for Knot Classification","Plain TeX (no figures), to be presented on Knots 96, Tokyo, Japan",,,,"q-alg math.QA",,"  In this paper we summarise the work discussed in Ref. [1] and [2]
(q-alg/9505003), in which we introduced a method helpful in solving the problem
of knot classification. We also present results obtained since then.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 15:17:47 GMT""}]","2008-02-03"
"q-alg/9607019","Stefan Waldmann","Martin Bordemann, Stefan Waldmann","Formal GNS Construction and States in Deformation Quantization","Revised Version, 35 Pages, Latex2e",,,"FR-THEP 96/12","q-alg math.QA",,"  In this paper we develop a method of constructing Hilbert spaces and the
representation of the formal algebra of quantum observables in deformation
quantization which is an analog of the well-known GNS construction for complex
$C^*$-algebras: in this approach the corresponding positive linear functionals
(`states') take their values not in the field of complex numbers, but in (a
suitable extension field of) the field of formal complex Laurent series in the
formal parameter. By using the algebraic and topological properties of these
fields we prove that this construction makes sense and show in physical
examples that standard representations as the Bargmann and Schr\""odinger
representation come out correctly, both formally and in a suitable convergence
scheme. For certain Hamiltonian functions (contained in the Gel'fand ideal of
the positive functional) a formal solution to the time-dependent Schr\""odinger
equation is shown to exist. Moreover, we show that for every K\""ahler manifold
equipped with the Fedosov star product of Wick type all the classical delta
functionals are positive and give rise to some formal Bargmann representation
of the deformed algebra.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 15:20:33 GMT""},{""version"":""v2"",""created"":""Tue, 18 Nov 1997 14:40:47 GMT""}]","2008-02-03"
"quant-ph/9607012","Hong-Chen FU","Hong-Chen Fu and Ryu Sasaki","Generalized Binomial States: Ladder Operator Approach","LaTeX-2e, 11 pages, no figure. Accepted for publication in
  J.Phys.A:math.Gen","J.Phys.A29:5637-5644,1996","10.1088/0305-4470/29/17/034","YITP-96-25","quant-ph",,"  We show that the binomial states (BS) of Stoler {\it et al.} admit the ladder
and displacement operator formalism. By generalizing the ladder operator
formalism we propose an eigenvalue equation which possesses the number and the
squeezed states as its limiting solutions. The explicit forms of the solutions,
to be referred to as the {\it generalized binomial states} (GBS), are given.
Corresponding to the wide range of the eigenvalue spectrum these GBS have as
widely different properties. Their limits to number and {\it squeezed} states
are investigated in detail. The time evolution of BS is obtained as a special
case of the approach.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 08:55:33 GMT""}]","2008-11-26"
"solv-int/9607002","Kenji Kajiwara","Kenji Kajiwara (Dept. of Elect. Engin., Doshisha Univ.) and Yasuhiro
  Ohta (Dept. Appl. Math., Hiroshima Univ.)","Determinant Structure of the Rational Solutions for the Painlev\'e II
  Equation","16 pages LaTeX. To appear in J. Math. Phys.(1996)",,"10.1063/1.531648",,"solv-int nlin.SI",,"  Two types of determinant representations of the rational solutions for the
Painlev\'e II equation are discussed by using the bilinear formalism. One of
them is a representation by the Devisme polynomials, and another one is a
Hankel determinant representation. They are derived from the determinant
solutions of the KP hierarchy and Toda lattice, respectively.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 02:48:12 GMT""}]","2009-10-30"
