"alg-geom/9607023","Stefan Mueller-Stach","Pedro Luis del Angel and Stefan M\""uller-Stach","Motives of uniruled 3-folds","Latex with amsfonts, 12 pages",,,,"alg-geom math.AG",,"  We construct projectors in the ring of correspondences of a complex uniruled
3-fold $X$ which lift the Kuenneth components of the diagonal in singular
cohomology and have other properties which were conjectured by J. Murre. Such
Murre decompositions have been already obtained for curves, surfaces, abelian
varieties and varieties with cell decompositions by the work of Manin,
Shermenev, Beauville, Murre et.al.. In particular they define a natural
filtration on the Chow groups of $X$ which was conjectured by Bloch and
Beilinson. To do this we use Mori theory and construct projectors in the
situation of a fiber space over a surface. These projectors may also be used in
more general situations.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 12:39:46 GMT""}]","2014-10-24"
"cond-mat/9607162","Andrea Baldassarri","Andrea Baldassarri","Non-equilibrium Monte Carlo dynamics of the Sherrington-Kirkpatrick mean
  field spin glass model","20 pages, LaTeX2e, 11 figures, epsf.sty. Also available at
  ftp://hpteo.roma1.infn.it/pub/preprints/andreab/sk-offeq.tar.gz",,,,"cond-mat",,"  We present a numerical study of the non-equilibrium dynamics of the
Sherrington-Kirkpatrick model. We analize the overlap distribution between the
configurations visited at the time t and in particular its scaling behaviour
with the size of the system. We find two different non-equilibrium dynamical
regimes. The first is a proper Out of Equilibrium Regime, that is the relevant
regime for the dynamics of an infinite system. The second is an Intermediate
Regime that separates the Out of Equilibrium Regime from equilibrium. After
studying the crossover beetween the two regimes, we focus on the Out of
Equilibrium Regime and we reveal some of the geometrical features of phase
space. According to recent analitical work, we find that the asymptotic out of
equilibrium energy density is the equilibrium one. The same happens to the
staggered-magnetisation, suggesting there is a deep geometrical similarity
between equilibrium and out of equilibrium configurations. A procedure, that we
call clonation, shows that the dynamics follows sort of canyons, as opposed to
a system of independent traps.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 12:58:51 GMT""}]","2007-05-23"
"cond-mat/9607163","John Cardy","John Cardy","Renormalisation group approach to reaction-diffusion problems","13 pages, LaTeX. (A few minor typos corrected in revised version.)",,,"JC-96-7","cond-mat",,"  This is the text of a talk given at the conference in memory of Claude
Itzykson at Saclay in June 1996. It contains an introductory survey and an
account of recent developments in the field theoretic RG approach to
reaction-diffusion problems.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 15:44:06 GMT""},{""version"":""v2"",""created"":""Wed, 11 Sep 1996 16:10:08 GMT""}]","2008-02-03"
"cond-mat/9607173",,"Sudhansu S. Mandal and V. Ravishankar","Activated resistivities in the integer quantum Hall effect","4 Postscrip Figures available upon request",,"10.1103/PhysRevB.55.15748",,"cond-mat",,"  We have determined the off-diagonal and diagonal conductivities for a quantum
Hall effect system at exactly integer filling at finite temperatures and in the
presence of weak short ranged disorder potential within the self consistent
Born approximation. We find that there is a finite temperature contribution to
off-diagonal conductivity $\sigma_{xy}$ which is `anomalous' in nature as it
survives even in the zero impurity limit. The diagonal conductivity
$\sigma_{xx}$ survives only when both temperature and disorder is non zero. At
low temperatures, $\sigma_{xx}$ activates with a temperature dependent
prefactor. Inverting the conductivity matrix, we determine the resistivities.
The deviation of the off-diagonal resistivity $\rho_{xy}$ from its zero
temperature value and the diagonal resistivity $\rho_{xx}$ activate with a
temperature dependent prefactor at low temperatures, in agreement with
experiments. Further, we find two physical regimes both of which are at low
temperatures and low broadening, which provide the experimentally observed
linear relationship between the deviation of $\rho_{xy}$ and the $\rho_{xx}$
with different signs. We have also estimated the effective masses from the
experimental data of $\rho_{xy}$ and find them to be reasonable. Finally, our
result on compressibility as a function of temperature shows that there is no
phase transition involved in the system as far as the temperature is concerned.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 14:04:13 GMT""}]","2009-10-28"
"gr-qc/9607047",,"Fran\c{c}ois Goy","Non-Invariant Velocity of Light and Clock Synchronisation in Accelerated
  Systems","10 pages, Latex type, 2 figures; contribution to the London
  conference on Physical Interpretations of Relativity Theory (6-9/09/1996)",,,,"gr-qc",,"  Clock synchronisation is conventional when inertial systems are involved.
This statement is no longer true in accelerated systems. A demonstration is
given in the case of a rotating platform. We conclude that theories based on
the Einstein's clock synchronisation procedure are unable to explain, for
example, the Sagnac effect on the platform. Implications on very precise clock
synchronisation on earth are discussed.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 17:47:38 GMT""}]","2007-05-23"
"gr-qc/9607048","Bill Hiscock","Daniel J. Loranz and William A. Hiscock (Montana State University)","Quantized fields and temperature in charged dilatonic black hole
  spacetimes","10 page, ReVTeX","Phys.Rev. D55 (1997) 3893-3896","10.1103/PhysRevD.55.3893",,"gr-qc",,"  The stress-energy tensor of a quantized scalar field is computed in the
reduced two-dimensional charged dilatonic black hole spacetime of Garfinkle,
Horowitz, and Strominger. In order for the stress-energy of quantized fields to
be regular on the event horizon in both the extreme string metric and the
conformally associated physical metric, it is necessary to assign a nonzero
temperature, T = (8 pi e^{phi_0} M)^{-1}, to the extreme string metric,
contrary to the expectation that this horizonless spacetime would have a
natural temperature of zero.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 17:49:38 GMT""}]","2009-10-28"
"gr-qc/9607049","Reza Mansouri","M. Khorrami, M. Mansouri, M. Mohazzab","A Decrumpling Model of the Universe","4 pages, Latex file, contribution to Journees Relativistes 96","Helv.Phys.Acta 69 (1996) 237-240",,,"gr-qc",,"  Assuming a cellular structure for the space-time, we propose a model in which
the expansion of the universe is understood as a decrumpling process, much like
the one we know from polymeric surfaces. The dimension of space is then a
dynamical real variable. The generalized Friedmann equation, derived from a
Lagrangian, and the generalized equation of continuity for the matter content
of the universe, give the dynamics of our model universe. This leads to an
oscillatory non-singular model with two turning points for the dimension of
space.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 11:47:10 GMT""}]","2007-05-23"
"gr-qc/9607050","S. R. Schreckenberg","S. Schreckenberg","Symmetries of Decoherence Functionals","Submitted to Jour.Math.Phys.; 12 pages; Latex-document","J.Math.Phys. 38 (1997) 759-769","10.1063/1.531889","Imperial/TP/95-96/49","gr-qc quant-ph",,"  The basic ingredients of the `consistent histories' approach to quantum
theory are a space $\UP$ of `history propositions' and a space $\D$ of
`decoherence functionals'. In this article we consider such history quantum
theories in the case where $\UP$ is given by the set of projectors $\P(\V)$ on
some Hilbert space $\V$. Using an analogue of Wigner's Theorem in the context
of history quantum theories proven earlier, we develop the notion of a
`symmetry of a decoherence functional' and prove that all such symmetries form
a group which we call `the symmetry group of a decoherence functional'. We
calculate---for the case of history quantum mechanics---some of these
symmetries explicitly and relate them to some discussions that have appeared
previously.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 13:00:41 GMT""}]","2009-10-28"
"gr-qc/9607051","S. R. Schreckenberg","S. Schreckenberg","Symmetry and History Quantum Theory: An analogue of Wigner's Theorem","To appear in Jour.Math.Phys.; 25 pages; Latex-document","J.Math.Phys. 37 (1996) 6086-6105","10.1063/1.531765","Imperial/TP/95-96/40","gr-qc quant-ph",,"  The basic ingredients of the `consistent histories' approach to quantum
theory are a space $\UP$ of `history propositions' and a space $\D$ of
`decoherence functionals'. In this article we consider such history quantum
theories in the case where $\UP$ is given by the set of projectors $\P(\V)$ on
some Hilbert space $\V$. We define the notion of a `physical symmetry of a
history quantum theory' (PSHQT) and specify such objects exhaustively with the
aid of an analogue of Wigner's theorem. In order to prove this theorem we
investigate the structure of $\D$, define the notion of an `elementary
decoherence functional' and show that each decoherence functional can be
expanded as a certain combination of these functionals. We call two history
quantum theories that are related by a PSHQT `physically equivalent' and show
explicitly, in the case of history quantum mechanics, how this notion is
compatible with one that has appeared previously.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 13:00:40 GMT""}]","2009-10-28"
"gr-qc/9607052","Akihiro Ishibashi","Kengo Maeda and Akihiro Ishibashi","Strong Cosmic Censorship and Causality Violation","corrected version, 8 pages, one eps figure is included","Phys.Rev. D56 (1997) 2094-2099","10.1103/PhysRevD.56.2094",,"gr-qc",,"  We investigate the instability of the Cauchy horizon caused by causality
violation in the compact vacuum universe with the topology $B\times {\bf
S}^{1}\times {\bf R}$, which Moncrief and Isenberg considered. We show that if
the occurrence of curvature singularities are restricted to the boundary of
causality violating region, the whole segments of the boundary become curvature
singularities. This implies that the strong cosmic censorship holds in the
spatially compact vacuum space-time in the case of the causality violation.
This also suggests that causality violation cannot occur for a compact
universe.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 15:39:04 GMT""},{""version"":""v2"",""created"":""Mon, 27 Jan 1997 08:01:31 GMT""}]","2009-10-28"
"gr-qc/9607053","3","Donald E. Neville","Closed-Flux Solutions to the Constraints for Plane Gravity Waves","18 pages; LaTex","Phys.Rev.D55:2069-2075,1997","10.1103/PhysRevD.55.2069","TU-3-7-96","gr-qc",,"  The metric for plane gravitational waves is quantized within the Hamiltonian
framework, using a Dirac constraint quantization and the self-dual field
variables proposed by Ashtekar. The z axis (direction of travel of the waves)
is taken to be the entire real line rather than the torus (manifold
coordinatized by (z,t) is RxR rather than $S_1$ x R). Solutions to the
constraints proposed in a previous paper involve open-ended flux lines running
along the entire z axis, rather than closed loops of flux; consequently, these
solutions are annihilated by the Gauss constraint at interior points of the z
axis, but not at the two boundary points. The solutions studied in the present
paper are based on closed flux loops and satisfy the Gauss constraint for all
z.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 15:51:08 GMT""}]","2011-09-09"
"gr-qc/9607054","Nils Andersson","Nils Andersson and Hisashi Onozawa","Quasinormal modes of nearly extreme Reissner-Nordstrom black holes","3 postscript figures","Phys.Rev. D54 (1996) 7470-7475","10.1103/PhysRevD.54.7470",,"gr-qc",,"  We present detailed calculations of the quasinormal modes of
Reissner-Nordstrom black holes. While the first few, slowly damped, modes
depend on the charge of the black hole in a relatively simple way, we find that
the rapidly damped modes show several peculiar features. The higher modes
generally spiral into the value for the extreme black hole as the charge
increases. We also discuss the possible existence of a purely imaginary mode
for the Schwarzschild black hole: Our data suggest that there is a quasinormal
mode that limits to $\omega M = -2i$ as $Q\to 0$.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 15:59:20 GMT""}]","2009-10-28"
"gr-qc/9607055","Jack Gegenberg","J. Gegenberg, G. Kunstatter, and T. Strobl","Statistical Mechanical Entropy of Two-Dimensional Black Holes","Important acknowledgments added; typos corrected. Uses sprocl.sty",,,,"gr-qc hep-th",,"  We calculate the statistical mechanical entropy associated with boundary
terms in the two-dimensional Euclidean black holes in deSitter gravity.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 15:58:58 GMT""},{""version"":""v2"",""created"":""Fri, 14 Mar 1997 14:36:43 GMT""}]","2008-02-03"
"hep-lat/9607050","Hugo Fort","J. M. Aroca (Universitat Polit\`ecnica de Catalunya), H. Fort and R.
  Gambini (Facultad de Ciencias, Montevideo, Uruguay)","Worldsheet Formulation for Lattice Staggered Fermions","18 pages, REVTEX, 6 Encapsulated Postscript figures using psfig,
  major changes in text, figures and references",,,,"hep-lat hep-th",,"  The worldsheet formulation is introduced for lattice gauge theories with
dynamical fermions. The partition function of lattice compact QED with
staggered fermions is expressed as a sum over surfaces with border on
self-avoiding fermionic paths. The surfaces correspond to the world sheets of
loop-like pure electric flux excitations and meson-like configurations (open
electric flux tubes carrying matter fields at their ends). The proposed
formulation does not have the problem of the additional doubling of the fermion
species due to the discretization of time. The gauge non-redundancy and the
geometric transparency are two appealing features of this description. From the
computational point of view, the partition function involves fewer degrees of
freedom than the Kogut-Susskind formulation and offers an alternative and more
economic framework to perform numerical computations with dynamical fermions.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 17:03:38 GMT""},{""version"":""v2"",""created"":""Tue, 9 Sep 1997 22:12:37 GMT""}]","2008-02-03"
"hep-lat/9607051","Karl Jansen","Karl Jansen","Recent Developments in Fermion Simulation Algorithms","Plenary talk given at the International Symposium on Lattice Field
  Theory, 4-8 June 1996, St. Louis, Mo, USA, Latex, 3 Figures, 7 pages","Nucl.Phys.Proc.Suppl. 53 (1997) 127-133","10.1016/S0920-5632(96)00606-8","DESY-96-141","hep-lat",,"  A summary of recent developments in the field of simulation algorithms for
dynamical fermions is given.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 08:55:40 GMT""}]","2009-10-28"
"hep-lat/9607052","Hermann Dilger","Hermann Dilger (Universit\""at M\""unster)","Topological transitions in the euclidean 2d U(1)-Higgs model","Talk presented at LATTICE96(topology), 3 pages, latex2e, 3 postscript
  figures, uses packages epsfig and espcrc2","Nucl.Phys.Proc.Suppl. 53 (1997) 590-592","10.1016/S0920-5632(96)00727-X","MS-TPI-96-12","hep-lat",,"  The two-dimensional U(1)-gauged Higgs model is studied on an euclidean
lattice of size $L_1\times L_2$, where the temperature $T=L_2^{-1}$ is of the
order of the sphaleron mass. The simulation parameters are taken from zero
temperature results. By comparison with classical and semiclassical results I
discuss, whether the sphaleron transition rate can be extracted from the
behavior of the Chern-Simons number and from the formation of vortices in an
euclidean simulation at high temperatures.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 09:48:09 GMT""}]","2009-10-28"
"hep-lat/9607053",,"L. Del Debbio, M. Faber, J. Greensite, S. Olejnik","Some Cautionary Remarks on Abelian Projection and Abelian Dominance","Talk presented at LATTICE96(topology) plenary session, uses psfig and
  espcrc2 packages","Nucl.Phys.Proc.Suppl.53:141-147,1997","10.1016/S0920-5632(96)00608-1",,"hep-lat",,"  Some critical remarks are presented, concerning the abelian projection theory
of quark confinement.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 15:16:29 GMT""}]","2008-11-26"
"hep-ph/9607387","Kimyeonggyun","C. S. Kim, Jae Kwan Kim, Yeong Gyun Kim and Kang Young Lee","Form Factors for Exclusive Semileptonic $B$--Decays","14 pages, LaTex file, 3 ps figure files. To be published by Int. J.
  Mod. Phys. A (1996)","Int.J.Mod.Phys. A12 (1997) 2031-2046","10.1142/S0217751X97001286","KAIST-CHEP-96/07","hep-ph",,"  We investigate the form factors for exclusive semileptonic decays of
$B$-meson to $D,~D^*$, based on the parton picture and helped by the results of
the HQET. We obtain the numerical results for the slope of the Isgur-Wise
function, which is consistent with the experimental results, and we extracte
the dependences of hadronic form factors on $q^2$ by varying input heavy quark
fragmentation function without the nearest pole dominance ans\""atze.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 20:34:47 GMT""}]","2015-06-25"
"hep-ph/9607388","Tadashi Kon","Alfred Bartl (Vienna U.), Helmut Eberl (Vienna, OAW), Keisho Hidaka
  (Tokyo-Gakugei U.), Tadashi Kon (Seikei U.), Walter Majerotto (Vienna, OAW)
  and Yoichi Yamada (U. Wisconsin)","Impact of squark pair decay modes on search for supersymmetric neutral
  Higgs bosons","15 pages, LaTeX, also available at
  ftp://physics.ge.seikei.ac.jp/Pub/preprint/itpsu9603.uu (uuencoded
  postscript)","Phys.Lett. B389 (1996) 538-544","10.1016/S0370-2693(96)01312-3","UWThPh-1996-44, HEPHY-PUB 650/96, TGU-18, ITP-SU-96/03, MADPH-96-952","hep-ph",,"  We present a detailed study of the decays of the neutral Higgs bosons $H^0$
and $A^0$ within the Minimal Supersymmetric Standard Model. We find that the
supersymmetric modes ${\tilde{t}}\bar{\tilde{t}}$ and
${\tilde{b}}\bar{\tilde{b}}$ can dominate the $H^0$ and $A^0$ decays in a wide
range of the model parameters due to large Yukawa couplings and mixings of
${\tilde{t}}$ and ${\tilde{b}}$. Compared to the conventional modes $t\bar{t}$
and $b\bar{b}$, these modes have very distinctive signatures. This could have a
decisive impact on the neutral Higgs boson searches at future colliders.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 04:14:01 GMT""}]","2009-10-28"
"hep-ph/9607391","Kim ChungWook","C.W. Kim (JHU)","Neutrino Physics: Fundamentals of Neutrino Oscillations","Lecture presented at KOSEF(Korea)-JSPS(Japan) Joint Winter School,
  Seoul Korea (Feb.1996), 10 pages in RevTex",,,"DFTT 33/95, JHU--TIPAC 95018","hep-ph",,"  In this lecture we review some of the basic properties of neutrinos, in
particular their mass and the oscillation behavior. First we discuss how to
describe the neutrino mass. Then, under the assumption that neutrinos are
massive and mixed, the fundamentals of the neutrino oscillations are discussed
with emphasis on subtle aspects which have been overlooked in the past. We then
review the terrestrial neutrino oscillation experiments in the framework of
three generations of neutrinos with the standard mass hierarchy. Finally, a
brief summary of the current status of the solar and atmospheric neutrino
problems will be given.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 22:47:56 GMT""}]","2007-05-23"
"hep-ph/9607393","Mike Seymour","G. Marchesini (Milano), B.R. Webber (Cambridge), G. Abbiendi (Padova),
  I.G. Knowles (Glasgow), M.H. Seymour (CERN), L. Stanco (Padova)","HERWIG version 5.9","57k of gzipped ASCII text. The source code and more information can
  be obtained from http://surya11.cern.ch/users/seymour/herwig/",,,,"hep-ph hep-ex",,"  HERWIG (Hadron Emission Reactions With Interfering Gluons) is a multipurpose
Monte Carlo event generator for the simulation of hard collisions between
hadrons, leptons and photons. This note describes the new features of version
5.9. These include adding over 100 new particles, 1800 new decay modes and
supporting new decay types. A complete space-time picture, including heavy
meson mixing and secondary decays, is available for all event types and
includes an optional colour rearrangement model. Initial state radition of
photons in e^+e^- is is now included. Many other processes and features have
been upgraded.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 17:05:37 GMT""}]","2007-05-23"
"hep-ph/9607394","Andrew Cohen","A.G. Cohen, D.B. Kaplan, A.E. Nelson","The More Minimal Supersymmetric Standard Model","17 pages, harvmac The revised version corrects the discussion of
  squark mass constraints from FCNC and includes additional references","Phys.Lett. B388 (1996) 588-598","10.1016/S0370-2693(96)01183-5","BU/HEP-96-21, DOE/ER/40561-270-INT96-00-131, UW/PT-96-10","hep-ph",,"  Effective Supersymmetry is presented as a theory of physics above the
electroweak scale which has significant theoretical advantages over both the
standard model and the Minimal Supersymmetric Standard Model (MSSM). The theory
is supersymmetric at short distances but differs significantly from the MSSM.
Flavor symmetry violation is intimately related to supersymmetry breaking.
There is a new physics scale $\mt\sim$~5--20 TeV which sets the mass of the
first two sparticle families. Supersymmetric sources of CP violation and flavor
changing neutral currents for the first two families are suppressed. Effective
Supersymmetry can be implemented with automatic suppression of baryon and
lepton number violation and a dynamically generated $\mu$ term, while
maintaining naturalness in the Higgs sector. There are implications for new
particle searches, flavor and CP violation experiments, as well as for the
construction of theories of flavor and dynamical supersymmetry breaking.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 03:59:39 GMT""},{""version"":""v2"",""created"":""Mon, 12 Aug 1996 21:20:16 GMT""}]","2009-10-28"
"hep-ph/9607395","Misak Sargsyan","L. L. Frankfurt, E. Piasetzky, M. M. Sargsian and M. I. Strikman","On the Possibility to Study Color Transparency in the Large Momentum
  Transfer Exclusive $d(p,2p)n$ Reaction","33 pages Latex file, 12 eps figures, uses epsfig.sty","Phys.Rev.C56:2752-2766,1997","10.1103/PhysRevC.56.2752","TAUP-2356-96","hep-ph",,"  The deuteron disintegration at high energies and large angles in the
$d(p,2p)n$ reaction, is calculated in kinematical conditions where the dominant
contributions are due to soft rescatterings of the initial and final nucleons,
which accompany the hard $pp$ reaction. The eikonal approximation, which
accounts for relativistic kinematics as dictated by Feynman diagrams, reveals
the important role played by the initial and final state interactions in the
angular and momentum dependences of the differential cross section. Based on
these results, we propose a new and effective test, at moderate energies, of
the physics relevant for the color transparency phenomenon in hadron-initiated
exclusive hard processes.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 19:29:52 GMT""}]","2008-11-26"
"hep-ph/9607396","John Morris","J. R. Morris and D. Bazeia","Supersymmetry Breaking and Fermi Balls","13 pages, revtex, to appear in Phys. Rev. D","Phys.Rev. D54 (1996) 5217-5222","10.1103/PhysRevD.54.5217",,"hep-ph astro-ph hep-th",,"  A simple model is presented where the disappearance of domain walls and the
associated production of ``Fermi balls'', which have been proposed as
candidates for cold dark matter, are features which arise rather naturally in
response to softly broken supersymmetry.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 20:49:15 GMT""}]","2009-10-28"
"hep-ph/9607397",,"Michael Dine, Yosef Nir and Yuri Shirman","Variations on Minimal Gauge Mediated Supersymmetry Breaking","22 pages, 1 Postscript figure included, uses harvmac, epsf. Two
  references corrected","Phys.Rev.D55:1501-1508,1997","10.1103/PhysRevD.55.1501","SCIPP 96/30, WIS-96/29/Jul-PH","hep-ph",,"  We study various modifications to the minimal models of gauge mediated
supersymmetry breaking. We argue that, under reasonable assumptions, the
structure of the messenger sector is rather restricted. We investigate the
effects of possible mixing between messenger and ordinary squark and slepton
fields and, in particular, violation of universality. We show that acceptable
values for the $\mu$ and $B$ parameters can naturally arise from discrete,
possibly horizontal, symmetries. We claim that in models where the
supersymmetry breaking parameters $A$ and $B$ vanish at tree level, $\tan\beta$
could be large without fine tuning. We explain how the supersymmetric CP
problem is solved in such models.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 06:12:18 GMT""},{""version"":""v2"",""created"":""Wed, 31 Jul 1996 06:18:20 GMT""}]","2014-11-17"
"hep-ph/9607398","Arkadii A. Kozhevnikov","N.N.Achasov and A.A.Kozhevnikov (Laboratory of Theoretical Physics,
  S.L.Sobolev Institute for Mathematics)","Heavy Isovector Resonances in e^+e^- annihilation, in the decay
  J/psi-->pi^+pi^-pi^0 and in the reaction K^-p-->pi^+pi^-Lambda","17 pages, ReVTeX, 7 Postscript figures","Phys.Atom.Nucl.60:1011-1019,1997; Yad.Fiz.60:1131-1140,1997",,"IM SB RAS NNA-4-96","hep-ph hep-ex",,"  The results of an analysis are presented of some recent data on the reactions
$e^+e^-\to\pi^+\pi^-\pi^+\pi^-$, $e^+e^-\to\pi^+\pi^-\pi^0\pi^0$ with the
subtracted $\omega\pi^0$ events, $e^+e^-\to\omega\pi^0$, $e^+e^-\to\eta
\pi^+\pi^-$, $e^+e^-\to\pi^+\pi^-$, $J/\psi\to\pi^+\pi^-\pi^0$ and
$K^-p\to\pi^+\pi^-\Lambda$, upon taking into account both the strong energy
dependence of the partial widths on energy and the previously neglected mixing
of the $\rho$ type resonances. The above effects are shown to exert an
essential influence on the specific values of masses and coupling constants of
heavy resonances and hence are necessary to be accounted for in establishing
their true nature.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 12:29:23 GMT""}]","2014-11-17"
"hep-ph/9607399","Krzysztof Golec-Biernat","K.Golec-Biernat and J.Kwiecinski","Subleading Reggeons in Deep Inelastic Diffractive Scattering at HERA","6 pages, LaTEX, 1 eps figure","Phys.Rev.D55:3209-3211,1997","10.1103/PhysRevD.55.3209","INP-1734/PH","hep-ph",,"  The contribution of subleading reggeons to the diffractive structure function
${dF_{2}^D / dx_{\funp} dt}$ is estimated from the soft physics data. This
contribution leads in a natural way to the violation of the factorization
property of the diffractive structure function.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 13:13:35 GMT""}]","2008-11-26"
"hep-ph/9607400","Jose Ramon Espinosa","D. Comelli (Valencia U.) and J.R. Espinosa (DESY)","New limits on the mass of neutral Higgses in General Models","14 pages, LaTeX","Phys.Lett. B388 (1996) 793-802","10.1016/S0370-2693(96)01200-2","DESY 96-133, FTUV/96-43, IFIC/96-51, IEM-FT-136/96","hep-ph",,"  In general electroweak models with weakly coupled (and otherwise arbitrary)
Higgs sector there always exists in the spectrum a scalar state with mass
controlled by the electroweak scale. A new and simple recipe to compute an
analytical tree-level upper bound on the mass of this light scalar is given. We
compare this new bound with similar ones existing in the literature and show
how to extract extra information on heavier neutral scalars in the spectrum
from the interplay of independent bounds. Production of these states at future
colliders is addressed and the implications for the decoupling limit in which
only one Higgs is expected to remain light are discussed.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 13:15:31 GMT""}]","2009-10-28"
"hep-ph/9607401","J. W. F. Valle","J. C. Romao (IST, Lisbon), A. Ioannissyan and J.W.F. Valle (U.
  Valencia, IFIC/CSIC)","Supersymmetric Unification with Radiative Breaking of R-parity","latex file, 4 pages, 2 figures","Phys.Rev.D55:427-430,1997","10.1103/PhysRevD.55.427","FTUV/96-xx; IFIC/96-xx","hep-ph",,"  We show how R-parity can break spontaneously as a result of radiative
corrections in unified N=1 supergravity models. We illustrate this with a
concrete rank-four unified model, where the spontaneous breaking of R-parity is
accompanied by the existence of a physical majoron. We determine the resulting
supersymmetric particle mass spectrum and show that R-parity-breaking signals
may be detectable at LEP200.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 13:13:25 GMT""}]","2009-09-17"
"hep-ph/9607403","Antonio Riotto","A. Riotto, E. Roulet and I. Vilja","Preheating and vacuum metastability in Supersymmetry","13 pages, LaTeX file","Phys.Lett. B390 (1997) 73-79","10.1016/S0370-2693(96)01380-9","FERMILAB-Pub-96/170-A","hep-ph",,"  The constraints imposed by the requirement that the scalar potential of
supersymmetric theories does not have unbounded directions and charge or color
breaking minima deeper than the usual electroweak breaking minimum (EWM) are
significantly relaxed if one just allows for a metastable EWM but with a
sufficiently long lifetime. For this to be acceptable one needs however to
explain how the vacuum state reaches this metastable configuration in the first
place. We discuss the implications for this issue of the inflaton induced
scalar masses, of the supersymmetry breaking effects generated during the
preheating stage as well as of the thermal corrections to the scalar potential
which appear after reheating. We show that their combined effects may
efficiently drive the scalar fields to the origin, allowing them to then evolve
naturally towards the EWM.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 15:29:27 GMT""}]","2009-10-28"
"hep-th/9607172","Binetruy","P. Binetruy and E.A. Dudas","Gaugino condensation and the anomalous $U(1)$","13 pages","Phys.Lett. B389 (1996) 503-509","10.1016/S0370-2693(96)01305-6","LPTHE-ORSAY 96/60, Saclay T96/075","hep-th",,"  We study gaugino condensation in presence of an anomalous $U(1)$ gauge group
and find that global supersymmetry is dynamically broken. An example of
particular interest is provided by effective string models with 4-dimensional
Green-Schwarz anomaly cancellation mechanism. The structure of the hidden
sector is constrained by the anomaly cancellation conditions and the scale of
gaugino condensation is shifted compared with the usual case. We explicitly
compute the resulting soft supersymmetry breaking terms.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 17:49:33 GMT""}]","2009-10-30"
"hep-th/9607173","Marcelo Ubriaco","Marcelo R. Ubriaco","High and low temperature behavior of a quantum group fermion gas","LaTeX file, 14 pages, 2 figures, uses psfig.sty","Mod.Phys.Lett. A11 (1996) 2325-2334","10.1142/S0217732396002319",,"hep-th",,"  We consider the simplest $SU_{q}(2)$ invariant fermionic hamiltonian and
calculate the low and high temperature behavior for the two distinct cases
$q>1$ and $q<1$. For low temperatures we find that entropy values for the Fermi
case are an upper bound for those corresponding to $q\neq 1$. At high
temperatures we find that the sign of the second virial coefficient depends on
$q$, and vanishes at $q=1.96$.
  An important consequence of this fact is that the parameter $q$ connects the
fermionic and bosonic regions, showing therefore that $SU_{q}(2)$ fermions
exhibit fractional statistics in three spatial dimensions.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 16:59:00 GMT""}]","2015-06-26"
