"alg-geom/9607014",,"Eriko Hironaka","Torsion Points on an Algebraic Subset of an Affine Torus","LaTeX, 25 pages, 4 figures. email: eko@math.toronto.edu",,,,"alg-geom math.AG",,"  Work of Laurent and Sarnak, following a conjecture of Lang, shows that the
number of torsion points of order n on an algebraic subset of an affine complex
torus is polynomial periodic. In this paper, we find bounds on the degree and
period of this number as a function of n. Some examples, including the number
of n torsion points on Fermat curves, are computed to illustrate the methods.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 23:33:34 GMT""}]","2008-02-03"
"hep-ph/9607354","Bing An Li","Bing An Li (Univ. of Kentucky)","Tau mesonic decays and strong anomaly of PCAC","27 pages","Phys.Rev.D55:1425-1435,1997","10.1103/PhysRevD.55.1425","UK/96-05","hep-ph",,"  Strong anomaly of the PCAC is found in $\tau\rightarrow\omega \pi\pi\nu$ and
$\omega\rho\nu$ in the chiral limit. It originates in WZW anomaly. Theoretical
result of $\tau\rightarrow\omega\pi\pi\nu$ agrees with data well and the
measurement of $\tau\rightarrow\omega\rho\nu$ will confirm the strong anomaly
of PCAC. The strong anomaly of PCAC is studied.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 15:36:33 GMT""}]","2014-11-17"
"hep-th/9607137","Gary Shiu","Zurab Kakushadze, Gary Shiu, and S.-H. Henry Tye","Asymmetric Non-Abelian Orbifolds and Model Building","30 pages, Revtex 3.0","Phys.Rev. D54 (1996) 7545-7560","10.1103/PhysRevD.54.7545","Cornell preprint CLNS 96/1414","hep-th",,"  The rules for the free fermionic string model construction are extended to
include general non-abelian orbifold constructions that go beyond the real
fermionic approach. This generalization is also applied to the asymmetric
orbifold rules recently introduced. These non-abelian orbifold rules are quite
easy to use. Examples are given to illustrate their applications.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 19:56:08 GMT""}]","2009-10-30"
"hep-th/9607139","Peter Mayr","A. Klemm, P. Mayr and C. Vafa","BPS States of Exceptional Non-Critical Strings","29 pages, 1 figure, references added, to appear in the proceedings of
  the conference ""Advanced Quantum Field Theory'' (in memory of Claude
  Itzykson)",,"10.1016/S0920-5632(97)00422-2","HUTP-96/A031, CERN-TH-96-184","hep-th",,"  We study the BPS states of non-critical strings which arise for zero size
instantons of exceptional groups. This is accomplished by using F-theory and
M-theory duals and by employing mirror symmetry to compute the degeneracy of
membranes wrapped around 2-cycles of the Calabi-Yau threefold. We find evidence
for a number of novel physical phenomena, including having infinitely many
light states with the first lightest state including a nearly massless
gravitino.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 03:05:38 GMT""},{""version"":""v2"",""created"":""Fri, 1 Nov 1996 23:00:53 GMT""}]","2009-10-30"
"hep-th/9607140",,"Stefano De Leo and Khaled Abdel-Khalek (Dip. di Fisica, INFN, Lecce)","Octonionic Representations of GL(8,R) and GL(4,C)","14 pages, Revtex, J. Math. Phys. (submitted)","J.Math.Phys. 38 (1997) 582-598","10.1063/1.531879",,"hep-th",,"  Octonionic algebra being nonassociative is difficult to manipulate. We
introduce left-right octonionic barred operators which enable us to reproduce
the associative GL(8,R) group. Extracting the basis of GL(4,C), we establish an
interesting connection between the structure of left-right octonionic barred
operators and generic 4x4 complex matrices. As an application we give an
octonionic representation of the 4-dimensional Clifford algebra.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 09:14:32 GMT""},{""version"":""v2"",""created"":""Thu, 18 Jul 1996 07:28:44 GMT""}]","2009-10-30"
"hep-th/9607142","Anjan Kundu","Anjan Kundu","Generation of Integrable Quantum Nonultralocal Model through Braided
  Yang-Baxter Equation","6 pages, latex, no figures, invited talk at the Int. Conf. on
  Problems in QFT ( Alushta, May 13-18, 1996), to appear in the proceedings",,,"SINP-TNP/96-12","hep-th",,"  Formulating quantum integrability for nonultralocal models (NM) parallel to
the familiar approach of inverse scattering method is a long standing problem.
After reviewing our result regarding algebraic structures of ultralocal models,
we look for the algebra underlying NM. We propose an universal equation
represented by braided Yang-Baxter equation and able to derive all basic
equations of the known models like WZWN model, nonabelian Toda chain, quantum
mapping etc. As further useful application we discover new integrable quantum
NM, e.g. mKdV model, anyonic model, Kundu-Eckhaus equation and derive SUSY
models and reflection equation from the nonultralocal view point.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 14:00:47 GMT""}]","2007-05-23"
"hep-th/9607143","Bertrand Le Roy","Viktor Abramov, Richard Kerner, Bertrand Le Roy","Hypersymmetry: a Z_3-graded generalization of supersymmetry",,"J.Math.Phys. 38 (1997) 1650-1669","10.1063/1.531821",,"hep-th",,"  We propose a generalization of non-commutative geometry and gauge theories
based on ternary Z_3-graded structures. In the new algebraic structures we
define, we leave all products of two entities free, imposing relations on
ternary products only. These relations reflect the action of the Z_3-group,
which may be either trivial, i.e. abc=bca=cab, generalizing the usual
commutativity, or non-trivial, i.e. abc=jbca, with j=e^{(2\pi i)/3}. The usual
Z_2-graded structures such as Grassmann, Lie and Clifford algebras are
generalized to the Z_3-graded case. Certain suggestions concerning the eventual
use of these new structures in physics of elementary particles are exposed.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 15:04:57 GMT""}]","2009-10-30"
"hep-th/9607144","Joseph D. Lykken","Joseph D. Lykken","String Model Building in the Age of D-Branes","LaTeX, 5 pages","Nucl.Phys.Proc.Suppl. 52A (1997) 271-275","10.1016/S0920-5632(96)00576-2",,"hep-th",,"  The string duality revolution calls into question virtually all of the
working assumptions of string model builders. A number of difficult questions
arise. I use fractional charge as an example of a criterion which one would
hope is robust beyond the weak coupling heterotic limit. Talk given at the 5th
International Workshop on Supersymmetry and Unification of Fundamental
Interactions (SUSY-96), University of Maryland, College Park, May 29 - June 1,
1996.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 15:37:04 GMT""}]","2009-10-30"
"nucl-th/9607032","Marco Bianchetti","M. Bianchetti, M. R. Quaglia, G. Colo`, P. M. Pizzochero, R. A.
  Broglia, P. F. Bortignon (Phys. Dept. and I.N.F.N., Milan, Italy)","Competition Between Particle-Hole and Particle-Particle Correlations in
  Forbidden Electron Capture: the Case of $^{123}$Te","Completely revised version, 10 pages, Latex Re-submitted to Physical
  Review Letters on April 1997. Some minor errors corrected, many experimental
  inputs used",,"10.1103/PhysRevC.56.R1675",,"nucl-th",,"  The K-electron capture half-life of $^{123}$Te has been recently measured to
be $t^K_{exp}=2.4\times 10^{19}$ yr, and constitutes the longest half-life ever
measured in a single $\beta$-transition of any nuclear species. We have
calculated this second unique forbidden transition within the framework of the
proton-neutron quasi-particle random phase approximation, making use of
Skyrme-type effective interactions. A strong cancellation effect between
particle-hole and particle-particle correlations is found. The model, without
any renormalization of the force, provides a lower limit for the K-electron
capture half-life of $\sim 10^{17}$ yr, which unambiguously rules out the old
experimental values of $10^{13} - 10^{14}$ yr. A few percent increase of the
particle-particle matrix elements of the Skyrme interaction allows to reproduce
the experimental findings.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 14:48:56 GMT""},{""version"":""v2"",""created"":""Tue, 24 Jun 1997 17:26:17 GMT""}]","2009-10-30"
"nucl-th/9607033","Boris Kopeliovich","J. Huefner (Un. Heidelberg), B.Z. Kopeliovich (MPI Heidelberg), Al.B.
  Zamolodchikov (Un. Montpellier)","Inelastic $J/\Psi$ Photoproduction off Nuclei: Gluon Enhancement or
  Double Color Exchange?","Latex file, 23 pages including 5 Postscript figures","Z.Phys. A357 (1997) 113-120","10.1007/s002180050222","MPI H-V26-1996","nucl-th hep-ph",,"  The nuclear enhancement observed in inelastic photoproduction of $J/\Psi$
should not be interpreted as evidence for an increased gluon density in nuclei.
The nuclear suppression of the production rate due to initial and final state
interactions is calculated and a novel two-step color exchange process is
proposed, which is able to explain the data.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 09:58:47 GMT""}]","2009-10-30"
"nucl-th/9607034","Boris Kopeliovich","J. Huefner (Un. Heidelberg), B.Z. Kopeliovich (MPI Heidelberg)","Towards Study of Color Transparency with Medium Energy Electron Beams","Latex file, 7 pages including 4 Postscript figures. To appear in the
  Proceedings of the Workshop on Future Physics at HERA, DESY, September 25,
  1995 -- May 31, 1996",,,"MPI H-V27-1996","nucl-th hep-ph",,"  Interference between vector mesons electroproduced at different longitudinal
coordinates leads within Glauber approximation to a $Q^2$-dependence of nuclear
effects similar to what is expected to be an onset of color transparency (CT).
We suggest such a mapping of the photon energies and virtualities, which
eliminates the undesirable $Q^2$-variation and allows to measure a net CT
effect. We develop a multichannel evolution equation, which for the first time
incorporates CT and the effects of the coherence length in the exclusive
electroproduction of vector mesons.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 15:47:00 GMT""}]","2007-05-23"
"nucl-th/9607035","Boris Kopeliovich","B.Z. Kopeliovich and B. Povh (MPI Heidelberg)","Interplay of Soft and Hard Interactions in Nuclear Shadowing at High
  $Q^2$ and Low x","Latex file, 8 pages including 4 Postscript figures. To appear in the
  Proceedings of the Workshop on Future Physics at HERA, DESY, September 25,
  1995 -- May 31, 1996","Z.Phys. A356 (1997) 467-470","10.1007/BF02769252","MPI H-V28-1996","nucl-th hep-ph",,"  Nuclear shadowing corrections are dominated by soft interaction and grow as
function of $1/x$ more slowly than the single scattering term, which has an
essential contribution from hard interaction. Therefore, we predict vanishing
nuclear shadowing at very low $x$ provided that $Q^2$ is high and fixed. At the
same time, at medium and low $Q^2$, nuclear shadowing grows with $1/x$ as is
well known for soft hadronic interactions.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 09:59:36 GMT""}]","2009-10-30"
"nucl-th/9607036","Boris Kopeliovich","B.Z. Kopeliovich (MPI Heidelberg), J. Nemchik and E. Predazzi (INFN
  Torino)","Hadronization in Nuclear Environment","Latex file, 7 pages including 6 Postscript figures. To appear in the
  Proceedings of the Workshop on Future Physics at HERA, DESY, September 25,
  1995 -- May 31, 1996",,,"MPI H-V29-1996","nucl-th hep-ph",,"  We present a space-time description of hadronization of highly virtual quarks
originating from a deep-inelastic electron scattering (DIS). Important
ingredients of our approach are the time- and energy--dependence of the density
of energy loss for gluon radiation, the Sudakov's suppression of no radiation,
and the effect of color transparency, which suppresses final state interaction
of the produced colorless wave packet. The model is in a good agreement with
available data on leading hadron production off nucleons and nuclei. The
optimal energy range for study of the hadronization dynamics with nuclear
target is found to be a few tens of GeV, particularly energies available in the
experiment HERMES.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 10:10:42 GMT""}]","2007-05-23"
"solv-int/9607004","Kirill L. Vaninsky","K.L. Vaninsky","A Convexity Theorem in the Scattering Theory for the Dirac Operator","20 pages, AMS-TEX","Trans. AMS, vol 350, no. 5, pp. 1895--1911.",,,"solv-int nlin.SI",,"  The Dirac operator enters into zero curvature representation for the cubic
nonlinear Schr\""{o}dinger equation. We introduce and study a conformal map from
the upper half-plane of the spectral parameter of the Dirac operator into
itself. The action variables turn out to be limiting boundary values of the
imaginary part of this map. We describe the image of the momentum map
(convexity theorem) in the simplest case of a potential from the Schwartz
class. We apply this description to the invariant manifolds for the nonlinear
Schr\""{o}dinger equation.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 21:07:13 GMT""}]","2008-02-03"
