"adap-org/9608001","Oleg Kupervasser","Zeev Olami, Barak Galanti, Oleg Kupervasser, Itamar Procaccia","Flame front propagation II: Random Noise and Pole-Dynamics in Unstable
  Front Propagation","20 pages, 10 figures","Phys. Rev. E 55, 2649-2663 (1997)","10.1103/PhysRevE.55.2649",,"adap-org nlin.AO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The problem of flame propagation is studied as an example of unstable fronts
that wrinkle on many scales is studied. The analytic tool of pole expansion in
the complex plane is emloyed to address the interaction of the unstable growth
process with random initial conditions and perturbations.
  We argue that the effect of random noise is immense and that it can never be
neglected in sufficiently large systems. We present simulations that lead to
scaling laws for the velocity and acceleration of the front as a function of
the system size and the level of noise, and analytic arguments that explain
these results in terms of the noisy pole dynamics.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 11:03:11 GMT""},{""version"":""v2"",""created"":""Wed, 17 Aug 2011 20:06:16 GMT""}]","2011-08-19"
"hep-lat/9608022","Konstantinos Anagnostopoulos","J. Ambjorn (Niels Bohr), K. N. Anagnostopoulos (Niels Bohr), U. Magnea
  (Nordita) and G. Thorleifsson (Syracuse U.)","Spin-spin correlation functions of spin systems coupled to 2-d quantum
  gravity for $0 < c < 1$","Talk presented at LATTICE96(gravity)","Nucl.Phys.Proc.Suppl. 53 (1997) 725-727","10.1016/S0920-5632(96)00765-7","NBI-HE-96-44","hep-lat",,"  We perform Monte Carlo simulations of 2-d dynamically triangulated surfaces
coupled to Ising and three--states Potts model matter. By measuring spin-spin
correlation functions as a function of the geodesic distance we provide
substantial evidence for a diverging correlation length at $\beta_c$. The
corresponding scaling exponents are directly related to the KPZ exponents of
the matter fields as conjectured in [4] (NPB454(1995)313).
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 12:29:43 GMT""}]","2009-10-28"
"hep-ph/9608230","Alex Pomarol","Alex Pomarol","Advantages and Disadvantages of Supersymmetry Breaking at Low Energies","6 pages, Latex, 2 figures. Talk given at the 4th International
  Conference on Supersymmetry (SUSY 96), University of Maryland, May 1996","Nucl.Phys.Proc.Suppl. 52A (1997) 210-214","10.1016/S0920-5632(96)00564-6","CERN-TH/96-212","hep-ph",,"  The breaking of supersymmetry is usually assumed to occur in a hidden sector.
Two natural candidates for the supersymmetry breaking transmission from the
hidden to the observable sector are gravity and the gauge interactions. Only
the second one allows for supersymmetry breaking at low energies. I show how
the two candidates deal with the flavor and the $\mu$-problem; I also briefly
comment on the doublet-triplet and dark matter problem.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 17:50:41 GMT""}]","2009-10-28"
"hep-ph/9608231","Sechul Oh","N.G. Deshpande, B. Dutta, and Sechul Oh","SUSY GUTs contributions and model independent extractions of CP phases","13 pages (Latex), 2 PS figures, a few remarks are added and a typo is
  corrected. To appear in Phys. Rev. Lett","Phys.Rev.Lett.77:4499-4502,1996","10.1103/PhysRevLett.77.4499","OITS-608","hep-ph",,"  We consider the origin of new phases in supersymmetric grand unification
model, and show how significant new contributions arise from the gluino
mediated diagram. We then present a more general model independent analysis of
various modes of B-decays suggested previously for measurement of the CKM
phases and point out what they really measure. It is in principle possible to
separate out all the phases.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 22:16:06 GMT""},{""version"":""v2"",""created"":""Tue, 15 Oct 1996 20:58:24 GMT""}]","2008-11-26"
"hep-ph/9608232","Gerhard Buchalla","Gerhard Buchalla","Renormalization of $\Delta B=2$ Transitions in the Static Limit Beyond
  Leading Logarithms","6 pages, LaTeX, no figures","Phys.Lett.B395:364-368,1997","10.1016/S0370-2693(97)00043-9","FERMILAB-PUB-96/212-T","hep-ph",,"  The renormalization group evolution of $\Delta B=2$ transition operators is
studied at leading order in heavy quark effective theory and at next-to-leading
order in QCD. We calculate new contributions that were not taken into account
in previous work and obtain the complete result to next-to-leading logarithmic
accuracy. The various scheme and scale dependences and their cancellation in
physical quantities are discussed explicitly.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 23:16:55 GMT""}]","2009-10-09"
"hep-ph/9608233",,"Yoshiharu Kawamura and Tatsuo Kobayashi","Generic Formula of Soft Scalar Masses in String Models","46 pages, latex, no figures","Phys.Rev. D56 (1997) 3844-3859","10.1103/PhysRevD.56.3844","DPSU-96-11, INS-Rep-1153","hep-ph hep-th",,"  We derive formula of soft supersymmetry breaking scalar masses from
4-dimensional string models within a more generic framework. We consider
effects of extra gauge symmetry breakings including an anomalous $U(1)$
breaking through flat directions, that is, $D$-term and $F$-term contributions,
particle mixing effects and heavy-light mass mixing effects. Some
phenomenological implications are discussed based on our mass formula.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 04:36:27 GMT""}]","2009-10-28"
"hep-ph/9608235","Cai-dian Lu","Cai-Dian Lu and Han-Wen Huang","QCD Corrections to $b \to s e^+e^-$ Decay","11 pages latex file, including 1 figure. To appear in Phys. Lett. B","Phys.Lett. B390 (1997) 413-419","10.1016/S0370-2693(96)01399-8","TECHNION-PH-96-18","hep-ph",,"  We give a more complete calculation of $b \to s e^+e^- $ decay including
leading log QCD corrections from $m_{top}$ to $M_W$ in addition to corrections
from $M_{W}$ to $m_b$. The differential decay rate is found to be slightly
suppressed for a large invariant mass of the $e^+e^- $ pair; while the
integrated width is slightly enhanced comparing with the results without the
QCD running from $m_{top}$ to $M_W$.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 11:15:42 GMT""},{""version"":""v2"",""created"":""Thu, 26 Sep 1996 11:59:55 GMT""}]","2009-10-28"
"hep-ph/9608236","Pietro Santorelli","Pietro Santorelli","Non-Leptonic Two-Body Weak Decays of Charmed Mesons and CP-Violating
  Asymmetries","5 pages, LaTeX file. Talk given at 3rd German-Russian Workshop on
  Progress in Heavy Quark Physics, Dubna, Russia, 20-22 May 1996",,,"Napoli Preprint DSF-34/96","hep-ph",,"  The non-leptonic two body decays of D mesons are studied in the framework of
an improved factorization approximation. The final state interaction effects
are taken into account assuming them dominated by nearby resonances. The
agreement with experimental data is quite good. CP-violating asymmetries are
predicted.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 10:32:16 GMT""}]","2007-05-23"
"hep-ph/9608237",,"Dan M{\o}nster Jensen, Jes Madsen and Michael B. Christiansen
  (Institute of Physics and Astronomy, University of Aarhus)","Color Singlet Strangelets","Talk presented at: Strangeness`96 May 15-17, Budapest, Hungary. 6
  pages in REVTeX. Uses epsf.sty for inclusion of figures.",,,,"hep-ph",,"  When considering strangelets at finite temperature it is important to obey
the constraint that any observed state must be color singlet. This constraint
results in an increase in strangelet masses as calculated at fixed entropy per
baryon. We use the color singlet partition function for an MIT bag, derived
using the group theoretical projection method, to calculate strangelet masses.
Mean shell effects are included in a liquid drop model, by using a density of
states obtained from the multiple reflection expansion. Another important
effect of the color singlet restriction, namely many orders of magnitude
suppression of thermal nucleation of quark-gluon plasma in collisions, will
also briefly be described.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 10:50:31 GMT""}]","2007-05-23"
"hep-ph/9608238","Jean-Marc Virey","P. Chiappetta","Theoretical overview on Diboson production","8 pages, latex and 3 ps figures. Invited talk given at XIth Topical
  Workshop on Proton Antiproton Collider Physics, 26 May- 1 June 1996,
  Abano-Terme (Italy)",,,"CPT-96/P.3365","hep-ph",,"  Precise measurements of weak vector bosons self couplings give a hint on the
electroweak symmetry breaking sector. We first stress that present data from
LEP and TEVATRON clearly indicate that weak bosons are self interacting. We
then review the limits on the trilinear and quadrilinear couplings expected at
LEP2, $e^+e^-$ linear colliders and LHC.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 12:11:49 GMT""}]","2007-05-23"
"hep-ph/9608239","Jean-Marc Virey","P. Chiappetta and J.-M. Virey","HERA prospects on Compositeness and New Vector Bosons","Latex file, 7 pages and 1 ps fig, few comments on others experiments
  are added, results are unchanged. To appear in Phys. Let. B","Phys.Lett. B389 (1996) 89-92","10.1016/S0370-2693(96)01245-2","CPT-96/P.3371","hep-ph",,"  The absence of deviations from the Standard Model for the differential cross
section ${d\sigma}/{dQ^2}$ at HERA is used to set limits on electron quark
compositeness scale and on new vector bosons, especially the hadrophilic one
recently introduced as a possible explanation for LEP/SLC and CDF anomalies.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 12:16:11 GMT""},{""version"":""v2"",""created"":""Thu, 19 Sep 1996 14:43:56 GMT""}]","2009-10-28"
"hep-ph/9608240",,"Agnieszka Zalewska (Institute of Nuclear Physics, Krak\'ow) and Kacper
  Zalewski (Jagellonian University and Institute of Nuclear Physics, Krak\'ow)","Heavy baryon masses","Presented at the 3rd German-Russian Workshop on Progress in Heavy
  Quark Physics, Dubna 20-22 May 1996. 5 pages, no figures, Latex file",,,,"hep-ph",,"  Simple and plausible rules are used to correlate the masses of the
ground-state baryons containing single heavy ($b$ or $c$) quarks. A comparison
with the experimental data shows that the observed mass difference between the
$\Sigma_b$ and the $\Sigma^*_b$ is unexpectedly large. Predictions for the
masses of the yet undiscovered heavy baryons are given.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 13:21:00 GMT""},{""version"":""v2"",""created"":""Wed, 7 Aug 1996 11:44:00 GMT""}]","2008-02-03"
"hep-ph/9608241","Bednyakov Vadim","V.A.Bednyakov, S.G.Kovalenko (Joint Institute for Nuclear Research)
  and H.V.Klapdor-Kleingrothaus (Max-Planck-Institut fuer Kernphysik,
  Heidelberg)","Superlight neutralino as a dark matter particle candidate","20 pages, 5 Postscript figures","Phys.Rev. D55 (1997) 503-514","10.1103/PhysRevD.55.503","JINR preprint E2-96-249","hep-ph",,"  We address the question of how light can be the lightest supersymmetric
particle neutralino to be a reliable cold dark matter (CDM) particle candidate.
To this end we have performed a combined analysis of the parameter space of the
Minimal Supersymmetric Standard Model (MSSM) taking into account cosmological
and accelerator constraints including those from the radiative $b\rightarrow
s\gamma$ decay. Appropriate grand unification (GUT) scenarios were considered.
We have found that the relaxation of gaugino mass unification is sufficient to
obtain a phenomenologically and cosmologically viable solution of the MSSM with
the neutralino as light as 3~GeV. We have found good prospects for direct
detection of these superlight CDM neutralinos via elastic scattering off
various nuclei in the forthcoming experiments with low-threshold DM detectors.
In a certain sense, these experiments can probe the gaugino mass unification
giving constraints on the possible GUT scenarios within the MSSM.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 13:37:21 GMT""}]","2009-10-28"
"hep-ph/9608242","Yang Lu","R.D. Amado and Yang Lu (PENN)","Domains of Disoriented Chiral Condensate","revtex, 2 postscript figures, submitted to Phys.Rev.D","Phys.Rev.D54:7075-7076,1996","10.1103/PhysRevD.54.7075",,"hep-ph nucl-th",,"  The probability distribution of neutral pion fraction from independent
domains of disoriented chiral condensate is characterized. The signal for the
condensate is clear for a small number of domains but is greatly reduced for
more than three.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 15:11:26 GMT""}]","2014-11-17"
"hep-th/9608024","Stephen Shenker","Michael R. Douglas, Daniel Kabat, Philippe Pouliot, and Stephen H.
  Shenker (Rutgers University)","D-branes and Short Distances in String Theory","50 pages, harvmac, 3 epsf figures. References added, minor changes in
  text","Nucl.Phys.B485:85-127,1997","10.1016/S0550-3213(96)00619-0","RU-96-62","hep-th",,"  We study the behavior of D-branes at distances far shorter than the string
length scale~$l_s$. We argue that short-distance phenomena are described by the
IR behavior of the D-brane world-volume quantum theory. This description is
valid until the brane motion becomes relativistic. At weak string coupling
$\gs$ this corresponds to momenta and energies far above string scale. We use
0-brane quantum mechanics to study 0-brane collisions and find structure at
length scales corresponding to the eleven-dimensional Planck length ($\lp11
\sim \gs^{1/3} l_s$) and to the radius of the eleventh dimension in M-theory
($\R11 \sim \gs l_s$). We use 0-branes to probe non-trivial geometries and
topologies at sub-stringy scales. We study the 0-brane 4-brane system,
calculating the 0-brane moduli space metric, and find the bound state at
threshold, which has characteristic size $\lp11$. We examine the blowup of an
orbifold and are able to resolve the resulting $S^2$ down to size $\lp11$. A
0-brane with momentum approaching $1/\R11$ is able to explore a larger
configuration space in which the blowup is embedded. Analogous phenomena occur
for small instantons. We finally turn to 1-branes and calculate the size of a
bound state to be $\sim \gs^{1/2} l_s$, the 1-brane tension scale.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 23:41:50 GMT""},{""version"":""v2"",""created"":""Thu, 22 Aug 1996 21:01:49 GMT""}]","2008-11-26"
"hep-th/9608025","Hiroshi Suzuki","Kazunobu Haga, Hiroshi Igarashi, Kiyoshi Okuyama and Hiroshi Suzuki
  (Ibaraki University)","Remark on Pauli-Villars Lagrangian on the Lattice","14 pages, Phyzzx. The final version to appear in Phys. Rev. D","Phys.Rev. D55 (1997) 5325-5330","10.1103/PhysRevD.55.5325","IU-MSTP/14","hep-th",,"  It is interesting to superimpose the Pauli-Villars regularization on the
lattice regularization. We illustrate how this scheme works by evaluating the
axial anomaly in a simple lattice fermion model, the Pauli-Villars Lagrangian
with a gauge non-invariant Wilson term. The gauge non-invariance of the axial
anomaly, caused by the Wilson term, is remedied by a compensation among
Pauli-Villars regulators in the continuum limit. A subtlety in Frolov-Slavnov's
scheme for an odd number of chiral fermions in an anomaly free complex gauge
representation, which requires an infinite number of regulators, is briefly
mentioned.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 04:43:56 GMT""},{""version"":""v2"",""created"":""Thu, 6 Feb 1997 04:48:57 GMT""}]","2009-10-30"
"hep-th/9608026","Kalyan Rama","S. Kalyana Rama","Singularity Free (Homogeneous Isotropic) Universe in Graviton-Dilaton
  Models","11 pages. Latex file. Revised in response to referees' Comments.
  Results remain same. To appear in Phys. Rev. Lett","Phys.Rev.Lett. 78 (1997) 1620-1623","10.1103/PhysRevLett.78.1620","MRI-PHY/96-24","hep-th",,"  We present a class of graviton-dilaton models in which a homogeneous
isotropic universe, such as our observed one, evolves with no singularity at
any time. Such models may stand on their own as interesting models for
singularity free cosmology, and may be studied further accordingly. They may
also arise from string theory. We discuss critically a few such possibilities.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 06:18:06 GMT""},{""version"":""v2"",""created"":""Tue, 28 Jan 1997 08:56:35 GMT""}]","2009-10-30"
"hep-th/9608027",,"John R. Klauder and Sergei V. Shabanov","Coordinate-free quantization of first-class constrained systems",,"Phys.Lett. B398 (1997) 116-122","10.1016/S0370-2693(97)00182-2",,"hep-th quant-ph",,"  The coordinate-free formulation of canonical quantization, achieved by a
flat-space Brownian motion regularization of phase-space path integrals, is
extended to a special class of closed first-class constrained systems that is
broad enough to include Yang-Mills type theories with an arbitrary compact
gauge group. Central to this extension are the use of coherent state path
integrals and of Lagrange multiplier integrations that engender projection
operators onto the subspace of gauge invariant states.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 14:29:13 GMT""}]","2009-10-30"
"hep-th/9608028","Swapna Mahaptra","Swapna Mahapatra","String propagation in four-dimensional dyonic black hole background","19 pages, Tex (macro phyzzx is needed)","Phys.Rev. D55 (1997) 6403-6408","10.1103/PhysRevD.55.6403","UUPHY/96/02","hep-th",,"  We study string propagation in an exact, four-dimensional dyonic black hole
background. The general solutions describing string configurations are obtained
by solving the string equations of motion and constraints. By using the
covariant formalism, we also investigate the propagation of physical
perturbations along the string in the given curved background.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 14:18:28 GMT""}]","2009-10-30"
"math/9608201",,"Guangbin Ren and Jihuai Shi","Gleason's problem in weighted Bergman space on egg domains",,,,,"math.CV",,"  In the paper, we discuss on the egg domains: $$
\Omega_a=\left\{\xi=(z,w)\in\bold C^{n+m}: \ z\in\bold C^n, \ w\in\bold C^m,
|z|^2+|w|^{2/a}<1\right\}, \qquad 0<a\le 2. $$ We show that Gleason's problem
can be solved in the weight Bergman space on theegg domains. The proof will
need the help of the recent work of the second named author on the weighted
Bergman projections on this kind of domain. As an application, we obtain a
multiplier theorem on the egg domains.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 21:20:00 GMT""}]","2008-02-03"
"math/9608203",,"Philip Welch","Determinacy and \Delta^1_3-degrees",,,,"Logic E-prints August 06, 1996","math.LO",,"  Let D = { d_n } be a countable collection of Delta^1_3 degrees. Assuming that
all co-analytic games on integers are determined (or equivalently that all
reals have ``sharps''), we prove that either D has a Delta^1_3-minimal upper
bound, or that for any n, and for every real r recursive in d_n, games in the
pointclasses Delta^1_2(r) are determined. This is proven using Core Model
theory.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 00:00:00 GMT""}]","2016-09-06"
"mtrl-th/9608003","Thomas Adams Witten","K. Yaman and P. Pincus (Department of Physics, University of
  California,Santa Barbara), F. Solis and T.A. Witten (James Franck Institute,
  University of Chicago)","Polymers in Curved Boxes","20 pages RevTeX, epsf; 4 figures; submitted to Macromoledules",,"10.1021/ma961088x",,"mtrl-th chem-ph cond-mat.mtrl-sci",,"  We apply results derived in other contexts for the spectrum of the Laplace
operator in curved geometries to the study of an ideal polymer chain confined
to a spherical annulus in arbitrary space dimension D and conclude that the
free energy compared to its value for an uncurved box of the same thickness and
volume, is lower when $D < 3$, stays the same when $D = 3$, and is higher when
\mbox{$D > 3$}. Thus confining an ideal polymer chain to a cylindrical shell,
lowers the effective bending elasticity of the walls, and might induce
spontaneous symmetry breaking, i.e. bending. (Actually, the above mentioned
results show that {\em {any}} shell in $D = 3$ induces this effect, except for
a spherical shell). We compute the contribution of this effect to the bending
rigidities in the Helfrich free energy expression.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 22:31:41 GMT""}]","2009-10-30"
"nucl-th/9608007","Attila Csoto","Attila Csoto and G. M. Hale (Los Alamos National Laboratory)","S-matrix and R-matrix determination of the low-energy He-5 and Li-5
  resonance parameters","9 pages, 1 figure. Final version. Slightly rewritten, results and
  conclusions unchanged","Phys.Rev.C55:536-539,1997","10.1103/PhysRevC.55.536","LA-UR-96-2522","nucl-th",,"  We study the low-energy 3/2- and 1/2- states of He-5 and Li-5 in a
microscopic cluster model. The scattering phase shifts of Bond (alpha+n) and of
Schwandt (alpha+p), respectively, are reproduced well. We determine the
resonance parameters by localizing the poles of the analytically continued
S-matrix at complex energies. Our results differ from conventional R-matrix
resonance parameters, which were extracted from experimental data using the
definition of a resonance based on the positions and widths of reaction cross
section peaks. However, they nicely agree with the results of an extended
R-matrix method which works at complex energies.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 21:45:16 GMT""},{""version"":""v2"",""created"":""Wed, 23 Oct 1996 19:40:42 GMT""}]","2008-11-26"
"patt-sol/9608002","Nakanishi Ken","Masako Bando, Katsuya Hasebe, Ken Nakanishi and Akihiro Nakayama","Delay of Vehicle Motion in Traffic Dynamics","14 pages, 13 eps figures, LaTeX",,,"KUNS-1407 HE(TH) 96/08, Aichi-4/96","patt-sol nlin.PS",,"  We demonstrate that in Optimal Velocity Model (OVM) delay times of vehicles
coming from the dynamical equation of motion of OVM almost explain the order of
delay times observed in actual traffic flows without introducing explicit delay
times. Delay times in various cases are estimated: the case of a leader vehicle
and its follower, a queue of vehicles controlled by traffic lights and
many-vehicle case of highway traffic flow. The remarkable result is that in
most of the situation for which we can make a reasonable definition of a delay
time, the obtained delay time is of order 1 second.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 14:00:15 GMT""}]","2008-02-03"
"quant-ph/9608004","Todd A. Brun","Ruediger Schack (Mathematics, Royal Holloway, London), Todd A. Brun
  (Physics, Queen Mary and Westfield, London)","A C++ library using quantum trajectories to solve quantum master
  equations","17 pages standard LaTeX + 3 figures (postscript). Submitted to
  Computer Physics Communications. Web site:
  http://galisteo.ma.rhbnc.ac.uk/applied/QSD.html","Comput.Phys.Commun. 102 (1997) 210-228","10.1016/S0010-4655(97)00019-2","QMW-PH-96-20","quant-ph",,"  Quantum trajectory methods can be used for a wide range of open quantum
systems to solve the master equation by unraveling the density operator
evolution into individual stochastic trajectories in Hilbert space. This C++
class library offers a choice of integration algorithms for three important
unravelings of the master equation. Different physical systems are modeled by
different Hamiltonians and environment operators. The program achieves
flexibility and user friendliness, without sacrificing execution speed, through
the way it represents operators and states in Hilbert space. Primary operators,
implemented in the form of simple routines acting on single degrees of freedom,
can be used to build up arbitrarily complex operators in product Hilbert spaces
with arbitrary numbers of components. Standard algebraic notation is used to
build operators and to perform arithmetic operations on operators and states.
States can be represented in a local moving basis, often leading to dramatic
savings of computing resources. The state and operator classes are very general
and can be used independently of the quantum trajectory algorithms. Only a
rudimentary knowledge of C++ is required to use this package.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 17:04:06 GMT""}]","2009-10-30"
"solv-int/9608003","Wen-Xiu Ma","Wen-Xiu Ma, Qing Ding, Wei-Guo Zhang and Bao-Qun Lu","Binary Nonlinearization of Lax pairs of Kaup-Newell Soliton Hierarchy","15 pages, plain+ams tex, to be published in Il Nuovo Cimento B",,"10.1007/BF02743224",,"solv-int nlin.SI",,"  Kaup-Newell soliton hierarchy is derived from a kind of Lax pairs different
from the original ones. Binary nonlinearization procedure corresponding to the
Bargmann symmetry constraint is carried out for those Lax pairs. The proposed
Lax pairs together with adjoint Lax pairs are constrained as a hierarchy of
commutative, finite dimensional integrable Hamiltonian systems in the Liouville
sense, which also provides us with new examples of finite dimensional
integrable Hamiltonian systems. A sort of involutive solutions to the
Kaup-Newell hierarchy are exhibited through the obtained finite dimensional
integrable systems and the general involutive system engendered by binary
nonlinearization is reduced to a specific involutive system generated by
mono-nonlinearization.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 10:58:18 GMT""}]","2009-10-30"
