"alg-geom/9608018","Trygve Johnsen","Trygve Johnsen","Rank Two Bundles on Algebraic Curves and Decoding of Goppa Codes","An error in (what is now called) Theorem 3.4 has been corrected",,,,"alg-geom cs.IT math.AG math.IT",,"  We study a connection between two topics: Decoding of Goppa codes arising
from an algebraic curve, and rank two extensions of certain line bundles on the
curve.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 12:49:45 GMT""},{""version"":""v2"",""created"":""Mon, 15 Jan 2001 12:50:08 GMT""},{""version"":""v3"",""created"":""Tue, 14 Jan 2003 08:26:57 GMT""}]","2008-02-03"
"hep-ph/9608379","Brian Harris","B. W. Harris (Florida State University)","Electroproduction of heavy quarks at NLO","To appear in proceedings of the 1996 Meeting of the American Physical
  Society, Division of Particles and Fields (DPF 96), Minneapolis, Minnesota,
  10-15 Aug 1996. 3 pages, Latex using sprocl.sty (included)",,,,"hep-ph",,"  A new next-to-leading order Monte Carlo program for the calculation of fully
differential heavy quark cross sections in electroproduction is described. A
comparison between the theoretical predictions and the latest charm production
data from H1 and ZEUS at HERA is presented.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 17:57:41 GMT""}]","2007-05-23"
"hep-ph/9608380","Matthias Burkardt","Matthias Burkardt (NMSU)","Confinement in Light-Front QCD","Contributed to PANIC96, LATEX (sprocl), 2 pages, 1 figure",,,,"hep-ph",,"  Numerical results for the calculation of the (rest-frame) $Q\bar{Q}$
potential, for light-front quantized $QCD_{2+1}$ on a $\perp$ lattice are
presented. Both in the longitudinal as well as the $\perp$ spatial directions
one obtains linear confinement. The resulting potential is almost rotational
symmetric.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 17:59:13 GMT""}]","2007-05-23"
"hep-ph/9608381","Agustin Nieto","Agustin Nieto (Ohio State University)","High-Temperature Thermodynamics of QCD","5 pages. Invited talk presented at Workshop on QCD in Paris, June
  1996",,,"OHSTPY-HEP-T-96-020","hep-ph",,"  Effective-field-theory methods are used to study the high T limit of QCD.
These methods unravel the contributions to the free energy of QCD at high
temperature from the scales T, gT, and g^2 T. The free energy is explicitly
computed to order g^5. Implications for the application of perturbative QCD to
the quark-gluon plasma are also discussed.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 20:28:17 GMT""}]","2016-09-06"
"hep-ph/9608382","Youichi Yamada","Youichi Yamada","Definition of $\tan\beta$ beyond tree-level","6 pages, LaTeX, uses epsfig.sty, talk at 1996 Annual Divisional
  Meeting (DPF'96) of the Division of Particles and Fields of the American
  Physical Society, Minneapolis, MN, Aug 10-15, 1996",,,"MADPH-96-956","hep-ph",,"  We study the relation between different renormalization schemes for the
parameter $\tan\beta$ in the Minimal Supersymmetric Standard Model. The
contributions of the third-generation quark-squark loops to the differences
between $\tan\beta$'s in several schemes are discussed. Their numerical
differences are typically within several %.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 21:32:23 GMT""}]","2007-05-23"
"hep-ph/9608383","Chung Kao","Chung Kao, David Atwood and Amarjit Soni","Parity Violation in Bottom Quark Pair Production at Polarized Hadron
  Colliders","To be published in Physics Letters B, 3 references added","Phys.Lett.B395:327-333,1997","10.1016/S0370-2693(97)00082-8","UR-1384, MADPH-96-968","hep-ph",,"  Parity violation induced by the chromo-anapole form factor of the bottom
quark, generated from weak corrections, is studied in polarized hadron
collisions. The forward-backward asymmetry in the bottom quark pair production
at polarized $pp$ and $p\bar{p}$ colliders is evaluated in the Standard Model
and in a Two Higgs Doublet Model to examine the effects of parity violation. In
the models studied, promising results are found for polarized $p\bar{p}$
colliders.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 22:02:54 GMT""},{""version"":""v2"",""created"":""Mon, 13 Jan 1997 18:35:08 GMT""}]","2014-11-17"
"hep-ph/9608384","E. Martynov","L.L. Jenkovszky, E.S.Martynov (N.N.Bogoliubov Institute for
  Theoretical Physics, Kiev, Ukraine) and F.Paccanoni (Padova University,
  Italy)","Regge Pole Model for Vector Meson Photoproduction at HERA","Talk given at the XII-th workshop on ""soft"" physics ""HADRONS-96:
  CONFINENENT"" Novy Svet, Crimea, Ukraine, June 9-16, 7 pages, 4 eps figures
  included",,,"ITP-96-14E","hep-ph",,"  Recent $HERA$ data on the photoproduction of vector mesons are analysed
within a ""soft"", dipole pomeron model. We argued that the data on
$\sigma^{\gamma\rightarrow J/\psi}_{el}$ is consistent with a soft pomeron, the
apparent rapid increase resulting from the non-asymptotic effects due to the
delayed asymptotics of $\sigma_{el}$ with respect to $\sigma_{tot}$.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 23:06:22 GMT""}]","2007-05-23"
"hep-ph/9608386","E. Martynov","L.L. Jenkovszky, E.S.Martynov (N.N.Bogoliubov Institute for
  Theoretical Physics, Kiev, Ukraine) and F.Paccanoni (Padova University,
  Italy)","Proton Diffraction Dissociation and Unitarity","Talk given at the XII-th workshop on ""soft"" physics ""HADRONS-96:
  CONFINENENT"" Novy Svet, Crimea, Ukraine, June 9-16, LaTeX, 8 pages, 4 eps
  figures included",,,"ITP-96-13E","hep-ph",,"  It is shown that the dipole pomeron model of single diffraction dissociation
-- contrary to the case of the supercritical pomeron -- is compatible with the
inequality $\sigma^{SD}\leq\sigma^{tot}$, imposed by unitarity, provided the
triple pomeron coupling satisfies certain conditions. With the adopted
approximation the model considered as a parcticular solution of the triple
pomeron decoupling problem. Explicit forms of such a coupling and a qualitative
comparison with the experimental data on single DD are presented. The modified
factorization properties of the model are also discussed.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 00:44:19 GMT""}]","2007-05-23"
"hep-ph/9608387","Glennys Farrar","Glennys R. Farrar (Rutgers University)","Phenomenology of Charginos and Neutralinos in the Light Gaugino Scenario","12 pages, 1 fig.",,,"RU-96-71","hep-ph",,"  The light gaugino scenario predicts that the lighter chargino mass is less
than m_W, gluino and lightest neutralino masses are <~ 1 GeV, and the dominant
decay mode of charginos and non-LSP neutralinos is generically to three jets.
The excess ""4j"" events observed by ALEPH in e+ e- annihilation at 133 GeV may
be evidence that m(C_1) = 53 GeV. If so, m(N_2) = 110-121 GeV, m(N_2) = 38-63
GeV, m(N_3) = 75-68 GeV; m(sneu_e) is probably ~m(C_1). A detailed analysis of
the multi-jet events is needed to exclude this possibility. Consequences for
FNAL and higher energy LEP running are given.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 01:08:43 GMT""}]","2007-05-23"
"hep-ph/9608388","Pyungwon Ko","P. Ko (Hong-Ik University, Seoul, Korea)","Color-octet mechanism in J/psi productions","Talk given in the KPS-JKPS Winter School held at Seoul, Korea during
  Feb. 21-28, 1996. To appear in the proceeding. Minor changes","J.KoreanPhys.Soc.29:S261,1996",,"SNUTP 96-084","hep-ph",,"  I review recent developments in theoretical understandings of J/psi
productions in various processes at Tevatron, B decay and J/psi photoproduction
including the color-octet mechanism.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 09:28:59 GMT""},{""version"":""v2"",""created"":""Tue, 27 Aug 1996 08:19:53 GMT""}]","2008-11-26"
"hep-ph/9608389","Hsiang-Nan Li","Hsiang-nan Li and Hoi-Lai Yu","Determination of the HQET Parameters from the $B \to X_s\gamma$ Decay","IR renormalon ambiguity is included","Phys.Rev. D55 (1997) 2833-2836","10.1103/PhysRevD.55.2833","CCUTH-96-05, IP-ASTP-04-96","hep-ph",,"  We combine the resummations for radiative corrections and for the heavy quark
expansion to study the inclusive radiative decay $B \to X_s\gamma$. The
infrared renormalon ambiguity is also taken into account. Including both
theoretical and experimental uncertainties, we determine the allowed domain for
the HQET parameters ${\bar \Lambda}$ and $\lambda_1$ centered at ${\bar
\Lambda}=0.65$ GeV and $\lambda_1=-0.71$ GeV$^2$.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 04:52:42 GMT""},{""version"":""v2"",""created"":""Tue, 10 Dec 1996 04:58:51 GMT""}]","2009-10-28"
"hep-ph/9608390","Harald Griesshammer","H. W. Griesshammer (U Erlangen)","Defects in Modified Axial Gauge QCD_{3+1}","6 pages, LaTeX. Talk presented at the ``CCC-Workshop on QCD'' at the
  American University of Paris, June 3rd -- 8th, 1996, and the conference
  ``Quark Confinement and the Hadron Spectrum II'' at Villa Olmo, Como, Italy,
  June 26th -- 29th, 1996",,,"FAU-TP3-96/12","hep-ph hep-th",,"  Magnetically charged vortex defects are shown to arise in canonically
quantised modified axial gauge QCD_{3+1} on a torus. This gauge -- being an
Abelian projection -- keeps only the eigenphases as dynamical variables of the
Wilson line in x_3-direction. A mismatch between the identification of large
gauge transformations before and after gauge fixing is indicated.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 08:57:31 GMT""}]","2007-05-23"
"hep-ph/9608391","Wolfgang Schaefer","N. N. Nikolaev (1,2,3), W. Schaefer (2), B. G. Zakharov (3), V. R.
  Zoller (4) ((1) ITKP Bonn, (2) IKP,KFA-Juelich, (3) Landau Inst., Moscow, (4)
  Inst. Theor. Exp. Phys., Moscow)","Diffraction in DIS on nuclear targets","4 pages, LaTeX, including 2 eps-figures, uses epsfig-macro, To be
  published in Proceedings of the Workshop on Future Physics at HERA",,,,"hep-ph",,"  We discuss the implications of a strong enhancement of diffraction for
multiproduction in DIS off nuclear targets. The predicted effects are large and
observable at HERA. We present the prediction of a large tensor structure
function b_2(x) of the deuteron which does not vanish at small x.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 11:21:29 GMT""},{""version"":""v2"",""created"":""Fri, 23 Aug 1996 11:25:06 GMT""}]","2008-02-03"
"hep-ph/9608392","Hwang Dae Sung","Dae Sung Hwang (Sejong Univ.), C.S. Kim (Yonsei Univ. and KEK) and Wuk
  Namgung (Dongguk Univ.)","Average Kinetic Energy of Heavy Quark and Virial Theorem","13 pages. A lot of parts of the manuscript have been revised. To
  appear in Physics Letters B","Phys.Lett. B406 (1997) 117-122","10.1016/S0370-2693(97)00661-8","KEK-TH-492, SNUTP 96-083 and YUMS 96-017","hep-ph",,"  We derive the virial theorem of the relativistic two-body system for the
study of the B-meson physics. It is also shown that the solution of the
variational equation always satisfies the virial theorem. From the virial
theorem we also obtained $\mu_\pi^2 \equiv -\lambda_1 \equiv < p^2> = 0.40\sim
0.58$ GeV$^2$, which is consistent with the result of the QCD sum rule
calculations of Ball $et$ $al.$
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 10:18:03 GMT""},{""version"":""v2"",""created"":""Fri, 4 Jul 1997 12:55:27 GMT""}]","2009-10-28"
"hep-ph/9608393","Vladislav Korotkov","M.Anselmino, E.Andreeva, V.Korotkov, F.Murgia, W.-D.Nowak, S.Nurushev,
  O.Teryaev, A.Tkabladze","On the Physics Potential of Polarized Nucleon-Nucleon Collisions at HERA","13 pages, Latex-2e, epsfig, 7 .eps figures. Contribution to the
  Proceedings of the Workshop on ""Future Physics at HERA"", DESY-Hamburg, Oct.
  1995 - May 1996",,,"DESY 96-128 and INFNCA-TH 9616","hep-ph",,"  The physics of polarized nucleon--nucleon collisions originating from an
internal polarized target in the HERA proton beam is investigated. Based on 240
pb^-1 integrated luminosity at 40 GeV c.m. energy, statistical sensitivities
are given over a wide (x_F, p_T) range for a variety of inclusive and exclusive
final states. By measuring single spin asymmetries unique information can be
obtained on higher twist contributions and their p_T-dependence. From double
spin asymmetries in both photon and J/psi production it appears possible to
measure the polarized gluon distribution in the range 0.1<x_gluon<0.4 with a
good statistical accuracy.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 10:59:53 GMT""}]","2007-05-23"
"hep-ph/9608394","Bryan Webber","M. Dasgupta and B.R. Webber","Power Corrections and Renormalons in $e^+e^-$ Fragmentation Functions","16 pages, LaTeX, 4 figures, uses epsfig.sty","Nucl.Phys. B484 (1997) 247-264","10.1016/S0550-3213(96)00622-0","Cavendish-HEP-96/9","hep-ph",,"  We estimate the power corrections (infrared renormalon contributions) to the
coefficient functions for the transverse, longitudinal and asymmetric
fragmentation functions in $e^+e^-$ annihilation, using a method based on the
analysis of one-loop Feynman graphs containing a massive gluon. The leading
corrections have the expected $1/Q^2$ behaviour, but the gluonic coefficients
of the longitudinal and transverse contributions separately have strong
singularities at small $x$, which cancel in their sum. This leads to $1/Q$
corrections to the longitudinal and transverse parts of the annihilation cross
section, which cancel in the total cross section.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 12:11:15 GMT""}]","2009-10-28"
"hep-ph/9608395","Herbert Weigel","N. N. Scoccola, H. Weigel and B. Schwesinger","SU(3) Symmetry Breaking and Octet Baryon Polarizabilities","11 pages, LaTeX, 4 tables, no figures, final version to be published
  in Phys. Lett. B","Phys.Lett. B389 (1996) 433-439","10.1016/S0370-2693(96)01300-7","TAN-FNT-96/004, UNITU-THEP-15/1996, SI-96-TP3S2","hep-ph",,"  Static polarizabilities of the low--lying $1/2^+$ baryons are studied within
the collective coordinate approach to the three flavor generalization of the
Skyrme model; in particular, magnetic polarizabilities are considered.
Predicted polarizabilities, which result from different treatments of the
strange degrees of freedom in this model, are critically compared. Their
deviations from the flavor symmetric formulations are discussed.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 12:12:31 GMT""},{""version"":""v2"",""created"":""Tue, 1 Oct 1996 08:18:35 GMT""}]","2016-09-06"
"hep-ph/9608396","Cesareo A. Dominguez","C.A.Dominguez, M.S.Fetea, and M. Loewe","Pions at Finite Temperature from QCD Sum Rules","Latex file plus 3 figures available upon request. To be published in
  Phys. Lett. B","Phys.Lett. B387 (1996) 151-154","10.1016/0370-2693(96)01021-0",,"hep-ph",,"  The temperature corrections to the current algebra Gell-Mann, Oakes, and
Renner (GMOR) relation in $SU(2)\otimes SU(2)$ are investigated in the
framework of QCD sum rules. There are no corrections at leading order in the
quark masses. At the next to leading order we find corrections of the form
$m_{q}^2\; T^{2}$, which are small except near the critical temperature. As a
by-product we obtain the temperature behaviour of the pion mass, which is
essentially constant, except near the critical temperature where it increases
with $T$.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 12:30:27 GMT""}]","2009-10-28"
"hep-ph/9608397","Hyun-Chul Kim","Hyun-Chul Kim (Ruhr-Uni Bochum)","Form factors of the nucleon in the SU(3) chiral quark-soliton model","22 pages including 7 figures. RevTex is used. Invited talk given at
  Workshop on Electron-Nucleus Scattering, Elba International Physics Center,
  1-5 July 1996",,,"RUB-TPII-13/96","hep-ph",,"  The recent investigation on various form factors of the nucleon is reviewed
in the framework of the SU(3) chiral quark-soliton model. The results for the
electromagnetic and scalar form factors are in remarkable agreement with
experimental and empirical data. The strange vector form factors are also
discussed with the effect of the kaon cloud being considered. In addition to
the form factors, the recent calculation of the tensor charges is presented.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 15:17:23 GMT""}]","2007-05-23"
"hep-th/9608132","Irina Arefeva","I.Ya.Aref'eva","Large $N$ QCD and $q$-Deformed Quantum Field Theories","4 pages, latex.Invited talk at the Second International Sakharov
  Conference on Physics, Moscow, May 1996",,,"SMI-15-96","hep-th",,"  A construction of master field describing multicolour QCD is presented. The
master fields for large N matrix theories satisfy to standard equations of
relativistic field theory but fields are quantized according $q$-deformed
commutation relations with $q=0$. These commutation relations are realized in
the Boltzmannian Fock space. The master field for gauge theory does not take
values in a finite-dimensional Lie algebra, however, there is a non-Abelian
gauge symmetry and BRST-invariance.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 00:50:11 GMT""}]","2007-05-23"
"hep-th/9608135","Stephen Hsu","N. Evans, S.D.H. Hsu and M. Schwetz (Yale University)","Phase Transitions in Softly Broken N=2 SQCD at Non-zero Theta Angle","18 pages, LaTeX, 10 epsf figures","Nucl.Phys. B484 (1997) 124-140","10.1016/S0550-3213(96)00595-0","YCTP-P13-96","hep-th",,"  We investigate the behavior of softly broken $N=2$ SQCD at non-zero bare
theta angle $\theta_0$, using superfield spurions to implement the SUSY
breaking. We find a first-order phase transition as $\theta_0$ is varied from
zero to $2 \pi$, in agreement with a prediction of `t Hooft. The low-energy
theta angle $\theta_{eff}$, which determines the effective charges of dyonic
excitations, has a complicated dependence on $\theta_0$ and breaking
parameters.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 21:47:07 GMT""}]","2009-10-30"
"hep-th/9608136",,"John D. Barrow and Mariusz P. Dabrowski","Kantowski-Sachs String Cosmologies","23 pages, REVTEX, 6 figures available on request","Phys.Rev. D55 (1997) 630-638","10.1103/PhysRevD.55.630",,"hep-th gr-qc",,"  We present new exact solutions of the low-energy-effective-action string
equations with both dilaton $\phi $ and axion $H$ fields non-zero. The
background universe is of Kantowski-Sachs type. We consider the possibility of
a pseudoscalar axion field $h$ ($H=e^\phi (dh)^{*}$) that can be either time or
space dependent. The case of time-dependent $h$ reduces to that of a stiff
perfect-fluid cosmology. For space-dependent $h$ there is just one non-zero
time-space-space component of the axion field $H$, and this corresponds to a
distinguished direction in space which prevents the models from isotropising.
Also, in the latter case, both the axion field $H$ and its tensor potential $B$
($H=dB$) are dependent on time and space yet the energy-momentum tensor remains
time-dependent as required by the homogeneity of the cosmological model.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 17:54:13 GMT""}]","2009-10-30"
"hep-th/9608137","Volovich","I.V.Volovich","D-branes, Black Holes and $SU(\infty)$ Gauge Theory","4 pages, latex. Invited talk at the Second International Sakharov
  Conference on Physics, Moscow, May 1996",,,"SMI-14-96","hep-th alg-geom math.AG",,"  We discuss an application of the known in QCD large $N$ expansion to strings
and supermembranes in the strong coupling. In particular we use the recently
obtained master field describing $ SU(\infty)$ gauge theory to argue that
quantum extreme black holes obey quantum Boltzmann (infinite) statistics. This
supports a topological argument by Strominger that black holes obey infinite
statistics. We also speculate on a formulation of $X$-theory of strings and
p-branes as theory of Grothendieck's motives. The partition function is
expressed in terms of $L$-function of a motive. The Beilinson conjectures on
the values of $L$-functions are interpreted as dealing with the cosmological
constant problem.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 21:32:14 GMT""}]","2008-02-03"
"hep-th/9608138","Cecilia von Reichenbach","C.M.Naon, M.C.von Reichenbach and M.L.Trobo (Universidad Nacional de
  La Plata)","Field theoretical approach to non-local interactions: 1d electrons and
  fermionic impurities","27 pages, Latex file, no figures","Nucl.Phys. B485 (1997) 665-684","10.1016/S0550-3213(96)00629-3","La Plata-th 96/10","hep-th cond-mat",,"  We apply a recently proposed path-integral approach to non-local bosonization
to a Thirring-like system modeling non-relativistic massless particles
interacting with localized fermionic impurities. We consider forward scattering
processes described by symmetric potentials including interactions between
charge, current, spin and spin-current densities. In the general
(spin-flipping) problem we obtain an effective action for the collective modes
of the model at T = 0, containing WZW-type terms. When spin-flipping processes
are disregarded the structure of the action is considerably simplified,
allowing us to derive exact expressions for the dispersion relations of
collective modes and two point fermionic correlation functions as functionals
of the potentials. Finally, as an example, we compute the momentum distribution
for the case in which electrons and impurities are coupled through spin and
spin-current densities only. The formulae we get suggest that our formalism
could be useful in order to seek for a mechanism able to restore Fermi liquid
behavior.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 17:28:16 GMT""}]","2009-10-30"
"hep-th/9608139","Detlev Buchholz","Jacques Bros, Detlev Buchholz","The unmasking of thermal Goldstone bosons","7 pages, LaTeX; new and considerably strengthened results after Eq.
  (14); to appear in Phys. Rev. D","Phys.Rev. D58 (1998) 125012","10.1103/PhysRevD.58.125012",,"hep-th hep-ph",,"  The problem of extracting the modes of Goldstone bosons from a thermal
background is reconsidered in the framework of relativistic quantum field
theory. It is shown that in the case of spontaneous breakdown of an internal
bosonic symmetry a recently established decomposition of thermal correlation
functions contains certain specific contributions which can be attributed to a
particle of zero mass.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 06:51:03 GMT""},{""version"":""v2"",""created"":""Thu, 22 Aug 1996 00:56:59 GMT""},{""version"":""v3"",""created"":""Mon, 24 Aug 1998 18:51:15 GMT""}]","2009-10-30"
"hep-th/9608141","Frank Antonsen","Frank Antonsen, Karsten Bormann","Propagators in Curved Space","standard LaTeX, 34 pages",,,,"hep-th",,"  We demonstrate how to obtain explicitly the propagators for quantum fields
residing in curved space-time using the heat kernel for which a new
construction procedure exists. Propagators are determined for the case of
Rindler, Friedman-Robertson-Walker, Schwarzschild and general conformally flat
metrics, both for scalar, Dirac and Yang-Mills fields. The calculations are
based on an improved formula for the heat kernel in a general curved space. All
the calculations are done in $d=4$ dimensions for concreteness, but are easily
generalizable to arbitrary $d$. The new method advocated here does not assume
that the fields are massive, nor is it based on an aymptotic expansion as such.
  Whenever possible, the results are compared to that of other authors.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 09:16:54 GMT""}]","2016-09-06"
"hep-th/9608142","Frank Antonsen","Karsten Bormann, Frank Antonsen","The Casimir Effect of Curved Space-time (formal developments)","LaTeX, 16 pages, appears in Proceedings of the 3rd International
  Alexander Friedman Seminar on Gravitation and Cosmology, Friedman Lab. Press,
  St. Petersburg 1995",,,,"hep-th",,"  The free energy due to the vacuum fluctuations of matter fields on a
classical gravitational background is discussed. It is shown explicitly how
this energy is calculated for a non-minimally coupled scalar field in an
arbitrary gravitational background, using the heat kernel method. The treatment
of (self-)interacting fields of higher spin is outlined, using a meanfield
approximation to the gaugefield when treating the gauge boson self interaction
and the fermion-gauge boson interaction.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 09:52:17 GMT""}]","2007-05-23"
"hep-th/9608143","Elisabeth Kraus","Elisabeth Kraus and Klaus Sibold","The standard model in the on-shell scheme","8 pages, two-column style (espcrc2.sty), using LaTeX2e. To appear in
  the Proceedings of the Workshop ``QCD and QED in Higher Order'', Rheinsberg,
  Germany (April 1996)","Nucl.Phys.Proc.Suppl. 51C (1996) 81-87","10.1016/S0920-5632(96)90010-9","BONN-TH-96-09","hep-th hep-ph",,"  We outline the renormalization of the standard model to all orders of
perturbation theory in a way which does not make essential use of a specific
subtraction scheme but is based on the Slavnov-Taylor identity. Physical fields
and parameters are used throughout the paper. The Ward-identity for the global
gauge invariance of the vertex functions is formulated. As an application the
Callan-Symanzik equation is derived.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 10:50:50 GMT""}]","2015-06-26"
"hep-th/9608144",,"M.Alimohammadi and M.Khorrami(IPM,Tehran,Iran)","Green functions of 2-dimensional Yang-Mills theories on nonorientable
  surfaces","6 pages,LaTex","Z.Phys. C76 (1997) 729-731",,"IPM-96-","hep-th",,"  By using the path integral method , we calculate the Green functions of field
strength of Yang-Mills theories on arbitrary nonorientable surfaces in
Schwinger-Fock gauge. We show that the non-gauge invariant correlators consist
of a free part and an almost $x$-independent part. We also show that the gauge
invariant $n$-point functions are those corresponding to the free part , as in
the case of orientable surfaces.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 11:58:34 GMT""}]","2007-05-23"
"nucl-th/9608043",,"I. G. Alekseev, V. P. Kanavets, B. V. Morozov, D. N. Svirida, S. P.
  Kruglov, A. A. Kulbardis, V. V. Sumachev, R. A. Arndt, I. I. Strakovsky, and
  R. L. Workman","Influence of spin-rotation measurements on partial-wave analyses of
  elastic pion-nucleon scattering","9 pages, 4 figures. Postscript figures also available from
  ftp://clsaid.phys.vt.edu/pub/said/pin/barrelet","Phys.Rev.C55:2049-2053,1997","10.1103/PhysRevC.55.2049","VPI-CAPS-96/b1","nucl-th",,"  Recent measurements of spin-rotation parameters in elastic $\pi^+ p$
scattering are in marked disagreement with predictions of the
Carnegie-Mellon$-$Berkeley and Karlsruhe-Helsinki analyses. Using the method of
Barrelet, we show how this discrepancy can be removed. We then show how this
Barrelet transformation alters the partial-wave amplitudes. The effect of
unitarity and analyticity constraints is also considered.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 17:05:42 GMT""}]","2008-11-26"
"nucl-th/9608044","Gabriel Martinez","G. Mart'inez-Pinedo, A. P. Zuker, A. Poves, and E. Caurier","Full pf shell study of A = 47 and A = 49 nuclei","30 Pages, RevTeX and epsf.sty, 23 figures included. Postscript
  version available at http://www.ft.uam.es/~gabriel/a47-49.ps.gz","Phys.Rev.C55:187-205,1997","10.1103/PhysRevC.55.187",,"nucl-th",,"  Complete diagonalizations in the pf major shell, lead to very good agreement
with the experimental data (level schemes, transitions rates, and static
moments) for the A=47 and A=49 isotopes of Ca, Sc, Ti, V, Cr, and Mn.
Gamow-Teller and M1 strength functions are calculated. The necessary monopole
modifications to the realistic interactions are shown to be critically tested
by the spectroscopic factors for one particle transfer from 48Ca, reproduced in
detail by the calculations. The collective behaviour of 47Ti, and of the mirror
pairs 47V-47Cr and 49Cr-49Mn is found to follow at low spins the particle plus
rotor model. It is then analysed in terms of the approximate quasi-SU(3)
symmetry, for which some new results are given.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 18:07:11 GMT""}]","2008-11-26"
"nucl-th/9608045",,"Andrew Cumming (Trinity College, Cambridge Univ.) W. C. Haxton (Inst.
  for Nuclear Theory, Univ. Washington)","$^3$He Transport in the Sun and the Solar Neutrino Problem","Revtex, 2 figures, 15 pages","Phys.Rev.Lett. 77 (1996) 4286-4289","10.1103/PhysRevLett.77.4286",,"nucl-th astro-ph hep-ph",,"  Recent solar neutrino experiments have shown that both $\phi(^8$B) and the
neutrino flux ratio $\phi(^7$Be)/$\phi(^8$B) are substantially below their
standard solar model values, leading some to discount the possibility of an
astrophysical solution to the solar neutrino puzzle. We test this conclusion
phenomenologically and find that the discrepancies can be significantly reduced
by a distinctive pattern of core mixing on timescales characteristic of $^3$He
equilibration.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 23:18:12 GMT""}]","2009-10-30"
"nucl-th/9608046","Hartmut M. Hofmann","H. M. Hofmann, G. M. Hale","Microscopic Calculation of the $^4{\rm He}$ System","53 pages, PS document can also be found at
  ftp://theorie3.physik.uni-erlangen.de/pub/publications/he4.ps.gz","Nucl.Phys. A613 (1997) 69-106","10.1016/S0375-9474(96)00418-6","FAU-TP-96/11","nucl-th",,"  We report on a consistent, microscopic calculation of the bound and
scattering states in the 4He system employing a realistic nucleon-nucleon
potential in the framework of the resonating group model (RGM). We present for
comparison with these microscopic RGM calculations the results from a
charge-independent, Coulomb-corrected R-matrix analysis of all types of data
for reactions in the A=4 system. Comparisons are made between the phase shifts,
and with a selection of measurements from each reaction, as well as between the
resonance spectra obtained from both calculations. In general, the comparisons
are favorable, but distinct differences are observed between the RGM
calculations and some of the polarisation data. The partial-wave decomposition
of the experimental data produced by the R-matrix analysis shows that these
differences can be attributed to just a few S-matrix elements, for which
inadequate tensor-force strength in the N-N interaction used appears to be
responsible.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 11:14:02 GMT""}]","2009-10-30"
"nucl-th/9608047","Gennady A. Chekomazov","G.A.Chekomazov and M.H.Urin (Moscow Engineering-Physics Institute)","On the direct nucleon decay of high-spin subbarrier single-particle
  states in near-magic nuclei","LaTeX, 5 pages","Phys.Atom.Nucl. 61 (1998) 375-386",,"MEPI-32Ur-951","nucl-th",,"  The description of the direct nucleon decay of high-spin subbarrier
one-particle states in near-magic nuclei is attempted using a simple optical
model and the simplest version of the coupled-channel approach. The branching
ratios for the direct decay of the several single-neutron states in $^{209}Pb$
and $^{91}Zr$ to the ground state and to the low-lying collective states of
$^{208}Pb$ and $^{90}Zr$, respectively, are evaluated. Results are compared
with recent experimental data.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 05:55:06 GMT""}]","2007-05-23"
