"alg-geom/9608033","Gerd Dethloff","T. Bandman and G. Dethloff","Estimates of the number of rational mappings from a fixed variety to
  varieties of general type","A revised version. The presentation of results and proofs has been
  improved. AMS-TeX, 19 pages","Ann. Inst. Fourier 47, 801-824 (1997)",,,"alg-geom math.AG",,"  First we find effective bounds for the number of dominant rational maps $f:X
\rightarrow Y$ between two fixed smooth projective varieties with ample
canonical bundles. The bounds are of the type $\{A \cdot K_X^n\}^{\{B \cdot
K_X^n\}^2}$, where $n=dimX$, $K_X$ is the canonical bundle of $X$ and $A,B $
are some constants, depending only on $n$. Then we show that for any variety
$X$ there exist numbers $c(X)$ and $C(X)$ with the following properties: For
any threefold $Y$ of general type the number of dominant rational maps $f:X \r
Y$ is bounded above by $c(X)$. The number of threefolds $Y$, modulo birational
equivalence, for which there exist dominant rational maps $f:X \r Y$, is
bounded above by $C(X)$. If, moreover, $X$ is a threefold of general type, we
prove that $c(X)$ and $C(X)$ only depend on the index $r_{X_c}$ of the
canonical model $X_c$ of $X$ and on $K_{X_c}^3$.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 13:39:45 GMT""},{""version"":""v2"",""created"":""Wed, 5 Feb 1997 08:33:31 GMT""}]","2014-12-01"
"cond-mat/9608153","Pierre Ledoussal","Thierry Giamarchi and Pierre Le Doussal","Reply to the Comment on `` Moving glass phase of driven lattices ''","1 pages, REVTeX, no figures","Phys. Rev. Lett. {\bf 78} 752 (1997).","10.1103/PhysRevLett.78.752",,"cond-mat",,"  It was shown in our Letter that the novel glassy property of the moving
lattice (transverse critical force and pinned channels) originate {\it only}
from the periodicity in the {\it transverse} direction, i.e the underlying
smectic density modes of the structure. Thus, contrarily to the claim of the
Comment, these properties should be robust to the details of the structure
along the direction of motion, even in the presence of a random force (we have
demonstrated the existence of a random force in both directions) or
dislocations between layers.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 10:57:38 GMT""}]","2009-10-28"
"cond-mat/9608154","Christen-Tschan Thomas","T. Christen and M. Buttiker (University of Geneva)","Magnetic Field Symmetry of Dynamic Capacitances","4 pages, 2 postscript Figures, RevTex","Phys. Rev. B 55, R1946 (1997)","10.1103/PhysRevB.55.R1946",,"cond-mat",,"  While the static capacitance matrix is always symmetric and thus an even
function of the magnetic field, the dynamic capacitance matrix of
multi-terminal samples obeys in general only the weaker Onsager-Casimir
symmetry relations. Our results are in accordance with recent experimental
observations of asymmetric dynamic capacitances in quantized Hall systems. We
predict quantization of the four-terminal resistances of an insulating Hall
sample.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 11:37:51 GMT""}]","2009-10-28"
"cond-mat/9608155","Greg Watson","G. I. Watson (Rutherford Appleton Laboratory, UK)","Repulsive particles on a two-dimensional lattice","Important error corrected, concerning nature of kink interactions.
  New subsection added; changes to abstract and conclusions",,"10.1016/S0378-4371(97)00349-X",,"cond-mat",,"  The problem of finding the minimum-energy configuration of particles on a
lattice, subject to a generic short-ranged repulsive interaction, is studied
analytically. The study is relevant to charge ordered states of interacting
fermions, as described by the spinless Falicov-Kimball model. For a range of
particle density including the half-filled case, it is shown that the
minimum-energy states coincide with the large-U neutral ground state ionic
configurations of the Falicov-Kimball model, thus providing a characterization
of the latter as ``most homogeneous'' ionic arrangements. These obey
hierarchical rules, leading to a sequence of phases described by the Farey
tree. For lower densities, a new family of minimum-energy configurations is
found, having the novel property that they are aperiodic even when the particle
density is a rational number. In some cases there occurs local phase
separation, resulting in an inherent sensitivity of the ground state to the
detailed form of the interaction potential.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 12:45:38 GMT""},{""version"":""v2"",""created"":""Mon, 9 Sep 1996 16:52:04 GMT""}]","2015-06-25"
"cond-mat/9608156","Stephan Mertens","S. Mertens and A. Engel (Otto-von-Guericke Univ. Magdeburg)","On the VC-dimension of neural networks with binary weights","12 pages, LaTeX2e, 7 figures (eps)",,"10.1103/PhysRevE.55.4478",,"cond-mat",,"  We investigate the VC-dimension of the perceptron and simple two-layer
networks like the committee- and the parity-machine with weights restricted to
values $\pm1$. For binary inputs, the VC-dimension is determined by atypical
pattern sets, i.e. it cannot be found by replica analysis or numerical Monte
Carlo sampling. For small systems, exhaustive enumerations yield exact results.
For systems that are too large for enumerations, number theoretic arguments
give lower bounds for the VC-dimension. For the Ising perceptron, the
VC-dimension is probably larger than $N/2$.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 11:52:42 GMT""}]","2009-10-28"
"dg-ga/9608008","Chuah Meng Kiat","Meng-Kiat Chuah","Kaehler structures on Kc/(P,P)","LaTex 2.09, 30 pages. To appear in Trans. AMS. chuah@math.nctu.edu.tw",,,,"dg-ga math.DG",,"  Let K be a compact semi-simple Lie group. We classify K-invariant Kaehler
structures on the space Kc/(P,P), where Kc is the complexification of K, P is a
parabolic subgroup of Kc, and (P,P) the commutator subgroup. For each Kaehler
structure, we study its moment map and associated pre-quantum line bundle for
geometric quantization. Some holomorphic sections of the line bundle form a
unitary K-representation space, and we study the multiplicity of its
irreducible subrepresentations.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 21:16:37 GMT""},{""version"":""v2"",""created"":""Thu, 29 Aug 1996 16:28:09 GMT""}]","2008-02-03"
"dg-ga/9608010","Eugene Lerman","Eugene Lerman","Stability of symmetric tops via one variable calculus","10 pages, LaTeX, uses epic and eepic style files",,,,"dg-ga math.DG",,"  We study the stability of symmetric trajectories of a particle on the Lie
group $SO(3)$ whose motion is governed by an $SO(3)\times SO(2)$ invariant
metric and an $SO(2)\times SO(2)$ invariant potential. Our method is to reduce
the number of degrees of freedom at {\em singular} values of the $SO(2)\times
SO(2)$ momentum map and study the stability of the equilibria of the reduced
systems as a function of spin. The result is an elementary analysis of the
fast/slow transition in the Lagrange and Kirchhoff tops. More generally, since
an $SO(2)\times SO(2)$ invariant potential on $SO(3)$ can be thought of as
${\bf Z}_2$ invariant function on a circle, we get a condition on the second
and fourth derivatives of the potential at the symmetric points that guarantees
that the corresponding system gains stability as the spin increases.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 23:27:25 GMT""}]","2008-02-03"
"funct-an/9608006","Steve Kaliszewski","Siegfried Echterhoff, S. Kaliszewski, and Iain Raeburn","Crossed Products by Dual Coactions of Groups and Homogeneous Spaces","LaTeX-2e, 19 pages, requires pb-diagram.sty ((E) University of
  Paderborn, Germany (K,R) University of Newcastle, Australia)",,,,"funct-an math.OA",,"  Mansfield showed how to induce representations of crossed products of
C*-algebras by coactions from crossed products by quotient groups and proved an
imprimitivity theorem characterising these induced representations. We give an
alternative construction of his bimodule in the case of dual coactions, based
on the symmetric imprimitivity theorem of the third author; this provides a
more workable way of inducing representations of crossed products of
C*-algebras by dual coactions. The construction works for homogeneous spaces as
well as quotient groups, and we prove an imprimitivity theorem for these
induced representations.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 05:37:17 GMT""}]","2008-02-03"
"gr-qc/9608067",,"Valerio Faraoni (University of Victoria)","The redshift periodicity of galaxies as a probe of the correctness of
  general relativity","8 pages, LaTeX, no figures, to appear in Gen. Rel. Grav. Based on a
  essay selected for an Honorable Mention by the Gravity Research Foundation,
  1996","Gen.Rel.Grav.29:251-257,1997","10.1023/A:1010248313712",,"gr-qc astro-ph",,"  Recent theoretical work determines the correct coupling constant of a scalar
field to the Ricci curvature of spacetime in general relativity. The
periodicity in the redshift distribution of galaxies observed by Broadhurst
{\em et al.}, if genuine, determines the coupling constant in the proposed
scalar field models. As a result, these observations contain important
information on the problem whether general relativity is the correct theory of
gravity in the region of the universe at redshifts z<0.5.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 18:56:00 GMT""}]","2010-11-30"
"gr-qc/9608068",,"Bj{\o}rn Jensen and Svend E. Hjelmeland","A stringy black string and a stringy black hole in four dimensions","4 pages, twocolumn, Revtex, no figures. New results and references
  added. Presentation and discussion improved",,,"OSLO-TP-8-96","gr-qc",,"  We uplift the static three dimensional black hole solution found by Banados,
Teitelboim and Zanelli (BTZ) into four dimensional space time. In this way we
obtain a black string solution with a relativistic string source, as well as a
new black hole solution which is also generated by a relativistic ``stringy''
source. It is shown that when passing continuously from the region of the one
dimensional parameter spaces which characterize these solutions, containing
naked singular strings or naked singular ``points'', and into the region
containing black strings or black holes, the metrics ``blow up'' at a critical
point in both parameter spaces. We show that a similar ``separation'' mechanism
can be introduced in three dimensions. In this way we also obtain a
generalization of the BTZ solution. The ``separation'' mechanism, and its
immediate consequences, offers an hitherto missing technical argument needed in
order to exclude the naked singularities (the ``mass gap'') from the space of
``physically permissible'' solutions in three dimensional Einstein theory
coupled to a negative cosmological constant.
  PACS nos.: 04.40.Nr, 04.20.Cv
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 13:29:47 GMT""},{""version"":""v2"",""created"":""Sun, 1 Sep 1996 12:41:28 GMT""},{""version"":""v3"",""created"":""Mon, 23 Sep 1996 10:35:05 GMT""}]","2008-02-03"
"hep-ex/9608017","S. Teige","S. Teige (for the E852 collaboaration)","Properties of the a0(980) meson","3 pages 2 figures, for the Proceedings of DPF '96, Minneapolis","Phys.Rev.D59:012001,1999","10.1103/PhysRevD.59.012001",,"hep-ex",,"  The mass and width of the a0(980) have been independently determined from a
nearly background free data sample and the coupling constants to the eta-pi and
K-K-bar modes have been determined
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 13:07:23 GMT""}]","2019-08-14"
"hep-lat/9608148","Yoichi Iwasaki","Y. Iwasaki","Status of the CP-PACS Project","Talk presented at LATTICE96(machines), 3 pages including 5 PS figures","Nucl.Phys.Proc.Suppl. 53 (1997) 1007-1009","10.1016/S0920-5632(96)00840-7","UTHEP-343, UTCCP-P-16","hep-lat",,"  The CP-PACS computer with a peak speed of 300 Gflops was completed in March
1996 and has started to operate. We describe the final specification and the
hardware implementation of the CP-PACS computer, and its performance for QCD
codes. A plan of the grade-up of the computer scheduled for fall of 1996 is
also given.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 01:17:33 GMT""}]","2009-10-28"
"hep-lat/9608149","Hiroshi Egawa","H. S. Egawa, T. Hotta, T. Izubuchi, N. Tsuda and T. Yukawa","Scaling Structures in Four-dimensional Simplicial Gravity","4 pages, latex, 4 ps figures, uses espcrc2.sty. Talk presented at
  LATTICE96(gravity). All figures and its captions have been improved","Nucl.Phys.Proc.Suppl. 53 (1997) 760-762","10.1016/S0920-5632(96)00774-8",,"hep-lat",,"  Four-dimensional(4D) spacetime structures are investigated using the concept
of the geodesic distance in the simplicial quantum gravity. On the analogy of
the loop length distribution in 2D case, the scaling relations of the boundary
volume distribution in 4D are discussed in various coupling regions i.e.
strong-coupling phase, critical point and weak-coupling phase. In each phase
the different scaling relations are found.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 06:17:53 GMT""},{""version"":""v2"",""created"":""Thu, 12 Sep 1996 10:54:12 GMT""}]","2009-10-28"
"hep-lat/9608150","Yoshinobu Kuramashi","JLQCD Collaboration: S. Aoki, M. Fukugita, S. Hashimoto, N. Ishizuka,
  Y. Iwasaki, K. Kanaya, Y. Kuramashi, H. Mino, M. Okawa, A. Ukawa and T.
  Yoshie","B_K with the Wilson Quark Action: A Non-Perturbative Resolution of
  Operator Mixing using Chiral Ward Identities","3 pages including 3 figures, Talk presented at
  LATTICE96(phenomenology) by Y. Kuramashi","Nucl.Phys.Proc.Suppl. 53 (1997) 349-354","10.1016/S0920-5632(96)00657-3",,"hep-lat",,"  We propose a non-perturbative method to determine the mixing coefficients of
$\Delta s=2$ four-quark operators for the Wilson quark action using chiral Ward
identities. The method is applied to calculate B_K in quenched QCD.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 08:24:21 GMT""}]","2009-10-28"
"hep-lat/9608151","Christian Holm","Christian Holm and Wolfhard Janke (FU-Berlin and JGU Mainz)","Fixed versus random triangulations in 2D simplicial Regge calculus","4 latex pages + 4 ps-figs. + espcrc2.sty, poster presented by W.
  Janke at LATTICE96(gravity)","Phys.Lett.B390:59-63,1997","10.1016/S0370-2693(96)01430-X","FUB-HEP 96-10","hep-lat hep-th",,"  We study 2D quantum gravity on spherical topologies using the Regge calculus
approach with the $dl/l$ measure. Instead of a fixed non-regular triangulation
which has been used before, we study for each system size four different random
triangulations, which are obtained according to the standard Voronoi-Delaunay
procedure. We compare both approaches quantitatively and show that the
difference in the expectation value of $R^2$ between the fixed and the random
triangulation depends on the lattice size and the surface area $A$. We also try
again to measure the string susceptibility exponents through a finite-size
scaling Ansatz in the expectation value of an added $R^2$ interaction term in
an approach where $A$ is held fixed. The string susceptibility exponent
$\gamma_{str}'$ is shown to agree with theoretical predictions for the sphere,
whereas the estimate for $\gamma_{str}$ appears to be too negative.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 12:38:39 GMT""}]","2011-04-15"
"hep-ph/9608473","Harry Blundell","Harry G. Blundell (Carleton University)","Meson Properties in the Quark Model: A Look at Some Outstanding Problems","Ph.D. thesis, 137 pages, latex",,,,"hep-ph nucl-th",,"  This thesis examines three problems of the quark model, split between two
general areas. The general areas are: 1) models of meson decay ($^3P_0$ and
flux-tube breaking), 2) final state interactions (FSI's).
  The three specific problems are: 1) identification of the $f_4(2220)$ state,
2) determination of the mixing angle between the $K_1(1270)$ and $K_1(1400)$
mesons, 3) examination of FSI's in the reaction $\gamma \gamma \rightarrow \pi
\pi$ near threshold.
  A more complete abstract is included in the thesis.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 19:07:44 GMT""}]","2007-05-23"
"hep-ph/9608474","Chao-ran Hu","S. Matinyan","Chaos and High-Energy Collisons","10 pages, latex, 3 PS figures (embedded). Talk presented at the
  workshop ``Quantum Chromodynamics: Collisions, Confinement, and Chaos'',
  Paris, June 3-8, 1996",,,"DUKE-TH-96-128","hep-ph",,"  The investigations of the gauge boson wave packets collisions in SU(2) Higgs
model are presented. The evolution of the gauge and Higgs fields is studied as
a function of the amplitude and the mass ratio of $M_H/M_W$. We visualize the
restoration of spontaneously broken gauge symmetry during collisions.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 18:23:37 GMT""}]","2007-05-23"
"hep-ph/9608475","Milo Svec","M.Svec (McGill University)","Amplitude analysis of reactions pi(-)p->etapi(-)p and pi(-)p->etapi(0)n
  on polarized target and the exotic 1-+ meson","23 pages","Phys.Rev.D56:4355-4364,1997","10.1103/PhysRevD.56.4355",,"hep-ph",,"  Recently several experimental groups analysed data on $\pi^- p \to \eta \pi^-
p$ and $\pi^- p \to \eta \pi^0 n$ reactions with exotic $1^{-+}$ $P$-wave and
found a conflicting evidence for an exotic meson $I=1 1^{-+} (1405)$. High
statistics data on these reactions are presently analysed by BNL E852
Collaboration. All these analyses are based on the crucial assumption that the
production amplitudes do not depend on nucleon spin. This assumption is in
sharp conflict with the results of measurements of $\pi^- p \to \pi^- \pi^+ n$,
$\pi^+ n \to \pi^+ \pi^- p$ and $K^+ n \to K^+ \pi^- p$ on polarized targets at
CERN which find a strong dependence of production amplitudes on nucleon spin.
To ascertain the existence of exotic meson $1^{-+} (1405)$, it is necessary to
perform a model-independent amplitude analysis of reactions $\pi^- p \to \eta
\pi^- p$ and $\pi^- p \to \eta\pi^0 n$. We demonstrate that measurements of
these reactions on transversely polarized targets enable the required model
independent amplitude analysis without the assumption that production
amplitudes are independent on nucleon spin. We suggest that high statistics
measurements of reactions $\pi^- p \to \eta\pi^- p$ and $\pi^- p \to\eta\pi^0
n$ be made on polarized targets at BNL and at Protvino IHEP, and that
model-independent amplitude analyses of this polarized data be performed to
advance hadron spectroscopy on the level of spin dependent production
amplitudes.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 21:51:00 GMT""}]","2008-11-26"
"hep-ph/9608476",,"A. Widom and Y.N. Srivastava","Neutrino Flavor Oscillations Using the Dirac Equation","RevTeX format. No figures",,,,"hep-ph",,"  The theory of neutrino flavor rotations is discussed in terms of wave
function solutions to the Dirac equation with a neutrino mass matrix. We give a
critical review of the nature of neutrino oscillations.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 17:55:13 GMT""}]","2007-05-23"
"hep-ph/9608479","Hegyi Sandor","S. Hegyi (KFKI Research Institute for Particle & Nuclear Physics,
  Budapest, Hungary)","Testing QCD Predictions for Multiplicity Distributions at HERA","10 pages LaTeX, 2 figures in separate Postscript file","Phys.Lett. B388 (1996) 837-842; Erratum-ibid. B393 (1997) 491","10.1016/S0370-2693(96)01361-5",,"hep-ph",,"  On the basis of a recently introduced generalization of the negative binomial
distribution the influence of higher-order perturbative QCD effects on
multiplicity fluctuations are studied for deep inelastic e^+p scattering at
HERA energies. It is found that the multiplicity distributions measured by the
H1 Collaboration indicate violation of infinite divisibility in agreement with
pQCD calculations. Attention is called to future experimental analysis of
combinants whose nontrivial sign-changing oscillations are predicted using the
generalized negative binomial law.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 10:43:22 GMT""}]","2009-10-28"
"hep-ph/9608480","Konstantin Chetyrkin","K. G. Chetyrkin","Corrections of order $\alpha_s^3$ to $R_{had}$ in pQCD with light
  gluinos","12 pages, LaTeX, no figures","Phys.Lett. B391 (1997) 402-412","10.1016/S0370-2693(96)01478-5","MPI/PhT/96-83","hep-ph",,"  By a completely independent analytic calculation made in general covariant
gauge we confirm the known result for the massless $\alpha_s^3$ correction to
$R_{had}$ and check explicitly its gauge independence. We extend the
calculations to include contributions due to a hypothetical existence of a
colour octet of (light) neutral fermions known also under the name of gluinos.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 11:37:56 GMT""}]","2016-09-06"
"hep-ph/9608481","Michael Klasen","J.M. Butterworth, L. Feld, M. Klasen, G. Kramer","Matching Experimental and Theoretical Jet Definitions for
  Photoproduction at HERA","Contribution to the Workshop on ""Future Physics at HERA"", to be
  published in the proceedings. 6 pages, 5 figures, uses epsfig.sty",,,,"hep-ph",,"  Predictions from a new next-to-leading order (NLO) calculation for direct and
resolved photoproduction of one and two jets are compared to simulated HERA
data. We propose a method to match experimental and theoretical jet definitions
and observe a reduced dependence on jet definitions and hadronization
corrections at larger transverse energies. From the irreducible uncertainty, we
estimate the maximum benefit that can be obtained from increased luminosity to
constrain the structure of the photon and the proton.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 12:05:37 GMT""}]","2007-05-23"
"hep-ph/9608482","Graham Boyd","Graham Boyd and David E. Miller","The Temperature Dependence of the SU(N) Gluon Condensate from Lattice
  Gauge Theory","LaTeX2e, 14 pages, 8 figures",,,"BI-TP 96/28, IFUP-TH-51/96","hep-ph hep-lat",,"  An analysis of the temperature dependence of the leading contributions to the
gluon condensate for SU(N) lattice gauge theory is presented using the data
from recent Monte Carlo simulations. The gluon condensate is calculated
directly from the new lattice calculations of the interaction measure. It is
shown how these computations provide a simple picture for the melting of the
condensate around the deconfinement temperature, and the fact that it is
negative, and increases in magnitude, above Tc. We close with a discussion of
the implications for full QCD of recent results from simulations including
fermions.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 12:23:32 GMT""}]","2007-05-23"
"hep-ph/9608483","Johannes Bluemlein","J. Bl\""umlein, E. Boos, and A. Kryukov","Leptoquark Pair Production at HERA","6 pages Latex, including 2 eps-figures. To appear in: Proc. of the
  1996 HERA Physics Workshop",,,,"hep-ph",,"  The scalar and vector leptoquark pair production cross sections for deep
inelastic $ep$ scattering are calculated. Estimates are presented for the
search potential at HERA.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 12:49:20 GMT""}]","2007-05-23"
"hep-ph/9608484","Guest of T. W. Haensch","Savely G. Karshenboim (D. I. Mendeleev Institute for Metrology, St.
  Petersburg, Russia)","Nuclear Structure-Dependent Radiative Corrections to the Hydrogen
  Hyperfine Splitting","19 pages, 3 tables, 2 Postscript figures","Phys.Lett.225A:97,1997","10.1016/S0375-9601(96)00861-4",,"hep-ph",,"  Radiative corrections to the Zemach contribution of the hydrogen hyperfine
splitting are calculated. Their contributions amount to $-0.63(3)$ ppm to the
HFS. The radiative recoil corrections are estimated to be $0.09(3)$ ppm and
heavy particle vacuum polarization shifts the HFS by $0.10(2)$ ppm. The status
of the nuclear-dependent contributions are considered. From the comparison of
theory and experiment the proton polarizability contribution of $3.5(9)$ ppm is
found. The nuclear structure-dependent corrections to the difference
$\nu_{hfs}(1s) -n^3\nu_{hfs}(ns)$ are also obtained.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 14:54:46 GMT""}]","2014-11-17"
"hep-ph/9608485","Alan Kostelecky","Don Colladay and Alan Kostelecky","Proposed Tests of CPT Symmetry Using D Mesons","Talk at DPF 96, August 1996, 3 pages, requires sprocl.sty",,,"IUHET 340, August 1996","hep-ph",,"  Parameters describing CPT violation are extracted from a variety of rate
asymmetries in the neutral-$D$ system. The precision to which these parameters
could be measured in present and planned machines is examined.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 13:42:45 GMT""}]","2007-05-23"
"hep-ph/9608487","Dr Philip ""R."" Page","Philip R. Page","Symmetrization Selection Rules","12 pages, LaTeX, 3 eps figures, uses epsf. Rewritten for
  clarification, some change of content, title change","Phys.Lett. B401 (1997) 313-320","10.1016/S0370-2693(97)00399-7",,"hep-ph nucl-th",,"  We introduce strong and electromagnetic interaction selection rules for the
two-body decay and production of exotic J^{PC} = 0^{+-}, 1^{-+}, 2^{+-}, 3^{-+}
hybrid mesons, four-quark states and glueballs. The rules arise from
symmetrization in states. Examples include various decays to eta' eta, eta pi,
eta' pi and pi^{\pm} pi^0. The symmetrization rules can discriminate between
hybrid and four-quark interpretations of a 1^{-+} signal.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 15:42:14 GMT""},{""version"":""v2"",""created"":""Mon, 2 Dec 1996 15:50:02 GMT""},{""version"":""v3"",""created"":""Wed, 9 Apr 1997 22:09:15 GMT""}]","2009-10-28"
"hep-ph/9608489","Jorge L. Lopez","D. Nanopoulos","Theoretical Summary","21 pages, LaTeX (uses sprocl.sty)",,,"CTP-TAMU-43/96","hep-ph",,"  After a quick tour through the present status of the Standard Model, an
attempt is made to set up a framework to discuss some presently available
exotica, including $R_b$ and the CDF $ee\gamma\gamma+E_T\hskip-13pt/\ $
``event."" Supersymmetry seems to be a key player in establishing a paradigm
shift beyond the Standard Model. (XI Topical Workshop on Proton-antiproton
Collider Physics, Abano Terme (Padua), Italy, 26 May-1 June, 1996.)
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 15:58:47 GMT""}]","2007-05-23"
"hep-th/9608185","Kimyeong Lee","Kimyeong Lee","The Moduli Space of BPS Monopoles","LaTex, 14 pagees, To be appear in proceedings for Quark-96, Russia",,,"CU-TP-778","hep-th",,"  We review a progress in our understanding of the moduli space for an
arbitrary number of BPS monopoles in a gauge theory with a group $G$ of rank
$r$ that is maximally broken to $U(1)^r$. The derivation of the moduli space
metric has been obtained from studying the low energy dynamics of
well-separated dyons.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 17:25:11 GMT""}]","2007-05-23"
"hep-th/9608186",,"A. Johansen","A Comment on BPS States in F-theory in 8 Dimensions","harvmac tex, 8 pages","Phys.Lett. B395 (1997) 36-41","10.1016/S0370-2693(97)00053-1","HUTP-96/A030","hep-th",,"  We study some aspects of enhanced gauge symmetries in F-theory compactified
on K3. We find open string configurations connecting various 7-branes which
represent stable BPS states. In this approach we recover $D_n$ and $E_n$ gauge
groups previously found from an analysis of sigularities of the moduli space of
elliptically fibered K3 manifolds as well as examples of non-perturbative
realizations of $A_n$ groups.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 18:36:58 GMT""}]","2009-10-30"
"hep-th/9608187","Nelson R. F. Braga","Nelson R. F. Braga and Clovis Wotzasek","Chiral Decomposition For Non-Abelian Bosons","10 pages, LATEX",,,"UFRJ-IF-FPC-009-96","hep-th",,"  We study the non-abelian extension for the splitting of a scalar field into
chiral components. Using this procedure we find a non ambiguous way of coupling
a non abelian chiral scalar field to gravity. We start with a (non-chiral) WZW
model covariantly coupled to a background metric and, after the splitting,
arrive at two chiral Wess-Zumino-Witten (WZW) models coupled to gravity.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 18:04:53 GMT""}]","2007-05-23"
"hep-th/9608188",,"Chong-Sun Chu, Pei-Ming Ho and Bruno Zumino","Some Complex Quantum Manifolds and their Geometry","Cargese lectures, July 1996, one figure, Full postscript available
  from http://theor1.lbl.gov/www/theorgroup/papers/39275.ps",,,"LBL-39275, UCB-PTH-96/38","hep-th",,"  After recalling briefly some basic properties of the quantum group $GL_q(2)$,
we study the quantum sphere $S_q^2$, quantum projective space $CP_q(N)$ and
quantum Grassmannians as examples of complex (K\""{a}hler) quantum manifolds.
The differential and integral calculus on these manifolds are discussed. It is
shown that many relations of classical projective geometry generalize to the
quantum case. For the case of the quantum sphere a comparison is made with A.
Connes' method.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 01:21:16 GMT""}]","2007-05-23"
"hep-th/9608189",,"J.S. Dowker and Klaus Kirsten","Spinors and forms on generalised cones","34 pages, JyTeX","Commun.Anal.Geom. 7 (1999) 641-679",,"MUTP/96/23","hep-th",,"  A method is presented, and used, for determining any heat-kernel coefficient
for the form-valued Laplacian on the $D$-ball as an explicit function of
dimension and form order. The calculation is offerred as a particular
application of a general technique developed earlier for obtaining heat-kernel
coefficients on a bounded generalised cone which involves writing the sphere
and ball \zfs, and coefficients, in terms of Barnes \zfs\ and generalised
Bernoulli polynomials. Functional determinants are computed. Spinors are also
treated by the general method.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 10:02:41 GMT""}]","2007-05-23"
"hep-th/9608190","Jens Ole Madsen","J. M. Evans (DAMTP, Cambridge), J. O. Madsen (ENSLAPP, Annecy)","Integrability vs. Supersymmetry","plain TeX file, 11 pages output, macros included; minor errors
  corrected, extra references added","Phys.Lett. B389 (1996) 665-672","10.1016/S0370-2693(96)01503-1","CERN-TH/96-224, DAMTP/96-76, ENSLAPP-A-612/96","hep-th",,"  We investigate (1,0)-superconformal Toda theories based on simple Lie
algebras and find that the classical integrability properties of the underlying
bosonic theories do not survive. For several models based on algebras of low
rank, we show explicitly that none of the conserved W-algebra generators can be
generalized to the supersymmetric case. Using these results we deduce that at
least one W-algebra generator fails to generalize in any model based on a
classical Lie algebra. This argument involves a method for relating the bosonic
Toda theories and their conserved currents within each classical series. We
also scrutinize claims that the (1,0)-superconformal models actually admit
(1,1) supersymmetry and find that they do not. Our results are consistent with
the belief that all integrable Toda models with fermions arise from Lie
superalgebras.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 12:40:46 GMT""},{""version"":""v2"",""created"":""Thu, 14 Nov 1996 13:15:09 GMT""}]","2009-10-30"
"hep-th/9608191","Hugo Reinhard","H. Reinhardt","Dual description of QCD","7 pages LaTeX with sprocl.sty style-file",,,"UNITU-THEP-17/1996","hep-th",,"  It is demonstrated that the field strength approach to Yang Mills theories
has essential features of the dual description. In D=3 this approach is
formulated in terms of gauge invariant variables.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 14:25:07 GMT""}]","2007-05-23"
