"adap-org/9608003","Chen Kan","Kan Chen (Department of Computational Science, National University of
  Singapore)","A Simple Learning Algorithm for the Traveling Salesman Problem","10 pages, Latex, 3 postscript figures",,"10.1103/PhysRevE.55.7809",,"adap-org nlin.AO",,"  We propose a learning algorithm for solving the traveling salesman problem
based on a simple strategy of trial and adaptation: i) A tour is selected by
choosing cities probabilistically according to the ``synaptic'' strengths
between cities. ii) The ``synaptic'' strengths of the links that form the tour
are then enhanced (reduced) if the tour length is shorter (longer) than the
average result of the previous trials. We perform extensive simulations of the
random distance traveling-salesman problem. For sufficiently slow learning
rates, near optimal tours can be obtained with the average optimal tour lengths
close to the lower bounds for the shortest tour lengths.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 09:25:43 GMT""}]","2009-10-28"
"hep-ex/9608010","Jonathan Butterworth","ZEUS Collaboration, M. Derrick et al","Measurement of Elastic omega Photoproduction at HERA","32 pages including 7 figures Various changes throughout the text of
  paper","Z.Phys.C73:73-84,1996","10.1007/s002880050297","DESY-96-159","hep-ex",,"  The reaction $\gamma p \rightarrow \omega p$ $(\omega \rightarrow
\pi^+\pi^-\pi^0$ and $\pi^0\rightarrow\gamma\gamma)$ has been studied in $ep$
interactions using the ZEUS detector at photon-proton centre-of-mass energies
between $70$ and $90 GeV$ and $|t| < 0.6 GeV^2$, where $t$ is the squared four
momentum transferred at the proton vertex.The elastic \ome photoproduction
cross section has been measured to be $\sigma_{\gamma p\rightarrow \omega p} =
1.21\pm 0.12\pm 0.23 \mu b$. The differential cross section $d\sigma_{\gamma
p\rightarrow \omega p} /d|t|$ has an exponential shape $e^{-b |t|}$ with a
slope $b = 10.0\pm 1.2\pm 1.3 GeV^{-2}$. The angular distributions of the decay
pions are consistent with s-channel helicity conservation. When compared to low
energy data, the features of $\omega$ photoproduction as measured at HERA
energies are in agreement with those of a soft diffractive process. Previous
measurements of the $\rho^0$ and $\phi$ photoproduction cross sections at HERA
show a similar behaviour.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 13:58:23 GMT""},{""version"":""v2"",""created"":""Wed, 11 Sep 1996 09:22:09 GMT""}]","2008-11-26"
"hep-lat/9608075",,"M.N.Chernodub, F.V.Gubarev and M.I.Polikarpov","Aharonov--Bohm Effect in 3D Abelian Higgs Theory","LaTeX, 3 pages, 1 figure, uses epsf.sty; talk presented at
  LATTICE96(topology), St. Louis, USA","Nucl.Phys.Proc.Suppl.53:581-583,1997","10.1016/S0920-5632(96)00724-4","ITEP-TH-37/96","hep-lat hep-th",,"  We study a field--theoretical analogue of the Aharonov--Bohm effect in the 3D
Abelian Higgs Model: the corresponding topological interaction is proportional
to the linking number of the vortex and the particle world trajectories. We
show that the Aharonov--Bohm effect gives rise to a nontrivial interaction of
tested charged particles.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 16:52:29 GMT""}]","2010-05-27"
"hep-lat/9608077","Gudmar Thorleifsson","E. Gregory, S.M. Catterall and G. Thorleifsson (Syracuse Univ.)","Blocking of Dynamical Triangulations with Matter","Talk presented at LATTICE96(gravity), 3 pages, LaTeX, espcrc2.sty","Nucl.Phys.Proc.Suppl. 53 (1997) 763-765","10.1016/S0920-5632(96)00775-X",,"hep-lat",,"  We use the recently proposed node decimation algorithm for blocking dynamical
geometries to investigate a class of models, with central charge greater than
unity, coupled to 2D gravity. We demonstrate that the blocking preserves the
fractal structure of the surfaces.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 17:21:55 GMT""}]","2009-10-28"
"hep-lat/9608079","Kari Rummukainen","K. Rummukainen (Indiana University)","Finite T Electroweak Phase Transition on the Lattice","Talk presented at LATTICE96(electroweak), 13 pages latex, 11
  eps-figures","Nucl.Phys.Proc.Suppl. 53 (1997) 30-42","10.1016/S0920-5632(96)00597-X","IUHET-341","hep-lat hep-ph",,"  This talk reviews recent lattice results on the high $T$ electroweak phase
transition. A remarkably accurate picture emerges: a) the transition is of
first order for $m_H \lsim 80$GeV and vanishes for larger $m_H$; b) transition
temperature, latent heat and interface tension are known, as well as c) the
properties of the broken and symmetric phases. New developments in the
sphaleron rate calculations are discussed.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 23:31:54 GMT""}]","2009-10-28"
"hep-lat/9608080","Joe Kiskis","Joe Kiskis","Absence of Physical Walls in Hot Gauge Theories","4 pages, latex, espcrc2.sty, poster presented at LATTICE96(finite
  temperature)","Nucl.Phys.Proc.Suppl. 53 (1997) 465-468","10.1016/S0920-5632(96)00689-5","UCD 96-40","hep-lat",,"  This paper shows that there are no physical walls in the deconfined,
high-temperature phase of Z(2) lattice gauge theory. In a Hamiltonian
formulation, the interface in the Wilson lines is not physical. The line
interface and its energy are interpreted in terms of physical variables. They
are associated with a difference between two partition functions. One includes
only the configurations with even flux across the interface. The other is
restricted to odd flux.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 05:05:36 GMT""}]","2009-10-28"
"hep-lat/9608081","Peter Stephenson","M. G\""ockeler, R. Horsley, M. Ilgenfritz, H. Oelrich, H. Perlt, P.
  Rakow, G. Schierholz, A. Schiller and P. Stephenson","First results with non-perturbative fermion improvement","3 pages, 2 PostScript figures, LaTeX 2.09 with espcrc2.sty v2.6,
  amstex and epsf, talk presented at LATTICE96(phenomenology) by P. Stephenson","Nucl.Phys.Proc.Suppl.53:312-314,1997","10.1016/S0920-5632(96)00646-9","DESY 96--142, HUB--EP--96/23","hep-lat",,"  We present initial results for light hadron masses and nucleon structure
functions using a recent proposal for eliminating all $O(a)$ effects from
Wilson fermion simulations in the quenched approximation. With initially
limited statistics, we find a much more linear APE plot and a value of the
axial coupling $g_A$ nearer to the experimental point than with comparable runs
using unimproved Wilson fermions.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 08:24:38 GMT""}]","2008-11-26"
"hep-lat/9608082","J. Smit","Jan Smit","Remarks on the quantum gravity interpretation of 4D dynamical
  triangulation","Talk presented at LATTICE96(gravity); 3 pages; LaTeX, espcrc2.sty","Nucl.Phys.Proc.Suppl. 53 (1997) 786-790","10.1016/S0920-5632(96)00782-7","ITFA-96-32","hep-lat",,"  We review some of the phenomenology in 4D dynamical triangulation and explore
its interpretation in terms of a euclidean effective action of the continuum
form $\intx \sqrt{g} [\mu -\frac{1}{16\pi G} R + \cdots]$.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 12:14:28 GMT""}]","2009-10-28"
"hep-lat/9608083","Uwe Glaessner","SESAM-Collaboration, U. Glaessner, S. Guesken, H. Hoeber, Th. Lippert,
  G. Ritzenhoefer, K. Schilling, G. Siegert, and A. Spitz","Light Spectrum and Decay Constants in Full QCD with Wilson Fermions","3 pages, LaTeX with 4 eps figures, Talk presented at
  LATTICE96(spectrum)","Nucl.Phys.Proc.Suppl. 53 (1997) 219-221","10.1016/S0920-5632(96)00619-6","HLRZ 61/96","hep-lat",,"  We present results from an analysis of the light spectrum and the decay
constants f_{\pi} and f_V^{-1} in Full QCD with n_f=2 Wilson fermions at a
coupling of beta=5.6 on a 16^3x32 lattice.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 12:30:49 GMT""}]","2009-10-28"
"hep-lat/9608084","Shoichi Sasaki Rcnp","Masahiro Fukushima(RCNP), Shoichi Sasaki(RCNP), Hideo Suganuma(RCNP),
  Atsunori Tanaka(RCNP), Hiroshi Toki(RCNP), Dmitri Diakonov(Petersburg N.P.I.)","Clustering of Monopoles in the Instanton Vacuum","7 pages, Plain Latex, (3 figures - available on request from
  ssasaki@rcnp.osaka-u.ac.jp)","Phys.Lett. B399 (1997) 141-147","10.1016/S0370-2693(97)00286-4",,"hep-lat",,"  We generate a random instanton vacuum with various densities and size
distributions. We perform numerically the maximally abelian gauge fixing of
these configurations in order to find monopole trajectories induced by
instantons. We find that instanton-induced monopole loops form enormous
clusters occupying the whole physical volume, provided instantons are
sufficiently dense. It indicates that confinement might be caused by
instantons.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 14:21:20 GMT""},{""version"":""v2"",""created"":""Fri, 16 Aug 1996 05:23:46 GMT""}]","2019-08-15"
"hep-lat/9608085","Karl Strobl","Karl Strobl","Improvements for Vachaspati-Vilenkin-type Algorithms for Cosmic String
  and Disclination Formation","20 pages, plain LaTeX, macro mathsymb.sty included, figures included,
  also available as
  http://starsky.pcss.maps.susx.ac.uk/groups/pt/preprints/96/96012ps.gz",,,"SUSX-TH-96-12","hep-lat cond-mat",,"  We derive various consistency requirements for Vachaspati-Vilenkin type
Monte-Carlo simulations of cosmic string formation or disclination formation in
liquid crystals. We argue for the use of a tetrakaidekahedral lattice in such
simulations. We also show that these calculations can be carried out on
lattices which are formally infinite, and do not necessitate the specification
of any boundary conditions. This way string defects can be traced up to much
larger lengths than on finite lattices. The simulations then fall into a more
general class of simulations of self-interacting walks, which occupy the
underlying lattice very sparsely. An efficient search algorithm is essential.
We discuss various search strategies, and demonstrate how to implement hash
tables with collision resolution by open addressing. The time to trace a string
defect is then proportional only to the string length.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 15:37:53 GMT""},{""version"":""v2"",""created"":""Fri, 16 Aug 1996 14:51:59 GMT""}]","2008-02-03"
"hep-ph/9608319","Subir Sarkar","Sebastian E. Larsson, Subir Sarkar and Peter L. White (Oxford)","Evading the cosmological domain wall problem","17 pages (revtex), including 9 figures (epsf); Revised to include
  test of numerical approximation used; No change in results or conclusions;
  accepted for publication in Phys Rev D. PostScript available at
  ftp://ftp.physics.ox.ac.uk/pub/local/users/sarkar/Domainwalls.ps.gz","Phys.Rev.D55:5129-5135,1997","10.1103/PhysRevD.55.5129","OUTP-96-11P","hep-ph astro-ph",,"  Discrete symmetries are commonplace in field theoretical models but pose a
severe problem for cosmology since they lead to the formation of domain walls
during spontaneous symmetry breaking in the early universe. However if one of
the vacuua is favoured over the others, either energetically, or because of
initial conditions, it will eventually come to dominate the universe. Using
numerical methods, we study the evolution of the domain wall network for a
variety of field configurations in two and three dimensions and quantify the
rate at which the walls disappear. Good agreement is found with a recent
analytic estimate of the termination of the scaling regime of the wall network.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 17:09:38 GMT""},{""version"":""v2"",""created"":""Tue, 21 Jan 1997 09:32:23 GMT""}]","2011-02-16"
"hep-ph/9608322","Anne Ruth Billups","R. Baier, Yu. L. Dokshitzer, A.H. Mueller, S. Peign, and D. Schiff","Radiative energy loss and $p_{\perp}$-broadening of high energy partons
  in nuclei","LaTex2e, 18 pages, epsf, 2 postscript figures","Nucl.Phys.B484:265-282,1997","10.1016/S0550-3213(96)00581-0","CU-TP-760, BI-TP 96/26, LPTHE-Orsay 96/61","hep-ph",,"  The medium-induced $p_{\perp}$-broadening and induced gluon radiation
spectrum of a high energy quark or gluon traversing a large nucleus is studied.
Multiple scattering of the high energy parton in the nucleus is treated in the
Glauber approximation. We show that -dE/dz, the radiative energy loss of the
parton per unit length, grows as L, the length of the nuclear matter, as does
the characteristic transverse momentum squared of the parton $p_{\perp W}^2$.
We find dE/dz = (1/8)\alpha_s N_c $p_{\perp W}^2$ holds independent of the
details of the parton-nucleon scatterings so long as L is large. Numerical
estimates suggest that $p_{\perp}$-broadening and energy loss may be
significantly enhanced in hot matter as compared to cold matter, thus making
the study of such quantities a possible signal for quark-gluon plasma
formation.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 16:30:44 GMT""}]","2011-05-05"
"hep-ph/9608324",,"Michael S. Chanowitz","Gauge invariant formulation of strong WW scattering","single LaTeX file, no figures, 12 pages","Phys.Lett. B388 (1996) 161-166","10.1016/0370-2693(96)01152-5","LBNL-39204","hep-ph",,"  Models of strong $WW$ scattering in the $s$-wave can be represented in a
gauge invariant fashion by defining an effective scalar propagator that
represents the strong scattering dynamics. The $\sigma(qq \ra qqWW)$ signal may
then be computed in U-gauge from the complete set of tree amplitudes, just as
in the standard model, without using the effective $W$ approximation (EWA). The
U-gauge ``transcription'' has a wider domain of validity than the EWA, and it
provides complete distributions for the final state quanta, including
experimentally important jet distributions that cannot be obtained from the
EWA. Starting from the usual formulation in terms of unphysical Goldstone boson
scattering amplitudes, the U-gauge transcription is verified by using BRS
invariance to construct the complete set of gauge and Goldstone boson
amplitudes in $R_{\xi}$ gauge.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 18:06:15 GMT""}]","2009-10-28"
"hep-ph/9608325","Wolfgang Hollik","W. Hollik","Higgs mass prediction","10 pages, LaTex + 2 figures. Invited talk at the XI Topical Workshop
  on Proton-Antiproton Collider Physics, Abano Terme, May 26 - June 1, 1996. A
  few references have been added",,,"KA-TP-19-1996","hep-ph",,"  In this talk the Higgs boson effects in electroweak precision observables are
reviewed and the possibility of indirect information on the Higgs mass from
electroweak radiative corrections and precision data is discussed.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 18:30:45 GMT""},{""version"":""v2"",""created"":""Fri, 6 Sep 1996 16:31:00 GMT""}]","2008-02-03"
"hep-ph/9608326","Biswa","Biswajoy Brahmachari","$\alpha_s(m_Z)$, intermediate scales and Fermion masses in supersymmeric
  theories; two-loop results","Invited talk at SUSY-96, U. Maryland, May-June 1996","Nucl.Phys.Proc.Suppl.52A:167-171,1997","10.1016/S0920-5632(96)00555-5",,"hep-ph",,"  One way to generate an intermediate scale being consistent with gauge
coupling unification is to add new Higgs scalars above the intermediate scale.
We classify such scenarios according to their degree of departure from minimal
supersymmetric standard model. Thereafter, we summarize the results of a
two-loop renormalization group analysis of the gauge and the Yukawa sectors of
such scenarios, and their sensitivity to the {\it input} $\alpha_3(m_Z)$. The
presence of an adjoint color octet above the intermediate scale can raise the
gauge coupling unification scale to the $string$ scale, acommodate a suitable
intermediate scale, provide a left-handed $\tau$-neutrino$ mass of the order of
few electron volts and also have the right prediction of the ratio of $m_b
/m_\tau$.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 19:37:32 GMT""}]","2011-01-27"
"hep-ph/9608327","Salman Habib","Salman Habib, Emil Mottola, and Peter Tinyakov","Winding Transitions at Finite Energy and Temperature: An O(3) Model","21 pages (14 figures), RevTeX (plus macro), uses epsf","Phys.Rev.D54:7774-7793,1996","10.1103/PhysRevD.54.7774","LA-UR-96-2148","hep-ph hep-lat hep-th",,"  Winding number transitions in the two dimensional softly broken O(3)
nonlinear sigma model are studied at finite energy and temperature. New
periodic instanton solutions which dominate the semiclassical transition
amplitudes are found analytically at low energies, and numerically for all
energies up to the sphaleron scale. The Euclidean period beta of these finite
energy instantons increases with energy, contrary to the behavior found in the
abelian Higgs model or simple one dimensional systems. This results in a sharp
crossover from instanton dominated tunneling to sphaleron dominated thermal
activation at a certain critical temperature. Since this behavior is traceable
to the soft breaking of conformal invariance by the mass term in the sigma
model, semiclassical winding number transition amplitudes in the electroweak
theory in 3+1 dimensions should exhibit a similar sharp crossover. We argue
that this is indeed the case in the standard model for M_H < 4 M_W.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 21:16:55 GMT""}]","2014-11-17"
"hep-ph/9608328",,"Lesley L. Smith, Pankaj Jain, Douglas W. McKay","Technicolor Mechanisms for Single Top Production","3 pages, LaTeX, uses sprocl.sty, to appear in the Proceedings of
  DPF96, Minneapolis, MN, 11-15 Aug 1996",,,,"hep-ph",,"  We investigate the contribution of technicolor mechanisms to the production
of single top quarks at hadron colliders. We find that a promising candidate
process is gluon-gluon fusion to produce a W-boson plus technipion, with
subsequent decay of the technipion to a top quark plus a bottom quark. The
top-plus-bottom mode is the dominant one when the technipion mass is larger
than the top mass. We calculate the total cross section and the $p_{T}$
distribution for the technipion production at Tevatron and LHC energies for a
range of technipion masses, starting at 200 GeV. The decay chain of technipion
to top plus bottom quarks and then top to W plus bottom yields a final state
with two W's and two bottom quarks. We study the backgrounds to our process and
the kinematic cuts that maximize the signal to background. We report event rate
estimates for the upgraded Tevatron and the LHC.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 00:06:00 GMT""}]","2007-05-23"
"hep-ph/9608329","Eligio Lisi","John Ellis (CERN), G.L. Fogli (Bari U. & INFN, Bari), E. Lisi (Bari U.
  & INFN, Bari)","Indications from Precision Electroweak Physics Confront Theoretical
  Bounds on the Mass of the Higgs Boson","10 pages (RevTeX) + 5 figures (Postscript). Requires epsfig.sty","Phys.Lett.B389:321-326,1996","10.1016/S0370-2693(96)01283-X","CERN-TH/96-216, LBNL-39237","hep-ph",,"  An updated fit to the precision electroweak data and to the direct
measurement of the top quark mass $m_t$ provides significant constraints on
$m_t$ and on the Higgs boson mass $M_H$: $m_t/\text{GeV}=172\pm 6$ and
$\log_{10}(M_H/\text{GeV})=2.16\pm 0.33$, with an error correlation $\rho=0.5$.
We integrate the $(M_H, m_t)$ probability distribution found in this analysis
over various zones of the $(M_H, m_t)$ plane defined by one-sided experimental
and theoretical bounds on the Higgs boson mass, both in the Standard Model and
in its minimal supersymmetric extension. The comparison of the cumulative
probabilities gives interesting information on the likelihood that the true
value of $M_H$ is compatible with different theoretical scenarios.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 23:45:15 GMT""}]","2008-11-26"
"hep-ph/9608330","Gregory Gabadadze","Glennys R. Farrar and G.T. Gabadadze (Rutgers Univ.)","Light Gluino Mass and Condensate from Properties of $\eta$ and $\eta'$","14 pages, LATEX file, 1 PS fig. Some discussions are added, to be
  published in Phys. Lett. B","Phys.Lett. B397 (1997) 104-111","10.1016/S0370-2693(97)00151-2",,"hep-ph",,"  We investigate whether known properties of the $\eta'$ meson are consistent
with its being the Goldstone boson of the spontaneously broken anomaly-free R
symmetry required in the light gluino scenario. We fit the masses and $2\gamma$
decays of the $\eta$ and $\eta'$ mesons, and also their production in radiative
$J/\psi$ decays. We find that the $\eta-\eta'$ system is well-described in the
light gluino scenario, if $m_\lambda\simeq (84-144) MeV$ and
$<{\bar\lambda}\lambda> \simeq -(0.15-0.36) GeV^3$. These values are in the
range expected when the gluino gets its mass entirely from radiative
corrections.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 02:07:13 GMT""},{""version"":""v2"",""created"":""Fri, 7 Feb 1997 22:09:01 GMT""}]","2009-10-28"
"hep-ph/9608331","Michael Lublinsky","M. Lublinsky","$g_{\omega\rho\pi}$ reexamined","REVTeX, 8 pages, 7 figures (acceptable from the author by request)","Phys.Rev. D55 (1997) 249-254","10.1103/PhysRevD.55.249",,"hep-ph",,"  The transition constant for the hadronic decay $\omega \rightarrow \rho\pi$
is investigated by means of QCD sum rules in external axial field. The obtained
value for $g_{\omega\rho\pi}$ is about 16 GeV${}^{-1}$ that is in a good
agreement with experimental data.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 09:44:22 GMT""}]","2009-10-28"
"hep-ph/9608332","David John Summers","David J. Summers (CERN)","Transverse mass as a means of measuring the W width at the Tevatron","13 pages, plain LaTeX, uses epsf.sty. 6 postscript figures. 1 added
  reference, no change to the text","Phys.Lett. B392 (1997) 216-222","10.1016/S0370-2693(96)01493-1","CERN-TH/96-205","hep-ph",,"  At the Tevatron the transverse mass is used to separate on mass shell from
off mass shell W production; and the rate of off mass shell W production gives
a measure of the W width. We look at alternative variables to see if the
separation of on and off mass shell W's can be improved, and hence give a
better measure of the W width. We find that the transverse mass is very close
to the optimal variable for separating on from off mass shell W decay, and
hence there is little to be gained by using other, more complicated, variables.
This happens because if the transverse mass is above the W mass, the W is
guaranteed to be produced off mass shell.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 13:39:33 GMT""},{""version"":""v2"",""created"":""Thu, 7 Nov 1996 16:40:04 GMT""}]","2009-10-28"
"hep-ph/9608333","Shoichi Sasaki Rcnp","Hideo Suganuma (RCNP), Hiroko Ichie (RCNP), Hideko Monden (TMU),
  Shoichi Sasaki (RCNP), Manabu Orito (NAO), Tadahiro Yamamoto (NAO) and
  Toshitaka Kajino (NAO)","QCD Phase Transition at high Temperature in Cosmology","Talk presented by H. Suganuma at XIV International Conference on
  'Particles and Nuclei (PANIC96)', 22-28 May 1996 in Williamsburg, USA, 2
  pages, Plain Tex, uses PHYZZX",,,,"hep-ph",,"  The cosmological QCD phase transition is studied in terms of the color
confinement at finite temperature using the dual Higgs theory of QCD. The
confinement force is largely reduced at high temperature, which leads to the
swelling of hadrons. We derive analytical formulae for the surface tension and
the boundary thickness of the mixed phase from the effective potential at
$T_c$. We predict a large reduction of the glueball mass near $T_c$. We
investigate also the process of the hadron-bubble formation in the early
Universe.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 15:14:39 GMT""}]","2007-05-23"
"hep-ph/9608334","Shoichi Sasaki Rcnp","Hideo Suganuma (RCNP), Shoich Sasaki (RCNP), Hiroko Ichie (RCNP),
  Hiroshi Toki (RCNP), Fumiaki Araki (RCNP)","Dual Higgs Mechanism and Nonperturbative QCD","Talk presented by H. Suganuma at International Symposium on ``Nuclear
  Physics Frontiers with Electro-Weak Probes(FRONTIER96)'', March 7-9, 1996, in
  Osaka, Japan, 7 pages, Plain Tex, uses PHYZZX ( 10 figures - available on
  request from suganuma@rcnp.osaka-u.ac.jp )",,,,"hep-ph",,"  We study the dual Higgs mechanism for the nonperturbative QCD. We point out
two kind of the ``see-saw'' relations between electric and magnetic sectors.
Owing to the Dirac condition $eg=4\pi$, the dual Ginzburg-Landau theory has the
asymptotic freedom nature on the gauge coupling constant $e$, where the
``walking coupling constant'' is predicted for $e$ in the infrared region. We
study also QCD-monopoles and instantons, which are two relevant topological
objects in QCD. Strong correlations between the QCD-monopole trajectory and the
topological charge are found both in the continuum theory and in the lattice
gauge theory.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 15:14:42 GMT""}]","2007-05-23"
"hep-ph/9608335","Shoichi Sasaki Rcnp","Hideo Suganuma (RCNP), Hiroko Ichie (RCNP), Hiroshi Toki (RCNP),
  Hideko Monden (TMU)","Recent Progress in Nonperturbative QCD Theory and Insight on
  Cosmological Phase Transition","Talk presented by H. Suganuma at International Workshop on ``Nuclear
  and Particle Cosmo Physics'', Jan. 1996, in Atami, Japan, 10 pages, Plain
  Tex, uses PHYZZX ( 9 figures - available on request from
  suganuma@rcnp.osaka-u.ac.jp )",,,,"hep-ph",,"  The QCD phase transition at finite temperature is studied with the dual
Ginzburg-Landau theory, which is the QCD effective theory based on the dual
Higgs mechanism by QCD-monopole condensation. At high temperature, the
confinement force is largely reduced by thermal effects, which leads to the
swelling of hadrons. Simple formulae for the surface tension and the thickness
of the phase boundary are derived from the shape of the effective potential at
the critical temperature. We investigate also the process of the hadron-bubble
formation in the early Universe.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 15:14:45 GMT""}]","2007-05-23"
"hep-th/9608091","Francesco Ravanini","D. Fioravanti, A. Mariottini, E. Quattrini and F. Ravanini (Bologna
  Univ. and INFN)","Excited State Destri - De Vega Equation for Sine-Gordon and Restricted
  Sine-Gordon Models","Latex, 12 pages","Phys.Lett.B390:243-251,1997","10.1016/S0370-2693(96)01409-8","DFUB 96-24","hep-th",,"  We derive a generalization of the Destri - De Vega equation governing the
scaling functions of some excited states in the Sine-Gordon theory. In
particular configurations with an even number of holes and no strings are
analyzed and their UV limits found to match some of the conformal dimensions of
the corresponding compactified massless free boson. Quantum group reduction
allows to interpret some of our results as scaling functions of excited states
of Restricted Sine-Gordon theory, i.e. minimal models perturbed by phi_13 in
their massive regime. In particular we are able to reconstruct the scaling
functions of the off-critical deformations of all the scalar primary states on
the diagonal of the Kac-table.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 16:31:26 GMT""}]","2010-11-19"
"hep-th/9608092","Andreas Fring","B. Schroer","Wigner Representation Theory of the Poincare Group, Localization,
  Statistics and the S-Matrix","28 pages of LateX, removal of misprints and extension of the last
  section. more misprints corrected","Nucl.Phys.B499:519-546,1997","10.1016/S0550-3213(97)00358-1",,"hep-th",,"  It has been known that the Wigner representation theory for positive energy
orbits permits a useful localization concept in terms of certain lattices of
real subspaces of the complex Hilbert -space. This ''modular localization'' is
not only useful in order to construct interaction-free nets of local algebras
without using non-unique ''free field coordinates'', but also permits the study
of properties of localization and braid-group statistics in low-dimensional
QFT. It also sheds some light on the string-like localization properties of the
1939 Wigner's ''continuous spin'' representations.We formulate a constructive
nonperturbative program to introduce interactions into such an approach based
on the Tomita-Takesaki modular theory. The new aspect is the deep relation of
the latter with the scattering operator.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 16:33:04 GMT""},{""version"":""v2"",""created"":""Fri, 20 Sep 1996 08:55:45 GMT""},{""version"":""v3"",""created"":""Tue, 25 Mar 1997 19:15:48 GMT""}]","2010-11-19"
"hep-th/9608093","Bandos","Igor A. Bandos","String-Like Description of Gravity and Possible Applications for
  F-theory","11 pages. LATEX","Mod.Phys.Lett.A12:799-810,1997","10.1142/S0217732397000820","TUW 96-16, Technical University, Wien, August 1996","hep-th",,"  The Lorentz harmonic formulation of D-dimensional bosonic p-brane theory with
$D\geq (p+1)(p+2)/2$ coupled to an antisymmetric tensor field of rank d=(p+1)
provides the dynamical ground for the description of d=(p+1) dimensional
Gravity. It hence realizes the idea of Regge and Teitelboim on a 'string-like'
description of gravity. The simplest nontrivial models of such a kind are
provided by free D-dimensional p-branes in which world volumes are embedded as
minimal surfaces. Possible applications of such a model with d=2+2 and D=2+10
for studying a geometry of bosonic sector of F-theory are considered. Some
speculations inspired by the proposed model are presented.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 18:53:48 GMT""}]","2016-09-06"
"hep-th/9608094","Bandos","Igor A. Bandos","Generalized Action Principle and Geometric Approach for superstrings and
  super-p-branes","4 pages. LATEX. Talk presented at the Conference on Quantum Field
  Theory, Alushta, May 1996. To be published in Proc. of the Conference",,,,"hep-th",,"  In this short printed version of my talk I consider the generalized action
for super-p-branes proposed previously in collaboration with D. Sorokin and
Dmitrij V. Volkov. I describe briefly, the derivation doubly supersymmetric
geometric approach from the generalized action and discuss one of the direction
of its possible application.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 21:20:28 GMT""}]","2007-05-23"
"hep-th/9608095","Volovich","Anastasia Volovich","Three-block p-branes in various dimensions","22 pages, latex. A missed solution is added, misprints are corrected","Nucl.Phys. B492 (1997) 235-248","10.1016/S0550-3213(97)80034-X","AIV-1-96","hep-th gr-qc",,"  It is shown that a Lagrangian, describing the interaction of the gravitation
field with the dilaton and the antisymmetric tensor in arbitrary dimension
spacetime, admits an isotropic p-brane solution consisting of three blocks.
Relations with known p-brane solutions are discussed. In particular, in
ten-dimensional spacetime the three-block p-brane solution is reduced to the
known solution, which recently has been used in the D-brane derivation of the
black hole entropy.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 04:52:20 GMT""},{""version"":""v2"",""created"":""Thu, 19 Sep 1996 17:31:36 GMT""}]","2015-06-26"
"hep-th/9608096","R. H. Dijkgraaf","R. Dijkgraaf, G. Moore, E. Verlinde, H. Verlinde","Elliptic Genera of Symmetric Products and Second Quantized Strings","17 pages, latex, 1 figure, to appear in Commun. Math. Phys","Commun.Math.Phys.185:197-209,1997","10.1007/s002200050087","CERN-TH/96-222, ITFA/96-31, YCTP-P16-96","hep-th alg-geom math.AG",,"  In this note we prove an identity that equates the elliptic genus partition
function of a supersymmetric sigma model on the N-fold symmetric product
$M^N/S_N$ of a manifold M to the partition function of a second quantized
string theory on the space $M \times S^1$. The generating function of these
elliptic genera is shown to be (almost) an automorphic form for O(3,2,Z). In
the context of D-brane dynamics, this result gives a precise computation of the
free energy of a gas of D-strings inside a higher-dimensional brane.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 14:10:51 GMT""},{""version"":""v2"",""created"":""Mon, 18 Nov 1996 08:38:05 GMT""}]","2009-07-09"
