"adap-org/9608002","Yuhai Tu","Yuhai Tu, G. Grinstein, and M.A. Mu\~noz (IBM, Yorktown Heights)","Systems with Multiplicative Noise: Critical Behavior from KPZ Equation
  and Numerics","Four pages (In Revtex format) with 4 figures (in Postcript)",,"10.1103/PhysRevLett.78.274",,"adap-org cond-mat nlin.AO",,"  We show that certain critical exponents of systems with multiplicative noise
can be obtained from exponents of the KPZ equation. Numerical simulations in 1d
confirm this prediction, and yield other exponents of the multiplicative noise
problem. The numerics also verify an earlier prediction of the divergence of
the susceptibility over an entire range of control parameter values, and show
that the exponent governing the divergence in this range varies continuously
with control parameter.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 16:46:05 GMT""}]","2016-08-16"
"gr-qc/9608031","Thorsten Brotz","T. Brotz and C. Kiefer","Semiclassical Black Hole States and Entropy","Revtex, 15 pages, some clarifying comments and additional references
  included, to appear in Phys. Rev. D","Phys.Rev. D55 (1997) 2186-2191","10.1103/PhysRevD.55.2186","Freiburg THEP-96/16","gr-qc",,"  We discuss semiclassical states in quantum gravity corresponding to
Schwarzschild as well as Reissner Nordstr\""om black holes. We show that reduced
quantisation of these models is equivalent to Wheeler-DeWitt quantisation with
a particular factor ordering. We then demonstrate how the entropy of black
holes can be consistently calculated from these states. While this leads to the
Bekenstein-Hawking entropy in the Schwarzschild and non-extreme
Reissner-Nordstr\""om cases, the entropy for the extreme Reissner-Nordstr\""om
case turns out to be zero.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 08:16:58 GMT""},{""version"":""v2"",""created"":""Thu, 9 Jan 1997 10:22:19 GMT""},{""version"":""v3"",""created"":""Thu, 16 Jan 1997 10:00:32 GMT""}]","2009-10-28"
"hep-ex/9608007","Kevin S. McFarland","K.S. McFarland, et al","Updated Electroweak Measurements from Neutrino-Nucleon Deeply Inelastic
  Scattering at CCFR","LaTeX, 6 pages, 3 embedded PS figures, available at
  http://cordelia.fnal.gov/~ksmcf/publications/moriond96.ps.gz",,,"FERMILAB-Conf-96/227","hep-ex",,"  We report the results of a study of electroweak parameters from observations
of neutral-current $\nu$N deeply inelastic scattering in the CCFR detector at
the FNAL Tevatron Quadrupole Triplet neutrino beam. An improved extraction of
the weak mixing angle in the on-shell renormalization scheme, incorporating
additional data and with an improved technique for constraining systematic
errors, is presented. Within the Standard Model, this result constrains the W
mass with a precision comparable to that from direct measurements. The result
is also presented in a model-independent form, as constraints on
neutral-current quark-neutrino couplings, to facilitate comparisons with
theories outside the Standard Model. Using this result, limits on new
four-fermion interactions, leptoquarks and neutrino oscillations are presented.
Prospects for a successor experiment, NuTeV (FNAL-E815), are also presented.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 21:09:31 GMT""}]","2007-05-23"
"hep-ex/9608008","Hiroaki Masuda","K. Abe, et al. (The SLD Collaboration)","Measurement of the Charged Multiplicities in b, c and Light Quark Events
  from Z0 Decays","19 pages LaTex, 4 EPS figures, to appear in Physics Letters B","Phys.Lett.B386:475-485,1996","10.1016/0370-2693(96)01025-8","SLAC-PUB-7172","hep-ex hep-ph",,"  Average charged multiplicities have been measured separately in $b$, $c$ and
light quark ($u,d,s$) events from $Z^0$ decays measured in the SLD experiment.
Impact parameters of charged tracks were used to select enriched samples of $b$
and light quark events, and reconstructed charmed mesons were used to select
$c$ quark events. We measured the charged multiplicities:
  $\bar{n}_{uds} = 20.21 \pm 0.10 (\rm{stat.})\pm 0.22(\rm{syst.})$,
  $\bar{n}_{c} = 21.28 \pm 0.46(\rm{stat.}) ^{+0.41}_{-0.36}(\rm{syst.})$
  $\bar{n}_{b} = 23.14 \pm 0.10(\rm{stat.}) ^{+0.38}_{-0.37}(\rm{syst.})$, from
which we derived the differences between the total average charged
multiplicities of $c$ or $b$ quark events and light quark events: $\Delta
\bar{n}_c = 1.07 \pm 0.47(\rm{stat.})^{+0.36}_{-0.30}(\rm{syst.})$ and $\Delta
\bar{n}_b = 2.93 \pm 0.14(\rm{stat.})^{+0.30}_{-0.29}(\rm{syst.})$. We compared
these measurements with those at lower center-of-mass energies and with
perturbative QCD predictions. These combined results are in agreement with the
QCD expectations and disfavor the hypothesis of flavor-independent
fragmentation.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 01:39:17 GMT""}]","2008-11-26"
"hep-lat/9608066","Gero Ritzenhoefer","S. Fischer, A. Frommer, U. Glaessner, S. Guesken, H. Hoeber, Th.
  Lippert, G. Ritzenhoefer, K. Schilling, G. Siegert, A. Spitz","A Parallel SSOR Preconditioner for Lattice QCD","Talk presented at LATTICE96(algorithms), 3 pages, LaTeX file, 3
  epsf-files included","Nucl.Phys.Proc.Suppl. 53 (1997) 990-992","10.1016/S0920-5632(96)00836-5","HLRZ 60/96","hep-lat",,"  A parallelizable SSOR preconditioning scheme for Krylov subspace iterative
solvers in lattice QCD applications involving Wilson fermions is presented. In
actual Hybrid Monte Carlo and quark propagator calculations it helps to reduce
the number of iterations by a factor of 2 compared to conventional odd-even
preconditioning. This corresponds to a gain in cpu-time of 30\% - 70\% over
odd-even preconditioning.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 18:00:37 GMT""}]","2009-10-28"
"hep-lat/9608067","Owe Philipsen","O. Philipsen, M. Teper (Oxford) and H. Wittig (DESY-IfH Zeuthen)","Mass Spectrum of the 3d SU(2) Higgs Model and the Symmetric Electroweak
  Phase","Talk presented at LATTICE96(electroweak), 3 pages, 3 figures using
  epsf.sty","Nucl.Phys.Proc.Suppl. 53 (1997) 626-628","10.1016/S0920-5632(96)00737-2","OUTP-96-52P","hep-lat hep-ph",,"  We present results for the masses of the low-lying states with quantum
numbers $0^{++}$, $2^{++}$ and $1^{--}$ as well as Polyakov line correlations
in the Higgs and confinement regions of the 3d SU(2) Higgs model. In the
confinement phase we find a dense spectrum of bound states approximately split
into two disjoint sectors. One consists of W-balls nearly identical to the
glueball spectrum of the pure gauge theory, the other of bound states of
scalars.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 19:58:35 GMT""}]","2009-10-28"
"hep-lat/9608068",,"W. Bietenholz, R. Brower, S. Chandrasekharan and U.-J. Wiese","Progress on Perfect Lattice Actions for QCD","14 pages, 17 figures, Talk presented at LATTICE96(improvement)","Nucl.Phys.Proc.Suppl. 53 (1997) 921-934","10.1016/S0920-5632(96)00818-3",,"hep-lat hep-th",,"  We describe a number of aspects in our attempt to construct an approximately
perfect lattice action for QCD. Free quarks are made optimally local on the
whole renormalized trajectory and their couplings are then truncated by
imposing 3-periodicity. The spectra of these short ranged fermions are
excellent approximations to continuum spectra. The same is true for free
gluons. We evaluate the corresponding perfect quark-gluon vertex function,
identifying in particular the ``perfect clover term''. First simulations for
heavy quarks show that the mass is strongly renormalized, but again the
renormalized theory agrees very well with continuum physics. Furthermore we
describe the multigrid formulation for the non-perturbative perfect action and
we present the concept of an exactly (quantum) perfect topological charge on
the lattice.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 21:08:07 GMT""}]","2009-10-28"
"hep-lat/9608069","Andrew Pochinsky","R.C. Brower, S. Huang, J.W. Negele, A. Pochinsky and B. Schreiber","Calculation of Moments of Nucleon Structure Functions","Talk presented at LATTICE96(phenomenology)","Nucl.Phys.Proc.Suppl.53:318-320,1997","10.1016/S0920-5632(96)00648-2",,"hep-lat",,"  Preliminary results are presented in our program to calculate low moments of
structure functions for the proton and neutron on a $24^3\times32$ lattice at
$\beta=6.2$. A comparison is made for a variety of smeared nucleon sources and
preliminary results for the calculation of the nucleon tensor charge are
presented.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 22:56:48 GMT""}]","2008-11-26"
"hep-lat/9608070","Don Weingarten","Don Weingarten","Scalar Quarkonium and the Scalar Glueball","4 pages of Latex, 2 PostScript figures, uses espcrc2.sty which is
  included, Talk presented at LATTICE96(spectrum)","Nucl.Phys.Proc.Suppl.53:232-235,1997","10.1016/S0920-5632(96)00623-8","IBM-HET-96-2","hep-lat hep-ph",,"  Valence approximation glueball mass and decay calculations support the
identification of $f_J(1710)$ as the lightest scalar glueball. An alternate
glueball candidate is $f_0(1500)$. I present evidence for the identification of
$f_0(1500)$ as $s\overline{s}$ quarkonium.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 23:36:42 GMT""}]","2008-11-26"
"hep-lat/9608071","Don Weingarten","W. Lee and D. Weingarten","Scalar Quarkonium Masses","3 pages of Latex, 5 PostScript figures, uses espcrc2.sty which is
  included, Talk presented at LATTICE96(spectrum)","Nucl.Phys.Proc.Suppl. 53 (1997) 236-238","10.1016/S0920-5632(96)00624-X","IBM-HET-96-3","hep-lat hep-ph",,"  We evaluate the valence approximation to the mass of scalar quarkonium for a
range of different parameters. Our results strongly suggest that the infinite
volume continuum limit of the mass of $s\overline{s}$ scalar quarkonium lies
well below the mass of $f_J(1710)$. The resonance $f_0(1500)$ appears to the
best candidate for $s\overline{s}$ scalar quarkonium.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 23:37:30 GMT""}]","2009-10-28"
"hep-lat/9608072","Jae-Kwon Kim","Jae-Kwon Kim and D. P. Landau","Monte Carlo computation of the effective potential for the three
  dimensional Ising system","Talk presented at LATTICE96(other models); 3pages; latex using
  espcrc2.sty","Nucl.Phys.Proc.Suppl. 53 (1997) 706-708","10.1016/S0920-5632(96)00760-8",,"hep-lat cond-mat hep-th",,"  Using a novel finite size scaling Monte Carlo technique, we calculate the
four, six and eight point renormalized coupling constants defined at zero
momentum for the three dimensional Ising system. Our values of the six and
eight point coupling constants are significantly different from those obtained
from other methods.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 02:46:28 GMT""}]","2009-10-28"
"hep-lat/9608073",,"Stephan Elser and Burkhard Bunk (Humboldt-Universit\""at, Berlin)","Two-flavour Schwinger model with dynamical fermions in the L\""uscher
  formalism","Talk presented at LATTICE96(algorithms), 3 pages, 3 Postscript
  figures, uses twoside, fleqn, espcrc2, epsf, revised version (details of
  approx. polynomial)","Nucl.Phys.Proc.Suppl. 53 (1997) 953-955","10.1016/S0920-5632(96)00824-9",,"hep-lat",,"  We report preliminary results for 2D massive QED with two flavours of Wilson
fermions, using the Hermitean variant of L\""uscher's bosonization technique.
The chiral condensate and meson masses are obtained. The simplicity of the
model allows for high statistics simulations close to the chiral and continuum
limit, both in the quenched approximation and with dynamical fermions.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 09:07:45 GMT""},{""version"":""v2"",""created"":""Wed, 21 Aug 1996 15:14:38 GMT""}]","2009-10-28"
"hep-lat/9608074","Andreas Frommer","Andreas Frommer (Department of Mathematics, University of Wuppertal,
  Germany)","Linear systems solvers - recent developments and implications for
  lattice computations","7 pages, LaTeX using espcrc2.sty, 2 figures, 9 eps-files, Talk
  presented at LATTICE96(algorithms), submitted to Nucl. Phys. B, Proc. Suppl","Nucl.Phys.Proc.Suppl. 53 (1997) 120-126","10.1016/S0920-5632(96)00605-6",,"hep-lat",,"  We review the numerical analysis' understanding of Krylov subspace methods
for solving (non-hermitian) systems of equations and discuss its implications
for lattice gauge theory computations using the example of the Wilson fermion
matrix. Our thesis is that mature methods like QMR, BiCGStab or restarted GMRES
are close to optimal for the Wilson fermion matrix. Consequently,
preconditioning appears to be the crucial issue for further improvements.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 10:19:29 GMT""}]","2009-10-28"
"hep-lat/9608076","Gudmar Thorleifsson","M.J. Bowick, S.M. Catterall and G. Thorleifsson (Syracuse Univ.)","Suppressing Curvature Fluctuations in Dynamical Triangulations","Talk presented at LATTICE96(gravity), 3 pages, LaTeX, espcrc2.sty, 1
  figure","Nucl.Phys.Proc.Suppl. 53 (1997) 753-755","10.1016/S0920-5632(96)00772-4",,"hep-lat",,"  We study numerically the dynamical triangulation formulation of
two-dimensional quantum gravity using a restricted class of triangulation,
so-called minimal triangulations, in which only vertices of coordination number
5, 6, and 7 are allowed. A real-space RG analysis shows that for pure gravity
(central charge c = 0) this restriction does not affect the critical behavior
of the model. Furthermore, we show that the critical behavior of an Ising model
coupled to minimal dynamical triangulations (c = 1/2) is still governed by the
KPZ-exponents.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 15:53:36 GMT""}]","2009-10-28"
"hep-lat/9608078","Pavlos Vranas","P.M. Vranas","Domain Wall Fermions and MC Simulations of Vector Theories","Talk presented at LATTICE96(chirality in qcd), 3 pages in LaTex, 4
  Postscript figures","Nucl.Phys.Proc.Suppl. 53 (1997) 278-282","10.1016/S0920-5632(96)00636-6","CU-TP-774","hep-lat",,"  It is known that domain wall fermions may be used in MC simulations of vector
theories. The practicality and usefulness of such an implementation is
investigated in the context of the vector Schwinger model, on a 2+1 dimensional
lattice. Preliminary results of a Hybrid Monte Carlo simulation are presented.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 14:32:27 GMT""}]","2009-10-28"
"hep-ph/9608309",,"M.C.Gonzalez-Garcia (CERN-TH) and S.F. Novaes (IFT, Sao Paulo, Brasil)","Excited Fermion Contribution to Z Physics at One Loop","25 pages 6 figures","Nucl.Phys. B486 (1997) 3-22","10.1016/S0550-3213(96)00651-7","CERN-TH/96-123, IFT-P.013/96","hep-ph",,"  We investigate the effects induced by excited leptons at the one-loop level
in the observables measured on the $Z$ peak at LEP. Using a general effective
Lagrangian approach to describe the couplings of the excited leptons, we
compute their contributions to both oblique parameters and $Z$ partial widths.
Our results show that the new effects are comparable to the present
experimental sensitivity, but they do not lead to a significant improvement on
the available constraints on the couplings and masses of these states.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 16:59:55 GMT""}]","2009-10-28"
"hep-ph/9608310",,"Stefano Catani (INFN Firenze)","$k_{\perp}$-Factorization and Perturbative Invariants at Small $x$","9 pages, LateX",,,"DFF 254-7-96","hep-ph",,"  I review the basic idea of $k_{\perp}$-factorization and its relation to
collinear factorization. Theoretical results in resummed perturbation theory
are summarized and the example of the heavy-flavour structure functions is
explicitly considered. Using these results one can investigate the small-$x$
behaviour of quantities that are independent of the non-perturbative parton
densities. In particular, one can introduce physical anomalous dimensions that
relate the scaling violations in different hadronic observables.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 17:07:15 GMT""}]","2007-05-23"
"hep-ph/9608311","Eligio Lisi","B. Faid (Algiers U.), G.L. Fogli (Bari U. & INFN, Bari), E. Lisi
  (Princeton, Inst. Advanced Study & Bari U. & INFN, Bari), D. Montanino (Bari
  U. & INFN, Bari)","Solar neutrinos: Near-far asymmetry and just-so oscillations","RevTeX, 17 pages + 11 figures. Requires epsfig.sty","Phys.Rev.D55:1353-1364,1997","10.1103/PhysRevD.55.1353","IASSNS-AST 96/46, BARI-TH/248-96","hep-ph",,"  We propose to study possible signals of just-so oscillations in
new-generation solar neutrino experiments by separating the events detected
when the earth is nearest to the sun (perihelion $\pm$~3~months) from those
detected when the earth is farthest from the sun (aphelion $\pm$~3~months). We
introduce a solar model independent near-far asymmetry, which is non-zero if
just-so oscillations occur. We apply our calculations to the kinetic energy
spectra of electrons induced by $^8$B solar neutrino interactions in the
SuperKamiokande and Sudbury Neutrino Observatory experiments. We show that the
sensitivity to the neutrino oscillation parameters can be increased by probing
the near-far asymmetry in selected parts of the electron energy spectra.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 19:13:18 GMT""}]","2009-08-07"
"hep-ph/9608312","Kevin S. McFarland","K.S. McFarland","Comment on Leptophobic Bosons and $\nu N$ Neutral Current Scattering
  Data","LaTeX, 3 pages, 1 embedded PS figure, available at
  http://cordelia.fnal.gov/~ksmcf/publications/moriond_comment.ps.gz .
  Presented at the XXXIieme Rencontres de Moriond, Electroweak Interactions and
  Unified Theories",,,"FERMILAB-Conf-96/228","hep-ph",,"  The relevance of existing $\nu N$ deep inelastic scattering data to models
containing a leptophobic neutral vector boson is discussed. It is shown that
this neutral current data is in good agreement with the Standard Model and
disfavors such a leptophobic boson.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 21:23:05 GMT""}]","2007-05-23"
"hep-ph/9608313","Wai-Yee Keung","Darwin Chang and W.-Y. Keung","New Limits on R-Parity Breakings in Supersymmetric Standard Models","8 TeX pages and 5 pages of figures in postscript format. All ps files
  are also in http://www.uic.edu/~keung/pub/nnbar.html","Phys.Lett.B389:294-298,1996","10.1016/S0370-2693(96)01271-3","FERMILAB-PUB-96/200-T","hep-ph",,"  New limits on couplings $\lambda^i_{jk}{''}$, which break both the baryon
number and the $R$--parity, are derived by using a new mechanism that
contributes to the neutron-anti-neutron oscillation. The constraints due to
proton decay and its potential phenomenology are also reexamined.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 03:29:48 GMT""}]","2009-09-01"
"hep-ph/9608314","Rahul Sinha","Rahul Sinha (Institute of Mathematical Sciences, Taramani, Madras
  India)","CP violation in B mesons using Dalitz plot asymmetries","12 pages, Revtex, no figures",,,"IMSc-96/07/22","hep-ph",,"  We study CP violation in $B\to K^* \ell^+\ell^-$ using generalized Dalitz
plot asymmetries in the angular distribution. These new kind of asymmetries are
constructed by adding B and ${\bar B}$ events, and do not require flavor or
time tagging, nor is the presence of strong phases needed. Using this method
one requires about $2 \times 10^8/\eta$ B's to measure the CP violating
parameter $\eta$ in the Standard model. The two--Higgs doublet model requires
only $10^7$ B's to constrain parameters better than done by the electric dipole
moment of the neutron.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 05:29:35 GMT""}]","2016-09-06"
"hep-ph/9608315","Per Osland","B. Kileng, P. Osland, P. N. Pandita","Lightest MSSM Higgs Boson Production and its Two-Photon Decay at the LHC","11 pages, LaTeX, uses epsf and ws-art.sty. Presented at the workshop
  ""Quantum Systems: New Trends and Methods"", Minsk, Belarus, June 3-7, 1996. To
  appear in the Proceedings (World Scientific)",,,,"hep-ph",,"  We present an analysis of the production and two-photon decay of the lightest
CP-even Higgs boson of the Minimal Supersymmetric Standard Model (MSSM) at the
Large Hadron Collider (LHC). A rather general model is considered, without
supergravity constraints. All parameters of the model are taken into account,
we especially study the dependence of the cross section on the squark masses,
on the bilinear parameter $\mu$ and the trilinear supersymmetry breaking
parameter $A$. Non-zero values of these parameters lead to significant mixing
in the squark sector, and, thus, affect the masses of Higgs bosons through
radiative corrections, as well as their couplings to squarks. The cross section
times the two-photon branching ratio of $h^0$ is of the order of 15--25~fb in
much of the parameter space that remains after imposing the present
experimental constraints on the parameters.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 07:20:13 GMT""}]","2007-05-23"
"hep-ph/9608316","Kurt Langfeld","Kurt Langfeld","On the possibility of the dual Meissner effect induced by instantons","discussion of the random instanton orientation added","Eur.Phys.J.C4:533-541,1998","10.1007/s100520050226","UNITU-THEP-14/1996","hep-ph hep-th",,"  The classical Yang-Mills equation of motion is numerically investigated in
the Lorentz gauge for a SU(2) gauge group. The color-electric field of two
point-like charges is studied in the ''empty'' vacuum and in a state with an
instanton present. The major effect for a fixed orientation of the instanton is
that the color-electric field lines are expelled or attracted from the
instanton region depending on the orientation of the instanton. If over the
orientations of the instanton is averaged, this effect drops out. In this case
of a random instanton orientation, we find that the external color-electric
field is expelled from the instanton core. The origin of this effect is
discussed.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 08:25:13 GMT""},{""version"":""v2"",""created"":""Wed, 20 Aug 1997 12:57:22 GMT""}]","2011-09-13"
"hep-ph/9608317","Michael Dittmar","M. Dittmar (1), H. Dreiner (2) ((1) Institute for Particle Physics
  (IPP), ETH Zurich, Switzerland, (2) Rutherford Laboratory, Chilton, Didcot,
  UK)","How to find a Higgs Boson with a Mass between 155--180 GeV at the LHC","latex, 12 pages 4 figures","Phys.Rev.D55:167-172,1997","10.1103/PhysRevD.55.167","ETHZ-IPP PR-96-02 and RAL-96-049","hep-ph hep-ex",,"  We reconsider the signature of events with two charged leptons and missing
energy as a signal for the detection of the Standard Model Higgs boson in the
mass region M(Higgs)=155--180 GeV. It is shown that a few simple experimental
criteria allow to distinguish events originating from the Higgs boson decaying
to H --> W+W- from the non resonant production of W+W- X at the LHC. With this
set of cuts, signal to background ratios of about one to one are obtained,
allowing a 5--10 sigma detection with about 5~fb-1 of luminosity. This
corresponds to less than one year of running at the initial lower luminosity L=
10**33/ cm**2/sec. This is significantly better than for the hitherto
considered Higgs detection mode H --> Z Z* --> l+ l+ l- l-, where in this mass
range about 100~fb-1 of integrated luminosity are required for a 5 sigma
signal.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 08:46:14 GMT""}]","2008-11-26"
"hep-ph/9608318","Konstantin Chetyrkin","K. G. Chetyrkin","Correlator of the quark scalar currents and \Gamma_{tot}(H --> hadrons)
  at O(\alpha_s^3) in pQCD","11 pages, LaTeX, no figures; a couple of obvious misprints is
  corrected and the abstract is paraphrased to make it human readable","Phys.Lett. B390 (1997) 309-317","10.1016/S0370-2693(96)01368-8","MPI/PhT/96-61","hep-ph",,"  We present the results of the analytical evaluation of the massless four-loop
O(alpha_s^3) correction to the correlator of the quark scalar currents and the
Higgs decay rate into hadrons.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 09:57:10 GMT""},{""version"":""v2"",""created"":""Mon, 19 Aug 1996 16:22:41 GMT""}]","2009-10-28"
"hep-ph/9608320","Elizabeth H. Simmons","R.S. Chivukula and E.H. Simmons (Boston Univ.)","Custodial Symmetry and the Triviality Bound on the Higgs Mass","2 references added; 8 pages, 3 embedded Postscript figures, LaTeX,
  full postscript version also available at
  http://smyrd.bu.edu/htfigs/htfigs.html","Phys.Lett. B388 (1996) 788-792","10.1016/S0370-2693(96)01212-9","BUHEP-96-26","hep-ph hep-lat",,"  The triviality of the scalar sector of the standard one-doublet Higgs model
implies that it is only an effective low-energy theory valid below some cut-off
scale $\Lambda$. In this note we show that the experimental constraint on the
amount of custodial symmetry violation, $|\Delta \rho_* | = \alpha |T | \le
0.4\%$, implies that the scale $\Lambda$ must be greater than of order 7.5 TeV.
For theories defined about the infrared-stable Gaussian fixed-point, we
estimate that this lower bound on $\Lambda$ yields an upper bound of
approximately 550 GeV on the Higgs boson's mass, independent of the regulator
chosen to define the theory. We also show that some regulator schemes, such as
higher-derivative regulators, used to define the theory about a different
fixed-point are particularly dangerous because an infinite number of
custodial-isospin-violating operators become relevant.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 14:11:15 GMT""},{""version"":""v2"",""created"":""Wed, 21 Aug 1996 19:16:04 GMT""}]","2009-10-28"
"hep-ph/9608321","Maria Krawczyk","Maria Krawczyk (Institute of Theoretical Physics, University of
  Warsaw) and Jan Zochowski (Institute of Theoretical Physics, University of
  Warsaw)","Constraining 2HDM by Present and Future Muon(g-2) Data","19 pages, including 5 figures","Phys.Rev.D55:6968-6974,1997","10.1103/PhysRevD.55.6968","IFT 15/96","hep-ph",,"  Constraints on the general 2HDM (""Model II"") are obtained from the existing
$(g-2)_{\mu}$ data including limits on Higgs bosons masses from LEP I data. We
consider separately two cases: with a light scalar $h$ and with a light
pseudoscalar $A$, assuming ${M_{h}+M_{A}} \ge {M_{Z}}$. The charged Higgs
contribution is also included. It is found that already the present
$(g-2)_{\mu}$ data improve limits obtained recently by ALEPH collaboration on
$\tb$ for the mass of the pseudoscalar below $ \mr$ 2 GeV. The improvement in
the accuracy by factor 20 in the forthcoming E821 experiment may lead to more
stringent, than provided by ALEPH group, limits up to $M_A\sim$ 30 GeV if the
mass difference between $h$ and $A$ is $\sim M_Z$. Similar results should hold
for a light scalar scenario as well.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 14:18:41 GMT""}]","2008-11-26"
"hep-ph/9608323","Nicholas Tracas","G.K. Leontaris and N.D. Tracas","Duality Constraints on Supersymmetric Unified Models and Radiative
  Symmetry Breaking","LaTex file, 15 pages, 3 figures attached. Misprints in Eqs(28-32)
  corrected. Shorter version to appear in Physics Letters B","Phys.Lett. B389 (1996) 515-522","10.1016/S0370-2693(96)01299-3","IOA 02/96, NTUA 55-96","hep-ph hep-th",,"  Motivated from unified models with string origin, we analyse the constraints
from duality invariance on effective supergravity models with an intermediate
gauge symmetry. Requiring vanishing vacuum energy and invariance of the
superpotential couplings, we find that modular weights of the matter and higgs
fields are subject to various constraints. In addition, the vacuum expectation
values of the higgs fields breaking the intermediate gauge group, are
determined in terms of their modular weights and the moduli. We also examine
the possibility of breaking the intermediate gauge symmetry radiatively.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 15:41:35 GMT""},{""version"":""v2"",""created"":""Tue, 20 Aug 1996 15:20:54 GMT""},{""version"":""v3"",""created"":""Wed, 25 Sep 1996 08:08:56 GMT""}]","2009-10-28"
"hep-th/9608083","Andreas Fring","B. Schroer","Motivations and Physical Aims of Algebraic QFT","40 pages of LateX, additional remarks resulting from conversations
  and mail contents, removal of typographical errors","Annals Phys.255:270-304,1997","10.1006/aphy.1996.5662","SfB-288 Preprint, Berlin","hep-th",,"  We present illustrations which show the usefulness of algebraic QFT. In
particular in low-dimensional QFT, when Lagrangian quantization does not exist
or is useless (e.g. in chiral conformal theories), the algebraic method is
beginning to reveal its strength.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 16:40:25 GMT""},{""version"":""v2"",""created"":""Wed, 11 Sep 1996 19:13:21 GMT""},{""version"":""v3"",""created"":""Tue, 17 Sep 1996 15:20:38 GMT""}]","2011-08-17"
"hep-th/9608084",,"T.E. Clark and S.T. Love","On the Holomorphic Structure of a Low Energy Supersymmetric Wilson
  Effective Action","10 pages, LaTeX","Phys.Lett. B388 (1996) 577-580","10.1016/S0370-2693(96)01188-4",,"hep-th",,"  The Wilson (exact) renormalization group equations are used to determine the
evolution of a general low energy N=1 supersymmetric action containing a U(1)
gauge vector multiplet and a neutral chiral multiplet. The effective theory
evolves towards satisfying a fixed relation where the K\""ahler potential and
effective gauge coupling are obtained from a N=2 supersymmetric holomorphic
prepotential.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 17:55:09 GMT""}]","2009-10-30"
"hep-th/9608085","Paulina Rychenkova","G.W.Gibbons and P.Rychenkova","HyperK\""{a}hler Quotient Construction of BPS Monopole Moduli Spaces","19 pages, LaTeX2e, uses amsfonts and amsbsy packages","Commun.Math.Phys.186:585-599,1997","10.1007/s002200050121","DAMTP/R-38-96","hep-th gr-qc",,"  We use the HyperK\""{a}hler quotient of flat space to obtain some monopole
moduli space metrics in explicit form. Using this new description, we discuss
their topology, completeness and isometries. We construct the moduli space
metrics in the limit when some monopoles become massless, which corresponds to
non-maximal symmetry breaking of the gauge group. We also introduce a new
family of HyperK""{a}hler metrics which, depending on the ``mass parameter''
being positive or negative, give rise to either the asymptotic metric on the
moduli space of many SU(2) monopoles, or to previously unknown metrics. These
new metrics are complete if one carries out the quotient of a non-zero level
set of the moment map, but develop singularities when the zero-set is
considered. These latter metrics are of relevance to the moduli spaces of vacua
of three dimensional gauge theories for higher rank gauge groups. Finally, we
make a few comments concerning the existence of closed or bound orbits on some
of these manifolds and the integrability of the geodesic flow.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 18:42:17 GMT""}]","2009-10-30"
"hep-th/9608086","Nathan Seiberg","Nathan Seiberg and Stephen Shenker","Hypermultiplet Moduli Space and String Compactification to Three
  Dimensions","5 pages, uses harvmac, Minor changes in the text and some references
  added","Phys.Lett.B388:521-523,1996","10.1016/S0370-2693(96)01189-6",,"hep-th",,"  We study the hypermultiplet moduli space of the type II string compactified
on a Calabi-Yau space $\bX$. We do this by using IIA/IIB duality in a
compactification of the same theory on $\bX\times \bS ^1$ and by using recent
results on three dimensional field theory.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 23:08:40 GMT""},{""version"":""v2"",""created"":""Mon, 19 Aug 1996 20:25:13 GMT""}]","2009-09-15"
