"alg-geom/9608011","Pandharipande Rahul","W. Fulton and R. Pandharipande","Notes on stable maps and quantum cohomology","Latex2e 52 pages. Final version",,,,"alg-geom math.AG",,"  These are notes from a jointly taught class at the University of Chicago and
lectures by the first author in Santa Cruz. Topics covered include:
construction of moduli spaces of stable maps, Gromov-Witten invariants, quantum
cohomology, and examples. These notes will appear in the proceedings of the
1995 Santa Cruz conference.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 20:37:32 GMT""},{""version"":""v2"",""created"":""Sat, 17 May 1997 22:10:10 GMT""}]","2008-02-03"
"hep-ph/9608343","Ramona Vogt","N. Kidonakis, J. Smith and R. Vogt","Resummed heavy quark production cross sections to next-to-leading
  logarithm","35 pages LaTeX, 10 figures, some corrections to the text, discussion
  of scale and scheme dependence added, tables added, figures updated, accepted
  for publication in Phys. Rev. D","Phys.Rev.D56:1553-1570,1997","10.1103/PhysRevD.56.1553","EDINBURGH 96/30, ITP-SB-96-32, LBNL-39025","hep-ph",,"  We study how next-to-leading logarithms modify predictions from leading
logarithmic soft-gluon resummation in the heavy quark production cross section
near threshold. Numerical results are presented for top quark production at the
Fermilab Tevatron and bottom quark production at fixed-target energies.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 23:16:59 GMT""},{""version"":""v2"",""created"":""Tue, 13 May 1997 17:13:00 GMT""}]","2008-11-26"
"hep-ph/9608344","Torbjorn Sjostrand","E. Norrbin and T. Sj\""ostrand","Transverse Momentum as a Measure of Colour Topologies","1+8 pages, LaTeX2e, 6 eps figures included in file using filecontents
  environments","Phys.Rev.D55:5-9,1997","10.1103/PhysRevD.55.5","LU TP 96-21","hep-ph",,"  Several distinct colour flow topologies are possible in multiparton
configurations. A method is proposed to find the correct topology, based on a
minimization of the total transverse momentum of produced particles. This
method is studied for three-jet $Z^0 \to q\overline{q} g$ and four-jet $W^+W^-
\to q_1\overline{q}_2q_3\overline{q}_4$ events. It is shown how the basic
picture is smeared, especially by parton-shower activity. The method therefore
may not be sufficient on its own, but could still be a useful complement to
others, and e.g. help provide some handle on colour rearrangement effects.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 08:21:12 GMT""}]","2009-12-30"
"hep-ph/9608345","L. T. Handoko","L. T. Handoko","Extracting visible $s-$channel Higgs in the lepton scattering","10 pages, LaTeX with eepic, 4 figures are included",,,"HUPD-9614","hep-ph",,"  The contributions of $s-$channel Higgs in $l^+ l^- \rightarrow q \bar{q}$
processes in the general lepton collider ($l^+ l^-$ collider) within Standard
Model is studied. A new idea to extract the contribution by using the data from
both electron and future heavy-lepton colliders at same center-of-mass energy
is proposed. Deviations due to the $s-$channel Higgs contributions are analysed
and discussed for the heavy-quark final states by using the total
cross-section, forward-backward asymmetry and its ratio. It is shown that
significant deviations are expected for the top quark final state.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 09:54:19 GMT""},{""version"":""v2"",""created"":""Wed, 4 Sep 1996 09:46:44 GMT""},{""version"":""v3"",""created"":""Sun, 22 Sep 1996 02:46:58 GMT""}]","2016-09-06"
"hep-ph/9608346","Hegyi Sandor","S. Hegyi (KFKI Research Institute for Particle and Nuclear Physics,
  Budapest, Hungary)","Multiplicity Distributions in Strong Interactions: A Generalized
  Negative Binomial Model","17 pages LaTeX, 2 figures in separate Postscript file","Phys.Lett. B387 (1996) 642-650","10.1016/0370-2693(96)01195-1",,"hep-ph",,"  A three-parameter discrete distribution is developed to describe the
multiplicity distributions observed in total- and limited phase space volumes
in different collision processes. The probability law is obtained by the
Poisson transform of the KNO scaling function derived in Polyakov's similarity
hypothesis for strong interactions as well as in perturbative QCD. Various
characteristics of the newly proposed distribution are investigated e.g. its
generating function, factorial moments, factorial cumulants. Several limiting
and special cases are discussed. A comparison is made to the multiplicity data
available in e+e- annihilations at the Z0 peak.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 11:47:27 GMT""}]","2009-10-28"
"hep-ph/9608347","Christian Weiss","M.K. Volkov (JINR Dubna) and C. Weiss (Ruhr-Univ. Bochum)","A chiral Lagrangian for excited pions","19 pages, LaTeX, 3 Postscript figures included using epsf","Phys.Rev. D56 (1997) 221-229","10.1103/PhysRevD.56.221","RUB-TPII-12/96","hep-ph",,"  We construct a chiral Lagrangian containing besides the usual pion field (pi)
also its first radial excitation (pi'). The Lagrangian is derived by
bosonization of a Nambu--Jona-Lasinio quark model with separable non-local
interactions, with form factors corresponding to 3-dimensional ground and
excited state wave functions. Chiral symmetry breaking is governed by the NJL
gap equation. The effective Lagrangian for pi- and pi'-mesons shows the
decoupling of the Goldstone pion and the vanishing of the pi' leptonic decay
constant, f_pi', in the chiral limit, as required by axial current
conservation. We derive the excited states' contribution to the axial current
of the model using Noether's theorem. For finite pion mass and pi' masses in
the range of 750 MeV -- 1300 MeV, f_pi' / f_pi is found to be of the order of 1
percent.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 13:49:57 GMT""}]","2009-10-28"
"hep-ph/9608349","Elizabeth H. Simmons","E. H. Simmons","Limits on Flavor-Universal Colorons","Talk given at Snowmass 96, 5 pages, 3 embedded eps figures, LaTeX,
  full postscript version also available at
  http://smyrd.bu.edu/htfigs/htfigs.html",,,"BUHEP-96-27","hep-ph",,"  A flavor-universal extension of the strong interactions was recently proposed
in response to the apparent excess of high-$E_T$ jets in the inclusive jet
spectrum measured at the Tevatron. The color octet of massive gauge bosons
(`colorons') that is present in the low-energy spectrum of the model's Higgs
phase is studied here. Experimental constraints already imply that the coloron
mass must exceed 870-1000 GeV. The import of recent Tevatron data and the
prospective input from future experiments are also mentioned.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 15:56:11 GMT""}]","2007-05-23"
"hep-th/9608101","Horacio A. Falomir","H.Falomir, R.E.Gamboa Sarav\'i, M.A.Muschietti, E.M.Santangelo,
  J.E.Solomin","Determinants of Dirac operators with local boundary conditions","standard LaTeX, 24 pages. To appear in Jour. Math. Phys",,"10.1063/1.531700",,"hep-th funct-an math.FA",,"  We study functional determinants for Dirac operators on manifolds with
boundary. We give, for local boundary conditions, an explicit formula relating
these determinants to the corresponding Green functions. We finally apply this
result to the case of a bidimensional disk under bag-like conditions.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 18:30:01 GMT""}]","2016-08-15"
"hep-th/9608102","Horacio A. Falomir","Horacio Alberto Falomir, Ricardo Enrique Gamboa Saravi, Mar\'{\I}a
  Amelia Muschietti, Eve Mariel Santangelo and Jorge Eduardo Solomin","On the relation between determinants and Green functions of elliptic
  operators with local boundary conditions","standard LaTeX, 14 pages",,,,"hep-th funct-an math.FA",,"  A formula relating quotients of determinants of elliptic differential
operators sharing their principal symbol, with local boundary conditions, to
the corresponding Green function is given.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 18:33:25 GMT""}]","2008-02-03"
"hep-th/9608103","Azakov Siyavush","Azakov S.I","The Schwinger model on the Torus","Latex file: 40 pages","Fortsch.Phys. 45 (1997) 589-626",,"IC/96/138","hep-th",,"  The classical and quantum aspects of the Schwinger model on the torus are
considered. First we find explicitly all zero modes of the Dirac operator in
the topological sectors with nontrivial Chern index and is spectrum. In the
second part we determine the regularized effective action and discuss the
propagators related to it.
  Finally we calculate the gauge invariant averages of the fermion bilinears
and correlation functions of currents and densities. We show that in the
infinite volume limit the well-known result for the chiral condensate can be
obtained and the clustering property can be established.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 18:29:11 GMT""}]","2007-05-23"
"hep-th/9608104","Esperanza Lopez","C. Gomez, R. Hernandez and E. Lopez","$K3$-Fibrations and Softly Broken $N=4$ Supersymmetric Gauge Theories","27 pages, Latex, no figures. Misprints corrected","Nucl.Phys. B501 (1997) 109-133","10.1016/S0550-3213(97)00336-2","NSF-ITP-96-75","hep-th",,"  Global geometry of $K3$-fibration Calabi-Yau threefolds, with Hodge number
$h_{2,1}=r+1$, is used to define $N=4$ softly broken $SU(r+1)$ gauge theories,
with the bare coupling constant given by the dual heterotic dilaton, and the
mass of the adjoint hypermultiplet given by the heterotic string tension. The
$U(r+1)$ Donagi-Witten integrable model is also derived from the $K3$-fibration
structure, with the extra $U(1)$ associated to the heterotic dilaton. The case
of $SU(2)$ gauge group is analyzed in detail. String physics beyond the
heterotic point particle limit is partially described by the $N=4$ softly
broken theory.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 21:27:50 GMT""},{""version"":""v2"",""created"":""Thu, 22 Aug 1996 21:26:09 GMT""}]","2009-10-30"
"hep-th/9608105","Amihay Hanany","Gordon Chalmers and Amihay Hanany","Three Dimensional Gauge Theories and Monopoles","25 pages","Nucl.Phys. B489 (1997) 223-244","10.1016/S0550-3213(97)00036-9","IASSNS-HEP-96/85, ITP-SB-96-38","hep-th",,"  The coulomb branch of $N=4$ supersymmetric Yang-Mills gauge theories in
$d=2+1$ is studied. A direct connection between gauge theories and monopole
moduli spaces is presented. It is proposed that the hyper-K\""ahler metric of
supersymmetric $N=4$ $SU(N)$ Yang-Mills theory is given by the charge $N$
centered moduli space of BPS monopoles in $SU(2)$. The theory is compared to
$N=2$ supersymmetric Yang-Mills theory in four dimensions through
compactification on a circle of the latter. It is found that rational maps are
appropriate to this comparison. A BPS mass formula is also written for
particles in three dimensions and strings in four dimensions.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 18:43:08 GMT""},{""version"":""v2"",""created"":""Fri, 23 Aug 1996 14:57:38 GMT""}]","2009-10-30"
"hep-th/9608106",,"W. A. Sabra","Symplectic Embeddings and Special Kahler Geometry of CP(n-1,1)","30 pages, TeX, no figures","Nucl.Phys.B486:629-649,1997","10.1016/S0550-3213(96)00697-9","RHBNC-PH-96-3","hep-th",,"  The embedding of the isometry group of the coset spaces SU(1,n)/ U(1)xSU(n)
in Sp(2n+2,R) is discussed. The knowledge of such embedding provides a tool for
the determination of the holomorphic prepotential characterizing the special
geometry of these manifolds and necessary in the superconformal tensor calculus
of N=2 supergravity. It is demonstrated that there exists certain embeddings
for which the homogeneous prepotential does not exist. Whether a holomorphic
function exists or not, the dependence of the gauge kinetic terms on the
scalars characterizing these coset in N=2 supergravity theory can be determined
from the knowledge of the corresponding embedding, \`a la Gaillard and Zumino.
Our results are used to study some of the duality symmetries of heterotic
compactifications of orbifolds with Wilson lines.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 18:53:36 GMT""}]","2010-11-19"
"hep-th/9608107","Henrik Aratyn","H. Aratyn and C. Rasinariu","Manifestly Supersymmetric Lax Integrable Hierarchies","LaTeX, 10 pgs","Phys.Lett. B391 (1997) 99-106","10.1016/S0370-2693(96)01463-3","UICHEP-TH/96-15","hep-th nlin.SI solv-int",,"  A systematic method of constructing manifestly supersymmetric
$1+1$-dimensional KP Lax hierarchies is presented. Closed expressions for the
Lax operators in terms of superfield eigenfunctions are obtained. All hierarchy
equations being eigenfunction equations are shown to be automatically invariant
under the (extended) supersymmetry. The supersymmetric Lax models existing in
the literature are found to be contained (up to a gauge equivalence) in our
formalism.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 20:42:15 GMT""}]","2009-10-30"
"hep-th/9608108","Igor Klebanov","Steven S. Gubser and Igor R. Klebanov","Emission of charged particles from four- and five-dimensional black
  holes","15 pages, latex; typos corrected, a reference added","Nucl.Phys. B482 (1996) 173-186","10.1016/S0550-3213(96)00496-8","PUPT-1644","hep-th",,"  Recently Das and Mathur found that the leading order Hawking emission rate of
neutral scalars by near-extremal $D=5$ black holes is exactly reproduced by a
string theoretic model involving intersecting D-branes. We show that the
agreement continues to hold for charged scalar emission. We further show that
similar agreement can be obtained for a class of near-extremal $D=4$ black
holes using a model inspired by M-theory. In this model, BPS saturated $D=4$
black holes with four charges are realized in M-theory as 5-branes triply
intersecting over a string. The low-energy excitations are signals traveling on
the intersection string.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 22:50:19 GMT""},{""version"":""v2"",""created"":""Mon, 19 Aug 1996 22:06:39 GMT""},{""version"":""v3"",""created"":""Tue, 10 Sep 1996 21:35:50 GMT""}]","2016-09-06"
"hep-th/9608109","Ori Ganor","Ori J. Ganor","Toroidal Compactification of Heterotic 6D Non-Critical Strings Down to
  Four Dimensions","15pp LaTeX","Nucl.Phys.B488:223-235,1997","10.1016/S0550-3213(96)00687-6","PUPT-1641","hep-th",,"  The low-energy limit of the 6D non-critical string theory with $N=1$ SUSY and
$E_8$ chiral current algebra compactified on $T^2$ is generically an $N=2$
$U(1)$ vector multiplet. We study the analog of the Seiberg-Witten solution for
the low-energy effective action as a function of $E_8$ Wilson lines on the
compactified torus and the complex modulus of that torus. The moduli space
includes regions where the Seiberg-Witten curves for $SU(2)$ QCD are recovered
as well as regions where the newly discovered 4D theories with enhanced
$E_{6,7,8}$ global symmetries appear.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 23:39:23 GMT""},{""version"":""v2"",""created"":""Fri, 16 Aug 1996 05:34:08 GMT""}]","2010-11-19"
"hep-th/9608110","Robert Marnelius","Robert Marnelius","Time evolution in general gauge theories defined on inner product spaces","12 pages,latexfile","Nucl.Phys. B494 (1997) 346-364","10.1016/S0550-3213(97)00169-7","ITP-G\""oteborg 96-12","hep-th",,"  As previously shown BRST singlets |s> in a BRST quantization of general gauge
theories on inner product spaces may be represented in the form |s>=e^{[Q,
\psi]} |\phi> where |\phi> is either a trivially BRST invariant state which
only depends on the matter variables, or a solution of a Dirac quantization.
\psi is a corresponding fermionic gauge fixing operator. In this paper it is
shown that the time evolution is determined by the singlet states of the
corresponding reparametrization invariant theory. The general case when the
constraints and Hamiltonians may have explicit time dependence is treated.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 07:48:13 GMT""}]","2009-10-30"
"hep-th/9608111","Nathan Seiberg","Nathan Seiberg","Five Dimensional SUSY Field Theories, Non-trivial Fixed Points and
  String Dynamics","13 pages, uses harvmac, one reference added","Phys.Lett.B388:753-760,1996","10.1016/S0370-2693(96)01215-4","RU-96-69","hep-th",,"  We study (non-renormalizable) five dimensional supersymmetric field theories.
The theories are parametrized by quark masses and a gauge coupling. We derive
the metric on the Coulomb branch exactly. We use stringy considerations to
learn about new non-trivial interacting field theories with exceptional global
symmetry $E_n$ ($E_8$, $E_7$, $E_6$, $E_5=Spin(10)$, $E_4=SU(5)$,
$E_3=SU(3)\times SU(2)$, $E_2=SU(2)\times U(1)$ and $E_1=SU(2)$). Their Coulomb
branch is ${\bf R}^+$ and their Higgs branch is isomorphic to the moduli space
of $E_n$ instantons. One of the relevant operators of these theories leads to a
flow to $SU(2)$ gauge theories with $N_f=n-1$ flavors. In terms of these
$SU(2)$ IR theories this relevant parameter is the inverse gauge coupling
constant. Other relevant operators (which become quark masses after flowing to
the $SU(2)$ theories) lead to flows between them. Upon further
compactifications to four and three dimensions we find new fixed points with
exceptional symmetries.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 13:35:24 GMT""},{""version"":""v2"",""created"":""Tue, 3 Sep 1996 19:03:57 GMT""}]","2009-09-15"
"hep-th/9608112","Ulf Lindstr\""om","J. Grundberg, U. Lindstrom and M. Rocek","Yang-Mills fields for Cosets","11 pages, LateX. This updates the faulty TeX file which has prevented
  reading the article on the archive for more than 20 years","Phys.Lett. B389 (1996) 299-304","10.1016/S0370-2693(96)01278-6","ITP-SB-96-39, USITP-96-09","hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We consider theories with degenerate kinetic terms such as those that arise
at strong coupling in $N=2$ super Yang-Mills theory. We compute the components
of generalized $N=1,2$ supersymmetric sigma model actions in two dimensions.
The target space coordinates may be matter and/or Yang-Mills superfield
strengths.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 13:54:43 GMT""},{""version"":""v2"",""created"":""Thu, 11 May 2017 11:30:42 GMT""}]","2017-05-12"
"math/9608216","Byunghan Kim","Byunghan Kim (Fields Institute)","A note on Lascar strong types in simple theories",,,,"FI-MT1996-005","math.RA",,"  Let T be a countable, small simple theory. In this paper, we prove for such
T, the notion of Lascar Strong type coincides with the notion of a strong
type,over an arbitrary set.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 00:00:00 GMT""}]","2008-02-03"
"nucl-th/9608030","Eduardo Garrido","E. Garrido, D.V. Fedorov and A.S. Jensen (Institute of Physics and
  Astronomy, Aarhus University, Denmark)","New Observables in Break-up Reactions of Three-body Halos","18 pages, LaTeX file, 11 postscript figures included using epsf.sty.",,,"IFA-96/33","nucl-th",,"  Momentum distributions of particles from fast three-body halo fragmentation
reactions with polarized beams and outgoing fragments are analyzed by use of
the sudden approximation. The final state interaction between the two
non-disturbed particles is considered. We first give a general and detailed
description of the method. We introduce observable quantities that emphasize
the two-body correlations in the initial three-body structure as well as in the
final two-body system. Using neutron removal from 11Li as an example we
investigate the dependence of the polarization observables on the properties of
the low-lying resonances and virtual states of the 10Li subsystem. These
observables are very sensitive to the l > 0-waves in the wave functions, and
they provide detailed information on the resonance structure of the
neutron-core subsystem.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 16:09:50 GMT""}]","2007-05-23"
"nucl-th/9608031","Eduardo Garrido","E. Garrido, D.V. Fedorov and A.S. Jensen (Institute of Physics and
  Astronomy, Aarhus University, Denmark)","The Pauli principle in a three-body cluster model and the momentum
  distributions after fragmentation of 6He and 11Li","18 pages, LaTex file, 15 postscript figures included using epsf.sty","Nucl.Phys. A617 (1997) 153-175","10.1016/S0375-9474(97)00044-4","IFA-96/34","nucl-th",,"  We investigate two simple prescriptions to account for the Pauli principle in
a three-body cluster model employing a new method based on an adiabatic
hyperspherical expansion to solve the Faddeev equations in coordinate space.
The resulting wave functions are computed and compared. They are furthermore
tested on halo nuclei by calculations of momentum distributions and invariant
mass spectra arising after fragmentation of fast $^6$He and $^{11}$Li in
collisions with light targets. The prescriptions are very accurate and the
available measured quantities are remarkably well reproduced when final state
interactions are included.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 16:10:10 GMT""}]","2009-10-30"
"nucl-th/9608032","Eduardo Garrido","E. Garrido, D.V. Fedorov and A.S. Jensen (Institute of Physics and
  Astronomy, Aarhus University, Denmark)","Three-body Halos. IV. Momentum Distributions after Fragmentation","21 pages, LaTeX file, 11 postscript figures using epsf.sty","Phys.Rev.C55:1327-1343,1997","10.1103/PhysRevC.55.1327","IFA-96/30","nucl-th",,"  Momentum distributions of particles from nuclear break-up of fast three-body
halos are calculated incorporating effects of final state interactions. The
same two-body interactions between the particles are used to calculate both the
ground state structure and the final state of the reaction processes. The
ground state wave function reproduces size and energy of the halo nucleus.
First we give a general and detailed description of the method. Then we
investigate the effect of final state interactions in neutron removal and core
break-up reactions for one- and two-dimensional momentum distributions. We
compute specifically core and neutron momentum distributions from 11Li
fragmentation and compare those with available experimental data. We conclude
that 11Li must have a neutron-core relative state containing a p-state
admixture of 20\%-30\%. The fragmentation data also strongly suggest that 10Li
has an s-state at about 50 keV and a p-state around 500 keV.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 16:09:14 GMT""}]","2008-11-26"
"nucl-th/9608033","Eduardo Garrido","E. Garrido, D.V. Fedorov and A.S. Jensen (Institute of Physics and
  Astronomy, Aarhus University, Denmark)","Three-Body Halo Fragmentation: Polarization effects","5 pages, LaTeX file, 2 postscript figures included using epsf.sty","Europhys. Lett 36 (1996) 497-502","10.1209/epl/i1996-00259-y","IFA-96/29","nucl-th",,"  Momentum distributions of particles from nuclear break-up of fast three-body
halos are calculated for polarized beam and outgoing fragments. These momentum
distributions are combined in observable quantities which emphasize the
two-body correlations in the initial three-body structure as well as in the
final two-body system. Applying the formalism to 11Li we find a sensitive
dependence on the p-wave content and on the position of the p-resonances in
10Li. Polarization experiments are then a new tool to study correlations in
nuclear halos.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 16:08:48 GMT""}]","2009-10-30"
"nucl-th/9608034","Eduardo Garrido","A.S. Jensen, E. Garrido and D.V. Fedorov (Institute of Physics and
  Astronomy, Aarhus University, Denmark)","Square-well solution to the three-body problem","34 pages, LaTeX file, 9 postscript figures included using epsf.sty","Few Body Systems 22 (1997) 193-236","10.1007/s006010050060","IFA-96/31","nucl-th",,"  The angular part of the Faddeev equations is solved analytically for s-states
for two-body square-well potentials. The results are, still analytically,
generalized to arbitrary short-range potentials for both small and large
distances. We consider systems with three identical bosons, three non-identical
particles and two identical spin-1/2 fermions plus a third particle with
arbitrary spin. The angular wave functions are in general linear combinations
of trigonometric and exponential functions. The Efimov conditions are obtained
at large distances. General properties and applications to arbitrary potentials
are discussed. Gaussian potentials are used for illustrations. The results are
useful for numerical calculations, where for example large distances can be
treated analytically and matched to the numerical solutions at smaller
distances. The saving is substantial.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 16:10:48 GMT""}]","2009-10-30"
"nucl-th/9608035","Dick Furnstahl","R. J. Furnstahl (Ohio State), Brian D. Serot (Indiana), Hua-Bin Tang
  (Minnesota)","A Chiral Effective Lagrangian for Nuclei","43 pages, REVTeX 3.0 with epsf.sty, plus 12 figures","Nucl.Phys. A615 (1997) 441-482; Erratum-ibid. A640 (1998) 505","10.1016/S0375-9474(96)00472-1","IU/NTC 96-09, OSU-96-612","nucl-th hep-ph",,"  An effective hadronic lagrangian consistent with the symmetries of quantum
chromodynamics and intended for applications to finite-density systems is
constructed. The degrees of freedom are (valence) nucleons, pions, and the
low-lying non-Goldstone bosons, which account for the intermediate-range
nucleon-nucleon interactions and conveniently describe the nonvanishing
expectation values of nucleon bilinears. Chiral symmetry is realized
nonlinearly, with a light scalar meson included as a chiral singlet to describe
the mid-range nucleon-nucleon attraction. The low-energy electromagnetic
structure of the nucleon is described within the theory using vector-meson
dominance, so that external form factors are not needed. The effective
lagrangian is expanded in powers of the fields and their derivatives, with the
terms organized using Georgi's ``naive dimensional analysis''. Results are
presented for finite nuclei and nuclear matter at one-baryon-loop order, using
the single-nucleon structure determined within the model. Parameters obtained
from fits to nuclear properties show that naive dimensional analysis is a
useful principle and that a truncation of the effective lagrangian at the first
few powers of the fields and their derivatives is justified.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 18:59:31 GMT""}]","2009-10-30"
"nucl-th/9608036","Carlos A. da Rocha","C.A. da Rocha, M.R. Robilotta, and J.L. Ballot","The role of chiral symmetry in two-pion exchange nuclear potential","6 pages, 6 embedded figures, Latex 2.09, Revtex.sty, epsf.sty.
  Contribution presented at the 14th International Conference on Particles and
  Nuclei (PANIC 96), Williamsburg, VA, 22-28 May 1996",,,"DOE/ER/40427-28-N96","nucl-th hep-ph",,"  We evaluate the two pion exchange contribution to the nucleon-nucleon
potential in configuration space using a ""minimal chiral model"" containing only
pions and nucleons. We argue that this model has nowadays a rather firm
conceptual basis, which entitles it to become a standard ingredient of any
modern potential. The main features of this model is that the scalar-isoscalar
component of the interaction is relatively small, due to cancellations between
large terms, and fails to reproduce the intermediate range attraction in the
central channel. We show that chiral symmetry is the responsible for these
large cancellations in the two-pion exchange nucleon-nucleon interaction, which
are similar to those occuring in free pion-nucleon scattering. Another feature
of the model is that these results do not depend on how chiral symmetry is
implemented.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 02:12:15 GMT""},{""version"":""v2"",""created"":""Mon, 16 Sep 1996 20:16:01 GMT""}]","2008-02-03"
"nucl-th/9608037","Tetsuo Hatsuda","T. Hatsuda (Univ. of Tsukuba)","Light Vector Mesons at Finite Baryon Density","RevTeX 8 pages, 3 ps figures. Talk presented at RHIC Summer Study
  '96, Brookhaven Theory Workshop on Relativistic Heavy Ions, (BNL, July 8-19,
  1996)",,,,"nucl-th hep-ph",,"  We summarize the current theoretical and experimental status of the spectral
changes of vector mesons ($\rho$, $\omega$, $\phi$) at finite baryon density.
Various approaches including QCD sum rules, effective theory of hadrons and bag
models show decreasing of the vector meson masses in nuclear matter.
Possibility to detect the mass shift through lepton pairs in $\gamma-A$, $p-A$
and $A-A$ reactions are also discussed.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 10:06:43 GMT""}]","2007-05-23"
"nucl-th/9608038","Su Houng Lee","Su H. Lee (1 and 2) and H. Kim (1) ((1) Yonsei University, (2) GSI)","QCD Sum Rule for S_{11}(1535)","12 pages, Revtex, 1 ps figure available from authors","Nucl.Phys. A612 (1997) 418-428","10.1016/S0375-9474(96)00401-0","YUM 96-14, SNUTP 96-067","nucl-th hep-ph",,"  We propose a new interpolating field for S$_{11}$(1535) to determine its mass
from QCD sum rules. In the nonrelativistic limit, this interpolating field
dominantly reduces to two quarks in the s-wave state and one quark in the
p-wave state. An optimization procedure, which makes use of a duality relation,
yields the interpolating field which overlaps strongly with the negative-parity
baryon and at the same time does not couple at all to the low lying
positive-parity baryon. Using this interpolating field and applying the
conventional QCD sum rule analysis, we find that the mass of S$_{11}$ is
reasonably close to the experimentally known value, even though the precise
determination depends on the poorly known quark-gluon condensate. Hence our
interpolating field can be used to investigate the spectral properties of
S$_{11}$(1535).
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 13:14:12 GMT""}]","2009-10-30"
"nucl-th/9608039",,"G. E. Brown, C. M. Ko, and G. Q. Li","From $K^+$ in heavy-ion collisions to $K^-$ in kaonic atoms","13 page, LaTeX, 3 figures available from gqli@comp.tamu.edu",,,,"nucl-th",,"  Kaon production and kaon flow in heavy-ion collisions at SIS energies are
analyzed using the relativistic transport model. The experimental data are
found to be consistent with the scenario that kaon scalar (before being cut
down by the range term) and vector mean field potentials are about 1/3 of that
of nucleons in the Walecka model. This also explains the strong attraction
found for $K^-$ in kaonic atoms, and gives information on the possibility of
$K^-$ condensation in dense matter.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 15:44:15 GMT""}]","2009-09-25"
"q-alg/9608012","Peter Kulish","P.N. Bibikov, P.P. Kulish","Dirac operators on quantum $SU(2)$ group and quantum sphere","16 pages, LaTeX",,,"FTUV 96-61","q-alg math.QA",,"  Definition of Dirac operators on the quantum group $SU_{q}(2)$ and the
quantum sphere $S^{2}_{q \mu}$ are discussed. In both cases similar
$SU_{q}(2)$-invariant form is obtained. It is connected with corresponding
Laplace operators.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 17:39:03 GMT""}]","2008-02-03"
"quant-ph/9608023","Zhong Tang","David Ritz Finkelstein, Heinrich Saller, and Zhong Tang","Beneath Gauge","Latex","Class.Quant.Grav.14:A127-A142,1997","10.1088/0264-9381/14/1A/011",,"quant-ph",,"  Seeking a relativistic quantum infrastructure for gauge physics, we analyze
spacetime into three levels of quantum aggregation analogous to atoms, bonds
and crystals. Quantum spacetime points with no extension make up more complex
link units with microscopic extension, which make up networks with macroscopic
extension. Such a multilevel quantum theory implies parastatistics for the
lowest level entities without additional physical assumptions. Any hypercubical
vacuum mode with off-diagonal long-range order that is covariant under
$\POINCARE$ also has bonus internal symmetries somewhat like those of the
standard model. A vacuum made with the dipole link proposed earlier has too
much symmetry. A quadrupole link solves this problem.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 19:14:29 GMT""}]","2010-04-06"
"quant-ph/9608024","Zhong Tang","David Ritz Finkelstein, Heinrich Saller, and Zhong Tang","Hypercrystalline vacua","Latex",,,,"quant-ph",,"  Let a quantum network be a Fermi-Dirac assembly of Fermi-Dirac assemblies of
...of quantum points, interpreted topologically. The simplest quantum-network
vacuum modes with exact conservation of relativistic energy-momentum and
angular momentum also support the local non-Abelian groups of the standard
model, torsion and gravity. The spacetime points of these models naturally obey
parastatistics. We construct a left-handed vacuum network among others.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 19:50:12 GMT""}]","2007-05-23"
