"alg-geom/9601027","Elaine Jackson","Jonathan Wahl","On Cohomology of the Square of an Ideal Sheaf","AMSTeX v 2.1, minor corrections added, 3/21/96",,,,"alg-geom math.AG",,"  For a smooth subvariety $X\subset\Bbb P^N$, consider (analogously to
projective normality) the vanishing condition $H^1(\Bbb P^N,\Cal I^2_X(k))=0$,
$k\ge3$. This condition is shown to be satisfied for all sufficiently large
embeddings of a given $X$, and for a Veronese embedding of $\Bbb P^n$. For
$C\subset\Bbb P^{g-1}$, the canonical embedding of a non-hyperelliptic curve,
this condition guarantees the vanishing of some obstruction groups to
deformations of the cone. Recall that the tangents to deformations are dual to
the cokernel of the Gaussian-Wahl map.
  \proclaim{Theorem} Suppose the Gaussian-Wahl map of $C$ is not surjective and
the vanishing condition is fulfilled. Then $C$ is {\bf extendable}: it is a
hyperplane section of a surface in $\Bbb P^g$ not the cone over
$C$.\endproclaim
  Such a surface is a K3 if smooth, but it could have serious singularities.
  \proclaim{Theorem} For a general curve of genus $\ge3$, this vanishing holds.
\endproclaim
  \proclaim{Conjecture} If the Clifford index is $\ge3$, this vanishing holds.
\endproclaim
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 16:26:13 GMT""},{""version"":""v2"",""created"":""Thu, 21 Mar 1996 17:31:00 GMT""}]","2015-06-30"
"hep-lat/9601024","Krzywicki","P. Bialas, Z. Burda, A. Krzywicki and B. Petersson","Focusing on the Fixed Point of 4D Simplicial Gravity","Latex, 20 pages, 6 postscript figures, published version","Nucl.Phys. B472 (1996) 293-308","10.1016/0550-3213(96)00214-3","LPTHE Orsay 96/08, BI-TP 96/05, ITFA-96-2","hep-lat",,"  Our earlier renormalization group analysis of simplicial gravity is extended.
A high statistics study of the volume and coupling constant dependence of the
cumulants of the node distribution is carried out. It appears that the phase
transition of the theory is of first order, contrary to what is generally
believed.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 22:40:07 GMT""},{""version"":""v2"",""created"":""Wed, 26 Mar 1997 13:12:36 GMT""}]","2009-10-28"
"hep-lat/9601025","Vicente Azcoiti","V. Azcoiti, G. Di Carlo, A. Galante, A.F. Grillo, V. Laliena and C.E.
  Piedrafita","Testing logarithmic violations to scaling in strongly coupled QED","6 pages, 3 postscript figures, 2 postscript tables (tar-ed, zip-ed,
  uu-encoded)","Phys.Lett. B379 (1996) 179-185","10.1016/0370-2693(96)00400-5","DFTUZ/96/3","hep-lat",,"  Using very precise measurements of the critical couplings for the chiral
transition of non compact $QED_4$ with up to 8 flavours, we analyse the
behaviour of the order parameter at the critical point using the equation of
state of a logarithmically improved scalar mean field theory, that of the
Nambu-Jona Lasinio theory and a pure power law. The first case is definitively
excluded by the numerical data. The stability of the fits for the last two
cases, as well as the behaviour with the number of flavours of the exponent of
the logarithmic violations to the scaling favour clearly a pure power law
scaling with non mean field exponents.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 12:18:41 GMT""}]","2009-10-28"
"hep-lat/9601026","Vicente Azcoiti","V. Azcoiti, G. Di Carlo, A. Galante, A.F. Grillo, V. Laliena and C.E.
  Piedrafita","Chiral Susceptibilities in noncompact QED: a new determination of the
  $\gamma$ exponent and the critical couplings","11 pages, figures on request","Phys.Lett. B353 (1995) 279-283","10.1016/0370-2693(95)00580-E","DFTUZ/95/12","hep-lat",,"  We report the results of a measurement of susceptibilities in noncompact
$QED_4$ in $8^4, 10^4$ and $12^4$ lattices. Due to the potentialities of the
$MFA$ approach, we have done simulations in the chiral limit which are
therefore free from arbitrary mass extrapolations. Our results in the Coulomb
phase show unambiguously that the susceptibility critical exponent $\gamma=1$
independently of the flavour symmetry group. The critical couplings extracted
from these calculations are in perfect agreement with previous determinations
based on the fermion effective action and plaquette energy, and outside the
predictions of a logarithmically improved scalar mean field theory by eight
standard deviations.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 12:21:05 GMT""}]","2009-10-28"
"hep-lat/9601027","Vicente Azcoiti","V. Azcoiti, G. Di Carlo, A. Galante, A.F. Grillo, V. Laliena and C.E.
  Piedrafita","The gauged Nambu - Jona Lasinio model: a mean field calculation with non
  mean field exponents","11 pages, figures on request","Phys.Lett. B355 (1995) 279","10.1016/0370-2693(95)00717-Y","DFTUZ/95/13","hep-lat",,"  We analyse the phase diagram of the lattice gauged Nambu-Jona Lasinio model
with the help of a mean field approximation plus numerical simulations. We find
a phase transition line in the coupling parameters space separating the
chirally broken phase from the symmetric phase, which is in good qualitative
agreement with results obtained in the quenched-ladder approximation. The mean
field approximation relates the critical exponents along the continuous phase
transition line with the mass dependence of the chiral condensate in the
Coulomb phase of standard noncompact $QED$. Our numerical results for
noncompact $QED$ strongly suggest non mean field exponents along the critical
line.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 13:23:35 GMT""}]","2015-06-25"
"hep-lat/9601028","Vicente Azcoiti","V. Azcoiti, G. Di Carlo, A. Galante, A.F. Grillo, V. Laliena and C.E.
  Piedrafita","The Continuum Limit of Non Compact QED","Presented at Lattice '95. Figures on request",,"10.1016/0920-5632(96)00147-8","DFTUZ 96/4","hep-lat",,"  Since four-fermion operators in strongly coupled $QED$ are nonperturbatively
renormalizable, we analyze here the phase diagram and critical behaviour of the
Gauged Nambu-Jona Lasinio model. Our mean field approximation relates the
critical exponents along the continuous phase transition line with the mass
dependence of the chiral condensate in the Coulomb phase of standard noncompact
$QED$. The numerical results for noncompact $QED$ strongly suggest non mean
field exponents along the critical line.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 13:42:32 GMT""}]","2009-10-28"
"hep-ph/9601355","Dittmaier","A.Denner, S.Dittmaier, and R.Schuster","Electroweak Radiative Corrections to AA -> W+W-","10 pages latex, 3 postscript figures included, contribution to the
  Proceedings of the Workshop on physics with e+e- colliders, Annecy, Geneve,
  Hamburg, Feb.4 to Sept.1, 1995",,,"BI-TP 96/03, WUE-ITP-96-001","hep-ph",,"  We discuss the complete virtual and soft-photonic O(alpha) corrections to AA
-> W+W- within the electroweak Standard Model for arbitrary polarized photons.
In the on-shell renormalization scheme for fixed M_W no leading corrections
associated with the running of alpha or heavy top-quark and Higgs-boson masses
occur. The corrections turn out to be of the order of 10%, but can become much
larger where the lowest-order cross-sections are suppressed.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 16:13:54 GMT""}]","2007-05-23"
"hep-ph/9601356","Michael Meyer-Hermann","E. Stein, M. Meyer-Hermann, L. Mankiewicz, and A. Sch\""afer","IR-Renormalon Contribution to the Longitudinal Structure Function $F_L$","12 pages, latex, including 1 figure, revised version with two
  reference added, no changes to the paper","Phys.Lett. B376 (1996) 177-185","10.1016/0370-2693(96)00275-4","UFTP 407/1996, TUM/T39-96-1","hep-ph",,"  The available data on $F_L$ suggest the existence of unexpected large higher
twist contributions. We use the $1/N_f$ expansion to analyze the renormalon
contribution to the coefficient function of the longitudinal structure function
$F_L^{p-n}$. The renormalon ambiguity is calculated for all moments of the
structure function thus allowing to estimate the contribution of ``genuine''
twist-4 corrections as a function of Bjorken-$x$. The predictions turn out to
be in surprisingly good agreement with the experimental data.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 17:09:16 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jan 1996 11:03:30 GMT""}]","2009-10-28"
"hep-ph/9601357",,"J.A. Casas, A. Lleyda and C. Mu\~noz","Problems for Supersymmetry Breaking by the Dilaton in Strings from
  Charge and Color Breaking","11 pages LaTex + 3 figures including psfig.tex. (No changes to the
  paper, only some references added)","Phys.Lett. B380 (1996) 59-67","10.1016/0370-2693(96)00489-3","FTUAM 96/03, SCIPP-96-03, IEM-FT-124/96","hep-ph hep-th",,"  The general constraints on the parameter space of soft-breaking terms, in
order to avoid dangerous charge and color breaking minima, are applied to the
four-dimensional string scenario where the dilaton is the source of
supersymmetry breaking (dilaton-dominated limit). The results indicate that the
whole parameter space is excluded on these grounds after imposing the present
experimental data on the top mass. The inclusion of a non-vanishing
cosmological constant does not improve essentially the prospects. Possible
way-outs to this situation are briefly discussed.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 18:58:31 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jan 1996 17:33:21 GMT""},{""version"":""v3"",""created"":""Thu, 8 Feb 1996 19:52:35 GMT""}]","2009-10-28"
"hep-ph/9601358","Dvali Georgi","Gia Dvali and Stefan Pokorski","Naturally Light Higgs Doublet in the Spinor Representation of SUSY
  SO(10)","13 pages, Latex","Phys.Lett. B379 (1996) 126-134","10.1016/0370-2693(96)00357-7","CERN-TH/96-11, MPI-PhT/96-4","hep-ph",,"  Within the supersymmetric SO(10) GUT we explore the possibility of the light
Higgs doublet being a member of the 16-dimensional spinorial representation.
This fact is ultimately related with the assumption that the light matter (at
least partially) resides in some of the tensor representations as well. Several
interesting features emerge. First, provided that the same 16-plet is
responsible for the breaking $SO(10) \rightarrow SU(5)$, the heaviness of the
top can automatically follow from the field content at $M_{GUT}$, without need
of any flavour symmetries. Secondly, the doublet--triplet splitting problem
receives a new natural solution. In addition, a dimension=5 (Higgsino mediated)
proton decay can be naturally suppressed. We construct explicit SO(10) models
with the above properties, with most general superpotentials under the
symmetries.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 18:54:03 GMT""}]","2016-09-01"
"hep-ph/9601359",,"L. Dixon (SLAC)","Calculating Scattering Amplitudes Efficiently","LaTex, 45 pages with 11 encapsulated figures. Presented at the
  Theoretical Advanced Study Institute (TASI 95), Boulder, CO, June 4-30, 1995.
  Eqs. (29) and (55), and postscript bug fixed",,,"SLAC-PUB-96-7106","hep-ph",,"  We review techniques for more efficient computation of perturbative
scattering amplitudes in gauge theory, in particular tree and one-loop
multi-parton amplitudes in QCD. We emphasize the advantages of (1) using color
and helicity information to decompose amplitudes into smaller gauge-invariant
pieces, and (2) exploiting the analytic properties of these pieces, namely
their cuts and poles. Other useful tools include recursion relations, special
gauges and supersymmetric rearrangements.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 22:30:48 GMT""},{""version"":""v2"",""created"":""Wed, 11 Dec 1996 00:00:44 GMT""}]","2008-02-03"
"hep-ph/9601360","Mikolaj Misiak","Peter Cho, Mikolaj Misiak and Daniel Wyler","$K_L \to \pi^0 e^+ e^-$ and $B \to X_s \ell^+ \ell^-$ Decay in the MSSM","29 pages, harvmac, 6 postscript figures","Phys.Rev. D54 (1996) 3329-3344","10.1103/PhysRevD.54.3329","ZU-TH 24/95, CALT-68-2028","hep-ph",,"  The flavor changing neutral current processes $K_L \to \pi^0 e^+ e^-$, $B \to
X_s e^+ e^-$ and $B \to X_s \mu^+ \mu^-$ are studied within the minimal
supersymmetric extension of the Standard Model. We first examine the rates for
these decay modes in the MSSM with a universal soft supersymmetry breaking
sector at a Grand Unification scale. We later relax the universality condition
and investigate the FCNC transitions in a more general class of models with
negligible flavor violation in squark mixing matrices. We find that the MSSM
prediction for the kaon channel's branching fraction differs from its Standard
Model value by at most 30\% over the entire allowed parameter space. On the
other hand, supersymmetric contributions could potentially enhance certain $B
\to X_s \ell^+ \ell^-$ observables by more than 100\% relative to Standard
Model expectations. The impact of supersymmetry upon the $B$ meson modes is
strongly correlated with the MSSM value for the Wilson coefficient of the
magnetic moment operator that mediates $B \to X_s \gamma$.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 22:15:58 GMT""}]","2009-10-28"
"hep-ph/9601361","Stephen Hsu","N. Evans, S.D.H. Hsu and M. Schwetz (Yale University)","Topological Charge and $U(1)_A$ Symmetry in the High Temperature Phase
  of QCD","8 pages, LaTeX","Phys.Lett. B375 (1996) 262-266","10.1016/0370-2693(96)00280-8","YCTP-P3-95","hep-ph hep-lat",,"  We discuss the global symmetries of the high temperature phase of QCD with
$N_f$ massless quarks. We show that the $U(N_f) \times U(N_f)$ symmetries are
only violated by operators of dimension $\geq 3 N_f$. For $N_f > 2$ this
implies that the thermal two-point correlation functions of the $\eta'$ and
$\pi^a$'s are identical. We discuss the implications of this for the chiral
phase transition at finite temperature.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 22:17:44 GMT""}]","2009-10-28"
"hep-ph/9601362","Daniel R. Stump","Daniel R. Stump, Michael Wiest, C.-P. Yuan","Detecting a Light Gravitino at Linear Collider to Probe the SUSY
  Breaking Scale","20 pages, LaTeX file and postscript figures","Phys.Rev. D54 (1996) 1936-1943","10.1103/PhysRevD.54.1936","MSUHEP-60116","hep-ph",,"  If supersymmetry is dynamically broken at a low scale ($M_{susy}$), within a
few orders of magnitude of the weak scale, then the lightest supersymmetric
partner is the gravitino and the next to lightest supersymmetric partner is a
neutralino $\chi^0_1$ with mass $m_{\chi^0_1}$, which can decay into a photon
($\gamma$) plus a gravitino ($\widetilde{G}$). We study the detection of
$e^{-}e^{+}\rightarrow \chi^0_1 \chi^0_1 \rightarrow
\gamma\widetilde{G}\gamma\widetilde{G}$ at the proposed Linear Collider, and
find the range of the parameters $M_{susy}$ and $m_{\chi^0_1}$ that can be
accessible with a right-hand polarized electron beam at $\sqrt{S}=500$\,GeV,
with 50\,${\rm fb}^{-1}$ integrated luminosity. We also discuss briefly the
accessible range for current electron and hadron colliders.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 22:26:47 GMT""}]","2009-10-28"
"hep-ph/9601363",,"J. D. Bjorken (SLAC & Oxford University)","Rapidity Gaps in Deep Inelastic Scattering","LaTex 14 pages, 3 figures. To obtain a copy, send e-mail to
  techpub@slac.stanford.edu",,,"SLAC-PUB-7096","hep-ph",,"  A simple semiquantitative picture of diffractive electroproduction is
described. Although the diffractive component of $F_2$ is approximately
independent of $Q^2$ and $W^2$, this mechanism is ""soft,"" i.e. it depends upon
large-distance physics and is not readily describable within perturbative QCD.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 23:29:20 GMT""}]","2007-05-23"
"hep-ph/9601364","Ken Simpson","K. Kusaka, K.M. Simpson and A.G. Williams","Solving the Bethe-Salpeter Equation in Minkowski Space: Scalar Theories
  and Beyond","16 pages of LaTeX, uses epsfig.sty with 2 figures. Entire manuscript
  available as a ps file at http://www.physics.adelaide.edu.au/theory/home.html
  or ftp://adelphi.adelaide.edu.au/pub/theory/ADP-96-1.T206.ps","Austral.J.Phys.50:147-154,1997","10.1071/P96053","ADP-96-1/T206","hep-ph nucl-th",,"  The Bethe-Salpeter equation (BSE) for bound states in scalar theories is
reformulated and solved in terms of a generalized spectral representation
directly in Minkowski space. This differs from the conventional approach, where
the BSE is solved in Euclidean space after a Wick rotation. For all but the
lowest-order (i.e., ladder) approximation to the scattering kernel, the {\it
naive} Wick rotation is invalid. Our approach generates the vertex function and
Bethe-Salpeter amplitude for the entire allowed range of momenta, whereas these
cannot be directly obtained from the Euclidean space solution. Our method is
quite general and can be applied even in cases where the Wick rotation is not
possible.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 02:38:34 GMT""}]","2015-06-25"
"hep-ph/9601365",,"Yoshiharu Kawamura and Tatsuo Kobayashi","Soft Scalar Masses in String Models with Anomalous $U(1)$ symmetry","16 pages, No Figures","Phys.Lett.B375:141-148,1996; ERRATUM-ibid.B388:867,1996","10.1016/0370-2693(96)00250-X","DPSU-96-2, LMU-TPW 96-3","hep-ph",,"  We obtain the low-energy effective theory from string models with anomalous
$U(1)$ symmetry. The feature of soft supersymmetry breaking scalar masses and
some phenomenological implications are discussed. We show that it is, in
general, difficult to keep the degeneracy and the positivity of squared soft
scalar masses at the Planck scale.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 02:57:31 GMT""}]","2008-11-26"
"hep-ph/9601366","Tomoko Uesugi","Tomoko Uesugi","Electroweak baryogenesis with the vector-like quark model","Latex file, 3pp",,,"OCHA-PP-73","hep-ph",,"  We study on the electroweak baryogenesis problem in the vector-like quark
model. This model can add to the minimal standard model the extra CP-violation
source which breaks CP spontaneously. Using charge transport mechanism
suggested by Nelson et al, we can get the net hypercharge flux : $f_{Y} \sim
10^{-5}$. This result could nicely explain the present baryon to entropy ratio
: $\rho_{B}/s \sim 10^{-9}$.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 04:03:50 GMT""}]","2007-05-23"
"hep-ph/9601367","Thomas","Savas Dimopoulos, Michael Dine, Stuart Raby, Scott Thomas","Experimental Signatures of Low Energy Gauge Mediated Supersymmetry
  Breaking","11 pages, requires phyzzx, published version","Phys.Rev.Lett. 76 (1996) 3494-3497","10.1103/PhysRevLett.76.3494","SLAC-PUB-96-7104","hep-ph",,"  The experimental signatures for gauge mediated supersymmetry breaking are
presented. The phenomenology associated with this class of models is
distinctive since the gravitino is naturally the LSP. The next lightest
supersymmetric particle (NLSP) can be a gaugino, Higgsino, or right handed
slepton. Decay of the NLSP to its partner plus the LSP proceeds through the
Goldstino component of the gravitino. For a significant range of parameters
this decay can take place within the detector, and can be measured as a
displaced vertex or kink in a charged particle track. In the case that the NLSP
is mostly gaugino, we identify the discovery modes as $e^+e^- \rightarrow
\gamma \gamma + \Emiss$, and $p \bar{p} \rightarrow l^+ l^- \gamma \gamma +
\EmissT$. If the NLSP is a right handed slepton the discovery modes are $e^+
e^- \rightarrow l^+ l^- + \Emiss$ and $p \bar{p} \rightarrow l^+ l^- +
\EmissT$. An NLSP which is mostly Higgsino is also considered. Finally, these
theories can contain scalar particles which mediate sub-millimeter range
coherent forces of gravitational strength.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 07:04:28 GMT""},{""version"":""v2"",""created"":""Tue, 20 Feb 1996 05:04:08 GMT""},{""version"":""v3"",""created"":""Tue, 2 Jul 1996 04:47:57 GMT""}]","2009-10-28"
"hep-ph/9601368","Toru Goto","Toru Goto (Tohoku Univ.) and Yasuhiro Okada (KEK)","Charged Higgs mass bound from the $b \to s \gamma$ process in the
  minimal supergravity","Talk given by Toru Goto at Yukawa International Seminar '95: From the
  Standard Model to Grand Unified Theories, Kyoto, Japan, 21-25 Aug 1995; 10
  pages LaTeX with ptptex.sty; 5 figures are included with epsf.sty","Prog.Theor.Phys.Suppl. 123 (1996) 213-220","10.1143/PTPS.123.213","TU-494, KEK-TH-468, KEK Preprint 95-199","hep-ph",,"  The constraint on the mass of the charged Higgs boson from the recent
measurement of the inclusive $b \rightarrow s \gamma$ decay is studied in a
framework of the minimal supergravity. It is shown that the lower bound for the
charged Higgs mass crucially depends on the sign of the higgsino mass parameter
($\mu$). For $\mu<0$, the bound exceeds 400 GeV when the ratio of two Higgs
vacuum expectation values ($\tan\beta$) is larger than 10. No strong bound is
obtained for $\mu>0$ due to cancellations between charged Higgs and
supersymmetric particle contributions.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 08:00:34 GMT""}]","2009-10-28"
"hep-ph/9601369","Silvano Simula","N.B. Demchuk, I.L. Grach, I.M. Narodetski, S. Simula","Heavy-to-heavy and heavy-to-light weak decay form factors in the
  light-front approach: the exclusive $ 0^- $ to $ 0^- $ case","revised version (corrections to formulae and references) to appear in
  Sov. J. Nucl. Phys","Phys.Atom.Nucl. 59 (1996) 2152-2163; Yad.Fiz. 59N12 (1996)
  2235-2246",,"preprint INFN-ISS 95/18","hep-ph nucl-th",,"  Weak transition form factors among heavy pseudoscalar mesons are investigated
within a relativistic quark model formulated on the light-front. It is shown
that the light-front result derived in the time-like region for the matrix
elements of the plus component of the weak vector current coincides with the
spectator pole term of the quark triangle diagram. For the first time, the
dependence of the form factors on the squared four-momentum transfer $q^2$ is
calculated in the whole accessible kinematical region $0 \leq q^2 \leq
q^2_{max}$. For the numerical investigations of the semileptonic $B \to D \ell
\nu_{\ell}$, $B \to \pi \ell \nu_{\ell}$, $D \to K \ell \nu_{\ell}$ and $D \to
\pi \ell \nu_{\ell}$, the equal-time wave functions corresponding to the
updated version of the ISGW model are adopted. Our results for the form factors
and the decay rates are presented and compared with available experimental data
and predictions of different approaches. Moreover, the $K^0_L \to \pi^{\pm} ~
e^{\mp} ~ \nu_e$ decay is briefly discussed. Our approach is consistent with
experimental data.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 08:16:48 GMT""},{""version"":""v2"",""created"":""Mon, 6 May 1996 07:53:25 GMT""}]","2008-02-03"
"hep-ph/9601371","Jonathan Butterworth","J.M.Butterworth, J.R.Forshaw and M.H.Seymour","Multiparton Interactions in Photoproduction at HERA","21 pages, 8 figures included","Z.Phys.C72:637-646,1996","10.1007/s002880050286","CERN-TH/95-82, MC-TH-96/05, UCL/HEP 96-02","hep-ph",,"  The high energy photoproduction of jets is being observed at the ep collider,
HERA. It may be that the HERA centre-of-mass energy is sufficiently large that
the production of more than one pair of jets per ep collision becomes possible,
owing to the large number density of the probed gluons. We construct a Monte
Carlo model of such multiparton interactions and study their effects on a wide
range of physical observables. The conclusion is that multiple interactions
could have very significant effects upon the photoproduction final state and
that this would for example make extractions of the gluon density in the photon
rather difficult. Total rates for the production of many (i.e. > 2) jets could
provide direct evidence for the presence of multiple interactions, although
parton showering and hadronization significantly affect low transverse energy
jets.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 11:27:53 GMT""}]","2008-11-26"
"hep-ph/9601372","Ananthanarayan ""b.""","B. Ananthanarayan and P. N. Pandita","The Non-Minimal Supersymmetric Standard Model at Large $\tan\beta$","30 pages plain LaTeX, to be run twice, 4 figures","Int.J.Mod.Phys.A12:2321-2342,1997","10.1142/S0217751X97001353","BUTP-96/6, KL-TH~96/4","hep-ph",,"  We present a comprehensive analysis of the Non-Minimal Supersymmetric
Standard Model (NMSSM) for large values of $\tan\beta$, the ratio of the vacuum
expectation values of the two Higgs doublets, which arise when we impose the
constraint of the unification of Yukawa couplings in the model. In this limit
we show that the vacuum expectation value of the singlet is forced to be large,
of the order of $10$ TeV. The singlet decouples from the lightest CP-even
neutral Higgs boson and the neutralinos. We compare our results with the
corresponding particle spectrum of the Minimal Supersymmetric Standard Model in
the same limit. With the exception of the lightest Higgs boson, the particle
spectrum in the model turns out to be heavy. The Higgs boson mass, after the
inclusion of radiative corrections, is found to be in the neighbourhood of
$\sim 130$ GeV.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 15:00:56 GMT""}]","2014-11-17"
"hep-ph/9601373","Tetsuo Hatsuda","Su H. Lee and T. Hatsuda","$U_A(1)$ symmetry restoration in QCD with $N_f$ flavors","6 pages, no figures, revtex","Phys.Rev.D54:1871-1873,1996","10.1103/PhysRevD.54.R1871",,"hep-ph nucl-th",,"  Recently, there have been reports that the chirally restored phase of QCD is
effectively symmetric under $U(N_f) \times U(N_f)$ rather than $SU(N_f)\times
SU(N_f)$. We supplement their argument by including the contributions from
topologically nontrivial gauge field configurations and discuss how the
conclusions are modified. General statements are made concerning the particle
spectrum of QCD with light $N_f$ flavors in the high temperature chirally
restored phase.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 15:38:03 GMT""}]","2009-12-30"
"hep-th/9601154","Sergey Solodukhin","Sergey Solodukhin","Black hole entropy: statistical mechanics agrees thermodynamics","10 pages, latex. Some new discussion added. Version to appear in Phys
  Rev.D","Phys. Rev. D 54, 3900 (1996)","10.1103/PhysRevD.54.3900","WATPHYS-TH-96-01","hep-th gr-qc",,"  We discuss the connection between different entropies introduced for black
hole. It is demonstrated on the two-dimensional example that the (quantum)
thermodynamical entropy of a hole coincides (including UV-finite terms) with
its statistical-mechanical entropy calculated according to 't Hooft and
regularized by Pauli-Villars.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 20:19:34 GMT""},{""version"":""v2"",""created"":""Sun, 21 Jul 1996 20:31:38 GMT""}]","2016-08-24"
"hep-th/9601155",,"B. Harms and A. Stern","Bosonic Description of Spinning Strings in $2+1$ Dimensions","Latex, 12 pages","Phys.Rev. D54 (1996) 3981-3984","10.1103/PhysRevD.54.3981",,"hep-th",,"  We write down a general action principle for spinning strings in 2+1
dimensional space-time without introducing Grassmann variables. The action is
written solely in terms of coordinates taking values in the 2+1 Poincare group,
and it has the usual string symmetries, i.e. it is invariant under a)
diffeomorphisms of the world sheet and b) Poincare transformations. The system
can be generalized to an arbitrary number of space-time dimensions, and also to
spinning membranes and p-branes.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 00:28:29 GMT""}]","2016-09-06"
"hep-th/9601156","Masako Kawamura","Masako Kawamura","Efficiency of swimming of micro-organism and singularity in shape space","Latex file, 10pp","Mod. Phys. Lett. A11 (1996) 1961","10.1142/S0217732396001958","OCHA-PP-71","hep-th",,"  Micro-organisms can be classified into three different types according to
their size. We study the efficiency of the swimming of micro-organism in two
dimensional fluid as a device for helping the explanation of this hierarchy in
the size. We show that the efficiency of flagellate becomes unboundedly large,
whereas that of ciliate has the upper bound. The unboundedness is related to
the curious feature of the shape space, that is, a singularity at the basic
shape of flagellate.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 05:29:13 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jan 1996 09:25:48 GMT""}]","2009-10-30"
"hep-th/9601157",,"A. Chakrabarti and D.H. Tchrakian","Spherically Symmetric Istantons of the Scale Invariant SU(2) Gauged
  Grassmannian Model in d=4","12 pages, LaTeX","Phys.Lett.B376:59-64,1996","10.1016/0370-2693(96)00267-5",,"hep-th",,"  (Anti)self-dual solutions of the scale invariant SU(2) gauged Grassmanian
model are sought. A stronger (anti)selfduality condition for this system is
defined, referred to as strong self-duality, and spherically symmetric
solutions of this {\it strong} (anti)self-duality equations are found in closed
form. It is verified that these are the only solutions of the strong
(anti)self-duality equations. The usual (anti)self-duality equations for the
axially symmetric fields are derived and seen to be not overdetermined.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 11:34:24 GMT""}]","2010-11-19"
"hep-th/9601158","Konstadinos Sfetsos","I. Bakas and K. Sfetsos","String effects and field theory puzzles with supersymmetry","16 pages, Latex; contribution to the proceedings of the 5th Hellenic
  school and workshops on elementary particle physics, Corfu, 3-24 September
  1995",,,"CERN-TH/96-15, ENSLAPP-A-578/96, THU-96/04","hep-th",,"  We investigate field theory puzzles occuring in the interplay between
supersymmetry and duality in the presense of rotational isometries (also known
as non-triholomorphic in hyper-Kahler geometry). We show that T-duality is
always compatible with supersymmetry, provided that non-local world-sheet
effects are properly taken into account. The underlying superconformal algebra
remains the same, and T-duality simply relates local with non-local
realizations of it. The non-local realizations have a natural description using
parafermion variables of the corresponding conformal field theory. We also
comment on the relevance of these ideas to a possible resolution of long
standing problems in the quantum theory of black holes.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 11:43:01 GMT""}]","2007-05-23"
"hep-th/9601159","H. Saller","Heinrich Saller","The Analysis of Time-Space Translations in Quantum Fields","31 pages, all macros included","Int.J.Theor.Phys. 36 (1997) 1033-1070","10.1007/BF02435800","MPI-PhT/96-6","hep-th",,"  I discuss the indefinite metrical structure of the time-space translations as
realized in the indefinite inner products for relativistic quantum fields,
familiar in the example of quantum gauge fields. The arising indefinite unitary
nondiagonalizable representations of the translations suggest as the positive
unitarity condition for the probability interpretable positive definite
asymptotic particle state space the requirement of a vanishing nilpotent part
in the time-space translations realization. A trivial Becchi-Rouet-Stora charge
(classical gauge invariance) for the asymptotics in quantum gauge theories can
be interpreted as one special case of this general principle - the asymptotic
projection to the eigenstates of the time-space translations.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 12:57:58 GMT""}]","2009-10-30"
