"acc-phys/9605001","Georg Hoffstaetter","K. Heinemann and G. H. Hoffstatter (DESY/Hamburg/German)","A tracking algorithm for the stable spin polarization field in storage
  rings using stroboscopic averaging","39 pages","Phys.Rev.E54:4240-4255,1996","10.1103/PhysRevE.54.4240","DESY-96-078","acc-phys physics.acc-ph",,"  Polarized protons have never been accelerated to more than about $25$GeV. To
achieve polarized proton beams in RHIC (250GeV), HERA (820GeV), and the
TEVATRON (900GeV), ideas and techniques new to accelerator physics are needed.
In this publication we will stress an important aspect of very high energy
polarized proton beams, namely the fact that the equilibrium polarization
direction can vary substantially across the beam in the interaction region of a
high energy experiment when no countermeasure is taken. Such a divergence of
the polarization direction would not only diminish the average polarization
available to the particle physics experiment, but it would also make the
polarization involved in each collision analyzed in a detector strongly
dependent on the phase space position of the interacting particle. In order to
analyze and compensate this effect, methods for computing the equilibrium
polarization direction are needed. In this paper we introduce the method of
stroboscopic averaging, which computes this direction in a very efficient way.
Since only tracking data is needed, our method can be implemented easily in
existing spin tracking programs. Several examples demonstrate the importance of
the spin divergence and the applicability of stroboscopic averaging.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 09:45:26 GMT""}]","2008-12-18"
"gr-qc/9605038","Hans Kastrup","H.A. Kastrup (RWTH Aachen)","On the Quantum Levels of Isolated Spherically Symmetric Gravitational
  Systems","13 pages, LaTeX, Replacement corrects a few misprints. No change of
  content!","Phys.Lett.B385:75-80,1996","10.1016/0370-2693(96)00846-5","PITHA 96/16","gr-qc astro-ph hep-th",,"  The known canonical quantum theory of a spherically symmetric pure
(Schwarzschild) gravitational system describes isolated black holes by plane
waves exp(-iMc^2\tau/\hbar) with respect to their continuous masses M and the
proper time \tau of obsevers at spatial infinity. On the other hand Bekenstein
and Mukhanov postulated discrete mass levels for such black holes in the spirit
of the Bohr-Sommerfeld quantisation in atomic physics. The two approaches can
be related by postulating periodic boundary conditions in time for the plane
waves and by identifying the period \Delta in real time with the period
\Delta_H= 8\pi GM/c^3 in Euclidean time. This yields the mass spectrum
M_n=(1/2)\sqrt{n}m_P, n=1,2,... .
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 15:21:00 GMT""},{""version"":""v2"",""created"":""Wed, 29 May 1996 14:50:48 GMT""}]","2010-11-19"
"hep-ph/9605333","Luca Silvestrini","L. Silvestrini","Probing SUSY in FCNC and CP Violating Phenomena","10 pages, 1 Postscript figure, to appear in the Proceedings of Les
  Rencontres de Physique de la Vallee d'Aoste, Results and Perspectives in
  Particle Physics (La Thuile, Italy, March 1996)",,,"ROM2F/96/27","hep-ph",,"  We analyze constraints on low-energy flavour-changing sfermion mass terms,
coming from FCNC and CP violating processes, in the model-independent framework
of the mass insertion method. We discuss the relevance of these constraints as
tests of supersymmetric extensions of the standard model; in particular, we
consider grand-unified models and models with non-universal soft breaking
terms.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 16:16:18 GMT""}]","2007-05-23"
"hep-ph/9605334","Seong-Youl Choi","S.Y. Choi and K. Hagiwara (KEK) and M.S. Baek (Seoul National
  University, CTP)","Probing CP Violation in $\gamma\gamma\to W^+W^-$ with Polarized Photon
  Beams","37 pages, RevTex, 1 Tex file and 6-page postscript figures uuencoded
  together, also available at ftp://theory.kek.jp/kek/preprints/TH/kekth456.uu","Phys.Rev.D54:6703-6716,1996","10.1103/PhysRevD.54.6703","KEK preprint 96-15, KEK-TH-456, SNUTP 95-111","hep-ph",,"  We demonstrate in a general framework that polarized photons by backscattered
laser beams of adjustable frequencies at a TeV linear $e^+e^-$ collider provide
us with a very efficient mechanism to probe CP violation in two-photon
collisions. CP violation in the process $\gamma\gamma\rightarrow W^+W^-$ is
investigated in detail with linearly polarized photon beams. There are two
useful CP-odd asymmetries that do not require detailed information on $W$ decay
products. The sensitivity to the CP-odd form factors are studied quantitatively
by assuming a perfect $e$-$\gamma$ conversion and the 20 fb$^{-1}$ $e^+e^-$
integrated luminosity at the $e^+e^-$ c.m. energies $\sqrt{s}=0.5$ and $1.0$
TeV. The sensitivity is so high that such experiments will allow us to probe
new CP violation effects beyond the limits from some specific models with
reasonable physics assumptions. We find that a counting experiment of $W^+W^-$
events in the two-photon mode with adjustable laser frequencies can have much
stronger sensitivity to the CP-odd $\gamma(\gamma) WW$ form factors than can a
$W^+W^-$ decay-correlation experiment with a perfect detector achieve in the
$e^+e^-$ mode.
  PACS number(s): 14.70.Bh, 14.70.Hp, 13.88.+e
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 03:18:21 GMT""},{""version"":""v2"",""created"":""Fri, 17 May 1996 06:20:40 GMT""}]","2008-11-26"
"hep-ph/9605335","Massimo Blasone","M.Blasone, P.A.Henning and G.Vitiello","Mixing Transformations in Quantum Field Theory and Neutrino Oscillations","14 pages, LaTeX. To appear in Proceedings of ""Results and
  Perspectives in Particle Physics"", La Thuile, Aosta Valley, March 1996",,,,"hep-ph",,"  Field mixing transformations are studied in quantum field theory and the
generator of the transformations is found to induce an SU(2) coherent structure
in the vacuum state, both for bosons and for fermions. The Fock space for mixed
fields is unitarily inequivalent to the Fock space of the unmixed fields in the
infinite volume limit. We study neutrino mixing and oscillations and find that
the oscillation amplitude is depressed by a factor which is momentum and mass
dependent. The usual formula is recovered in the relativistic limit.
Phenomenological features of the modified oscillation formula are discussed.
Finally, preliminary results of the Green's function formalism are presented.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 08:12:30 GMT""}]","2007-05-23"
"hep-ph/9605336","Christopher Sachrajda","G.Martinelli and C.T.Sachrajda","On The Difficulty of Computing Higher-Twist Corrections","27 pages, uuencoded file containing latex source and axodraw.sty file","Nucl.Phys.B478:660-686,1996","10.1016/0550-3213(96)00415-4","CERN-TH/96-117, ROME prep. 1149/96, SHEP 96-11","hep-ph",,"  We discuss the evaluation of power corrections to hard scattering and decay
processes for which an operator product expansion is applicable. The Wilson
coefficient of the leading-twist operator is the difference of two perturbative
series, each of which has a renormalon ambiguity of the same order as the power
corrections themselves, but which cancel in the difference. We stress the
necessity of calculating this coefficient function to sufficiently high orders
in perturbation theory so as to make the uncertainty of the same order or
smaller than the relevant power corrections. We investigate in some simple
examples whether this can be achieved. Our conclusion is that in most of the
theoretical calculations which include power corrections, the uncertainties are
at least comparable to the power corrections themselves, and that it will be a
very difficult task to improve the situation.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 09:36:05 GMT""}]","2009-10-09"
"hep-ph/9605337","Dr. Ivica Picek","J.O. Eeg, K. Kumericki and I. Picek","On the dispersive two-photon K_L -> \mu^+ \mu^- amplitude","7 pages, 6 PS figures, uses psfig, revised version with important
  numerical error corrected, to appear in Z.f.Phys.C (and one additional
  reference)","Eur.Phys.J.C1:531-537,1998","10.1007/s100520050102","BI - TP 96/08, Oslo-TP-2-96 and ZTF - 96/03","hep-ph",,"  We present a full account of the two-loop electroweak, two-photon mediated
short-distance dispersive $K_L \to\mu^+\mu^-$ decay amplitude. QCD corrections
change the sign of this amplitude and reduce it by an order of magnitude. Thus,
the QCD-corrected two-loop amplitude represents only a small fraction (with the
central value of 5 %) of the one-loop weak short-distance contribution, and has
the same sign. In combination with a recent measurement, the standard-model
prediction of the short-distance amplitude, completed in this paper, provides a
constraint on the otherwise uncertain long-distance dispersive amplitude.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 09:59:25 GMT""},{""version"":""v2"",""created"":""Wed, 27 Aug 1997 12:29:37 GMT""}]","2011-09-13"
"hep-ph/9605339",,"A. Djouadi (DESY, Karlsruhe), J. Kalinowski (Warsaw), P. Ohmann
  (Oxford) and P.M. Zerwas (DESY)","Heavy SUSY Higgs Bosons at $e^+e^-$ Linear Colliders","50 pages including 8 figures (using psfig), the complete *.ps file
  can also be found at http://itpaxp1.physik.uni-karlsruhe.de/prep/prep.html","Z.Phys. C74 (1997) 93-111",,"DESY 95--213, KA--TP--10--96, IFT-96--09, OUTP--96--19P","hep-ph",,"  The production mechanisms and decay modes of the heavy neutral and charged
Higgs bosons in the Minimal Supersymmetric Standard Model are investigated at
future $e^+ e^-$ colliders in the TeV energy regime. We generate supersymmetric
particle spectra by requiring the MSSM Higgs potential to produce correct
radiative electroweak symmetry breaking, and we assume a common scalar mass
$m_0$, gaugino mass $m_{1/2}$ and trilinear coupling $A$, as well as gauge and
Yukawa coupling unification at the Grand Unification scale. Particular emphasis
is put on the low $\tb$ solution in this scenario where decays of the Higgs
bosons to Standard Model particles compete with decays to supersymmetric
charginos/neutralinos as well as sfermions. In the high $\tb$ case, the
supersymmetric spectrum is either too heavy or the supersymmetric decay modes
are suppressed, since the Higgs bosons decay almost exclusively into $b$ and
$\tau$ pairs. The main production mechanisms for the heavy Higgs particles are
the associated $AH$ production and $H^+H^-$ pair production with cross sections
of the order of a few fb.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 13:39:35 GMT""}]","2007-05-23"
"hep-ph/9605340",,"A. Djouadi, W. Hollik and C. Junger (ITP, Karlsruhe)","QCD Corrections to the Top Decay Mode $t \ra \tilde{t} \chi^0$","15 pages including 4 figs (using psfig.sty). A few typos have been
  corrected and some references added. The results for Figs. 3 and 4 are now
  presented in the dimensional reduction scheme. Version to appear in Phys.
  Rev. D","Phys.Rev. D54 (1996) 5629-5635","10.1103/PhysRevD.54.5629",,"hep-ph",,"  In supersymmetric theories, the top quark can decay into its scalar partner
plus a neutralino, with an appreciable rate. We calculate the $O(\alpha_s)$ QCD
corrections to this decay mode in the minimal supersymmetric extension of the
Standard Model. These corrections can be either positive or negative and
increase logarithmically with the gluino mass. For gluino masses below 1 TeV,
they are at most of the order of ten percent and therefore, well under control.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 13:40:20 GMT""},{""version"":""v2"",""created"":""Fri, 24 May 1996 17:44:40 GMT""},{""version"":""v3"",""created"":""Thu, 4 Jul 1996 14:32:24 GMT""}]","2009-10-28"
"hep-ph/9605341","Sergio Lupia","S. Lupia (Max-Planck-Inst. fuer Physik, Munich)","Perturbative QCD approach and particle energy spectra","LaTeX, 4 pages, uses epsfig.sty and overcite.sty, to appear in Proc.
  XXXIst Rencontre de Moriond, ``QCD and High Energy Interactions'', Les Arcs,
  March 23rd-30th 1996",,,"MPI-PhT/96-36","hep-ph",,"  The Modified Leading Log Approximation of QCD and the local parton hadron
duality picture are shown to give a fully satisfactory description of data on
charged particle energy spectra in $e^+e^-$ annihilation. The analysis of data
in terms of moments points out the running of $\alpha_s$ both at very low $cms$
energy (${\cal O}$(3 GeV)) and at very low particle energy (${\cal O}$(200-500
MeV)). The study of the universal soft limit of energy spectra at low particle
energy is proposed as a test of QCD coherence. The extension of this approach
at identified particles' spectra is discussed.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 13:06:05 GMT""}]","2007-05-23"
"hep-th/9605115",,"P.A. Marchetti, Zhao-Bin Su and Lu Yu","Dimensional reduction of U(1)\times SU(2) Chern-Simons bosonization:
  application to the t-J model","31 pages, Plain TeX, no figures","Nucl.Phys. B482 (1996) 731-757","10.1016/S0550-3213(96)00458-0","DFPD/96/TH/26","hep-th cond-mat",,"  We perform a dimensional reduction of the $U(1)\times SU(2)$ Chern--Simons
bosonization and apply it to the $t-J$ model, relevant for high $T_c$
superconductors. This procedure yields a decomposition of the electron field
into a product of two ``semionic"" fields, i.e. fields obeying abelian braid
statistics with statistics parameter $\theta={1\over 4}$, one carrying the
charge and the other the spin degrees of freedom. A mean field theory is then
shown to reproduce correctly the large distance behaviour of the correlation
functions of the 1D $t-J$ model at $t>>J$. This result shows that to capture
the essential physical properties of the model one needs a specific ``semionic""
form of spin--charge separation.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 16:20:29 GMT""}]","2009-10-30"
"hep-th/9605116","Cornwall John","John M. Cornwall (Dept. of Physics, UCLA)","The Baryon Wilson Loop Area Law in QCD","26 pages, Latex plus three .eps figures in a uuencoded file. Only
  change from original submission is addition of reference to work of M. B.
  Halpern (Phys. Lett. 81B, 245 (1979); Phys. Rev. D19, 517 (1979)","Phys.Rev. D54 (1996) 6527-6536","10.1103/PhysRevD.54.6527","UCLA/96/TEP/15","hep-th",,"  There is still confusion about the correct form of the area law for the
baryonic Wilson loop (BWL) of QCD. Strong-coupling (i.e., finite lattice
spacing in lattice gauge theory) approximations suggest the form $\exp
[-KA_Y]$, where $K$ is the $q\bar{q}$ string tension and $A_Y$ is the global
minimum area, generically a three-bladed area with the blades joined along a
Steiner line ($Y$ configuration). However, the correct answer is
$\exp[-(K/2)(A_{12}+A_{13}+A_{23})]$, where, e.g., $A_{12}$ is the minimal area
between quark lines 1 and 2 ($\Delta$ configuration). This second answer was
given long ago, based on certain approximations, and is also strongly favored
in lattice computations. In the present work, we derive the $\Delta$ law from
the usual vortex-monopole picture of confine- ment, and show that in any case
because of the 1/2 in the $\Delta$ law, this law leads to a larger value for
the BWL (smaller exponent) than does the $Y$ law. We show that the three-bladed
strong-coupling surfaces, which are infinitesimally thick in the limit of zero
lattice spacing, survive as surfaces to be used in the non-Abelian Stokes'
theorem for the BWL, which we derive, and lead via this Stokes' theorem to the
correct $\Delta$ law. Finally, we extend these considerations, including
perturbative contributions, to gauge groups $SU(N)$, with $N>3$.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 16:52:29 GMT""},{""version"":""v2"",""created"":""Fri, 17 May 1996 20:52:56 GMT""}]","2009-10-30"
"hep-th/9605117","Leonardo Palacios","L. Palacios","Boosting some type--D metrics","15 pages, Tex file","Class.Quant.Grav.14:999-1007,1997","10.1088/0264-9381/14/4/015","CINVESTAV-FIS-10/96","hep-th",,"  We are presenting a general solution to the classical
Einstein--Maxwell--dilaton--axion equations starting from a metric of type--D.
Namely, this stringy solution is the result of a transformation on a general
vacuum type--D solution to the Einstein's equations which was studied in detail
some years ago.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 17:16:52 GMT""}]","2014-11-18"
"hep-th/9605118","Massimo Porrati","A. Giveon and M. Porrati","Aspects of Space-Time Dualities","10 pages, plain Latex. Minor misprint corrected","Phys.Lett. B385 (1996) 81-86","10.1016/0370-2693(96)00826-X","NYU-TH-95/12/01, CERN-TH/95-346","hep-th",,"  Duality groups of Abelian gauge theories on four manifolds and their
reduction to two dimensions are considered. The duality groups include elements
that relate different space-times in addition to relating different
gauge-coupling matrices. We interpret (some of) such dualities as the
geometrical symmetries of compactified theories in higher dimensions. In
particular, we consider compactifications of a (self-dual) 2-form in 6-D, and
compactifications of a self-dual 4-form in 10-D. Relations with a self-dual
superstring in 6-D and with the type IIB superstring are discussed.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 18:04:00 GMT""},{""version"":""v2"",""created"":""Tue, 28 May 1996 14:39:05 GMT""}]","2009-10-30"
"hep-th/9605119","Chih Lung Chou","Chih-Lung Chou (Stanford University and SLAC)","Models of Dynamical Supersymmetry Breaking from a SU(2k+3) Model","13 pages, modifications to the sections two and three","Phys.Lett. B391 (1997) 329-334","10.1016/S0370-2693(96)01469-4","SLAC-PUB7174","hep-th",,"  We investigate three classes of supersymmetric models which can be obtained
by breaking the chiral SU(2k+3) gauge theories with one antisymmetric tensor
and 2k-1 antifundamentals. For N=3, the chiral SU(2k)$\times$SU(3)$\times$U(1)
theories break supersym metry by the quantum deformations of the moduli spaces
in the strong SU(2k) gauge coupling limit. For N=2, it is the generalization of
the SU(5)$\times$U(2)$\times$U(1) model mentioned in the literature.
Supersymmetry is broken by carefully choosing the q uark-antiquark-doublet
Yukawa couplings in this model. For N=1, this becomes the well-known model
discussed in the literature.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 06:02:35 GMT""},{""version"":""v2"",""created"":""Wed, 29 May 1996 22:41:39 GMT""},{""version"":""v3"",""created"":""Thu, 22 Aug 1996 21:34:25 GMT""},{""version"":""v4"",""created"":""Fri, 4 Oct 1996 22:20:42 GMT""}]","2009-10-30"
"hep-th/9605121","Wen-feng Chen","W.F. Chen, H.C. Lee and Z.Y. Zhu","Differential Regularization of Topologically Massive Yang-Mills Theory
  and Chern-Simons Theory","25 pages, 4 figures. Several typewritten errors and inappropriate
  arguments are corrected, especially the correct adresses of authors are given","Phys. Rev. D 55, 3664 (1997)","10.1103/PhysRevD.55.3664",,"hep-th",,"  We apply differential renormalization method to the study of
three-dimensional topologically massive Yang-Mills and Chern-Simons theories.
The method is especially suitable for such theories as it avoids the need for
dimensional continuation of three-dimensional antisymmetric tensor and the
Feynman rules for three-dimensional theories in coordinate space are relatively
simple. The calculus involved is still lengthy but not as difficult as other
existing methods of calculation. We compute one-loop propagators and vertices
and derive the one-loop local effective action for topologically massive
Yang-Mills theory. We then consider Chern-Simons field theory as the large mass
limit of topologically massive Yang-Mills theory and show that this leads to
the famous shift in the parameter $k$. Some useful formulas for the calculus of
differential renormalization of three-dimensional field theories are given in
an Appendix.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 10:13:15 GMT""},{""version"":""v2"",""created"":""Wed, 29 May 1996 13:54:28 GMT""},{""version"":""v3"",""created"":""Fri, 1 Nov 1996 11:14:58 GMT""}]","2016-08-24"
"hep-th/9605122",,"M. Consoli (INFN Catania) and P.M. Stevenson (Rice U.)","Response to Tarrach's ""Mode Dependent Field Renormalization and
  Trivialty""","5 pages. No figures. LaTeX",,,"DOE/ER/40717-28","hep-th hep-ph",,"  We respond to Tarrach's criticisms (hep-th/9511034) of our work on lambda
Phi^4 theory. Tarrach does not discuss the same renormalization procedure that
we do. He also relies on results from perturbation theory that are not valid.
There is no ""infrared divergence"" or unphysical behaviour associated with the
zero-momentum limit of our effective action.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 15:38:10 GMT""}]","2016-09-06"
"hep-th/9605123","Kojima Takeo","T. Kojima and Y.H. Quano","Quantum Knizhnik--Zamolodchikov equation for $U_q (\widehat{ sl_n})$ and
  integral formula","23 pages, LaTEX","J.Phys. A27 (1994) 6807-6826","10.1088/0305-4470/27/20/018","RIMS preprint 972","hep-th math.QA nlin.SI q-alg solv-int",,"  Presented is an integral formula for solutions to the quantum
Knizhnik--Zamolodchikov equation of level $0$ associated with the vector
representation of $U_q (\widehat{ sl_n})$. This formula gives a generalization
of both our previous work for $U_q (\widehat{ sl_2})$ and Smirnov's formula for
form factors of $SU(n)$ chiral Gross-Neveu model.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 15:04:47 GMT""}]","2009-10-30"
"hep-th/9605124",,"S. Penati, A. Santambrogio and D. Zanon","Renormalization Group Flows in Sigma--Models Coupled to Two--Dimensional
  Dynamical Gravity","Latex file, 18 pages plus 7 figures","Nucl.Phys. B483 (1997) 495-513","10.1016/S0550-3213(96)00510-X","IFUM-528-FT","hep-th",,"  We consider a bosonic $\s$--model coupled to two--dimensional gravity. In the
semiclassical limit, $c\rightarrow -\infty$, we compute the gravity dressing of
the $\b$--functions at two--loop order in the matter fields. We find that the
corrections due to the presence of dynamical gravity are {\em not} expressible
simply in terms of a multiplicative factor as previously obtained at the
one--loop level. Our result indicates that the critical points of the theory
are nontrivially influenced and modified by the induced gravity.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 15:15:55 GMT""}]","2009-10-30"
"hep-th/9605125","Kojima Takeo","T. Kojima","Ground state Correlation functions for an impenetrable Bose gas with
  Neumann or Dirichlet boundary conditions","LaTEX file, 27 pages, to appear in J. Stat. Phys. (1997)",,"10.1023/B:JOSS.0000015169.89162.d9",,"hep-th math.QA q-alg",,"  We study density correlation functions for an impenetrable Bose gas in a
finite box, with Neumann or Dirichlet boundary conditions in the ground state.
We derive the Fredholm minor determinant formulas for the correlation
functions. In the thermodynamic limit, we express the correlation functions in
terms of solutions of non-linear differential equations which were introduced
by Jimbo, Miwa, M\^ori and Sato as a generalization of the fifth Painlev\'e
equations.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 15:53:13 GMT""},{""version"":""v2"",""created"":""Tue, 25 Mar 1997 23:42:55 GMT""},{""version"":""v3"",""created"":""Wed, 26 Mar 1997 20:12:24 GMT""}]","2009-10-30"
"math/9605222",,"David Hoffman, Hermann Karcher, Fusheng Wei","The Singly Periodic Genus-One Helicoid",,,,"MSRI 1996-037","math.DG",,"  We prove the existence of a complete, embedded, singly periodic minimal
surface, whose quotient by vertical translations has genus one and two ends.
The existence of this surface was announced in our paper in {\it Bulletin of
the AMS}, 29(1):77--84, 1993. Its ends in the quotient are asymptotic to one
full turn of the helicoid, and, like the helicoid, it contains a vertical line.
Modulo vertical translations, it has two parallel horizontal lines crossing the
vertical axis. The nontrivial symmetries of the surface, modulo vertical
translations, consist of: $180^\circ$ rotation about the vertical line;
$180^\circ$ rotation about the horizontal lines (the same symmetry); and their
composition.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 00:00:00 GMT""}]","2016-09-06"
"nucl-th/9605024","Silvano Simula","Silvano Simula (INFN - Sezione Sanita')","Semi-inclusive Deep Inelastic Electron Scattering off the Deuteron and
  the Neutron to Proton Structure Function Ratio","revised version to appear in Phys. Lett. B (1996)","Phys.Lett. B387 (1996) 245-252","10.1016/0370-2693(96)01044-1","preprint INFN-ISS 96/2","nucl-th hep-ph",,"  The production of slow nucleons in semi-inclusive deep inelastic electron
scattering off the deuteron is investigated in the region $x \gsim 0.3$. It is
shown that within the spectator mechanism the semi-inclusive cross section
exhibits a scaling property even at moderate values of $Q^2$ ($\sim$ few
$(GeV/c)^2$) accessible at present facilities, like $CEBAF$. Such a scaling
property can be used as a model-independent test of the dominance of the
spectator mechanism itself and provides an interesting tool to investigate the
neutron structure function. The possibility of extracting model-independent
information on the neutron to proton structure function ratio from
semi-inclusive experiments is illustrated. The application of the spectator
scaling to semi-inclusive processes off complex nuclei is outlined.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 16:52:10 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jul 1996 07:32:41 GMT""}]","2009-10-30"
"patt-sol/9605004","Aric Hagberg","D. Haim (1), G. Li (1), Q. Ouyang (1), W.D. McCormick (1), Harry L.
  Swinney (1), A. Hagberg (2), and E. Meron (3) ((1) The University of Texas at
  Austin (2) Los Alamos National Laboratory (3) Ben-Gurion University)","Breathing Spots in a Reaction-Diffusion System","4 pages RevTeX, see also http://chaos.ph.utexas.edu/ and
  http://t7.lanl.gov/People/Aric/","Phys. Rev. Lett. 77, 190 (1996)","10.1103/PhysRevLett.77.190",,"patt-sol nlin.PS",,"  A quasi-2-dimensional stationary spot in a disk-shaped chemical reactor is
observed to bifurcate to an oscillating spot when a control parameter is
increased beyond a critical value. Further increase of the control parameter
leads to the collapse and disappearance of the spot. Analysis of a bistable
activator-inhibitor model indicates that the observed behavior is a consequence
of interaction of the front with the boundary near a parity breaking front
bifurcation.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 15:07:57 GMT""}]","2009-10-30"
"q-alg/9605025","Gustav W. Delius","Gustav W. Delius (KCL) and Mark D. Gould (Brisbane)","Quantum Lie algebras; their existence, uniqueness and $q$-antisymmetry","18 pages, amslatex. Files also available from
  http://www.mth.kcl.ac.uk/~delius/q-lie/qlie_biblio/qlieuniq.html","Commun. Math. Phys. 185, 709-722 (1997)","10.1007/s002200050107","KCL-TH-96-05 (Jan. 96)","q-alg math.QA",,"  Quantum Lie algebras are generalizations of Lie algebras which have the
quantum parameter h built into their structure. They have been defined
concretely as certain submodules of the quantized enveloping algebras. On them
the quantum Lie bracket is given by the quantum adjoint action.
  Here we define for any finite-dimensional simple complex Lie algebra g an
abstract quantum Lie algebra g_h independent of any concrete realization. Its
h-dependent structure constants are given in terms of inverse quantum
Clebsch-Gordan coefficients. We then show that all concrete quantum Lie
algebras are isomorphic to an abstract quantum Lie algebra g_h.
  In this way we prove two important properties of quantum Lie algebras: 1) all
quantum Lie algebras associated to the same g are isomorphic, 2) the quantum
Lie bracket of any quantum Lie algebra is $q$-antisymmetric. We also describe a
construction of quantum Lie algebras which establishes their existence.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 05:40:41 GMT""},{""version"":""v2"",""created"":""Thu, 10 Oct 1996 19:36:36 GMT""}]","2009-10-30"
"q-alg/9605026","Gustav W. Delius","Gustav W. Delius","Introduction to Quantum Lie Algebras","Contribution to the Proceedings of the Banach Minisemester on Quantum
  Groups, Warsaw, November 1995. 8 pages amslatex. Files also available at
  http://www.mth.kcl.ac.uk/~delius/q-lie/qlie_biblio/qlieintr.html",,,,"q-alg math.QA",,"  Quantum Lie algebras are generalizations of Lie algebras whose structure
constants are power series in $h$. They are derived from the quantized
enveloping algebras $\uqg$. The quantum Lie bracket satisfies a generalization
of antisymmetry. Representations of quantum Lie algebras are defined in terms
of a generalized commutator.
  In this paper the recent general results about quantum Lie algebras are
introduced with the help of the explicit example of $(sl_2)_h$.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 06:13:09 GMT""}]","2008-02-03"
"q-alg/9605027","Marco Tarlini","F.Bonechi, R.Giachetti, M.A.del Olmo, E.Sorace and M.Tarlini","A new class of deformed special functions from quantum homogeneous
  spaces","TeX, 14 pages",,,"Preprint of the Dipartimento di Fisica, Universita' di Firenze e
  I.N.F.N Sezione di Firenze (Italia), April 1996","q-alg math.QA",,"  We study the most elementary aspects of harmonic analysis on a homogeneous
space of a deformation of the two-dimensional Euclidean group, admitting
generalizations to dimensions three and four, whose quantum parameter has the
physical dimensions of a length. The homogeneous space is recognized as a new
quantum plane and the action of the Euclidean quantum group is used to
determine an eigenvalue problem for the Casimir operator, that constitutes the
analogue of the Schroedinger equation in the presence of such deformation. The
solutions are given in the plane wave and in the angular momentum bases and are
expressed in terms of hypergeometric series with non commuting parameters
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 12:52:06 GMT""}]","2008-02-03"
"quant-ph/9605025","Hoi Fung Chau","H. F. Chau and H.-K. Lo (IAS, Princeton)","How much does it cost to teleport?","5 pages, extended abstract submitted to PHYSCOMP96",,,"IASSNS-HEP-96/51","quant-ph",,"  We show that the entropy of entanglement of a state characterizes its ability
to teleport. In particular, in order to teleport faithfully an unknown quantum
$N$-state, the two users must share an entangled state with at least $\log_2 N$
bits entropy of entanglement. We also note that the maximum capacity for a
mixed state ${\cal M}$ to teleport equals the maximum amount of entanglement
entropy that can be distilled out from ${\cal M}$. Our result, therefore,
provides an alternative interpretation for entanglement purification.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 19:25:41 GMT""}]","2007-05-23"
"quant-ph/9605026","Hoi Fung Chau","Hoi-Kwong Lo and H. F. Chau","Why quantum bit commitment and ideal quantum coin tossing are impossible","Replaced to give appropriate reference to D. Mayers' works and to fix
  a crucial bug in the original proof of the impossibility of ideal quantum
  coin tossing. Other minor changes are also made to clarify the discussion",,,"IASSNS-HEP-96/50","quant-ph",,"  There had been well known claims of ``provably unbreakable'' quantum
protocols for bit commitment and coin tossing. However, we, and independently
Mayers, showed that all proposed quantum bit commitment (and therefore coin
tossing) schemes are, in principle, insecure because the sender, Alice, can
always cheat successfully by using an EPR-type of attack and delaying her
measurements. One might wonder if secure quantum bit commitment and coin
tossing protocols exist at all. Here we prove that an EPR-type of attack by
Alice will, in principle, break {\em any} realistic quantum bit commitment and
{\em ideal} coin tossing scheme. Therefore, provided that Alice has a quantum
computer and is capable of storing quantum signals for an arbitrary length of
time, all those schemes are insecure. Since bit commitment and coin tossing are
useful primitives for building up more sophisticated protocols such as
zero-knowledge proofs, our results cast very serious doubt on the security of
quantum cryptography in the so-called ``post-cold-war'' applications.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 19:28:22 GMT""},{""version"":""v2"",""created"":""Thu, 22 Aug 1996 07:00:32 GMT""}]","2008-02-03"
