"acc-phys/9605002","George Parzen","G. Parzen (Brookhaven National Laboratory)","Orbit Dynamics for Unstable Linear Motion","17 pages",,,"BNL-63074","acc-phys physics.acc-ph",,"  A treatment is given of the orbit dynamics for linear unstable motion that
allows for the zeros in the beta function and makes no assumptions about the
realness of the betatron and phase functions. The phase shift per turn is shown
to be related to the beta function and the number of zeros the beta function
goes through per turn. The solutions of the equations of motion are found in
terms of the beta function.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 13:52:35 GMT""}]","2008-02-03"
"hep-ph/9605433","G. Cvetic","G. Cvetic","Regularization at the next-to-leading order in the top-mode standard
  model without gauge bosons","LaTeX, 41 pages, 3 eps figures; revised version - extended discussion
  of conclusions, comparisons to other works, and extended list of references;
  the version to appear in Ann.Phys.(N.Y.)","Annals Phys.255:165-203,1997","10.1006/aphy.1996.5658","DO-TH 96/07","hep-ph",,"  We study Higgs condensation in the top-mode standard model at the
next-to-leading (NTL) order in 1/Nc, by calculating the effective potential as
a function of a hard mass term of the top quark. We include the effects of the
top and bottom quarks, all the scalars, and the leading QCD effects, but not
the effects of the transverse components of the electroweak gauge bosons. The
model contains finite UV energy cutoff parameters Lf, Lb for the fermionic and
the bosonic momenta. Condensation takes place at energies L \sim Lf \sim Lb. We
describe how to regularize the integrals over the fermionic momenta in a way
free of momentum branching ambiguities and treat the terms of 1/Nc expansion
mutually consistently. We use three different cutoff procedures. We also
discuss how to ensure the validity of Goldstone theorem. Demanding that the NTL
contributions not ``wash out'' the leading ones, we obtain for the cutoffs: L =
O(1 TeV), a result largely independent of the regularization procedure.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 10:31:05 GMT""},{""version"":""v2"",""created"":""Fri, 29 Nov 1996 12:02:42 GMT""}]","2011-01-13"
"hep-ph/9605434","Tommaso Calarco","V. Barone (Dipartimento di Fisica Teorica and INFN, Torino), T.
  Calarco and A. Drago (Dipartimento di Fisica and INFN, Ferrara)","A confinement model calculation of h_1(x)","11 pages, 5 PostScript figures in an uuencoded file h1figures.uu","Phys.Lett. B390 (1997) 287-292","10.1016/S0370-2693(96)01397-4","DFTT 24/96","hep-ph",,"  The transverse polarization distribution of quarks $h_1(x)$ is computed in a
confinement model, the chiral chromodielectric model. The flavor structure of
$h_1$, its $Q^2$ evolution and Soffer's inequality are studied. The Drell--Yan
double transverse asymmetry $A_{TT}$ is evaluated and found to be one order of
magnitude smaller than the double longitudinal asymmetry.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 07:56:17 GMT""}]","2009-10-28"
"hep-ph/9605435",,"A. Acus, E. Norvai\v{s}as and D.O. Riska","The Quantum Skyrmion in Representations of General Dimension","Plain latex, 15 pages","Nucl.Phys. A614 (1997) 361-372","10.1016/S0375-9474(96)00456-3",,"hep-ph",,"  The representations of general dimension are constructed for the $SU(2)$
Skyrme model, treated quantum mechanically {\it ab initio. } This quantum
Skyrme model has a negative mass term correction, that is not present in the
classical Hamiltonian. The magnitude of the quantum mechanical mass correction
increases with the dimension of the representation of the $SU(2)$ group. In the
case of a 5-dimensional representation it is possible to obtain satisfactory
predictions for the nucleon mass with the empirical value for the pion decay
constant.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 11:59:04 GMT""}]","2009-10-28"
"hep-ph/9605436","Dominique Toublan","G. Wanders (University of Lausanne)","Determination of the chiral pion-pion scattering parameters: a proposal","14 pages plain latex, 2 figures, uuencoded, tarred and compressed","Helv.Phys.Acta 70 (1997) 287-301",,,"hep-ph",,"  An explicitly crossing-symmetric decomposition of the pion-pion scattering
amplitudes into low- and high-energy components is established. The high-energy
components are entirely determined by absorptive parts at high energies. With
the exception of the two leading-order parameters, all the parameters appearing
in the one- and two-loop chiral amplitudes are determined by the high-energy
components of the exact amplitudes.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 11:14:58 GMT""}]","2007-05-23"
"hep-ph/9605438","Dr. Peter A. Henning","P.A.Henning","Quantum Fields and Dissipation","Paper in ReVTeX, 12 pages. Figures and complete paper available via
  anonymous ftp at ftp://tpri6c.gsi.de/pub/phenning/h96neq, contribution to the
  Umezawa memorial volume of Physics Essays","Phys.Essays 9:569-575,1996","10.4006/1.3029272","GSI-Preprint 96-23","hep-ph",,"  The description of thermal or non-equilibrium systems necessitates a quantum
field theory which differs from the usual approach in two aspects: 1.The
Hilbert space is doubled; 2.Stable quasi-particles do not exist in interacting
systems. A mini-review of these two aspects is given from a practical viewpoint
including two applications. For thermal states it is shown how infrared
divergences occuring in perturbative quasi-particle theories are avoided,
whereas for non-equilibrium states a memory effect is shown to arise in the
thermalization.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 11:46:16 GMT""}]","2015-06-25"
"hep-ph/9605439","Kazuhiro Tanaka","I.I.Balitsky (MIT), V.M.Braun (NORDITA), Y.Koike (Niigata Univ.) and
  K.Tanaka (Juntendo Univ.)","Q^2 Evolution of Chiral-Odd Twist-3 Distributions h_L(x, Q^2) and e(x,
  Q^2) in Large-N_c QCD","10 pages, 1 Postscript figure, revtex","Phys.Rev.Lett. 77 (1996) 3078-3081","10.1103/PhysRevLett.77.3078","NORDITA-96-32-P, JUPD-9612, MIT-CTP-2537","hep-ph",,"  We prove that the twist-3 chiral-odd parton distributions obey simple
Gribov-Lipatov-Altarelli-Parisi evolution equations in the limit $N_c\to\infty$
and give analytic results for the corresponding anomalous dimensions. To this
end we introduce an evolution equation for the corresponding three-particle
twist-3 parton correlation functions and find an exact analytic solution. For
large values of n (operator dimension) we are further able to collect all
corrections subleading in N_c, so our final results are valid to
$O(1/N_c^2\cdot \ln(n)/n)$ accuracy.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 12:45:35 GMT""},{""version"":""v2"",""created"":""Wed, 29 Jan 1997 10:51:21 GMT""}]","2009-10-28"
"hep-ph/9605440","D. R. T. Jones","P.M. Ferreira, I. Jack and D.R.T. Jones","The three-loop SSM $\beta$-functions","10 pages. Plain Tex. Uses Harvmac and epsf. Three figures. Final
  journal version, with more accurate boundary conditions, affecting two of the
  figures","Phys.Lett. B387 (1996) 80-86","10.1016/0370-2693(96)01005-2","LTH 372","hep-ph",,"  We present the supersymmetric standard model three-loop $\beta$-functions for
gauge and Yukawa couplings and consider the effect of three-loop corrections on
the standard running coupling analyses.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 14:11:50 GMT""},{""version"":""v2"",""created"":""Thu, 13 Jun 1996 16:25:00 GMT""},{""version"":""v3"",""created"":""Wed, 9 Oct 1996 14:35:04 GMT""}]","2009-10-28"
"hep-ph/9605441",,"Boris Blok and Igor Halperin","Regge asymptotics and color suppressed heavy meson decays","14 pages,Latex,no figures","Phys.Lett. B385 (1996) 324-332","10.1016/0370-2693(96)00883-0","technion-ph-96-14","hep-ph",,"  We discuss a possible generation of color suppressed B-decays amplitudes
through a soft final state interaction. As a typical example, we consider in
detail the decay $ \bar{B}^{0} \rightarrow D^{0} \pi^{0} $ (and also $
\bar{B}^{0} \rightarrow 2 \pi^{0} $). We show that in the approximation of the
two particle unitarity and at zero order in $ \alpha_{s} $ this process can be
related to the weak decay $ \bar{B}^{0} \rightarrow D^{+} \pi^{-} $ followed by
the strong charge exchange scattering in the Regge kinematics. We estimate the
amplitude of this process using the light cone QCD sum rule technique and find
that it is supppressed as a power of $ 1/m_{B} $ in comparison to the amplitude
generated by the effective non-leptonic Hamiltonian, but remains important for
the physical value of $m_{B}$.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 14:22:06 GMT""}]","2009-10-28"
"hep-ph/9605442","Ramon Mendez Galain","I. Bediaga, C. G\""obel (CBPF, Rio, Brasil) and R. M\'endez--Galain
  (University of Montevideo, Uruguay)","On the Dalitz Plot Approach in Non-leptonic Charm Meson Decays","Version accepted for publication in Physical Review Letters. 9 pages,
  Latex, including 2 figures","Phys.Rev.Lett. 78 (1997) 22-25","10.1103/PhysRevLett.78.22",,"hep-ph hep-ex",,"  We claim that the non-resonant contribution to non-leptonic charm meson
decays may not be constant in the phase space of the reaction. We argue that
this can be relevant for any weak reaction. We discuss in detail the decay $D^+
\to K^- \pi^+ \pi^+$.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 11:58:00 GMT""},{""version"":""v2"",""created"":""Tue, 10 Dec 1996 21:57:00 GMT""}]","2009-10-28"
"hep-ph/9605443",,"S. Bellucci and V. Faraoni","Effects of the gravivector and graviscalar fields in N=2,8 supergravity","9 pages, LaTeX","Phys.Lett. B377 (1996) 55-59","10.1016/0370-2693(96)00317-6","LNF-96/026 (P)","hep-ph",,"  The available tests of the equivalence principle constrain the mass of the
Higgs-like boson appearing in extended supergravity theories. We determine the
constraints imposed by high precision experiments on the antigravity fields
(gravivector and graviscalar) arising from $N=2,8$ supergravity.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 15:24:59 GMT""}]","2009-10-28"
"hep-th/9605208","Cangemi Daniel","Daniel Cangemi","Self-dual Yang--Mills Theory and One-Loop Maximally Helicity Violating
  Multi-Gluon Amplitudes","20 pages, LaTeX2e, elsart, no figures. Final version, to appear in
  Nucl. Phys. B. Section 3 has been expanded and remodelled. A note has been
  added to comment on subsequent works by Chalmers and Siegel and Korepin and
  Oota","Nucl.Phys. B484 (1997) 521-537","10.1016/S0550-3213(96)00586-X","UCLA/96/TEP/16","hep-th hep-ph",,"  A scalar cubic action that classically reproduces the self-dual Yang--Mills
equations is shown to generate one-loop QCD amplitudes for external gluon all
with the same helicity. This result is related to the symmetries of the
self-dual Yang--Mills equations.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 04:43:59 GMT""},{""version"":""v2"",""created"":""Mon, 14 Oct 1996 11:50:57 GMT""}]","2009-10-30"
"hep-th/9605210","Stephen Pinsky","Stephen S. Pinsky (Ohio State University)","Dirac's Legacy: Light-Cone Quantization","Talk presented at the International Conference on Orbis Scientiae
  1996 Miami Beach Florida- January 25-28, 1996",,,,"hep-th",,"  In recent years light-cone quantization of quantum field theory has emerged
as a promising method for solving problems in the strong coupling regime. This
approach has a number of unique features that make it particularly appealing,
most notably, the ground state of the free theory is also a ground state of the
full theory.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 01:42:27 GMT""}]","2007-05-23"
"hep-th/9605211","Giovanni Amelino","G. Amelino-Camelia, J. Ellis, N.E. Mavromatos, and D.V. Nanopoulos","Distance Measurement and Wave Dispersion in a Liouville-String Approach
  to Quantum Gravity","20 pages, LaTex","Int.J.Mod.Phys.A12:607-624,1997","10.1142/S0217751X97000566","ACT-07/96 CERN-TH/96-143 CTP-TAMU-21/96 OUTP-96-24-P","hep-th gr-qc",,"  Within a Liouville approach to non-critical string theory, we discuss
space-time foam effects on the propagation of low-energy particles. We find an
induced frequency-dependent dispersion in the propagation of a wave packet, and
observe that this would affect the outcome of measurements involving low-energy
particles as probes. In particular, the maximum possible order of magnitude of
the space-time foam effects would give rise to an error in the measurement of
distance comparable to that independently obtained in some recent heuristic
quantum-gravity analyses. We also briefly compare these error estimates with
the precision of astrophysical measurements.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 22:52:22 GMT""}]","2009-09-11"
"hep-th/9605212","Ctirad Klimcik","C. Klimcik, P. Severa","Non-Abelian Momentum-Winding Exchange","12 pages, LaTeX","Phys.Lett. B383 (1996) 281-286","10.1016/0370-2693(96)00755-1","CERN-TH/96-142","hep-th",,"  A non-Abelian analogue of the Abelian T-duality momentum-winding exchange is
described. The non-Abelian T-duality relates $\sigma$-models living on the
cosets of a Drinfeld double with respect to its isotropic subgroups. The role
of the Abelian momentum-winding lattice is in general played by the fundamental
group of the Drinfeld double.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 06:50:52 GMT""}]","2009-10-30"
"hep-th/9605213","Juan Carlos Perez Bueno","J. A. de Azcarraga and J. C. Perez Bueno","Higher-order simple Lie algebras","20 pages. Plain latex file. Minor changes. To appear in Commun. Math.
  Phys","Commun.Math.Phys. 184 (1997) 669-681","10.1007/s002200050079",,"hep-th dg-ga math.DG math.QA q-alg",,"  It is shown that the non-trivial cocycles on simple Lie algebras may be used
to introduce antisymmetric multibrackets which lead to higher-order Lie
algebras, the definition of which is given. Their generalised Jacobi identities
turn out to be satisfied by the antisymmetric tensors (or higher-order
`structure constants') which characterise the Lie algebra cocycles. This
analysis allows us to present a classification of the higher-order simple Lie
algebras as well as a constructive procedure for them. Our results are
synthesised by the introduction of a single, complete BRST operator associated
with each simple algebra.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 08:22:33 GMT""},{""version"":""v2"",""created"":""Fri, 25 Oct 1996 11:29:37 GMT""},{""version"":""v3"",""created"":""Wed, 9 Apr 1997 17:31:10 GMT""}]","2009-10-30"
"hep-th/9605214",,"E.T. Akhmedov (ITEP)","Fermionic String from Abelian Higgs Model with monopoles and
  $\Theta$-term","8 pages, LaTeX file, no figures. Submitted to JETP Lett","JETPLett.64:82-86,1996","10.1134/1.567147","ITEP-TH-16/96","hep-th",,"  The four dimensional Abelian Higgs model with monopoles and $\Theta$-term is
considered in the limit of the large mass of the higgs boson. We show that for
$\Theta=2 \pi$ the theory is equivalent, at large distances, to summation over
all possible world-sheets of fermionic strings with Dirichlet type boundary
conditions on string coordinates.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 13:12:03 GMT""}]","2008-11-26"
"hep-th/9605215",,"Francesco Fucito and Gabriele Travaglini","Instanton Calculus and Nonperturbative Relations in N=2 Supersymmetric
  Gauge Theories","18 pages, latex file, no figures","Phys.Rev. D55 (1997) 1099-1104","10.1103/PhysRevD.55.1099","ROM2F-96-32","hep-th",,"  Using instanton calculus we check, in the weak coupling region, the
nonperturbative relation $$ <\Tr\phi^2>=i\pi\left(\cf-{a\over 2}
{\partial\cf\over\partial a}\right)$$ obtained for a N=2 globally
supersymmetric gauge theory. Our computations are performed for instantons of
winding number k, up to k=2 and turn out to agree with previous nonperturbative
results.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 14:28:28 GMT""}]","2009-10-30"
"hep-th/9605216","Klaus Behrndt","K. Behrndt and E. Bergshoeff","A Note on Intersecting $D$-branes and Black Hole Entropy","10 pages, latex","Phys.Lett. B383 (1996) 383-389","10.1016/0370-2693(96)00774-5","UG-5/96, HUB-EP-96/15","hep-th",,"  In four dimensions there are 4 different types of extremal Maxwell/scalar
black holes characterized by a scalar coupling parameter $a$ with
$a=0,1/\sqrt{3} , 1 , \sqrt{3}$. These black holes can be described as
intersections of ten--dimensional non-singular Ramond-Ramond objects,
i.e.~$D$-branes, waves and Taub-NUT solitons. Using this description it can be
shown that the four--dimensional black holes decompactify near the core to
higher--dimensional {\em non-singular} solutions. In terms of these
higher--dimensional non-singular solutions we define a non-vanishing entropy
for all four black hole types from a four--dimensional point of view.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 14:09:53 GMT""}]","2009-10-30"
"nucl-th/9605039",,"Paul J. Ellis (Minnesota), James M. Lattimer and M. Prakash (Stony
  Brook)","Strangeness and Metastable Neutron Stars: What Might have Happened to
  SN1987A","17 pages, 4 Postscript figures, for Comments on Nucl. and Part. Phys","Comments Nucl.Part.Phys. 22 (1996) 63-76",,"NUC-MIN-96/7-T, SUNY-NTG-96-24","nucl-th astro-ph hep-ph",,"  Immediately after they are born, neutron stars are characterized by an
entropy per baryon of order unity and by the presence of trapped neutrinos. If
the only hadrons in the star are nucleons, these effects slightly reduce the
maximum mass relative to cold, catalyzed matter. However, if negatively charged
particles in the form of hyperons, a kaon condensate, or quarks are also
present, these effects result in an increase in the maximum mass of $\sim
0.2{\rm M}_{\odot}$ compared to that of a cold, neutrino-free star. This could
lead to the delayed formation of a black hole; such a scenario is consistent
with our present knowledge of SN1987A.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 18:38:56 GMT""}]","2007-05-23"
"nucl-th/9605040",,"T. L. Stewart, M. W. Kermode, D. J. Beachey, N. Rowley, I. S. Grant,
  A. T. Kruppa","On the $\alpha-$decay of deformed actinide nuclei","5 pages, latex (revtex style), 2 embedded postscript figures
  uuencoded gz-compressed .tar file To appear in Physical Review Letters","Phys.Rev.Lett.77:36-39,1996","10.1103/PhysRevLett.77.36","LTH 374","nucl-th",,"  $\alpha-$decay through a deformed potential barrier produces significant
mixing of angular momenta when mapped from the nuclear interior to the outside.
Using experimental branching ratios and either semi-classical or
coupled-channels transmission matrices, we have found that there is a set of
internal amplitudes which are essentially constant for all even--even actinide
nuclei. These same amplitudes also give good results for the known anisotropic
$\alpha-$particle emission of the favored decays of odd nuclei in the same mass
region.
  PACS numbers: 23.60.+e, 24.10.Eq, 27.90.+b
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 05:48:55 GMT""}]","2009-01-23"
"q-alg/9605043","Sergey Arhipov","Sergey Arkhipov (Independent University of Moscow)","A new construction of the semi-infinite BGG resolution","21 pages, AMSLATEX, nonstandard page size: width 17 cm, length 24 cm",,,,"q-alg math.QA",,"  We introduce the techniques of semiregular bimodules over a Lie algebra with
respect to a Lie subalgebra. Using this techniques in the case of affine Lie
algebras we introduce twisting functors on the categories of modules. These
functors are enumerated by elements of the affine Weyl group corresponding to
the chosen affine Lie algebra and map Verma modules to so called twisted Verma
modules. Applying twisting functors to the BGG resolution of an integrable
simple module we obtain a sequence of complexes called the twisted BGG
resolutions. We show that the twisted BGG resolutions form an inductive system
of complexes. It turns out that the limit complex of the inductive system is
exactly the semi-infinite BGG resolution introduced by B. Feigin and E. Frenkel
and consisting of direct sums of Wakimoto modules.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 16:57:32 GMT""},{""version"":""v2"",""created"":""Fri, 31 May 1996 08:36:45 GMT""},{""version"":""v3"",""created"":""Mon, 3 Jun 1996 08:31:50 GMT""}]","2008-02-03"
"q-alg/9605044","Nathalie M. Muller","T.H. Koornwinder and N.M. Muller","Quantum double of a (locally) compact group","LaTeX2e, 18 pages. Univ. of Amsterdam, Depts. of Math. and of
  Theor.Phys., to be published in the Journal of Lie Theory",,,"UvA-WINS-Wisk. 96-08, UvA-WINS-ITFA 96-19","q-alg hep-th math.QA",,"  We generalise the quantum double construction of Drinfel'd to the case of the
(Hopf) algebra of suitable functions on a compact or locally compact group. We
will concentrate on the *-algebra structure of the quantum double. If the
conjugacy classes in the group are countably separated, then we classify the
irreducible *-representations by using the connection with so-called
transformation group algebras. For finite groups, we will compare our
description to the result of Dijkgraaf, Pasquier and Roche. Finally we will
work out the explicit examples of SU(2) and SL(2,R).
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 17:25:07 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jun 1996 14:09:24 GMT""},{""version"":""v3"",""created"":""Wed, 2 Oct 1996 07:30:51 GMT""}]","2008-02-03"
"q-alg/9605045","Hitoshi Konno","Hitoshi Konno","Free Field Representation of Level-$k$ Yangian Double ${\cal
  D}Y(sl_2)_k$ and Deformation of Wakimoto Modules","16 pages, LaTeX file, figure is available by request, to appear in
  Lett.Math.Phys","Lett.Math.Phys. 40 (1997) 321-336",,"YITP-96-10","q-alg hep-th math.QA",,"  Free field representation of level-$k (\not=0,-2)$ Yangian double ${\cal
D}Y(sl_2)_k$ and a corresponding deformation of Wakimoto modules are presented.
We also realize two types of vertex operators intertwining these modules.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 08:43:23 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jun 1996 08:03:28 GMT""}]","2009-09-25"
"q-alg/9605046","Juergen Fuchs","J""urgen Fuchs, Urmie Ray, Christoph Schweigert","Some automorphisms of Generalized Kac-Moody algebras","plain TeX, uses mssymb; 19 pages","J.Algebra 191 (1997) 518-540",,"DESY 96-098, IHES/M/96/32","q-alg hep-th math.QA",,"  To any symmetry of the Cartan matrix of a Generalized Kac-Moody (GKM) algebra
we associate a family of automorphisms of the algebra which act in a natural
way on the modules of the GKM algebra. We introduce the twining character of a
module which is obtained by inserting the action of such an automorphism into
the trace that appears in the ordinary character. Twining characters of
integrable highest weight modules and Verma modules satisfy a character formula
which involves a certain subgroup of the Weyl group. This subgroup is shown to
be the Weyl group of another GKM algebra, called the orbit Lie algebra, and
hence the twining characters coincide with ordinary characters of the orbit Lie
algebra.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 14:16:27 GMT""}]","2008-02-03"
"quant-ph/9605042","Arvind","Arvind (IISc Bangalore), K. S. Mallesh (Univ. of Mysore) and N.
  Mukunda (IISc Bangalore)","A generalized Pancharatnam geometric phase formula for three level
  systems","12 pages, Revtex, one figure, epsf used for figure insertion","J.Phys.A30:2417-2431,1997","10.1088/0305-4470/30/7/021",,"quant-ph",,"  We describe a generalisation of the well known Pancharatnam geometric phase
formula for two level systems, to evolution of a three-level system along a
geodesic triangle in state space. This is achieved by using a recently
developed generalisation of the Poincare sphere method, to represent pure
states of a three-level quantum system in a convenient geometrical manner. The
construction depends on the properties of the group $SU(3)\/$ and its
generators in the defining representation, and uses geometrical objects and
operations in an eight dimensional real Euclidean space. Implications for an
n-level system are also discussed.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 19:12:19 GMT""}]","2008-11-26"
"quant-ph/9605043","Lov K. Grover","Lov K. Grover (Bell Labs, Murray Hill NJ)","A fast quantum mechanical algorithm for database search","8 pages, single postscript file. This is an updated version of a
  paper that was originally presented at STOC 1996. The algorithm is the same;
  however, the proof has been simplified by using a new interpretation termed
  ""inversion about average."" Also a few recently discovered insights have been
  added. Journal Ref.: Proceedings, 28th Annual ACM Symposium on the Theory of
  Computing (STOC), May 1996, pages 212-219",,,,"quant-ph",,"  Imagine a phone directory containing N names arranged in completely random
order. In order to find someone's phone number with a 50% probability, any
classical algorithm (whether deterministic or probabilistic) will need to look
at a minimum of N/2 names. Quantum mechanical systems can be in a superposition
of states and simultaneously examine multiple names. By properly adjusting the
phases of various operations, successful computations reinforce each other
while others interfere randomly. As a result, the desired phone number can be
obtained in only O(sqrt(N)) steps. The algorithm is within a small constant
factor of the fastest possible quantum mechanical algorithm.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 19:09:06 GMT""},{""version"":""v2"",""created"":""Thu, 30 May 1996 19:38:36 GMT""},{""version"":""v3"",""created"":""Tue, 19 Nov 1996 17:54:17 GMT""}]","2008-02-03"
