"alg-geom/9605007","Nobuyoshi Takahashi","Nobuyoshi Takahashi","Curves in the complement of a smooth plane cubic whose normalizations
  are $\Bbb A^1$","AMS-TeX, 25 pages",,,,"alg-geom math.AG",,"  For a smooth plane cubic $B$, we count curves $C$ of degree $d$ such that the
normalizations of $C\backslash B$ are isomorphic to $\Bbb A^1$, for $d\leq7$
(for $d=7$ under some assumption). We also count plane rational quartic curves
intersecting $B$ at only one point.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 19:43:21 GMT""}]","2008-02-03"
"hep-ph/9605296","Hisano","J. Hisano, T. Moroi, K. Tobe, M.Yamaguchi","Exact Event Rates of Lepton Flavor Violating Processes in Supersymmetric
  SU(5) Model","11pages, 8 figures. Fig.5 where the mu-e conversion rates in nuclei
  was shown was incorrect due to an error in our numerical computation.It is
  replaced in this corrected version. All conclusions remain unchanged","Phys.Lett. B391 (1997) 341-350; Erratum-ibid. B397 (1997) 357","10.1016/S0370-2693(97)00244-X","LBL-38653, UT-751, TU-502, TUM-HEP-246/96, SFB-375/99","hep-ph",,"  Event rates of various lepton flavor violating processes in the minimal
supersymmetric SU(5) model are calculated, using exact formulas which include
Yukawa vertices of lepton-slepton-Higgsino. We find subtlety in evaluating
event rates due to partial cancellation between diagrams. This cancellation
typically reduces the event rates significantly, and the size of the reduction
strongly depends on superparticle mass spectrum.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 05:34:47 GMT""},{""version"":""v2"",""created"":""Wed, 26 Feb 1997 18:33:14 GMT""}]","2009-10-28"
"hep-ph/9605297","Marco Stratmann","M. Gluck, E. Reya, M. Stratmann (Univ. Dortmund)","Probing the Parton Densities of Virtual Photons at ep Colliders","23 pages, LaTeX, 6 figures, uses amssymb and epsfig styles","Phys.Rev.D54:5515-5522,1996","10.1103/PhysRevD.54.5515","DO-TH 96/08","hep-ph",,"  The feasibility of an experimental determination of the parton distributions
of virtual photons at high energy $ep$ colliders is studied in the context of
the DESY-HERA collider. Recently proposed parton densities of virtual photons
are utilized to evaluate the appropriate production processes and their
relevant kinematical regions. It is demonstrated that high $E_T$ jet production
with $E_T\,\simeq 5-7\, {\rm{GeV}}$ and $b\bar{b}$ production can probe the
parton distributions of virtual photons up to virtualities of a few
${\rm{GeV}}^2$. A useful leading order parametrization of our proposed photonic
parton densities, suitable for further studies of these issues, is presented.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 05:49:09 GMT""}]","2011-01-25"
"hep-ph/9605298","Robert Peschanski","A.Bialas and R.Peschanski","Hard Diffraction From Quasi-Elastic Dipole Scattering","latex + now: 4 encapsulated poscript figures","Phys.Lett.B387:405-410,1996","10.1016/0370-2693(96)01018-0","TPJU-8/96 (Krakow), T 96/036 (Saclay), LPTHE 96/27 (Orsay)","hep-ph",,"  The contribution to diffraction dissociation of virtual photons due to
quasi-elastic scattering of the $q$-$\bar q$ component is calculated in the
framework of the QCD dipole picture. Both longitudinal and transverse
components of the cross-section are given. It is shown that, at fixed mass of
the diffractively produced system, quantum mechanical interference plays an
important r\^ ole. Phenomenological consequences are discussed.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 07:50:40 GMT""},{""version"":""v2"",""created"":""Thu, 23 May 1996 12:59:53 GMT""}]","2008-11-26"
"hep-ph/9605299",,"S. Hardt, J. Geiss, H. Lenske and U. Mosel","RPA-Approach to the Excitations of the Nucleon, Part I: Theory","Minor changes","Nucl.Phys. A627 (1997) 391-426","10.1016/S0375-9474(97)00029-8",,"hep-ph nucl-th",,"  In this paper we develop a theoretical framework which allows us to study
excitations of the nucleon. Assuming an effective two-body interaction as a
model for low-energy QCD, we derive a relativistic TDHF equation for a
many-body system of quarks. To render the Dirac-sea contribution tothe mean
field finite, we introduce a symmetry conserving regularization scheme. In the
small amplitude limit we derive an RPA equation. The structure of the $ph$
interaction and modifications due to the regularization scheme are discussed.
We give a prescription to obtain a nucleon state with good angular momentum (J)
and isospin (T) quantum numbers on mean-field level. To study excitations, we
develop a tensor-RPA approach, which is an extension of the conventional RPA
techniques to systems with a nonscalar ground state. This allows us to
construct excited states with good (J/T) quantum numbers. We discuss a method
to reduce the overcomplete $ph$-space and compute the tensor-RPA interaction
matrix elements. Finally we extend our scheme to include ({3/2}^+,
{3/2})-states.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 14:29:02 GMT""},{""version"":""v2"",""created"":""Mon, 9 Sep 1996 15:54:15 GMT""},{""version"":""v3"",""created"":""Thu, 21 Nov 1996 14:16:21 GMT""}]","2016-09-01"
"hep-ph/9605300","Bodenmueller","Harald Fritzsch","The Problem of Mass and Mass Generation","13 latex pages",,,"MPI-PhT/96-32","hep-ph",,"  The mass problem in particle physics for other fields is discussed. While the
problem of the nuclear masses has been resolved within the QCD framework, 3
parameters of the ``Standard Model'' are related to the fermion sector. The
origin of the ferion masses remains unresolved. We discuss attempts to explain
the observed hierarchical features of the mass spectrum by a symmetry. relating
the mass eigenvalues to the flavor mixing angles.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 09:49:41 GMT""}]","2007-05-23"
"hep-ph/9605301",,"H. Nunokawa, Y.-Z. Qian, A. Rossi and J. W. F. Valle","Resonant Conversion of Massless Neutrinos in Supernovae","latex file, 20 pages, including 3 postscript figures","Phys.Rev.D54:4356-4363,1996","10.1103/PhysRevD.54.4356","FTUV/96-25; IFIC/96-29","hep-ph astro-ph",,"  It has been noted for a long time that, in some circumstances, {\sl massless}
neutrinos may be {\sl mixed} in the leptonic charged current. Conventional
neutrino oscillation searches in vacuum are insensitive to this mixing. We
discuss the effects of resonant massless-neutrino conversions in the dense
medium of a supernova. In particular, we show how the detected $\bar\nu_e$
energy spectra from SN1987a and the supernova $r$-process nucleosynthesis may
be used to provide very stringent constraints on the mixing of {\sl massless}
neutrinos.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 10:01:17 GMT""}]","2009-09-17"
"hep-ph/9605302","Gavin Salam","A.H. Mueller and G.P. Salam","Large multiplicity fluctuations and saturation effects in onium
  collisions","30 pages LaTeX2e, 11 figures included using epsfig. Compressed
  postscript of whole paper also available at
  http://www.hep.phy.cam.ac.uk/theory/papers/","Nucl.Phys.B475:293-320,1996","10.1016/0550-3213(96)00336-7","CU-TP-746, Cavendish-HEP-96/04","hep-ph",,"  This paper studies two related questions in high energy onium-onium
scattering: the probability of producing an unusually large number of particles
in a collision, where it is found that the cross section for producing a
central multiplicity proportional to $k$ should decrease exponentially in
$\sqrt{k}$. Secondly, the nature of gluon (dipole) evolution when dipole
densities become so high that saturation effects due to dipole-dipole
interactions become important: measures of saturation are developed to help
understand when saturation becomes important, and further information is
obtained by exploiting changes of frame, which interchange unitarity and
saturation corrections.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 13:12:16 GMT""}]","2010-04-06"
"hep-ph/9605303","C. G. Papadopoulos","Costas G. Papadopoulos (NRCPS `Democritos' and CERN)","Studying trilinear gauge couplings at LEP2 using optimal observables","14 pages, latex, minor typos corrected","Phys.Lett. B386 (1996) 442-450","10.1016/0370-2693(96)00953-7","DEMO-HEP-96/01","hep-ph hep-ex",,"  We study the sensitivity of the processes `e+ e- -> lepton (l) neutrino (v)
quark (u) antiquark (d)' at LEP2 energies on the non-standard trilinear gauge
couplings (TGC), using the optimal observables method. All relevant leading
logarithmic corrections to the tree-order cross section, as well as
experimental resolution effects have been studied. Taking into account
correlations among the different TGC parameters we show that the limits on the
TGC can reach the level of 0.15~(1sd) at 161 GeV with 100 pb$^{-1}$, a
challenge for the first LEP2 phase. At higher energies this can be improved
drastically, reaching the level of 0.02~(1sd).
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 15:17:57 GMT""},{""version"":""v2"",""created"":""Mon, 20 May 1996 13:05:08 GMT""}]","2009-10-28"
"hep-ph/9605304","Gian Paolo Vacca","Mikhail Braun, Gian Paolo Vacca, Giovanni Venturi","Properties of the hard pomeron with a running coupling constant and the
  high-energy scattering","13 pages (LATEX), 7 figures","Phys.Lett. B388 (1996) 823-831","10.1016/S0370-2693(96)01214-2","US-FT/23-96","hep-ph",,"  The equation for the hard pomeron with a running coupling introduced on the
basis of the bootstrap requirement is solved numerically. Two supercritical
pomerons are found with the intercept minus 1 of the leading one of the order
0.35-0.5 and that of the subleading one half as large. The contribution of
multipomeron exchanges is found to be essential only at extremely high energies
of the order of 100 TeV. Comparison of the cross-sections and structure
functions to the present experimental data seems to indicate that the
asymptotical regime has not yet been achieved.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 14:02:48 GMT""}]","2009-10-28"
"hep-ph/9605305","Carlo Giunti","S.M. Bilenky, W.M. Alberico, C. Giunti, C. Maieron","The problem of the spin of the proton and elastic neutrino-proton
  scattering","LaTeX2e file, 4 pages, no figures",,,"UWThPh-1996-33","hep-ph",,"  Talk presented by S.M. Bilenky at the Adriatico Research Conference on
""Trends in Collider Spin Physics"", ICTP, Trieste, December 1995.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 15:22:07 GMT""}]","2007-05-23"
"hep-ph/9605307","Ruth Haeckl","R. Haeckl, V. Hund, H. Pilkuhn","Binary Boosts","revtex, 10 pages, no figures The complete paper, including figures,
  is also available via anonymous ftp at ftp://www-ttp.physik.uni-karlsruhe.de/
  or via www at http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/",,,"TTP96-12","hep-ph atom-ph",,"  The relativistic motion of an isolated two--body system (bound or unbound) of
given lab energy $K^{0}$ in QED is separated into cms motion and relative
motion. The relative motion equation ${\cal K}_{L} \psi_{L} ({\bf r}_{L} ) =0$
contains the momentum eigenvalue ${\bf K}$ of the cms motion. It is greatly
simplified by a binary boost to the atomic rest frame, where $K^{0}$ and ${\bf
K}$ appear only in a Lorentz--invariant combination. This boost is not a
product of single--particle boosts, which are useful only for perturbative
interactions. CPT--invariance is demonstrated, and orthogonality relations are
derived.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 13:27:09 GMT""}]","2007-05-23"
"hep-ph/9605308","Afsar Abbas","Lina Paria and Afsar Abbas","Diquark Structure in Heavy Quark Baryons in a Geometric Model","14 pages in Latex file, two figures are available on request from
  first author","Pramana 46 (1996) 417-424","10.1007/BF02852268","IP/BBSR/94-73","hep-ph",,"  Using a geometric model for the study of the structure of hadrons, we study
baryons having one, two and three heavy quarks. The study reveals diquark
structure in baryons with one and two heavy quarks but not with three heavy
identical quarks.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 12:37:17 GMT""}]","2009-10-28"
"hep-th/9605087",,"E. Bergshoeff, E. Sezgin and E. Sokatchev","Couplings of self-dual tensor multiplet in six dimensions","17 pages, latex, no figures","Class.Quant.Grav. 13 (1996) 2875-2886","10.1088/0264-9381/13/11/004","UG-2/96, CTP TAMU-8/96, ENSLAPP-A-572/96","hep-th",,"  The (1,0) supersymmetry in six dimensions admits a tensor multiplet which
contains a second-rank antisymmetric tensor field with a self-dual field
strength and a dilaton. We describe the fully supersymmetric coupling of this
multiplet to Yang-Mills multiplet, in the absence of supergravity. The
self-duality equation for the tensor field involves a Chern-Simons modified
field strength, the gauge fermions, and an arbitrary dimensionful parameter.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 16:35:55 GMT""}]","2009-10-30"
"hep-th/9605089","Mikhail Volkov","M.S. Volkov, N. Straumann, G. Lavrelashvili, M. Heusler and O.
  Brodbeck","Cosmological Analogues of the Bartnik--McKinnon Solutions","16 pages, LaTeX, 9 Postscript figures, uses epsf.sty","Phys.Rev.D54:7243-7251,1996","10.1103/PhysRevD.54.7243","ZU-TH-13/96","hep-th gr-qc hep-ph",,"  We present a numerical classification of the spherically symmetric, static
solutions to the Einstein--Yang--Mills equations with cosmological constant
$\Lambda$. We find three qualitatively different classes of configurations,
where the solutions in each class are characterized by the value of $\Lambda$
and the number of nodes, $n$, of the Yang--Mills amplitude. For sufficiently
small, positive values of the cosmological constant, $\Lambda < \Llow(n)$, the
solutions generalize the Bartnik--McKinnon solitons, which are now surrounded
by a cosmological horizon and approach the deSitter geometry in the asymptotic
region. For a discrete set of values $\Lambda_{\rm reg}(n) > \Lambda_{\rm
crit}(n)$, the solutions are topologically $3$--spheres, the ground state
$(n=1)$ being the Einstein Universe. In the intermediate region, that is for
$\Llow(n) < \Lambda < \Lhig(n)$, there exists a discrete family of global
solutions with horizon and ``finite size''.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 16:20:38 GMT""}]","2016-09-06"
"hep-th/9605090",,"G. Bonelli and M. Matone","Nonperturbative Relations in N=2 SUSY Yang-Mills and WDVV equation","12 pages, LaTex. Expanded version. New results, corrections,
  references and acknowledgements added","Phys.Rev.Lett. 77 (1996) 4712-4715","10.1103/PhysRevLett.77.4712",,"hep-th alg-geom math.AG math.QA q-alg",,"  We find the nonperturbative relation between $\langle {\rm tr} \phi^2
\rangle$, $\langle {\rm tr} \phi^3\rangle$ the prepotential ${\cal F}$ and the
vevs $\langle \phi_i\rangle$ in $N=2$ supersymmetric Yang-Mills theories with
gauge group $SU(3)$. Nonlinear differential equations for ${\cal F}$ including
the Witten -- Dijkgraaf -- Verlinde -- Verlinde equation are obtained. This
indicates that $N=2$ SYM theories are essentially topological field theories
and that should be seen as low-energy limit of some topological string theory.
Furthermore, we construct relevant modular invariant quantities, derive
canonical relations between the periods and investigate the structure of the
beta function by giving its explicit form in the moduli coordinates. In doing
this we discuss the uniformization problem for the quantum moduli space. The
method we propose can be generalized to $N=2$ supersymmetric Yang-Mills
theories with higher rank gauge groups.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 17:37:56 GMT""},{""version"":""v2"",""created"":""Tue, 14 May 1996 08:13:02 GMT""},{""version"":""v3"",""created"":""Wed, 15 May 1996 06:39:12 GMT""},{""version"":""v4"",""created"":""Tue, 21 May 1996 17:30:37 GMT""},{""version"":""v5"",""created"":""Thu, 1 Aug 1996 17:41:22 GMT""}]","2016-09-06"
"hep-th/9605091",,"A.A. Tseytlin","Extremal black hole entropy from conformal string sigma model","21 pages, harvmac (misprints corrected)","Nucl.Phys.B477:431-448,1996","10.1016/0550-3213(96)00383-5","Imperial/TP/95-96/48","hep-th",,"  We present string-theory derivation of the semiclassical entropy of extremal
dyonic black holes in the approach based on conformal sigma model (NS-NS
embedding of the classical solution). We demonstrate (resolving some puzzles
existed in previous related discussions) that the degeneracy responsible for
the entropy is due to string oscillations in four transverse dimensions
`intrinsic' to black hole: four non-compact directions of the D=5 black hole
and three non-compact and one compact (responsible for embedding of magnetic
charges) dimensions in the D=4 black hole case. Oscillations in other compact
internal dimensions give subleading contributions to statistical entropy in the
limit when all charges are large. The dominant term in the statistical entropy
is thus universal (i.e. is the same in type II and heterotic string theory) and
agrees with Bekenstein-Hawking expression.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 03:20:29 GMT""},{""version"":""v2"",""created"":""Sun, 21 Jul 1996 00:18:28 GMT""}]","2009-09-17"
"hep-th/9605092","Vadim Vereschagin","V.L.Vereschagin","Nonlinear Quasiclassics and Painlev\'e Equations","5 pp., Latex",,,,"hep-th",,"  Problem of asymptotic description for global solutions to the six Painleve
equations was investigated. Elliptic anzatzes and appropriate modulation
equations were written out.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 03:38:46 GMT""},{""version"":""v2"",""created"":""Mon, 20 May 1996 00:09:36 GMT""}]","2008-02-03"
"hep-th/9605093","Andrew Chubykalo","A. E. Chubykalo, M. W. Evans and R. Smirnov-Rueda","The phase free, longitudinal, magnetic component of vacuum
  electromagnetism","ReVTeX file, 7pp., no figures","Found.Phys.Lett. 10 (1997) 93","10.1007/BF02764124","EFUAZ-FT-96-23","hep-th",,"  A charge $q$ moving in a reference laboratory system with constant velocity
{\bf V} in the $X$-axis produces in the $Z$-axis a longitudinal, phase free,
vacuum magnetic field which is identified as the radiated ${\bf B}^{(3)}$ field
of Evans, Vigier and others.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 08:37:53 GMT""}]","2009-10-30"
"hep-th/9605094","Abdelmalek Abdesselam","A. Abdesselam, V. Rivasseau","An Explicit Large Versus Small Field Multiscale Cluster Expansion","65 pages, LaTeX","Rev.Math.Phys.9:123-199,1997","10.1142/S0129055X97000063","S452.0596","hep-th",,"  We introduce a new type of cluster expansion which generalizes a previous
formula of Brydges and Kennedy. The method is especially suited for performing
a phase-space multiscale expansion in a just renormalizable theory, and allows
the writing of explicit non-perturbative formulas for the Schwinger functions.
The procedure is quite model independent, but for simplicity we chose the
infrared $\ph^4_4$ model as a testing ground. We used also a large field versus
small field expansion. The polymer amplitudes, corresponding to graphs without
almost local two and for point functions, are shown to satisfy the polymer
bound.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 10:04:01 GMT""}]","2009-07-09"
"hep-th/9605095",,"Matthias Blau, Ian Jermyn, George Thompson","Solving Topological Field Theories on Mapping Tori","16 pages, LaTeX file","Phys.Lett. B383 (1996) 169-178","10.1016/0370-2693(96)00728-9","IC/96/74, ENSLAPP-L-590/96","hep-th",,"  Using gauge theory and functional integral methods, we derive concrete
expressions for the partition functions of BF theory and the U(1|1) model of
Rozansky and Saleur on $\Sigma x S^{1}$, both directly and using equivalent
two-dimensional theories. We also derive the partition function of a certain
non-abelian generalization of the U(1|1) model on mapping tori and hence obtain
explicit expressions for the Ray-Singer torsion on these manifolds. Extensions
of these results to BF and Chern-Simons theories on mapping tori are also
discussed. The topological field theory actions of the equivalent
two-dimensional theories we find have the interesting property of depending
explicitly on the diffeomorphism defining the mapping torus while the quantum
field theory is sensitive only to its isomorphism class defining the mapping
torus as a smooth manifold.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 13:42:26 GMT""}]","2009-10-30"
"hep-th/9605096",,"Alexei Yung (Physics Department, University College of Swansea)","Instanton-induced Effective Lagrangian in the Seiberg-Witten Model","31 pages, LATEX file, a reference added, discussion in the
  Conclusions slightly corrected","Nucl.Phys. B485 (1997) 38-62","10.1016/S0550-3213(96)00635-9","SWAT/96/111","hep-th",,"  The N=2 supersymmetric gauge theory with gauge group SU(2) is considered. The
instanton field is calculated explicitly using the superfield formalism. The
instanton-induced effects are encoded in the effective vertex in the
Lagrangian. This vertex produces the large distance expansion of the low energy
effective Lagrangian in derivatives of fields. The leading term in this
expansion coincides with the one-instanton-induced term of the Seiberg-Witten
exact solution of the model. All orders of corrections in derivatives of fields
are also calculated.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 14:02:22 GMT""},{""version"":""v2"",""created"":""Wed, 22 May 1996 15:57:48 GMT""}]","2009-10-30"
"hep-th/9605097","R. G. M. Neves","Paul Mansfield and Rui Neves","Boundary conformal field theories on random surfaces and the
  non-critical open string","32 pages, latex, no figures. Text reorganised. A note, a new
  subsection, 2 apendices and 3 references added. Version to be published in
  Nuclear Physics B","Nucl.Phys. B479 (1996) 82-112","10.1016/0550-3213(96)00446-4","DTP 96-19","hep-th",,"  We analyse boundary conformal field theories on random surfaces using the
conformal gauge approach of David, Distler and Kawai. The crucial point is the
choice of boundary conditions on the Liouville field. We discuss the Weyl
anomaly cancellation for Polyakov`s non-critical open bosonic string with
Neumann, Dirichlet and free boundary conditions. Dirichlet boundary conditions
on the Liouville field imply that the metric is discontinuous as the boundary
is approached. We consider the semi-classical limit and argue how it singles
out the free boundary conditions on the Liouville field. We define the open
string susceptibility, the anomalous gravitational scaling dimensions and a new
Yang-Mills Feynman mass critical exponent.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 14:22:28 GMT""},{""version"":""v2"",""created"":""Thu, 29 Aug 1996 19:12:46 GMT""}]","2009-10-30"
"hep-th/9605098","Vladimir Kazakov","V.A.Kazakov","$R^2$ 2D Quantum Gravity and Dually Weighted Graphs","13 pages, LATEX, uses sprocl.sty; Talk based on a recent paper of
  M.Staudacher, T.Wynter and myself and presented on the Conference ``Frontiers
  in Quantum Field theory'', December 1995, Osaka, Japan",,,,"hep-th",,"  A recently introduced model of dually weighted planar graphs is solved in
terms of an elliptic parametrization for some particular collection of planar
graphs describing the 2D $R^2$ quantum gravity. Along with the cosmological
constant $\lambda$ one has a coupling $\beta$ in the model corresponding to the
$R^2$-coupling constant. It is shown that for any value of $\beta$ the large
scale behavior of the model corresponds to that of the standard pure 2D quantum
gravity. On small distances it describes the dynamics of point-like curvature
defects introduced into the flat 2D space. The scaling function in the vicinity
of almost flat metric is obtained. The major steps of the exact solution are
given.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 15:12:33 GMT""}]","2007-05-23"
"hep-th/9605099","Lysiansky Michael","L. Caneschi and M. Lysiansky","Chiral Quantization of the WZW $SU(n)$ Model","35 pages, latex, no figures, corrections in the chiral decomposition
  of the vertex operators in the WZW model are introduced","Nucl.Phys. B505 (1997) 701-726","10.1016/S0550-3213(97)00587-7",,"hep-th",,"  We quantize the $SU(n)$ Wess-Zumino-Witten model in terms of left and right
chiral variables choosing an appropriate gauge and we compare our results with
the results that have been previously obtained in the algebraic treatment of
the problem. The algebra of the chiral vertex operators in the fundamental
representation is verified by solving appropriate Knizhnik-Zamolodchikov
equations.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 15:41:59 GMT""},{""version"":""v2"",""created"":""Wed, 15 Jan 1997 13:33:00 GMT""}]","2009-10-30"
"math/9605211","Lajos Soukup","I. Juh\'asz, Lajos Soukup, Z. Szentmikl\'ossy","Combinatorial principles from adding Cohen reals",,,,"Logic E-prints May 14, 1996","math.LO math.GN",,"  In this paper we first formulate several ``combinatorial principles''
concerning kappa \times omega matrices of subsets of omega and prove that they
are valid in the generic extension obtained by adding any number of Cohen reals
to any ground model V, provided that the parameter kappa is an
omega-inaccessible regular cardinal in V.
  Then we present a large number of applications of these principles, mainly to
topology. Some of these consequences had been established earlier in generic
extensions obtained by adding omega_2 Cohen reals to ground models satisfying
CH, mostly for the case kappa=omega_2.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 00:00:00 GMT""}]","2010-03-17"
"nucl-th/9605017","Michael Beyer","Michael Beyer (Max Planck ""Many Particle Theory"" Rostock, Germany)","Effective T-odd P-even hadronic interactions from quark models","6 pages, 1 figure, RevTex","Phys.Rev.C54:981-985,1996","10.1103/PhysRevC.54.981","MPG-VT-UR 84/96","nucl-th",,"  Tests of time reversal symmetry at low and medium energies may be analyzed in
the framework of effective hadronic interactions. Here, we consider the quark
structure of hadrons to make a connection to the more fundamental degrees of
freedom. It turns out that for P-even T-odd interactions hadronic matrix
elements evaluated in terms of quark models give rise to factors of 2 to 5.
Also, it is possible to relate the strength of the anomalous part of the
effective rho-type T-odd P-even tensor coupling to quark structure effects.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 17:14:27 GMT""}]","2008-11-26"
"nucl-th/9605018","Abdulla Rakhimov","A. Rahimov, T. Okazaki, M.M. Musakhanov, F.C. Khanna","The deformation of the interacting nucleon in the Skyrme model","11 pages, uudecode, gzip, tar, latex, 3 eps figures, accepted for the
  publication by Phys.Lett.B","Phys.Lett. B378 (1996) 12-16","10.1016/0370-2693(96)00365-6",,"nucl-th",,"  Changes in the nucleon shape are investigated by letting the nucleon deform
under the strong interactions with another nucleon. The parameters of the axial
deformations are obtained by minimizing the static energy of the two nucleon
system at each internucleon distance $ R $. It is shown that the intrinsic
quadrupole moment of the interacting proton, $Q_{p}$, is about $0.02 fm^2$ at
distances near $R \sim 1.25 $ fm.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 19:02:51 GMT""}]","2009-10-30"
"q-alg/9605018",,"C. Tzanakis and A. Dimakis","On the uniqueness of the Moyal structure of phase-space functions","13 pages, Latex",,"10.1088/0305-4470/30/13/033",,"q-alg math.QA",,"  It is shown that the only associative algebras with a trivial center defined
on functions of $\Rl^N$ by an integral kernel are generalized Moyal algebras,
corresponding to some particular operator ordering. Similarly, the only such
Lie algebras are generalized Moyal or Poisson Lie algebras. In both cases these
structures are isomorphic respectively to the Moyal algebra, the Moyal Lie
algebra and the Poisson Lie algebra. These results are independent of $N$,
which is necessarily even, and generalize previous work on the subject.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 20:37:44 GMT""}]","2009-10-30"
"q-alg/9605019","Urs Burri","Urs Burri","Vassiliev Invariants and Gleam Polynomials","4 pages, LaTex file",,,,"q-alg math.QA",,"  It was shown by Goussarov that Vassiliev invariants are polynomials in the
gleams for a fixed Turaev shadow. In this paper we show that Vassiliev
invariants are almost characterized by this fact. We also prove that the space
of knot invariants which are polynomials in the gleams is bigger than the
Vassiliev subspace.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 09:29:09 GMT""}]","2008-02-03"
"quant-ph/9605012","Hiromichi Nakazato","Hiromichi Nakazato, Mikio Namiki (Dept. of Phys, Waseda Univ., Japan),
  Saverio Pascazio (Dipt. di Fisica, Univ. di Bari and INFN, Bari, Italy) and
  Yoshiya Yamanaka (Dept. of Phys, Waseda Univ., Japan)","Quantum dephasing by chaos","13 pages, LaTeX, including 1 epsfigure, tar+gzip+uuencoded",,"10.1016/0375-9601(96)00647-0","WU-HEP-96-7, BA-TH/96-231","quant-ph chao-dyn nlin.CD",,"  We examine whether the chaotic behavior of classical systems with a limited
number of degrees of freedom can produce quantum dephasing, against the
conventional idea that dephasing takes place only in large systems with a huge
number of constituents and complicated internal interactions. On the basis of
this analysis, we briefly discuss the possibility of defining quantum chaos and
of inventing a ``chaos detector"".
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 12:51:36 GMT""}]","2009-10-30"
