"alg-geom/9602001","Spencer J. Bloch","Spencer Bloch, H\'el\`ene Esnault","Algebraic Chern Simons Theory","LaTeX",,,,"alg-geom math.AG",,"  An analog of Chern-Simons theory is developed in an algebro-geometric
setting.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 15:59:03 GMT""},{""version"":""v2"",""created"":""Tue, 6 Feb 1996 18:29:37 GMT""}]","2008-02-03"
"hep-ph/9602206","Nir Polonsky","Nir Polonsky","On Supersymmetric b-tau Unification, Gauge Unification, and Fixed Points","17 pages + 7 postscript figures (packaged as a .uu file), LaTex +
  RevTex 3","Phys.Rev. D54 (1996) 4537-4547","10.1103/PhysRevD.54.4537","LMU-TPW-96-04","hep-ph",,"  The equality assumption of the b and tau Yukawa couplings at the
grand-unification scale can strongly constrain the allowed parameter space of
supersymmetric models. We examine the constraints in the case that there is a
discrepancy > 10% in the gauge coupling unification assumption (which
necessarily implies large perturbations at the grand scale). The constraints
are shown to diminish in that case [most significantly so if alpha_{s}(M_{Z})
\approx 0.11]. In particular, the requirement that the t Yukawa coupling,
h_{t}, is near its quasi-fixed point may not be necessary. We discuss the
colored-triplet threshold as a simple example of a source for the
discrepancies, and comment on its possible implications. In addition, we point
out that supersymmetric (as well as unification-scale) threshold corrections to
h_{t} shift the fixed-point curve in the m_{t} - \tan\beta plane. The
implications for the prediction of the Higgs boson mass are briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 19:32:49 GMT""}]","2009-10-28"
"hep-ph/9602207","Michelangelo Mangano","G.F.Giudice (convener), M.L.Mangano (convener), G.Ridolfi (convener),
  R.Rueckl (convener), S.Ambrosanio, S.Asai, G.Azuelos, H.Baer, A.Bartl,
  W.Bernreuther, M.Besan\c{c}on, G.Bhattacharyya, M.Brhlik, L.M.Bryant,
  G.Burkart, M.Carena, R.Casalbuoni, P.Chankowski, D.Choudhury, A.Culatti,
  A.Deandrea, W.deBoer, G.Carlino, S.De Curtis, G.Degrassi, C.Dionisi,
  A.Djouadi, D.Dominici, H.Dreiner, H.Eberl, L.Favart, M.Felcini, F.Feruglio,
  H.Fraas, F.Franke, R.Gatto, S.Giagu, M.Grazzini, J.F.Grivaz, J.J.Hernandez,
  S.Katsanevas, S.Komamiya, S.Kraml, P.LeCoultre, S.Lola, W.Majerotto,
  A.Masiero, T.Medcalf, B.Mele, G.Montagna, R.Munroe, S.Navas, F.Nessi-Tedaldi,
  O.Nicrosini, S.Orito, F.Piccinini, S.Pokorski, W.Porod, P.Rebecchi,","Searches For New Physics",,,,,"hep-ph",,"  Review of prospects for discovery of new physics signals at LEP2. The areas
covered include SUSY, exotic fermions, BESS models, leptoquarks, virtual
effects and CP violating observables.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 17:28:12 GMT""}]","2009-09-25"
"hep-ph/9602208","Paolo Nason","S. Catani, M.L. Mangano, P. Nason and L. Trentadue","The Top Cross Section in Hadronic Collisions","17 pages, Latex, epsfig, 7 figures. Revised version. Updated
  experimental results. Minor changes in the cross section tables. To appear on
  Phys. Lett. B","Phys.Lett. B378 (1996) 329-336","10.1016/0370-2693(96)00387-5","CERN-TH/96-21","hep-ph",,"  We reexamine the top quark production cross section at the Tevatron and LHC,
in the light of recent progress on the resummation of logarithmic soft gluon
corrections. We find that resummation effects are much smaller than previously
thought. We also compute Coulombic threshold effects, and find them negligible.
We update the discussion of uncertainties due to scale dependence, the value of
the strong coupling constant, and the parton density parametrization. Our
current best estimate of the top production cross section at the Tevatron and
its error is $\sigma(\mt=175\,{\rm GeV})=4.75{+0.73\atop-0.62}$.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 17:41:02 GMT""},{""version"":""v2"",""created"":""Mon, 25 Mar 1996 15:37:07 GMT""}]","2009-10-28"
"hep-ph/9602209","J. W. F. Valle","Stefano Ranfone and J.W.F. Valle","A Flipped SO(10) GUT Model and the Fermion Mass Hierarchy","tex file, 20 pages","Phys.Lett.B386:151-160,1996","10.1016/0370-2693(96)00973-2","FTUV/95-65; IFIC/95-68","hep-ph",,"  We present a viable flipped version of the SO(10) model consistent with the
phenomenological requirements of having a non-trivial quark mixing matrix,
natural doublet-triplet splitting, and a single pair of light electroweak Higgs
doublet scalar bosons. In the presence of suitable non-renormalizable
superpotential terms the model can reproduce the hierarchy observed in quark
masses and mixings as well as an acceptable neutrino mass generated via the
seesaw mechanism needed to explain dark matter and solar neutrino data.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 19:07:45 GMT""}]","2009-09-17"
"hep-ph/9602210","Hiroaki Masuda","P.N. Burrows (MIT), H. Masuda, D. Muller (SLAC), Y. Ohnishi (Nagoya
  Univ.)","Application of 'Optimised' Perturbation Theory to Determination of
  alpha_s(M_Z^2) from Hadronic Event Shape Observables in e+e- Annihilation","19 pages for text plus 4 pages for figures which were tar'ed,
  gzip'ed, uuencoded and put as one package. Original text is in PS format and
  original figures are in EPS format","Phys.Lett. B382 (1996) 157-164","10.1016/0370-2693(96)00570-9","SLAC-PUB-95-7055","hep-ph hep-ex",,"  We have applied so-called `optimised' perturbation theory to resolve the
renormalisation-scale (mu) ambiguity of exact O(alpha_s^2) QCD calculations of
event shape observables in e+e- --> hadrons. We fitted the optimised
predictions for 15 observables to hadronic Z0 decay data from the SLD
experiment to determine alpha_s(M_Z^2). Comparing with results using the
physical scale mu = M_Z we found no reduction in the scatter among
alpha_s(M_Z^2) values from the 15 observables, implying that the O(alpha_s^2)
predictions with optimised scales are numerically no closer to the exact
all-orders results than those with the physical scale.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 01:40:02 GMT""}]","2009-10-28"
"hep-ph/9602211","Ricardo Flores, UofMissouri-St. Louis","John Ellis (TH, CERN), Ricardo A. Flores (UM-St. Louis)","Implications of the Strange Spin of the Nucleon for the Neutron Electric
  Dipole Moment in Supersymmetric Theories","11 pages, uuencoded compressed postscript file including text and 3
  figures","Phys.Lett.B377:83-88,1996","10.1016/0370-2693(96)00312-7","CERN-TH/96-18","hep-ph",,"  Supersymmetric model contributions to the neutron electric dipole moment
arise via quark electric dipole moment operators, whose matrix elements are
usually calculated using the Naive Quark Model (NQM). However, experiments
indicate that the NQM does not describe well the quark contributions $\Delta q$
to the nucleon spin, and so may provide misleading estimates of electric dipole
operator matrix elements. Taking the $\Delta q$ from experiment, we indeed find
consistently smaller estimates of the neutron electric dipole moment for given
values of the supersymmetric model parameters. This weakens previous
constraints on CP violation in supersymmetric models, which we exemplify
analytically in the case where the lightest supersymmetric particle (LSP) is a
$U(1)$ gaugino $\tilde{B}$, and display numerically for other LSP candidates.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 02:38:26 GMT""}]","2009-09-11"
"hep-ph/9602212",,"Joe Sato","Possible Candidates for SUSY E$_6$ GUT with an Intermediate Scale","13 pages, LaTeX","Prog.Theor.Phys. 96 (1996) 597-610","10.1143/PTP.96.597","KUNS-1371","hep-ph",,"  We study the possibility of an intermediate scale existing in supersymmetric
E$_6$ grand unified theories. The intermediate scale is demanded to be around
$10^{12}$ GeV so that neutrinos can obtain masses suitable for explaining the
experimental data on the deficit of solar neutrinos with the
Mikheev-Smirnov-Wolfenstein solution and the existence of hot dark matter. We
require that at the intermediate scale, a certain symmetry breakdown to the
Standard Model symmetry. We show that only a few E$_6$ subgroups are likely to
be realized as the intermediate symmetry, though there are many candidates for
the intermediate symmetry in E$_6$ GUT.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 07:30:29 GMT""}]","2009-10-28"
"hep-ph/9602213","H. Holtmann","A. Szczurek, M. Ericson, H. Holtmann and J. Speth","Testing the meson cloud in the nucleon in Drell-Yan processes","written in ReVTeX, 26 pages + 10 PS-figures","Nucl.Phys.A596:397-414,1996","10.1016/0375-9474(95)00401-7","KFA-IKP-28-1995","hep-ph",,"  We discuss the present status of the \bar u-\bar d asymmetry in the nucleon
and analize the quantities which are best suited to verify the asymmetry. We
find that the Drell-Yan asymmetry is the quantity insensitive to the valence
quark distributions and very sensitive to the flavour asymmetry of the sea. We
compare the prediction of the meson cloud model with different experimental
data including the Fermilab E772 data and recent data of the NA51 Collaboration
at CERN and make predictions for the planned Drell-Yan experiments.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 10:03:39 GMT""}]","2010-11-19"
"hep-ph/9602214","John Gracey","J.A. Gracey","The QCD beta-function at O(1/N_f)","9 pages latex, 1 figure","Phys.Lett. B373 (1996) 178-184","10.1016/0370-2693(96)00105-0","LTH 366","hep-ph",,"  The leading order coefficients of the beta-function of QCD are computed in a
large N_f expansion. They are in agreement with the three loop MSbar
calculation. The method involves computing the anomalous dimension of the
operator (G^2_{mu nu})^2 at the d-dimensional fixed point in the non-abelian
Thirring model to which QCD is equaivalent in this limit. The effect the
O(1/N_f) corrections have on the location of the infrared stable fixed point
for a range of N_f is also examined.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 10:14:11 GMT""}]","2009-10-28"
"hep-ph/9602215","Renard Fernand Michel","G.J. Gounaris, J.Layssac, J.E. Paschalis, F.M. Renard and N.D. Vlachos","Residual New Physics Effects in $e^+e^-$ and $\gamma\gamma$ Collisions
  at NLC","13 pages with 15 figures included. (e-mail
  renard@lpmsun2.lpm.univ-montp2.fr)",,,"PM/96-08, THES-TP 96/02","hep-ph",,"  We report on a set of studies concerning the description of New Physics (NP)
effects characterized by a scale much higher than the electroweak scale. We
concentrate on the residual effects described by an effective lagrangian
involving only bosonic fields and restrict to the case that the Higgs field is
described linearly, so that the Higgs particle exists. It has already been
emphasized that this lagrangian may be represented by eight $dim=6$ operators;
namely the blind CP-conserving operators $\O_W$, $\O_{B\Phi}$, $\O_{W\Phi}$,
$\O_{UB}$, $\O_{UW}$, the ''superblind'' ${\cal O}_{\Phi 2}$ and the two
CP-violating ones $\ol{\O}_{UB}$ and $\ol{\O}_{UW}$. To each operator and for
any given value of its coupling, we associate an unambiguous NP scale
determined by the energy where unitarity is saturated. Our study of the
possible NP tests realizable at a future linear $e^+e^-$ collider concentrates
on $(e^+e^-\to HZ ~,~ H\gamma)$, and on $\gamma\gamma$ collisions producing
boson pairs ($\gamma\gamma \to W^+W^-$, $ZZ$, $Z\gamma$, $\gamma\gamma$, $HH$),
or a single Higgs ($\gamma\gamma \to H$). The sensitivities to the various
operators involved in the effective lagrangian are estimated. We find that the
testable NP scales vary from a few tens of TeV in the boson pair processes, up
to 65 TeV in single H production. Ways to disentangle the various operators are
also proposed. In this respect a comparison of the NP effects in the various
boson pair processes, like \eg\@ a comparison of $e^+e^-\to HZ$ versus
$e^+e^-\to H\gamma$, should be very fruitful. This is applied also to the study
of the Higgs branching ratios, and especially the ratio
$\Gamma(H\to\gamma\gamma)/\Gamma (H\to\gamma Z)$.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 11:49:50 GMT""}]","2007-05-23"
"hep-ph/9602216","Carlo Giunti","S.M. Bilenky, A. Bottino, C. Giunti and C. W. Kim","Short-baseline neutrino oscillations and neutrinoless double-beta decay
  in the framework of three neutrino mixing and a mass hierarchy","RevTeX file, 26 pages including 9 figures. The postscript file is
  available at http://www.to.infn.it/teorici/giunti/papers.html","Phys.Rev.D54:1881-1890,1996","10.1103/PhysRevD.54.1881","DFTT 2/96, JHU-TIPAC 96002","hep-ph",,"  We have analyzed the results of the latest terrestrial neutrino oscillation
experiments in the framework of a model with mixing of three massive neutrinos
and a neutrino mass hierarchy ($ m_1 << m_2 << m_3 $). In this model,
oscillations of the terrestrial neutrinos are characterized by three
parameters, $ \Delta m^2 = m_3^2 - m_1^2 $ and the squared moduli of the two
mixing matrix elements $U_{e3}$ and $U_{\mu3}$. Using the results of
disappearance experiments and solar neutrino experiments, it is shown that only
two regions of possible values of $|U_{e3}|^2$ and $|U_{\mu3}|^2$ are allowed:
I. $|U_{e3}|^2$ and $|U_{\mu3}|^2$ are both small and II. $|U_{e3}|^2$ is small
and $|U_{\mu3}|^2$ is large. If the mixing parameters are in the region I, $
\nu_\mu <-> \nu_e $ oscillations are suppressed. In this case the LSND
indication in favor of $ \nu_\mu <-> \nu_e $ oscillations is not compatible
with the negative results of all other experiments. If the mixing parameters
are in the region II, $ \nu_e <-> \nu_\tau $ oscillations are strongly
suppressed. If massive neutrinos are Majorana particles, our analysis shows
that neutrinoless double-beta decay could be observed in the experiments of the
next generation only if the mixing parameters are in the region I.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 13:21:28 GMT""}]","2009-12-30"
"hep-th/9602004",,"Y.S.Kim","Unification of Spacetime Symmetries of Massive and Massless Particles","7 pages,LaTeX,based on a talk presented at the 2nd German-Polish
  Symposium on New Ideas in the Theory of Fundamental Interactions (Zakopane,
  Poland, September 11-15, 1995)","Acta Phys.Polon.B27:2741-2746,1996",,,"hep-th",,"  The internal space-time symmetries of relativistic particles are dictated by
Wigner's little groups. The $O(3)$-like little group for a massive particle at
rest and the $E(2)$-like little group of a massless particle are two different
manifestations of the same covariant little group. Likewise, the quark model
and parton pictures are two different manifestations of the one covariant
entity.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 16:36:00 GMT""}]","2011-04-15"
"hep-th/9602005","Andrei Marshakov","A.Marshakov","Exact solutions to quantum field theories and integrable equations","revised version, some details and formulations are changed, few
  references added; LaTeX, 12 pp","Mod.Phys.Lett. A11 (1996) 1169-1184","10.1142/S021773239600120X","FIAN/TD-19/95, ITEP/TH-4/96","hep-th",,"  The exact solutions to quantum string and gauge field theories are discussed
and their formulation in the framework of integrable systems is presented. In
particular I consider in detail several examples of appearence of solutions to
the first-order integrable equations of hydrodynamical type and stress that all
known examples can be treated as partial solutions to the same problem in the
theory of integrable systems.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 20:01:23 GMT""},{""version"":""v2"",""created"":""Thu, 21 Mar 1996 13:48:44 GMT""}]","2009-10-30"
"hep-th/9602006","Dave Robertson","Alex C. Kalloniatis (Heidelberg) and David G. Robertson (OSU)","Theta Vacua in the Light-Cone Schwinger Model","RevTeX, 5 pages","Phys.Lett. B381 (1996) 209-215","10.1016/0370-2693(96)00534-5","OSU-NT-95-07","hep-th",,"  We discuss the bosonized Schwinger model in light-cone quantization, using
discretization as an infrared regulator. We consider both the light-cone
Coulomb gauge, in which all gauge freedom can be removed and a physical Hilbert
space employed, and the light-cone Weyl (temporal) gauge, in which the Hilbert
space is unphysical and a Gauss law operator is used to select a physical
subspace. We describe the different ways in which the theta vacuum is
manifested depending on this choice of gauge, and compute the theta-dependence
of the chiral condensate in each case.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 00:46:46 GMT""}]","2009-10-30"
"hep-th/9602007","Dr R. Szabo","Gordon W. Semenoff and Richard J. Szabo","Polymer Statistics and Fermionic Vector Models","13 pages LaTeX, run twice. Minor technical details corrected (mainly
  in combinatorics for Feynman graphs) and clarifying comments added;
  additional reference included","Mod.Phys.Lett. A11 (1996) 1185-1198","10.1142/S0217732396001211","UBC/S-96/1, OUTP-96-04P","hep-th",,"  We consider a variation of $O(N)$-symmetric vector models in which the vector
components are Grassmann numbers. We show that these theories generate the same
sort of random polymer models as the $O(N)$ vector models and that they lie in
the same universality class in the large-$N$ limit. We explicitly construct the
double-scaling limit of the theory and show that the genus expansion is an
alternating Borel summable series that otherwise coincides with the topological
expansion of the bosonic models. We also show how the fermionic nature of these
models leads to an explicit solution even at finite-$N$ for the generating
functions of the number of random polymer configurations.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 16:01:09 GMT""},{""version"":""v2"",""created"":""Mon, 4 Mar 1996 15:47:24 GMT""}]","2009-10-30"
"math/9602218","Arlan Ramsay","Arlan Ramsay","Lacunary sections for locally compact groupoids","12 pages","Ergodic Theory Dynam. Systems 17 (1997), 933--94",,"Groupoids migration 06/00","math.FA math.OA",,"  It is proved that every second countable locally Hausdorff and locally
compact continuous groupoid has a Borel set of units that meets every orbit and
is what is called ""lacunary,"" a property that implies that the intersection
with every orbit is countable.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 00:00:00 GMT""}]","2016-09-06"
"math/9602219","Arlan Ramsay","Arlan Ramsay, Martin E. Walter","Fourier-Stieltjes algebras of locally compact groupoids","34 pages","J. Funct. Anal. 148 (1997), 314--367",,"Groupoids migration 06/00","math.OA",,"  This paper gives a first step toward extending the theory of
Fourier-Stieltjes algebras from groups to groupoids. If G is a locally compact
(second countable) groupoid, we show that B(G), the linear span of the Borel
positive definite functions on G, is a Banach algebra when represented as an
algebra of completely bounded maps on a C^*-algebra associated with G. This
necessarily involves identifying equivalent elements of B(G). An example shows
that the linear span of the continuous positive definite functions need not be
complete. For groups, B(G) is isometric to the Banach space dual of C^*(G). For
groupoids, the best analog of that fact is to be found in a representation of
B(G) as a Banach space of completely bounded maps from a C^*-algebra associated
with G to a C^*-algebra associated with the equivalence relation induced by G.
This paper adds weight to the clues in the earlier study of Fourier-Stieltjes
algebras that there is a much more general kind of duality for Banach algebras
waiting to be explored.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 00:00:00 GMT""}]","2016-09-06"
"nucl-th/9602001","Alexander Motovilov","E. A. Kolganova (Dubna), A. K. Motovilov (Dubna)","Using Faddeev Differential Equations to Calculate Three-Body Resonances","LaTeX 2e (REVTeX style), 16 pages. Some corrections were made as well
  as figures were updated","Phys. Atom. Nucl. 60 No. 2 (1997), 177--185",,"Preprint JINR E4-96-19 (Dubna, January 1996)","nucl-th",,"  Algorithm, based on explicit representations for analytic continuation of the
T-matrix Faddeev components on unphysical sheets, is worked out for
calculations of resonances in the three-body quantum problem. According to the
representations, poles of T-matrix, scattering matrix and Green function on
unphysical sheets, interpreted as resonances, coincide with those complex
energy values where appropriate truncations of the scattering matrix have zero
as eigenvalue. Scattering amplitudes on the physical sheet, necessary to
construct scattering matrix, are calculated on the basis of the Faddeev
differential equations. The algorithm developed is applied to search for the
resonances in the $nnp$ system and in a model three-boson system.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 20:39:10 GMT""},{""version"":""v2"",""created"":""Thu, 19 Mar 1998 12:36:36 GMT""}]","2008-02-03"
"q-alg/9602003","Nikolaj A. Gromov","N.A.Gromov","Contraction of Algebraical Structures and Different Couplings of
  Cayley-Klein and Hopf Structures","LaTeX, 8 pages; Invited lecture at the BARUT Memorial Conference on
  Group Theory in Physics (Edirne, Turkey, 21-27 December 1995)",,,,"q-alg hep-th math.QA",,"  Contractions (and graded contractions) of Lie algebra, Lie bialgebra and Hopf
algebra are discussed. It is noticed the fundamental role of E.In{\""o}n{\""u}
and E.P.Wigner idea of degenerate transformations. A constructive algorithm for
description of contractions of quantum Cayley-Klein algebras $ so_{z}(n+1; {\bf
j}) $ with different choice of the set of primitive operators is suggested. For
nonsemisimple quantum algebras it gives nonisomorphic Hopf algebras. From
physical point of view this algorithm gives the different physical
interpretations of primitive operators for mathematically the same
nonsemisimple quantum algebra. The case of $ so_{z}(3; {\bf j}) $ is regarded
in detail.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 07:40:18 GMT""}]","2008-02-03"
"q-alg/9602004","Pawel Maslanka","Piotr Kosinski, Michal Majewski (Department of Theoretical Physics
  University of Lodz, Lodz, Poland) and Pawel Maslanka (Department of
  Functional Analysis University of Lodz, Lodz, Poland)","The bicovariant differential calculus on the three-dimensional
  Kappa-Poincar'e group","AMSTeX, Pages 15",,,,"q-alg math.QA",,"  The bicovariant differential calculus on the three-dimensional
Kappa-Poincar'e group and the corresponding Lie-algebra structure are
described. The equivalence of this Lie-algebra structure and the
three-dimensional $\kappa$-Poincar\'e algebra is proved.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 14:22:30 GMT""}]","2008-02-03"
"q-alg/9602005","Pawel Maslanka","Stefan Giller, Cezary Gonera, Michal Majewski (Department of
  Theoretical Physics University of Lodz, Lodz, Poland)","Deformation map for generalized Kappa-Poincar'e and Kappa-Weyl algebras","AMSTeX, Pages 5",,,,"q-alg math.QA",,"  A nonlinear transformation in the momentum space is constructed which
converts the deformed action of Lorentz and Weyl generators on momenta into the
standard one.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 14:37:29 GMT""}]","2008-02-03"
"q-alg/9602006","Pawel Maslanka","Stefan Giller, Cezary Gonera, Piotr Kosinski (Department of
  Theoretical Physics University of Lodz, Lodz, Poland) and Pawel Maslanka
  (Department of Functional Analysis University of Lodz, Lodz, Poland)","A note on geometry of Kappa-Minkowski space","AMSTeX, Pages 6",,,,"q-alg math.QA",,"  The infinitesimal action of Kappa-Poincar'e group on Kappa-Minkowski space is
computed both for generators of Kappa-Poincar'e algebra and those of Woronowicz
generalized Lie algebra. The notion of invariant operators is introduced and
generalized Klein-Gordon equation is written out.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 14:59:22 GMT""}]","2008-02-03"
"q-alg/9602007","Pawel Maslanka","Cezary Gonera, Piotr Kosinski (Department of Theoretical Physics
  University of Lodz, Lodz, Poland) and Pawel Maslanka (Department of
  Functional Analysis University of Lodz, Lodz, Poland)","Differential calculi on quantum Minkowski space","AMSTeX, Pages 9",,"10.1063/1.531701",,"q-alg math.QA",,"  The differential calculus on n-dimensional quantum Minkowski space covariant
with respect to left action of Kappa-Poincar'e group is constructed and its
uniqueness is shown.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 15:00:23 GMT""}]","2009-10-30"
"q-alg/9602008","Pawel Maslanka","Piotr Kosinski (Department of Theoretical Physics University of Lodz,
  Lodz, Poland), Pawel Maslanka, Karol Przanowski (Department of Functional
  Analysis University of Lodz, Lodz, Poland)","Differential calculus on the quantum Heisenberg group","AMSTeX, Pages 5",,"10.1088/0305-4470/29/17/039",,"q-alg math.QA",,"  The differential calculus on the quantum Heisenberg group is conlinebreak
structed. The duality between quantum Heisenberg group and algebra is proved.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 15:01:15 GMT""}]","2009-10-30"
"quant-ph/9602001","Lawrence Horwitz","L.P. Horwitz (School of Physics, Raymond and Beverly Sackler Faculty
  of Exact Sciences, Tel Aviv University, Ramat Aviv, Israel, and Department of
  Physics, Bar Ilan University, Ramat Gan, Israel)","Hypercomplex quantum mechanics","Plain Tex, 11 pages",,"10.1007/BF02058638","TAUP 2309-95","quant-ph",,"  The fundamental axioms of the quantum theory do not explicitly identify the
algebraic structure of the linear space for which orthogonal subspaces
correspond to the propositions (equivalence classes of physical questions). The
projective geometry of the weakly modular orthocomplemented lattice of
propositions may be imbedded in a complex Hilbert space; this is the structure
which has traditionally been used. This paper reviews some work which has been
devoted to generalizing the target space of this imbedding to Hilbert modules
of a more general type. In particular, detailed discussion is given of the
simplest generalization of the complex Hilbert space, that of the quaternion
Hilbert module.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 19:06:44 GMT""}]","2009-10-30"
"solv-int/9601006","Ron Perline","Ron Perline (Drexel University)","Localized Induction Hierarchy and Weingarten Systems","AMSTeX file (10 pages) with one Postscript graphic; submitted to
  Physics Letters A",,"10.1016/0375-9601(96)00513-0",,"solv-int nlin.SI",,"  We describe a method of constructing Weingarten systems of triply orthogonal
coordinates, related to the localized induction equation hierarchy of
integrable geometric evolution equations
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 19:27:18 GMT""}]","2009-10-30"
