"adap-org/9602001","Yuhai Tu","G. Grinstein, M.A. Mu\~noz, and Yuhai Tu","Phase Structure of Systems with Multiplicative Noise","2 figures, submitted to PRL",,"10.1103/PhysRevLett.76.4376",,"adap-org cond-mat nlin.AO",,"  The phase diagrams and transitions of nonequilibrium systems with
multiplicative noise are studied theoretically. We show the existence of both
strong and weak-coupling critical behavior, of two distinct active phases, and
of a nonzero range of parameter values over which the susceptibility is
infinite in any dimension. A scaling theory of the strong-coupling transition
is constructed.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 21:25:09 GMT""}]","2016-08-16"
"hep-ph/9602225",,"A.D. Jackson, M.K. \c{S}ener, J.J.M. Verbaarschot","Universality near zero virtuality","23 pages, Latex","Nucl.Phys. B479 (1996) 707-726","10.1016/0550-3213(96)00397-5","SUNY-NTG-96/1","hep-ph cond-mat",,"  In this paper we study a random matrix model with the chiral and flavor
structure of the QCD Dirac operator and a temperature dependence given by the
lowest Matsubara frequency. Using the supersymmetric method for random matrix
theory, we obtain an exact, analytic expression for the average spectral
density. In the large-n limit, the spectral density can be obtained from the
solution to a cubic equation. This spectral density is non-zero in the vicinity
of eigenvalue zero only for temperatures below the critical temperature of this
model. Our main result is the demonstration that the microscopic limit of the
spectral density is independent of temperature up to the critical temperature.
This is due to a number of `miraculous' cancellations. This result provides
strong support for the conjecture that the microscopic spectral density is
universal. In our derivation, we emphasize the symmetries of the partition
function and show that this universal behavior is closely related to the
existence of an invariant saddle-point manifold.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 23:24:57 GMT""}]","2009-10-28"
"hep-ph/9602226","J. Gunion","J.F. Gunion and Xiao-Gang He (U.C. Davis)","Determing the CP Nature of a Neutral Higgs Boson at the LHC","9 pages, full postscript file also available via anonymous ftp at
  ftp://ucdhep.ucdavis.edu/gunion/cpparity.ps","Phys.Rev.Lett. 76 (1996) 4468-4471","10.1103/PhysRevLett.76.4468","UCD-96-5","hep-ph hep-ex",,"  We demonstrate that certain weighted moments of $t\anti t \h$ production can
provide a determination of the CP nature of a light neutral Higgs boson
produced and detected in this mode at the CERN LHC.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 02:45:07 GMT""}]","2009-10-28"
"hep-ph/9602227",,"A. Edin, G. Ingelman, J. Rathsman","Soft Colour Interactions and the Diffractive Structure Function","4 pages LaTeX, 2 encapsulated PostScript figures, uses revtex.sty,
  uuencoded gz-compressed .tar file created by uufiles. Presented by G.
  Ingelman at Workshop on `HERA Physics -- Proton, Photon and Pomeron
  Structure', Durham, September 1995, to appear in the proceedings","J.Phys.G22:943-946,1996","10.1088/0954-3899/22/6/029","DESY-96-019","hep-ph",,"  We discuss our model for soft colour interactions and present results on the
diffractive structure function $F_2^D(\beta,x_\pom,Q^2)$ and inclusive
transverse energy flows, which agree with available HERA data.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 09:58:00 GMT""}]","2008-11-26"
"hep-ph/9602228","Anjan Joshipura","Gautam Dutta and Anjan S. Joshipura (Physical Research Lab.,
  Ahmedabad, INDIA)","Automatic CP Invariance and Flavor Symmetry",,"Mod.Phys.Lett. A11 (1996) 1869-1875","10.1142/S0217732396001867","PRL-TH-95/21","hep-ph",,"  The approximate conservation of $CP$ can be naturally understood if it arises
as an automatic symmetry of the renormalizable Lagrangian. We present a
specific realistic example with this feature. In this example, the global
Peccei-Quinn symmetry and gauge symmetries of the model make the renormalizable
Lagrangian $CP$ invariant but allow non zero hierarchical masses and mixing
among the three generations. The left-right and a horizontal $U(1)_H$ symmetry
is imposed to achieve this. The non-renormalizable interactions invariant under
these symmetries violate $CP$ whose magnitude can be in the experimentally
required range if $U(1)_H$ is broken at very high, typically, near the grand
unification scale.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 09:45:53 GMT""}]","2015-06-25"
"hep-ph/9602229","H. Holtmann","H. Holtmann, G. Levman, N.N. Nikolaev, A. Szczurek and J. Speth","How to measure the pion structure function at HERA","12 pages written in ReVTeX and 4 Postscript figures","Phys.Lett.B338:393,1995",,"KFA-IKP-(TH)-12-1995","hep-ph",,"  We suggest a method of determination of the pion structure function down to x
\simeq 10^{-4} based on semi-exclusive deep inelastic scattering off protons.
The idea is to exploit the nonperturbative \pi N$ and \pi\Delta Fock components
of the nucleon, which contribute significantly to deep inelastic scattering and
dominate the fragmentation of protons into fast neutrons and deltas. The
intrinsic factorization properties of the semi-exclusive cross section give a
good test for the validity of this approach.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 11:12:50 GMT""}]","2014-11-17"
"hep-ph/9602230",,"N. Armesto, E. G. Ferreiro, C. Pajares and Yu. M. Shabelski","Fast Antibaryon Production in $pp$ Collisions as a Result of String
  Fusion","9 pages, LaTeX, 5 postcript figures","Z.Phys. C73 (1997) 309-313",,"US-FT/5-96","hep-ph",,"  The inclusion of string fusion in Dual Parton Model results in the appearance
of diquark-antidiquark pairs in the sea with comparatively large Feynman-$x$.
Such antidiquarks can fragment into fast antibaryons, thus increasing several
times the corresponding yields in high energy $pp$ collisions for $x_F \sim 0.8
\div 0.9$. String fusion also results in an unusual dependence of inclusive
spectra on the multiplicity of secondaries. Some numerical estimations are
presented.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 05:09:51 GMT""}]","2007-05-23"
"hep-ph/9602231","Emilian Dudas","Emilian Dudas (CEA-Saclay, SPhT)","Dynamical mass matrices from moduli fields","21 pages, LaTeX, no figures. Based on talks given at SUSY95, may
  1995, Paris, EPS-HEP, july 1995, Brussels and 5th Hellenic School and
  Workshop, september 1995, Corfu",,,"Saclay T96/012","hep-ph",,"  We review recent work on the structure of the fermion mass matrices in
supergravity effective superstrings. They are generally given at low energy by
non-trivial functions of the gauge singlet moduli fields. Interesting
structures appear in particular if they are homogeneous functions of zero
degree in the moduli. In this case we find Yukawa matrices very similar to the
ones obtained by imposing a $U(1)$ family symmetry to reproduce the observed
hierarchy of masses and mixing angles. The role of the $U(1)$ symmetry is
played here by the modular symmetry. The Flavor Changing Neutral Currents
effects at the Planck scale coming from the soft terms are identically zero. A
dynamical scenario is discussed which allow to generate the observed
hierarchies.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 15:27:14 GMT""}]","2007-05-23"
"hep-ph/9602232","Daniel Boyanovsky","D. Boyanovsky, M. D'Attanasio, H.J. de Vega and R. Holman","Evolution of Inhomogeneous Condensates after Phase Transitions","25 pages Revtex 3.0, two figures available upon request","Phys.Rev. D54 (1996) 1748-1762","10.1103/PhysRevD.54.1748","PITT-96-171","hep-ph astro-ph nucl-th",,"  Using the O(4) linear $\sigma$ model, we address the topic of non-equilibrium
relaxation of an inhomogeneous initial configuration due to quantum and thermal
fluctuations. The space-time evolution of an inhomogeneous fluctuation of the
condensate in the isoscalar channel decaying via the emission of pions in the
medium is studied within the context of disoriented chiral condensates. We use
out of equilibrium closed time path methods in field theory combined with the
amplitude expansion. We give explicit expressions for the asymptotic space-time
evolution of an initial inhomogeneous configuration including the contribution
of thresholds at zero and non-zero temperature. At non-zero temperature we find
new relaxational processes due to thermal cuts that have no counterpart in the
homogeneous case. Within the one-loop approximation, we find that the space
time evolution of such inhomogeneous configuration out of equilibrium is
effectively described in terms of a rapidity dependent temperature
$T(\vartheta)=T/\cosh[\vartheta]$ as well as a rapidity dependent decay rate
$\Gamma(\vartheta, T(\vartheta))$. This rate is to be interpreted as the
production minus absorption rate of pions in the medium and approaches the zero
temperature value at large rapidities. An initial configuration localized on a
bounded region spreads and decays in spherical waves with slower relaxational
dynamics at large rapidity.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 14:34:48 GMT""}]","2019-08-17"
"hep-ph/9602233",,"A.D. Dolgov, S. Pastor and J.W.F. Valle (IFIC, Valencia)","An improved cosmological bound on the tau-neutrino mass","10 pages, LaTex file + 1 figure compressed using uufiles","Phys.Lett.B383:193-198,1996","10.1016/0370-2693(96)00718-6","FTUV/96-07; IFIC/96-08","hep-ph astro-ph",,"  We consider the influence of non-equilibrium electronic neutrinos (and
anti-neutrinos) on the neutron-to-proton ratio. These neutrinos would come from
massive $\nu_\tau$ annihilations $\bar \nu_\tau \nu_\tau \rightarrow \bar \nu_e
\nu_e$. For sufficiently large $\nu_\tau$ masses this new effect would strongly
enhance the (n/p)-ratio, leading to a very stringent bound on the $\nu_\tau$
mass, even adopting a rather weak upper bound on the effective number on
neutrino species during nucleosynthesis.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 15:49:19 GMT""}]","2008-11-26"
"hep-ph/9602244","Hugo Christiansen","H. R. Christiansen, L. N. Epele, H. Fanchiotti and C. A. Garc\'ia
  Canal (Universidad Nacional de La Plata)","Temperature and Density Effects on the Nucleon Mass Splitting","17 pages, revtex file","Phys.Rev.C53:1911-1916,1996","10.1103/PhysRevC.53.1911","La Plata-TH-95-24","hep-ph nucl-th",,"  The finite temperature and finite density dependence of the neutron-proton
mass difference is analysed in a purely hadronic framework where the
$\rho-\omega $ mixing is crucial for this isospin symmetry breakdown. The
problem is handled within Thermo Field Dynamics. The present results,
consistent with partial chiral and charge symmetry restoration, improve the
experimental data fit for the energy difference between mirror nuclei.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 19:24:42 GMT""}]","2016-08-15"
"hep-th/9602020","Jens Hoppe","Jens Hoppe","On M-Algebras, the Quantisation of Nambu-Mechanics, and Volume
  Preserving Diffeomorphisms","16 pages, LaTex","Helv.Phys.Acta 70 (1997) 302-317",,"ETH-TH/95-33","hep-th",,"  M-branes are related to theories on function spaces $\cal{A}$ involving
M-linear non-commutative maps from $\cal{A} \times \cdots \times \cal{A}$ to
$\cal{A}$. While the Lie-symmetry-algebra of volume preserving diffeomorphisms
of $T^M$ cannot be deformed when M>2, the arising M-algebras naturally relate
to Nambu's generalisation of Hamiltonian mechanics, e.g. by providing a
representation of the canonical M-commutation relations, $[J_1,\cdots,
J_M]=i\hbar$. Concerning multidimensional integrability, an important
generalisation of Lax-pairs is given.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 17:07:52 GMT""}]","2007-05-23"
"hep-th/9602021","Matt Strassler","Matthew J. Strassler (Rutgers University)","Manifolds of Fixed Points and Duality in Supersymmetric Gauge Theories","Talk given at YKIS'95; 15 pp., uses ReVTeX, 3 uuencoded figures","Prog.Theor.Phys.Suppl.123:373-380,1996","10.1143/PTPS.123.373","RU-95-86","hep-th",,"  There are many physically interesting superconformal gauge theories in four
dimensions. In this talk I discuss a common phenomenon in these theories: the
existence of continuous families of infrared fixed points. Well-known examples
include finite ${\cal N}=4$ and ${\cal N}=2$ supersymmetric theories; many
finite ${\cal N}=1$ examples are known also. These theories are a subset of a
much larger class, whose existence can easily be established and understood
using the algebraic methods explained here. A relation between the ${\cal N}=1$
duality of Seiberg and duality in finite ${\cal N}=2$ theories is found using
this approach, giving further evidence for the former. This talk is based on
work with Robert Leigh (hep-th/9503121).
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 22:38:52 GMT""}]","2011-04-15"
"hep-th/9602022","Cumrun Vafa","Cumrun Vafa","Evidence for F-Theory","18 pages","Nucl.Phys.B469:403-418,1996","10.1016/0550-3213(96)00172-1","HUTP-96/A004","hep-th",,"  We construct compact examples of D-manifolds for type IIB strings. The
construction has a natural interpretation in terms of compactification of a 12
dimensional `F-theory'. We provide evidence for a more natural reformulation of
type IIB theory in terms of F-theory. Compactification of M-theory on a
manifold $K$ which admits elliptic fibration is equivalent to compactification
of F-theory on $K\times S^1$. A large class of $N=1$ theories in 6 dimensions
are obtained by compactification of F-theory on Calabi-Yau threefolds. A class
of phenomenologically promising compactifications of F-theory is on $Spin(7)$
holonomy manifolds down to 4 dimensions. This may provide a concrete
realization of Witten's proposal for solving the cosmological constant problem
in four dimensions.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 20:42:02 GMT""}]","2009-07-09"
"hep-th/9602023","Mikhail Iofa","M.Z.Iofa (Nuclear Physics Institute, Moscow State University)","Energy in Dilaton Gravity in Canonical Approach","3 pages, LaTeX, based on a talk presented at X-th Workshop on High
  Energy Physics and Quantum Field Theory (Zvenigorod, September, 1995)",,,"NPI-96-3/410","hep-th",,"  An expression for energy in string-inspired dilaton gravity is obtained in
canonical approach.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 15:51:28 GMT""}]","2007-05-23"
"hep-th/9602024","Shirkov D. V.","D.V. Shirkov (JINR, Dubna)","The Bogoliubov Renormalization Group","29 pages, Latex, no figures, JINR Communication",,,"E2-96-15","hep-th",,"  We begin with personal notes describing the atmosphere of ""Bogoliubov
renormalization group"" birth. Then we expose the history of RG discovery in the
QFT and of the RG method devising in the mid-fifties. The third part is devoted
to proliferation of RG ideas into diverse parts of theoretical physics. We
conclude with discussing the perspective of RG method further development and
its application in mathematical physics.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 09:33:41 GMT""}]","2007-05-23"
"hep-th/9602025","Philippe Di Francesco","P. Di Francesco, O. Golinelli and E. Guitter","Meanders and the Temperley-Lieb algebra","85p, uuencoded, uses harvmac (l mode) and epsf, 88 figures","Commun.Math.Phys. 186 (1997) 1-59","10.1007/BF02885671","Saclay preprint t96/008","hep-th",,"  The statistics of meanders is studied in connection with the Temperley-Lieb
algebra. Each (multi-component) meander corresponds to a pair of reduced
elements of the algebra. The assignment of a weight $q$ per connected component
of meander translates into a bilinear form on the algebra, with a Gram matrix
encoding the fine structure of meander numbers. Here, we calculate the
associated Gram determinant as a function of $q$, and make use of the
orthogonalization process to derive alternative expressions for meander numbers
as sums over correlated random walks.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 10:00:33 GMT""}]","2015-06-26"
"hep-th/9602026","Andrea Pasquinucci","Andrea Pasquinucci and Kaj Roland","CPT Invariance of String Models in a Minkowski Background","1+38 pages, macros included","Nucl.Phys.B473:31-62,1996","10.1016/0550-3213(96)00244-1","IFUM-523/FT, NBI-HE-96-03","hep-th",,"  We study the space-time CPT properties of string theories formulated in a
flat Minkowski background of even dimension. We define CPT as a world-sheet
transformation acting on the vertex operators and we prove the CPT invariance
of the string $S$-matrix elements. Some related issues, including the
connection between spin and statistics of physical string states, are also
considered.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 12:49:11 GMT""}]","2008-11-26"
"hep-th/9602027","Christof Gattringer","Christof Gattringer","Discussing the U(1)-Problem of QED_2 without Instantons","Accepted for publication in Annals of Physics","Annals Phys. 250 (1996) 389-419","10.1006/aphy.1996.0098","MPI-Ph/95-52","hep-th",,"  We construct QED_2 with mass and flavor and an extra Thirring term. The
vacuum expectation values are carefully decomposed into clustering states using
the U(1)-axial symmetry of the considered operators and a limiting procedure.
The properties of the emerging expectation functional are compared to the
proposed theta-vacuum of QCD. The massive theory is bosonized to a generalized
Sine-Gordon model (GSG). The structure of the vacuum of QED_2 manifests itself
in symmetry properties of the GSG. We study the U(1)-problem and derive a
Witten-Veneziano-type formula for the masses of the pseudoscalars determined
from a semiclassical approximation.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 12:47:35 GMT""}]","2009-10-30"
"hep-th/9602028","Martin G. Harris","M.G.Harris and J.Ambjorn","Correlation Functions in the Multiple Ising Model Coupled to Gravity","29 pages, LaTeX, uses epsf macro, 5 figures","Nucl.Phys. B474 (1996) 575-601","10.1016/0550-3213(96)00282-9","NBI-HE-96-04","hep-th",,"  The model of p Ising spins coupled to 2d gravity, in the form of a sum over
planar phi-cubed graphs, is studied and in particular the two-point and
spin-spin correlation functions are considered. We first solve a toy model in
which only a partial summation over spin configurations is performed and, using
a modified geodesic distance, various correlation functions are determined. The
two-point function has a diverging length scale associated with it. The
critical exponents are calculated and it is shown that all the standard scaling
relations apply. Next the full model is studied, in which all spin
configurations are included. Many of the considerations for the toy model apply
for the full model, which also has a diverging geometric correlation length
associated with the transition to a branched polymer phase. Using a transfer
function we show that the two-point and spin-spin correlation functions decay
exponentially with distance. Finally, by assuming various scaling relations, we
make a prediction for the critical exponents at the transition between the
magnetized and branched polymer phases in the full model.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 15:25:15 GMT""}]","2009-10-30"
"nucl-th/9602006","David Dean","S.E. Koonin (Caltech), D.J. Dean (ORNL), and K. Langanke (Caltech)","Shell Model Monte Carlo Methods",,"Phys.Rept. 278 (1997) 1-77","10.1007/BFb0104366",,"nucl-th",,"  We review quantum Monte Carlo methods for dealing with large shell model
problems. These methods reduce the imaginary-time many-body evolution operator
to a coherent superposition of one-body evolutions in fluctuating one-body
fields; the resultant path integral is evaluated stochastically. We first
discuss the motivation, formalism, and implementation of such Shell Model Monte
Carlo (SMMC) methods. There then follows a sampler of results and insights
obtained from a number of applications. These include the ground state and
thermal properties of {\it pf}-shell nuclei, the thermal and rotational
behavior of rare-earth and $\gamma$-soft nuclei, and the calculation of double
beta-decay matrix elements. Finally, prospects for further progress in such
calculations are discussed.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 20:59:14 GMT""}]","2009-10-30"
"patt-sol/9602001","Emilio Hernandez","A. Amengual, D. Walgraef, M. San Miguel, and E. Hernandez-Garcia","Wave-unlocking transition in resonantly coupled complex Ginzburg-Landau
  equations","4 pages, including 4 postscript figures. To appear in Physical Review
  Letters (1996). This paper and related material can be found at
  http://formentor.uib.es/Nonlinear/","Phys. Rev. Lett. 76, 1956 (1996).","10.1103/PhysRevLett.76.1956","UIB-0995A","patt-sol cond-mat nlin.PS",,"  We study the effect of spatial frequency-forcing on standing-wave solutions
of coupled complex Ginzburg-Landau equations. The model considered describes
several situations of nonlinear counterpropagating waves and also of the
dynamics of polarized light waves. We show that forcing introduces spatial
modulations on standing waves which remain frequency locked with a
forcing-independent frequency. For forcing above a threshold the modulated
standing waves unlock, bifurcating into a temporally periodic state. Below the
threshold the system presents a kind of excitability.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 15:19:42 GMT""}]","2009-10-30"
"plasm-ph/9602001","N. S. Erokhin","N.S. Erokhin, N.N. Zolnikova (Space Research Institute, Moscow,
  Russia), M.J. Rycroft (International Space Research University, Illkirch,
  France), D. Nunn (University of Southampton, U.K.)","Influence of wave frequency variation on anomalous cyclotron resonance
  interaction of energetic electrons with finite amplitutude ducted
  whistler-mode wave","LaTeX, 19 pages, 14 figures in Encapsulated PostScript",,,,"plasm-ph physics.plasm-ph",,"  The influence of wave frequency variation on the anomalous cyclotron
resonance $\omega=\omega_{Be}+kv_{\|}$ interaction (ACRI) of energetic
electrons with a ducted finite amplitude whistler-mode wave propagating through
the so-called transient plasma layer (TPL) in the magnetosphere or in the
ionosphere is studied both analytically and numerically. The anomalous
cyclotron resonance interaction takes place in the case when the whistler-mode
wave amplitude $B_{W}$ is consistent with the gradient of magnetic field
$\overrightarrow{B_0}$. The region of phase space occupied by anomalously
interacting energetic electrons (synchronous particles) is determined. The
efficiencies of both the pitch-angle scattering of resonant electrons and their
transverse acceleration are studied and the efficiencies dependence on the
magnitude and sign of the wave frequency drift is considered. It has been shown
that in the case of ACRI occuring under conditions relevant to VLF-emission in
the magnetosphere, the energy and pitch-angle changes of synchronous electrons
may be enchanced by a factor $10^2 \div 10^3$ in comparison with ones for
nonsynchronous resonant electrons. So the small in density group of synchronous
particles may give significant contribution to a whistler-mode wave damping in
TPL.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 23:42:38 GMT""}]","2008-02-03"
"q-alg/9602014","Takashi Kimura","Jos\'e M Figueroa-O'Farrill, Takashi Kimura, and Arkady Vaintrob","The universal Vassiliev invariant for the Lie superalgebra gl(1|1)","44 pages with figures, wrapped with uufiles, requires epsf.sty --
  Added a short section about deframing","Commun.Math.Phys. 185 (1997) 93-127","10.1007/s002200050083",,"q-alg hep-th math.QA",,"  We compute the universal weight system for Vassiliev invariants coming from
the Lie superalgebra gl(1|1) applying the construction of \cite{YB}. This
weight system is a function from the space of chord diagrams to the center $Z$
of the universal enveloping algebra of gl(1|1), and we find a combinatorial
expression for it in terms of the standard generators of $Z$. The resulting
knot invariants generalize the Alexander-Conway polynomial.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 23:00:02 GMT""},{""version"":""v2"",""created"":""Tue, 19 Mar 1996 02:41:45 GMT""}]","2009-10-30"
