"astro-ph/9602115","Martin Pohl","M. Pohl","Leptonic origin of TeV gamma-rays from Supernova Remnants","3 pages, accepted as Letter in A&A","Astron.Astrophys.307:L57-L59,1996",,,"astro-ph",,"  The lineless power-law emission observed by ASCA from the northeastern rim of
the supernova remnant SN1006 has recently been interpreted as synchrotron
radiation of electrons with energies around 100 TeV. In this letter we
calculate the flux of inverse Compton emission at TeV photon energies that is a
natural consequence of the existence of such high energy electrons and the
cosmic microwave background. We find that the predicted flux is near the
present sensitivity limit of the southern \v Cerenkov telescope CANGAROO, and
should be detectable with the next performance improvements. The spectrum of
SN1006 at a few TeV will be very soft. The existence of such highest energy
electrons in SN1006 may not be a unique to this remnant. We can therefore
conclude that the detection of TeV $\gamma$-ray emission in any supernova
remnant does not necessarily provide evidence for a large number of cosmic ray
nucleons in these objects, and thus is no simple test of cosmic ray origin as
far as nucleons are concerned.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 16:23:55 GMT""}]","2011-05-23"
"hep-ph/9602373",,"B. Bailey (Eckerd Collge), Edmond L. Berger, and L. E. Gordon
  (Argonne)","Production of a Prompt Photon in Association with Charm at
  Next-to-Leading Order in QCD","27 pages in RevTex plus 14 figures in one compressed PS file","Phys.Rev. D54 (1996) 1896-1907","10.1103/PhysRevD.54.1896","ANL-HEP-PR-95-87 and EC-HEP-960201","hep-ph",,"  A second order, $O(\alpha ^2_s)$, calculation in perturbative quantum
chromodynamics of the two particle inclusive cross section is presented for the
reaction $p +\bar{p}\rightarrow \gamma + c + X$ for large values of the
transverse momentum of the prompt photon and charm quark. The combination of
analytic and Monte Carlo integration methods used here to perform phase-space
integrations facilitates imposition of photon isolation restrictions and other
selections of relevance in experiments. Differential distributions are provided
for various observables. Positive correlations in rapidity are predicted.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 23:10:27 GMT""}]","2009-10-28"
"hep-ph/9602374","Sean Fleming","E. Braaten (Ohio State Univ.), S. Fleming (UW-Madison), and T.C. Yuan
  (UC Davis)","Production of Heavy Quarkonium in High Energy Colliders","45 pages of text and 4 figures. Typset using LaTex. To be published
  in Annual Review of Nuclear and Particle Science. A postscript version of the
  file is available at: http://phenom.physics.wisc.edu:80/pub/preprints/","Ann.Rev.Nucl.Part.Sci. 46 (1996) 197-235","10.1146/annurev.nucl.46.1.197","OHSTPY-HEP-T-96-001, MADPH-96-927, UCD-96-2","hep-ph",,"  Recent data from the Tevatron has revealed that the production rate of prompt
charmonium at large transverse momentum is orders of magnitude larger than the
best theoretical predictions of a few years ago. These surprising results can
be understood by taking into account two recent developments that have
revolutionized the theoretical description of heavy quarkonium production. The
first is the realization that fragmentation must dominate at large transverse
momentum, which implies that most charmonium in this kinematic region is
produced by the hadronization of individual high-$p_T$ partons. The second is
the development of a factorization formalism for quarkonium production based on
nonrelativistic QCD that allows the formation of charmonium from color-octet $c
\bar c$ pairs to be treated systematically. This review summarizes these
theoretical developments and their implications for quarkonium production in
high energy colliders.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 00:01:30 GMT""}]","2009-10-28"
"hep-ph/9602375","Dmitri Diakonov","Dmitri Diakonov","Chiral Symmetry Breaking by Instantons","Lectures at the Enrico Fermi School in Physics, Varenna, June 27 --
  July 7, 1995, to be published in the Proceedings. LaTex, 42 p",,,,"hep-ph",,"  This is a review of the QCD instanton vacuum. After introducing instantons
and their physical meaning, I show that the number of instantons in the vacuum
fluctuates in accordance with the QCD trace anomaly. The main properties of the
instanton ensemble are given. Chiral symmetry breaking by instantons is
explained in three different though mathematically equivalent ways. In
particular, a derivation of the Nambu--Jona-Lasinio-type model from instantons
is presented, and the effective chiral lagrangian to which QCD is reduced at
low momenta, is given. I end up by discussing possible confinement mechanisms.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 07:14:20 GMT""}]","2007-05-23"
"hep-ph/9602376","Peter Soldan","W.F. Palmer (Ohio State), E.A. Paschos, P.H. Soldan (Dortmund)","B to J/Psi+X in the Inclusive Parton and the ACCMM Model","33 pages, 11 eps figures, uses a4wide.sty and epsfig.sty figs. 1a-c
  available by request at soldan@hal1.physik.uni-dortmund.de",,,"DO-TH 96/04, OHSTPY-HEP-T-96-005","hep-ph",,"  The parton model as developed for semileptonic B decays is applied to the
inclusive decay B to J/Psi+X. We calculate the momentum spectrum of the J/Psi
using a one-parameter distribution function for the heavy quark, taken from
production experiments, and compare our results with recent data from CLEO
which fixes the distribution parameter epsilon_p. An analogous calculation is
carried out in the ACCMM model where the data determines the Fermi motion
parameter p_f. The models give a good description of the data, provided in each
of them the parameter in the distribution function is chosen to correspond to a
softer b quark momentum distribution than that commonly used in studies of
semileptonic B decays. In particular we arrive at epsilon_p = O(0.008) and p_f
= O(0.55 GeV), respectively. The latter value (p_f = 0.5 GeV) produces in the
ACCMM model 10^2*|V_ub/V_cb|^2=1.03, which removes a former supposed
discrepancy with the ISGW model. Finally, the strength of the effective color
singlet coefficient is found to be a_2 = O(0.28) in both models.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 10:13:41 GMT""}]","2007-05-23"
"hep-ph/9602377","Martin Maul","M. Maul, B. Ehrnsperger, E. Stein, and A. Sch\""afer","OPE analysis of the nucleon scattering tensor including weak interaction
  and finite mass effects","50 pages, additional references added","Z.Phys. A356 (1997) 443-456","10.1007/s002180050200","UFTP preprint 404/1995","hep-ph",,"  We perform a systematic operator product expansion of the most general form
of the nucleon scattering tensor $W_{\mu \nu}$ including electro-magnetic and
weak interaction processes. Finite quark masses are taken into account and a
number of higher-twist corrections are included. In this way we derive
relations between the lowest moments of all 14 structure functions and matrix
elements of local operators. Besides reproducing well-known results, new sum
rules for parity-violating polarized structure functions and new mass
correction terms are obtained.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 09:30:56 GMT""},{""version"":""v2"",""created"":""Thu, 30 May 1996 16:58:58 GMT""}]","2009-10-28"
"hep-ph/9602378","Roland Hoepker","W. Beenakker (Leiden), R. H\""opker and P.M. Zerwas (DESY)","SUSY-QCD Decays of Squarks and Gluinos","11 pages, Latex2e, 2 figures (uses epsfig). Complete postscript file
  available at http://www.desy.de/pub/preprints/desy/1996/desy96-022.ps","Phys.Lett. B378 (1996) 159-166","10.1016/0370-2693(96)00379-6","DESY 96-022","hep-ph",,"  The partial widths are determined for squark decays to gluinos and quarks,
and gluino decays to squarks and quarks, respectively. The widths are
calculated including one-loop SUSY-QCD corrections. The corrections amount to
$+$30\% to $+$50\% for squark decays and $-$10\% to $+$10\% for gluino decays.
We have derived the results in the \DR ~and \MS ~renormalization schemes, and
we have demonstrated explicitly that the one-loop effective $qqg$ and $q\sq\gl$
couplings are equal in the limit of exact supersymmetry.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 10:00:37 GMT""}]","2009-10-28"
"hep-ph/9602379","D. Indumathi","D. Indumathi (Dortmund University, Germany)","Nuclear Modifications of Double Spin Asymmetries","9 pages LaTeX, with 2 postscript figures, to appear in Physics
  Letters B","Phys.Lett. B374 (1996) 193-198","10.1016/0370-2693(96)00166-9","DO-TH-95/21","hep-ph",,"  We compute nuclear spin dependent structure functions using a dynamical model
for bound nucleon densities and hence calculate nuclear modifications to
asymmetries observed in recent doubly polarised deep inelastic scattering
experiments. We conclude that while the individual densities are changed
substantially by nuclear effects, the asymmetries themselves are largely
insensitive to these changes.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 12:24:56 GMT""}]","2009-10-28"
"hep-ph/9602381","Peter White","B. de Carlos (Sussex) and P.L. White (Oxford)","R-parity Violation Effects through Soft Supersymmetry Breaking Terms and
  the Renormalisation Group","41 pages plain LaTeX, 15 figures all uuencoded and gzipped (typos
  fixed and trivial changes ready for Phys. Rev. D)","Phys.Rev.D54:3427-3446,1996","10.1103/PhysRevD.54.3427","SUSX-TH/96-003, OUTP-96-01P, IEM-FT-125/96","hep-ph",,"  We present full renormalisation group equations for the MSSM with R-parity
violation, including all soft supersymmetry breaking terms. The inclusion of
dimensionless R-parity violating couplings can generate many possible low
energy effects through the generation of off-diagonal soft masses violating
lepton and quark flavour, and through the generation of lepton-Higgs mixing. We
discuss the relation between the weak and unification scale R-parity violation
and study the effects on neutrino mass generation and $\mu\to e\gamma$.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 12:43:18 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jun 1996 16:49:38 GMT""}]","2009-10-29"
"hep-ph/9602382","Jan Govaerts","Jan Govaerts and Marc Van Caillie (Univ. of Louvain-la-Neuve, Belgium)","Neutrino Decay of Positronium in the Standard Model and Beyond","10 pages, LateX file","Phys.Lett. B381 (1996) 451-457","10.1016/0370-2693(96)00623-5","UCL-IPN-96-P01","hep-ph",,"  Whether in the Standard Model or beyond it, neutrinos contribute to the
invisible decay mode of orthopositronium but practically not at all to that of
parapositronium. Although this remark does not resolve the orthopositronium
decay puzzle, it allows for upper bounds to be set on neutrino magnetic
moments.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 13:20:09 GMT""}]","2009-10-28"
"hep-ph/9602383","Carlo Giunti","S.M. Bilenky, C. Giunti and C. W. Kim","Possible tests of neutrino maximal mixing and comments on matter effects","RevTeX file, 11 pages including 1 figure. The postscript file is
  available at http://www.to.infn.it/teorici/giunti/papers.html","Phys.Lett. B380 (1996) 331-336","10.1016/0370-2693(96)00484-4","DFTT 6/96, SISSA Ref.28/96/EP","hep-ph",,"  We show in a simple and general way that matter effects do not contribute to
the averaged value of the probabilities of transition of solar $\nu_e$'s into
other states in the case of maximal mixing of any number of massive neutrinos.
We also show that future solar neutrino experiments (Super-Kamiokande and SNO)
will allow to test the model with maximal mixing of three massive neutrinos in
a way that does not depend on the initial solar neutrino flux.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 14:44:10 GMT""}]","2009-10-28"
"hep-th/9602124","Jorge Russo","J.G. Russo","Model of black hole evolution","9 pages, harvmac, 3 figures, minor additions","Phys.Rev. D55 (1997) 871-877","10.1103/PhysRevD.55.871","CERN-TH/96-33","hep-th gr-qc",,"  From the postulate that a black hole can be replaced by a boundary on the
apparent horizon with suitable boundary conditions, an unconventional scenario
for the evolution emerges. Only an insignificant fraction of energy of order
$(mG)^{-1}$ is radiated out. The outgoing wave carries a very small part of the
quantum mechanical information of the collapsed body, the bulk of the
information remaining in the final stable black hole geometry.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 16:38:06 GMT""},{""version"":""v2"",""created"":""Wed, 28 Feb 1996 15:48:12 GMT""}]","2009-10-30"
"hep-th/9602125","Jorge Russo","D. Amati and J.G. Russo","Black holes by analytic continuation","18 pages, harvmac, 3 figures, minor changes","Phys.Rev. D56 (1997) 974-982","10.1103/PhysRevD.56.974","CERN-TH/96-34","hep-th gr-qc",,"  In the context of a two-dimensional exactly solvable model, the dynamics of
quantum black holes is obtained by analytically continuing the description of
the regime where no black hole is formed. The resulting spectrum of outgoing
radiation departs from the one predicted by the Hawking model in the region
where the outgoing modes arise from the horizon with Planck-order frequencies.
This occurs early in the evaporation process, and the resulting physical
picture is unconventional. The theory predicts that black holes will only
radiate out an energy of Planck mass order, stabilizing after a transitory
period. The continuation from a regime without black hole formation
--accessible in the 1+1 gravity theory considered-- is implicit in an S-matrix
approach and suggests in this way a possible solution to the problem of
information loss.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 16:49:48 GMT""},{""version"":""v2"",""created"":""Wed, 28 Feb 1996 15:49:15 GMT""}]","2009-10-30"
"hep-th/9602126","R. R. Caldwell","Robert Caldwell (University of Cambridge), Andrew Chamblin (University
  of Cambridge and Institute for Theoretical Physics, University of California
  - Santa Barbara), Gary Gibbons (University of Cambridge)","Pair Creation of Black Holes by Domain Walls","22 pages (REVTeX with AMS Symbols) with 5 postscript figures attached
  in a single uuencoded, g-zipped, tar file at end of tex file","Phys.Rev.D53:7103-7114,1996","10.1103/PhysRevD.53.7103","DAMTP-R95/60","hep-th gr-qc",,"  In this paper we study the production of pairs of neutral and charged black
holes by domain walls, finding classical solutions and calculating their
classical actions. We find that neutral black holes whose creation is mediated
by Euclidean instantons must be produced mutually at rest with respect to one
another, but for charged black holes a new type of instanton is possible in
which after formation the two black holes accelerate away from one another.
These new types of instantons are not possible in Einstein-Maxwell theory with
a cosmological constant. We also find that the creation of non-orientable black
hole solutions can be mediated by Euclidean instantons and that in addition if
one is prepared to consider entirely Lorentzian no-boundary type contributions
to the path integral then mutually accelerating pairs may be created even in
the neutral case. Finally we consider the production of Kaluza-Klein monopoles
both by a standard cosmological term and in the presence of a domain wall. We
find that compactification is accompanied by the production of pairs of
Kaluza-Klein monopoles.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 17:00:08 GMT""}]","2009-10-07"
"hep-th/9602127",,"G. Grignani, P. Sodano and C. A. Scrucca","Quantum States of Topologically Massive Electrodynamics and Gravity","21 page, latex, no figures","J.Phys.A29:3179-3198,1996","10.1088/0305-4470/29/12/022","DFUPG-120/96","hep-th",,"  The free quantum states of topologically massive electrodynamics and gravity
in 2+1 dimensions, are explicitly found. It is shown that in both theories the
states are described by infrared-regular polarization tensors containing a
regularization phase which depends on the spin. This is done by explicitly
realizing the quantum algebra on a functional Hilbert space and by finding the
Wightman function to define the scalar product on such a Hilbert space. The
physical properties of the states are analyzed defining creation and
annihilation operators.
  For both theories, a canonical and covariant quantization procedure is
developed. The higher order derivatives in the gravitational lagrangian are
treated by means of a preliminary Dirac procedure.
  The closure of the Poincar\'e algebra is guaranteed by the
infrared-finiteness of the states which is related to the spin of the
excitations through the regularization phase. Such a phase may have interesting
physical consequences.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 19:22:54 GMT""}]","2016-09-06"
"hep-th/9602128","Univer online Login","V.V.Tugai (Scientific Center of Physical Technologies), A.A.Zheltukhin
  (Kharkov Institute of Physics and Technology)","Supersymmetric electrodynamics of charged and neutral fermions in the
  extended Wheeler-Feynman approach","10 pages, 1 REVTeX file, no figures",,,,"hep-th",,"  A supersymmetric formulation of the classical action of interacting charged
and neutral fermions with arbitrary anomalous magnetic moment is considered.
This formulation generalizes the known action for scalar charged particles
investigated in papers by Fokker, Schwarzschild, Tetrode, Wheeler and Feynman.
The superfield formulation of the electrodynamics of the Maxwell
supermultiplet, constructed from the world coordinates of charged or neutral
fermions is carried out basing on the proposed action.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 19:39:00 GMT""}]","2007-05-23"
"hep-th/9602129","Lee Min-ho","Min-Ho Lee and Jae Kwan Kim (Korea Advanced Institute of Science and
  Technology)","The Entropy of a Quantum Field in a Charged Kerr Black Hole","13 pages, to be appear in Phy. Lett. A","Phys.Lett. A212 (1996) 323-331","10.1016/0375-9601(96)00067-9",,"hep-th",,"  We calculate the entropies of the system of classical particles and a quantum
scalar field by using the brick wall method in thermal bath in a charged Kerr
black hole spacetime. Their leading terms at Hartle-Hawking temperature $T_H =
\kappa/(2 \pi) $ are given by $ S_{cl} \approx N \ \ln \left(
\frac{A_b}{\epsilon^2} \right)$, and $S \approx N' \frac{A_H}{\epsilon^2}$,
where $A_b$ and $A_H$ are the area of the box and the horizon respectively.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 10:22:18 GMT""}]","2009-10-30"
"hep-th/9602130","Matsuyama Toyoki","C. D. Fosco, T. Matsuyama","The Ladder Approximation in QED_2","13 pages",,,,"hep-th",,"  We study the Schwinger-Dyson equation for the fermion self-energy in massless
and massive $QED_2$, in the ladder approximation. When the fermion is massless
(and the photon massless or massive), we check the reliability of this
approximation by comparing its solutions with the exact ones. They agree only
when the photon is massless. For a massive fermion and massless photon, we show
that there is no consistent solution at all, the infrared divergences
introduced by the approximation forbidding even the trivial solution. When both
fermion and photon are massive, we find a non-perturbative (extra) fermion mass
generation (which survives in the limit when the bare mass of the fermion tends
to zero). We argue that, in this case, the ladder approximation will provide
reliable results if the bare masses of the fields are large compared with the
(dimensionful) coupling constant.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 02:06:05 GMT""}]","2017-12-21"
"hep-th/9602131","Matsuyama Toyoki","C. D. Fosco, T. Matsuyama","The Polynomial Formulation of the U(1) Non-Linear Sigma-Model in 2
  Dimensions","15 pages",,,,"hep-th",,"  We investigate some properties of a first-order polynomial formulation of the
U(1) non-linear sigma-model in two Euclidean dimensions. The variables in this
description are a 1-form field plus a 0-form Lagrange multiplier field. The
usual spin variables are non-local functions of the new fields. As this
construction incorporates O(2) invariance ab initio, only O(2)-invariant
correlation functions (the only non-vanishing ones in the model) can be
constructed. We show that the vortices play a dual role to the spin variables
in the partition function. The equivalent Sine-Gordon description is obtained
in a natural way, when one integrates out the 1-form field to get an effective
partition function for the Lagrange multiplier. We also show how to introduce
strings of vortices within this formulation.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 02:41:00 GMT""}]","2007-05-23"
"nucl-th/9602036","Manuel Malheiro","A. Delfino (Instituto de Fisica, Universidade Federal Fluminense,
  Brasil), M. Malheiro (Department of Physics, University of Maryland at
  College Park, USA), and T. Frederico (Instituto Tecnologico da Aeronautica,
  CTA, Brasil)","How reliable is the mean-field Nuclear Matter description for supporting
  Chiral Effective Lagrangians?","5 pages latex file after being uncompressed. Submitted to Phys.
  Letts. B","Braz.J.Phys. 31 (2001) 518",,,"nucl-th hep-ph",,"  The link between non-linear chiral effective Lagrangians and the Walecka
model description of bulk nuclear matter [1] is questioned. This fact is by
itself due to the Mean Field Approximation (MFA) which in nuclear mater makes
the picture of a nucleon-nucleon interaction based on scalar(vector) meson
exchange, equivalent to the description of a nuclear matter based on attractive
and repulsive contact interactions. We present a linear chiral model where this
link between the Walecka model and an underlying to chiral symmetry realization
still holds, due to MFA.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 23:15:31 GMT""}]","2007-05-23"
"nucl-th/9602037",,"V.F.Dmitriev and V.B.Telitsin (Budker Institute of Nuclear Physics,
  Novosibirsk)","Many Body Corrections to Nuclear Anapole Moment","14 pages, latex, no figures, ps-file available at
  http://www.inp.nsk.su/preprint/prep95.html","Nuclear Physics A 613 (1997) 237-252","10.1016/S0375-9474(96)00440-X",,"nucl-th",,"  The many body contributions to the nuclear anapole moment of $^{133}$Cs,
$^{205}$Tl, $^{207,209}$PB, and $^{209}$Bi from the core polarization are
calculated in the random-phase approximation with the effective residual
interaction. Strong reduction of a valence nucleon contribution was found
provided by the core polarization effects. The contribution of the core
particles to the anapole moment compensates this reduction to large extent
keeping the magnitude of nuclear anapole moment close to its initial single
particle value.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 07:53:59 GMT""}]","2009-10-30"
"patt-sol/9602004","Thierry GALLAY lan","Th. Gallay and G. Raugel (University of Paris XI, France)","Stability of Travelling Waves for a Damped Hyperbolic Equation","32 pages, plain TeX",,"10.1007/s000330050043","96-21","patt-sol nlin.PS",,"  We consider a nonlinear damped hyperbolic equation in $\real^n$, $1 \le n \le
4$, depending on a positive parameter $\epsilon$. If we set $\epsilon=0$, this
equation reduces to the well-known Kolmogorov-Petrovski-Piskunov equation. We
remark that, after a change of variables, this hyperbolic equation has the same
family of one-dimensional travelling waves as the KPP equation. Using various
energy functionals, we show that, if $\epsilon >0$, these fronts are locally
stable under perturbations in appropriate weighted Sobolev spaces. Moreover,
the decay rate in time of the perturbed solutions towards the front of minimal
speed $c=2$ is shown to be polynomial. In the one-dimensional case, if
$\epsilon < 1/4$, we can apply a Maximum Principle for hyperbolic equations and
prove a global stability result. We also prove that the decay rate of the
perturbated solutions towards the fronts is polynomial, for all $c > 2$.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 17:22:36 GMT""}]","2018-08-29"
"quant-ph/9602017","Segev Bilha","M. S. Marinov, Bilha Segev (Phys. Dep. Technion, Haifa, Israel)","Quantum Tunneling in the Wigner Representation","18 pages, LATEX, no figures",,"10.1103/PhysRevA.54.4752",,"quant-ph",,"  Time dependence for barrier penetration is considered in the phase space. An
asymptotic phase-space propagator for nonrelativistic scattering on a one -
dimensional barrier is constructed. The propagator has a form universal for
various initial state preparations and local potential barriers. It is
manifestly causal and includes time-lag effects and quantum spreading. Specific
features of quantum dynamics which disappear in the standard semi-classical
approximation are revealed. The propagator may be applied to calculation of the
final momentum and coordinate distributions, for particles transmitted through
or reflected from the potential barrier, as well as for elucidating the
tunneling time problem.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 07:10:58 GMT""}]","2009-10-30"
"solv-int/9602002","J. C. de Gier","Jan de Gier, Bernard Nienhuis (University of Amsterdam)","Exact Solution of an Octagonal Random Tiling Model","4 pages,3 Postscript figures, uses revtex","Phys. Rev. Lett. 76 (1996) 2918-2921","10.1103/PhysRevLett.76.2918","ITFA 95-24","solv-int cond-mat hep-th nlin.SI",,"  We consider the two-dimensional random tiling model introduced by Cockayne,
i.e. the ensemble of all possible coverings of the plane without gaps or
overlaps with squares and various hexagons. At the appropriate relative
densities the correlations have eight-fold rotational symmetry. We reformulate
the model in terms of a random tiling ensemble with identical rectangles and
isosceles triangles. The partition function of this model can be calculated by
diagonalizing a transfer matrix using the Bethe Ansatz (BA). The BA equations
can be solved providing {\em exact} values of the entropy and elastic
constants.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 09:48:42 GMT""}]","2011-11-29"
"supr-con/9602002","Santi Gilles","G. Santi, T. Jarlborg, M. Peter and M. Weger","s and d-wave symmetries of the solutions of the Eliashberg equations","Uuencoded LaTeX file anf 6 Postscript figures (14 pages). Accepted
  for publication in Physica C",,"10.1016/0921-4534(96)00052-4",,"supr-con cond-mat.supr-con",,"  We examine the different possible symmetries of the superconducting gap
obtained by solving the Eliashberg equations. We consider an electron-phonon
interaction in a strong coupling scenario. The Coulomb pseudopotential plays
the crucial role of providing the repulsion needed to favour the d-wave
symmetry. But the key parameter that allows very anisotropic solutions even
with very strong coupling is the small angular range of the interaction due to
predominantly electron-phonon forward scattering that is found in the high-Tc
superconductors. We find both s and d-wave solutions whose stability depends
mainly on the angular range of the interaction.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 07:25:24 GMT""}]","2009-10-30"
