"alg-geom/9604005","Carlos Simpson","Carlos Simpson","The Hodge filtration on nonabelian cohomology","LaTeX",,,,"alg-geom math.AG",,"  This is partly a survey article on nonabelian Hodge theory, but we also give
proofs of results that have only been announced elsewhere. In the introduction
we discuss a wide range of recent work on this subject and give some
references. In the body of the paper, we discuss Corlette's nonabelian Hodge
theorem, Hitchin's quaternionic structure on the moduli space of
representations of $\pi _1(X)$ (for a compact K\""ahler manifold $X$), and
Deligne's construction of the resulting twistor space. We then mention the
interpretation of Deligne's space of $\lambda$-connections as the Hodge
filtration of the nonabelian de Rham cohomology $M_{DR}(X,G)= H^1(X,G)$. We go
on to prove several properties of this Hodge filtration, such as Griffiths
transversality and regularity of the Gauss-Manin connection; a local triviality
property coming from Goldman and Millson's analysis of the singularities; and a
weight property coming from Langton's theory. We construct a compactification
of $M_{DR}$ using the Hodge filtration with its weight property. At the end, we
define a nonabelian version of the Noether-Lefschetz locus, and prove that it
is algebraic if the base of the fibration is compact. We pose the open problem
of studying degenerations of nonabelian Hodge structure sufficiently well to be
able to prove algebraicity of the Noether-Lefshetz locus even when the base is
quasiprojective.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 10:22:17 GMT""}]","2008-02-03"
"hep-ex/9604001","John Ellison","John Ellison (University of California, Riverside)","Electroweak Physics Results from the DZero Detector at Fermilab","Talk given at the Xth International Workshop on High Energy Physics
  and Quantum Field Theory, Zvenigorod, Russia, 20-26 September 1995. 17 pages,
  figures included",,,"UCR/D0/96-10; D0 Note 2899","hep-ex",,"  We present electroweak physics results from the DZero experiment using data
from collisions at \sqrt{s} = 1.8 TeV, concentrating on single W and Z
production cross sections and the production of electroweak gauge boson pairs.
The inclusive cross sections times branching ratios for W and Z production have
been measured and are used to determine the inclusive width of the W boson.
Direct tests of the WW\gamma and WWZ trilinear gauge boson couplings are
derived from the study of diboson production. These measurements test the
non-abelian self couplings of the W, Z and photon, one of the most direct
consequences of the SU(2)_L \times U(1)_Y gauge symmetry. We present
measurements of the WW\gamma coupling based on p pbar --> l \nu \gamma + X and
limits on anomalous WWZ and WW\gamma couplings based on searches for p \pbar
--> W^+ W^- + X --> l l' \nu \nubar + X and p \pbar --> WW / WZ + X --> e \nu +
jets + X. We also present limits on the ZZ\gamma and Z\gamma\gamma couplings
based on p pbar --> l^+ l^- \gamma + X events.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 23:11:27 GMT""}]","2007-05-23"
"hep-lat/9604003","Misha Stephanov","M.A. Stephanov (U. of Illinois, Urbana)","Random matrix model of QCD at finite density and the nature of the
  quenched limit","9 pages, revtex3.0, 4 epsf figures. Packed by ""uufiles"" script.
  Revised version (PRL): minor changes","Phys.Rev.Lett. 76 (1996) 4472-4475","10.1103/PhysRevLett.76.4472",,"hep-lat cond-mat hep-ph hep-th",,"  We use a random matrix model to study chiral symmetry breaking in QCD at
finite chemical potential $\mu$. We solve the model and compute the eigenvalue
density of the Dirac matrix on a complex plane. A naive ``replica trick'' fails
for $\mu\neq0$: we find that quenched QCD is not a simple $n\to0$ limit of QCD
with $n$ quarks. It is the limit of a theory with $2n$ quarks: $n$ quarks with
original action and $n$ quarks with conjugate action. The results agree with
earlier studies of lattice QCD at $\mu\neq0$ and provide a simple analytical
explanation of a long-standing puzzle.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 02:52:15 GMT""},{""version"":""v2"",""created"":""Tue, 14 May 1996 01:17:17 GMT""}]","2009-10-28"
"hep-ph/9604232","Jonathan Bagger","Jonathan A. Bagger","Weak-Scale Supersymmetry: Theory and Practice","51 pages, Lectures delivered TASI-95",,,"JHU-TIPAC-96008","hep-ph hep-th",,"  These lectures contain an introduction to the theory and practice of
weak-scale supersymmetry. They begin with a discussion of the hierarchy problem
and the motivation for weak-scale supersymmetry. They continue by developing
the coset approach to superfields. They use superfield techniques to construct
the minimal supersymmetric version of the standard model and to discuss soft
supersymmetry breaking and its implications. The lectures end with a brief
survey of expectations for future collider experiments.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 16:09:33 GMT""},{""version"":""v2"",""created"":""Wed, 8 May 1996 13:51:12 GMT""}]","2009-09-25"
"hep-ph/9604233","Amol Dighe","Amol S. Dighe (1), Michael Gronau(2), Jonathan L. Rosner (1 and 3)
  ((1) EFI and U. of Chicago, (2) Technion, (3) CERN)","Weak Phases From B Decays to Kaons and Charged Pions","18 pages, 11 PostScript figures","Phys.Rev.D54:3309-3320,1996","10.1103/PhysRevD.54.3309","EFI-96-10, CERN-TH/96-68, TECHNION-PH-96-05","hep-ph",,"  Phases of elements of the Cabibbo-Kobayashi-Maskawa (CKM) matrix can be
obtained using decays of $B$ mesons to $\pi^+ \pi^-$, $\pi^\pm K^\mp$, and
$\pi^+ K^0$ or $\pi^- \overline{K}^0$. For $B^0~{\rm or}~ \overline{B}^0 \to
\pi^+ \pi^-$, one identifies the flavor of the neutral $B$ meson at time of
production and studies the time-dependence of the decay rate. The other
processes are self-tagging and only their rates need be measured. By assuming
flavor SU(3) symmetry and first-order SU(3) breaking, one can separately
determine the phases $\gamma \equiv {\rm Arg}~V_{ub}^*$ and $\alpha = \pi -
\beta - \gamma$, where $\beta \equiv {\rm Arg}~V_{td}^*$. Special cases include
the vanishing of strong interaction phase differences between amplitudes, the
possibility of recovering partial information when $\pi^+ \pi^-$ and $\pi^\pm
K^\mp$ decays cannot be distinguished from one another, and the use of a
correlation between $\gamma$ and $\alpha$ in the region of allowed parameters.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 17:47:37 GMT""}]","2010-11-23"
"hep-ph/9604234","Nikolaos Kidonakis","Nikolaos Kidonakis and George Sterman (ITP-Stony Brook)","On the Resummation of Singular Distributions in QCD Hard Scattering","12 pages LATEX, 2 figures",,,"ITP-SB-96-7","hep-ph",,"  We discuss the resummation of distributions that are singular at the elastic
limit of partonic phase space (partonic threshold) in QCD hard-scattering cross
sections, such as heavy quark production. We show how nonleading soft
logarithms exponentiate in a manner that depends on the color structure within
the underlying hard scattering. This result generalizes the resummation of
threshold singularities for the Drell-Yan process, in which the hard scattering
proceeds through color-singlet annihilation. We illustrate our results for the
case of heavy quark production by light quark annihilation, and briefly discuss
its extension to heavy quark production through gluon fusion.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 21:40:45 GMT""}]","2007-05-23"
"hep-ph/9604235",,"Maciej A. Nowak, G\'abor Papp and Ismail Zahed","Lattice QCD Spectra at Finite Temperature: a Random Matrix Approach","7 pages, LaTEX using RevTEX, 8 eps figures included","Phys.Lett. B389 (1996) 341-346","10.1016/S0370-2693(96)01266-X",,"hep-ph hep-lat hep-th",,"  We suggest that the lattice Dirac spectra in QCD at finite temperature may be
understood using a gaussian unitary ensemble for Wilson fermions, and a chiral
gaussian unitary ensemble for Kogut-Susskind fermions. For Kogut-Susskind
fermions, the lattice results by the Columbia group are in good agreement with
the spectral distribution following from a cubic equation, both for the valence
quark distribution and the anomalous symmetry breaking. We explicitly construct
a number of Dirac spectra for Wilson fermions at finite temperature, and use
the end-point singularities to derive analytically the pertinent critical
lines. For the physical current masses, the matrix model shows a transition
from a delocalized phase at low temperature, to a localized phase at high
temperature. The localization is over the thermal wavelength of the quark
modes. For heavier masses, the spectral distribution reflects on localized
states with competitive effects between the quark Compton wavelength and the
thermal wavelength. Some further suggestions for lattice simulations are made.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 21:41:52 GMT""}]","2009-10-28"
"hep-ph/9604236","Bhaskar Dutta","N. G. Deshpande, B. Dutta and E. Keith","Towards a viable grand unified model with $M_G\sim M_{\rm string}$ and
  $M_I\sim 10^{12}$ GeV","16 pages(Latex), 1 PS Figures (uuencoded, epsf.tex), Typo in the
  archive title (not in the paper), no change in paper","Phys.Lett. B384 (1996) 116-122","10.1016/0370-2693(96)00810-6","OITS-600, UCRHEP-T162","hep-ph hep-th",,"  We present a model based on the gauge group
SU(2)$_L\times$SU(2)$_R\times$SU(4)$_C$ with gauge couplings that are found to
be unified at a scale $M_G$ near the string unification scale. The model breaks
to the minimal supersymmetric standard model at a scale $M_I\sim 10^{12}$ GeV,
which is instrumental in producing a neutrino in a mass range that can serve as
hot dark matter and this scale can also solve the strong CP problem via
Peccei-Quinn (PQ) mechanism with an invisible harmless invisible axion. We show
how this model can accommodate low and high values of $\tan\beta$ and ``exotic""
representations that often occur in string derived models. We show that this
model has lepton flavor violation which can lead to processes which are one or
two orders of magnitude below the current experimental limits.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 23:13:00 GMT""},{""version"":""v2"",""created"":""Thu, 4 Apr 1996 22:33:33 GMT""}]","2009-10-28"
"hep-ph/9604237",,"Eric Braaten, Yu-Qi Chen","Helicity Decomposition for Inclusive $J/\psi$ Production","29 pages, Latex file. a version with minor modifications","Phys. Rev. D 54, 3216 (1996)","10.1103/PhysRevD.54.3216","OHSTPY-HEP-T-96-010, NUHEP-TH-96-2","hep-ph",,"  We present a general method for calculating inclusive cross sections for the
production of heavy quarkonium states with definite polarization within the
NRQCD factorization approach. Cross sections for polarized production can
involve additional matrix elements that do not contribute to cross sections for
unpolarized production. They can also include interference terms between parton
processes that produce $Q \bar Q$ pairs with different total angular momentum.
The interference terms cancel upon summing over polarizations. Our method can
be generalized to $N$ dimensions and is therefore compatible with the use of
dimensional regularization to calculate radiative corrections. We illustrate
the method by applying it to the production of $J/\psi$ via the parton
processes $q \bar q \to c \bar c$ and $g g \to c \bar c$.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 02:10:51 GMT""},{""version"":""v2"",""created"":""Thu, 27 Jun 1996 03:15:29 GMT""}]","2016-08-24"
"hep-ph/9604238","Alexander Ignatiev","A.Yu.Ignatiev and G.C.Joshi","Possible electric charge nonconservation and dequantization in $SU(2)
  \times U(1)$ models with hard symmetry breaking","10 pages, revtex, no figures, to appear in Physics Letters B","Phys.Lett. B381 (1996) 216-220","10.1016/0370-2693(96)00569-2","UM-P-95/113, RCHEP-95/25","hep-ph",,"  We study a novel type of extensions of the Standard Model which include a
hard mass term for the U(1) gauge field and, optionally, the additional scalar
multiplets spontaneously violating the electric charge conservation. Contrary
to the case of abelian massive electrodynamics, in these theories the
massiveness of photon necessarily implies non-conservation (and also
dequantization) of the electric charge (even in the absence of spontaneous
breakdown of the electromagnetic symmetry). On the other hand, unexpectedly,
there exist models with charge non-conservation where it is possible to keep
the photon mass zero (at least, at the tree level).
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 04:31:32 GMT""}]","2009-10-28"
"hep-ph/9604239","Daijiro Suematsu","Daijiro Suematsu","Flavor Structure of Soft SUSY Breaking Parameters","19 pages, latex, a version published in Phys. Rev. D, minor
  corrections","Phys.Rev. D54 (1996) 5715-5722","10.1103/PhysRevD.54.5715","Kanazawa-96-03","hep-ph",,"  Flavor structure of soft supersymmetry breaking parameters is studied in a
certain type of effective supergravity theory derived from moduli/dilaton
dominated supersymmetry breaking. Some interesting sum rules for soft scalar
masses are presented. They constrain their flavor structure and predict some
interesting patterns appeared in soft scalar masses in the non-universal case.
We also study the alignment phenomena in the flavor space of soft breaking
parameters due to Yukawa couplings and discuss their phenomenological
consequences.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 07:01:46 GMT""},{""version"":""v2"",""created"":""Wed, 10 Apr 1996 02:53:23 GMT""},{""version"":""v3"",""created"":""Mon, 19 Aug 1996 05:12:00 GMT""}]","2009-10-28"
"hep-ph/9604240","Luca Silvestrini","M. Ciuchini, E. Franco, G. Martinelli and L. Silvestrini","Two-body non-leptonic decays on the lattice","15 pages, 1 Postscript figure","Phys.Lett. B380 (1996) 353-362","10.1016/0370-2693(96)00529-1","CERN-TH/96-31","hep-ph hep-lat",,"  We show that, under reasonable hypotheses, it is possible to study two-body
non-leptonic weak decays in numerical simulations of lattice QCD. By assuming
that final-state interactions are dominated by the nearby resonances and that
the couplings of the resonances to the final particles are smooth functions of
the external momenta, it is possible indeed to overcome the difficulties
imposed by the Maiani-Testa no-go theorem and to extract the weak decay
amplitudes, including their phases. Under the same assumptions, results can be
obtained also for time-like form factors and quasi-elastic processes.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 08:16:08 GMT""}]","2009-10-28"
"hep-ph/9604241","Deog Ki Hong","Deog Ki Hong (Pusan Univ.)","Dynamical Mass in Strongly Coupled QED","29 pages, LaTeX 2e, To appear in Proc. 14th Symposium on Theoretical
  Physics ``Dynamical Symmetry Breaking and Effective Field Theory'', Cheju,
  Korea, July 21-26, 1995",,,"SNUTP-96-036","hep-ph",,"  We review dynamical mass generation in three and four dimensional Ableian
gauge theories. The basic approach analyzed here is to solve Schwinger-Dyson
equations in some approximations. In both cases, the coupling has to be larger
than a critical value to have dynamical symmetry breaking. In $QED_4$, chiral
symmetry is spontaneouly broken if $\alpha>\alpha_c (\simeq \pi/3)$ in ladder
approximation. The electron becomes massive, and is realized as Skyrmion in the
low energy effective action. In $QED_3$, electron gets dynmical mass in $1/N$
expansion if $N<N_c(\simeq 32/\pi^2)$. With a Chern-Simons term, parity tends
to break maximally in $QED_3$. The quntum phase structure of $QED_3$ with or
without a Chern-Simons term is peculiar.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 09:15:46 GMT""}]","2007-05-23"
"hep-ph/9604242","Daijiro Suematsu","Daijiro Suematsu","Neutrino Oscillation based on the Mixings with a Heavy Right-Handed
  Neutrino","13 pages, latex. Title and text have been modified. Confusing
  discussions have been corrected. A version to be published in Phys. Lett. B","Phys.Lett.B392:413,1997","10.1016/S0370-2693(96)01588-2","KANAZAWA-96-04(revised)","hep-ph",,"  We study a consistent explanation for both deficits of solar neutrino and
atmospheric neutrino due to the neutrino oscillation induced by the mixing of
light neutrinos with a heavy right-handed neutrino. We propose such a
phenomenological neutrino mass matrix that realizes this scenario in the simple
three generation left- and right- handed neutrino framework. Although this
model contains only one nonzero mass eigenvalue $\sim$ 10 eV for these light
neutrino states at the first approximation level, it can be expected to explain
consistently both deficiency due to the appropriate higher order corrections. A
suitable hot dark matter candidate is naturally included in it as its own
feature.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 08:39:12 GMT""},{""version"":""v2"",""created"":""Sat, 30 Nov 1996 04:59:28 GMT""}]","2008-11-26"
"hep-ph/9604243","ChangMoh kim","Seung Woo Ham (Institute for Advanced Physics, Department of Physics,
  Kon-Kuk University), Sun Kun Oh (Institute for Advanced Physics, Department
  of Physics, Kon-Kuk University) and Bjong Ro Kim (III. Phys. Inst. A, RWTH
  Aachen)","Absolute Upper Bound on the 1-loop Corrected mass of $S_1$ in the NMSSM","12 pages(Latex), 6 Postscript figures are included Figure","J.Phys.G22:1575-1584,1996","10.1088/0954-3899/22/11/005","GAUGE-1","hep-ph",,"  We examine in detail radiative corrections to the lightest scalar Higgs boson
mass due to the top quark and scalar quark loops in the next-to-minimal
supersymmetric standard model (NMSSM). We take into account the nondegenerate
state for the top scalar quark masses. In our analysis, the mass matrix of the
top scalar quark contains the gauge terms. Therefore our formula for the scalar
Higgs boson mass matrix at the 1-loop level includes the contribution of the
gauge sector as well as the effect of the top scalar quark mass splitting. Thus
we calculate the upper bound on the lightest scalar Higgs boson mass using our
formula. We find that the absolute upper bound on the 1-loop corrected mass of
the lightest scalar Higgs boson is about 156 GeV.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 09:38:32 GMT""}]","2008-11-26"
"hep-ph/9604244","J. W. F. Valle","J. C. Romao (IST, Lisbon), F. de Campos (IFT, Unesp, Brazil), M. A.
  Garcia-Jareno, M. B. Magro and J. W. F. Valle (IFIC, U. Valencia)","LEP Sensitivities to Spontaneous R-Parity Violating Signals","28 pages, LaTex file + 6 figures, all compressed by uufiles, also
  available from anonymous ftp at
  ftp://neutrinos.uv.es/pub/papers/ps/rpv_lep1.uu","Nucl.Phys.B482:3-23,1996","10.1016/S0550-3213(96)00494-4","FTUV/96-06; IFIC/96-07","hep-ph",,"  We illustrate the sensitivities of LEP experiments to leptonic signals
associated to models where supersymmetry (SUSY) is realized with spontaneous
breaking of R-parity. We focus on missing transverse momentum plus acoplanar
muon events arising from lightest neutralino single production $\chi \nu$ as
well as pair production $\chi \chi$, followed by $\chi$ decays, where $\chi$
denotes the lightest neutralino. We show that the integrated luminosity
achieved at LEP already starts probing the basic parameters of the theory. We
discuss the significance of these constraints for the simplest spontaneous
R-parity breaking models and their relevance for future searches of SUSY
particles.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 10:12:48 GMT""}]","2009-09-17"
"hep-ph/9604245","Vladimir Nechitailo","I.M. Dremin ( P.N.Lebedev Physical Institute, Moscow, Russia )","Multiplicity Moments in QCD and Experiment","6 pages, plain LaTeX, 2 figures in TeX format",,,"FIAN/TD-7/96","hep-ph",,"  QCD predictions for moments of parton multiplicity distributions are
discussed. The next-to-leading terms and conservation law give rise to the
peculiar oscillating shape of some ratio of the moments. The similar shape has
been found by moment analysis of hadron multiplicities. Experimental data,
theoretical Monte Carlo models and phenomenological fits have been used for ee,
hh, hA, AA reactions at high energies.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 11:30:53 GMT""}]","2007-05-23"
"hep-ph/9604246","Vladimir Nechitailo","I.M.Dremin ( P.N.Lebedev Physical Institute, Moscow, Russia )","High E$_T$ jets and double scattering","6 pages, plain LaTeX","JETP Lett. 63 (1996) 709-712","10.1134/1.566969","FIAN/TD-6/96","hep-ph",,"  The recently found excess of high E$_T$ jets over current QCD predictions is
attributed to gluon radiation at double scattering process inside a nucleon.
The order of magnitude estimate of the cross section fits experimental findings
rather well. The specific features of the process are discussed. Various
similar hadronic effects related to the short radiation length are described.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 11:33:04 GMT""}]","2009-10-28"
"hep-ph/9604247","Vladimir Nechitailo","A.Capella(1), I.M.Dremin(2), V.A.Nechitailo(2), J.Tran Thanh Van(1) (
  (1) Laboratoire de Physique Theorique et Hautes Energies, Universite
  Paris-Sud, Orsay, France (2) P.N.Lebedev Physical Institute, Moscow, Russia )","Moment Analysis of Multiplicity Distributions","12 pages, plain LaTeX, 9 figures (not included), 1 table, submitted
  to Zs.Phys.C","Z.Phys. C75 (1997) 89-94",,,"hep-ph",,"  Moment analysis of global multiplicity distribution previously done for
$e^{+}e^{-}$ and $hh$ processes is applied to $hA$ and $AA$ collisions. The
oscillations of cumulants as functions of their rank are found in all the
cases. Some phenomenological approaches and quark-gluon string models are
confronted to experimental data. It has been shown that the analysis is a
powerful tool for revealing the tiny features of the distributions, and its
qualitative results in various processes are rather stable for different
multiplicity cut-offs determined by experimental (or Monte-Carlo) statistics.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 11:27:11 GMT""}]","2007-05-23"
"hep-ph/9604248",,"E.Celeghini, S.De Martino, S.De Siena, M.Rasetti and G.Vitiello","Quantum groups, coherent states, squeezing and lattice quantum mechanics",,"Annals of Phys. (N.Y.) 241 (1995) 50",,,"hep-ph",,"  By resorting to the Fock--Bargmann representation, we incorporate the quantum
Weyl--Heisenberg algebra, $q$-WH, into the theory of entire analytic functions.
The $q$--WH algebra operators are realized in terms of finite difference
operators in the $z$ plane. In order to exhibit the relevance of our study,
several applications to different cases of physical interest are discussed:
squeezed states and the relation between coherent states and theta functions on
one side, lattice quantum mechanics and Bloch functions on the other, are shown
to find a deeper mathematical understanding in terms of $q$-WH. The r\^ole
played by the finite difference operators and the relevance of the lattice
structure in the completeness of the coherent states system suggest that the
quantization of the WH algebra is an essential tool in the physics of
discretized (periodic) systems.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 15:08:48 GMT""}]","2007-05-23"
"hep-ph/9604249","Colin Froggatt","A. T. Davies, C. D. Froggatt, G. Jenkins and R. G. Moorhouse","Electroweak Baryogenesis in a Supersymmetric Model","2 page LaTeX file with embedded style file; to appear in the
  Proceedings of the International Europhysics Conference on High Energy
  Physics, Brussels, Belgium, 27 July - 2 August 1995",,,"GUTPA/95/10/2","hep-ph",,"  In the electroweak phase transition there arises the problem of baryon number
washout by sphaleron transitions, which can be avoided if the phase transition
is strongly enough first order. The phase transition in the Standard Model or
in the Minimal Supersymmetric Standard Model seems to be too weak to suppress
the sphaleron transitions sufficiently. We report here on an investigation of
the Next to Minimal Supersymmetric Standard Model, NMSSM, which contains a
Higgs singlet N in addition to the two Higgs doublets of the minimal SUSY
model. This next to minimal model has the helpful new feature that the Higgs
potential contains a tree level trilinear field term. We consider the most
general form of the Higgs potential without imposing a discrete symmetry; in
particular we allow the presence of a mu-term in the superpotential. We find
that electroweak baryon preservation is compatible with the NMSSM.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 14:58:58 GMT""}]","2007-05-23"
"hep-th/9604016","Wang Mei","Heng Fan, Bo-yu Hou, Kang-jie Shi, Zhong-xia Yang","Algebraic Bethe ansatz for eight vertex model with general open-boundary
  conditions","Latex document, several figures, 85KB","Nucl.Phys.B478:723-757,1996","10.1016/0550-3213(96)00398-7",,"hep-th",,"  By using the intertwiner and face-vertex correpondence relation, we obtain
the Bethe ansatz equation of eight vertex model with open boundary condtitions
in the framework of algebraic Bethe ansatz method. The open boundary condition
under consideration is the general solution of the reflection equation for
eight vertex model with only one restriction on the free parameters of the
right side reflecting boundary matrix. The reflecting boundary matrices used in
this paper thus may have off-diagonal elements. Our construction can also be
used for the Bethe ansatz of SOS model with reflection boundaries.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 22:45:11 GMT""}]","2010-01-15"
"hep-th/9604021","Reinhard Oehme","Reinhard Oehme and Wentao Xu","Asymptotic Limits and Sum Rules for the Quark Propagator","15 pages, Latex","Phys.Lett. B384 (1996) 269-276","10.1016/0370-2693(96)00822-2","EFI 96-09","hep-th hep-ph",,"  For the structure functions of the quark propagator, the asymptotic behavior
is obtained for general, linear, covariant gauges, and in all directions of the
complex $k^2$-plane. Asymptotic freedom is assumed. Corresponding previous
results for the gauge field propagator are important in the derivation. Except
for coefficients, the leading asymptotic terms are determined by one-loop or by
two-loop information, and are gauge independent. Various sum rules are derived.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 19:09:02 GMT""}]","2009-10-30"
"hep-th/9604022","Kenji Mohri","Kenji Mohri (KEK)","Residues and Topological Yang-Mills Theory in Two Dimensions","23 pages, some references added, to appear in Rev.Math.Phys","Rev.Math.Phys. 9 (1997) 59-76","10.1142/S0129055X9700004X","KEK-TH-475","hep-th",,"  A residue formula which evaluates any correlation function of topological
$SU_n$ Yang-Mills theory with arbitrary magnetic flux insertion in two
dimensions are obtained. Deformations of the system by two form operators are
investigated in some detail. The method of the diagonalization of a matrix
valued field turns out to be useful to compute various physical quantities. As
an application we find the operator that contracts a handle of a Riemann
surface and a genus recursion relation.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 03:28:48 GMT""},{""version"":""v2"",""created"":""Mon, 26 Aug 1996 07:03:05 GMT""}]","2009-10-30"
"hep-th/9604023","Hiroshi Itoyama","H. Itoyama and H. Takashino","Schwinger-Dyson and Large $N_{c}$ Loop Equation for Supersymmetric
  Yang-Mills Theory","9 pages, Latex","Phys.Lett. B381 (1996) 163-168","10.1016/0370-2693(96)00579-5","OU-HET-236","hep-th",,"  We derive an infinite sequence of Schwinger-Dyson equations for $N=1$
supersymmetric Yang-Mills theory. The fundamental and the only variable
employed is the Wilson-loop geometrically represented in $N=1$ superspace: it
organizes an infinite number of supersymmetrizing insertions into the ordinary
Wilson-loop as a single entity. In the large $N_{c}$ limit, our equation
becomes a closed loop equation for the one-point function of the Wilson-loop
average.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 04:36:50 GMT""}]","2009-10-30"
"hep-th/9604025","Friedeman","Friedemann Brandt","Local BRST cohomology and covariance","33 pages, latex 2.09, no figures, introduction extended + minor
  modifications; final version, to appear in Commun. Math. Phys","Commun.Math.Phys. 190 (1997) 459-489","10.1007/s002200050248","KUL-TF-96/8","hep-th alg-geom gr-qc math.AG",,"  The paper provides a framework for a systematic analysis of the local BRST
cohomology in a large class of gauge theories. The approach is based on the
cohomology of s+d in the jet space of fields and antifields, s and d being the
BRST operator and exterior derivative respectively. It relates the BRST
cohomology to an underlying gauge covariant algebra and reduces its computation
to a compactly formulated problem involving only suitably defined generalized
connections and tensor fields. The latter are shown to provide the building
blocks of physically relevant quantities such as gauge invariant actions,
Noether currents and gauge anomalies, as well as of the equations of motion.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 14:08:31 GMT""},{""version"":""v2"",""created"":""Wed, 3 Sep 1997 12:05:39 GMT""}]","2009-10-30"
"math/9604207","Alessandra Carbone","Alessandra Carbone","Some Combinatorics behind Proofs",,,,"Logic E-prints April 04, 1996","math.LO",,"  We try to bring to light some combinatorial structure underlying formal
proofs in logic. We do this through the study of the Craig Interpolation
Theorem which is properly a statement about the structure of formal
derivations. We show that there is a generalization of the interpolation
theorem to much more naive structures about sets, and then we show how both
classical and intuitionistic versions of the statement follow by interpreting
properly the set-theoretic language.
  The theorem we present is a geometrical formulation of the well-known logical
statement and gives sufficient conditions for a system of combinatorial nature
to enjoy interpolation. Its objects might be graphs just as well as formulas or
surfaces.
  The combinatorial mappings we use correspond whenever interpreted in a
logical language to the notion of `logical flow graph' (i.e. a graph tracing
the flow of occurrences of formulas in a proof; this notion has been introduced
in (Buss, 1991). The idea of using the flow of occurrences to study the
structure of proofs was already present in (Girard, 1987) with the concept of
`proof net'.)
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 00:00:00 GMT""}]","2016-09-06"
"math/9604221","Gregery Buzzard","Gregery T. Buzzard, Franc Forstneric","A Carleman type theorem for proper holomorphic embeddings",,,"10.1007/BF02559596","MSRI 1996-021","math.CV",,"  In 1927, Carleman showed that a continuous, complex-valued function on the
real line can be approximated in the Whitney topology by an entire function
restricted to the real line. In this paper, we prove a similar result for
proper holomorphic embeddings. Namely, we show that a proper $\cC^r$ embedding
of the real line into $\C^n$ can be approximated in the strong $\cC^r$ topology
by a proper holomorphic embedding of $\C$ into $\C^n$.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 00:00:00 GMT""}]","2016-09-06"
"nucl-th/9604006","Debora","S.S. Avancini, F.F. de Souza Cruz, J.R. Marinelli, D.P. Menezes and
  M.M. Watanabe de Moraes","q- Deformed Boson Expansions","8 pages plus 2 figures (available upon request)","J.Phys.A29:5559-5564,1996","10.1088/0305-4470/29/17/026",,"nucl-th",,"  A deformed boson mapping of the Marumori type is derived for an underlying
$su(2)$ algebra. As an example, we bosonize a pairing hamiltonian in a two
level space, for which an exact treatment is possible. Comparisons are then
made between the exact result, our q- deformed boson expansion and the usual
non - deformed expansion.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 20:09:35 GMT""}]","2009-09-25"
"nucl-th/9604007","Lee SukJoon","Suk-Joon Lee","Quantum Correlations in Nuclear Mean Field Theory Through Source Terms","8 pages in REVTEX. No figure","J. Korean Phys. Soc. 32 (1998) 612-616",,,"nucl-th hep-ph",,"  Starting from full quantum field theory, various mean field approaches are
derived systematically. With a full consideration of external source
dependence, the stationary phase approximation of an action gives a nuclear
mean field theory which includes quantum correlation effects (such as
particle-hole or ladder diagram) in a simpler way than the
Brueckner-Hartree-Fock approach. Implementing further approximation, the result
can be reduced to Hartree-Fock or Hartree approximation. The role of the source
dependence in a mean field theory is examined.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 11:36:28 GMT""}]","2007-05-23"
