"acc-phys/9604004","Gayane A. Amatuni","A. Amatuni","Approximate Analytical Description of the Underdense Short Plasma Lens","18 pages,latex","Conf.Proc.C970512:690-692,1997",,,"acc-phys physics.acc-ph",,"  The perturbative approach for describing the underdense
plasma--ultrarelativistic electron bunch system is developed, using the ratio
$\frac{n_0}{n_b}$ as a small parameter ($n_b$--bunch,$n_0$--plasma electron
densities). Focusing of the electron bunch emerged in the first approximation
of the perturbative procedure as a result of the plasma electrons
redistribution. Focusing gradient and strength for ultrarelativistic, flat,
uniform and short bunch are obtained and compared with the previous results.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 11:19:19 GMT""}]","2008-11-26"
"hep-ph/9604325","David Brahm","David E. Brahm (CMU)","Z -> b b-bar Excess from R-Parity Violation","4 pages, LaTeX, 1 figure (using epsf). Running of lambda added, typos
  fixed",,,"CMU-HEP96-05","hep-ph",,"  The $\Zbb$ excess, $\Zcc$ deficit, and low left-right asymmetry $A_b$ may be
explained by a single term $\lam C^c B^c B^{\prime c}$ in the superpotential.
This operator violates R-parity and requires a sequential 4th generation.
1-loop diagrams involving squark exchange interfere with the tree-level
processes to give an excess of right-handed $b$ quarks, and a deficit of
right-handed $c$ quarks. Though the coupling must be large ($\lam\approx 2$ or
$3$), the model is phenomenologically and cosmologically acceptable.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 03:28:43 GMT""},{""version"":""v2"",""created"":""Thu, 22 Aug 1996 19:43:59 GMT""}]","2008-02-03"
"hep-ph/9604333","Adrian Ghinculov","Adrian Ghinculov","On the evaluation of three--loop scalar integrals in the massive case",,"Phys.Lett. B385 (1996) 279-283","10.1016/0370-2693(96)00871-4","Freiburg-THEP 96/6","hep-ph",,"  I describe a method to calculate a class of three-loop selfenergy diagrams
for arbitrary internal masses and external momentum. This method combines
analytical results and numerical integration, and is suitable for
implementation in a computer program to produce fast and accurate results. For
the class of Feynman diagrams considered in this paper this method leads to a
two-fold integral which needs to be evaluated numerically. Results are given
for a range of masses and external momentum.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 16:36:40 GMT""}]","2009-10-28"
"hep-ph/9604334","Ed Stoeffhaas","V. Barger, M.S. Berger, J.F. Gunion, and T. Han","Particle Physics Opportunities at $\mu^+\mu^-$ Colliders","19 pages, Latex, uses psfig.tex to place 16 postscript figures. Based
  on talks given at the Symposium on Physics Potential and Development of
  $\mu^+\mu^-$ Colliders, San Francisco, California, December 13-15, 1995.
  Compressed postscript version of paper with figures available at
  http://phenom.physics.wisc.edu/pub/preprints/1996/madph-96-939.ps.Z or at
  ftp://phenom.physics.wisc.edu/pub/preprints/1996/madph-96-939.ps.Z","Nucl.Phys.Proc.Suppl.51A:13-31,1996",,"MADPH-96-939, UCD-96-12","hep-ph hep-ex",,"  We discuss the capabilities of future muon colliders to resolve important
particle physics questions. A collider with c.m. energy $\sqrt s = 100$ to
500~GeV offers the unique opportunity to produce Higgs bosons in the
$s$-channel and thereby measure the Higgs masses, total widths and several
partial widths to high precision. At this same machine, $t\bar t$ and $W^+W^-$
threshold studies would yield superior precision in the determination of $m_t$
and $m_W$. A multi-TeV $\mu^+\mu^-$ collider would open up the realm of physics
above the 1 TeV scale, allowing, for example, copious production of
supersymmetric particles up to the highest anticipated masses or a detailed
study of the strongly-interacting scenario of electroweak symmetry breaking.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 17:12:42 GMT""}]","2009-09-15"
"hep-ph/9604335",,"M.B. Voloshin","Spectator effects in semileptonic decay of charmed baryons","8 pages in LaTeX. Final journal version. To appear in Phys. Lett. B","Phys.Lett. B385 (1996) 369-374","10.1016/0370-2693(96)00837-4","TPI-MINN-96/4-T, UMN-TH-1425-96","hep-ph",,"  It is shown that the absolute rate of the semileptonic decays of the $\Xi_c$
baryons can be as much as two times higher than the semileptonic decay rate of
$\Lambda_c$ due to the Pauli interference of the strange quark. This
interference effect is still larger in the semileptonic decay rate of
$\Omega_c$. An experimental measurement of the difference of these rates would
thus provide an important piece of information on the spectator effects in
decays of hadrons containing a heavy quark.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 19:38:12 GMT""},{""version"":""v2"",""created"":""Fri, 2 Aug 1996 18:27:20 GMT""}]","2009-10-28"
"hep-ph/9604336","Sechul Oh","N.G. Deshpande, Xiao-Gang He and Sechul Oh","Remarks on a Technique of Measuring CP phase $\alpha$","9 pages (Latex), 1 PS fig (uuencoded, epsf.tex)","Phys.Lett.B384:283-287,1996","10.1016/0370-2693(96)00515-1","OITS-598 (Phys. Lett. B in press)","hep-ph",,"  We present a method to measure the CKM phase $\alpha$ and the tree and
penguin (strong and electroweak) amplitudes in $B \rightarrow \pi \pi$ decays,
based on isospin consideration and the weak assumption that all tree amplitudes
have a common strong phase and all penguin amplitudes have a different common
phase. The method needs only the time-independent measurements of the relevant
decay rates in $B \rightarrow \pi \pi$. We also propose a method to
experimentally examine the validity of the assumption that all penguin
amplitudes have the same strong phases, and to extract detailed informations
about the hadronic matrix elements.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 19:48:55 GMT""}]","2010-11-23"
"hep-ph/9604337","Chi-Sing Lam","C.S. Lam (McGill University) and K.F. Liu (University of Kentucky)","A Multiple Commutator Formula for the Sum of Feynman Diagrams","uu-encoded latex file with two postscript figures","Nucl.Phys. B483 (1997) 514-530","10.1016/S0550-3213(96)00548-2","McGill/96-12","hep-ph",,"  In the presence of a large parameter, such as mass or energy, leading
behavior of individual Feynman diagrams often get cancelled in the sum. This is
known to happen in large-$N_c$ QCD in the presence of a baryon, and also in the
case of high-energy electron-electron as well as quark-quark scatterings. We
present an exact combinatorial formula, involving multiple commutators of the
vertices, which can be used to compute such cancellations. It is a non-abelian
generalization of the eikonal formula, and will be applied in subsequent
publications to study the consistency of large-$N_c$ QCD involving baryons, as
well as high-energy quark-quark scattering in ordinary QCD.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 21:31:29 GMT""}]","2009-10-28"
"hep-ph/9604338","G. Wu","Ken Kiers, John N. Ng and Guohong Wu","Supersymmetric Signatures at an $e$$\gamma$ Collider","14 pages, LaTex file, 3 figures","Phys.Lett. B381 (1996) 177-184","10.1016/0370-2693(96)00614-4","TRI-PP-96-9","hep-ph",,"  High energy electron-photon colliders provide unique opportunities for
probing physics beyond the standard model. We have studied the experimental
signatures for two supersymmetric scenarios, with the lightest supersymmetric
particle (LSP) being either the lightest neutralino or the gravitino. In the
``neutralino LSP'' scenario favored by the minimal supersymmetric standard
model (MSSM), it is found that some basic parameters of the model, $\mu$,
$\tan\beta$, $M_1$ and $M_2$, may be uniquely determined from the outgoing
electron energy spectrum without assuming high scale unification of the masses
or couplings. In the ``gravitino LSP'' scenario which occurs naturally in
models of low energy dynamical supersymmetry breaking, it is possible to have
background-free signatures if the next-to-lightest supersymmetric particle
(NLSP) has a long decay length. In cases that the NLSP decays quickly, ways to
distinguish among the experimental signatures of the two scenarios and of the
standard model (SM) background are discussed.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 22:37:20 GMT""}]","2009-10-28"
"hep-ph/9604339",,"Michael E. Peskin","The Experimental Investigation of Supersymmetry Breaking","33 pages, latex + 16 figures","Prog.Theor.Phys.Suppl. 123 (1996) 507-537","10.1143/PTPS.123.507","SLAC-PUB-7133","hep-ph hep-th",,"  If Nature is supersymmetric at the weak interaction scale, what can we hope
to learn from experiments on supersymmetric particles? The most mysterious
aspect of phenomenological supersymmetry is the mechanism of spontaneous
supersymmetry breaking. This mechanism ties the observable pattern of
supersymmetric particle masses to aspects of the underlying unified theory at
very small distance scales. In this article, I will discuss a systematic
experimental program to determine the mechanism of supersymmetry breaking. Both
$pp$ and $e^+e^-$ colliders of the next generation play an essential role.
[Lecture presented at the 1995 Yukawa International Symposium (YKIS`95), to
appear in the proceedings.]
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 00:34:27 GMT""}]","2009-10-28"
"hep-ph/9604340","Dam Son","D.T. Son","Reheating and thermalization in a simple scalar model","Some changes in Introduction and Discussion, comparison with the
  Hartree--Fock results added. 37 pages, 2 postscript figures attached","Phys.Rev. D54 (1996) 3745-3761","10.1103/PhysRevD.54.3745","UW/PT-96-05","hep-ph",,"  We consider a simple model for the Universe reheating, which consists of a
single self--interacting scalar field in Minkowskian space--time. Making use of
the existence of an additional small parameter proportional to the amplitude of
the initial spatially homogeneous field oscillations, we show that the behavior
of the field can be found reliably. We describe the evolution of the system
from the homogeneous oscillations to the moment when thermalization is
completed. We compare our results with the Hartree--Fock approximation and
argue that some properties found for this model may be the common features of
realistic theories.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 01:50:30 GMT""},{""version"":""v2"",""created"":""Wed, 24 Apr 1996 02:10:50 GMT""}]","2008-02-03"
"hep-ph/9604341","Stuart Samuel","Stuart Samuel (City College of New York)","Bimodal Coherence in Dense Self-Interacting Neutrino Gases","21 pages in Latex, 11 figures packaged in one Postscript file.
  Figures also obtainable as 20 gif files at
  http://www.sci.ccny.cuny.edu/~ssamuel/bimodalfigs.html Revision on 4/19/96
  was to pack the figures more sensibly. This paper is to appear in a May issue
  of Phys. Rev. D","Phys.Rev.D53:5382-5393,1996","10.1103/PhysRevD.53.5382","MPI-PhT/95-57, CCNY-HEP-95/5 (July, 1995)","hep-ph astro-ph hep-th",,"  Analytical solutions are obtained to the nonlinear equations describing
neutrino oscillations when explicit neutrino-antineutrino asymmetries are
present. Such a system occurs in the early Universe if neutrinos have a
non-zero chemical potential. Solutions to the equations lead to a new type of
coherent behavior governed by two modes. These bimodal solutions provide new
insights into dense neutrino gases and into neutrino oscillations in the early
Universe, thereby allowing one to surmise the flavor behavior of neutrinos with
a non-zero chemical potential.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 20:24:39 GMT""},{""version"":""v2"",""created"":""Fri, 19 Apr 1996 15:15:51 GMT""}]","2011-07-18"
"hep-ph/9604343","Kyriakos Tamvakis","K. Tamvakis (CERN)","GUTs with Exclusively Delta-B=1, Delta-L=0 R-Parity Violation","8 pages, one figure","Phys.Lett. B382 (1996) 251-256","10.1016/0370-2693(96)00679-X","CERN-TH/96-96","hep-ph",,"  We study $R$-parity violation in the framework of GUTs, focusing on the case
that $R$-parity is broken exclusively through $\Delta B=1$, $\Delta L=0$
effective interactions. We construct two such models, an $SU(5)$
  and an $SU(5)\times U(1)_{X}$ model, in which $R$-parity breaking is induced
through interactions with extra supermassive fields. The presence of only the
Baryon Number violating operators ${d^c}{d^c}{u^c}$ requires an asymmetry
between quarks and leptons, which is achieved either by virtue of the Higgs
representations used or by modifications in the matter multiplets. The latter
possibility is realized in the second of the above models, where the
left-handed leptons have been removed from the representation in which they
normaly cohabit with the right-handed up quarks and enter as a combination of
the isodoublets in $(\bf {{\overline{5}},-3})$ and $(\bf {5,-2})$
representations. In both models the particle content below the GUT scale is
unaffected by the introduced $R$-parity breaking sector.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 09:57:52 GMT""}]","2016-09-01"
"hep-ph/9604344","Passarino Giampiero","Giampiero Passarino (Univ., INFN Torino)","LEP1 - LEP2: Theory versus Experiment","8 pages, 10 Postscript figures, Talk given at PADLEP 96, Padova,
  April 9-11 1996 and at the One Day Meeting on Open Problems in High Energy
  Physics, Frascati, April 10, 1996",,,,"hep-ph",,"  The status of the standard model is briefly reviewed in the light of the most
recent set of experimental data, with particular emphasis to the limits on the
Higgs boson mass. The search for a light Higgs boson at LEP~2 is also briefly
analyzed.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 08:59:34 GMT""}]","2007-05-23"
"hep-ph/9604345","Rachel Lumpkin","B. Badelek (Inst. of Exp. Physics, Warsaw U., Poland), J. Bartels (II
  Inst. fur Theor. Physik, U. Hamburg, Germany), N. Brook (Dept. of Physics, U.
  of Glasgow, Scotland), A. De Roeck (DESY, Hamburg, Germany), T. Gehrmann
  (Dept. of Physics, U. of Durham, England), M. Lancaster (Dept. of Physics, U.
  of Oxford, England), A.D. Martin (Dept. of Physics, U. of Durham, England),
  A. Vogt (DESY, Hamburg, Germany)","Working Group Report on the Structure of the Proton","45 pages, latex file using epsfig and ioplppt macros. Figures
  included, but full resolution figure files and postscript file of the whole
  paper are available via anonymous ftp at
  ftp://cpt1.dur.ac.uk/pub/preprints/dtp96/dtp9620","J.Phys.G22:815-870,1996","10.1088/0954-3899/22/6/017",,"hep-ph",,"  We summarize the developments on the structure of the proton that were
studied at the Workshop on ""HERA Physics"" that was held in Durham in September
1995. We survey the latest structure function data; we overview the QCD
interpretations of the measurements of the structure functions and of final
state processes; we discuss charm production and the spin properties of the
proton.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 10:14:45 GMT""}]","2010-03-25"
"hep-ph/9604346",,"Piotr Zenczykowski","Dispersive contribution to CP violation in hyperon decays","10 pages, LaTeX","Phys.Rev. D55 (1997) 1688-1690","10.1103/PhysRevD.55.1688","1723/PH IFJ Krakow","hep-ph",,"  Within the standard model, CP-violating asymmetries A(\Lambda^0_-) and
A(\Xi^-_-) have been estimated in short-distance calculations to occur at the
level of a few times 10^{-5}. We show here that in this model the dispersive
contribution tends to give asymmetries of similar size.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 13:29:00 GMT""}]","2009-10-28"
"hep-ph/9604349",,"S. Groote, J.G. K\""orner and O.I. Yakovlev","Two-loop Anomalous Dimensions of Heavy Baryon Currents in Heavy Quark
  Effective Theory","21 pages, LaTeX, 2 figures are included in PostScript format","Phys.Rev. D54 (1996) 3447-3456","10.1103/PhysRevD.54.3447","MZ-TH/96-06, BudkerINP/96-21","hep-ph",,"  We present results on the two-loop anomalous dimensions of the heavy baryon
HQET currents $J=(q^TC\Gamma\tau q)\Gamma'Q$ with arbitrary Dirac matrices
$\Gamma$ and $\Gamma'$. From our general result we obtain the two-loop
anomalous dimensions for currents with quantum numbers of the ground state
heavy baryons $\Lambda_Q$, $\Sigma_Q$ and $\Sigma_Q^*$. As a by-product of our
calculation and as an additional check we rederive the known two-loop anomalous
dimensions of mesonic scalar, pseudoscalar, vector, axial vector and tensor
currents $(J=\bar q\Gamma q)$ in massless QCD as well as in HQET.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 09:27:23 GMT""}]","2009-10-28"
"hep-th/9604086","Elisha Atzmon","E. Atzmon","Invariant Kinematics on a One-Dimensional Lattice in Noncommutative
  Geometry","17 pages, latex, epsf, amssymbols, 2 figures. Final version to be
  published in IJMPA","Int.J.Mod.Phys. A13 (1998) 1159-1168","10.1142/S0217751X98000524","TAUP-2335-96","hep-th",,"  In a one-dimensional lattice, the induced metric (from a noncommutative
geometry calculation) breaks translation invariance. This leads to some
inconsistencies among different spectator frames, in the observation of the
hoppings of a test particle between lattice sites. To resolve the
inconsistencies between the different spectator frames, we replace the test
particle's bare mass by an effective locally dependent mass. This effective
mass also depends on the lattice constant - i.e. it is a scale dependent
variable (a ""running"" mass). We also develop an alternative approach based on a
compensating potential. The induced potential between a spectator frame and the
test particle is attractive on the average. We then show that the entire
formalism holds for a quantum particle represented by a wave function, just as
it applies to the mechanics of a classical point particle.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 16:53:01 GMT""},{""version"":""v2"",""created"":""Fri, 4 Jul 1997 07:29:58 GMT""}]","2009-10-30"
"hep-th/9604088",,"Liviu T\u{a}taru and Ion V.Vancea (Department of Theoretical Physics,
  University of Cluj-Napoca, Romania)","BRST Cohomology of the Superstring in Super-Beltrami Parametrization","14 pages. New references have been added","Mod.Phys.Lett.A12:2551-2566,1997","10.1142/S0217732397002685",,"hep-th",,"  A method for the calculation of the BRST cohomology, recently developed for
2D gravity theory and the bosonic string in the Beltrami parametrization,is
generalised to the superstring theories quantized in super-Beltrami
parametrization.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 23:28:26 GMT""},{""version"":""v2"",""created"":""Thu, 25 Apr 1996 23:45:58 GMT""}]","2011-04-12"
"hep-th/9604089","Igor Klebanov","I.R. Klebanov and A.A. Tseytlin","Entropy of Near-Extremal Black p-branes","16 pages, harvmac; improved discussion of M-theory charge
  quantization (version to appear in Nucl. Phys. B)","Nucl.Phys.B475:164-178,1996","10.1016/0550-3213(96)00295-7","PUPT-1613, Imperial/TP/95-96/39","hep-th",,"  We carry out a thorough survey of entropy for a large class of $p$-branes in
various dimensions. We find that the Bekenstein-Hawking entropy may be given a
simple world volume interpretation only for the non-dilatonic $p$-branes, those
with the dilaton constant throughout spacetime. The entropy of extremal
non-dilatonic $p$-branes is non-vanishing only for the solutions preserving 1/8
of the original supersymmetries. Upon toroidal compactification these reduce to
dyonic black holes in 4 and 5 dimensions. For the self-dual string in 6
dimensions, which preserves 1/4 of the original supersymmetries, the
near-extremal entropy is found to agree with a world sheet calculation, in
support of the existing literature. The remaining 3 interesting cases preserve
1/2 of the original supersymmetries. These are the self-dual 3-brane in 10
dimensions, and the 2- and 5-branes in 11 dimensions. For all of them the
scaling of the near-extremal Bekenstein-Hawking entropy with the Hawking
temperature is in agreement with a statistical description in terms of free
massless fields on the world volume.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 20:55:22 GMT""},{""version"":""v2"",""created"":""Mon, 22 Apr 1996 20:25:42 GMT""},{""version"":""v3"",""created"":""Wed, 29 May 1996 20:19:27 GMT""},{""version"":""v4"",""created"":""Fri, 31 May 1996 13:13:16 GMT""}]","2009-09-17"
"hep-th/9604090","Harald Soleng","Mirjam Cvetic and Harald H. Soleng","Supergravity Domain Walls","LaTeX2e using amtex, amssymb, epsfig, subfigure, and afterpage; 88
  pages, 25 PostScript figures, review","Phys.Rept.282:159-223,1997","10.1016/S0370-1573(96)00035-X","IASSNS-HEP-96/25, CERN-TH/96-97","hep-th gr-qc hep-ph",,"  We review the status of domain walls in $N=1$ supergravity theories for both
the vacuum domain walls as well as dilatonic domain walls. We concentrate on a
systematic analysis of the nature of the space-time in such domain wall
backgrounds and the special role that supersymmetry is playing in determining
the nature of such configurations.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 19:56:25 GMT""}]","2008-11-26"
"hep-th/9604091","Michael Gutperle","Michael B. Green and Michael Gutperle (DAMTP, Cambridge, U.K.)","Light-cone supersymmetry and D-branes","31 pages, latex","Nucl.Phys. B476 (1996) 484-514","10.1016/0550-3213(96)00352-5","DAMTP/96-34","hep-th",,"  $D$-brane boundary states for type II superstrings are constructed by
enforcing the conditions that preserve half of the space-time supersymmetry. A
light-cone coordinate frame is used where time is identified as one of the
coordinates transverse to the brane's (euclidean) world-volume so that the
$p$-brane is treated as a $(p+1)$-instanton. The boundary states have the
superspace interpretation of top or bottom states in a light-cone string
superfield. The presence of a non-trivial open-string boundary condensate give
rise to the familiar $D$-brane source terms that determine the (linearized)
Born--Infeld-like effective actions for $p$-branes and the (linearized)
equations of motion for the massless fields implied by the usual $p$-brane
ansatze. The `energy' due to closed string exchange between separate $D$-branes
is calculated (to lowest order in the string coupling) in situations with pairs
of parallel, intersecting as well as orthogonal branes -- in which case the
unbroken supersymmetry may be reduced. Configurations of more than two branes
are also considered in situations in which the supersymmetry is reduced to
$1/8$ or $1/16$ of the full amount. The Ward identities resulting from the
non-linearly realized broken space-time supersymmetry in the presence of a
$D$-brane are also discussed.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 20:36:00 GMT""}]","2009-10-30"
"hep-th/9604092",,"V. Karimipour","""A Solvable Hamiltonian System"" Integrability and Action-Angle Variables","12 pages, Latex, No Figures","J.Math.Phys. 38 (1997) 1577-1582","10.1063/1.531907","IPM preprint 96","hep-th",,"  We prove that the dynamical system charaterized by the Hamiltonian $ H =
\lambda N \sum_{j}^{N} p_j + \mu \sum_{j,k}^{N} {{(p_j p_k)}^{1\over 2}} \{ cos
[ \nu ( q_j - q_k)] \} $ proposed and studied by Calogero [1,2] is equivalent
to a system of {\it non-interacting} harmonic oscillators. We find the explicit
form of the conserved currents which are in involution. We also find the
action-angle variables and solve the initial value problem in simple form.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 06:13:07 GMT""}]","2009-10-30"
"hep-th/9604093","Dr. J. G. Zhou","J.-G. Zhou, Y.-G. Miao, J.-Q.Liang, H.J.W.Mueller-Kirsten, Zhenjiu
  Zhang","Quantisation of 2D-gravity with Weyl and area-preserving diffeomorphism
  invariances","14 pages, Latex file","Z.Phys. C73 (1997) 563-567",,,"hep-th",,"  The constraint structure of 2D-gravity with the Weyl and area-preserving
diffeomorphism invariances is analysed in the ADM formulation. It is found that
when the area-preserving diffeomorphism constraints are kept, the usual
conformal gauge does not exist, whereas there is the possibility to choose the
so-called ``quasi-light-cone'' gauge, in which besides the area-preserving
diffeomorphism invariance, the reduced Lagrangian also possesses the SL(2,R)
residual symmetry. The string-like approach is applied to quantise this model,
but a fictitious non-zero central charge in the Virasoro algebra appears. When
a set of gauge-independent SL(2,R) current-like fields is introduced instead of
the string-like variables, a consistent quantum theory is obtained.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 10:08:59 GMT""}]","2019-08-17"
"hep-th/9604094","Krzysztof Gawedzki","Fernando Falceto and Krzysztof Gawedzki","Unitarity of the Knizhnik-Zamolodchikov-Bernard connection and the Bethe
  Ansatz for the elliptic Hitchin systems","24 pages, latex file","Commun.Math.Phys. 183 (1997) 267-290","10.1007/BF02506407",,"hep-th",,"  We work out finite-dimensional integral formulae for the scalar product of
genus one states of the group $G$ Chern-Simons theory with insertions of Wilson
lines. Assuming convergence of the integrals, we show that unitarity of the
elliptic Knizhnik-Zamolodchikov-Bernard connection with respect to the scalar
product of CS states is closely related to the Bethe Ansatz for the commuting
Hamiltonians building up the connection and quantizing the quadratic
Hamiltonians of the elliptic Hitchin system.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 10:23:53 GMT""}]","2009-10-30"
"hep-th/9604095","Marcos Benevenuto Jardim","Marcos Jardim","Coordinate-free derivation of Yang-Mills-Chern-Simons field equations","4 pages, no special macro",,,,"hep-th",,"  In this paper we derive in a coordinate-free manner the field equations for a
lagrangean consisting of Yang-Mills kinetical term plus Chern-Simons
self-coupling term. This equation turns out to be an eigenvalue equation for
the covariant laplacian.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 13:29:01 GMT""}]","2007-05-23"
"hep-th/9604096","Alexander Niemeyer","Andre Lukas, Alexander Niemeyer, Masahiro Yamaguchi","Post Inflationary Behaviour of String Moduli","22 pages LaTeX with 6 postscript figures included (epsf)","Nucl.Phys. B481 (1996) 433-452","10.1016/S0550-3213(96)90149-2","TUM-HEP 244/96, SFB-375/96","hep-th hep-ph",,"  We analyze the behaviour of moduli fields in string effective models between
the end of inflation and reheating. The effective moduli potential during this
era is derived for a class of simple models. We argue that this potential
significantly stabilizes the modulus at its high energy minimum, if some
restrictions on modular weights are met. Two mechanisms to further stabilize
the moduli to their low energy minima are discussed explicitly: coinciding
minima at a point of enhanced symmetry, and the smooth transition from high to
low energy minimum by an effective mass term C^2 H^2. For both cases we present
explicit examples, and C^2 is found to be O(10) at most. In addition, we show
that during a smooth transition the reduction of the modulus amplitude strongly
depends on the shape of the low energy potential.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 13:09:41 GMT""}]","2015-06-26"
"hep-th/9604097","Ruben Minasian","Sergio Ferrara, Ruben Minasian and Augusto Sagnotti","Low-Energy Analysis of $M$ and $F$ Theories on Calabi-Yau Threefolds","27 pages, LaTex. final version, to appear in Nucl. Phys. B","Nucl.Phys. B474 (1996) 323-342","10.1016/0550-3213(96)00268-4","CERN-TH/96-99, ROM2F-96/20","hep-th",,"  We elucidate the interplay between gauge and supersymmetry anomalies in
six-dimensional $N=1$ supergravity with generalized couplings between tensor
and vector multiplets. We derive the structure of the five-dimensional
supergravity resulting from the $S_1$ reduction of these models and give the
constraints on Chern-Simons couplings that follow from duality to $M$ theory
compactified on a Calabi-Yau threefold. The duality is supported only on a
restricted class of Calabi-Yau threefolds and requires a special type of
intersection form. We derive five-dimensional central-charge formulas and
discuss briefly the associated phase transitions. Finally, we exhibit
connections with $F$-theory compactifications on Calabi-Yau manifolds that
admit elliptic fibrations. This analysis suggests that $F$ theory unifies
Type-$IIb$ three-branes and $M$-theory five-branes.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 14:48:45 GMT""},{""version"":""v2"",""created"":""Thu, 9 May 1996 13:43:04 GMT""},{""version"":""v3"",""created"":""Wed, 26 Jun 1996 14:14:50 GMT""}]","2009-10-30"
"hep-th/9604098","Gabor Takacs","Gabor Takacs","A New RSOS Restriction of the Zhiber-Mikhailov-Shabat Model and
  $\Phi_{(1,5)}$ Perturbations of Nonunitary Minimal Models","several typos corrected; error in (3,14) S-matrix found and
  corrected; the introductory section on RSOS restriction is rewritten. The
  exposition is changed at some points to improve clarity and reference to
  'duality' is avoided","Nucl.Phys. B489 (1997) 532-556","10.1016/S0550-3213(97)00057-6","DAMTP/96-27","hep-th",,"  The RSOS restriction of the Zhiber-Mikhailov-Shabat (ZMS) model is
investigated. It is shown that in addition to the usual RSOS restriction,
corresponding to $\Phi_{(1,2)}$ and $\Phi_{(2,1)}$ perturbations of minimal
CFT, there is another one which yields $\Phi_{(1,5)}$ perturbations of
non-unitary minimal models. The new RSOS restriction is carried out and the
particular case of the minimal models ${\cal M}_{(3,10)}$, ${\cal M}_{(3,14)}$
and ${\cal M}_{(3,16)}$ is discussed in detail. In the first two cases, while
the mass spectra of the two RSOS restrictions are the same, the bootstrap
systems and the detailed amplitudes are different. In the third case, even the
spectra of the two RSOS restrictions are different. In addition, for ${\cal
M}_{(3,10)}$ an interpretation in terms of the tensor product of two copies of
${\cal M}_{(2,5)}$ is given.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 15:09:21 GMT""},{""version"":""v2"",""created"":""Thu, 18 Apr 1996 19:52:00 GMT""},{""version"":""v3"",""created"":""Fri, 26 Apr 1996 09:14:05 GMT""},{""version"":""v4"",""created"":""Sat, 11 May 1996 10:14:03 GMT""},{""version"":""v5"",""created"":""Thu, 21 Nov 1996 11:32:16 GMT""}]","2009-10-30"
"hep-th/9604099","Alexander Kalloniatis","Harald W. Griesshammer and Alex C. Kalloniatis (Institute for
  Theoretical Physics III, University Erlangen - N\""urnberg, Germany)","Field Configurations and the SU(2) Haar Measure in QCD","7 pages, LaTeX. No macros or figures. Submitted to Phsics Letters B",,,"FAU-TP3-96/4","hep-th",,"  We characterise a class of SU(2) gluonic field configurations in the modified
axial gauge where a zero mode component vanishes at some space point but the
global Haar measure remains non-zero. The consequence of this is that gluonic
wavefunctionals need not vanish at the boundary of the fundamental modular
domain, which itself permits $\theta$ dependence in QCD(3+1).
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 15:37:21 GMT""}]","2007-05-23"
