"alg-geom/9604002","Emilia Mezzetti","Emilia Mezzetti and Dario Portelli","Threefolds in $\Bbb P^5$ with a 3-dimensional family of plane curves","17 pages, to appear in Manuscripta Mathematica Plain TeX",,,,"alg-geom math.AG",,"  A classification theorem is given of smooth threefolds of $\Bbb P^5$ covered
by a family of dimension at least three of plane integral curves of degree
$d\geq 2.$ It is shown that for such a threefold $X$ there are two
possibilities: \item{(1)} $X$ is any threefold contained in a hyperquadric;
\item{(2)} $d\leq 3$ and $X$ is either the Bordiga or the Palatini scroll.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 07:41:19 GMT""}]","2008-02-03"
"hep-ph/9604210",,"Ian Hinchliffe, Axel Kwiatkowski (LBNL, Berkeley)","Parton model sum rules","48 pages, LaTeX, 4 eps figures, available from
  http://theor1.lbl.gov/www/theorypapers/preprints.html/38549.ps","Ann.Rev.Nucl.Part.Sci. 46 (1996) 609-645","10.1146/annurev.nucl.46.1.609","LBL-38549","hep-ph",,"  This review article discusses the experimental and theoretical status of
various Parton Model sum rules. The basis of the sum rules in perturbative QCD
is discussed. Their use in extracting the value of the strong coupling constant
is evaluated and the failure of the naive version of some of these rules is
assessed.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 02:33:07 GMT""}]","2009-10-28"
"hep-ph/9604211","Iosif B. Khriplovich","I.B. Khriplovich and K.N. Zyablyuk","New Constraints from Electric Dipole Moments on Parameters of the
  Supersymmetric SO(10) Model","9 pages, latex, 3 figures available at request","Phys.Lett. B383 (1996) 429-433","10.1016/0370-2693(96)00577-1","BINP 96-13","hep-ph",,"  We calculate the chromoelectric dipole moment (CEDM) of d- and s-quark in the
supersymmetric SO(10) model. CEDM is more efficient than quark electric dipole
moment (EDM), in inducing the neutron EDM. New, strict constraints on
parameters of the supersymmetric SO(10) model follow in this way from the
neutron dipole moment experiments. As strict bounds are derived from the upper
limits on the dipole moment of odd isotope of mercury.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 04:48:45 GMT""}]","2009-10-28"
"hep-ph/9604212","Iosif B. Khriplovich","I.B. Khriplovich","Is the Model of Spontaneous CP-violation in the Higgs Sector Consistent
  with Experiment?","7 pages, latex, 3 figures available at request","Phys.Lett.B382:145-148,1996","10.1016/0370-2693(96)00632-6","BINP 96-16","hep-ph",,"  At natural values of parameters of the model dicussed, the contribution of
the chromoelectric dipole moment of the s-quark to the neutron electric dipole
moment (EDM) exceeds considerably the experimental upper limit for the neutron
EDM. As strict bounds on the parameters of the model are derived from the
atomic experiment with odd isotope of mercury.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 04:49:15 GMT""}]","2014-11-17"
"hep-ph/9604213","Mohammad Ahmady","M. R. Ahmady (Ochanomizu University), V. Elias, A. H. Fariborz
  (University of Western Ontario) and R. R. Mendel (Deceased)","Induced Light-Quark Yukawa Couplings as a probe of Low-Energy Dynamics
  in QCD","12 pages, Latex, 2 figures (not included, available upon request)","Prog.Theor.Phys. 96 (1996) 781-786","10.1143/PTP.96.781","OCHA-PP-75","hep-ph",,"  We examine the heavy-quark-induced Yukawa interaction between light quarks
and a light Higgs field, which is facilitated in the chiral limit by the
dynamical mass of light quarks anticipated from the chiral-noninvariance of the
QCD vacuum. A low-energy estimate of the strong coupling near unity can be
obtained from a comparison of the explicit perturbative calculation of the
induced Yukawa interaction at zero momentum to a Higgs-low-energy theorem
prediction for the same interaction.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 05:51:52 GMT""}]","2009-10-28"
"hep-ph/9604214","Istvan Montvay","Istv\'an Montvay","Violations of universality in a vectorlike extension of the standard
  model","latex2e, 11 pages","Phys.Lett. B382 (1996) 104-110","10.1016/0370-2693(96)00605-3","DESY 96-047","hep-ph",,"  Violations of universality of couplings in a vectorlike extension of the
standard model with three heavy mirror fermion families are considered. The
recently observed discrepancies between experiments and the standard model in
the hadronic branching fractions $R_b$ and $R_c$ of the Z-boson are explained
by the mixing of fermions with their mirror fermion partners.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 08:06:08 GMT""}]","2009-10-28"
"hep-ph/9604215","Krzysztof Golec-Biernat","K. Golec--Biernat","Partonic Structure of the Pomeron","10 Latex pages plus 2 postscript figures, presented at Cracow
  Epiphany Conference, 5-6 January, 1996","ActaPhys.Polon.B27:1341-1352,1996",,"DTP/96/32","hep-ph",,"  The first measurement of diffractive processes in deep inelastic scattering
at the HERA collider is analysed in terms of a ""soft"" pomeron exchange model.
The partonic structure of the pomeron which emerges in this picture is
determined using the QCD parton model. The important role of the gluonic
component in the partonic interpretation of the data is particularly
emphasized.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 08:58:21 GMT""}]","2008-11-26"
"hep-ph/9604217","Ananthanarayan ""b.""","B. Ananthanarayan and P. B\""uttiker","Scattering Lengths and Medium and High Energy $\pi\pi$ Scattering","31 pages plain latex to be run twice with 3 embedded figures using
  epsf","Phys.Rev. D54 (1996) 5501-5508","10.1103/PhysRevD.54.5501","BUTP-96/10","hep-ph",,"  Medium and high energy absorptive parts contribute to dispersive expressions
for D- wave scattering lengths, $a^0_2$ and $a^2_2$. For the model employed by
Basdevant, Frogatt and Peterson we find the D- wave driving term contributions
to the D- wave scattering lengths are $1.8\cdot 10^{-4}$ to $a^0_2$ and
$0.4\cdot 10^{-4}$ to $a^2_2$, roughly $10\%$ and $30\%$ of their respective
  central experimental values. Inequivalent sets of sum rules are used as a
compelling test of the consistency of the model for which crossing symmetry is
not guaranteed. Results for the F- wave scattering length $a^1_3$ are
presented, completing the recent Roy equation analysis of \pipi scattering in
the range for $a^0_0$ favored by standard chiral perturbation theory.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 13:36:31 GMT""}]","2016-09-01"
"hep-ph/9604218","Emilio Torrente","Emilio Torrente-Lujan","A Quasi-maximal mixing ansatz for neutrino oscillations","12 latex pages, 2 fig in 2 ps files (uuencoded). full ps avalaible at
  http://www-itp.unibe.ch/~torrente/pap6.ps In this revised version: some
  mistakes corrected, new subcases (quasi-maximal mixing e-\mu, e-\tau) studied","Phys.Lett. B389 (1996) 557-562","10.1016/S0370-2693(96)01295-6","butp-96","hep-ph",,"  Inspired by the atmospheric multi-GeV neutrino data, we consider neutrino
flavor mixing matrices which are maximal in a $2\times 2$ subsector. This
condition is a strong restriction: the full matrix including complex phases
depends essentially on one parameter. The survival probability is an universal
function of $L/E$, independent of generation, in the region of interest for the
accelerator and atmospheric experiments. It is possible with the solar neutrino
data alone to recover completely the mixing matrix suggested by the atmospheric
data. The results are not essentially modified by the MSW effect in the solar
data. Consequences for future experiments are considered.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 14:21:56 GMT""},{""version"":""v2"",""created"":""Fri, 24 May 1996 13:57:56 GMT""}]","2009-10-28"
"hep-ph/9604220","Rl Jaffe","R. L. Jaffe and N. Saito","QCD Selection Rules in Polarized Hadron Collisions","12 pages, 5 postscript figures, LaTex, tarred with epsf and
  additional style file","Phys.Lett. B382 (1996) 165-172","10.1016/0370-2693(96)00560-6","MIT-CTP-2519","hep-ph hep-ex",,"  Plans are underway to measure spin asymmetries at large momentum transfer in
hadron hadron collisions at RHIC and elsewhere. Proposals have focused on
measuring quark transversity and quark and gluon helicity distributions in the
nucleon. These experiments will also provide a strong and simple test of
perturbative QCD, namely that ${\cal A}_{TT}/{\cal A}_{LL}\ll 1$ in
$pp\rightarrow 2\, {\rm jets} +X$ and several related processes, whereas ${\cal
A}_{TT}/{\cal A}_{LL}\sim 1$ in Drell-Yan production of muon pairs. The
prediction tests the helicity, twist and chirality selection rules of
perturbative QCD that form the foundation for the analysis of spin dependent
hard processes. We estimate the ratio ${\cal A}_{TT}/{\cal A}_{LL}$ numerically
for polarized protons at RHIC.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 15:34:07 GMT""}]","2009-10-28"
"hep-ph/9604227","Sekretariat Phil. weg16","Christof Wetterich","Integrating out Gluons in Flow Equations","56 pages, Latex","Z.Phys. C72 (1996) 139-162","10.1007/s002880050232","HD-THEP-95-47","hep-ph",,"  We present an exact nonperturbative flow equation for the average action for
quarks which incorporates the effects of gluon fluctuations. With suitable
truncations this allows one to compute effective multiquark interactions in
dependence on an infrared scale $k$. Our method amounts to integrating out the
gluons with momenta larger than $k$.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 10:14:57 GMT""}]","2009-10-28"
"hep-th/9604003","Ioannis Bakas","I. Bakas, K. Sfetsos","Toda fields of SO(3) hyper-Kahler metrics and free field realizations","A few typos have been corrected; final version","Int.J.Mod.Phys. A12 (1997) 2585-2612","10.1142/S0217751X97001456",,"hep-th",,"  The Eguchi-Hanson, Taub-NUT and Atiyah-Hitchin metrics are the only complete
non-singular SO(3)-invariant hyper-Kahler metrics in four dimensions. The
presence of a rotational SO(2) isometry allows for their unified treatment
based on solutions of the 3-dim continual Toda equation. We determine the Toda
potential in each case and examine the free field realization of the
corresponding solutions, using infinite power series expansions. The
Atiyah-Hitchin metric exhibits some unusual features attributed to topological
properties of the group of area preserving diffeomorphisms. The construction of
a descending series of SO(2)-invariant 4-dim regular hyper-Kahler metrics
remains an interesting question.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 18:28:01 GMT""},{""version"":""v2"",""created"":""Tue, 3 Sep 1996 11:50:06 GMT""},{""version"":""v3"",""created"":""Sun, 22 Jun 1997 12:41:26 GMT""}]","2009-10-30"
"hep-th/9604004","Jacques Distler","Luis Alvarez-Gaume, Jacques Distler, Costas Kounnas and Marcos Marino","Large Softly broken N=2 QCD","40 pages, LaTeX, 13 figures, uses epsf.sty","Int.J.Mod.Phys.A11:4745-4777,1996","10.1142/S0217751X96002170","CERN-TH/9669, US-FT-13/96, UTTG-96-03","hep-th",,"  We analyze the possible soft breaking of $N=2$ supersymmetric Yang-Mills
theory with and without matter flavour preserving the analyticity properties of
the Seiberg-Witten solution. For small supersymmetry breaking parameter with
respect to the dynamical scale of the theory we obtain an exact expression for
the effective potential. We describe in detail the onset of the confinement
transition and some of the patterns of chiral symmetry breaking. If we
extrapolate the results to the limit where supersymmetry decouples, we obtain
hints indicating that perhaps a description of the QCD vacuum will require the
use of Lagrangians containing simultaneously mutually non-local degrees of
freedom (monopoles and dyons).
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 20:34:30 GMT""}]","2009-07-09"
"hep-th/9604005","Vincent G. J. Rodgers","R.P. Lano, and V.G.J. Rodgers","Yang-Mills, Gravity, and 2D String Symmetries","Withdrawn, fixed version to appear later",,,,"hep-th",,"  It is well known that by using the infinite dimensional symmetries that issue
from string theories, one can build 2D geometric field theories. These 2D field
theories can be identified with gravitational and gauge anomalies that arise in
the presence of background gauge and gravitational anomalies. In this work we
consider the background fields as residuum from reducing higher dimensional
field theories to two dimensions. This implies a new relationship between
string theory and field theories. We identify the isotropy equations of the
distinct orbits as the Gau\ss 's law constraints of a Yang-Mills theory coupled
to a gravitational theory that has been evaluated on a two-dimensional
manifold. We show explicitly how one may recover the higher dimensional
theories and extract this new theory of gravity and its coupling to Yang-Mills
theory. This gravitational theory is able to couple to Yang-Mills via a
torsion-like term and yet maintain gauge invariance. Also this new theory of
gravity suggest a natural distinction between cosmology and local gravitation.
We comment on the analogue of Chern-Simons theory for diffeomorphism, the
vacuum structure of gravity, and also the possibility of extracting explicit
realizations of distinct differentiable structures in four dimensions.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 00:06:58 GMT""},{""version"":""v2"",""created"":""Mon, 8 Apr 1996 06:22:51 GMT""},{""version"":""v3"",""created"":""Thu, 3 Oct 1996 19:23:31 GMT""}]","2008-02-03"
"hep-th/9604006","Alexey A. Deriglazov","A.A. Deriglazov and A.V. Galajinsky","The Green--Schwarz Superstring in Extended Configuration Space and
  Infinitely Reducible First Class Constraints Problem","14 pages, LaTeX","Phys.Rev. D54 (1996) 5195-5202","10.1103/PhysRevD.54.5195",,"hep-th",,"  The Green--Schwarz superstring action is modified to include some set of
additional (on-shell trivial) variables. A complete constraints system of the
theory turns out to be reducible both in the original and in additional
variable sectors. The initial $8s$ first class constraints and $8c$ second
class ones are shown to be unified with $8c$ first and $8s$ second class
constraints from the additional variables sector, resulting with
$SO(1,9)$-covariant and linearly independent constraint sets. Residual
reducibility proves to fall on second class constraints only.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 08:57:48 GMT""}]","2009-10-30"
"hep-th/9604008","A. K. Mishra","A.K. Mishra and G. Rajasekaran (Institute of Mathematical Sciences)","Fock Space Representation of Differential Calculus on the Noncommutative
  Quantum Space",,"J.Math.Phys. 38 (1997) 466-475","10.1063/1.531828",,"hep-th math.QA q-alg",,"  A complete Fock space representation of the covariant differential calculus
on quantum space is constructed. The consistency criteria for the ensuing
algebraic structure, mapping to the canonical fermions and bosons and the
consequences of the new algebra for the statistics of quanta are analyzed and
discussed. The concept of statistical transmutation between bosons and fermions
is introduced.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 10:54:50 GMT""}]","2009-10-30"
"hep-th/9604009","Raffaele Caracciolo","R. Caracciolo, M. Frau, A. Lerda, S. Sciuto, G. R. Zemba","The extended conformal theory of the Calogero-Sutherland model","12 pages, plain LaTeX, no figures; To appear in the proceedings of
  the IV Meeting ""Common Trends in Condensed Matter and High Energy Physics"",
  Chia Laguna, Cagliari, Italy, 3-10 Sep. 1995",,,"DFTT 13/96","hep-th cond-mat",,"  We describe the recently introduced method of Algebraic Bosonization of
(1+1)-dimensional fermionic systems by discussing the specific case of the
Calogero-Sutherland model. A comparison with the Bethe Ansatz results is also
presented.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 12:01:07 GMT""}]","2007-05-23"
"hep-th/9604010","Per Sundell","Alexander von Gussich and Per Sundell (Institute of Theoretical
  Physics, Chalmers University of Technology)","Finite Deformations of Conformal Field Theories Using Analytically
  Regularized Connections","21 pages, use Latex2e twice. Replaced version: minor corrections,
  additional Comment, additional reference","Nucl.Phys. B487 (1997) 445-466","10.1016/S0550-3213(96)00685-2","ITP 96-5","hep-th",,"  We study some natural connections on spaces of conformal field theories using
an analytical regularization method. The connections are based on marginal
conformal field theory deformations. We show that the analytical regularization
preserves conformal invariance and leads to integrability of the marginal
deformations. The connections are shown to be flat and to generate well-defined
finite parallel transport. These finite parallel transports yield formulations
of the deformed theories in the state space of an undeformed theory. The
restrictions of the connections to the tangent space are curved but free of
torsion.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 12:33:17 GMT""},{""version"":""v2"",""created"":""Wed, 12 Jun 1996 12:50:47 GMT""}]","2009-10-30"
"hep-th/9604011","Ivan Kostov","Jorge Alfaro and Ivan Kostov","Generalized Hirota Equations in Models of 2D Quantum Gravity","10 pages, harvmac, no figures",,,"SPhT-96/029","hep-th",,"  We derive a set of bilinear functional equations of Hirota type for the
partition functions of the $sl(2)$ related integrable statistical models
defined on a random lattice. These equations are obtained as deformations of
the Hirota equations for the KP integrable hierarchy, which are satisfied by
the partition function of the ensemble of planar graphs.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 13:40:10 GMT""}]","2007-05-23"
"hep-th/9604012","Engelhardt Michael","Michael Engelhardt (Weizmann Institute)","Nonrelativistic Particle in Free Random Gauge Background","20 pages, 6 figures","Nucl.Phys. B481 (1996) 479","10.1016/S0550-3213(96)90153-4",,"hep-th hep-ph",,"  The problem of a nonrelativistic particle with an internal color degree of
freedom, with and without spin, moving in a free random gauge background is
discussed. Freeness is a concept developed recently in the mathematical
literature connected with noncommuting random variables. In the context of
large-N hermitian matrices, it means that the the multi-matrix model considered
contains no bias with respect to the relative orientations of the matrices. In
such a gauge background, the spectrum of a colored particle can be solved for
analytically. In three dimensions, near zero momentum, the energy distribution
for the spinless particle displays a gap, while the energy distribution for the
particle with spin does not.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 15:37:24 GMT""}]","2015-06-26"
"math/9604201",,"Patrizia Rossi","On the defect of an analytic disc",,,,,"math.CV",,"  Although the concept of defect of an analytic disc attached to a generic
manifold of $\C^{n}$ seems to play a merely technical role, it turns out to be
a rather deep and fruitful notion for the extendability of CR functions defined
on the manifold.
  In this paper we give a new geometric description of defect, drawing
attention to the behaviour of the interior points of the disc by infinitesimal
perturbations. For hypersurfaces a stronger result holds because these
perturbations describe a complex vector space of $\C^{n}$.
  For a big analytic disc the defect does not need to be smaller than the
codimension of the manifold. Indeed we show by an example that it can be
arbitrarily large independently of the codimension of the manifold.
Nevertheless we also prove that the defect is always finite. In the case of a
hypersurface we give a geometric upper bound for the defect.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 19:33:18 GMT""}]","2016-09-06"
"math/9604230",,"Karen M. Brucks, John Ringland, Charles Tresser","Organization of parameter space for simple circle maps: the Farey web",,,,"Dynamical Systems 4/2/96","math.DS",,"  We define the Farey web --- a collection of loci in the parameter plane of
families of simple non-invertible maps of the circle. We prove some results
about the arrangement of these loci and their relationships with other
dynamically significant features of the parameter plane. The results enable us
to provide short proofs for a number of theorems about the organization of
frequency-locking.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 00:00:00 GMT""}]","2008-02-03"
"nucl-th/9604001","Michael Dingfelder","R. Nojarov, Amand Faessler and M. Dingfelder (University of Tuebingen)","Angular and energy dependence of $(e,e^{\prime})$ cross sections for
  orbital 1$^+$ excitations","Latex, 28 pages, 12 postscript figures included using uufiles","Nucl. Phys. A 598 (1996) 82","10.1016/0375-9474(95)00499-8",,"nucl-th",,"  The main features of the $(e,e^{\prime})$ cross sections of low-lying orbital
excitations with $K^{\pi} = 1^+$ in heavy deformed nuclei are studied in RPA on
the example of $^{156}$Gd. The dependence of the DWBA E2 and M1 cross sections
on the scattering angle $0^{\circ} < \theta < 180 ^{\circ}$ and incident
electron energy $E_i < 210$ MeV is analyzed in PWBA. The cross section is
larger for M1 than for E2 transitions at any angle if $E_i < 30$ MeV. The
longitudinal (Coulomb) C2 excitation dominates the E2 response for $5^{\circ} <
\theta < 170 ^{\circ}$. Only transverse M1 and E2 excitations compete for
$\theta > 175 ^{\circ}$ and the former one is dominant for $q < 1.2$ fm$^{-1}$.
The M1 response is almost purely orbital up to $q = 1.4$ fm$^{-1}$ even in
backward scattering. Qualitative PWBA estimates based on the $q$-dependence of
the form factors alone are not able to predict some important features of the
$(e,e^{\prime})$ cross sections stemming from the strong magnetic and orbital
character of the studied 1$^+$ excitations. The expectation for M1 over E2
dominance in backward scattering should not be extended to higher momentum
transfers and incident energies.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 07:50:37 GMT""}]","2009-10-30"
"quant-ph/9604001","Christopher Fuchs","Christopher A. Fuchs and Carlton M. Caves","Mathematical Techniques for Quantum Communication Theory","12 pages, standard LaTeX, manuscript placed in archive because of the
  relative unavailability of the journal in which it appears","Open Systems & Information Dynamics 3 (1995) 1",,,"quant-ph",,"  We present mathematical techniques for addressing two closely related
questions in quantum communication theory. In particular, we give a
statistically motivated derivation of the Bures-Uhlmann measure of
distinguishability for density operators, and we present a simplified proof of
the Holevo upper bound to the mutual information of quantum communication
channels. Both derivations give rise to novel quantum measurements.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 23:23:57 GMT""}]","2007-05-23"
"solv-int/9603011",,"Yuri B. Suris (University of Bremen)","Elliptic Ruijsenaars-Schneider and Calogero-Moser hierarchies are
  governed by the same r-matrix",,"Phys. Lett. A225, 1997, p. 253-262.","10.1016/S0375-9601(96)00897-3",,"solv-int nlin.SI",,"  We demonstrate that in a certain gauge the elliptic Ruijsenaars--Schneider
models admit Lax representation governed by the same dynamical $r$--matrix as
their non--relativistic counterparts (Calogero--Moser models). This phenomenon
was previously observed for the rational and hyperbolic models.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 17:53:45 GMT""}]","2015-06-26"
"solv-int/9603012","Ken Umeno","Ken Umeno (Brain Information Processing Group of RIKEN)","Non-perturbative non-integrability of non-homogeneous nonlinear lattices
  induced by non-resonance hypothesis","Latex, 21 pages, to appear in Physica D (1996), ps.Z file available
  at http://www.bip.riken.go.jp/irl/chaosken/reulam.ps.Z","Physica D94(1996)116-134.","10.1016/0167-2789(96)88314-X",,"solv-int nlin.SI",,"  We prove the non-integrability (non-existence of additional analytic
conserved quantities other than Hamiltonian) for Fermi-Pasta-Ulam (FPU)
lattices by virtue of Lyapunov-Kovalevskaya- -Ziglin-Yoshida's monodromy method
about the variational equations. The key to this analysis is that the normal
variational equations along a certain solution happen to be in a type of Lam\'e
equations. We also introduce the classification problem towards non-homogeneous
nonlinear lattices including FPU lattices using non-integrability preserving
transformation.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 07:29:09 GMT""}]","2015-06-26"
