"adap-org/9604002",,"Mats Dahlbom and Anders Irb\""ack","Comment on `Avalanche Dynamics in Evolution, Growth and Depinning
  Models'","Withdrawn",,,,"adap-org nlin.AO",,"  This paper is withdrawn.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 06:12:52 GMT""},{""version"":""v2"",""created"":""Sun, 13 Oct 1996 17:05:45 GMT""}]","2015-06-30"
"gr-qc/9604034","Fernando C. Lombardo","Mario Castagnino","The Mathematical Structure of Superspace as a Consequence of Time
  Asymmetry","45 pages, latex, no figures","Phys.Rev.D57:750-767,1998","10.1103/PhysRevD.57.750",,"gr-qc",,"  It is demonstrated how a convenient choice of the mathematical structure of
the quantum cosmology superspace, precisely the definition of a convenient
regular state superspace and the restriction of the dynamics to this space,
yields directly to an irreversible evolution, in the classical (and
semiclassical) phase of the universe, where:
  Decoherence and correlations take place and therefore give origin to a
classical universe. The second law of thermodynamic is demonstrated. Connection
with Reichenbach branch system idea can be implemented. Some rough coincidence
with observational data are obtained. The arrows of time can be correlated.
Time asymmetry can be explained as a state space asymmetry (e. g. like a
spontaneous symmetry breaking All these facts solve the problem of
time-asymmetry and show that it is time asymmetry itself that defines the most
important features of mathematical structure of superspace.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 20:25:06 GMT""}]","2010-11-19"
"gr-qc/9604035","Yuri N. Obukhov","E.J. Vlachynsky, R. Tresguerres, Yu.N. Obukhov, and F.W. Hehl","An axially symmetric solution of metric-affine gravity","5 pages, RevTex","Class.Quant.Grav. 13 (1996) 3253-3260","10.1088/0264-9381/13/12/016",,"gr-qc",,"  We present an exact stationary {\it axially symmetric} vacuum solution of
metric-affine gravity (MAG) which generalises the recently reported spherically
symmetric solution. Besides the metric, it carries nonmetricity and torsion as
post-Riemannian geometrical structures. The parameters of the solution are
interpreted as mass and angular momentum and as dilation, shear and spin
charges.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 10:46:32 GMT""}]","2009-10-28"
"gr-qc/9604036","Heinz-Dieter Conradi","Heinz-Dieter Conradi (RWTH-Aachen, Germany)","Tunneling of Macroscopic Universes","10 pages, one eps-file includes, uses LaTeX2e","Int.J.Mod.Phys. D7 (1998) 189-200","10.1142/S0218271898000152","PHITA 95/36","gr-qc",,"  The meaning of `tunneling' in a timeless theory such as quantum cosmology is
discussed. A recent suggestion of `tunneling' of the macroscopic universe at
the classical turning point is analyzed in an anisotropic and inhomogeneous toy
model. This `inhomogeneous tunneling' is a local process which cannot be
interpreted as a tunneling of the universe.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 15:48:18 GMT""}]","2015-06-25"
"gr-qc/9604037","Patricio Anibal Letelier","Werner M. Vieira and Patricio S. Letelier","Chaos around a H\'enon-Heiles-inspired exact perturbation of a black
  hole","7 pages Revtex","Phys.Rev.Lett. 76 (1996) 1409-1412; Erratum-ibid. 76 (1996) 4098","10.1103/PhysRevLett.76.1409",,"gr-qc chao-dyn nlin.CD",,"  A solution of the Einstein's equations that represents the superposition of a
Schwarszchild black hole with both quadrupolar and octopolar terms describing a
halo is exhibited. We show that this solution, in the Newtonian limit, is an
analog to the well known H\'enon-Heiles potential. The integrability of orbits
of test particles moving around a black hole representing the galactic center
is studied and bounded zones of chaotic behavior are found.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 02:49:28 GMT""}]","2016-08-31"
"hep-lat/9604017","Bas van den Heuvel","Bas van den Heuvel","One-loop effective action for SU(2) gauge theory on S^3","12p. latex, 3 PostScript figures included (epsf)","Phys.Lett. B386 (1996) 233-240","10.1016/0370-2693(96)00917-3","INLO-PUB-3/96","hep-lat hep-th",,"  We consider the effective theory for the low-energy modes of SU(2) gauge
theory on the three-sphere. By explicitely integrating out the high-energy
modes, the one-loop correction to the hamiltonian for this problem is obtained.
We calculate the influence of this correction on the glueball spectrum.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 11:10:48 GMT""}]","2009-10-28"
"hep-ph/9604342",,"Bo-Qiang Ma (IHEP, Academia Sinica, Beijing)","Strange quark distribution and corrections due to shadowing and isospin
  symmetry breaking",,"Chin.Phys.Lett. 13 (1996) 648-651","10.1088/0256-307X/13/9/003","BIHEP-TH-96-14","hep-ph nucl-th",,"  The strange sea quarks distributions of nucleons obtained by two global
analyses based on available structure function data of muon and neutrino deep
inelastic scatterings are different from the strange sea quark distribution
measured by the CCFR Collaboration from dimuon events in neutrino scattering.
We discuss possible contributions to this discrepancy from the nuclear
shadowing in the deuteron and from the isospin symmetry breaking in the sea
between the neutron and the proton.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 23:22:23 GMT""},{""version"":""v2"",""created"":""Sun, 5 May 1996 18:34:27 GMT""},{""version"":""v3"",""created"":""Mon, 22 Jul 1996 17:16:27 GMT""}]","2015-06-25"
"hep-ph/9604347",,"C. Friberg, G. Gustafson, J. H\""akkinen","Colour connections in e+e- -annihilation",,"Nucl.Phys.B490:289-305,1997","10.1016/S0550-3213(97)00064-3","LU TP 96-10","hep-ph",,"  We have a very limited knowledge about how the confinement mechanism works in
processes like $\epea\epe\ra\epq\epqa\ggn\ldots\ggn$, when there are identical
colour charges. In this case the partons can be connected by a string or a
cluster chain in several different ways. We do not know if in such a situation
Nature chooses a particular configuration at random, or if some configuration
is dynamically favoured. Also in the perturbative parton cascade we have no
well founded recipe for describing the interference effects, which correspond
to non planar diagrams and are caused by identical colour charges. We have
studied two different models, and are in particular interested in the
possibility that a colour singlet gluon system hadronizes isolated from the
remainder of the state. Using double tagged events with heavy $\epc\epca$ or
$\epb\epba$ quarks, it appears to be possible to find a significant signal, if
such events appear in Nature.
  If this type of (re)connected states appear in Z decays it may also be an
indication that reconnection might appear between the decay products of two W's
in the reaction $\epea\epe\ra\gwp\gwm\ra\epq_1\epqa_2\epQ_1\epQa_2$ at LEP2.
This would be important e.g. for a precision measurement of the W mass.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 17:59:16 GMT""}]","2011-01-25"
"hep-ph/9604348",,"Jari H\""akkinen","bbbar fragmentation and B\pi correlations",,"Z.Phys. C75 (1997) 35-40",,"LU TP 96-11","hep-ph",,"  We show that experimental data are in very good agreement with predictions
from the string fragmentation model by Bowler and Morris. We present a physical
interpretation and discuss the relation to results obtained from Perturbative
QCD and Local Hadron Parton Duality (LPHD). We also present implications for
B$\pi$ correlations and the possibility to use these as a tag to study CP
violation in B decays.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 18:00:41 GMT""}]","2007-05-23"
"hep-ph/9604350","Nestor Armesto Perez","M. A. Braun","On the triple pomeron contribution in the hard pomeron theory","LaTeX, 14 pages",,,"US-FT/17-96","hep-ph",,"  Within the hard pomeron approach it is shown that the triple pomeron
interaction gives no contribution to the cross-section for a projectile with
large enough virtuality $g^{2}\ln Q^{2}\sim 1$. For small virtualities
$g^{2}\ln Q^{2}<<1$ its contribution is essential.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 13:00:54 GMT""}]","2007-05-23"
"hep-ph/9604351","Paolo Nason","S. Catani, M.L. Mangano, P. Nason and L. Trentadue","The Resummation of Soft Gluon in Hadronic Collisions","45 pages, Latex, epsfig, 10 figures. Minor corrections to text,
  notation and references. The previously quoted HERAb NLO bottom production
  cross section was wrong, and it has been fixed. Accepted for Publication on
  Nucl. Phys. B","Nucl.Phys. B478 (1996) 273-310","10.1016/0550-3213(96)00399-9","CERN-TH/96-86","hep-ph",,"  We compute the effects of soft gluon resummation for the production of high
mass systems in hadronic collisions. We carefully analyse the growth of the
perturbative expansion coefficients of the resummation formula. We propose an
expression consistent with the known leading and next-to-leading resummation
results, in which the coefficients grow much less than factorially. We apply
our formula to Drell--Yan pair production, heavy flavour production, and the
production of high invariant mass jet pairs in hadronic collisions. We find
that, with our formula, resummation effects become important only fairly close
to the threshold region. In the case of heavy flavour production we find that
resummation effects are small in the experimental configurations of practical
interest.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 10:45:17 GMT""},{""version"":""v2"",""created"":""Mon, 29 Jul 1996 09:52:42 GMT""}]","2009-10-28"
"hep-ph/9604352","Thorsten Ohl","Christopher Balzereit and Thorsten Ohl (Th Darmstadt)","Heavy Quark Effective Field Theory at O(1/m_Q^2). I. QCD Corrections to
  the Lagrangian","11 pages, LaTeX (using amsmath.sty)","Phys.Lett. B386 (1996) 335-340","10.1016/0370-2693(96)00947-1","IKDA 96/11","hep-ph",,"  We present a new calculation of the renormalized HQET Lagrangian at order
O(1/m_Q^2) and discuss the consequences of the BRST invariance of QCD and the
reparameterization invariance of HQET. Our result corrects earlier, conflicting
calculations and sets the stage for the calculation of the renormalized
currents at order O(1/m_Q^2).
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 12:48:37 GMT""}]","2009-10-28"
"hep-th/9604101","Tomasz Brzezinski","Tomasz Brzezinski","Separation of Variables and Vacuum Structure of N=2 SUSY QCD","LaTeX, 9 pages, various changes and generalisations (in particular in
  Section 4)","Phys.Lett. B383 (1996) 294-300","10.1016/0370-2693(96)00757-5","DAMTP/96-43","hep-th",,"  We show how the method of separation of variables can be used to construct
integrable models corresponding to curves describing vacuum structure of
four-dimensional ${\cal N} = 2$ SUSY Yang-Mills theories. We use this technique
to construct models corresponding to $SU(N)$ Yang-Mills theory with $N_f<2N$
matter hypermultiplets by generalising the periodic Toda lattice. We also show
that some special cases of massive $SU(3)$ gauge theory can be equivalently
described by the generalisations of the Goryachev-Chaplygin top obtained via
separation of variables.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 19:04:05 GMT""},{""version"":""v2"",""created"":""Mon, 6 May 1996 12:59:37 GMT""}]","2009-10-30"
"hep-th/9604103","Ofer Aharony","Ofer Aharony","String theory dualities from M theory","18 pages, uses harvmac.tex","Nucl.Phys.B476:470-483,1996","10.1016/0550-3213(96)00321-5","TAUP-2332-96","hep-th",,"  We analyze how string theory dualities may be described in M theory. T
dualities arise from scalar-vector dualities in the worldvolume of the membrane
of M theory. ``Electric-magnetic'' dualities arise from a duality
transformation in M theory compactified on a 3-torus, which takes the membrane
into a fivebrane wrapped around the 3-torus.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 20:26:55 GMT""}]","2009-09-29"
"hep-th/9604104","Philippe Ruelle","M. Bauer, A. Coste, C. Itzykson and P. Ruelle","Comments on the Links between su(3) Modular Invariants, Simple Factors
  in the Jacobian of Fermat Curves, and Rational Triangular Billiards","56 pages, 4 eps figures, LaTeX, uses epsf","J.Geom.Phys. 22 (1997) 134-189","10.1016/S0393-0440(96)00027-7","SPhT-96-031, CPT-96/P.3332 and UCL-IPT-96-04","hep-th",,"  We examine the proposal made recently that the su(3) modular invariant
partition functions could be related to the geometry of the complex Fermat
curves. Although a number of coincidences and similarities emerge between them
and certain algebraic curves related to triangular billiards, their meaning
remains obscure. In an attempt to go beyond the su(3) case, we show that any
rational conformal field theory determines canonically a Riemann surface.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 11:51:14 GMT""}]","2009-10-30"
"hep-th/9604105","Alexei Semikhatov","A M Semikhatov (P N Lebedev Physics Institute)","The Non-Critical N=2 String is an sl(2|1) Theory","LaTeX 2.09, 21p. Now identical to the version published in Nucl Phys
  B 478 (1996) 209--234","Nucl.Phys. B478 (1996) 209-234","10.1016/0550-3213(96)00392-6",,"hep-th",,"  Any non-critical N=2 string is shown to have an affine sl(2|1) worldsheet
symmetry in the conformal gauge.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 15:49:35 GMT""},{""version"":""v2"",""created"":""Mon, 13 May 1996 20:25:23 GMT""},{""version"":""v3"",""created"":""Wed, 15 Jan 1997 16:06:10 GMT""}]","2009-10-30"
"nucl-th/9604028","Morten Hjorth-Jensen","M Hjorth-Jensen, A Polls, A Ramos and H Muether","Self-energy of Lambda in finite nuclei","17 pages, Revtex Latex style, 7 figs included","Nucl.Phys. A605 (1996) 458-474","10.1016/0375-9474(96)00190-X","ECT*-96-008","nucl-th",,"  The self--energy of the strange baryon $\Lambda$ in $^{17}$O is calculated
using a microscopic many--body approach which accounts for correlations beyond
the mean--field or Hartree--Fock approximation. The non-locality and
energy-dependence of the $\Lambda$ self--energy is discussed and the effects on
the bound and scattering states are investigated. For the nucleon--hyperon
interaction, we use the potential models of the J\""{u}lich and Nijmegen groups.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 09:04:46 GMT""}]","2009-10-30"
"nucl-th/9604029",,"M. Belkacem, P.F. Mastinu, V. Latora, A. Bonasera, M. D'Agostino, M.
  Bruno, J. D. Dinius, M. L. Fiandri, F. Gramegna, D. O. Handzy, W. C. Hsi, M.
  Huang, M. A. Lisa, G. V. Margagliotti, P. M. Milazzo, C. P. Montoya, G. F.
  Peaslee, R. Rui, C. Schwarz, G. Vannini and C. Williams","Searching for the Nuclear Liquid-Gas Phase Transition in Au + Au
  Collisions at 35 MeV/nucleon","RevTex file, 21 pages + 19 figures available upon request from
  mastinu@axpbo4.bo.infn.it","Phys.Rev.C54:2435-2444,1996","10.1103/PhysRevC.54.2435",,"nucl-th",,"  Within the framework of Classical Molecular Dynamics, we study the collision
Au + Au at an incident energy of 35 MeV/nucleon. It is found that the system
shows a critical behaviour at peripheral impact parameters, revealed through
the analysis of conditional moments of charge distributions, Campi Scatter
Plot, and the occurrence of large fluctuations in the region of the Campi plot
where this critical behaviour is expected. When applying the experimental
filters of the MULTICS-MINIBALL apparatus, it is found that criticality signals
can be hidden due to the inefficiency of the experimental apparatus. The
signals are then recovered by identifying semi-peripheral and peripheral
collisions looking to the velocity distribution of the largest fragment, then
by selecting the most complete events.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 11:56:11 GMT""}]","2008-11-26"
"solv-int/9604003",,"E. Alfinito, M. Leo, R. A. Leo, M. Palese and G. Soliani","Algebraic properties of the 1+1 dimensional Heisenberg spin field model","Tex file, 10 pages","Lett. Math. Phys., {\bf 32}, 241 (1994)","10.1007/BF00750666",,"solv-int nlin.SI",,"  The Estabrook-Wahlquist prolongation method is applied to the (compact and
noncompact) continuous isotropic Heisenberg model in 1 + 1 dimensions. Using a
special realization (an algebra of the Kac-Moody type) of the arising
incomplete prolongation Lie algebra, a whole family of nonlinear field
equations containing the original Heisenberg system is generated.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 17:04:57 GMT""}]","2009-10-30"
