"adap-org/9603001","Dan Stein","C.M. Newman (Courant Institute of Mathematical Sciences, New York
  University, New York, NY), D.L. Stein (Department of Physics, University of
  Arizona, Tucson, AZ)","Response to Parisi's Comment on ``Non-mean-field behavior of realistic
  spin glasses''","RevTeX file, 2 pages",,,,"adap-org cond-mat nlin.AO",,"  We expand on why our recent results rule out the standard SK picture of
realistic spin glasses.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 19:02:10 GMT""}]","2008-02-03"
"hep-ph/9604216","Lucchesi","C. Lucchesi (Neuchatel U.) and G. Zoupanos (NTU, Athens)","All-order Finiteness in N=1 SYM Theories: Criteria and Applications","17 pages, plain LaTex, no figures. Some typos corrected, references
  updated","Fortschr.Phys.45:129-143,1997","10.1002/prop.2190450203","NEIP-96-001, BUTP-96-7","hep-ph hep-th",,"  As a motivation, we first recall the possible connection of electric-magnetic
duality to finiteness in N=1 super-Yang-Mills theories (SYM). Then, we present
the criterion for all-order finiteness (i.e., vanishing of the beta-functions
at all orders) in N=1 SYM. Finally, we apply this finiteness criterion to an
SU(5) SGUT. The latter turns out to be all-order finite if one imposes
additional symmetries.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 16:52:08 GMT""},{""version"":""v2"",""created"":""Mon, 23 Dec 1996 11:19:22 GMT""}]","2011-04-15"
"hep-ph/9604221","Helmut Eberl","A. Bartl, H. Eberl, S. Kraml, W. Majerotto, W. Porod, A. Sopczak","Search of Stop, Sbottom, and Stau at an $e^+e^-$ Linear Collider with
  $\sqrt{s}$ = 0.5 - 2 TeV","18 pages (including 17 figures). To appear in the Proceedings of the
  Physics with $e^+e^-$ Linear Colliders Workshop, Annecy--Gran Sasso--
  Hamburg, 1995, ed. P. Zerwas. Complete ps-file and uu-file are available via
  anonymous ftp at ftp://info.oeaw.ac.at/pub/hephy-pub/644",,,"UWThPh-1996-20, HEPHY-PUB 644/96","hep-ph",,"  We discuss pair production and decays of stops, sbottoms, and staus in
$e^+e^-$ annihilation in the energy range $\sqrt{s}$ = 500 GeV to 2 TeV. We
present numerical predictions within the Minimal Supersymmetric Standard Model
for cross sections and decay rates. We study the stop discovery potential for
$\sqrt{s}$ = 500 GeV and $10~\fb^{-1}$ integrated luminosity with full
statistics background simulation.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 16:45:48 GMT""}]","2007-05-23"
"hep-ph/9604222","Sang Hyeon Chang","Sanghyeon Chang, Hang Bae Kim","A dark matter solution from the supersymmetric axion model","11 pages, no figure, REVTEX 3.0","Phys.Rev.Lett. 77 (1996) 591-594","10.1103/PhysRevLett.77.591","FTUAM 96/15, UFIFT-HEP-96-8","hep-ph astro-ph",,"  We study the effect of the late decaying saxino (the scalar superpartner of
the axion) and find out that there is a possible dark matter solution from a
class of supersymmetric extensions of the invisible axion model. In this class
of models, the saxino which decays into two axions acts as the late decaying
particle which reconciles the cold dark matter model with high values of the
Hubble constant. Recent observations of the Hubble constant are converging to
$H_0=70\!-\!80\,{\rm km}\,{\rm sec}^{-1}\,{\rm Mpc}^{-1}$, which would be
inconsistent with the standard mixed dark matter model. This class of models
provides a plausible framework for the alternative cold dark matter plus late
decaying particle model, with the interesting possibility that both cold dark
matter and the extra radiation consist of axion.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 20:18:38 GMT""}]","2009-10-28"
"hep-ph/9604223","Martin C. Smith","Martin C. Smith and Scott S. Willenbrock","QCD and Yukawa corrections to single-top-quark production via q qbar ->
  t bbar","LaTeX, 13 pages, replaced with version to appear in Phys. Rev. D","Phys.Rev. D54 (1996) 6696-6702","10.1103/PhysRevD.54.6696",,"hep-ph",,"  We calculate the O(alpha_s) and O(alpha_W m_t^2/M_W^2) corrections to the
production of a single top quark via the weak process q qbar -> t bbar at the
Fermilab Tevatron and the CERN Large Hadron Collider. An accurate calculation
of the cross section is necessary in order to extract |V_tb| from experiment.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 04:32:40 GMT""},{""version"":""v2"",""created"":""Fri, 1 Nov 1996 19:53:11 GMT""}]","2009-10-28"
"hep-ph/9604224","Cheuk-Yin Wong","Cheuk-Yin Wong and Lali Chatterjee","Effects of Screening on Quark-Antiquark Cross Sections in Quark-Gluon
  Plasma","29 pages (REVTeX), includes 10 postscript figures","Z.Phys.C75:523-534,1997","10.1007/s002880050496","ORNL-CTP-96-01","hep-ph nucl-th",,"  Lowest-order cross sections for $q\bar q$ production and annihilation can be
approximately corrected for higher-order QCD effects by using a corrective
$K$-factor. For energies where quark masses cannot be ignored, the $K$-factor
is dominated by the wave function distortion arising from the initial- or
final-state interaction between the quark and the antiquark. We evaluate this
$K$-factor for $q \bar q$ production and annihilation in a quark-gluon plasma
by taking into account the effects of Debye screening through a color-Yukawa
potential. We present the corrective $K$-factor as a function of dimensionless
parameters which may find applications in other systems involving attractive or
repulsive Yukawa interactions. Prominent peaks of the $K$-factor occur for an
attractive $q$-$\bar q$ color-Yukawa interaction with Debye screening lengths
of 0.835 and 3.23 times the Bohr radius, corresponding to two lowest $s$-wave
$q\bar q$ bound states moving into the continuum to become $q\bar q$ resonances
as the Debye screening length decreases. These resonances, especially the
$c\bar c$ and the $b \bar b$ resonances, may be utilized to search for the
quark-gluon plasma by studying the systematics of the temperature dependence of
heavy-quark pair production just above the threshold.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 22:26:27 GMT""},{""version"":""v2"",""created"":""Wed, 3 Apr 1996 14:41:46 GMT""}]","2011-01-27"
"hep-ph/9604225","Hwang","Dae Sung Hwang (Dept. of Physics, Sejong Univ.), C. S. Kim (Dept. of
  Physics, Yonsei Univ.) and Wuk Namgung (Dept. of Physics, Dongguk Univ.)","Average Kinetic Energy of Heavy Quark in Semileptonic B Decay","23 pages(LaTeX), 2 Postscript figures, uses aps.sty","Phys.Rev.D54:5620-5628,1996","10.1103/PhysRevD.54.5620",,"hep-ph",,"  Within the ACCMM model the average kinetic energy of heavy quark in a
heavy-light meson is calculated as $\langle {\bf p}^2 \rangle = {3 \over 2}
{p_{_F}}^2$, solely from the fact that the Gaussian momentum probability
distribution has been taken in the ACCMM model. Therefore, the Fermi momentum
parameter $p_{_F}$ of the ACCMM model is not a truly free parameter, but is
closely related to the average kinetic energy of heavy quark, which is
theoretically calculable in principle. In this context, we determine $p_{_F}$
by comparing the theoretical prediction of the ACCMM model with the model
independent lepton energy spectrum of $B \rightarrow e \nu X$ from the recent
CLEO analysis, and find that $p_{_F}=0.54~\pm~^{0.16}_{0.15}$ GeV. We also
calculate $p_{_F}$ in the relativistic quark model by applying the quantum
mechanical variational method, and obtained $p_{_F}=0.5\sim 0.6$ GeV. We show
the correspondences between the relativistic quark model and the heavy quark
effective theory. We then clarify the importance of the value of $p_{_F}$ in
the determination of $|V_{ub}/V_{cb}|$.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 02:23:14 GMT""},{""version"":""v2"",""created"":""Sat, 6 Apr 1996 03:09:08 GMT""},{""version"":""v3"",""created"":""Mon, 22 Jul 1996 08:06:52 GMT""}]","2010-11-23"
"hep-ph/9604226","Nikolai N. Achasov","N.N. Achasov (S.L. Sobolev Institute for Mathematics SB RAS)","Production of pseudovector heavy quarkonia by virtual Z boson in
  electron-positron collisions","12 pages, revtex, two evident misprints in Eq. (12) are corrected",,,"IM SB RAS NNA 2-96","hep-ph",,"  It is shown that $BR(\chi_{b1}(1P)\rightarrow Z\rightarrow e^+e^-)\simeq
3.3\cdot 10^{-7}$, $BR(\chi_{b1}(2P)\rightarrow Z\rightarrow e^+e^-)\simeq
4.1\cdot 10^{-7}$ and $BR(\chi_{c1}(1P)\rightarrow Z\rightarrow e^+e^-)\simeq
10^{-8}$ that give a good chance to search for the direct production of
pseudovector $^3P_1$ heavy quarkonia in $e^+e^-$ collisions ($e^+e^-\rightarrow
Z\rightarrow ^3P_1$) even at current facilities not to mention $b$ and $c-\tau$
factories. Leading radiative corrections to annihilation of quarkonia in QCD
are discussed.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 02:36:00 GMT""},{""version"":""v2"",""created"":""Tue, 9 Apr 1996 02:19:33 GMT""}]","2008-02-03"
"hep-ph/9604228",,"C.Q. Geng, I.J. Hsu and Y.C. Lin","Study of Long Distance Contributions to $K\to n\pi\nu\bar{\nu}$","13 pages, LaTeX file","Phys.Rev. D54 (1996) 877-881","10.1103/PhysRevD.54.877",,"hep-ph",,"  We calculate long distance contributions to $K\to\pi\nu\bar{\nu}\,,\
\pi\pi\nu\bar{\nu}$, and $\pi\pi\pi\nu\bar{\nu}$ modes within the framework of
chiral perturbation theory. We find that these contributions to decay rates of
$K\to \pi\nu\bar{\nu}$ and $K\to \pi\pi\nu\bar{\nu}$ in the chiral logarithmic
approximation are at least seven orders of magnitude suppressed relative to
those from the short distance parts. The long distance effects in this class of
decays are therefore negligible.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 08:34:30 GMT""}]","2009-10-28"
"hep-ph/9604229","Michael Pluemacher","Michael Pluemacher","Baryogenesis and lepton number violation","latex2e, 22 pages, 9 figures, uses epsfig, pstricks and pst-coil","Z.Phys. C74 (1997) 549-559",,"DESY 96-052","hep-ph astro-ph",,"  The cosmological baryon asymmetry can be explained by the nonperturbative
electroweak reprocessing of a lepton asymmetry generated in the
out-of-equilibrium decay of heavy right-handed Majorana neutrinos. We analyze
this mechanism in detail in the framework of a SO(10)-subgroup. We take three
right-handed neutrinos into account and discuss physical neutrino mass
matrices.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 13:40:06 GMT""}]","2007-05-23"
"hep-ph/9604230","Gennaro Miele","F. Buccella, G. Miele and N. Tancredi","Quantum Statistical Parton Distributions and the Spin Crisis","plain LaTeX, 18 pages + 14 figures, revised version with changes in
  the text and in some figures, to appear in Progress of Theor. Phys. Vol. 96
  (October 1996) No. 4","Prog.Theor.Phys. 96 (1996) 749-770","10.1143/PTP.96.749","DSF-16/96","hep-ph",,"  Quantum statistical distributions for the partons provide a fair description
of deep inelastic scattering data at $Q^2 = 3$ and $10 (GeV/c)^2$. The study of
the polarized structure functions seems to suggest an alternative possible
solution of the {\it spin crisis} based on the Pauli principle. In this scheme,
in fact, the defects of the Gottfried sum rule and Ellis--Jaffe sum rule for
proton, result strongly connected. This possibility finds particular evidence
from the phenomenological observation that the relation $\Delta u = 2 \tilde{F}
+ u - d -1$ seems well satisfied by parton distributions.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 13:52:47 GMT""},{""version"":""v2"",""created"":""Thu, 12 Sep 1996 08:07:41 GMT""}]","2009-10-28"
"hep-ph/9604231","Ed Copeland","E.J. Copeland and P.M. Saffin","Bubble collisions in Abelian gauge theories and the geodesic rule","8 pages RevTeX file plus 9 postscript figures (uses RevTeX). Can also
  be obtained by emailing EJC. Substantial additions include extension to the
  case of three bubble collisions, and the effect of dissipation","Phys.Rev. D54 (1996) 6088-6094","10.1103/PhysRevD.54.6088",,"hep-ph astro-ph",,"  In an Abelian gauge symmetry, spontaneously broken at a first order phase
transition, we investigate the evolution of two and three bubbles of the broken
symmetry phase. The full field equations are evolved and we concentrate in
particular on gauge invariant quantities, such as the magnetic field and the
integral around a closed loop of the phase gradient. An intriguing feature
emerges, namely, the geodesic rule, commonly used in numerical simulations to
determine the density of defects formed is shown not to hold in a number of
circumstances. It appears to be a function of the initial separation of the
bubbles, and the coupling strength of the gauge field. The reason for the
breakdown is that in the collision region the radial mode {\it can} be excited
and {\it often} oscillates about its symmetry restoring value rather than
settling to its broken symmetry value. This can lead to extra windings being
induced in these regions, hence extra defects (anti-defects) being formed.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 14:33:54 GMT""},{""version"":""v2"",""created"":""Wed, 3 Jul 1996 17:23:27 GMT""}]","2009-10-28"
"hep-th/9604007","Azizollah Shafiekhani","A. Shafiekhani, M.R. Rahimi Tabar","Logarithmic Operators in Conformal Field Theory and The
  $\W_\infty$-algebra","19 pages, LaTex, no figures, Version to appear in Int. J. Mod. Phys.
  A 12 (1997)","Int.J.Mod.Phys. A12 (1997) 3723-3738","10.1142/S0217751X97001912","IPM-96-138","hep-th",,"  It is shown explicitly that the correlation functions of Conformal Field
Theories (CFT) with the logarithmic operators are invariant under the
differential realization of Borel subalgebra of $\W_\infty$-algebra. This
algebra is constructed by tensor-operator algebra of differential
representation of ordinary $sl(2,C)$. This method allows us to write
differential equations which can be used to find general expression for three
and four-point correlation functions possessing logarithmic operators. The
operator product expansion (OPE) coefficients of general logarithmic CFT are
given up to third level.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 23:02:28 GMT""},{""version"":""v2"",""created"":""Thu, 11 Apr 1996 17:04:33 GMT""},{""version"":""v3"",""created"":""Thu, 1 May 1997 01:24:47 GMT""}]","2009-10-30"
"hep-th/9604013","Alexandros Kehagias","S. Forste, A. Kehagias and S. Schwager","Non-Abelian Duality for Open Strings","18 pages, Latex. Some formulas are added. Final version to appear in
  Nucl. Phys. B","Nucl.Phys.B478:141-155,1996","10.1016/0550-3213(96)00422-1","TUM-HEP-243/96, LMU-TPW 96-13","hep-th",,"  We examine non-abelian duality transformations in the open string case. After
gauging the isometries of the target space and developing the general
formalism, we study in details the duals oftarget spaces with SO(N) isometries
which, for the SO(2) case, reduces to the known abelian T-duals. We apply the
formalism to electrically and magnetically charged 4D black hole solutions and,
as in the abelian case, dual coordinates satisfy Dirichlet conditions.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 16:51:44 GMT""},{""version"":""v2"",""created"":""Thu, 8 Aug 1996 16:44:49 GMT""}]","2014-11-18"
"hep-th/9604014","Moshe Rozali","Willy Fischler, Sonia Paban, and Moshe Rozali","Collective coordinates for D-branes","11 pages, 5 figures. Corrected reference [12], added remark about
  contributions from virtual recoil of the brane","Phys.Lett. B381 (1996) 62-67","10.1016/0370-2693(96)00556-4","UTTG-01-96","hep-th",,"  We develope a formalism for the scattering off D-branes that includes
collective coordinates. This allows a systematic expansion in the string
coupling constant for such processes, including a worldsheet calculation for
the D-brane's mass.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 20:33:54 GMT""},{""version"":""v2"",""created"":""Thu, 11 Apr 1996 17:28:39 GMT""}]","2009-10-30"
"hep-th/9604015","Heribert Weigert","Stefan Leupold and Heribert Weigert","Radial propagators and Wilson loops","26 pages, LaTeX2e, 4 postscript figures included. Uses epsf,
  latexsym, amssymb and fancyheadings","Phys.Rev. D54 (1996) 7695-7709","10.1103/PhysRevD.54.7695","TPR-95-31","hep-th hep-ph",,"  We present a relation which connects the propagator in the radial
(Fock-Schwinger) gauge with a gauge invariant Wilson loop. It is closely
related to the well-known field strength formula and can be used to calculate
the radial gauge propagator. The result is shown to diverge in four-dimensional
space even for free fields, its singular nature is however naturally explained
using the renormalization properties of Wilson loops with cusps and
self-intersections. Using this observation we provide a consistent
regularization scheme to facilitate loop calculations. Finally we compare our
results with previous approaches to derive a propagator in Fock-Schwinger
gauge.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 20:58:48 GMT""}]","2009-10-30"
"hep-th/9604017","Antonio Gonzalez-Arroyo","A. Gonzalez-Arroyo and A. Montero","Do classical configurations produce Confinement?","Uuencoded, Z-compressed and tarred file of the TeX file submit.tex
  and PostScript files Stnt.eps and Stst.eps. 11 pages of text and two figures","Phys.Lett.B387:823-828,1996","10.1016/0370-2693(96)01107-0","FTUAM/96-13","hep-th hep-lat",,"  We show that certain classical SU(2) pure gauge configurations give rise to a
non-zero string tension. We then investigate cooled configurations generated by
Monte Carlo simulations on the lattice and find similar properties. We infer
evidence in favour of a classical model of Confinement.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 13:42:36 GMT""}]","2008-11-26"
"hep-th/9604018","Heinzl Thomas","Thomas Heinzl (University of Regensburg)","Hamiltonian Formulations of Yang-Mills Quantum Theory and the Gribov
  Problem","29 pages, no figures",,,"TPR-95-30","hep-th",,"  We review the status of quantising (non-abelian) gauge theories using
different versions of a Hamiltonian formulation corresponding to Dirac's
instant and front form of dynamics, respectively. In order to control infrared
divergences we work in a finite spatial volume, chosing a torus geometry for
convenience. We focus on the determination of the physical configuration space
of gauge invariant variables via gauge fixing. This naturally leads us to the
issue of the Gribov problem. We discuss it for different gauge choices, in
particular finite volume modifications of the axial gauge. Conventional and
light-front quantisation are compared and the differences pointed out.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 10:59:53 GMT""}]","2007-05-23"
"hep-th/9604019","Simona Ispas","S. Ciulli, S. Ispas (Univ. de Montpellier 2) and M.K. Pidcock (Oxford
  Brookes University)","Anomalous thresholds and edge singularities in Electrical Impedance
  Tomography","Correction of a misprint which occurred in the unnumbered formula
  preceding Eq. (14), LaTeX file as an uuencoded file, 40 pages with 12
  figures, uses epsf.sty","J.Math.Phys. 37 (1996) 4388-4417","10.1063/1.531637","PM-96/19 (this is the enlarged version of the earlier report
  PM-95/21)","hep-th",,"  Studies of models of current flow behaviour in Electrical Impedance
Tomography (EIT) have shown that the current density distribution varies
extremely rapidly near the edge of the electrodes used in the technique. This
behaviour imposes severe restrictions on the numerical techniques used in image
reconstruction algorithms. In this paper we have considered a simple two
dimensional case and we have shown how the theory of end point/pinch
singularities which was developed for studying the anomalous thresholds
encountered in elementary particle physics can be used to give a complete
description of the analytic structure of the current density near to the edge
of the electrodes. As a byproduct of this study it was possible to give a
complete description of the Riemann sheet manifold of the eigenfunctions of the
logarithmic kernel. These methods can be readily extended to other weakly
singular kernels.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 12:38:25 GMT""},{""version"":""v2"",""created"":""Thu, 4 Apr 1996 08:16:42 GMT""},{""version"":""v3"",""created"":""Fri, 23 Aug 1996 14:52:43 GMT""}]","2009-10-30"
"hep-th/9604020","Lucchesi","C. Lucchesi","Hard Thermal Loops, Quark-Gluon Plasma Response, and T=0 Topology","9 pages, LaTex, 1 ps figure. hep-ph corrected to hep-th in paper
  heading",,,"NEIP-95-015","hep-th hep-ph",,"  I outline various derivations of the non-Abelian Kubo equation, which governs
the response of a quark-gluon plasma to hard thermal perturbations. In the
static case, it is proven that gauge theories do not support hard thermal
solitons. Explicit solutions are constructed within an SU(2) Ansatz and they
are shown to support the general result. The time-dependent problem, i.e.,
non-Abelian plasma waves, has not been completely solved. We express and
motivate the hope that the intimate relations linking the gauge-invariance
condition for hard thermal loops to the equation of motion for T=0, topological
Chern-Simons theory may yield new insight into this field.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 12:41:02 GMT""},{""version"":""v2"",""created"":""Thu, 4 Apr 1996 12:02:48 GMT""}]","2008-02-03"
"math/9604231",,"Hector E. Lomeli and James D. Meiss","Heteroclinic orbits and transport in a perturbed integrable standard map",,"Phys. Lett. A 269(5-6): 309-318 (2000)","10.1016/S0375-9601(00)00264-4","Dynamical Systems 4/3/96","math.DS",,"  Explicit formulae are given for the saddle connection for an integrable
family of standard maps studied by Suris. A generalization of Melnikov's method
shows that, upon perturbation, this connection is destroyed. We give explicit
formula for the first order approximation of the area of the lobes of the
resultant turnstile. It is shown that the lobe area is exponentially small in
the limit when the Suris map approaches the trivial twist map.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 00:00:00 GMT""}]","2020-06-02"
"nucl-th/9604002","L. Jaede","L. Jaede, H. V. von Geramb (Theoretische Kernphysik, Universitaet
  Hamburg)","A nonlinear approach to NN interactions using self-interacting meson
  fields","Reviewed version, 25 pages REVTeX, more info at
  http://i04ktha.desy.de","Phys.Rev.C55:57-66,1997","10.1103/PhysRevC.55.57",,"nucl-th hep-ph",,"  Motivated by the success of models based on chiral symmetry in NN
interactions we investigate self-interacting scalar, pseudoscalar and vector
meson fields and their impact for NN forces. We parametrize the corresponding
nonlinear field equations and get analytic wavelike solutions. A probability
amplitude for the propagation of particle states is calculated and applied in
the framework of a boson-exchange NN potential. Using a proper normalization of
the meson fields makes all self-scattering amplitudes finite. The same
normalization is able to substitute for the phenomenological form factors used
in conventional boson exchange potentials and thus yields an phenomenological
understanding of this part of the NN interaction. We find an empirical scaling
law which relates the meson self-interaction couplings to the pion mass and
self-interaction coupling constant. Our model yields np phase shifts comparable
to the Bonn B potential results and deuteron properties, in excellent agreement
with experimental data.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 16:35:52 GMT""},{""version"":""v2"",""created"":""Mon, 13 Jan 1997 19:46:02 GMT""}]","2008-11-26"
"nucl-th/9604003","Elaine Remillard","M. S. Fayache, Y.Y. Sharon, L. Zamick, P. von Neumann-Cosel and A.
  Richter","Effects of the Spin-Orbit and Tensor Interactions on the $M1$ and $E2$
  Excitations in Light Nuclei","39 pages, revtex 3.0",,"10.1016/S0375-9474(97)00403-X","RU9618","nucl-th",,"  The effects of varying the spin-orbit and tensor components of a realistic
interaction on $M1$ excitation rates and $B(E2)'s$ are studied on nuclei in the
$0p$ and $1s-0d$ shells. Not only the total $M1$ but also the spin and orbital
parts separately are studied. The single-particle energies are first calculated
with the same interaction that is used between the valence nucleons. Later this
stringent condition is relaxed somewhat and the $1s$ level is raised relative
to $0d$. For nuclei up to $^{28}Si$, much better results i.e stronger $B(M1)$
rates are obtained by increasing the strength of the spin-orbit interaction
relative to the free value. This is probably also true for $^{32}S$, but
$^{36}Ar$ presents some difficulties. The effects of weakening the tensor
interaction are also studied. On a more subtle level, the optimum spin-orbit
interaction in the lower half of the $s-d$ shell, as far as $M1$ excitations
are concerned, is substantially larger than the difference
$E(J=3/2^+)_1-E(J=5/2^+)_1=5.2~MeV$ in $^{17}O$. A larger spin-orbit splitting
is also needed to destroy the triaxiality in $^{22}Ne$. Also studied are how
much $M1$ orbital and spin strength lies in an observable region and how much
is buried in the grass at higher energies. It is noted that for many nuclei the
sum $B(M1)_{orbital}+B(M1)_{spin}$ is very close to $B(M1)_{total}$, indicating
that the summed cross terms are very small.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 21:30:19 GMT""}]","2009-10-30"
"nucl-th/9604004",,"S.M. Johns, P.J. Ellis (University of Minnesota) and J.M. Lattimer
  (SUNY at Stony Brook)","Numerical Approximation to the Thermodynamic Integrals","24 pages, Latex (no figures)","Astrophys.J. 473 (1996) 1020-1028","10.1086/178212","NUC-MINN-95/22-T","nucl-th astro-ph hep-ph",,"  We approximate boson thermodynamic integrals as polynomials in two variables
chosen to give the correct limiting expansions and to smoothly interpolate into
other regimes. With 10 free parameters, an accuracy of better than 0.009\% is
achieved for the pressure, internal energy density and the number density. We
also revisit the fermion case, originally addressed by Eggleton, Faulkner and
Flannery (1973), and substantially improve the accuracy of their fits.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 00:13:05 GMT""}]","2009-10-30"
"nucl-th/9604005","Sabine Jeschonnek","S.Jeschonnek, S.Krewald, and A.Szczurek","Final State Charge Exchange Interactions in the $^{12}C(e,e'p)$ Reaction","9 pages Revtex, 4 figures","Phys.Rev.C54:2066-2068,1996","10.1103/PhysRevC.54.2066","Juelich preprint KFA-IKP(Th)-1996-2","nucl-th",,"  The $^{12}C(e,e'p)$ reaction is analyzed in a model which explicitly includes
final state interactions due to the coupling of the proton and neutron emission
channels. We find that the effects of the final state interactions due to
charge exchange reactions are important to get a good description of the
symmetry properties of the recently measured Mainz spectral functions. We
discuss the possible role the off-shell effects may play for the correct
interpretation of spectral functions at large positive missing momenta.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 11:36:47 GMT""}]","2008-11-26"
"plasm-ph/9604001","Berezhiani Vazha","A.D. Rogava, G.D. Chagelishvili, and V.I. Berezhiani","Electrostatic Ion Perturbations in Unmagnetized Plasma Shear Flow","13 pages, RevTEX, no figures, no macros",,,"ICTP preprint IC/96/37","plasm-ph physics.plasm-ph",,"  The electrostatic perturbations in an unmagnetized, non-isothermal
($T_i{\ll}T_e$) electron-ion plasma shear flow are considered. New physical
effects, arising due to the non-normality of linear dynamics, are described. It
is shown that the velocity shear induces the extraction of the mean flow energy
by the acoustic perturbations (ion-sound waves). The influence of the medium
dispersion, rising due to the violation of quasineutrality for perturbations,
is examined. It is shown that in the course of the evolution ion-sound waves
turn into ion plasma oscillations. New class of nonperiodic, electrostatic
perturbations (with vortical motion of ion component), characterized by the
intense energy exchange with the mean flow, is also described.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 16:31:30 GMT""}]","2008-02-03"
"q-alg/9604001","Vadim Schechtman","Michael Finkelberg and Vadim Schechtman","Localization of modules over small quantum groups","amslatex, 49 pages. File corrected to be understandable by obsolete
  versions of amslatex",,,,"q-alg math.QA",,"  A report on the works hep-th/9411050, q-alg/9412017, q-alg/9503013,
q-alg/9506011 and a joint work with R.Bezrukavnikov.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 00:37:25 GMT""},{""version"":""v2"",""created"":""Thu, 25 Apr 1996 16:18:52 GMT""}]","2008-02-03"
"q-alg/9604002","Takashi Takebe","Takashi Takebe (Department of Math. Sci., Univ. of Tokyo/ Department
  of Math., Univ. of California, Berkeley)","A system of difference equations with elliptic coefficients and Bethe
  vectors","20 pages, AMS-LaTeX ver.1.1 (amssymb), 15 figures in LaTeX picture
  environments","Commun.Math.Phys. 183 (1997) 161-182","10.1007/BF02509800",,"q-alg hep-th math.QA",,"  An elliptic analogue of the $q$ deformed Knizhnik-Zamolodchikov equations is
introduced. A solution is given in the form of a Jackson-type integral of Bethe
vectors of the XYZ-type spin chains.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 01:44:19 GMT""}]","2009-10-30"
"q-alg/9604003","VAN DIEJEN Jan Felipe","J.F. van Diejen","Commuting difference operators with applications to orthogonal
  polynomials in several variables","5 pages, REVTeX with amssymb","Lett. Math. Phys. 39 (1997), 341--347","10.1023/A:1007377231440",,"q-alg math.QA",,"  Elementary properties of the Koornwinder-Macdonald multivariable Askey-Wilson
polynomials are discussed. Studied are the orthogonality, the difference
equations, the recurrence relations, and the orthonormalization constants for
these polynomials. Essential in our approach are certain commuting difference
operators simultaneously diagonalized by the polynomials.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 10:00:35 GMT""}]","2010-09-28"
"q-alg/9604004","VAN DIEJEN Jan Felipe","Jan F. van Diejen","Properties of some families of hypergeometric orthogonal polynomials in
  several variables","42 pages, AMSLaTeX 1.1 with amssymb","Trans. Amer. Math. Soc. 351 (1999), 233--270","10.1090/S0002-9947-99-02000-0","OP-SF 30 Mar 1996","q-alg math.CA math.QA",,"  Limiting cases are studied of the Koornwinder-Macdonald multivariable
generalization of the Askey-Wilson polynomials. We recover recently and not so
recently introduced families of hypergeometric orthogonal polynomials in
several variables consisting of multivariable Wilson, continuous Hahn and
Jacobi type polynomials, respectively. For each class of polynomials we provide
systems of difference (or differential) equations, recurrence relations, and
expressions for the norms of the polynomials in terms of the norm of the
constant polynomial.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 09:52:23 GMT""}]","2010-09-28"
