"acc-phys/9604002",,"B. Norum and R. Rossmanith","Polarized Beams in a Muon Collider","ps-file","Nucl.Phys.Proc.Suppl.51A:191-200,1996",,"BNL-CAS-TH-10-96","acc-phys physics.acc-ph",,"  This paper presents a first overview on how to obtain and maintain polarized
beams in a muon-collider
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 14:34:03 GMT""}]","2009-07-28"
"cond-mat/9604068","Andreas Voigt","A. Voigt and J.Richter (Universitaet Magdeburg, Germany)","The J_1-J_2 antiferromagnet with Dzyaloshinskii-Moriya interaction on
  the square lattice: An exact diagonalization study","7 pages, RevTeX, 6 ps-figures, to appear in J. Phys.: Cond. Mat","J. Phys.: Condens. Matter 8 (1996) 5059-5069","10.1088/0953-8984/8/27/015",,"cond-mat",,"  We examine the influence of an anisotropic interaction term of
Dzyaloshinskii-Moriya (DM) type on the groundstate ordering of the J_1-J_2
spin-1/2-Heisenberg antiferromagnet on the square lattice. For the DM term we
consider several symmetries corresponding to different crystal structures. For
the pure J_1-J_2 model there are strong indications for a quantum spin liquid
in the region of 0.4 < J_2/J_1 < 0.65. We find that a DM interaction influences
the breakdown of the conventional antiferromagnetic order by i) shifting the
spin liquid region, ii) changing the isotropic character of the groundstate
towards anisotropic correlations and iii) creating for certain symmetries a net
ferromagnetic moment.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 14:07:54 GMT""}]","2009-10-28"
"cond-mat/9604069","Dalfovo Franco","F. Dalfovo, L. Pitaevskii and S. Stringari","Order Parameter at the Boundary of a Trapped Bose Gas","11 pages, REVTEX, 4 figures (uuencoded-gzipped-tar file) also
  available at http://anubis.science.unitn.it/~dalfovo/papers/papers.html","Phys. Rev. A 54 (1996) 4213","10.1103/PhysRevA.54.4213","UTF-374/96","cond-mat",,"  Through a suitable expansion of the Gross-Pitaevskii equation near the
classical turning point, we obtain an explicit solution for the order parameter
at the boundary of a trapped Bose gas interacting with repulsive forces. The
kinetic energy of the system, in terms of the classical radius $R$ and of the
harmonic oscillator length $a_{_{HO}}$, follows the law $E_{kin}/N \propto
R^{-2} [\log (R/a_{_{HO}}) + \hbox{const.}]$, approaching, for large $R$, the
results obtained by solving numerically the Gross-Pitaevskii equation. The
occurrence of a Josephson-type current in the presence of a double trap
potential is finally discussed.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 14:22:09 GMT""}]","2009-10-28"
"cond-mat/9604070","Andreas Engel","Andreas Engel","Correlation of internal representations in feed-forward neural networks","6 pages, latex, 1 figure",,"10.1088/0305-4470/29/13/003","35/96","cond-mat",,"  Feed-forward multilayer neural networks implementing random input-output
mappings develop characteristic correlations between the activity of their
hidden nodes which are important for the understanding of the storage and
generalization performance of the network. It is shown how these correlations
can be calculated from the joint probability distribution of the aligning
fields at the hidden units for arbitrary decoder function between hidden layer
and output. Explicit results are given for the parity-, and-, and
committee-machines with arbitrary number of hidden nodes near saturation.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 14:37:04 GMT""}]","2009-10-28"
"cond-mat/9604075",,"T. Bergeman (SUNY Stony Brook)","Mean Field Calculations of Bose-Einstein Condensation of 7Li Atoms In a
  Harmonic Trap","11 pages + 4 figures",,"10.1103/PhysRevA.55.3658",,"cond-mat",,"  A self-consistent mean-field theory for bosons for T>0 is used to reconcile
predictions of collapse with recent observations of Bose-Einstein condensation
of 7Li. Eigenfunctions of a (non-separable) Hamiltonian that includes the
anisotropic external trap field and atom-atom interactions are obtained by an
iteration process. A sum over the Bose distribution, and the ``alternating
direction implicit'' algorithm are used. Near Tc, the ensemble exhibits a
localized condensate composed of atoms in the few lowest states. For lower T,
numerical instability indicates collapse to a more dense phase.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 13:58:23 GMT""}]","2009-10-28"
"dg-ga/9604002","Ayse Bilge","Ayse Humeyra Bilge","Self-duality in Dimensions $2n>4$: Equivalence of Various Definitions,
  and an Upper Bound for $p_2$","9 pages",,,,"dg-ga hep-th math.DG",,"  We show that the self-duality defined in [Trautman, Int.J.Theor.Phys.,{\bf
16},561 (1977)] is equivalent to strong self-duality defined in [Bilge, Dereli
and Kocak, Lett.Math.Phys., {\bf 36}, 301-309, (1996)] and we obtain an upper
bound on $\int (p_2)^{n}$, where $p_2$ is the second Pontrjagin class of an
$SO(N)$ bundle over a $8n$ dimensional manifold.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 09:12:00 GMT""}]","2008-02-03"
"gr-qc/9604024","Takahiro Masuda","Takahiro Masuda, Hisao Suzuki","Integral Equations of Fields on the Rotating Black Hole","14 pages, LaTeX, no figures","J.Math.Phys. 38 (1997) 3669-3678","10.1063/1.532060","EPHOU 96-002","gr-qc",,"  It is known that the radial equation of the massless fields with spin around
Kerr black holes cannot be solved by special functions. Recently, the analytic
solution was obtained by use of the expansion in terms of the special functions
and various astrophysical application have been discussed. It was pointed out
that the coefficients of the expansion by the confluent hypergeometric
functions are identical to those of the expansion by the hypergeometric
functions. We explain the reason of this fact by using the integral equations
of the radial equation. It is shown that the kernel of the equation can be
written by the product of confluent hypergeometric functions. The integral
equaton transforms the expansion in terms of the confluent hypergeometric
functions to that of the hypergeometric functions and vice versa,which explains
the reason why the expansion coefficients are universal.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 07:38:55 GMT""}]","2015-06-25"
"gr-qc/9604028","Arkady A. Popov","Yu. Ignat'ev, A. Popov (Kazan State Pedagogical University)","Spherically Symmetric Perturbation of Ultrarelativistic Fluid in
  Homogeneous and Isotropic Universe","8 pages, LaTex, no figures",,"10.1016/0375-9601(96)00524-5",,"gr-qc astro-ph",,"  A solution of the linearized Einstein's equations for a spherically symmetric
perturbation of the ultrarelativistic fluid in the homogeneous and isotropic
universe is obtained. Conditions on the boundary of the perturbation are
discussed. The examples of particle-like and wave-like solutions are given.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 13:46:40 GMT""}]","2009-10-28"
"hep-ex/9604004","Enomoto","S.K.Sahu et al","Measurement of Radiation Damage on Silica Aerogel \v Cerenkov Radiator","Latex, article, epsf, 21 pages, 5 figures (eps)","Nucl.Instrum.Meth.A382:441-446,1996","10.1016/S0168-9002(96)00768-1","Belle-preprint 96-1","hep-ex",,"  We measured the radiation damage on silica aerogel \v Cerenkov radiators
originally developed for the $B$-factory experiment at KEK. Refractive index of
the aerogel samples ranged from 1.012 to 1.028. The samples were irradiated up
to 9.8~MRad of equivalent dose. Measurements of transmittance and refractive
index were carried out and these samples were found to be radiation hard.
Deteriorations in transparency and changes of refractive index were observed to
be less than 1.3\% and 0.001 at 90\% confidence level, respectively. Prospects
of using aerogels under high-radiation environment are discussed.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 08:54:14 GMT""}]","2010-03-26"
"hep-ph/9604283","Alexey Petrov","John F. Donoghue, Eugene Golowich, Alexey A. Petrov and Jo\~ao M.
  Soares (University of Massachusetts)","Systematics of soft final state interactions in $B$ decay","11 pages, REVTeX, no figures","Phys.Rev.Lett. 77 (1996) 2178-2181","10.1103/PhysRevLett.77.2178","UMHEP-427","hep-ph",,"  By using very general and well established features of soft strong
interactions we show, contrary to conventional expectations, that (i) soft
final state interactions (FSI) do not disappear for large $m_B$, (ii) inelastic
rescattering is expected to be the main source of soft FSI phases, and (iii)
flavor off-diagonal FSI are suppressed by a power of $m_B$, but are quite
likely to be significant at $m_B\simeq 5$~GeV. We briefly discuss the influence
of these interactions on tests of CP-violation and on theoretical calculations
of weak decays.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 18:53:34 GMT""}]","2009-10-28"
"hep-ph/9604284","Yuval Kluger","F. Cooper, Y. Kluger and E. Mottola","Anomalous Transverse Distribution of Pions as a signal for the
  production of DCC's","10 pages, LaTex and 3 eps figures","Phys.Rev.C54:3298-3301,1996","10.1103/PhysRevC.54.3298","LBL-38585","hep-ph",,"  We give evidence that the production of DCC's during a non-equilibrium phase
transition can lead to an anomalous transverse distribution of secondary pions
when compared to a more conventional boost invariant hydrodynamic flow in local
thermal equilibrium. Our results pertain to the linear $\sigma$ model,treated
in leading order in large-$N$, in a boost invariant approximation. We also show
that the interpolating number density of the field theory calculation plays the
role of a classical relativistic phase space number distribution in determining
the momentum distribution of pions in the center of mass frame.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 23:34:48 GMT""}]","2008-11-26"
"hep-ph/9604285","Probir Roy","Amitava Raychaudhuri (University of Calcutta) and Probir Roy (Tata
  Institute)","Unification and Model Building, Astroparticle Physics and Neutrinos","Working group report, 9 pages, latex, no figures",,,"CUPP-96/2, TIFR/TH/96-18","hep-ph",,"  This report summarises the work done during the Workshop on High Energy
Physics Phenomenology 4 (S.N.Bose National Centre for Basic Sciences, Calcutta,
India, Jan 2-14,1996) in Working Groups IV (Unification and Model Building) and
V (Astroparticle Physics and Neutrinos).
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 10:39:23 GMT""}]","2007-05-23"
"hep-ph/9604286",,"G. Ingelman (Uppsala University, DESY Hamburg) and M. Thunman (Uppsala
  University)","Particle Production in the Interstellar Medium","13 pages, also available at http://www3.tsl.uu.se/thep/papers/",,,"TSL/ISV-96-0136","hep-ph astro-ph",,"  The flux of neutrinos and photons originating from cosmic ray interactions
with the interstellar medium in the galaxy is calculated based on current
models for high energy particle interactions. The contribution from a possible
dark matter halo of the galaxy is considered. The photon flux gets a
non-trivial attenuation due to interactions with the cosmic background
radiation. The neutrino fluxes are compared with those originating from the
Earth's atmosphere as well as from active galactic nuclei.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 07:29:55 GMT""}]","2007-05-23"
"hep-ph/9604288",,"G. Ingelman (Uppsala University, DESY Hamburg), M. Thunman (Uppsala
  University)","High Energy Neutrino Production by Cosmic Ray Interactions in the Sun","14 pages, also available at http://www3.tsl.uu.se/thep/papers/","Phys.Rev.D54:4385-4392,1996","10.1103/PhysRevD.54.4385","TSL/ISV-96-0135","hep-ph astro-ph",,"  The flux of neutrinos originating from cosmic ray interactions with matter in
the Sun has been calculated based on Monte Carlo models for high energy
particle interactions. The resulting flux at the Earth (within the Sun's solid
angle) is higher than the corresponding one from cosmic ray interactions with
the Earth atmosphere. The smallness of the absolute rate, however, precludes it
as a practical `standard candle' for neutrino telescopes and limits neutrino
oscillation searches. On the other hand, it facilitates dark matter searches
based on neutrinos from neutralino annihilation in the Sun.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 12:00:33 GMT""}]","2014-11-17"
"hep-ph/9604289",,"G. Ingelman (Uppsala University, DESY Hamburg), M. Thunman (Uppsala
  University)","Signals for Intrinsic Charm in High Energy Interactions","18 pages, also available at http://www3.tsl.uu.se/thep/papers/","Z.Phys. C73 (1997) 505-515",,"TSL/ISV-96-0137","hep-ph",,"  The prospects to test the hypothesis of intrinsic charm quarks in the proton
are investigated. We consider how this component can be directly or indirectly
probed in deep inelastic scattering at HERA and in fixed target experiments and
find that an overlooked signal might be present in existing NMC data. Applying
the intrinsic charm model to hadron collisions we compare the resulting charm
production cross-sections with those based on standard perturbative QCD and
available data. Extrapolating to higher energies we obtain predictions for
charm production at the Tevatron and LHC.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 12:40:50 GMT""}]","2007-05-23"
"hep-ph/9604290","Adam Falk","Christian Bauer, Adam F. Falk and Michael Luke","Resumming Phase Space Logarithms in Inclusive Semileptonic $B$ Decays","18 pages, REVTeX, 8 EPS figures embedded. Final version, to appear in
  Physical Review D; one reference has been added","Phys.Rev.D54:2097-2107,1996","10.1103/PhysRevD.54.2097","JHU--TIPAC--96006, TTP96--03, UTPT--96-02","hep-ph",,"  We study logarithms of the form $\ln(m_q/m_b)$ which arise in the inclusive
semileptonic decay of a bottom quark to a quark of mass $m_q$. We use the
renormalization group to resum the leading radiative corrections to these
terms, of the form $m_q^2\alpha_s^n\ln^n(m_q/m_b)$,
$m_q^3\alpha_s^{n+1}\ln^n(m_q/m_b)$ and $m_q^4\alpha_s^n\ln^{n+1}(m_q/m_b)$.
The first two resummations are trivial, while the latter involves a non-trivial
mixing of four-fermi operators in the $1/m_b$ expansion. We illustrate this
technique in a toy model in which the semileptonic decay is mediated by a
vector interaction, before treating the more complicated case of left-handed
decay.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 12:54:08 GMT""},{""version"":""v2"",""created"":""Fri, 17 May 1996 19:38:02 GMT""}]","2014-11-17"
"hep-ph/9604291",,"M. Thunman (Uppsala University)","Searching for Heavy Quarks at NMC: A Simple Estimate of Background Muons
  from $\pi$ and $K$ decays","10 pages, also available at http://www3.tsl.uu.se/thep/papers/",,,"TSL/ISV-96-0138","hep-ph",,"  New physics can be searched for in deep inelastic scattering experiments. New
phenomena, like additional production mechanisms for heavy quarks, manifest
themselves through production and decays of short-lived hadrons, which give
additional muons in their decays. Muons from decays of light mesons can then be
a severe background, especially at fixed target experiments. In order to make a
first estimate of such a background a simple analytic method is here developed
and applied on the muon scattering experiment NMC.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 13:00:05 GMT""}]","2007-05-23"
"hep-ph/9604292","P. Dasgupta","Kakali Roy-Maity and Padmanabha Dasgupta","Evolution of structure functions in a chiral potential model","Tex file, seven pages, no figure",,,,"hep-ph",,"  Evolution of structure functions is studied in a chiral potential model which
incorporates the pion as the chiral symmetry restoring field. Evolution
equations for the quark and pion densities are derived in the lowest order at
large $Q^2$. The splitting function for quark emission from point-like pion is
flavor-dependent. This is shown to lead to nontrivial evolution of the
nonsinglet moments in the next order which is consistent with the observed
departure from the Gottfried sum rule.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 04:56:00 GMT""}]","2007-05-23"
"hep-ph/9604293","Liang Zuo-tang","Zuo-tang Liang","Single Spin Asymmetries in Inclusive High Energy Hadron-Hadron Collision
  Processes","Talk given at the Adriatico Research Conference: Trends in Collider
  Spin Physics, December 5-8, 1995, Trieste. 9 pages with 3 figures",,,"FUB-HEP/96-5","hep-ph",,"  Characteristics of the available data are briefly summarized. Different
theoretical approaches are reviewed with special attention to a
non-perturbative model which explicitly takes the orbital motion of the valence
quarks into account. The connection between such asymmetries and hyperon
polarization in unpolarized reactions is discussed.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 13:12:47 GMT""}]","2007-05-23"
"hep-ph/9604294","Ulf Meissner","H.-W. Hammer, Ulf-G. Mei{\ss}ner, D. Drechsel","Dispersion-theoretical analysis of the nucleon electromagnetic form
  factors: Inclusion of time-like data","7 pp, LaTeX, uses epsf, 2 figures in separate file, four data points
  changed, slight changes in the fits, conclusions unchanged","Phys.Lett. B385 (1996) 343-347","10.1016/0370-2693(96)00865-9","MKPH-T-96-05 and TK 96 13","hep-ph nucl-th",,"  We update a recent dispersion--theoretical fit to the nucleon electromagnetic
form factors by including the existing data in the time--like region. We show
that while the time--like data for the proton can be described consistently
with the existing world space--like data, this is not the case for the neutron.
Another measurement of the process $e^+ e^- \to \bar n n$ is called for. We
furthermore sharpen the previous estimate of the separation between the
perturbative and the non--perturbative regime, which is characterized by a
scale parameter $\Lambda^2 \simeq 10\,$GeV$^2$.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 13:15:34 GMT""},{""version"":""v2"",""created"":""Tue, 23 Apr 1996 14:34:03 GMT""}]","2009-10-28"
"hep-ph/9604295","Herbert Weigel","H. Weigel, L. Gamberg, and H. Reinhardt","Nucleon Structure Functions from a Chiral Soliton","Final version to be published in Phys. Lett. B","Phys.Lett. B399 (1997) 287-296","10.1016/S0370-2693(97)00296-7","UNITU-THEP-6/1996","hep-ph",,"  Nucleon structure functions are studied within the chiral soliton approach to
the bosonized Nambu-Jona-Lasinio model. The valence quark approximation is
employed which is justified for moderate constituent quark masses ($\sim$ 400
MeV) as the contribution of the valence quark level dominates the predictions
of nucleon properties. As examples the unpolarized structure functions for the
${\nu}p$ and ${\bar \nu}p$ scattering and the structure functions entering the
Gottfried sum rule are discussed. For the latter the model prediction is found
to reasonably well agree with a corresponding low-scale parametrization of the
empirical data.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 13:24:37 GMT""},{""version"":""v2"",""created"":""Mon, 17 Jun 1996 13:48:10 GMT""},{""version"":""v3"",""created"":""Mon, 10 Mar 1997 09:59:25 GMT""}]","2016-09-01"
"hep-ph/9604296","Yasuhiro Okada","Yoshitaka Kuno and Yasuhiro Okada (KEK)","$\mu\to e\gamma$ Search with Polarized Muons","11 pages, 2 figures, also available via anonymous ftp at
  ftp://ftp.kek.jp/kek/preprints/TH/TH-478","Phys.Rev.Lett. 77 (1996) 434-438","10.1103/PhysRevLett.77.434","KEK TH-478, KEK preprint 96-5","hep-ph",,"  A search for the lepton-flavor violating $\mu^{+}\rightarrow e^{+}\gamma$
decay using polarized muons is proposed. By measuring the angular distribution
of $e^{+}$s with respect to the muon spin direction, in particular antiparallel
$e^{+}$s, the serious physics background from $\mu^{+}\rightarrow
e^{+}\nu\overline{\nu}\gamma$ as well as accidental background from normal muon
decay accompanied by a high-energy photon can be suppressed significantly. In
addition to the enhancement of the sensitivity, the angular distribution would
discriminate among different extensions to the Standard Model, once the signal
is observed.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 15:22:08 GMT""}]","2009-10-28"
"hep-th/9604052",,"M.J. Duff, H. Lu and C.N. Pope","The Black Branes of M-theory","Latex, 13 pages, minor corrections and reference added","Phys.Lett.B382:73-80,1996","10.1016/0370-2693(96)00521-7","CTP TAMU-14/96","hep-th gr-qc",,"  We present a class of black $p$-brane solutions of M-theory which were
hitherto known only in the extremal supersymmetric limit, and calculate their
macroscopic entropy and temperature.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 03:41:21 GMT""},{""version"":""v2"",""created"":""Thu, 11 Apr 1996 17:11:29 GMT""},{""version"":""v3"",""created"":""Mon, 6 May 1996 23:01:24 GMT""}]","2009-10-07"
"hep-th/9604054","Mikhail Volkov","Mikhail S.Volkov","Computation of the winding number diffusion rate due to the cosmological
  sphaleron","Some style corrections suggested by the referee are introduced
  (mainly in Sec.II), one reference added. To appear in Phys.Rev.D 29 pages,
  LaTeX, 3 Postscript figures, uses epsf.sty","Phys.Rev. D54 (1996) 5014-5030","10.1103/PhysRevD.54.5014",,"hep-th gr-qc hep-ph",,"  A detailed quantitative analysis of the transition process mediated by a
sphaleron type non-Abelian gauge field configuration in a static Einstein
universe is carried out. By examining spectra of the fluctuation operators and
applying the zeta function regularization scheme, a closed analytical
expression for the transition rate at the one-loop level is derived. This is a
unique example of an exact solution for a sphaleron model in $3+1$ spacetime
dimensions.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 16:49:12 GMT""},{""version"":""v2"",""created"":""Tue, 23 Jul 1996 14:34:03 GMT""}]","2009-10-30"
"hep-th/9604055","R. H. Dijkgraaf","R. Dijkgraaf, E. Verlinde and H. Verlinde","BPS Quantization of the Five-Brane","27 pages, latex, no figures, to be published in Nucl. Phys. B,
  discussion of relation to D-brane counting added","Nucl.Phys.B486:89-113,1997","10.1016/S0550-3213(96)00639-6","CERN-TH/96-93, PUPT-1603","hep-th",,"  We give a unified description of all BPS states of M-theory compactified on
$T^5$ in terms of the five-brane. We compute the mass spectrum and degeneracies
and find that the $SO(5,5,Z)$ U-duality symmetry naturally arises as a
T-duality by assuming that the world-volume theory of the five-brane itself is
described by a string theory. We also consider the compactification on $S^1/Z_2
\times T^4$, and give a new explanation for its correspondence with heterotic
string theory by exhibiting its dual equivalence to M-theory on $K3\times S^1$.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 17:30:40 GMT""},{""version"":""v2"",""created"":""Mon, 18 Nov 1996 08:54:22 GMT""}]","2009-07-09"
"hep-th/9604056","Amit Ghosh","Amit Ghosh","QED_2 in Curved Backgrounds","31 pages, latex, no figures, minor error corrected",,,"SINP/TNP/96-06","hep-th",,"  Here we discuss the two dimensional quantum electrodynamics in curved
space-time, especially in the background of some black holes. We first show the
existence of some new quantum mechanical solution which has interesting
properties. Then for some special black holes we discuss the fermion-black hole
scattering problem. The issue of confinement is intimately connected with these
solutions and we also comment on this in this background. Finally, the
entanglement entropy and the Hawking radiation are also discussed in this
background from a slightly different viewpoint.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 21:37:15 GMT""},{""version"":""v2"",""created"":""Fri, 12 Apr 1996 05:07:41 GMT""}]","2008-02-03"
"hep-th/9604057","Esperanza Lopez","C. Gomez, R. Hernandez and E. Lopez","Integrability, Jacobians and Calabi-Yau Threefolds","8 pages, Latex, based on a talk given by C. Gomez at the ""VIII
  Regional Meeting on Mathematical Physics"", Oct. 1995, Iran",,,,"hep-th",,"  The integrable systems associated with Seiberg-Witten geometry are considered
both from the Hitchin-Donagi-Witten gauge model and in terms of intermediate
Jacobians of Calabi-Yau threefolds. Dual pairs and enhancement of gauge
symmetries are discussed on the basis of a map from the Donagi-Witten
``moduli'' into the moduli of complex structures of the Calabi-Yau threefold.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 00:22:07 GMT""}]","2007-05-23"
"hep-th/9604058",,"H. Lu, C.N. Pope and K.W. Xu","Liouville and Toda Solitons in M-theory","Latex, 10 pages. Minor corrections to text and title","Mod.Phys.Lett.A11:1785-1796,1996","10.1142/S0217732396001776","CTP TAMU-12/96, IC/96/54","hep-th",,"  We study the general form of the equations for isotropic single-scalar,
multi-scalar and dyonic $p$-branes in superstring theory and M-theory, and show
that they can be cast into the form of Liouville, Toda (or Toda-like)
equations. The general solutions describe non-extremal isotropic $p$-branes,
reducing to the previously-known extremal solutions in limiting cases. In the
non-extremal case, the dilatonic scalar fields are finite at the outer event
horizon.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 03:18:22 GMT""},{""version"":""v2"",""created"":""Tue, 11 Jun 1996 08:10:54 GMT""}]","2009-10-07"
"hep-th/9604060",,"D.Ts. Stoyanov","A Model of Quantum Electrodynamics with Higher Derivatives","20 pages, latex, no figures",,,"INRNE-TH-96/5","hep-th",,"  A new version of application Pauli-Villars regularized Green functions in the
quantum field theory using higher derivatives is proposed. In this version the
regularizing mass $M$ is large but finite. Our approach is demonstrated and
discussed on the example of QED. It is shown that in our case there are no
ultraviolet divergences and - on the example of the selfenergy spinor Feynman
diagram - no infrared ones.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 10:42:56 GMT""}]","2007-05-23"
"hep-th/9604061","Sergei Odintsov","P.M.Lavrov, S.D.Odintsov and A.A.Reshetnyak","Effective Action of Composite Fields for General Gauge Theories in
  BLT-Covariant Formalism","Typos corrected. Latex file","J.Math.Phys.38:3466-3478,1997","10.1063/1.531862","Tomsk Pedagogical Univ. preprint, March 1996","hep-th",,"  The gauge dependence of the effective action of composite fields for general
gauge theories in the framework of the quantization method by Batalin, Lavrov
and Tyutin is studied. The corresponding Ward identities are obtained. The
variation of composite fields effective action is found in terms of new set of
operators depending on composite field. The theorem of the on-shell gauge
fixing independence for the effective action of composite fields in such
formalism is proved. brief discussion of gravitational-vector induced
interaction for Maxwell theory with composite fields is given.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 10:14:33 GMT""},{""version"":""v2"",""created"":""Wed, 3 Jul 1996 07:17:30 GMT""}]","2009-09-17"
"hep-th/9604062","Ignatios Antoniadis","I. Antoniadis and T.R. Taylor","Dual N=2 SUSY Breaking","10 pages, LaTeX. Talk presented at the CERN Workshop on
  ""STU-Dualities and Non-Perturbative Phenomena in Superstrings and
  Supergravity"", and at the 2nd US-Polish Workshop on ""Physics from Planck
  Scale to Electroweak Scale""","Fortsch.Phys.44:487-492,1996","10.1002/prop.2190440602","CPTH-PC445.0496","hep-th hep-ph",,"  We discuss spontaneous supersymmetry breaking in $N=2$ globally
supersymmetric theories describing abelian vector multiplets. The most general
form of the action admits, in addition to the usual Fayet-Iliopoulos term, a
magnetic Fayet-Iliopoulos term for the auxiliary components of dual vector
multiplets. In a generic case, this leads to a spontaneous breakdown of one of
the two supersymmetries. In some cases however, dyon condensation restores
$N=2$ SUSY vacuum. This talk is based on the work done in collaboration with H.
Partouche \cite{apt}.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 13:36:29 GMT""}]","2011-04-15"
"hep-th/9604063","Abdalla Elcio","E. Abdalla, R. Mohayaee and A. Zadra","Screening in Two-dimensional QCD","22 pages, latex file","Int.J.Mod.Phys. A12 (1997) 4539-4558","10.1142/S0217751X97002450","IC/96/51","hep-th",,"  We discuss the issue of screening and confinement of external colour charges
in bosonised two-dimensional quantum chromodynamics. Our computation relies on
the static solutions of the semi-classical equations of motion. The
significance of the different representations of the matter field is explicitly
studied. We arrive at the conclusion that the screening phase prevails, even in
the presence of a small mass term for the fermions. To confirm this result
further, we outline the construction of operators corresponding to screened
quarks.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 14:37:00 GMT""}]","2009-10-30"
"mtrl-th/9604002","Dennis Clougherty","Dennis P. Clougherty and John P. Gorman (Department of Physics,
  University of Vermont)","On The Low-Frequency Vibrational Modes of C$_{60}$","11 pages, 3 figures in Postscript, uses REVTEX, to be published in
  Chem. Phys. Lett","Chem. Phys. Lett. 251 (1996) 353","10.1016/0009-2614(96)00103-0",,"mtrl-th atom-ph chem-ph cond-mat.mtrl-sci",,"  The vibrational spectrum of C$_{60}$ is compared to the spectrum of a
classical isotropic elastic spherical shell. We show correlations between the
low frequency modes of C$_{60}$ and those of the spherical shell. We find the
spherical model gives the approximate frequency ordering for the low frequency
modes. We estimate a Poisson ratio of $\sigma\approx 0.30$ and a transverse
speed of sound of $v_s\approx 1800$ m/s for the equivalent elastic shell. We
also find that $\omega({\rm M_1})/\omega({\rm M_0})=\sqrt{3\over 2}$ for the
shell modes ${\rm M_0}$ and ${\rm M_1}$, independent of elastic constants. We
find that this ratio compares favorably with an experimental value of 1.17.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 18:34:59 GMT""}]","2015-06-26"
"mtrl-th/9604003","Tong Zhou","Tong Zhou, Leo Kadanoff (The James Franck Institute, The University of
  Chicago)","Inelastic Collapse of Three Particles","6 pages, figures on request, accepted by PRE",,"10.1103/PhysRevE.54.623","preprint 1996-2","mtrl-th cond-mat.mtrl-sci",,"  A system of three particles undergoing inelastic collisions in arbitrary
spatial dimensions is studied with the aim of establishing the domain of
``inelastic collapse''---an infinite number of collisions which take place in a
finite time. Analytic and simulation results show that for a sufficiently small
restitution coefficient, $0\leq r<7-4\sqrt{3}\approx 0.072$, collapse can
occur. In one dimension, such a collapse is stable against small perturbations
within this entire range. In higher dimensions, the collapse can be stable
against small variations of initial conditions, within a smaller $r$ range,
$0\leq r<9-4\sqrt{5}\approx 0.056$.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 17:57:02 GMT""}]","2009-10-30"
